molecula|SddssS|n9FaRing|SaaNH|NaasN|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PPSA3|RNCS|FNSA4|WNSA5|RPCS|FNSA1|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|DPSA1|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Brenk|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12d_a30|0.0|0|0.0|0|0.604984421|0.0|0.041181359|5.351858133|-0.033312179|2|0.0|-0.354778373|0.005613018|0.036688757|10.31162861|1|-0.09353607|-0.4562256979999999|1|0.8017873000000001|-0.130412856|0.8532172109999999|0.7991060659999999|0|0.843009925|-0.073829724|-0.094239701|0.366319099|0.015567102|-47.69710881|10.05700314|85.1932288|-0.036246039|-39.33285959|0.0|0.8143892140000001|-30.81433963|-23.41646662|57.75411196|0.4572733479999999|-1217.656264|-15.12802292|7.557073995|13.92427286|0.84254817|119.91237920000002|-786.6571918999999|28.75340957|-406.2173266|8.672532296|1.0|1.0|0.0|1.0|4.75|0.17|17.0|-7.01|0.0|5.0|-5.66|30.0|4.0|-5.81|412.51|0.0|2.91|2.21e-06|7.05e-06|0.00291|4.23|0.0|4.02e-05|3.4821|-1615.095823|-1615.063947|356.06|356.06|0.68608|0.68608|149.0|-0.1479099999999999|4434.0|-1614.894406|4.8843|11.0|7.9508|7.9508
16b_a32|-3.3094926630000003|1|3.2902303|0|0.2980105389999999|0.0|0.0873104119999999|5.733341277|-0.3723824429999999|0|2.033356859|-0.423467596|-0.008277865|-0.018753196|10.31100078|3|-0.222700615|-0.586122949|0|0.852956281|-0.098450203|0.907055332|0.6762731040000001|1|0.7465375040000001|-0.088716278|-0.1083060409999999|0.559199331|0.015808858|-56.84546999|10.12961779|53.96132589|-0.0345657579999999|-44.4669946|9.827907321|0.7476362679999999|-36.42406481|-22.14820988|66.97508778|0.414997448|-1040.965864|-14.19159402|6.466656381|11.05406524|0.709394251|161.7035261|-667.0049190000001|29.62431176|-317.3487516|10.98052464|1.0|1.0|1.0|2.0|3.71|0.28|19.0|-7.6|0.0|7.0|-6.28|28.0|6.0|-6.72|433.57|1.0|3.26|5.19e-07|2.84e-05|0.0123|3.14|0.0|1.1e-05|3.6211|-2315.990437|-2315.951437|342.39|342.39|0.70233|0.70233|0.2849|-0.14995|4.4055|-2315.819979|7.0093|17.0|7.7696|7.7696
5a_a40|0.0|0|0.0|1|0.604913477|1.688148148|-0.116583806|6.167516491000001|0.059258947|0|0.808197279|-0.152120625|0.011345707|0.180125135|10.31198338|2|0.007301856|-0.363338726|0|0.756882266|-0.0395444479999999|0.820901326|0.5263598389999999|1|0.8531783270000001|-0.078132307|-0.090991462|0.04987082|0.020641204|-34.5789643|9.135164355|174.99981530000002|-0.036396585|-17.82228195|52.43850484|0.8224652720000001|-15.30358975|-16.10801287|43.71412865|0.4889874279999999|-483.24038600000006|-7.128912782|5.507689573|10.7779923|0.956899016|78.57142892|-213.8673835|19.58503709|-285.426492|5.795040371|1.0|0.0|1.0|0.0|3.04|0.21|14.0|-4.05|1.0|3.0|-4.13|19.0|3.0|-5.9|269.32|0.0|2.8|7.49e-05|0.000213|0.0574|2.88|0.0|0.0241|3.7921|-1177.598691|-1177.5835470000002|326.96|326.96|0.69499|0.69499|0.4461|-0.15066|5.7163|-1177.555706|7.6003|81.0|7.0915|7.0915
16h_a32|0.0|1|3.340888605|0|0.609420754|0.0|0.217139852|5.733341277|-0.098975084|0|2.075726759|-0.7828009570000001|-0.0048042729999999|0.061727488|10.31100268|3|-0.219947482|-0.71364354|0|0.832040698|-0.03617945|0.881181048|0.7619492790000001|1|0.7991915079999999|-0.081151869|-0.121464999|0.44308098|0.02096013|-51.56009529|13.31708433|70.02855767|-0.038765425|-49.03221545|35.90298920000001|0.7359051059999999|-32.75886858|-24.62973479|64.87717961|0.459750275|-1157.597535|-15.6485794|6.710057805|12.42028916|0.850995852|167.7935207|-735.4832318|33.46862873|-299.7661014|12.98212548|1.0|1.0|1.0|2.0|3.61|0.26|19.0|-7.0|0.0|7.0|-6.48|28.0|5.0|-6.22|413.52|1.0|3.74|3.28e-07|1.7800000000000002e-05|0.0073599999999999|3.66|0.0|4.09e-05|3.6182|-1955.99895|-1955.970762|342.67|342.67|0.70219|0.70219|0.2914|-0.14972|3516.0|-1955.832545|4.2275|9.0|8.0655|8.0655
3_a27|0.0|0|0.0|2|1.402697639|3.127072625|0.124551908|4.59511985|-0.096132106|2|1.177265999|-0.27868256|0.009082086|0.042659548|10.93782973|1|-0.341338963|-0.479874452|2|0.810053853|0.038685745|0.8759548629999999|0.610158103|1|0.862115922|-0.06145119|-0.086153958|0.397733752|0.019234305|-31.82136336|9.960129259|10.71226495|-0.032307734|-23.10213938|57.97805043|0.733853752|-16.47810502|-16.72996312|41.78149261|0.44566003|-669.1985248999999|-8.663302268999999|6.457886343999999|11.64968556|0.803947133|137.8189165|-346.53209080000005|22.79740761|-242.1936891|9.707911187|1.0|0.0|1.0|0.0|3.03|0.05|21.0|-5.89|0.0|3.0|-3.7|25.0|4.0|-6.41|329.36|0.0|2.74|0.0002|0.000103|0.0339|2.67|0.0|0.000423|3962.0|-1081.905135|-1081.88481|312.93|225.24|0.34864|0.6734600000000001|0.2208|-0.16457|2.7811|-1081.794829|4.1551|4.0|8.3979|8.3979
6b_a31|0.0|0|3.404988662|0|0.610136262|0.0|0.052690797|5.733341277|-0.178758575|0|0.0|-0.787472195|-0.011483229|-0.032090772|10.31169819|2|-0.004825446|-0.57983695|0|0.78240875|-0.084489161|0.841537966|0.795570315|0|0.627853074|-0.12081047|-0.1284626569999999|0.146652651|0.032992761|-73.70779766|20.12924648|159.79549319999998|-0.045675611|-47.81835367|101.4993391|0.7459204140000001|-44.96993859|-27.86719323|93.83704414|0.4807018779999999|-1254.023695|-17.0020813|7.513612533|14.46878435|0.925676135|155.0167518|-765.0936586|37.35947255|-300.0775025|14.72939894|1.0|1.0|1.0|2.0|3.55|0.1|22.0|-7.33|0.0|4.0|-5.63|29.0|5.0|-6.5|404.44|0.0|3.3|2.34e-06|2.18e-05|0.00883|3.2|0.0|1.89e-05|3.2949|-1652.671944|-1652.635711|376.29|376.29|0.7013199999999999|0.7013199999999999|0.4967|-0.13345|5.9085|-1652.505041|8.8379|54.0|7.2676|7.2676
3j_a32|0.0|1|3.564417045|0|0.609420782|0.0|0.0053427669999999|6.3044488020000005|-0.017889768|0|2.248764828|-0.269814716|-0.000202965|-0.086191775|10.31100276|3|-0.097980957|-0.528541012|0|0.824282683|-0.084553991|0.8884057059999999|0.7557114|1|0.865101945|-0.070289671|-0.095013178|0.27811778|0.013773753|-37.33051857|7.315176208|47.55031019|-0.030815085|-26.79963418|0.0|0.7487739999999999|-19.82606536|-16.36574867|44.64569478|0.4482615029999999|-605.5327007000001|-8.691773249|5.900829539|10.69497519|0.812452828|133.42496409999998|-321.5956102|21.85672669|-264.245436|8.126647477|1.0|1.0|1.0|1.0|3.27|0.24|19.0|-6.69|0.0|3.0|-5.92|23.0|3.0|-5.6|338.45|0.0|4.09|1.21e-06|1.58e-05|0.00533|3.89|0.0|6.86e-05|3.4982|-1671.507439|-1671.479105|354.42|354.42|0.7028|0.7028|0.3005|-0.14498|3.6238|-1671.402462|5.9266|8.0|8.0969|8.0969
19e_a38|0.0|0|3.376977671|0|1.297043576|0.0|-0.082311936|5.351858133|-0.10490608|2|0.0|-0.4379521229999999|-0.001197042|-0.104569193|10.94917392|1|-0.191751024|-0.436305701|1|0.839953955|-0.064035403|0.89459881|0.700181525|0|0.776562593|-0.083623427|-0.10214405|0.552393659|0.02118651|-56.34606212|14.27562164|118.734325|-0.03783113|-46.37503972|16.39385667|0.749190974|-37.96637911|-25.49088538|70.62168376|0.4655978389999999|-1376.50781|-17.17594064|6.596408983|12.34352977|0.871249918|168.99691289999998|-927.5007945|34.02454948|-335.8133169|13.55346651|1.0|1.0|1.0|3.0|4.96|0.12|17.0|-7.28|0.0|6.0|-4.94|32.0|4.0|-6.39|427.48|0.0|3.3|1.15e-05|1.89e-05|0.00807|3.55|0.0|2.25e-05|3.8587|-1409.582478|-1409.547647|321.31|236.96|0.41961|0.58509|0.3738|-0.15584|5.8426|-1409.37733|8.0952|0.01|8.0083|8.0083
12am_a36|0.0|0|3.340519946|0|1.240140551|0.0|0.088482802|5.351858133|-0.297354748|2|0.0|-0.921315581|-0.011700732|-0.050505733|10.9602097|1|-0.3344729369999999|-0.6080522279999999|1|0.8344566859999999|-0.05754717|0.885733922|0.624142499|0|0.814986544|-0.091472759|-0.118101664|0.305015372|0.017590648|-63.19394154|12.15249658|128.69607109999998|-0.045928425|-56.3667958|1.038361162|0.788334835|-43.65752487|-31.72964526|75.34643812|0.484558903|-1713.4008440000002|-21.92042059|8.772646622|17.01968794|0.940085891|146.228847|-1183.702712|40.24894481|-398.3921535|13.94067198|1.0|1.0|0.0|2.0|4.81|0.17|17.0|-7.14|0.0|7.0|-5.2|34.0|8.0|-6.4|465.43|0.0|2.65|6.26e-06|8.6e-06|4.0|3.86|0.0|3.37e-05|3.8606|-1645.205296|-1645.169789|321.15|236.99|0.40752|0.6805100000000001|0.2987|-0.15658|5.9258|-1645.016323|8.0872|0.06|7.2218|7.2218
3c_a49|0.0|0|0.0|1|1.343850149|2.108416128|0.034009672|5.4161004020000005|-0.016347266|2|1.879769411|-0.248722888|0.006218639|-0.05815918|10.92976555|1|-0.101919761|-0.384874446|2|0.802792677|0.0211518929999999|0.8605470759999999|0.64702083|1|0.7963363840000001|-0.071786669|-0.074135885|0.501887054|0.0148240689999999|-41.0524769|8.477406111|89.34479838|-0.0252377479999999|-24.24485565|77.29181095|0.637222556|-23.47658531|-14.4326528|49.52988301|0.4791465279999999|-678.3346816000001|-8.253567879|6.567311051|12.60874968|0.919925763|207.4607002|-387.9176903|22.64931248|-156.9462939|12.45751629|0.0|1.0|1.0|1.0|3.18|0.18|21.0|-7.54|0.0|4.0|-3.45|28.0|4.0|-6.93|369.42|0.0|2.86|0.0003509999999999|0.000137|0.0505|2.29|0.0|1.07e-05|3842.0|-1198.668772|-1198.634822|322.71|240.36|0.32539|0.6692100000000001|0.0729|-0.15853|3.6122|-1198.484646|3.7789|87.0|7.0605|7.0605
