molecula|SddssS|NaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|MATS1i|MATS1c|GATS1are|BIC2|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA1|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GRAV|PPSA1|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
4k_a46|0.0|0|0.173180233|1|7.825245291|1|1.134637098|-0.050636784|5.587248657999999|-0.088084767|1|0.0510113959999999|-0.104665424|0.006550513|-0.1149361969999999|10.94631314|-0.1032662209999999|1|0.006050983|0.008544799|-0.3860697829999999|0.78837943|0.7477594870000001|0.787615341|0.784722915|0.8789113709999999|-0.091943864|-0.086581945|0.260665072|0.007038271|-46.76051618|171.92614719999997|0.121088629|-0.0306644389999999|-25.25406274|0.0|0.8732380740000001|-26.8180173|-16.56101615|53.45751583|0.417368922|474.67574630000007|-794.928775|0.126761926|5.726809252000001|4685.0322320000005|68.46061366|-403.1511415|910.3230822|519.5743695|1.0|0.0|1.0|1.0|17.0|-6.61|4.77|50.94|2.84|1.0|100.96|0.0|1.0|2.0|25.0|333.43|1.0|-4.83|1.5e-05|5.0|1.4800000000000002e-05|0.0049299999999999|0.0|2.48e-07|8.28e-05|-0.01712|5.4228|4.52|4.4485|-1053.433249|-1053.396715|582.84|1001.96|278.71|0.2259|228.63|500.36|0.39943|0.68553|-1053.196897|0.1505|-0.18542|4.0015|-0.20254|-1053.249847|0.08|7.0969|7.0969
16_a3|0.0|0|0.0|0|6.823286122000001|0|0.605020428|0.183636734|4.727387819|-0.186717242|2|0.045993266|0.027762972|-0.010377537|-0.013328983|10.31163046|-0.018884246|1|-0.008409607|0.0032314229999999|-0.614173961|0.659478546|0.767641592|0.838125715|0.640070307|0.6974791290000001|-0.108919585|-0.100138414|0.252612735|0.012203576|-49.45999101|248.6415425|0.302520871|-0.041233465|-24.42909382|82.16042286|0.8296818009999999|-26.57128935|-20.36587865|59.82469895|0.484889078|344.4962834|-692.4398741|0.1703181989999999|5.780331402000001|4733.033232|84.12292796|-325.670405|834.5848652000001|328.71459869999995|1.0|1.0|1.0|1.0|21.0|-7.16|4.57|92.93|2.26|0.0|90.44|0.0|1.0|2.0|23.0|322.36|0.0|-4.49|1.05e-05|0.0033799999999999|3.2200000000000003e-05|0.0104|0.0|6.97e-08|2.25e-05|-0.07095|3.2208|3.19|3.2208|-1371.388717|-1371.360243|520.28|856.09|384.94|0.3866|384.94|368.22|0.6944100000000001|0.6944100000000001|-1371.250459|0.3866|-0.13195|2.8688|-0.2029|-1371.297964|42.0|7.3768|7.3768
4R4l_a46|0.0|0|0.171853072|1|7.825245291|1|1.134637095|-0.058870177|5.587248657999999|-0.075241716|1|0.049498645|-0.067419714|0.0066560469999999|-0.060895366|10.94631401|-0.161358058|1|0.006162668|0.0071939419999999|-0.3888343979999999|0.7940662409999999|0.726535412|0.762625193|0.7936534740000001|0.896653672|-0.090505744|-0.084697739|0.208818132|0.007084496|-45.96797819|177.33836430000002|0.103346328|-0.02989332|-24.94818681|0.0|0.8782984840000001|-26.65896664|-16.223992300000003|52.96512128|0.4568839389999999|486.6405745|-827.4236073|0.121701516|5.669819400000001|4923.057044|66.05102684|-410.6276419|942.0756413|579.2365607|1.0|1.0|1.0|1.0|17.0|-7.0|5.02|50.94|3.06|1.0|105.77|0.0|1.0|3.0|26.0|347.45|1.0|-5.11|5.25e-06|0.00182|7.78e-06|0.0027|0.0|9.980000000000001e-08|3.47e-05|-0.0212699999999999|4.6497|4.99|4.1152|-1092.75416|-1092.728268|584.44|1038.78|301.29|0.1678|266.65|498.78|0.40548|0.67823|-1092.4898449999998|0.0851|-0.17475|2.1973|-0.19602|-1092.544322|137.0|6.8633|6.8633
11_a4|0.0|0|0.0|1|7.535296702|1|0.626711769|-0.20567828|5.4161004020000005|0.032861655|2|0.03617284|-0.017835936|0.011277653|-0.073554945|10.33765061|-0.0043410079999999|1|0.010782511|-0.0278843589999999|-0.145254541|0.6575743310000001|0.820318166|0.875868891|0.647727179|0.930113409|-0.054262142|-0.06530408|0.4523305489999999|0.009336075|-37.74083422|12.88007087|0.069886591|-0.023620625|-21.81135655|59.55648883|0.7560913159999999|-18.12338426|-13.65094004|36.75497433|0.480360734|537.5354202000001|-641.5941818|0.243908684|6.850305797000001|5425.1341090000005|140.96082869999998|-296.0029432|848.5670554999999|575.2252237|1.0|1.0|1.0|0.0|21.0|-8.05|5.22|68.9|3.15|2.0|111.64|0.0|1.0|4.0|27.0|372.49|0.0|-4.97|7.27e-06|0.00271|1.06e-05|0.00395|0.0|8.89e-09|3.31e-06|-0.05582|4907.0|3.2|3.78|-1467.463842|-1467.440475|630.04|1071.03|328.0|151.0|252.67|479.99|0.4444|0.65942|-1467.20045|0.0403|-0.15885|4187.0|-0.2146699999999999|-1467.255521|0.11|6.9586|6.9586
6g_a40|0.0|0|0.0|1|8.421342866|2|0.604893315|0.102683335|6.401917197|-0.261952754|0|0.039863946|-0.120745388|-0.019683422|0.07194868|10.30179936|-0.251161616|2|-0.018182514|0.0312035079999999|-0.588058458|0.8316888240000001|0.832499949|0.8917390820000001|0.808096413|0.605346707|-0.164941808|-0.156296046|0.400587529|0.017750905|-101.5916383|328.78166810000005|0.3946532929999999|-0.059045173|-66.03405036|47.36081569|0.824204189|-69.68682788|-38.37906336|118.7493383|0.425569146|393.4722933000001|-1727.0578510000005|0.175795811|6.95079805|7822.892656|114.2663866|-421.4621621|2095.424743|590.1686672000001|0.0|1.0|0.0|3.0|14.0|-2.87|2.48|213.89|0.59|1.0|124.18|1.0|3.0|5.0|31.0|474.53|0.0|-4.71|6.049999999999999e-08|2.87e-05|1.93e-05|0.00917|0.0|0.0013599999999999|0.6459999999999999|-0.08622|3.3197|7.38|2.8135|-2522.023752|-2521.990118|669.8|1144.59|440.68|0.4971|373.48|514.77|0.58454|0.5794199999999999|-2521.8114530000003|0.1307|-0.11857|6.7231|-0.20479|-2521.87499|47.0|7.3279|7.3279
3t_a32|0.0|1|0.0|0|7.765993078999999|0|0.609420752|0.028840888|5.733341277|-0.0338714389999999|0|0.03995614|0.028527045|9.83e-05|0.012069208|10.31100267|-0.086478322|3|0.00139283|-0.070331512|-0.496165036|0.710773544|0.822076702|0.870628579|0.687253845|0.828676243|-0.080203824|-0.0974995|0.217914628|0.014242899|-61.58101978|97.01046154|0.171323757|-0.026967947|-38.89478416|0.0|0.684474482|-31.99514268|-17.03304802|59.65287508|0.481726305|523.3947687|-800.5532571|0.315525518|8.107111779|5525.861115|199.2870037|-233.0294362|1169.58817|582.0730423|1.0|1.0|1.0|1.0|19.0|-8.01|5.42|128.01|1.74|2.0|112.48|0.0|1.0|7.0|27.0|396.53|0.0|-4.93|3.28e-07|0.00013|1.16e-05|0.00462|0.0|9.86e-09|3.91e-06|-0.05507|3.5487|5.5|3.5487|-1864.708995|-1864.678788|677.16|1129.24|349.38|0.2906|349.38|575.45|0.70286|0.70286|-1864.472646|0.2906|-0.14739|1.2641|-0.20246|-1864.534478|9.0|8.0458|8.0458
17b_a6|0.0|1|0.0|0|7.412764017000001|1|1.425925343|0.1012747369999999|5.351858133|-0.0265090529999999|1|0.042739018|0.139594234|-0.00460563|-0.0385646|10.949638|-0.0791229359999999|1|-0.00194781|-0.10896749|-0.563310199|0.850080948|0.7788169070000001|0.8370824240000001|0.8013954109999999|0.753949098|-0.095450984|-0.109195656|0.318652397|0.03122461|-71.65078895|155.8689396|0.246050902|-0.041494349|-47.0150166|557.7093661|0.7706671740000001|-41.0971443|-27.2272998|83.12058064|0.4548818979999999|494.7179214|-1361.36499|0.229332826|8.974770742|5985.963521|150.48105900000002|-355.2067434|1766.4758989999998|627.4287311|1.0|1.0|1.0|2.0|23.0|-9.01|4.32|95.85|1.7|2.0|116.79|0.0|1.0|5.0|31.0|409.44|0.0|-5.17|1.56e-06|0.000637|6.69e-06|0.00274|0.0|9.77e-10|4e-07|-0.05736|3.5444|4.04|2.9964|-1350.102764|-1350.078181|690.98|1168.62|413.78|0.3949|349.8|575.2|0.69615|0.7016100000000001|-1349.830814|0.0033|-0.12545|5.3385|-0.18281|-1349.892156|153.0|6.8153|6.8153
12y_a30|0.0|0|0.0|0|7.412764017000001|2|0.604984019|0.048343649|5.351858133|-0.037335306|2|0.044197531|-0.089502772|0.00604028|0.061944378|10.31162818|-0.058184644|1|0.006346396|-0.053700437|-0.4579359229999999|0.842068099|0.768409873|0.8146529229999999|0.803183654|0.8489185109999999|-0.070903795|-0.091248521|0.374181804|0.0149823289999999|-61.25585229|85.17057711|0.151081489|-0.034840345|-41.1215369|0.0|0.820108145|-31.95309886|-23.38859815|57.65603256|0.445723724|569.8856940000001|-1286.372898|0.179891855|8.067590558|6301.067405|120.7628216|-429.782246|1568.540572|754.3941655|1.0|1.0|1.0|1.0|17.0|-7.38|3.23|81.65|3.25|2.0|137.21|0.0|1.0|5.0|31.0|426.54|0.0|-5.46|9.14e-07|0.00039|3.48e-06|0.00148|0.0|4.12e-08|1.76e-05|-0.05065|5.1973|4.45|3.4718|-1654.41361|-1654.382468|728.75|1227.82|357.11|0.2173|238.56|585.59|0.30617|0.6864399999999999|-1654.125015|0.1489|-0.1475|4.7043|-0.19815|-1654.190369|22.0|7.6576|7.6576
1k_a5|0.0|1|0.0|0|6.605297921|0|1.427567903|-0.216088148|4.59511985|-0.064652321|2|0.026339869|-0.095857885|0.003886035|-0.145151027|10.9489659|-0.011848312|1|0.003708988|0.019611905|-0.254495542|0.567806811|0.7824502320000001|0.851987765|0.558485747|0.7836926809999999|-0.078995018|-0.074297856|0.425724957|0.010892351|-38.00629774|165.11680719999998|0.216307319|-0.0301207529999999|-19.44172742|0.498979532|0.724954458|-20.67084672|-15.40795854|45.98095096|0.48165588|400.8898627|-570.0944662|0.275045542|6.710535795|4479.484358|140.69669409999997|-230.14624|786.3865923|357.34245360000006|1.0|0.0|1.0|1.0|23.0|-8.3|4.76|54.46|2.29|0.0|90.44|0.0|1.0|3.0|24.0|316.33|1.0|-4.3|0.000106|0.0336|4.970000000000001e-05|0.0157|0.0|4.99e-09|1.58e-06|-0.04516|4.7221|3.1|4.4063|-1050.548505|-1050.51717|533.8|890.76|281.38|0.6242|262.56|398.63|0.53086|0.5282|-1050.418953|0.1239|-0.1798799999999999|1.5911|-0.22504|-1050.468159|48.0|7.3188|7.3188
13d_a6|0.0|1|0.0|0|7.412764017000001|1|1.424214188|-0.045686501|5.351858133|-0.0122495089999999|1|0.041728395|0.077158715|-0.003346018|-0.042531782|10.95129636|-0.10528143|1|-0.000899678|-0.106686991|-0.49314765|0.845481322|0.786837131|0.841971795|0.7995080809999999|0.78862121|-0.092581323|-0.110731261|0.19992155|0.030793771|-75.40072983|156.67194009999997|0.21137879|-0.039696112|-51.34295409|564.780402|0.769432845|-42.92734103|-27.03045032|84.01035117|0.4128711229999999|536.999346|-1432.613867|0.230567155|9.086171078|6185.117192000001|157.0011174|-366.9322097|1861.908905|692.8471883999999|1.0|1.0|1.0|2.0|23.0|-9.4|4.57|95.85|1.5|2.0|121.6|0.0|1.0|6.0|32.0|423.47|0.0|-5.27|1.11e-06|0.000471|5.42e-06|0.00229|0.0|3.96e-10|1.68e-07|-0.05252|4.85|4.5|3.6298|-1389.403308|-1389.374844|723.61|1219.11|341.57|0.7905|255.64|598.06|0.58381|0.7007399999999999|-1389.125098|0.2513|-0.14894|11.0994|-0.20146|-1389.188211|0.36|6.4437|6.4437
13m_a6|0.0|1|0.0|0|6.842683282|0|1.429020166|0.031719435|4.727387819|-0.135152403|2|0.0446875|0.021526267|-0.0093684169999999|0.054340057|10.9505335|-0.018628955|1|-0.00687003|-0.068956229|-0.568024162|0.870730542|0.7767360059999999|0.832753533|0.82642394|0.715612461|-0.0989137669999999|-0.107644789|0.429009107|0.01858251|-75.05944278|91.22689385|0.2843875389999999|-0.0378750189999999|-52.33806464|95.67846949|0.7362989999999999|-48.09294654|-26.40980394|81.92876874|0.48094941|498.9881336|-1426.129413|0.263701|8.435961541000001|6412.592679|183.8755989|-329.5370141|1936.888972|724.3873672999999|1.0|1.0|1.0|3.0|27.0|-9.67|3.76|122.47|0.81|1.0|127.2|0.0|1.0|6.0|33.0|435.48|0.0|-4.28|2.27e-05|0.00987|5.24e-05|0.0228|0.0|2.1499999999999998e-10|9.35e-08|-0.07137|3.9127|4.27|3.3359|-1423.762467|-1423.712909|726.28|1231.54|371.67|275.0|316.88|546.69|0.66475|0.64753|-1423.448957|0.1924|-0.13817|4.2913|-0.20954|-1423.511471|0.01|8.0|8.0
1a_a5|0.0|0|0.0|0|6.605297921|1|1.189701889|-0.271170445|4.59511985|0.009305578|2|0.021346801|-0.075791863|0.005921049|-0.132197351|10.9502215|-0.004213083|0|0.00549829|0.069867374|-0.179831877|0.8309401009999999|0.7427901179999999|0.794139321|0.808272639|0.833638233|-0.071887159|-0.075618812|0.3602068089999999|0.008036994|-38.07869556|83.60943679|0.166361767|-0.027665419|-19.17495143|0.0|0.7256546770000001|-18.22870183|-13.93123008|40.24669785|0.455258786|419.7878208000001|-571.1804334|0.274345323|6.199179484|4005.068642|138.1496441|-227.2618539|787.1243051|403.543273|0.0|0.0|1.0|1.0|18.0|-7.15|1.42|37.81|2.09|0.0|93.49|0.0|1.0|3.0|23.0|298.34|1.0|-3.44|0.00253|755.0|0.000365|109.0|0.0|7.13e-08|2.13e-05|-0.1040099999999999|4.6707|2.85|2.8332|-951.1394906|-951.110826|531.02|882.1|437.61|0.2109|265.45|386.8|0.44868|0.54123|-951.178584|0.0126|-0.12226|4.4956|-0.2262699999999999|-951.226623|107.0|6.9706|6.9706
12w_a36|0.0|1|-4.750262163|0|7.412764017000001|2|1.24014105|0.081390556|5.351858133|-0.297354748|2|0.041555556|0.041058884|-0.011700732|-0.041402825|10.96020797|-0.010726574|1|-0.007897954|-0.1187503719999999|-0.604676196|0.647732719|0.828393514|0.8792981679999999|0.624142499|0.828363244|-0.086826396|-0.111267166|0.532980165|0.021104445|-79.88912835|112.947763|0.171636756|-0.041210062|-57.35989379|0.780959767|0.70536279|-44.76031023|-29.58856606|77.49366829|0.4672300679999999|594.7596206000001|-1597.782567|0.29463721|8.365472166|7418.252264|211.5476713|-294.8983941|2265.1925920000003|672.4630346|1.0|1.0|1.0|2.0|17.0|-7.14|4.04|78.43|2.04|2.0|130.43|0.0|1.0|7.0|34.0|465.43|0.0|-5.07|6.26e-06|0.00291|8.6e-06|4.0|0.0|7.24e-08|3.37e-05|-0.05326|3.8881|4.86|3.8881|-1645.202839|-1645.169951|712.88|1198.72|318.88|0.4508|318.88|552.55|0.69466|0.69466|-1644.953222|0.4508|-0.15708|5043.0|-0.21034|-1645.017691|23.0|7.6383|7.6383
20b_a10|0.0|0|0.0|1|7.535296702|1|1.343837209|0.048567614|5.4161004020000005|-0.073703704|2|0.035818182|-0.030238422|0.001965496|-0.042013549|10.92966143|-0.013623188|1|0.002637529|0.019531637|-0.450145946|0.725009545|0.761071345|0.817426568|0.6980623109999999|0.75259177|-0.094975935|-0.088479815|0.6741049840000001|0.013038163|-56.53849503|81.39248686|0.24740823|-0.033783202|-36.12803002|91.02309592|0.7616213270000001|-38.78052212|-21.58742537|69.02087825|0.454087415|480.905232|-1187.308396|0.238378673|7.554743755|7173.225184999999|152.3236842|-334.3514234|1558.922202|769.1246171|1.0|1.0|1.0|1.0|27.0|-8.93|5.0|95.92|2.41|2.0|129.73|0.0|1.0|5.0|34.0|447.49|0.0|-5.09|6.05e-06|0.00271|8.13e-06|0.00364|0.0|1.1699999999999999e-09|5.26e-07|-0.0578399999999999|5.9354|4.88|3.9013|-1465.62724|-1465.587932|687.84|1218.74|317.8|0.2782|208.89|482.93|0.3246|669.0|-1465.333983|0.1382|-0.16388|5725.0|-0.2217199999999999|-1465.395231|1.1|5.9586|5.9586
11c_a5|0.0|1|0.0|0|6.605297921|0|1.427567332|-0.2117133739999999|4.59511985|-0.050049777|2|0.027388889|-0.0859098|0.005090155|-0.059682527|10.94877953|-0.023856811|1|0.005383056|-0.011677718|-0.269653478|0.679183645|0.8020105409999999|0.86113162|0.658307423|0.80472351|-0.078909483|-0.0873419269999999|0.389427402|0.01785211|-53.12487972|31.61751609|0.19527649|-0.0322785379999999|-32.31269264|4.089828494|0.707039635|-29.19305715|-19.63310772|58.854300300000006|0.448016491|489.4652669|-903.1229552|0.292960365|8.88462927|5202.741647999999|178.1902995|-251.8596984|1277.330026|523.8031619|1.0|1.0|1.0|1.0|23.0|-8.47|4.17|80.76|1.13|1.0|106.79|0.0|1.0|6.0|28.0|370.4|0.0|-4.1|7.38e-05|0.0273|7.950000000000001e-05|0.0294|0.0|3.4000000000000003e-09|1.26e-06|-0.04315|4.5035|4.53|4.2087|-1218.492067|-1218.454079|636.14|1071.71|294.59|0.5327|275.3|512.32|0.60118|0.6267699999999999|-1218.278135|0.2186|-0.1713299999999999|2.5278|-0.21448|-1218.336116|25.0|7.6021|7.6021
47c_a18|0.0|0|0.0|0|7.03438793|1|1.251176227|0.02368001|4.844187086|-0.048726885|0|0.032688172|0.047739847|0.0007979619999999|-0.058748345|10.94702285|0.028947131|0|0.002674691|-0.212991596|-0.455055055|0.784328127|0.758269842|0.7912974190000001|0.7601847759999999|0.8128616409999999|-0.0715759629999999|-0.094000037|0.246894346|0.015864085|-75.57063623|67.68084951|0.1871383589999999|-0.0321917939999999|-60.75445536|103.416376|0.7489981509999999|-46.26124419|-25.88035487|70.29678191|0.489290189|653.4941186000001|-1889.265906|0.251001849|9.566965871|7527.530240999999|201.7910841|-400.3604527|2522.390613|1167.054827|1.0|0.0|1.0|3.0|18.0|-9.18|2.87|97.76|2.41|3.0|154.77|1.0|1.0|12.0|38.0|513.63|0.0|-5.09|1.84e-06|0.000947|8.12e-06|0.00417|1.0|6.67e-10|3.42e-07|-0.0449|3.1096|7.72|3.1096|-1664.753129|-1664.721977|850.89|1505.09|398.71|0.5869|398.71|790.07|0.6983199999999999|0.6983199999999999|-1664.201034|0.5869|-0.12841|3.3075|-0.17331|-1664.277127|3.0|8.5229|8.5229
12f_a31|0.0|1|0.0|0|7.765993078999999|1|0.6101347579999999|0.034876922|5.733341277|-0.033056721|0|0.03703252|0.043286807|-0.00150321|-0.0944165219999999|10.31169747|-0.0164221939999999|2|0.000889251|-0.130400541|-0.551471017|0.805862937|0.8167107029999999|0.8530975000000001|0.7730604259999999|0.700992225|-0.097676974|-0.118239376|0.262896936|0.027617942|-82.48950216|159.84734269999998|0.299007775|-0.0337826789999999|-57.54866283|569.7325277000001|0.686882955|-47.54067074|-23.56842919|87.41178754|0.482666192|489.0460499|-1319.832035|0.313117045|9.859605078|5845.744358|218.4455813|-260.7571603|1921.480254|713.5657448|1.0|1.0|1.0|2.0|16.0|-8.02|4.48|117.37|1.53|3.0|117.78|0.0|1.0|10.0|30.0|426.53|0.0|-4.63|1.05e-06|0.0004469999999999|2.37e-05|0.0101|0.0|9.53e-09|4.06e-06|-0.03317|3.8305|5.39|3.8305|-1696.785527|-1696.741889|755.33|1258.6|323.68|0.2664|323.68|665.22|0.7006600000000001|0.7006600000000001|-1696.466804|0.2664|-0.15894|1.8803|-0.19211|-1696.53373|0.13|6.8861|6.8861
15_a47|0.0|1|0.0|0|6.605297921|0|1.304329657|-0.164258919|4.59511985|-0.072588375|2|0.042285714|-0.130885389|-0.0026314909999999|0.086682657|10.9497222|0.0506476009999999|1|-0.002377481|-0.007670908|-0.332654104|0.644280611|0.830688568|0.897881853|0.614613723|0.791753677|-0.084413593|-0.0904066519999999|0.429825305|0.016669157|-48.36220049|61.0548099|0.208246323|-0.033307714|-25.87091101|0.0|0.711630105|-24.15592798|-17.81765281|54.07328082|0.477646539|423.5412927|-677.0708068|0.288369895|6.984778596|5075.773767000001|154.260803|-226.4191275|951.4364299|383.4213189|1.0|0.0|1.0|2.0|21.0|-8.49|5.28|66.49|2.83|2.0|96.6|0.0|1.0|3.0|25.0|353.78|0.0|-4.85|1.29e-05|0.00455|1.41e-05|0.00499|0.0|3.22e-09|1.14e-06|-0.0591799999999999|4.3312|3.33|4.0594|-1527.4104|-1527.376145|552.16|930.51|305.43|0.2828|286.26|419.75|0.67203|0.68008|-1527.265523|0.0759|-0.16762|2.2271|-0.2268|-1527.316555|16.0|7.8|7.8
9o_a24|0.0|1|0.0|0|6.605297921|1|1.294229152|-0.064667223|4.59511985|-0.044044637|3|0.028472222|-0.087807028|0.0012214139999999|-0.097596429|10.94506726|-0.000236595|1|0.002019902|0.00177843|-0.38043264|0.738419215|0.785672769|0.846075714|0.7086274779999999|0.770273808|-0.088586421|-0.08834189|0.6253256110000001|0.018492771|-51.14964436|32.50178358|0.229726192|-0.032911684|-29.61546471|44.8382925|0.668046377|-29.69744072|-19.05574986|61.99847688|0.4861134689999999|445.9858336|-971.8432428|0.331953623|6.080741586|6697.297449000001|192.1999837|-194.5965258|1454.754155|663.2688909|1.0|1.0|1.0|2.0|23.0|-7.91|4.36|92.79|1.23|1.0|120.73|0.0|1.0|6.0|32.0|421.45|0.0|-4.4|3.2500000000000004e-05|0.0137|3.9500000000000005e-05|0.0167|0.0|1.24e-08|5.23e-06|-0.04527|5.8802|4.41|4.2643|-1388.147972|-1388.094657|611.03|1126.94|290.75|0.1409|210.85|432.84|0.41688|0.65292|-1387.887227|0.0288|-0.17826|4.3816|-0.22353|-1387.945865|446.0|6.3507|6.3507
12a_a40|0.0|0|0.0|1|7.515889085|0|0.604990853|0.021610099|5.4161004020000005|-0.012791297|0|0.036587302|0.17758258|0.01039129|0.100414476|10.31197265|-0.226763788|2|0.007890601|0.018655637|-0.4764003679999999|0.58630452|0.718281767|0.7867243829999999|0.525051106|0.940879765|-0.064340227|-0.074840643|0.000279043|0.011766311|-38.17175304|107.5277007|0.059120235|-0.033799|-19.46913691|49.24750281|0.85136964|-16.73754566|-17.23885621|38.81741016|0.476055146|479.8867095|-534.4045424999999|0.14863036|7.563170499|4873.458436|75.8074911|-358.4254366|627.699788|323.26151960000004|1.0|1.0|0.0|0.0|20.0|-7.21|5.43|58.43|4.34|1.0|91.76|0.0|1.0|2.0|22.0|346.23|1.0|-5.95|3.86e-07|0.000134|1.13e-06|0.00039|1.0|6.15e-08|2.13e-05|-0.08015|3.0966|5.01|3.0966|-2097.826771|-2097.8163050000003|530.55|875.15|400.39|0.3701|400.39|429.21|0.6998800000000001|0.6998800000000001|-2097.7296100000003|0.3701|-0.12895|2491.0|-0.2091|-2097.779499|1778.0|5.7501|5.7501
27b_a34|0.0|0|0.0|1|7.412764017000001|1|1.4335271040000002|-0.056026127|5.351858133|-0.016803292|1|0.042739018|-0.106245942|-0.001438963|-0.029622037|10.95430634|-0.027175221|1|0.001228116|-0.194619338|-0.463926296|0.820914556|0.7722228729999999|0.8299950709999999|0.770240631|0.783431788|-0.08757938|-0.109683855|0.3307451819999999|0.031021066|-72.21552354|150.83624440000003|0.2165682119999999|-0.037292511|-47.54648562|540.9533124|0.712312759|-37.9644911|-24.553278|78.08618045|0.4072752529999999|515.8091561000001|-1227.6639|0.287687241|9.124440695|6032.666081|189.4124225|-279.5721769|1723.489976|627.4287311|1.0|1.0|1.0|1.0|23.0|-8.19|4.11|84.99|1.83|2.0|116.33|0.0|1.0|5.0|31.0|409.44|0.0|-4.96|5.92e-06|0.00243|1.1e-05|0.00449|0.0|6.53e-09|2.67e-06|-0.04121|4.8168|4.33|4.0935|-1350.055377|-1350.018975|691.97|1174.68|302.88|0.3621|257.4|577.39|0.47412|0.70001|-1349.811401|0.0252|-0.1652799999999999|11.8546|-0.20649|-1349.873325|0.65|6.1871|6.1871
32_a47|0.0|0|0.0|1|6.842683282|1|1.216307925|-0.1746026239999999|4.727387819|0.000921003|3|0.035568182|-0.013510009|0.001861676|-0.026022099|10.95005715|-0.044598914|1|0.002350172|-0.077485193|-0.2749014|0.6636125860000001|0.810444864|0.858292442|0.634406338|0.851627782|-0.05770007|-0.0726950079999999|0.266433793|0.019295804|-52.38450683|28.55112477|0.148372218|-0.026060474|-37.74862456|44.50423685|0.64116122|-29.9621436|-18.77935151|55.48373932|0.44289006|613.6886524|-995.3056298|0.35883878|8.656942728999999|6235.398576|258.5816152|-203.4434306|1552.348456|682.9868225|1.0|0.0|1.0|2.0|21.0|-8.82|5.07|67.66|3.11|2.0|125.17|0.0|1.0|5.0|31.0|436.91|0.0|-5.05|1.5399999999999998e-05|0.00674|8.89e-06|0.0038799999999999|0.0|1.5e-09|6.55e-07|-0.05682|4.9046|2.97|3.6829|-1778.127634|-1778.0970140000002|692.49|1184.76|336.65|0.2969|252.79|548.86|0.48011|0.68986|-1777.843462|0.2839|-0.1509599999999999|4.8234|-0.20778|-1777.90286|0.1|7.0|7.0
12c_a31|0.0|1|0.0|0|7.765993078999999|1|0.6101358029999999|0.046986783|5.733341277|-0.055520387|0|0.040982906|-0.030192572|-0.003618466|-0.094991098|10.311698300000002|-0.056866055|2|-0.000813398|-0.138799714|-0.54466023|0.8083148840000001|0.842823186|0.8856644770000001|0.770283733|0.665463503|-0.104643824|-0.129736755|0.343619017|0.030543026|-82.33748068|153.400467|0.334536497|-0.036326291|-52.25551342|553.8695417|0.6817087|-42.14855504|-23.05449459|85.79638585|0.448512808|422.3366652|-1152.7247289999998|0.3182913|8.091269314|5676.394271|202.0036947|-230.6429907|1690.934456|583.9691392000001|1.0|1.0|1.0|2.0|16.0|-7.24|3.7|117.37|1.08|2.0|108.16|0.0|1.0|8.0|28.0|398.48|0.0|-4.16|5.85e-06|0.00233|6.94e-05|0.0277|0.0|5.79e-08|2.31e-05|-0.0338399999999999|3.8328|4.6|3.8328|-1618.1530810000002|-1618.112841|679.71|1138.89|323.48|0.2625|323.48|578.69|0.7007399999999999|0.7007399999999999|-1617.888981|0.2625|-0.15904|1.6786|-0.19288|-1617.951882|0.38|6.4202|6.4202
