molecula|MATS1c|Brenk|molar_refractivity|FPSA1|SaaNH|Log S (Ali)|RASA|Log S (SILICOS-IT)|BBB|CYP1A2 inhibitor|MATS2c|PAINS|MATS8i|WNSA3|log P|AATSC1pe|Total Energy (water) (Hartree)|GRAVp|pIC50
12ba_a36|-0.410941182|0.0|133.18|0.293104216|3.389685532|-4.77|0.849738126|-6.72|0.0|0.0|-0.090865777|0.0|0.003750685|-37.76553687|2.79|-0.000621302|-1417.454721|3035.390784|7.6778
12f_a36|-0.438198895|0.0|133.52|0.219698129|3.50900085|-4.61|0.8435569079999999|-7.36|1.0|0.0|-0.066269699|0.0|0.012286423|-30.92312428|3.87|0.0045625|-1311.57896|2770.818472|7.9586
2_a49|-0.320124905|1.0|99.52|0.284594011|0.0|-3.53|0.81348014|-6.82|1.0|1.0|-0.084499704|0.0|-0.041202373|-22.45560511|1.79|0.004580676|-1046.018455|2244.518609|7.2291
18_a31|-0.604728055|0.0|99.32|0.222523168|3.281949877|-4.62|0.72588713|-6.54|0.0|1.0|0.0690370959999999|0.0|-0.001973566|-40.61741697|4.81|-0.007811355|-1465.528656|2241.561812|6.8861
4r_a46|-0.246070691|0.0|97.9|0.285368722|0.0|-3.09|0.8478197820000001|-6.25|1.0|0.0|-0.173617329|0.0|-0.1129698999999999|-22.31391864|2.3|0.0061041|-1069.447946|2137.47734|5.8499
15_a3|-0.505519936|0.0|94.29|0.149672503|0.0|-2.77|0.7789088340000001|-5.78|0.0|0.0|0.079167398|0.0|0.126641951|-24.19332693|2.33|-0.004459728|-1328.688126|2116.88728|7.6021
12al_a36|-0.404703593|0.0|130.24|0.328915355|3.469383582|-3.95|0.801179217|-6.69|0.0|0.0|-0.06777947|1.0|-0.074215038|-33.70669917|2.92|0.003077071|-1347.479819|2843.740855|7.3188
3g_a32|-0.563371932|0.0|102.55|0.199259841|3.542426304|-7.09|0.887695945|-7.29|0.0|1.0|0.015803466|0.0|-0.1154223269999999|-21.55960626|4.13|0.002565215|-1712.060085|2271.746759|7.8539
3q_a32|-0.5448044360000001|0.0|115.37|0.365026099|3.4364803|-5.91|0.84993799|-7.31|0.0|1.0|-0.017280695|0.0|-0.022925245|-25.7550561|5.15|0.002487149|-1920.066488|2649.276311|7.5528
14_a4|-0.199315317|0.0|80.09|0.231542789|0.0|-3.4|0.8510382459999999|-5.71|1.0|1.0|-0.2248919089999999|0.0|-0.08389836|-13.60128622|3.22|0.008943549|-918.9507745|1911.448021|5.8794
11a_a31|-0.563537536|0.0|83.12|0.264745055|2.856083711|-4.81|0.486754956|-4.65|0.0|1.0|-0.045290366|0.0|-0.1217573119999999|-38.68354874|3.97|-0.017433557|-1441.452616|2288.9694010000003|6.7212
4f_a49|-0.46436755|0.0|102.08|0.2816937089999999|0.0|-3.99|0.7370618040000001|-6.54|0.0|1.0|0.010266272|0.0|-0.064058097|-30.33918719|4.07|0.001714014|-1179.23587|2458.261097|7.3979
8f_a8|-0.5373378529999999|0.0|105.27|0.09422952|2.939511291|-5.21|0.5968139689999999|-7.95|0.0|0.0|0.024051247|0.0|-0.08540947|-41.53091131|7.71|-0.007036544|-1361.658484|2622.044457|4.6428
12p_a36|-0.440709431|0.0|123.71|0.240873847|3.392386149|-3.89|0.748438833|-6.86|1.0|0.0|-0.0494658159999999|0.0|-0.084846674|-32.72335782|3.41|-0.000673716|-1332.182868|2774.926334|8.0458
12be_a36|-0.3825349939999999|0.0|136.74|0.433925602|3.466734143|-4.11|0.798015877|-6.79|0.0|0.0|-0.148313814|1.0|-0.08981965|-37.57129686|2.68|0.002872872|-1462.0007349999998|3039.9167260000004|7.3565
12e_a36|-0.43688276|0.0|128.72|0.238923581|3.490984269|-4.16|0.838086387|-6.97|1.0|0.0|-0.064019914|0.0|-0.0586405829999999|-28.51846223|3.48|0.003962098|-1272.2668210000002|2709.877204|7.8539
17a_a50|-0.220088198|0.0|121.78|0.2100891|0.0|-3.99|0.92300665|-6.76|1.0|0.0|-0.186084687|0.0|-0.0979202769999999|-19.25896309|3.08|0.012893333|-1258.566007|2644.4486420000003|7.0706
12aj_a36|-0.43462267|0.0|128.72|0.22507266|3.482902101|-4.16|0.8269863129999999|-6.97|1.0|0.0|-0.056210607|0.0|-0.103202936|-29.99399664|3.48|0.003962098|-1272.27339|2710.647462|7.7696
AKLKII_a46|-0.270506095|0.0|85.32|0.2278604669999999|2.917217813|-3.24|0.837641394|-7.21|1.0|1.0|-0.206312209|0.0|0.156485495|-16.15213359||0.006731579||2000.353437|6.7423
12b_a30|-0.468842459|0.0|127.24|0.201479318|0.0|-5.39|0.764737577|-6.9|0.0|0.0|0.047132642|0.0|-0.037209579|-33.68855323|4.07|0.002064369|-1675.0107779999998|2849.095245|8.1543
12h_a40|-0.556229094|1.0|96.16|0.155991416|0.0|-6.25|0.839481749|-6.84|0.0|1.0|0.104392974|0.0|0.189869851|-26.67382585|4.14|-0.002126898|-2153.207198|2270.834041|6.0846
4a_a49|-0.403194204|0.0|114.08|0.349698461|0.0|-3.28|0.7570436159999999|-7.36|0.0|1.0|-0.076526919|0.0|-0.053787795|-35.44496163|3.34|0.000660956|-1313.19945|2675.628678|7.4949
9_a3|-0.614170287|0.0|92.69|0.1131403219999999|0.0|-5.53|0.84649775|-7.26|0.0|1.0|0.187952252|0.0|0.065373003|-21.04009269|3.28|-0.003863265|-1256.087705|2017.0704920000005|4.96
19a_a38|-0.4342819429999999|0.0|125.69|0.255203463|3.3685352889999995|-4.14|0.747152898|-6.86|0.0|1.0|-0.084389038|0.0|-0.122385526|-30.69910427|3.41|-0.000673716|-1332.186327|2774.129458|8.0106
4i_a46|-0.22302552|0.0|105.43|0.2361682219999999|0.0|-4.94|0.940780437|-7.3|1.0|1.0|-0.167244168|0.0|-0.160741899|-18.68604171|4.46|0.011931187|-1092.730494|2200.19132|6.2132
30_a47|-0.4370608039999999|0.0|104.25|0.320552431|0.0|-4.22|0.67896733|-7.24|0.0|1.0|-0.069449687|0.0|-0.008774855|-38.96726396|3.89|-0.008325552|-1696.12008|2626.927627|7.9
14e_a25|-0.50909623|0.0|134.35|0.1935531039999999|0.0|-5.14|0.7240504329999999|-9.14|0.0|0.0|0.039261746|0.0|0.002856489|-54.14823405|6.51|-0.0005394919999999|-1521.012915|3126.080106|7.1249
1o_a5|-0.231165601|0.0|95.2|0.300086449|2.923171926|-4.08|0.88430372|-8.11|0.0|1.0|-0.266637757|0.0|-0.102739602|-22.90899675|2.66|0.0051989459999999|-1043.577386|2238.291862|7.4559
6c_a31|-0.582545668|0.0|114.5|0.234676081|3.423005244|-6.09|0.641197273|-7.72|0.0|1.0|0.047405064|0.0|-0.00219333|-48.45681657|5.08|-0.00668344|-1691.984862|2837.949799|6.4685
20a_a10|-0.281099208|0.0|126.35|0.266548108|0.0|-5.68|0.913681336|-9.44|0.0|1.0|-0.0774974029999999|0.0|-0.010695558|-28.10115947|3.98|0.008297595|-1389.164302|2998.608651|5.9208
17_a20|-0.456415963|0.0|119.48|0.24569612|3.445659565|-5.36|0.912053544|-10.14|0.0|1.0|-0.064380628|0.0|0.038629586|-27.38007162|4.11|0.000922796|-1291.949041|2761.976599|5.6478
16_a3|-0.614173961|0.0|90.44|0.1703181989999999|0.0|-4.98|0.6974791290000001|-7.16|0.0|1.0|0.183636734|0.0|-0.013328983|-26.57128935|3.19|-0.008409607|-1371.388717|2184.788331|7.3768
11c_a31|-0.572548808|0.0|97.32|0.323910768|3.336985072|-5.11|0.564143263|-5.84|0.0|1.0|0.069254998|0.0|-0.137912959|-47.33176279|4.47|-0.008375297|-1559.3980869999998|2470.585429|6.8861
18_a10|-0.220292492|0.0|119.81|0.358384456|0.0|-4.48|0.885552955|-7.88|1.0|1.0|-0.182332901|0.0|-0.052165302|-23.18149476|2.65|0.010573165|-1336.433782|2788.499133|6.8861
17a_a6|-0.5624663560000001|0.0|116.79|0.22806502|3.3685510360000004|-5.81|0.753082653|-9.01|0.0|1.0|0.101940358|0.0|0.078798543|-41.34573382|4.04|-0.00194781|-1350.102634|2816.084228|7.6198
14a_a10|-0.168193178|0.0|146.76|0.457984122|0.0|-4.21|0.911549451|-8.18|1.0|0.0|-0.2090476269999999|0.0|-0.045759336|-23.38784787|2.25|0.012272222|-1489.655581|3075.550631|7.1308
2_a3|-0.568019422|0.0|90.49|0.272015731|0.0|-4.75|0.750206578|-6.89|0.0|1.0|0.176032668|0.0|0.09933632|-23.02532673|1.97|-0.0045709459999999|-1272.143337|2056.399995|5.4
3b_a49|-0.405529602|0.0|116.94|0.3431340539999999|0.0|-3.53|0.749104358|-7.58|0.0|1.0|-0.003115526|0.0|-0.010613212|-33.06194987|3.4|0.001356445|-1293.3286859999998|2660.339607|7.6021
17_a47|-0.3004189439999999|0.0|119.83|0.2542482339999999|3.011740664|-5.4|0.852282407|-10.1|0.0|1.0|-0.181485377|0.0|0.075303828|-26.73455447|3.07|0.004477366|-1254.985125|2672.497352|8.3
12g_a36|-0.44093902|0.0|138.33|0.2202546819999999|3.5202147110000004|-4.95|0.854238488|-7.38|1.0|1.0|-0.063344124|0.0|0.078155467|-32.74608471|4.21|0.005035022|-1350.887005|2829.45056|7.8539
3d_a49|-0.202380888|0.0|111.41|0.243377955|0.0|-5.19|0.733071652|-6.15|0.0|1.0|-0.0960135969999999|0.0|-0.068390038|-33.32030276|4.02|-0.004253844|-1594.595995|2809.9605100000003|5.6308
13e_a6|-0.462344944|0.0|123.82|0.277469482|3.433539068|-5.11|0.861676601|-10.18|0.0|1.0|-0.089778965|0.0|0.0266218529999999|-33.17101912|3.36|-0.001446486|-1347.297639|2868.489025|7.9208
3a_a32|-0.491457345|0.0|83.28|0.327690097|3.226454082|-5.32|0.817070968|-6.12|0.0|1.0|-0.0505635059999999|0.0|0.102212031|-17.261046399999998|2.17|-0.001223394|-1554.796165|2028.93875|8.5686
14p_a23|-0.4510651779999999|1.0|125.0|0.248361701|0.0|-5.68|0.923455749|-7.47|0.0|0.0|0.044380583|0.0|-0.060144819|-28.69113861|3.29|0.009266617|-1722.181612|3010.721939|8.5302
12e_a30|-0.417089226|0.0|133.77|0.292879147|0.0|-5.44|0.816703705|-6.74|0.0|0.0|-0.0026669809999999|0.0|0.005418617|-34.82676424|3.58|0.0053380919999999|-1690.3021629999998|2920.484542|7.9431
41_a47|-0.276217719|0.0|99.09|0.346852185|0.0|-3.57|0.823168463|-7.47|1.0|1.0|-0.225923786|0.0|0.024881402|-19.48810377|2.41|0.0047106|-1162.492089|2374.594252|8.0
13_a12|-0.595629719|0.0|84.74|0.117007826|0.0|-4.26|0.90006391|-7.14|1.0|1.0|0.202052156|0.0|-0.083760082|-13.97756285|3.83|0.002279068|-876.3661620999999|1812.788134|7.0315
13_a15|-0.357554652|0.0|138.24|0.244716567|0.0|-6.32|0.8854875790000001|-8.9|0.0|0.0|-0.139434143|0.0|-0.031047852|-27.279882500000003|5.04|0.003766915|-1450.756042|3028.485145|8.2218
12x_a36|-0.4331246039999999|0.0|135.47|0.223146459|3.494913155|-4.85|0.836402835|-7.05|0.0|0.0|-0.058295476|0.0|-0.054184069|-33.36962015|3.37|0.003710345|-1670.452834|2884.428214|8.1549
8g_a8|-0.508072694|0.0|111.38|0.166939179|3.073183107|-5.3|0.533935495|-7.4|0.0|0.0|-0.000475415|0.0|-0.025002199|-51.33906829|7.17|-0.007047583|-1450.9549470000002|2889.141422|5.3768
12d_a30|-0.4562256979999999|0.0|132.24|0.185610786|0.0|-5.66|0.843009925|-7.01|0.0|1.0|0.041181359|0.0|0.036688757|-30.81433963|4.14|0.005965451|-1615.095823|2784.836855|7.9508
17_a15|-0.461493931|0.0|131.36|0.346792631|0.0|-5.93|0.880459235|-9.72|0.0|1.0|-0.046866421|0.0|-0.032903349|-31.03055741|6.89|0.0032452509999999|-1413.897695|2852.085573|7.9208
12j_a30|-0.456342646|0.0|132.24|0.1865388989999999|0.0|-5.66|0.842199041|-7.01|0.0|1.0|0.04148877|0.0|0.0074730759999999|-30.8670468|4.14|0.005965451|-1615.096172|2784.7999170000003|8.058
9o_a24|-0.38043264|0.0|120.73|0.331953623|2.9340792330000003|-4.49|0.770273808|-7.91|0.0|0.0|-0.064667223|0.0|-0.097596429|-29.69744072|4.41|0.002019902|-1388.147972|2892.333138|6.3507
A7701_a51|-0.22798944|0.0|87.52|0.200953608|2.9690728930000003|-3.95|0.865114773|-7.58|1.0|1.0|-0.221071791|0.0|0.058290286|-15.23632002||0.00740235||1959.582581|7.6021
20_a47|-0.5332051720000001|0.0|99.68|0.404765791|0.0|-4.06|0.6888286020000001|-7.31|0.0|1.0|0.055662511|0.0|-0.052370531|-24.89884887|4.08|-0.006342241|-1335.742176|2630.63609|8.6
A8301_a51|-0.4354420879999999|1.0|129.04|0.145040365|0.0|-6.6|0.934739895|-9.38|0.0|1.0|0.0245770529999999|0.0|-0.012770742|-23.3177516||0.007083041||2799.106729|7.9208
16_a47|-0.3379683979999999|0.0|91.55|0.302070079|2.890539668|-4.34|0.691860453|-8.17|0.0|1.0|-0.134455235|0.0|0.001426202|-25.03540372|2.95|-0.004153659|-1167.046301|2315.178558|9.0
1_a15|-0.34192045|0.0|132.94|0.394072483|0.0|-6.55|0.875723465|-10.02|0.0|0.0|-0.22215316|0.0|-0.068297833|-28.45664402|4.68|0.003816011|-1510.136281|3000.975833|7.3565
12m_a30|-0.5409445629999999|1.0|133.52|0.226267233|0.0|-6.0|0.783260049|-6.42|0.0|0.0|0.096631895|0.0|0.0488832779999999|-39.32844052|3.88|0.0026474159999999|-1743.215323|3058.3084710000003|7.5114
12a_a5|-0.175245466|0.0|119.38|0.253214907|2.981252568|-4.27|0.894590896|-8.83|1.0|0.0|-0.256282289|0.0|-0.114419442|-22.13179066|2.91|0.008649556|-1202.02622|2524.410428|7.7212
31_a47|-0.441642572|0.0|109.21|0.29335997|0.0|-4.59|0.696020038|-7.62|0.0|1.0|-0.075563891|0.0|0.074881792|-41.22978713|4.2|-0.006265667|-1735.435432|2689.159869|7.8
7_a15|-0.335491052|0.0|99.77|0.551335598|0.0|-4.83|0.841400327|-7.19|1.0|1.0|-0.2269896539999999|0.0|0.038636783|-22.92132733|2.78|0.002150323|-1184.385377|2330.667514|6.644
9d_a40|-0.4887998529999999|0.0|91.71|0.133579429|0.0|-6.13|0.941627612|-7.0|1.0|1.0|0.007834411|0.0|0.15723868|-16.01918037|4.7|0.010101686|-1677.551678|2109.570685|6.9706
12b_a36 (EW-7197)|-0.442656599|||0.253252648|3.3685352889999995||0.7635183720000001||||-0.104514139||-0.098032695|-31.84632538|3.41|-0.000673716|-1332.180029|2772.832013|8.1549
12k_a36|-0.4373676689999999|0.0|133.84|0.219318299|3.483171769|-4.58|0.8427704640000001|-7.01|1.0|0.0|-0.076124222|0.0|0.003690005|-32.84907515|3.83|0.003724542|-1310.3453949999998|2792.202559|7.8539
