molecula|n9FaHRing|BIC2|Class [Log S (SILICOS-IT)]|MATS8d|SaaNH|GeomDiameter|Consensus Log P|Mor01p|Solubility [Log S (Ali)] (mg/ml)|CYP2D6 inhibitor|SaaaC|BCUTi-1|Area (grid)|pIC50
14a_a22|0|0.7392451729999999|1.0|-0.027029438|0.0|14.55117701|3.19|684.5377542|0.00945|1.0|1.614660505|10.9464374|695.62|7.4202
17a_a6|0|0.7722228729999999|1.0|-0.106323149|3.3685510360000004|16.13665395|3.59|627.4287311|0.000637|1.0|0.0|10.94948984|696.96|7.6198
12g_a31|0|0.819234772|1.0|-0.1386819869999999|3.42813681|15.28679013|2.9|524.0230338|0.00457|1.0|0.0|10.31169877|664.44|6.9586
11_a1|0|0.747358374|1.0|-0.075188762|3.3361517380000003|14.2257294|3.22|495.0560271000001|0.00327|1.0|0.0|10.94957487|614.86|6.7696
4S4l_a46|0|0.726535412|1.0|-0.229089688|0.0|10.68377935|4.08|579.2365607|0.00182|1.0|0.0|10.94631401|583.76|6.5834
12ah_a36|0|0.835013502|1.0|-0.0861053359999999|3.456839001|15.54445187|2.34|629.5017194000001|0.0151|0.0|0.0|10.95983779|682.21|7.9586
18_a20|0|0.7602869659999999|0.0|-0.090732503|3.463603867|15.51556677|3.78|712.1606951|0.00107|1.0|1.983673343|10.93301779|703.24|7.4685
10_a4|0|0.810105167|1.0|-0.150288496|0.0|11.20225306|3.9|594.7358385|0.00818|1.0|2.149387791|10.92992762|619.99|7.0555
16a_a23|1|0.8323974470000001|2.0|-0.116894582|0.0|15.89802615|1.85|668.3493171|0.0111|0.0|0.759926978|10.31321796|670.04|7.4037
11_a15|0|0.718800243|1.0|0.0432314409999999|0.0|11.76226306|4.62|830.7967967000001|0.000214|1.0|0.0|10.95979791|739.57|6.1314
18_a47|1|0.792196273|0.0|-0.027351545|2.969619451|12.35791568|4.16|628.5247532999999|0.00129|1.0|1.5913490630000002|10.93838451|652.12|8.6
12v_a30|0|0.83236194|1.0|-0.080971844|0.0|15.56114504|3.59|685.6665849999999|0.000123|0.0|0.0|10.31162873|715.58|7.6596
18b_a30|0|0.822401103|1.0|-0.089945913|0.0|13.0644231|2.42|666.0036144999999|0.00137|0.0|0.0|10.31163838|697.37|7.6003
12z_a36|0|0.826316772|1.0|-0.0533649729999999|3.435113772|14.78435842|1.66|642.3830552000001|0.0412|0.0|0.0|10.95429182|686.33|8301.0
5_a27|0|0.760083119|1.0|-0.020087122|0.0|10.98289851|2.82|424.8821143|0.0821|0.0|1.271687295|10.93772408|566.68|8.5229
14_a47|1|0.777675668|1.0|0.050943962|2.871076328|13.15643085|3.16|310.8026328|0.0349|1.0|1.484493371|10.95058279|519.55|8.1
8b_a12|0|0.7407532059999999|1.0|-0.183648492|0.0|12.27845608|2.51|510.3677388|28.0|1.0|0.0|10.95438057|611.93|6.58
12ab_a36|0|0.831136366|1.0|-0.051707317|3.458948649|15.18764075|1.8|708.5476357999999|0.0503|0.0|0.0|10.9540584|712.73|7.9586
24_a20|0|0.74131936|1.0|-0.07179846|0.0|12.63879297|3.63|664.4562602999999|0.00519|1.0|2.041494094|10.93106245|685.66|6.4976
12q_a30|0|0.816138015|1.0|-0.032887649|0.0|13.96052394|3.42|696.6414817000001|9.63e-05|0.0|0.0|10.31162828|713.16|7.4449
34_a47|1|0.833786184|1.0|0.128336294|0.0|12.96364153|3.02|439.9906467|0.0929|1.0|1.741433543|10.98214103|585.79|8.7
33_a20|0|0.74131936|1.0|-0.10978034|0.0|15.094865900000002|4.28|664.4562602999999|0.000997|0.0|2.0219022580000003|10.93244905|689.51|7.4685
4b_a49|0|0.798826417|1.0|0.049923437|0.0|14.53457293|2.8|600.3287567000001|62.0|1.0|1.645329244|10.92776533|664.86|7.1024
9h_a40|0|0.740778143|1.0|-0.299768519|0.0|13.366649|4.06|336.23227030000004|0.000716|1.0|0.814591837|10.31197223|526.38|5.4001
2_a4|0|0.802438682|2.0|0.1355918559999999|0.0|7.800989232999999|1.24|284.26458360000004|1.67|1.0|0.0|10.95268469|458.73|7.5086
7e_a8|0|0.732001738|1.0|-0.072307692|3.038052327|14.654025199999998|4.31|519.5762494|0.000686|0.0|0.0|10.94332434|622.23|4.4547
12a_a32|1|0.845443342|1.0|-0.125149165|3.442930603|13.03685125|3.6|557.1050635|0.000389|1.0|2.136609567|10.31100269|667.68|7.6021
3p_a32|1|0.8599558070000001|1.0|-0.120768771|3.456037415|10.69458635|3.23|530.5658569|0.00308|0.0|2.1365141480000003|10.31100269|626.32|7585.0
3_a20 (SB-525334)|0|0.7186587|1.0|-0.17447922|3.502142227|10.9543133|3.63|520.6749407|0.00489|1.0|1.728260385|10.95053359|605.71|6.7905
47a_a18|0|0.766261502|1.0|0.089156939|0.0|19.74153879|2.02|1225.939287|9.9e-05|1.0|0.0|10.35082811|874.47|9.0
17e_a50|1|0.7409645029999999|1.0|-0.202197068|0.0|16.70124474|4.03|904.3172644|0.00589|1.0|2.2384546640000003|10.94500663|757.34|6.8097
14ab_a23|1|0.75434493|1.0|-0.05990912|0.0|14.76864227|4.12|733.3886349999999|0.000259|0.0|0.7586471459999999|10.313217300000002|719.66|8.4012
12c_a5|0|0.797601178|1.0|0.014673577|2.977832018|13.53008071|3.31|735.3048881|0.0336|1.0|0.0|10.9455378|694.24|7.3279
13_a1|0|0.76714213|1.0|-0.150485437|3.409865599|14.33466671|3.23|505.2124255|0.0192|1.0|0.0|10.94989555|613.52|6585.0
16a_a10|0|0.772481675|1.0|-0.008879187|0.0|15.88633689|4.24|879.8636987|0.00264|1.0|2.009832665|10.92947902|760.0|7.3279
9_a15|0|0.7059441040000001|1.0|0.010183805|0.0|10.00547485|3.69|532.0914339999999|0.00206|1.0|0.0|10.95880687|588.55|6.9706
12s_a36|0|0.8060798779999999|1.0|-0.086791463|3.486136149|13.98635088|2.14|662.0530478999999|0.0274|0.0|0.0|10.95352614|683.24|8.0458
4m_a46|0|0.747676221|1.0|0.011235955|0.0|9.923886653|3.59|486.9589609|0.00981|0.0|0.0|10.94319657|558.63|5.8901
12e_a31|0|0.7761616020000001|1.0|-0.028502695|3.483599061|19.50674899|4.5|798.7285626|9.96e-05|1.0|0.0|10.3116965|781.61|6.7696
9s_a24|0|0.773544454|1.0|0.0256742079999999|2.9568988810000003|17.24354813|2.63|604.8829955|171.0|1.0|0.0|10.96129902|654.28|7.4949
7c_a8|0|0.740795639|1.0|-0.196826366|3.17138259|15.18314943|3.26|572.8089095|0.00399|1.0|0.0|10.94670214|662.05|4.7307
12b_a30|0|0.824373792|1.0|-0.1240820219999999|0.0|13.88809428|2.92|618.6004214|0.00171|0.0|0.0|10.31162898|673.18|8.1543
12c_a30|0|0.824373792|1.0|-0.1240820219999999|0.0|13.9883503|3.11|652.8825454|0.0005139999999999|0.0|0.0|10.31162888|695.96|7.9914
1c_a5|0|0.7595197290000001|1.0|-0.109439124|2.955525321|11.580409800000002|3.43|409.0289917|0.0174|1.0|0.0|10.9433337|556.84|5.4
15c_a22|0|0.773044788|1.0|0.010828071|0.0|16.03890406|2.98|731.8178649|0.00618|1.0|1.568396937|10.9464374|715.42|6.1325
12a_a40|0|0.718281767|1.0|-0.375724138|0.0|14.43505064|4.78|323.26151960000004|0.000134|0.0|0.8332127109999999|10.31197265|530.55|5.7501
18d_a25|0|0.780221059|0.0|0.029728702|0.0|18.11893325|4.5|883.4030667999999|0.00026|1.0|2.029297802|10.31285314|792.79|6.6345
9i_a24|0|0.822658951|1.0|-0.0106944439999999|2.9199957480000003|11.18382556|1.73|295.8603625|716.0|1.0|0.0|10.96661275|501.48|7.0555
8c_a31|0|0.847752299|1.0|-0.1759864119999999|3.435435563|12.99457133|2.83|423.1367008|13.0|1.0|0.0|10.31169969|595.67|6.0915
13p_a6|0|0.784414352|0.0|-0.125636943|3.449535594|14.91957306|2.96|794.5462391|0.00365|1.0|1.633493259|10.95053423|752.82|7.0362
7_a27|0|0.801251575|1.0|-0.08694032|0.0|12.087978|3.14|479.0078184|0.0299|0.0|1.280380317|10.93773474|606.74|9.0
11_a27|0|0.814843016|1.0|-0.043616687|2.680511093|9.562117063|2.04|504.209846|0.0716|0.0|1.3706083080000002|10.93910312|571.4|8301.0
8j_a46|0|0.789844634|1.0|-0.074207717|0.0|9.817783823|3.82|453.1959065|0.00878|0.0|0.0|10.96391738|576.48|5.9108
7b_a10|0|0.764865564|1.0|0.065705128|0.0|8.771658176|3.02|459.0250226|0.00183|0.0|2.079721225|10.93274506|562.31|4.7033
20_a47|1|0.7962508290000001|1.0|0.113432542|0.0|13.10815891|3.09|428.5826478|0.0332|1.0|1.010373001|10.95058273|557.84|8.6
21_a4|0|0.777866961|2.0|-0.174578783|0.0|9.956436217|3.23|387.240586|0.0403|1.0|0.0|10.94593332|549.71|6.9172
11_a4|0|0.820318166|1.0|-0.007574475|0.0|13.18281017|4.16|575.2252237|0.00271|1.0|2.216390726|10.33765061|630.04|6.9586
19b_a38|0|0.8295290000000001|1.0|-0.114123934|3.26554965|13.74014387|2.94|593.6088758|0.0238|0.0|0.0|10.96052467|646.81|7.9172
14_a1|0|0.7462411859999999|1.0|-0.083341531|3.3674017380000003|14.21658628|2.85|513.4628663999999|0.0116|1.0|0.0|10.94959842|621.08|7.0269
24_a47|1|0.812650394|1.0|0.113432542|0.0|13.48797266|3.31|457.1122177|0.00975|1.0|1.081401467|10.95005721|578.94|8.5
1d_a5|0|0.7595197290000001|1.0|-0.015804188|2.79978458|11.5640749|4.15|403.396385|0.00589|1.0|0.0|10.94437658|567.04|5.03
8d_a8|0|0.757805416|1.0|-0.179357354|3.190160226|14.52777156|3.0|682.0472537|0.00533|0.0|0.0|10.94649761|690.78|4.7303
3k_a32|1|0.779649252|1.0|-0.129124455|3.644417045|11.6688363|4.75|506.658189|3.3600000000000004e-05|1.0|2.256213388|10.31100271|611.65|8.0605
14q_a23|1|0.808928963|1.0|-0.089657283|0.0|16.53853737|2.62|693.3423458|0.00278|0.0|0.720966302|10.31321757|714.22|7.8069
3c_a32|1|0.839409251|1.0|-0.019130435|3.452148526|9.717148607|4.02|370.5811396|0.000217|1.0|2.224112182|10.31100278|544.22|8.0458
16_a31|0|0.8318419909999999|2.0|0.0980869569999999|3.096824452|9.649327262|2.33|280.39844320000003|0.0131|1.0|0.0|10.31170095|503.18|7.0458
16d_a32|1|0.8575664540000001|1.0|-0.0847953219999999|3.311658163|11.16880283|3.12|457.7130665|0.000856|0.0|2.07416189|10.31100273|621.59|8.1135
12d_a40|0|0.7769829840000001|1.0|-0.254735308|0.0|14.88744155|4.21|350.9435025|0.0002009999999999|0.0|0.794852923|10.31197256|552.57|7.7212
12aq_a36|0|0.839953955|1.0|-0.047695595|3.427017327|14.98931431|1.15|689.2886595|129.0|0.0|0.0|10.95447882|703.04|7.2596
16i_a32|1|0.836966894|1.0|0.009897928|3.352437091|12.57892808|3.96|636.0251562999999|3.96e-05|0.0|2.078707411|10.31100265|692.96|8.2596
18c_a22|0|0.7669483559999999|1.0|0.010828071|0.0|14.04085897|3.72|779.8043336000001|0.000739|1.0|1.642882533|10.31286086|707.08|7585.0
9_a10|0|0.791322552|1.0|-0.169389445|0.0|16.02210901|3.07|816.3832816|0.0259|1.0|1.754798254|10.92721632|740.24|6.7144
12ak_a36|0|0.815627016|1.0|-0.0265703679999999|3.501132553|13.86156772|2.66|799.5563855|0.0047799999999999|0.0|0.0|10.95268014|730.3|7.3372
8_a20 (IN-1130)|0|0.760688473|1.0|-0.0957193819999999|3.443195704|15.46983888|3.14|684.5377542|0.00596|1.0|1.622562232|10.94899447|696.06|7.4437
4h_a46|0|0.7543177040000001|1.0|-0.134568896|0.0|15.85230406|3.82|1021.999374|0.000149|0.0|0.0|10.31928028|792.61|6.6402
8b_a50|1|0.809463375|2.0|-0.031953774|3.1324050960000003|9.26652151|2.51|339.5806858|108.0|1.0|1.98971238|10.945024|515.81|7.1675
17_a3|0|0.767641592|1.0|-0.085686119|0.0|11.12358659|3.71|353.7528308|1.0|1.0|1.709081227|10.31163036|537.32|7.6383
4e_a49|0|0.803344301|1.0|0.032396301|0.0|15.01788083|2.42|620.5697596|211.0|1.0|1.713107022|10.92777282|660.22|7.4685
16h_a32|1|0.832040698|1.0|-0.03617945|3.340888605|12.42028916|3.74|573.3529948|0.000136|0.0|2.075726759|10.31100268|679.82|8.0655
12a_a50|1|0.795582575|2.0|-0.2018898489999999|0.0|9.648744341|2.55|388.171611|215.0|1.0|2.112397566|10.94501645|545.54|7.1249
11_a47|0|0.715054643|0.0|0.07716247|0.0|11.22841564|4.69|670.2339441|0.000216|1.0|1.311097861|10.93671007|654.49|7.4
12as_a36|0|0.817372883|1.0|-0.04244711|3.447017327|16.08155469|1.84|716.9974499|0.0653|0.0|0.0|10.95347588|712.04|7.2291
12al_a36|0|0.8344566859999999|1.0|-0.055405405|3.469383582|16.15533063|1.81|679.7230552999999|0.0464|0.0|0.0|10.96020817|702.95|7.3188
17g_a50|1|0.738521694|1.0|-0.2126789369999999|0.0|15.28352231|3.63|829.3813984|0.0148|1.0|2.236579664|10.94501702|725.92|6.6091
2_a49|0|0.79056501|1.0|0.00991453|0.0|10.38394173|2.76|439.9973344|0.0955|1.0|1.999073077|10.92973199|553.52|7.2291
7d_a10|0|0.809056885|1.0|-0.051603612|0.0|11.82615475|3.95|460.1866123|0.0206|1.0|1.591760572|10.929819300000002|574.87|6.0325
3h_a32|1|0.7926338540000001|1.0|-0.2|3.579396967|13.71739929|5.4|593.0848817000001|2.24e-06|1.0|2.243113495|10.31100268|676.22|8.1549
9b_a31|0|0.852813666|1.0|-0.154083843|3.338934004|15.2652837|3.0|524.0230338|0.00675|1.0|0.0|10.31169871|663.06|7.2007
5_a15|0|0.704479781|1.0|0.020920163|0.0|15.1701491|4.29|779.0599798999999|0.000304|1.0|0.0|10.95880662|737.16|7.8861
