molecula|NaaNH|n9FaHRing|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|SaaaC|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|WNSA5|WPSA3|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Veber filter|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
8e_a46|0|0|0.0|7.727094485|1|1|1.160371308|2.161814059|-0.205882192|-0.001015139|0.000950213|0.043238095|0.0|0.012911107|-0.184317354|10.96411233|1|1|0.0123581919999999|-0.08488645|-0.135984209|-0.132524216|2|0.669602597|0.789844634|-0.241393458|0.837678812|0.668786636|-0.065982313|0.281227001|0.009576086|-33.59778824|4.876083942|7.389496216|0.078647648|-17.10778729|2.482871976|-0.989734694|-13.83322216|39.62167507|-11.72015869|32.04299109|0.444693313|1982.950764|-503.9668235|1415.320228|-5.967832774|0.2507580889999999|5.504080656|4239.252176|-256.61680930000006|15.64268965|0.011830243|-253.8248986|672.6356549999999|426.71841|6.023886838999999|0.0|0.0|1.0|2.93|0.32|-6.67|3.9|43.6|2.13|0.0|0.0|-3.59|23.0|-6.02|304.39|0.0|3.21|0.0002569999999999|0.0279|0.0|2.16e-07|-0.03175|4.5092|-954.9296396|552.99|933.3|274.96|0.2162|274.96|457.96|0.6967|-954.743261|0.2162|-0.18835|3.2194|0.024010215|3.7755|406.0|6.3915|6.3915
12q_a36|1|0|3.453150038|7.412764017000001|2|2|1.29701394|0.0|-0.0543475329999999|-0.00761082|-0.043678703|0.042804233|0.0|0.0005016269999999|-0.0651906459999999|10.9598352|1|1|0.0010871589999999|-0.103922055|-0.177407665|-0.441747876|1|0.8941919290000001|0.828371596|-0.017640538|0.8839272779999999|0.8065052890000001|-0.1060430969999999|0.324924033|0.018562763|-68.5549152|12.00048565|82.68142965|0.17088073|-44.31949385|7.758093617|-1.908775752|-31.79544084|80.15866795|-24.67976947|61.18276554|0.486620426|2786.514757|-1233.988474|2380.245597|-15.95501778|0.231307611|7.546533709|6040.52496|-797.7508892000001|32.10617123|0.017949083|-347.4093916|1605.308562|629.5017194000001|11.60375275|1.0|0.0|0.0|0.0|0.14|-7.18|2.54|69.2|2.51|0.0|0.0|-4.44|30.0|-6.49|415.88|0.0|2.34|3.64e-05|0.0106|0.0|6.65e-08|-0.05602|5.2375|-1692.544456|683.51|1148.35|320.77|0.4239|236.72|531.58|0.39919|-1692.3116350000005|0.3419|-0.1566|4.6718|0.03415678|6.4226|6.0|8.2218|8.2218
9_a15|0|0|0.0|0.0|0|0|1.419941378|0.0|-0.217598467|-0.009923019|-0.042227775|0.04022792|0.0|1.7800000000000002e-05|0.05688176|10.95880687|0|0|0.003160815|-0.203104439|-0.295062413|-0.344978312|1|0.85357243|0.7059441040000001|0.088615068|0.742680335|0.8105478740000001|-0.11668349|0.416635119|0.032464905|-65.07462414|18.10574464|105.5304352|0.153843684|-36.29225274|10.09761131|-1.400201879|-22.92354152|85.14415759|-15.93664265|59.20930631|0.4517825079999999|2392.3164920000004|-780.8954896|1689.926339|-8.88789863|0.48742253|5.485176331|5375.400861|-435.5070329|31.09118831|0.03598612|-14.02896218|1523.4682269999998|532.0914339999999|20.06953345|1.0|1.0|1.0|3.37|0.19|-7.57|4.95|61.84|1.96|0.0|0.0|-5.25|27.0|-5.52|366.41|0.0|3.69|5.63e-06|0.00562|0.0|2.69e-08|-0.0258899999999999|4.3447|-1223.705126|588.55|1042.17|330.74|0.2693|285.37|507.33|0.6512399999999999|-1223.463757|0.0115|-0.1565099999999999|1.4625|0.01773342|2188.0|107.0|6.9706|6.9706
A7701_a51|1|0|2.9690728930000003|6.605297921|0|0|1.390164251|0.0|-0.221071791|-0.002377784|-0.0162614089999999|0.031405229|2.087643036|0.008062393|0.058290286|10.93031118|1|1|0.00740235|0.036217274|0.061434294|-0.22798944|2|0.7078647990000001|0.7451039290000001|0.00552665|0.8092075540000001|0.688876851|-0.078131694|0.514530959|0.007404204|-36.09660744|3.420720075|146.2104641|0.134885227|-16.67652408|1.580362387|-1.09384371|-15.23632002|41.87351682|-14.03756956|36.39998243|0.420350923|1959.582581|-505.3525041|1108.114062|-6.485314917999999|0.200953608|5.137516673|4153.310077|-233.4713371|17.56790307|0.012504214|-276.3170672|632.4445105000001|332.8814548|5.776909381|1.0|0.0|1.0|2.05|0.06|-7.58|4.0|54.46|1.98|0.0|0.0|-3.95|22.0|-5.82|286.33|0.0|3.12|0.000111|0.0195|0.0|2.62e-08|||||||||||||||||25.0|7.6021|7.6021
7s_a46|0|0|0.0|7.727094485|1|1|1.160371307|2.117265684|-0.0778653109999999|-0.005351046|-0.076841616|0.044509804|0.0|0.0060802|-0.005405515|10.94651358|1|1|0.005577925|0.012197837|0.018964141|-0.3638523629999999|1|0.778692012|0.770312275|-0.036284605|0.8182543959999999|0.768056188|-0.083011849|0.249893305|0.008871171|-41.72189594|4.458665639|166.3052939|0.141211538|-20.9694955|2.240932895|-1.3281895890000002|-24.43308641|47.36217237|-15.894055599999998|53.07188519|0.433822088|1982.695462|-667.5503351|1619.4591|-7.988379237|0.1801125439999999|5.565371272|4245.390306|-335.5119279|19.38565529|0.01122216|-321.55195330000004|814.1975221|409.9543818|5.640276426000001|0.0|0.0|1.0|2.33|0.26|-6.08|3.9|50.94|2.39|0.0|0.0|-4.07|23.0|-5.81|305.37|0.0|3.12|8.590000000000001e-05|0.0176|0.0|8.39e-07|-0.02024|5.2972|-974.8067569|539.99|916.7|288.81|0.4164|234.06|446.63|0.44692|-974.615216|0.1186|-0.17923|2.4286|0.036050328|3.6655|1985.0|5.7022|5.7022
8d_a8|1|0|3.190160226|7.05012252|0|0|1.395657339|1.41693287|-0.12349902|-0.0111144189999999|-0.155313194|0.042323232|0.0|-0.00267541|-0.077977198|10.94649761|1|1|-0.001038264|0.016471091|0.025642021|-0.4385133129999999|1|0.76211539|0.757805416|0.0780635059999999|0.804372443|0.734212688|-0.103150936|0.377028311|0.028038295|-67.26951954|18.28507531|57.93693239|0.306707511|-43.86958028|11.92454747|-2.063018716|-45.62337399|86.29065071|-24.91463687|88.24385833|0.483207744|2863.968296|-1345.390391|2093.380666|-16.2479927|0.324640122|7.507839835|6596.888351|-877.3916055999999|36.89090464|0.029166961|-228.7206541|1992.108851|682.0472537|19.02113117|0.0|1.0|1.0|2.92|0.12|-7.62|3.32|112.23|1.92|0.0|0.0|-4.91|32.0|-6.87|430.46|0.0|3.0|1.24e-05|0.0147|0.0|2.38e-08|-0.0600299999999999|4.6765|-1447.595474|690.78|1185.65|376.13|0.3|265.12|572.21|0.62361|-1447.2928029999998|0.1879|-0.13754|6.0111|0.03604461|7.5674|18.61|4.7303|4.7303
12g_a40|0|0|0.0|7.515889085|0|0|0.604990688|1.687211672|0.037440516|-0.01011728|-0.129331216|0.036630824|0.726175674|-0.001011175|0.075327376|10.31197254|2|2|-0.003205145|0.063401514|0.106286677|-0.512657141|0|0.777835705|0.769016155|0.020185301|0.8396782220000001|0.6941475490000001|-0.099521372|0.289122732|0.012706769|-52.24208444|6.670206427999999|130.7472028|0.129798543|-27.42361099|3.501413627|-1.393299206|-26.21888031|59.29860462|-22.85591194|56.61727428|0.465725912|2287.970776|-731.3891821000001|681.6778419|-11.99782981|0.147968773|7.692740528|5211.675486|-383.9305539|26.82520454|0.013442698|-369.5858437|858.4065454|335.7078145|7.056520179|1.0|1.0|0.0|3.2|0.0|-6.63|5.14|78.66|3.76|0.0|0.0|-6.46|23.0|-4.91|362.23|0.0|4.4|3.43e-07|0.000586|0.0|2.37e-07|-0.07424|4.0224|-2173.044757|540.25|896.63|392.64|0.3539|308.23|429.31|0.67055|-2172.9382|0.2682|-0.13191|1.9175|0.02230594|2.7075|724.0|6.1403|6.1403
4f_a49|0|0|0.0|7.535296702|1|1|1.343848013|2.066693174|0.010266272|-0.008903208|-0.087045007|0.038839506|1.5830545580000002|0.001532832|-0.064058097|10.92775957|1|1|0.001714014|-0.015845165|-0.025995042|-0.46436755|2|0.69044503|0.7927086309999999|-0.00953448|0.8557769120000001|0.670594896|-0.089955514|0.480786546|0.016591015|-48.83888562|9.007637695|193.615884|0.262938196|-26.51573683|4.89045046|-1.439288231|-30.33918719|60.18871783|-18.1726086|64.88887164|0.437355335|2458.261097|-781.4221699|1629.651745|-9.866320682|0.2816937089999999|6.302023735|5422.650822|-424.2517893|25.29924744|0.020905063|-237.0468572|1087.86764|467.1194103|11.34983222|0.0|1.0|0.0|2.35|0.14|-6.54|3.8|80.9|2.03|0.0|0.0|-3.99|27.0|-6.6|356.38|0.0|2.85|0.000102|0.0289|0.0|2.92e-07|-0.06954|4.6249|-1179.23587|575.01|982.46|334.21|0.2368|268.08|411.94|0.39584|-1179.029099|0.0579999999999999|-0.15517|1.7833|0.03476467|1.8254|0.04|7.3979|7.3979
13b_a50|0|1|0.0|7.934155233999999|2|2|1.267593379|4.253030728|-0.067327798|-0.003876697|0.010464577|0.032833333|2.117002752|0.010435712|-0.042022102|10.94500743|2|2|0.011379776|-0.173463805|-0.269353185|-0.319215353|1|0.749187803|0.788327682|-0.041506802|0.828965118|0.71935296|-0.080785633|0.435064196|0.019899348|-57.74541064|14.22401427|104.0753113|0.093835987|-41.27630533|10.16729727|-1.696498291|-26.31826007|70.09526468|-19.24847021|51.04317051|0.4321103879999999|3036.874979|-1212.6536230000002|2147.355856|-13.75876844|0.299589696|9.514897025|6639.077063000001|-866.8024118999999|27.48170624|0.017277404|-286.5057775|1731.347493|900.2031356000001|12.34985404|1.0|1.0|1.0|4.17|0.37|-7.23|5.12|66.99|2.52|0.0|0.0|-5.02|34.0|-6.3|455.55|0.0|3.99|9.65e-06|0.00361|0.0|5.87e-08|-0.02606|4.2315|-1470.401544|780.4|1339.39|301.22|0.1589|293.0|617.26|0.65332|-1470.039226|0.1553|-0.1701599999999999|5.5271|0.03156473|7.1645|1.83|5.7375|5.7375
17a_a25|0|0|0.0|6.842683282|0|0|1.373200859|1.826085128|0.0055894319999999|-0.004137083|-0.036457743|0.043274232|2.008884939|0.0063846319999999|-0.0688716509999999|10.93106298|1|1|0.006423059|-0.047099434|-0.07654898|-0.362222339|2|0.6741827509999999|0.748718056|0.168247187|0.8005589320000001|0.659740852|-0.079378741|0.348821736|0.012665055|-56.61512986|9.033070252|93.75234138|0.125413071|-40.379488|6.442637379|-1.666953566|-31.71656603|67.57985355|-21.2306737|53.50212109|0.468791604|2907.309477|-1188.917727|2432.071525|-15.142307999999998|0.244019498|8.996672966|6250.571217000001|-847.969248|28.08362601|0.015373381|-365.1448527|1572.683056|781.7487682|10.96472369|1.0|1.0|1.0|3.47|0.11|-9.98|5.31|72.7|2.67|0.0|0.0|-5.12|33.0|-6.18|433.5|0.0|4.04|7.5e-06|0.00323|0.0|1.05e-10|-0.05255|5.2683|-1391.625102|747.06|1271.9|315.11|0.4076|235.34|598.67|0.35172|-1391.321455|0.1735|-0.16304|3.4677|0.0362293|5.1401|25.0|7.6021|7.6021
