molecula|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|AATSC1s|n6HRing|BCUTi-1|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
15_a3|0.0|0.0|6.823286122000001|1|1|0.619596467|0.079167398|-0.006742751|-0.092127078|3|10.33806279|0|-0.325227172|-0.022386155|-0.039798975|-0.505519936|3|0.968837995|0.813015336|0.866559772|0.911346861|0.7789088340000001|-0.092342351|-0.107619999|-55.08588323|4.04445331|315.5421792|113.1667185|-0.037667|-28.19600959|0.0|0.850327497|-1.50667999|-24.19332693|60.30684851|-19.28005913|51.31038923|0.461565365|2116.88728|398.6887321|-771.2023653|1433.713715|-9.868603355|0.85723565|4617.470007|76.61068671|0.010200078|-358.6340772|906.9474625|402.781061|1.0|1.0|0.0|1.0|1.0|4.12|0.0|0.24|2.21|89.99|0.0|0.0|94.29|0.0|2.0|-2.77|-7.35|321.4|0.0|0.0|-3.02|0.0017|547.0|306.0|1.28|0.0|1.66e-06|0.000535|6.0077|3.7072|-1328.688126|-1328.665275|553.81|916.07|0.4107|398.12|0.2843199999999999|0.67902|0.0173|-0.1576|-0.22079|0.0228507|-1328.581677|7.6021
12aa_a30|0.0|0.0|7.412764017000001|2|2|0.604983643|-0.101407312|-0.008848121|-0.028524865|2|10.31162784|1|-0.023695642|-0.12254489|-0.207153446|-0.394520145|1|0.8397577820000001|0.809127478|0.855880335|0.794193541|0.8126513129999999|-0.078042288|-0.101368383|-70.79444906|21.58471858|55.0567406|130.84205079999998|-0.033789461|-49.44198469|0.0|0.630759573|-1.925999268|-38.06478415|91.51563481|-23.59814969|76.08850600000001|0.4659424379999999|3115.249471|567.5458219999999|-1345.094532|2455.130164|-16.48066156|0.872457337|6944.511023|257.8730361|0.029670025|-182.6418006|2132.499591|792.3440337000001|1.0|0.0|1.0|1.0|1.0|4.86|0.0|0.21|3.94|100.11|2.0|0.0|140.26|0.0|7.0|-5.61|-6.39|458.54|0.0|0.0|-5.0|2.47e-06|0.00113|0.00456|3.81|0.0|1.47e-07|6.720000000000001e-05|5.1925|3.4642|-1804.818818|-1804.784381|748.78|1275.73|0.1667|605.07|0.30341|0.68642|0.1506|-0.1472099999999999|-0.19687|0.03443621|-1804.582558|8.1135
14a_a22|0.0|0.0|6.842683282|0|0|1.4229176680000002|-0.136588366|-0.0050042229999999|-0.052476637|2|10.9464374|1|0.036467904|-0.097476465|-0.165471815|-0.360663314|2|0.6819423609999999|0.7392451729999999|0.794858486|0.655865336|0.864077619|-0.062215607|-0.081479363|-55.51601021|14.49148204|93.21042936|92.61079081|-0.031338217|-37.82586486|60.38977977|0.7007904070000001|-1.629587269|-28.88288575|70.33046351|-21.35231162|56.88212098|0.446584227|2885.858295|588.739773|-1110.320204|2169.870866|-14.54840956|0.8069597009999999|6348.976909|203.8666248|0.021742777|-273.61731430000003|1584.38271|684.5377542|1.0|1.0|1.0|1.0|1.0|3.42|2.86|0.08|3.87|85.59|1.0|0.0|124.05|0.0|6.0|-4.65|-6.61|420.47|0.0|0.0|-4.68|2.25e-05|0.00945|0.00881|3.18|0.0|6.1e-10|2.56e-07|5.0653|3.5707|-1368.35698|-1368.321586|695.62|1191.81|0.3051|534.87|0.45928|0.63156|0.0578|-0.15029|-0.21174|0.03539365|-1368.13858|7.4202
12e_a31|3.483599061|0.0|7.765993078999999|1|1|0.610134116|0.052663358|-0.011519192|-0.044316064|0|10.3116965|2|0.01824365|-0.08867626|-0.142921555|-0.543945776|0|0.7968154940000001|0.7761616020000001|0.82100963|0.76012894|0.721526766|-0.0939597569999999|-0.1099563869999999|-79.96257188|19.38343763|166.1479229|202.5115275|-0.036652129|-58.15044546|595.9853231000001|0.725120432|-2.089171358|-49.6906263|95.1187282|-26.65419063|87.71292755|0.474858042|3040.353774|524.7092721|-1519.288866|1899.851187|-19.38348182|0.904247004|6557.418968999999|199.8981394|0.020841203|-327.4245209|2095.222806|798.7285626|1.0|1.0|1.0|1.0|2.0|3.87|3.72|0.24|6.69|117.37|3.0|0.0|129.38|0.0|9.0|-6.66|-5.93|460.55|0.0|0.0|-5.42|2.16e-07|9.96e-05|0.00176|4.48|0.0|4.93e-10|2.27e-07|5.3264|3.8391|-1809.899887|-1809.85374|781.61|1308.13|0.3831|640.03|0.55114|0.7006600000000001|0.2627|-0.15934|-0.19379|0.04614662|-1809.650069|6.7696
4_a27|0.0|0.0|6.823286122000001|0|0|1.4008954130000002|0.082486268|-0.006181204|-0.058641975|2|10.93736915|1|-0.459570857|-0.2030237389999999|-0.341622797|-0.480852615|2|0.639413469|0.7853766809999999|0.842039655|0.614205449|0.852604338|-0.057748369|-0.078787867|-40.79296366|10.43112657|8.590238252999999|76.31512503|-0.0281385239999999|-21.12083948|58.27512057|0.682485674|-1.181818|-15.48073439|51.33640873|-14.56891559|40.33074472|0.444169714|2273.715366|441.4418013|-611.8944548999999|1213.060761|-7.543156957000001|0.799110312|4988.6278600000005|164.3952417|0.020363697|-188.9664429|896.5674718|424.8821143|0.0|0.0|1.0|1.0|0.0|3.11|3.08|0.16|2.94|65.6|0.0|0.0|97.55|0.0|2.0|-3.57|-6.51|331.37|0.0|1.0|-3.99|0.000266|0.0882|0.0339|2.55|0.0|6.04e-07|0.0002|5.5485|4.1288|-1083.138303|-1083.119531|555.75|946.77|0.2002|445.65|0.36899|0.6089899999999999|0.1741|-0.17034|-0.21533|0.01877181|-1083.01571|8.3979
16j_a32|3.359912013|-0.082980188|7.765993078999999|0|0|0.609420735|0.175152442|-0.0139074189999999|-0.086195934|0|10.31100263|3|-0.11512706|-0.117577419|-0.202656848|-0.704356423|0|0.79965447|0.798237393|0.839271289|0.762429418|0.8259884120000001|-0.07651119|-0.106897203|-76.45058155|16.63953228|34.66998636|124.4493461|-0.034287782|-54.6758122|45.81893652|0.699790508|-1.817252458|-39.13396528|91.93816239|-24.52188465|71.35869023|0.442735754|2830.682695|590.7291534|-1299.659886|3448.428146|-17.53752467|0.7944808170000001|6507.757122|214.7033741|0.021655546|-285.7717513|1857.212797|701.9321161|1.0|0.0|1.0|1.0|2.0|3.86|3.38|0.33|6.49|149.27|3.0|0.0|121.3|1.0|8.0|-7.45|-5.73|441.57|1.0|0.0|-5.41|3.56e-08|1.57e-05|0.00172|4.59|0.0|1.7e-08|7.5e-06|3629.0|3629.0|-2034.621888|-2034.593521|729.78|1225.27|0.2907|631.34|0.70207|0.70207|0.2907|-0.15012|-0.2002799999999999|0.0283671|-2034.408854|8.0315
12as_a36|3.447017327|0.0|7.412764017000001|2|2|1.297043209|-0.051208473|-0.007672841|-0.073735973|2|10.95347588|1|0.162571317|-0.098698552|-0.166354116|-0.4358775279999999|1|0.8058720979999999|0.817372883|0.869455765|0.770400825|0.77043791|-0.082748367|-0.109492809|-73.78005999|12.95780416|88.17694537|154.6869148|-0.037824788|-49.71556877|0.0|0.768125394|-2.080363362|-37.57216725|85.53474971|-25.48765709|68.71652969|0.454761514|2904.092809|519.1478419|-1401.82114|2365.632846|-17.17446921|0.834059821|6224.698969|156.2451686|0.017444469|-361.3444194|1824.98997|716.9974499|1.0|0.0|0.0|0.0|2.0|4.86|0.0|0.17|3.16|86.27|1.0|0.0|133.95|0.0|6.0|-3.81|-7.21|423.47|0.0|0.0|-3.95|0.000154|0.0653|0.0476|2.36|0.0|1.29e-07|5.4600000000000006e-05|4.5202|3851.0|-1385.601917|-1385.5651710000002|712.04|1207.35|0.5902|568.52|0.53815|0.68211|0.2402|-0.1563|-0.21419|0.03674596|-1385.384524|7.2291
12b_a36 (EW-7197)|3.3685352889999995|0.0|7.412764017000001|2|2|1.2970445309999998|-0.104514139|-0.008137593|-0.082283951|2|10.96052467|1|0.059005046|-0.101303149|-0.217394466|-0.442656599|1|0.724208473|0.819222745|0.8741648479999999|0.698414933|0.7635183720000001|-0.081357853|-0.10866747|-67.98756422|13.41367899|81.63796416|147.9542111|-0.039120289|-42.53627024|5.958751634|0.746747352|-1.956014468|-31.84632538|80.95733534|-24.47552312|64.31504105|0.45988432|2772.832013|477.6935927|-1223.776156|2338.370858|-15.31305729|0.851455231|6096.459089|158.4469629|0.020730147|-308.7538779|1638.808832|595.8790650000001|||||||||||||||||||||||||||||3.8475|3.7725|-1332.180029|-1332.147999|659.48|1104.61|0.4491|486.64|0.6824899999999999|0.69991|0.0197|-0.15571|-0.20546|0.03202977|-1332.005651|8.1549
8a_a31|3.28085223|0.0|7.765993078999999|1|1|0.610138387|-0.039027368|-0.015034136|-0.158899731|0|10.31170053|2|-0.258538098|-0.054025775|-0.094359203|-0.520051508|0|0.938325481|0.837862749|0.895174844|0.883113019|0.594139864|-0.122293189|-0.136459435|-67.46619355|18.56711239|131.2406629|200.6591816|-0.0416959379999999|-33.35560699|465.4559302|0.666437359|-1.501053781|-29.89286568|82.32407724|-20.61467025|79.02944672|0.4512945479999999|2128.209198|293.7455749|-742.1281291|1443.955093|-10.19199103|0.822471411|4538.505909|164.9149565|0.030052065|-164.57484340000002|1113.575221|324.7430642|0.0|1.0|0.0|1.0|2.0|3.34|2.05|0.2|4.16|114.29|0.0|0.0|83.83|0.0|3.0|-3.57|-7.11|314.36|0.0|0.0|-3.11|0.000269|0.0846|243.0|1.56|0.0|4.62e-06|0.00145|3.8097|3.8097|-1347.541429|-1347.507102|538.75|872.11|0.2604|396.15|0.7027100000000001|0.7027100000000001|0.2604|-0.1587599999999999|-0.18869|0.03432763|-1347.446223|6.1024
9h_a40|0.0|0.0|7.515889085|0|0|0.604992856|0.014753178|-0.009041931|-0.126968715|0|10.31197223|2|0.270048551|0.048470175|0.08305063|-0.503000695|0|0.778613709|0.740778143|0.8022014000000001|0.7528137909999999|0.864310149|-0.09201708|-0.095803029|-47.93581245|6.199629554|132.6583116|67.89350333|-0.041058441|-23.98506758|0.0|0.863884935|-1.437045429|-23.03722449|53.60044379|-20.54391962|52.2411122|0.482124665|2073.354193|432.46450360000006|-719.0371868|418.2915223|-10.27931468|0.930966649|4322.734135|68.10626265|0.011321157|-364.1454816|832.3298135|336.23227030000004|1.0|1.0|1.0|1.0|0.0|3.3|3.55|0.11|4.59|67.66|1.0|0.0|93.19|0.0|3.0|-5.65|-5.06|321.4|0.0|1.0|-5.12|2.23e-06|0.000716|0.00244|4.51|0.0|3.09e-07|9.93e-05|4.2372|3.3675|-1293.174246|-1293.151333|526.38|868.84|0.3851|410.18|0.64952|0.69809|0.2721|-0.14047|-0.20038|0.02291279|-1293.083512|5.4001
