molecula|molecula|Veber filter|Approximated area|MATS8d|GeomDiameter|SIC2|GeomShapeIndex|PPSA1|SRW09|E solv. Water  (Hartree)|MATS2c|PBF|JGI4|SaaaC|FNSA4|AATSC1are|Log Po/w WLOGP|GRAVp|pIC50
13a_a6|13a_a6|0.0|571.9|-0.091892803|15.08351934|0.8299950709999999|0.8764206290000001|157.0011174|7.412764017000001|0.02818646|-0.042110772|0.22670695|0.041767677|0.0|-0.040840697|-0.00460563|4.32|2820.31296|7.3372
19_a15|19_a15|0.0|519.04|-0.048611111|10.26331993|0.770451673|0.681885245|44.99916039|0.0|0.04315771|0.156105985|0.355677322|0.040555556|0.0|-0.042351319|-0.012350591|4.96|2625.952212|7.1427
5_a15|5_a15|0.0|629.67|0.020920163|15.1701491|0.74438723|0.946094849|365.1095806|0.0|0.03640044|-0.222657379|0.743577162|0.035982906|0.0|-0.0273088679999999|0.000420839|6.01|2940.77098|7.8861
12ay_a36|12ay_a36|0.0|532.22|-0.111814717|11.82248632|0.833398429|0.828201506|143.79285900000002|7.412764017000001|0.02880431|-0.05976542|0.419950383|0.043383838|0.0|-0.035337546|0.003676818|2.5|2766.899844|7.7447
12k_a30|12k_a30|0.0|564.62|-0.067714819|15.93977881|0.883029843|0.893775698|193.3575303|7.412764017000001|0.03357755|-0.001755273|0.340031035|0.042739018|0.0|-0.035199567|0.0043261129999999|2.63|2920.279667|7.6144
4R4l_a46|4R4l_a46|0.0|498.78|-0.229089688|10.43942503|0.762625193|0.8412270820000001|66.05102684|7.825245291|0.02589231|-0.058870177|0.208818132|0.049498645|0.0|-0.02989332|0.0066560469999999|5.02|2165.83681|6.8633
12ax_a36|12ax_a36|0.0|552.0|-0.056676035|14.78635841|0.892249657|0.955040697|157.28794140000002|7.412764017000001|0.03044421|-0.0943348109999999|0.375647684|0.043383838|0.0|-0.038813619|-0.001012333|3.19|2926.929456|7.9208
4b_a49|4b_a49|0.0|509.78|0.049923437|14.53457293|0.852400617|0.915225186|218.2802175|7.535296702|0.03702033|-0.109946885|0.438784865|0.036555556|1.645329244|-0.030696709|0.001769804|3.26|2708.998101|7.1024
12e_a40|12e_a40|0.0|445.12|-0.279310345|15.75963228|0.858770467|0.966435355|113.5576846|7.515889085|0.03272669|0.061944605|0.284429447|0.04020202|0.665270062|-0.048387621|-0.013162335|4.84|2391.0322170000004|5.9318
11d_a31|11d_a31|0.0|551.86|-0.13169885|15.21323794|0.868115289|0.929231204|194.8221811|7.765993078999999|0.04390452|0.064475882|0.197166451|0.0388738739999999|0.0|-0.040797245|-0.009496378|4.03|2532.447962|7.5229
6_a47|6_a47|0.0|422.9|0.062425042|10.90843226|0.84654143|0.6832388209999999|111.4552019|0.0|0.03288085|0.011739916|0.446564415|0.042276423|1.291219116|-0.036834143|-0.010708889|6.27|2431.668154|7.9
7a_a8|7a_a8|0.0|494.48|-0.032562221|14.73814865|0.831914523|0.914283468|156.2924154|7.535296702|0.0269461|-0.11821781|0.238462711|0.041123188|0.0|-0.042647654|0.000736369|3.49|2715.360649|4.6068
19j_a38|19j_a38|0.0|533.97|-0.060360554|12.69084117|0.908721232|0.6907121629999999|195.5099392|7.412764017000001|0.03678378|-0.089207643|0.625966089|0.04391253|0.0|-0.038119963|-0.004442319|2.42|2969.234865|8.1146
47o_a18|47o_a18|0.0|706.49|-0.066242713|19.35260972|0.781148177|0.972958142|92.41474142|7.03438793|0.02736851|0.052875948|0.261785105|0.037484277|0.0|-0.034545459|-0.00046896|3.0|2857.120021|7.3279
17f_a50|17f_a50|0.0|564.52|-0.2257632789999999|13.65716648|0.8314734309999999|0.896702|171.48226169999998|7.934155233999999|0.0276719|-0.2208117919999999|0.333180181|0.03135101|2.187498662|-0.026836447|0.012475826|3.83|2582.272632|6.4001
14w_a23|14w_a23|0.0|535.54|-0.049318182|15.58053709|0.8668730109999999|0.988900044|169.6632599|7.423568444|0.02204118|0.013971812|0.228641034|0.046678487|0.6813799420000001|-0.035779855|0.003379755|5.14|3071.908367|8.6737
27b_a34|27b_a34|0.0|577.39|-0.047542374|15.39406063|0.8299950709999999|0.687123753|189.4124225|7.412764017000001|0.03640275|-0.056026127|0.3307451819999999|0.042739018|0.0|-0.037292511|-0.001438963|4.11|2835.31543|6.1871
8_a27|8_a27|0.0|374.88|0.11158995|9.642697094|0.8688656459999999|0.92208134|118.305988|6.605297921|0.02665292|0.188762686|0.3608031339999999|0.039673203|1.21499748|-0.035880862|0.0040883959999999|2.48|2132.9321670000004|8.2218
9_a3|9_a3|0.0|350.27|0.042154567|8.532203772|0.7327715159999999|0.704792493|53.19989715|6.823286122000001|0.0242342|0.187952252|0.506753484|0.034166667|2.4071976040000003|-0.038196575|-0.004918099|4.62|2017.0704920000005|4.96
16h_a32|16h_a32|1.0|556.05|-0.03617945|12.42028916|0.881181048|0.850995852|167.7935207|7.765993078999999|0.02818755|0.217139852|0.44308098|0.039958333|2.075726759|-0.038765425|-0.0048042729999999|4.6|2709.44587|8.0655
11g_a5|11g_a5|0.0|542.13|-0.01453517|18.16867625|0.8737292720000001|0.944734523|299.94631180000005|7.139660336|0.04557484|-0.204002571|0.396049407|0.020943152|0.0|-0.025442296|0.00599982|4.48|2823.738452|7.5229
