molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|SaasN|AATSC1c|SRW07|n6HRing|MATS7i|AATSC1are|BCUTi-1|AATSC7i|MATS1i|MATS1c|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA5|PPSA3|TPSA_x|FNSA4|WNSA5|RPCS|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
12f_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.0|-0.015345198|5.351858133|2|0.1468972409999999|-0.00695299|10.31162828|0.4304505939999999|-0.077457998|-0.6394697460000001|0.613786308|-0.043091382|-0.071123509|0.876441789|0.593245722|0|0.8357464459999999|-0.090450992|-0.108935062|-76.85198573|11.07796031|115.8783181|-0.0452183279999999|-54.21787616|1.45550709|-45.01820228|-31.90082427|74.88972286|3305.792133|589.6060704|-1690.743686|-22.5055335|0.184824668|8.366190175|15.86072943|39.1336968|0.01752821|-444.7025522|2074.08593|696.6414817000001|1.0|0.0|1.0|0.0|1.0|0.0|0.17|4.43|2.82|2.0|0.0|133.96|0.0|7.0|-6.7|34.0|8.0|-5.66|0.0|0.0|3.42|9.63e-05|1.2e-06|0.000579|5.05|0.0|3.19e-05|5.52|-1988.032639|729.87|351.25|574.31|0.68471|-1987.782125|0.1596|-0.14958|3.6633|-0.20422|0.03400408|-1987.848015|4.6865|7.7144|7.7144
14b_a25|0.0|0|0|0|0.0|1|6.842683282|0|1.616664856|-0.004720915|4.727387819|2|0.001683506|0.004725325|10.93106299|0.0028569959999999|-0.043923908|-0.3691494039999999|0.6524261960000001|-0.085205646|0.001715854|0.8333962429999999|0.632638761|1|0.859628015|-0.076156512|-0.084160084|-58.29440389|11.08504021|97.23019209|-0.032728922|-40.37825712|57.85340824|-36.53830946|-22.67004596|63.83568179|3038.600508|595.4307570000001|-1224.182482|-15.70265555|0.227210413|8.690235527|17.06102567|29.33534086|0.015746299|-377.9013888|1584.108407|760.3735147000001|1.0|1.0|1.0|1.0|1.0|3.21|0.07|4.48|1.8|2.0|0.0|130.97|0.0|6.0|-5.6|34.0|5.0|-6.26|0.0|1.0|3.63|0.0011099999999999|5.86e-06|0.00261|3.88|0.0|9.93e-08|5.61|-1444.544749|716.14|304.7|603.27|0.64983|-1444.266358|0.0006|-0.16309|2.7037|-0.22149|0.03876374|-1444.330251|3.2784|7.6576|7.6576
13d_a6|0.0|1|0|0|3.447870607|0|7.412764017000001|1|0.0|-0.010665225|5.351858133|1|0.077158715|-0.003346018|10.95129636|0.126028544|-0.106686991|-0.49314765|0.845481322|-0.027209556|-0.187174391|0.841971795|0.7995080809999999|0|0.78862121|-0.092581323|-0.110731261|-75.40072983|20.96853949|143.9350986|-0.039696112|-51.34295409|564.780402|-42.92734103|-27.03045032|84.01035117|2882.382522|536.999346|-1432.613867|-18.40596467|0.230567155|9.086171078|15.47559904|35.13035671|0.018542644|-366.9322097|1861.908905|692.8471883999999|1.0|1.0|1.0|1.0|2.0|3.03|0.16|5.38|1.5|2.0|0.0|121.6|0.0|6.0|-5.95|32.0|5.0|-5.88|0.0|1.0|3.74|0.000471|5.42e-06|0.00229|4.23|0.0|1.68e-07|4.5|-1389.403308|723.61|341.57|598.06|0.7007399999999999|-1389.125098|0.2513|-0.14894|11.0994|-0.20146|0.02846332|-1389.188211|14.0012|6.4437|6.4437
5b_a49|0.0|0|0|0|0.0|1|7.853604813|2|2.119588967|-0.007610481|5.777652323|2|-0.072128552|0.005836378|10.9297646|-0.12209302|-0.13632743|-0.515894968|0.6981815290000001|-0.006962617|0.099724518|0.839963111|0.666573331|1|0.7969332440000001|-0.0698098759999999|-0.076494119|-44.96093486|11.94347454|119.3565117|-0.026008|-26.42668087|69.07083505|-24.11745318|-15.28671785|52.97561349|2764.188493|468.4133145|-764.3358925|-8.985071494|0.3913052589999999|6.270195553|11.94760614|25.1139312|0.025332565|-127.7749783|1255.69656|612.7019937000001|0.0|1.0|1.0|1.0|1.0|2.9|0.22|2.98|2.07|1.0|0.0|122.26|0.0|3.0|-3.3|30.0|4.0|-7.24|1.0|1.0|2.58|0.1969999999999999|0.000118|0.0468|2.08|0.0|2.3e-05|3.92|-1292.139616|633.92|316.21|451.32|0.65269|-1291.873941|0.0747|-0.1624799999999999|4.3767|-0.20701|0.03937634|-1291.929428|6.1996|7.5528|7.5528
12u_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.0|-0.006935447|5.351858133|2|-0.091507428|0.002431329|10.31162873|-0.15896471|-0.0493878409999999|-0.467189145|0.8149999040000001|-0.055829439|-0.105767484|0.889479916|0.711738503|0|0.84944095|-0.0773921259999999|-0.097867106|-65.55148142|10.42404292|100.8445957|-0.03794847|-43.90644499|0.0|-34.72068676|-25.41792137|62.26136323|3001.03926|568.9563615000001|-1245.478147|-17.02494806|0.189537132|7.804487592999999|14.01586754|31.36222814|0.014495402|-415.8966522|1536.749179|685.6665849999999|1.0|0.0|1.0|0.0|1.0|0.0|0.14|5.11|3.79|2.0|0.0|137.3|0.0|5.0|-6.58|31.0|4.0|-5.52|0.0|1.0|3.59|0.000123|9.14e-07|0.0004269999999999|5.12|0.0|7.39e-06|5.08|-2494.962309|705.15|354.21|559.16|0.6847|-2494.736802|0.1502|-0.1486299999999999|5.3020000000000005|-0.20146|0.03472994|-2494.7995530000003|7.0553|7.4647|7.4647
16_a4|0.0|0|0|0|0.0|1|7.535296702|1|1.843196334|-0.00228637|5.4161004020000005|1|0.007101649|0.0067511459999999|10.94592242|0.020218035|-0.018051608|-0.214481956|0.490768328|-0.0894138519999999|0.0293772029999999|0.8366279120000001|0.482473457|0|0.7898461090000001|-0.073335635|-0.080093659|-39.44800181|6.761192037000001|103.5057102|-0.033372358|-19.42906425|74.430775|-17.789707500000002|-16.43666742|42.88070889|2101.6948030000003|389.0176968|-591.7200271|-8.095443438|0.167538305|5.548106463|10.19502391|19.74465314|0.0115138339999999|-327.4903335|710.807513|322.8922084|1.0|0.0|1.0|0.0|0.0|3.08|0.11|4.49|3.44|1.0|0.0|85.02|0.0|2.0|-3.92|23.0|4.0|-5.64|1.0|1.0|3.91|0.0371|3.68e-05|0.0114|3.59|0.0|0.000134|4.05|-1057.494456|515.68|293.41|407.99|0.54061|-1057.3808390000002|0.1006|-0.17375|1863.0|-0.2134|0.01638524|-1057.429593|1.9873|6.4647|6.4647
9_a1|0.0|1|0|0|3.358585365|0|6.86171134|0|0.0|-0.00614716|4.727387819|1|-0.110185988|-0.00314411|10.94877277|-0.232860777|-0.044035724|-0.483335578|0.582499378|-0.053460262|0.02778394|0.7964939409999999|0.572272366|0|0.755276458|-0.080888063|-0.085722429|-49.42275468|6.495805626|141.093898|-0.031896718|-28.49439431|0.0|-26.88743664|-18.38986221|53.13133578|2387.143654|435.4501351|-790.7640749|-10.60256533|0.2183102569999999|7.61577077|13.91191974|23.52578164|0.014186995|-324.81308110000003|1011.608611|472.9447227|1.0|1.0|1.0|1.0|1.0|2.66|0.05|5.86|2.74|2.0|0.0|102.84|0.0|4.0|-4.68|27.0|4.0|-5.81|0.0|1.0|4.12|0.00739|1.62e-05|0.0057799999999999|3.76|0.0|3.7100000000000003e-07|5.6|-1187.226314|600.6|370.88|487.19|0.70296|-1187.011122|0.5409|-0.13413|4.1623|-0.21015|0.03294951|-1187.065335|6.4447|5.2218|5.2218
4m_a46|0.0|0|0|0|0.0|1|7.825245291|1|2.12888511|-0.000686578|5.587248657999999|1|-0.302054595|0.011122528|10.94319657|-0.487230027|-0.017992096|-0.098201489|0.615482006|-0.099662698|0.011235955|0.7975218959999999|0.626578283|0|0.948973877|-0.067320375|-0.0672468|-35.43866734|5.74716122|26.89046601|-0.0224155999999999|-18.67596877|35.77391986|-18.69640205|-11.81288911|41.22460182|2133.331634|500.1036387|-531.5800101|-6.225322922999999|0.266763619|5.329061873000001|9.923886653|16.11061509|0.012232753|-245.828396|724.9776792|486.9589609|1.0|0.0|1.0|1.0|0.0|2.9|0.29|4.25|2.5|1.0|0.0|98.69|0.0|2.0|-4.52|25.0|3.0|-5.68|1.0|1.0|3.59|0.00981|2.68e-05|0.0088|3.69|0.0|4.31e-05|3.45|-1031.138426|558.63|285.18|468.63|0.68505|-1030.929791|0.1557|-0.18308|3.9226|-0.23116|0.02920209|-1030.980844|5.2326|5.8901|5.8901
16i_a32|0.0|1|1|1|3.352437091|0|7.765993078999999|0|0.0|-0.0146198339999999|5.733341277|0|-0.056414399|-0.003511776|10.31100265|-0.098841478|-0.120440534|-0.700853898|0.801401734|0.134577711|0.009897928|0.8829894|0.761506727|1|0.801494708|-0.0857355019999999|-0.114771536|-75.01027196|14.59730623|129.7354415|-0.036726892|-49.02383532|32.3175507|-36.62130242|-24.00328703|70.6307405|2770.767996|523.8261846|-1200.164351|-15.6876273|0.281035887|6.848009314|12.57892808|33.38593207|0.021112022|-286.2130831|1669.296604|636.0251562999999|1.0|0.0|1.0|1.0|2.0|3.16|0.3|6.25|1.34|3.0|0.0|116.75|1.0|8.0|-7.03|29.0|5.0|-5.93|0.0|0.0|3.96|3.96e-05|8.18e-06|0.0035|4.19|0.0|1.7100000000000002e-05|4.99|-1995.307733|692.96|342.72|573.38|0.70222|-1995.055356|0.2857|-0.14976|3353.0|-0.2002|0.02810109|-1995.11813|4.0568|8.2596|8.2596
12b_a5|0.0|0|0|0|0.0|0|6.605297921|2|0.0|-0.001991527|4.59511985|3|-0.021265946|0.0068803119999999|10.94620104|-0.033279992|-0.070406884|-0.1708042239999999|0.8417504029999999|0.066588785|-0.033036296|0.819417554|0.8121510009999999|0|0.827613693|-0.066227158|-0.068586754|-43.25430513|10.44150403|108.7155967|-0.020455699|-27.27837078|0.0|-26.33991037|-12.90040679|52.20772716|2602.046823|521.9354031|-735.3231872|-8.135654442|0.4696203889999999|8.398709622|16.16438947|24.32296891|0.025810077|-38.31786425|1386.409228|727.8586176|0.0|1.0|1.0|1.0|1.0|0.0|0.33|3.29|1.54|1.0|0.0|123.46|0.0|5.0|-2.3|30.0|6.0|-7.57|1.0|0.0|1.44|2.0|0.000359|143.0|1.63|0.0|8.5e-06|2.24|-1276.928859|669.05|857.76|505.16|0.70615|-1276.940335|0.0001|-0.06212|5.7174|-0.16607|0.03447919|-1276.9984029999998|8.2868|7.3768|7.3768
