molecula|n6aHRing|MATS1c|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|RNCS|MATS8i|FNSA2|Area (grid)|pIC50
12aw_a36|1|-0.4191703539999999|0.69109|-0.15688|54.50894809|-0.1066959869999999|-2.06461809|666.09|8.0458
12aq_a36|1|-0.5356623070000001|0.7058300000000001|-0.13908|86.6958382|-0.1031859869999999|-2.319486422|703.04|7.2596
3c_a32|0|-0.5427297289999999|0.7034600000000001|-0.14219|59.72163595|-0.113334836|-1.038301506|544.22|8.0458
15_a15|2|-0.3597407929999999|0.70572|-0.10964|142.8140301|0.000676845|-1.821509261|700.82|6.9626
3c_a49|2|-0.384874446|0.6692100000000001|-0.15853|89.34479838|-0.05815918|-1.186174159|613.33|7.0605
galu_a46|2|-0.4671565689999999|||261.2602893|-0.094815394|-1.513861067||7.2924
15_a4|1|-0.226703465|0.56413|-0.17373|12.70877085|-0.1979518539999999|-1.106078158|512.65|6757.0
47c_a18|0|-0.455055055|0.6983199999999999|-0.12841|67.68084951|-0.058748345|-2.350000928|850.89|8.5229
17b_a50|1|-0.237489143|0.66195|-0.16699|9.9094658|-0.152660972|-1.662228695|752.09|6.9136
6b_a40|0|-0.630957955|0.69429|-0.1237099999999999|176.8246355|0.0986825569999999|-2.132795227|687.2|7.5229
19a_a22|2|-0.496053375|0.66605|-0.1508|373.8201781|-0.011513343|-1.967744721|740.07|7.3188
19g_a38|1|-0.438254637|0.69982|-0.15269|137.56612280000002|-0.009881824|-1.942135378|638.82|7.3778
14d_a23|2|-0.4483522929999999|8.1555|-0.14894|39.26987634|-0.019307114|-1.6439281280000002|696.21|8.4001
4g_a46|2|-0.2455749539999999|0.6983199999999999|-0.18602|7.38470955|-0.055084605|-1.192613373|615.33|5.5615
19l_a38|1|-0.4224000739999999|0.7044|-0.13977|133.9992534|-0.02967593|-2.017418574|660.04|7.8633
12bh_a36|1|-0.43574839|0.7039|-0.14915|83.08294358|0.075747971|-1.991880197|715.94|7.8539
A8301_a51|2|-0.4354420879999999|||36.55933899|-0.012770742|-1.6387915469999998||7.9208
3p_a32|0|-0.53666614|0.7017100000000001|-0.15055|40.28175307|-0.111150118|-1.28405753|626.32|7585.0
47t_a18|0|-0.600890268|0.6895100000000001|-0.12692|280.622476|-0.011641394|-2.272502492|703.76|6.1068
4q_a46|2|-0.125840557|0.69002|-0.1903|38.31894407|-0.155661124|-1.050531344|606.7333|6129.0
1m_a5|2|-0.2274929269999999|0.45426|-0.1778|154.6334216|-0.10797859|-1.072182971|553.42|7.3665
26_a47|2|-0.5899218279999999|0.68707|-0.16642|9.608109253|-0.046771537|-1.626876095|592.84|7.9
3a_a12|1|-0.5274624179999999|0.66895|-0.15328|71.11710277|-0.062973953|-1.362055589|528.84|6.7122
12e_a36|1|-0.43688276|0.70007|-0.15189|65.27404529|-0.0586405829999999|-1.918786459|673.57|7.8539
