molecula|Wavelength (HOMO-LUMO transition) (nm)|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|nARing|ATSC1c|AATSC8d|SIC2|FPSA3|PNSA3|RPCS|DPSA5|TASA|WNSA4|GeomShapeIndex|PPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|Veber filter|Num. of Rotatable bonds|Egan filter|CYP1A2 inhibitor|Lipinski|pIC50
21_a12|310.18|0|0|0.0|0.0|1|1|-0.362168355|-0.0546514309999999|0.89838263|0.012230115|-34.60932333|0.0|59.10840872|426.8727514|-9.338859985|0.8993077970000001|115.3294396|380.2468615|1.0|1.0|0.0|3.0|0.0|1.0|0.0|7.6576
16b_a32|342.39|1|1|3.2902303|0.0|0|0|-0.423467596|-0.0657820279999999|0.907055332|0.015808858|-56.84546999|9.827907321|80.37824892|478.3482386|-14.19159402|0.709394251|161.7035261|597.8890744|1.0|0.0|1.0|7.0|1.0|1.0|0.0|7.7696
47g_a18|400.4|0|0|0.0|0.0|1|1|-0.477030713|-0.008224928|0.780474694|0.013404131|-55.35188184|47.07867403|86.33162323|708.1114197|-21.03738872|0.966014041|227.5405903|1347.416568|1.0|1.0|1.0|13.0|0.0|0.0|1.0|8.0458
19_a4|296.2|0|0|0.0|0.0|1|1|-0.105763614|-0.136621315|0.834377354|0.013022539|-38.9063534|13.25878373|49.73882261|451.8120313999999|-8.771275759|0.85352261|129.4279389|450.6848883|1.0|0.0|0.0|3.0|0.0|1.0|0.0|4.71
5b_a49|316.21|0|0|0.0|0.0|2|2|-0.418576471|0.059834711|0.839963111|0.020319986|-41.03213895|69.07083505|59.85065205|468.4133145|-8.985071494|0.905459892|229.9974239|612.7019937000001|0.0|1.0|0.0|3.0|0.0|1.0|0.0|7.5528
14x_a23|335.63|1|1|0.0|0.0|0|0|-0.335030301|-0.0229244|0.8668730109999999|0.022095943|-46.97594633|87.28077098|70.40248829|514.8229467|-14.95753786|0.880126802|184.0971574|597.2903597999999|0.0|0.0|0.0|5.0|0.0|0.0|0.0|8.4949
19_a3|314.28|0|0|2.917217813|0.0|0|0|-0.129865138|0.036226415|0.8264237520000001|0.0116401719999999|-31.50932639|0.0|48.55416845|397.1650228|-7.064025721|0.911365749|112.6836188|314.0966684|1.0|1.0|0.0|2.0|0.0|1.0|0.0|7.6383
14m_a23|337.15|1|1|0.0|-4.405643132|0|0|-0.482182526|-0.050626415|0.8581143859999999|0.017992415|-50.63012925|0.0|74.61692699|643.9145427|-19.00406438|0.911438824|142.0002583|658.8108151|1.0|0.0|0.0|6.0|1.0|0.0|0.0|8.5171
12av_a36|360.39|0|0|3.4520047430000003|0.0|2|2|-0.605432791|-0.039627578|0.8571025990000001|0.021666882|-57.31621925|124.9387725|91.5101903|524.1323793|-17.07826447|0.965363947|228.5327731|757.7532208|0.0|0.0|0.0|7.0|0.0|0.0|0.0|7.4089
27_a47|325.21|1|1|0.0|0.0|1|1|-0.207000956|0.013336016|0.8517043879999999|0.016506051|-40.35526807|3.180329084|63.02085767|541.8239522999999|-11.67498331|0.906398657|191.5604557|682.9868225|1.0|1.0|0.0|5.0|0.0|1.0|0.0|5.6
17a_a50|306.31|1|1|0.0|0.0|1|1|-0.133526134|-0.131632653|0.828062407|0.013784807|-29.57096251|84.34722313|58.69900789|601.1353533|-11.89568886|0.948768582|136.82673369999998|719.3470265|1.0|1.0|0.0|6.0|0.0|0.0|0.0|7.0706
12o_a36|320.16|0|0|3.444418304|0.0|2|2|-0.613501857|-0.010904454|0.848816593|0.023402195|-59.0895896|112.1259723|95.66406176|546.7667677000001|-18.36865355|0.885724665|240.2059039|757.7532208|0.0|0.0|0.0|7.0|0.0|0.0|0.0|7.3979
12b_a32|347.27|1|1|3.477905329|0.0|0|0|-0.462201267|-0.053480599|0.8887585240000001|0.016282332|-50.88975159|65.29222164|76.65746734|488.9595947|-10.75912958|0.756331814|247.2897528|557.1050635|1.0|1.0|1.0|7.0|1.0|1.0|0.0|7585.0
5_a18 (BIBF0775)|378.13|0|0|0.0|0.0|2|2|-0.391512249|-0.022817602|0.774859029|0.008501088|-52.09190866|50.25564119|67.25977848|636.6978809999999|-16.96451322|0.937842434|138.97646310000002|1140.896548|0.0|1.0|0.0|8.0|0.0|0.0|0.0|7.4685
8h_a8|332.16|0|0|2.975382653|0.0|0|0|-0.485274006|0.007079485|0.751162751|0.0111998669999999|-72.14530885|53.78973456|70.94463092|354.18563860000006|-16.87148841|0.822939833|48.02637252|485.8626377000001|0.0|0.0|0.0|4.0|0.0|0.0|0.0|4.9359
12b_a40|363.91|0|0|0.0|0.0|0|0|-0.158107422|-0.1537981269999999|0.7818091140000001|0.010845303|-37.05091872|48.17000329|48.54667776|544.3244990000001|-10.97726831|0.979579799|81.54797734|370.3261123|0.0|0.0|0.0|2.0|1.0|1.0|1.0|7.3979
6g_a40|440.68|0|0|0.0|0.0|1|2|-1.09669629|-0.251161616|0.8917390820000001|0.017750905|-107.2113398|47.36081569|114.7475987|393.4722933000001|-24.9461968|0.740853565|114.2663866|590.1686672000001|0.0|0.0|1.0|5.0|1.0|0.0|0.0|7.3279
18b_a30|351.66|0|0|0.0|0.0|2|2|-0.375139476|-0.051413084|0.8839272779999999|0.019880184|-52.09100293|0.0|75.30642440000001|575.0330633|-15.85509189|0.7388650920000001|158.9382363|666.0036144999999|1.0|0.0|0.0|5.0|0.0|0.0|0.0|7.6003
18d_a30|357.49|0|0|0.0|0.0|2|2|-0.385441836|-0.087019298|0.870930234|0.017843227|-49.44608411|0.0|75.80070349|508.389239|-15.18369704|0.797831306|137.15746130000002|618.6004214|1.0|0.0|0.0|5.0|0.0|0.0|0.0|7.6737
14a_a25|314.05|0|0|0.0|0.0|0|0|-0.255585831|-0.019985937|0.792935475|0.012870836|-45.72658614|58.18995584|63.96772039|558.2652611000001|-14.37809314|0.969421506|126.8576588|712.1606951|1.0|1.0|0.0|6.0|0.0|1.0|0.0|6684.0
1_a1 (SKF-104365)|318.72|0|0|0.0|0.0|1|1|-0.218014497|0.11172918|0.857919181|0.0133681239999999|-31.45099608|63.42504103|46.32985169|376.1092109|-6.316296726|0.71469847|134.2517831|297.2783688|1.0|1.0|0.0|2.0|0.0|1.0|0.0|5.7959
16_a4|293.41|0|0|0.0|0.0|1|1|-0.089168424|0.019290123|0.8366279120000001|0.013727656|-36.11951685|74.430775|45.11883447|389.0176968|-8.095443438|0.837568182|82.51653675|322.8922084|1.0|0.0|0.0|2.0|0.0|1.0|0.0|6.4647
5b_a50|308.25|1|1|0.0|0.0|1|1|-0.062071259|-0.113846154|0.855527513|0.012204641|-20.90908698|60.5565203|42.76068675|486.9950914|-5.525088972000001|0.8058479690000001|208.925351|409.0289917|1.0|1.0|0.0|2.0|0.0|1.0|0.0|4.9126
12e_a36|337.84|0|0|3.490984269|0.0|2|2|-0.404736007|-0.084051264|0.847602953|0.019063245|-44.83739063|5.735288795|75.50154216|533.058116|-14.64611103|0.875194483|151.9654247|662.0530478999999|1.0|0.0|0.0|5.0|0.0|0.0|0.0|7.8539
13c_a5|294.18|0|0|2.944180713|0.0|1|1|-0.284610951|-0.018055556|0.822789227|0.023143526|-50.97293525|51.93687546|70.46156718|527.6071331999999|-10.8855893|0.873289814|295.8302846|656.208474|0.0|1.0|0.0|5.0|0.0|1.0|0.0|6.9101
13h_a6|365.52|0|0|3.464247528|0.0|0|0|-0.3839567379999999|-0.090944829|0.8391892870000001|0.017441348|-51.85624128|0.0|76.78735663|606.9504647000001|-15.82689691|0.8575863490000001|183.9790404|744.1359788|1.0|1.0|0.0|6.0|0.0|1.0|0.0|7.3279
AKLKII_a46||0|0|2.917217813|0.0|0|0|-0.129865138|0.036226415|0.8264237520000001|0.010384859|-34.061229|0.0|49.76981906|397.2168972|-7.464534402999999|0.92307023|108.05343229999998|314.0966684|1.0|1.0|0.0|2.0|0.0|1.0|0.0|6.7423
18c_a25|371.26|0|0|0.0|0.0|0|0|-0.162271435|0.006360768|0.8005589320000001|0.009585904|-31.96445203|0.0|56.83666555|623.0528232|-11.65153036|0.940731034|165.67090530000002|831.3429628|1.0|1.0|0.0|7.0|1.0|1.0|0.0|7.0555
