molecula|SddssS|MOMI-Z|Veber filter|BIC2|Log S (Ali)|heavy_atom_count|HOMO-LUMO Energy Difference (Hartree)|nARing|Highest Occupied Molecular Orbital Energy|Mor01p|CYP2C9 inhibitor|MATS7i|ATSC1c|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest_Unoccupied_Molecular_Orbital_Energy|WNSA3|PNSA4|BCUTi-1l|pIC50
12be_a36|0.0|2552.721046|0.0|0.812921349|-4.11|33.0|-0.13781|2|-0.18969|766.4854363|0.0|0.118420241|-0.580823835|7.11e-05|-0.0518799999999999|-37.57129686|-22.15805062|10.95957887|7.3565
10_a1|0.0|1768.2330920000002|0.0|0.7227844929999999|-4.98|27.0|-0.13576|0|-0.20378|433.2550452|0.0|0.049971022|-0.621976404|3.42e-06|-0.06802|-37.31383317|-25.67872721|10.94957578|5.8239
2_a27|0.0|1270.627585|0.0|0.796022385|-3.19|24.0|-0.16769|0|-0.21702|373.9912084|1.0|-0.196529806|-0.276758209|0.0004599999999999|-0.04933|-14.81116546|-14.73047548|10.93783218|7.8861
12b_a32|0.0|3148.185476|1.0|0.838021287|-5.9|27.0|-0.14803|0|-0.19976|557.1050635|1.0|-0.044307211|-0.462201267|8.86e-06|-0.05173|-31.79562339|-17.22027667|10.31100269|7.585
11_a33|0.0|979.349175|0.0|0.85401347|-5.48|22.0|-0.14132|0|-0.19938|335.4799765|1.0|0.055664124|-0.32219686|0.000194|-0.05806|-16.71585694|-14.98445481|10.31100126|8.3188
25_a47|0.0|1514.111398|0.0|0.8462332770000001|-4.99|29.0|-0.16588|0|-0.22919|513.2159236|1.0|-0.055724653|-0.486951604|4.02e-06|-0.06331|-27.0291331|-18.98891362|10.94972207|7.8
12ab_a30|0.0|2618.234172|0.0|0.809127478|-5.61|33.0|-0.14772|2|-0.19672|792.3440337000001|1.0|0.018023992|-0.520212725|6.720000000000001e-05|-49.0|-40.9825333|-22.42218278|10.31162784|7.7825
47c_a18|0.0|2027.892739|1.0|0.758269842|-5.73|38.0|-0.12841|1|-0.17331|1167.054827|0.0|0.047739847|-0.537230966|3.42e-07|-0.0449|-46.26124419|-25.88035487|10.94702285|8.5229
13m_a6|0.0|2574.030011|0.0|0.7767360059999999|-4.64|33.0|-0.13817|0|-0.20954|724.3873672999999|1.0|0.021526267|-0.628720289|9.35e-08|-0.07137|-48.09294654|-26.40980394|10.9505335|8.0
30_a47|0.0|1558.731067|0.0|0.8485444809999999|-4.22|28.0|-0.1517|0|-0.20813|457.1122177|1.0|0.013114301|-0.415191425|2.28e-05|-0.0564299999999999|-38.96726396|-22.9932445|10.95005723|7.9
12r_a30|0.0|2433.580273|0.0|0.83236194|-5.49|31.0|-0.14894|2|-0.20138|616.2856203|1.0|-0.093079817|-0.400352091|3e-05|-0.05244|-37.69583567|-26.11584816|10.31162892|7.5317
5b_a50|0.0|1452.442728|0.0|0.791163321|-3.48|24.0|-0.16683|1|-0.19252|409.0289917|0.0|-0.052494624|-0.062071259|0.0004269999999999|-0.0256899999999999|-10.62231784|-10.87564575|10.9325725|4.9126
15_a47|0.0|869.1027727|0.0|0.830688568|-4.89|25.0|-0.16762|0|-0.2268|383.4213189|0.0|-0.130885389|-0.21194909|1.14e-06|-0.0591799999999999|-24.15592798|-17.81765281|10.9497222|7.8
43_a18|0.0|1579.614523|0.0|0.713379703|-6.45|38.0|-0.13196|2|-0.18145|1228.492038|0.0|-0.05314954|-0.397752066|1.28e-07|-0.04949|-42.32033664|-24.16948112|10.94702053|6.2041
16_a15|-3.726252327|3014.308422|0.0|0.729432583|-6.0|32.0|-0.16871|0|-0.20953|728.353441|1.0|-0.003882928|-0.4898555739999999|2.72e-07|-0.04082|-41.45211893|-26.98327637|10.31928197|7.6778
12g_a40|0.0|681.6778419|0.0|0.769016155|-6.46|23.0|-0.13191|0|-0.20615|335.7078145|1.0|0.167050952|-0.354104815|8.57e-05|-0.07424|-26.21888031|-22.85591194|10.31197254|6.1403
14b_a3|0.0|1289.104749|0.0|0.7809478329999999|-4.45|23.0|-0.12942|0|-0.19618|358.3503513|1.0|-0.1551678719999999|-0.356087317|4.08e-05|-0.06676|-21.76034149|-17.83445545|10.31162234|6.4202
17c_a50|0.0|2014.72331|0.0|0.774994313|-3.8|33.0|-0.16697|2|-0.19818|849.1345426000001|1.0|0.021572081|-0.1766179239999999|7.08e-05|-0.03121|-24.567468100000003|-14.96042594|10.94500663|7.1612
12bc_a36|0.0|2623.395239|0.0|0.836170906|-5.08|31.0|-0.15671|2|-0.21499|661.6709012|1.0|0.068351685|-0.413738077|7.83e-06|-0.05828|-34.8600941|-25.91194805|10.95883416|8.0969
5b_a49|0.0|1956.050085|0.0|0.7843021|-3.3|30.0|-0.1624799999999999|2|-0.20701|612.7019937000001|1.0|-0.072128552|-0.418576471|2.3e-05|-0.04453|-24.11745318|-15.28671785|10.9297646|7.5528
9o_a24|0.0|1906.512273|0.0|0.785672769|-4.49|32.0|-0.17826|1|-0.22353|663.2688909|1.0|-0.087807028|-0.387865233|5.23e-06|-0.04527|-29.69744072|-19.05574986|10.94506726|6.3507
14b_a50|0.0|2984.248708|0.0|0.7887047979999999|-4.6|33.0|-0.16874|2|-0.1936|825.4425942|1.0|-0.068176984|-0.255822608|6.12e-05|-0.02486|-21.65397937|-16.75898192|10.94501788|5.1818
14z_a23|0.0|2692.627452|0.0|0.802520527|-6.77|32.0|-0.15195|0|-0.23698|665.6233736|1.0|0.038811869|-0.30053593|1.29e-06|-0.08503|-28.25118461|-23.63754572|10.31321795|8.2941
14v_a23|0.0|2679.111279|0.0|0.787538583|-6.89|35.0|-0.1524299999999999|0|-0.2308599999999999|676.4530574|1.0|0.055572317|-0.8122700340000001|5.57e-06|-0.07843|-29.37629463|-28.23713101|10.3132174|8.4001
47j_a18|0.0|2064.803327|1.0|0.7444236670000001|-5.83|37.0|-0.1285|1|-0.17273|1081.726154|0.0|-0.048528478|-0.569931053|8.159999999999999e-07|-0.04423|-44.19607713|-26.32095773|10.94702285|7.4559
14d_a23|0.0|2261.37838|0.0|0.772008792|-5.85|31.0|-0.14894|0|-0.22152|666.0036144999999|1.0|0.03253552|-0.288522152|7.03e-06|-0.0725799999999999|-23.33262837|-21.66510006|10.313217800000002|8.4001
18_a20|0.0|1822.210286|0.0|0.7602869659999999|-5.59|32.0|-0.14685|0|-0.20289|712.1606951|1.0|0.163548857|-0.5039851160000001|4.17e-08|-0.05604|-41.07622672|-23.91074854|10.93301779|7.4685
16_a3|0.0|1290.305313|0.0|0.767641592|-4.98|23.0|-0.13195|0|-0.2029|328.71459869999995|1.0|0.027762972|-0.371147877|2.25e-05|-0.07095|-26.57128935|-20.36587865|10.31163046|7.3768
12c_a36|0.0|2365.641348|0.0|0.819222745|-4.44|30.0|-0.15835|2|-0.2082699999999999|629.5017194000001|0.0|0.085843909|-0.414055975|2.77e-05|-0.04992|-30.27053327|-24.42396797|10.95982545|8.0458
12b_a30|0.0|2347.979099|0.0|0.824373792|-5.39|30.0|-0.1493799999999999|2|-0.20289|618.6004214|1.0|-0.074391852|-0.3897233479999999|5.260000000000001e-05|-0.05351|-33.68855323|-24.41577808|10.31162898|8.1543
11b_a5|0.0|913.0178976|0.0|0.805760343|-4.65|27.0|-0.17107|0|-0.21291|504.9898148|1.0|-0.067519041|-0.1833048739999999|2.68e-07|-0.0418399999999999|-27.50997723|-17.60913884|10.94877958|7.7212
13c_a5|0.0|1235.709541|0.0|0.770478689|-3.55|31.0|-0.17324|1|-0.22939|656.208474|1.0|-0.010689086|-0.284610951|3.36e-06|-0.05615|-33.60884086|-16.50965711|10.94530327|6.9101
18_a34|0.0|1774.550004|0.0|0.805756513|-4.32|26.0|-0.17549|1|-0.21474|428.6241319|1.0|-0.100548575|-0.677741618|0.000781|-0.03925|-27.53138148|-23.32844015|10.9595763|5.6144
19f_a38|0.0|2846.860803|0.0|0.819222745|-4.14|30.0|-0.14369|2|-0.20104|595.8790650000001|1.0|-0.008118156|-0.4228801179999999|5.610000000000001e-05|-0.05735|-34.81887413|-24.1763087|10.96083376|7.1397
8_a47|0.0|2217.264922|0.0|0.7847248109999999|-6.59|29.0|-0.15357|1|-0.2085199999999999|559.4973856|0.0|-0.087101663|-0.391797226|2.28e-07|-0.05495|-25.60148752|-20.78278301|10.93671024|7.3
7_a3|0.0|1952.029549|0.0|0.790667152|-5.44|23.0|-0.14816|0|-0.21219|353.7528308|1.0|-0.047419994|-0.327648836|1.11e-05|-0.0640299999999999|-25.32764885|-18.2490344|10.3116226|5.9901
19_a34|0.0|1537.244187|0.0|0.8022000659999999|-2.73|23.0|-0.1735|1|-0.20251|337.9440349|0.0|-0.189862762|-0.5357267960000001|0.00291|-0.02901|-28.08688512|-19.78189027|10.95957634|6.0044
19a_a38|0.0|2304.055966|0.0|0.819222745|-4.14|30.0|-0.15108|2|-0.20379|595.8790650000001|1.0|0.054257043|-0.431265985|5.610000000000001e-05|-0.05271|-30.69910427|-23.30337482|10.96083376|8.0106
16f_a32|0.0|3414.006186|1.0|0.852938445|-6.95|29.0|-0.15003|0|-0.2|636.0251562999999|1.0|0.008658653|-0.77158995|7.26e-06|-0.04997|-39.12230215|-24.61529877|10.31100265|8.041
28_a47|0.0|1337.037733|0.0|0.832144916|-3.67|28.0|-0.15049|0|-0.2052|428.5826478|1.0|0.023813594|-0.436042548|4.59e-05|-0.05471|-40.02656804|-22.66839387|10.95058275|7.6
11f_a5|0.0|1125.122028|0.0|0.756843253|-3.95|32.0|-0.1691|1|-0.20772|753.9168511|1.0|-0.083432989|-0.227966183|9.06e-07|-0.03862|-33.11311829|-15.48735657|10.94877949|7.9208
20_a47|0.0|1219.306754|0.0|0.7962508290000001|-4.06|28.0|-0.16377|0|-0.22734|428.5826478|1.0|0.031814023|-0.505699304|1.86e-05|-0.06357|-24.89884887|-17.90996366|10.95058273|8.6
12ay_a36|0.0|3238.138932|0.0|0.78699829|-4.54|31.0|-0.15056|2|-0.2031599999999999|729.1873176|0.0|0.1012005419999999|-0.404030255|1.86e-05|-0.0526|-31.1973159|-22.90568368|10.9463292|7.7447
7a_a8|0.0|1702.719465|0.0|0.764224152|-4.86|29.0|-0.12889|1|-0.20505|488.0169522|1.0|-0.017706371|-0.482688615|2.05e-05|-0.07616|-35.24327197|-25.04740346|10.94671402|4.6068
4f_a46|0.0|1563.375755|0.0|0.74106323|-4.38|25.0|-0.19079|1|-0.2202599999999999|538.4165208|1.0|-0.099507167|-0.053860324|2.04e-05|-0.02947|-16.43243843|-11.95391778|10.96352592|6.7375
3m_a32|0.0|2363.601309|0.0|0.817967125|-5.94|27.0|-0.14835|1|-0.2056599999999999|554.9424306|1.0|-0.0370712179999999|-0.3082152019999999|1.65e-05|-0.05731|-30.25923462|-16.22134838|10.31100268|7.6383
11e_a5|0.0|960.0428704|0.0|0.775794895|-4.65|31.0|-0.16751|1|-0.20559|735.3048881|1.0|-0.07965|-0.192538515|4.64e-07|-0.03808|-27.58835281|-18.69519243|10.9487795|7.3979
15d_a10|0.0|2036.192049|0.0|0.745184875|-3.78|33.0|-0.15916|2|-0.20918|825.4425942|1.0|-0.059217023|-0.184039927|6.62e-06|-0.05002|-26.15336742|-12.68949225|10.92970801|7.1612
47g_a18|0.0|2268.439188|1.0|0.750610215|-6.11|40.0|-0.12789|1|-0.17202|1347.416568|0.0|-0.048472184|-0.477030713|3.27e-07|-0.04413|-46.97287277|-24.79003275|10.94702253|8.0458
18a_a25|0.0|2331.966135|0.0|0.7385460309999999|-6.33|32.0|-0.15732|0|-0.21323|759.4953883|1.0|0.062229409|-0.170732995|7.28e-08|-0.05591|-24.58404782|-20.53845469|10.31286118|7.0269
36_a18|0.0|1547.485543|0.0|0.741135729|-5.68|35.0|-0.13133|2|-0.18124|975.4099618|0.0|-0.05224259|-0.442092758|3.210000000000001e-07|-0.04991|-39.43509046|-22.73046122|10.94702093|7.4949
17b_a6|0.0|2207.972178|0.0|0.7788169070000001|-5.81|31.0|-0.12545|1|-0.18281|627.4287311|1.0|0.139594234|-0.6869226490000001|4e-07|-0.05736|-41.0971443|-27.2272998|10.949638|6.8153
40_a47|0.0|868.5333132000001|0.0|0.836942961|-3.26|25.0|-0.15231|0|-0.20317|388.178924|1.0|-0.056839794|-0.179798097|2.79e-05|-0.05086|-17.58259718|-14.59371996|10.98214138|8.4
3e_a32|0.0|1732.3689949999998|0.0|0.8046468659999999|-6.52|23.0|-0.14754|0|-0.20098|421.3548777|1.0|-0.057366352|-0.275255791|4.13e-05|-0.0534399999999999|-21.32040233|-16.59123638|10.31100276|8.0862
8_a4|0.0|1737.932042|0.0|0.813333185|-4.35|25.0|-0.16821|1|-0.22685|434.9654405|1.0|-0.072752231|-0.056197036|5.72e-06|-0.05864|-14.42275611|-12.71482105|10.9295757|7.2676
21_a4|0.0|1584.866567|0.0|0.777866961|-3.88|23.0|-0.16632|1|-0.19588|387.240586|1.0|0.019346682|-0.131928225|0.000352|-0.02956|-14.70482428|-14.54552243|10.94593332|6.9172
IN1233_a59|0.0|1822.396842|0.0|0.74801464|-5.59|32.0|-0.14684|0|-0.20289|712.1606951|1.0|0.163548857|-0.5039851160000001|4.17e-08|-0.05605|-41.08157616|-23.91074854|10.93301779|7.4685
47a_a18|0.0|2250.179086|1.0|0.766261502|-6.74|39.0|-131.0|1|-0.18291|1225.939287|1.0|0.043161338|-0.464122017|2.95e-06|-0.05191|-55.70051708|-29.70938001|10.35082811|9.0
14s_a23|0.0|2316.634024|0.0|0.7837821840000001|-6.13|31.0|-0.1515|0|-0.22933|633.3278634|1.0|0.049317519|-0.298573309|4.55e-06|-0.07783|-22.64965286|-21.9751589|10.31321812|8.5482
11a_a50|0.0|1550.320581|0.0|0.792574879|-3.58|25.0|-0.16769|1|-0.2005299999999999|439.9973344|1.0|-0.04339705|-0.134056065|0.000441|-0.03284|-13.47492066|-13.43949068|10.94500606|7.2291
3i_a32|0.0|2141.3084710000003|0.0|0.833699527|-6.27|24.0|-0.1476|0|-0.21278|318.0257595|1.0|-0.21362765|-0.4449120629999999|4.01e-05|-0.06518|-25.92886531|-23.52884474|10.3110028|8.2366
12q_a30|0.0|2844.418547|0.0|0.816138015|-6.7|34.0|-0.14792|2|-0.19897|696.6414817000001|1.0|-0.016509571|-0.873376576|3.19e-05|-0.05105|-40.56199584|-31.21009417|10.31162828|7.4449
8h_a8|0.0|2019.780061|0.0|0.6971223040000001|-5.21|29.0|-0.15475|0|-0.21819|485.8626377000001|0.0|0.008138299|-0.485274006|4.43e-06|-0.06344|-42.41801879|-28.69532281|10.94341368|4.9359
3_a47|0.0|1280.146703|0.0|0.720319618|-5.54|25.0|-0.15473|0|-0.2119|418.022895|0.0|-0.013350303|-0.367098851|1.33e-06|-0.05717|-22.85956767|-19.12022366|10.93671092|6.5
13_a47|0.0|669.2729199|0.0|0.794037882|-4.24|24.0|-166.0|0|-0.22065|359.12161539999994|0.0|-0.047120094|-0.20197533|4.04e-06|-0.05465|-21.52866736|-16.72368034|10.9452934|7.8
15_a10|0.0|2288.954984|0.0|0.808676284|-4.48|28.0|-0.1574|1|-0.20983|563.875765|1.0|-0.0729795729999999|-0.142251304|1.96e-06|-0.05243|-21.03820054|-15.04246823|10.92966702|7.4815
5f_a40|0.0|599.1117195|0.0|0.811339477|-3.97|20.0|-0.13057|1|-0.19284|269.0442248|0.0|-0.085493191|-0.293556526|0.0587|-0.06227|-24.23209217|-19.00510637|10.31198329|6.9508
12a_a36|0.0|2258.5909920000004|0.0|0.7934042040000001|-3.79|29.0|-0.1519299999999999|2|-0.20139|598.1535763999999|0.0|0.078063311|-0.403468978|9.78e-05|-0.04946|-28.71401279|-23.17301945|10.96083376|7.8861
38_a18|0.0|1855.157022|0.0|0.719168079|-6.98|38.0|-0.13229|2|-0.18066|1228.492038|0.0|-0.066676644|-0.448742607|2.38e-08|-0.0483699999999999|-48.74349112|-25.65190078|10.94702086|7.041
16_a20|0.0|2161.751186|0.0|0.7478675859999999|-6.06|31.0|-0.1481299999999999|0|-0.20722|664.4562602999999|1.0|0.126359252|-0.254072625|1.22e-08|-0.05909|-28.6288015|-19.44924762|10.93301779|7.585
12v_a36|0.0|2328.221818|0.0|0.828393514|-3.95|31.0|-0.15185|2|-0.20404|679.7230552999999|0.0|0.073329354|-0.487854327|8.340000000000001e-05|-0.05219|-33.82511043|-21.78731129|10.96020642|7.8539
4g_a46|0.0|2285.43285|0.0|0.74106323|-5.38|26.0|-0.18602|1|-0.22587|568.1534007|1.0|-0.093447672|-0.088529411|5.75e-06|-0.03985|-18.72788427|-13.96424081|10.96333695|5.5615
13e_a6|0.0|3457.565879|0.0|0.765593573|-5.11|32.0|-0.1327|0|-0.20804|676.2770877|1.0|0.018376555|-0.378539035|2.75e-08|-0.07534|-33.17101912|-22.01054293|10.95053349|7.9208
12w_a36|0.0|2602.5207|0.0|0.828393514|-5.2|34.0|-0.15708|2|-0.21034|672.4630346|1.0|0.041058884|-0.917874106|3.37e-05|-0.05326|-44.76031023|-29.58856606|10.96020797|7.6383
8b_a8|0.0|1821.324722|0.0|0.778853499|-4.77|31.0|-0.13807|1|-0.19921|589.263087|1.0|0.019958073|-0.733216119|3.04e-05|-0.06114|-48.85837649|-29.07602182|10.94650923|5.2941
12m_a36|0.0|2637.948424|0.0|0.825587924|-4.1|32.0|-0.15879|2|-0.20993|689.2886595|0.0|0.14264424|-0.667165917|0.000305|-0.05114|-45.120107|-28.57011677|10.95440733|7.5229
12b_a5|0.0|1071.500538|0.0|0.779793078|-2.3|30.0|-0.06212|2|-0.16607|727.8586176|0.0|-0.021265946|-0.1214831359999999|8.5e-06|-0.10395|-26.33991037|-12.90040679|10.94620104|7.3768
10_a27|0.0|943.2258247|0.0|0.804375252|-3.57|25.0|-0.16805|0|-0.21785|424.8821143|1.0|-0.184068581|-0.282866526|0.000192|-0.0498|-17.33405307|-16.5270506|10.93783185|7.1612
1f_a5|0.0|979.2285994|0.0|0.771487328|-4.79|27.0|-0.18224|0|-0.2357|403.396385|0.0|-0.118028278|-0.277594656|4.86e-07|-0.05346|-28.43795894|-19.87828616|10.94527671|6.6198
34_a20|0.0|2319.742032|0.0|0.74801464|-5.14|32.0|-0.16103|0|-0.21284|712.1606951|1.0|0.199191385|-0.328567476|2.780000000000001e-07|-0.05181|-38.56497154|-21.69778179|10.93244905|7.2147
12g_a30|0.0|2482.668258|0.0|0.826316772|-6.0|32.0|-0.15077|2|-0.2083699999999999|683.7405759|1.0|-0.037395048|-0.574592016|0.000165|-0.0576|-39.593913|-27.49531395|10.31162838|8.0334
14e_a25|0.0|2620.6698690000003|0.0|0.776960216|-5.14|35.0|-0.15787|0|-0.2116699999999999|811.3237836|1.0|0.0065927719999999|-0.524066339|3.38e-07|-0.0538|-54.14823405|-28.3735856|10.93106299|7.1249
7e_a8|0.0|2032.501296|0.0|0.732001738|-5.75|29.0|-0.13577|0|-0.2054699999999999|519.5762494|1.0|-0.03633378|-0.289324602|1.95e-06|-0.0697|-30.79383811|-22.39586026|10.94332434|4.4547
9i_a40|0.0|335.9672843|0.0|0.762774506|-5.32|22.0|-0.11967|0|-0.17956|351.4600612|1.0|0.187127708|-0.279092262|0.000285|-0.05989|-23.58195819|-18.57750214|10.31197226|5.9031
12a_a30|0.0|2256.680391|0.0|0.7885597609999999|-5.28|29.0|-0.1481|2|-0.19994|620.9195447000001|1.0|-0.096804291|-0.3557214489999999|9.21e-05|-0.05184|-29.59731695|-23.35372432|10.31162903|7.9469
13l_a6|0.0|3127.831037|0.0|0.7908110340000001|-5.49|33.0|-0.14562|1|-0.19447|741.5222707|1.0|0.090187973|-0.858070925|5.7e-07|-0.04885|-57.29112645|-31.47586631|10.95129637|6.4145
19k_a38|0.0|2929.493496|0.0|0.853092207|-3.87|33.0|-0.14568|2|-0.20102|686.8472757999999|0.0|0.098947776|-0.6888696990000001|0.000175|-0.05534|-45.3966925|-28.3401789|10.95446448|7.9666
6b_a40|0.0|4049.386572|1.0|0.842573207|-8.41|31.0|-0.1237099999999999|2|-0.21904|618.8882797|1.0|-0.137534783|-0.698480566|0.00318|-0.09533|-48.31476032|-33.22101012|10.30179924|7.5229
3a_a12|0.0|1050.730179|0.0|0.7038021990000001|-3.6|23.0|-0.15328|1|-0.22157|381.0058252|1.0|-0.1231529169999999|-0.322200517|9.33e-06|-0.06829|-17.05063286|-17.08854808|10.95455336|6.7122
25d_a34|0.0|2564.887803|0.0|0.7498681140000001|-4.61|32.0|-0.1771299999999999|1|-0.21234|673.8038326000001|1.0|-0.163072107|-0.8576484190000001|3.53e-06|-0.03521|-44.00298587|-29.42857839|10.95957635|6.0223
IN1166_a11|0.0|2953.475057|0.0|0.765593573|-5.11|32.0|-0.13823|0|-0.21098|676.2770877|1.0|0.018376555|-0.378539035|2.75e-08|-0.07275|-35.26269962|-21.84820685|10.95053349|7.9318
14g_a23|0.0|2531.8503170000004|0.0|0.796412133|-6.89|35.0|-0.1519|0|-0.23201|676.4530574|1.0|0.058422864|-0.803522236|5.57e-06|-0.08011|-36.87984398|-29.55936307|10.3132174|8.0
3j_a32|0.0|1778.1826620000002|0.0|0.824282683|-5.92|23.0|-0.14498|1|-0.19859|398.2788055|1.0|-0.029763115|-0.269814716|6.86e-05|-0.05361|-19.82606536|-16.36574867|10.31100276|8.0969
16b_a23|0.0|2256.698672|0.0|0.7740962779999999|-6.19|36.0|-0.13741|1|-0.21093|896.9989312000001|1.0|0.054655144|-0.3237716519999999|2.26e-05|-0.07352|-27.80700713|-23.2745413|10.31321583|7.0191
14b_a23|0.0|2280.830615|0.0|0.793551289|-5.58|31.0|-0.15064|0|-0.2286699999999999|599.5697147999999|1.0|0.0519489729999999|-0.318684138|9.18e-06|-0.07803|-26.58857202|-22.74225338|10.31321824|8.3536
12e_a30|0.0|2392.685958|0.0|0.8246767140000001|-5.44|31.0|-0.1476|2|-0.19804|704.0353382000001|1.0|-0.010682095|-0.444243861|7.87e-05|-0.05044|-34.82676424|-23.31866823|10.31162844|7.9431
12a_a40|0.0|600.1247016|0.0|0.718281767|-6.41|22.0|-0.12895|0|-0.2091|323.26151960000004|1.0|0.17758258|-0.14667395|2.13e-05|-0.08015|-16.73754566|-17.23885621|10.31197265|5.7501
33_a47|0.0|787.797733|0.0|0.82821379|-3.26|25.0|-0.15985|0|-0.21447|388.178924|1.0|-0.11544858|-0.183320497|2.79e-05|-0.05462|-17.2112484|-14.56646493|10.98214099|8.4
14r_a23|0.0|2306.754114|0.0|0.7837821840000001|-5.58|31.0|-0.15536|0|-0.22378|599.5697147999999|1.0|0.014148395|-0.322513347|9.18e-06|-0.06842|-25.96781003|-23.53402098|10.31321824|8.2684
12af_a36|0.0|3082.869129|0.0|0.813346624|-3.54|33.0|-0.13364|2|-0.19246|757.7532208|0.0|0.091263447|-0.6038322939999999|5.18e-05|-0.05882|-39.81177462|-24.41279506|10.96037047|7.8239
12ax_a36|0.0|2471.295987|0.0|0.836170906|-5.08|31.0|-0.15728|2|-0.21324|661.6709012|1.0|0.075802407|-0.414810497|7.83e-06|-0.05596|-32.99232962|-25.96212292|10.958822|7.9208
6g_a40|0.0|3198.69909|1.0|0.832499949|-7.22|31.0|-0.11857|2|-0.20479|590.1686672000001|1.0|-0.120745388|-1.09669629|0.6459999999999999|-0.08622|-69.68682788|-38.37906336|10.30179936|7.3279
7d_a10|0.0|1597.531619|0.0|0.809056885|-4.22|26.0|-0.1633099999999999|1|-0.21965|460.1866123|1.0|-0.042667459|-0.0845736919999999|5.04e-06|-0.05634|-16.69900016|-13.12185056|10.929819300000002|6.0325
12ba_a36|0.0|2492.5731100000003|0.0|0.8256014690000001|-4.77|33.0|-0.12587|2|-0.21033|688.1986357999999|1.0|0.087201747|-0.423472625|8.240000000000001e-05|-0.08446|-37.76553687|-25.28122447|10.9478512|7.6778
8c_a12|0.0|1245.6132289999998|0.0|0.782864175|-3.47|24.0|-0.15571|1|-0.2227699999999999|390.0159026|0.0|-0.106633503|-0.447739674|2.28e-05|-0.06706|-17.44675795|-19.51587692|10.95472932|7.3979
2_a1|0.0|1378.496713|0.0|0.795932678|-3.06|21.0|-0.1686|1|-0.19826|299.6692382|0.0|-0.1056298369999999|-0.175623923|0.000185|-0.02966|-12.89184641|-12.05838656|10.9520472|5.2366
23_a10|0.0|1945.384475|0.0|0.754150918|-5.38|35.0|-0.15858|1|-0.21158|930.6293092|1.0|-0.031558374|-0.17741132|6.66e-08|-53.0|-24.91121732|-19.02262196|10.92966139|6.1249
17b_a25|0.0|2514.295488|0.0|0.780221059|-5.32|35.0|-0.16408|0|-0.21939|832.226697|1.0|-0.026412432|-0.266456625|4.16e-08|-0.05531|-39.21569422|-22.17876359|10.93106294|6.9957
3b_a32|0.0|1084.520517|0.0|0.800396027|-5.73|21.0|-0.1474099999999999|0|-0.20137|323.0421997|1.0|-0.0411430079999999|-0.265971895|9.97e-05|-0.05396|-17.58323784|-16.40987746|10.31100281|8.2366
4c_a46|0.0|2487.942529|0.0|0.726862617|-5.55|29.0|-0.17085|1|-0.21466|696.2528933|1.0|-0.111750026|-0.300069396|9.32e-06|-0.04381|-25.41708422|-18.76186479|10.94298307|5.6972
8g_a8|0.0|2148.49832|0.0|0.734188081|-5.3|31.0|-0.15542|1|-0.21391|551.1746801|1.0|0.000966222|-0.731356723|1.67e-05|-0.05849|-51.33906829|-32.12579035|10.94318883|5.3768
6_a47|0.0|1577.98246|0.0|0.786041178|-6.02|27.0|-0.1544|0|-0.20794|469.7495559|0.0|-0.14404966|-0.392537045|3.310000000000001e-07|-0.05354|-23.54237714|-19.96679614|10.93671042|7.9
7f_a10|0.0|2375.702381|0.0|0.796084921|-5.54|30.0|-0.15627|1|-0.2175699999999999|527.8079877|1.0|-0.104120245|-0.5663456689999999|3.03e-06|-0.0613|-19.93012491|-20.30728086|10.92948443|6.8508
14u_a23|0.0|2430.634114|0.0|0.787538583|-5.63|32.0|-0.1543|0|-0.21613|683.7405759|1.0|0.050530143|-0.385981432|1.3699999999999998e-05|-0.0618299999999999|-24.65250654|-22.64798452|10.31321759|8.2449
12au_a36|-3.3109381210000004|2384.109036|0.0|0.825565083|-3.85|34.0|-0.15162|2|-0.2087099999999999|805.2286932|0.0|0.075815782|-0.613616984|6.45e-05|-0.0570899999999999|-46.66686194|-27.36414058|10.31810353|7.3279
5_a18 (BIBF0775)|0.0|1645.395714|0.0|0.7395978390000001|-6.07|37.0|-0.13154|2|-0.18092|1140.896548|0.0|-0.0366107389999999|-0.391512249|3.06e-07|-0.04938|-39.33277643|-22.46761997|10.94702058|7.4685
16a_a23|0.0|1801.957216|0.0|0.8323974470000001|-4.58|31.0|-0.07625|1|-0.12645|668.3493171|0.0|0.062601621|-0.302174246|0.0023|-0.0502|-17.13669862|-16.6118386|10.31321796|7.4037
6_a15|0.0|1971.005637|0.0|0.691316481|-5.66|28.0|-0.15714|0|-0.18133|592.4420375|1.0|0.106485923|-0.513693384|4.3e-06|-0.02419|-24.00625743|-17.94143141|10.95880677|7.4559
8_a1 (SB-202620)|0.0|1736.664204|0.0|0.743088715|-4.94|27.0|-0.13683|0|-0.2105199999999999|433.2550452|0.0|-0.0443137679999999|-0.606562911|3.42e-06|-0.0736899999999999|-37.88089785|-23.30777912|10.94957568|6.3979
12j_a30|0.0|2258.891981|0.0|0.795446883|-5.66|30.0|-0.14772|2|-0.1987799999999999|686.039456|1.0|-0.02473642|-0.354848778|4.02e-05|-0.05106|-30.8670468|-23.39729904|10.31162861|8.058
17a_a6|0.0|2217.333474|0.0|0.7722228729999999|-5.81|31.0|-0.12425|1|-0.18178|627.4287311|1.0|0.04129257|-0.686067347|4e-07|-0.05753|-41.34573382|-27.26767299|10.94948984|7.6198
