molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|BCUTi-1|n5aRing|AATSC1pe|AATSC7i|MATS1i|n6aHRing|MATS8s|nFaHRing|FNSA5|PNSA3|PNSA5|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|WNSA3|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|FPSA5|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|TPSA_y|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
12w_a30|0.0|0|0|0|0.0|7.412764017000001|2|2|0.604983445|0.0|-0.007019432|5.351858133|2|0.044197531|-0.0999572419999999|0.0|-0.372029919|10.31162873|1|0.001805829|-0.173643543|-0.0493878409999999|1|-0.032835151|0|-0.096032733|-52.53307388|-65.85056003|0.147783603|101.3366249|-0.037237182|7.262777048999999|0.0|0.8077976990000001|-36.02242934|63.12469722|0.451478593|584.3729039|-1251.160641|-17.50883211|0.192202301|14.70077638|0.8230829059999999|6888.291006999999|-857.9327732|0.014471302|-422.1196298|9.923109661|1.0|1.0|1.0|0.0|1.0|0.0|0.14|5.11|81.65|0.0|137.3|0.0|1.0|31.0|4.0|-5.52|467.37|0.0|3.59|-6.04|2.64e-07|9.14e-07|5.12|0.0|1.58e-08|7.39e-06|-0.05682|5.08|3.5585|-2494.966575|716.83|244.87|577.06|0.31353|0.68423|0.1614|0.0345723|15.0|7821.0|7821.0
14b_a23|0.0|0|1|1|0.0|7.423568444|0|0|1.197963628|3.2475997860000003|-0.006248709|5.351858133|2|0.043538647|0.0519489729999999|0.716540473|-0.318684138|10.31321824|2|0.0075222369999999|0.121308009|-0.073945564|2|-0.00399443|1|-0.082441268|-41.01458464|-53.44429544|0.153740341|99.66542762|-0.03508139|8.596171261|84.36242964|0.774359705|-26.58857202|54.274732400000005|0.450973737|548.6057241000001|-1068.885909|-14.74314679|0.225640295|14.26820636|0.821406493|6622.129837|-692.9278992000001|0.01779446|-355.71896410000005|11.53563485|0.0|1.0|1.0|1.0|1.0|3.44|0.05|3.78|105.02|1.0|120.24|0.0|1.0|31.0|5.0|-6.31|429.47|0.0|3.78|-5.11|2.66e-06|7.73e-06|3.68|0.0|2.14e-08|9.18e-06|-0.07803|3.72|3706.0|-1729.161608|673.05|334.55|525.66|0.58097|0.58097|0.3603|0.02188578|4.0|8.3536|8.3536
12ad_a36|0.0|1|0|0|3.428443248|7.412764017000001|2|2|1.297042846|0.0|-0.01083262|5.351858133|2|0.040787037|0.046496301|0.0|-0.649957196|10.95445455|1|0.000906224|0.077659878|-0.136151085|1|0.1563642469999999|0|-0.107772644|-58.34300549|-76.30379737|0.239732231|169.7321223|-0.0365657189999999|15.4237324|81.68309557|0.656407461|-41.30726219|80.12771975|0.477102332|538.2749789|-1449.77215|-18.32944602|0.343592539|16.772513699999998|0.912420081|6569.653402|-1026.448977|0.028968808|-221.4751857|20.51012207|1.0|0.0|1.0|0.0|2.0|0.0|0.17|2.7|95.5|0.0|135.03|0.0|1.0|33.0|6.0|-7.18|439.47|0.0|1.76|-4.08|6.579999999999999e-05|8.36e-05|2.53|0.0|2.42e-07|0.000106|-0.05406|4.5|3.8512|-1460.8311199999998|737.53|216.26|588.2|0.27316|0.67215|0.2532|0.03648828|17.0|7.7696|7.7696
1o_a5|0.0|1|0|0|2.923171926|6.605297921|0|0|1.427566509|0.0|-0.002633927|4.59511985|2|0.025987654|-0.033273504|0.0|-0.1079910069999999|10.94518594|1|0.0051989459999999|-0.05876042|0.038275248|2|-0.003561205|0|-0.072886362|-42.63505279|-39.1638643|0.11569628|62.16682117|-0.028770932|3.827177229|1.01402588|0.699913551|-22.90899675|49.75766514|0.470590799|475.1609233|-587.4579645|-8.306775343|0.300086449|14.20898333|0.8888980340000001|4572.818263|-315.657463|0.020380352|-214.8381946|10.95092849|1.0|1.0|1.0|1.0|1.0|2.2|0.0|4.48|78.25|0.0|95.2|0.0|1.0|25.0|4.0|-6.3|323.35|0.0|2.95|-4.08|8.329999999999999e-05|8.340000000000001e-05|2.78|0.0|7.85e-09|2.54e-06|-0.07037|2.66|4.1692|-1043.577386|561.04|275.45|443.88|0.4988899999999999|0.5492100000000001|0.0071|0.04126499|35.0|7.4559|7.4559
14s_a23|0.0|0|1|1|0.0|7.423568444|0|0|1.197958333|3.336763335|-0.005854379|5.351858133|2|0.045277778|0.049317519|0.740898446|-0.298573309|10.31321812|2|0.009263715|0.0909774219999999|-0.071484865|2|0.096014944|1|-0.080500435|-35.30692476|-51.64162341|0.07236376|46.42188642|-0.034255504|8.218681552|82.55990607|0.7748161659999999|-22.64965286|48.11843993|0.470919749|595.0854952000001|-1032.832468|-14.09722664|0.2251838339999999|14.26730044|0.890072438|6938.271179|-662.5696522999999|0.017330177|-352.5931977|11.11743642|0.0|1.0|0.0|1.0|1.0|3.66|0.05|4.0|105.02|1.0|125.29|0.0|1.0|31.0|4.0|-6.03|445.93|0.0|4.01|-5.55|7.49e-07|2.83e-06|4.21|0.0|1.02e-08|4.55e-06|-0.07783|4.1|3.6828|-2089.521231|668.66|336.66|528.82|0.60323|0.60323|0.3669|0.02112956|3.0|8.5482|8.5482
12ag_a36|0.0|1|0|0|3.408828027|7.412764017000001|2|2|1.297044434|0.0|-0.008085448|5.351858133|2|0.043848238|0.063109409|0.0|-0.436614203|10.96052849|1|-0.000673716|0.135431487|-0.101303149|1|0.124298337|0|-0.1081585809999999|-52.02834065|-68.21579593|0.253169906|159.6746787|-0.038937089|8.009946323|0.0|0.758897371|-32.81436052|64.72839664|0.481286668|471.0269757|-1227.884327|-15.48857353|0.2411026289999999|15.13240062|0.927847116|5906.879919|-774.4286762999999|0.019328689|-326.5740008|12.1906363|1.0|0.0|1.0|0.0|2.0|0.0|0.14|3.13|69.2|0.0|123.71|0.0|1.0|30.0|5.0|-6.76|399.42|0.0|2.15|-4.16|0.000129|6.96e-05|2.78|0.0|1.4e-07|5.58e-05|-0.05486|3.41|3.7117|-1332.185403|658.68|318.79|507.72|0.69204|0.7024699999999999|0.0191|0.03415856|17.0|7.7696|7.7696
12h_a36|0.0|1|0|0|3.468184524|7.412764017000001|2|2|1.297043828|0.0|-0.0086750619999999|5.351858133|2|0.039061728|0.059920602|0.0|-0.503153567|10.96020037|1|0.003077071|0.100530266|-0.1430106119999999|1|-0.10861416|0|-0.10720355|-48.17643878|-70.19826261|0.180385475|118.1187282|-0.035734517|11.96512593|1.413982241|0.665254541|-31.5465515|66.44902736|0.464544951|536.6941285|-1263.568727|-15.32224162|0.3347454589999999|13.87400978|0.8675704009999999|6159.17335|-827.4010477|0.026971557|-216.42159590000003|17.66132225|1.0|0.0|1.0|0.0|2.0|0.0|0.17|2.77|78.43|0.0|130.24|0.0|1.0|31.0|5.0|-6.93|411.46|0.0|1.81|-4.07|0.000113|8.499999999999999e-05|2.65|0.0|2.03e-07|8.340000000000001e-05|-0.05013|2.92|3.4554|-1347.481013|697.29|238.44|535.67|0.34589|0.7014600000000001|0.0056|0.02925492|14.0|7.8539|7.8539
17a_a10|0.0|0|0|0|0.0|7.535296702|2|2|1.3438501040000002|2.118111229|-0.004333189|5.4161004020000005|3|0.036545455|-0.082914437|1.863045777|-0.2946568739999999|10.92970797|1|0.01029375|-0.132166258|-0.225935253|2|0.029106767|1|-0.082689376|-39.18491085|-58.46202420000001|0.146175016|103.34686|-0.023625536|10.04165819|87.61514901|0.564726042|-27.70403316|53.38795048|0.4918223679999999|603.6608262999999|-1052.3164359999998|-11.80945728|0.4352739579999999|16.96492079|0.967815851|7078.918870999999|-743.9958084|0.0254938|-91.52361858|18.02431251|0.0|1.0|1.0|1.0|0.0|3.66|0.33|3.31|76.38|0.0|142.16|0.0|1.0|35.0|6.0|-7.43|468.55|0.0|2.64|-4.32|0.00021|4.74e-05|2.43|0.0|4.74e-08|2.22e-05|-0.04641|3.95|3.9887|-1524.557372|767.6|224.26|603.73|0.32889|0.67671|0.0867|0.03725238|49.0|7.3098|7.3098
12b_a5|0.0|0|0|0|0.0|6.605297921|2|2|1.189701783|0.0|-0.001991527|4.59511985|3|0.0252713179999999|-0.021265946|0.0|-0.1214831359999999|10.94620104|0|0.00751901|-0.033279992|-0.070406884|2|0.066588785|0|-0.068586754|-41.76622313|-43.25430513|0.172386307|108.7155967|-0.020455699|6.584944956|0.0|0.530379611|-26.33991037|52.20772716|0.480419002|521.9354031|-735.3231872|-8.135654442|0.4696203889999999|16.16438947|0.924627734|5501.255679|-463.7323032|0.025810077|-38.31786425|16.27715102|0.0|0.0|1.0|1.0|1.0|0.0|0.33|3.29|50.28|0.0|123.46|0.0|1.0|30.0|6.0|-7.57|397.47|0.0|1.44|-3.45|0.00503|0.000359|1.63|0.0|2.14e-08|8.5e-06|-0.10395|2.24|1.4454|-1276.928859|669.05|268.62|505.16|0.42949|0.70615|0.0001|0.03447919|42.0|7.3768|7.3768
18_a47|0.0|1|1|1|2.969619451|6.605297921|0|0|1.414391819|0.0|-0.004337918|4.59511985|3|0.037919622|-0.026357805|1.5913490630000002|-0.2342475789999999|10.93838451|1|0.0015586929999999|-0.056674151|-0.02470455|3|-0.059779939|1|-0.084415066|-49.44908758|-52.88049505|0.222175975|139.1786571|-0.0303894239999999|5.784962137000001|3.684585007|0.7327484470000001|-30.97660579|58.68383399|0.432077184|487.2556678|-951.8489108|-11.9254166|0.267251553|12.35791568|0.7608026529999999|6261.441874|-596.2708299|0.017318402|-291.6032324|10.84884165|1.0|0.0|1.0|1.0|2.0|2.5|0.08|5.53|79.38|0.0|119.78|0.0|0.0|31.0|5.0|-5.87|410.45|1.0|4.16|-5.37|3.13e-06|4.29e-06|4.13|0.0|4.34e-11|1.78e-08|-0.04964|3.32|4.2222|-1354.221126|652.12|290.58|487.81|0.4659|0.63359|0.0516|0.04031146|3.0|8.6|8.6
