molecula|SddssS|n9FaRing|SRW09|nAHRing|nARing|BCUTs-1|SRW07|n6HRing|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aHRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA5|PBF|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|pIC50|pIC50
12n_a30|0.0|0|7.412764017000001|2|2|0.604984682|5.351858133|2|-0.1144447669999999|0.0|0.001139238|10.31162898|1|-0.0541804029999999|-0.120380857|-0.464204099|1|0.669561738|0.815003426|-0.015189554|-0.149451598|0.64876559|0|0.7781502140000001|-0.10528124|0.390449649|-52.4873066|-66.48079820000001|10.77573511|140.0890685|-0.038674741|0.0|0.799403208|-33.14358793|76.16725916|63.2630417|0.4701566479999999|2848.910641|491.3700419|-15.42118984|0.200596792|7.385790169|13.93957316|0.887350282|126.6686716|30.54968688|-378.1217671|1496.934657|618.6004214|9.686460958|1.0|0.0|1.0|4.66|-6.9|3.18|81.65|3.2|2.0|0.0|127.24|1.0|5.0|-5.39|30.0|5.0|0.0|2.92|-5.01|4.12e-06|9.71e-06|3.97|0.0|3.4859|-1675.011418|-1674.978015|669.57|1131.65|506.94|0.27009|0.1489|-148.0|5.3143|0.0334036|7983.0|7983.0
9_a47|0.0|0|0.0|0|0|1.3818994059999998|0.0|2|-0.043270202|1.323246814|-0.009607222|10.93671087|0|-0.021556658|-0.045757939|-0.4477815529999999|2|0.7033922579999999|0.792070785|0.046690958|0.075092937|0.689770023|1|0.805149969|-0.0969292319999999|0.492394184|-44.13640712|-50.70744657|4.991260197|101.9336202|-0.036925422|0.0|0.790651977|-23.08946904|58.96976407|49.12766732|0.482896681|2292.652212|421.2052248|-10.10553715|0.209348023|5.653392499|10.93281031|0.93384951|109.5180831|24.43189048|-304.1026787|1026.1394|442.7664664|8.262317504|1.0|1.0|2.0|2.87|-8.47|5.61|58.04|2.99|1.0|0.0|101.46|1.0|3.0|-5.37|26.0|4.0|0.0|4.09|-5.2|4.29e-06|6.3e-06|4.43|0.0|3.7183|-1149.090086|-1149.055456|566.1|959.59|406.35|0.3885099999999999|0.2208|-0.1545099999999999|2.2966|0.03463008|7.6|7.6
5b_a40|0.0|0|8.149890544|0|1|0.604912077|6.167516491000001|0|-0.096549823|0.7222376540000001|0.008515162|10.31198309|2|0.007986879|0.013573521|-0.389789991|0|0.537115914|0.817071232|-0.400500595|0.029485257|0.503365018|1|0.881264402|-0.091267779|0.313503463|-38.64461938|-45.78637031|9.59023102|59.56617021|-0.036507111|49.25022097|0.829018186|-19.38687321|52.08187888|48.2348504|0.477304896|2126.9310920000003|442.1045286|-9.187872156|0.1709818139999999|6.521443259|12.47657231|0.913161214|85.77656597|22.09185326|-330.1175669|662.7555978999999|285.9136384|6.2955085660000005|1.0|0.0|0.0|3.13|-5.25|4.39|75.5|2.89|1.0|1.0|84.17|2.0|3.0|-5.43|21.0|3.0|0.0|3.83|-4.84|3.69e-06|1.44e-05|4.14|0.0|3.9759|-2096.782087|-2096.767375|515.23|847.01|411.1|0.59928|0.3005|-0.15999|7.2947|0.01471235|7.1938|7.1938
7_a4|0.0|0|7.535296702|1|1|1.343865525|5.4161004020000005|2|-0.07290303|2.048170299|0.008409909|10.92992954|1|-0.042220092|-0.094000778|-0.174410426|2|0.527072036|0.8046449179999999|0.022270259|0.0707653759999999|0.518356619|1|0.825830607|-0.071288428|0.470973822|-32.72992462|-35.88407105|7.402610584|87.67070691|-0.026733161|79.08210981|0.7179916670000001|-16.47508541|44.34066533|40.13253521|0.437317462|2286.169166|415.6938929|-6.773539148999999|0.282008333|5.512905888|9.797542165|0.7772010559999999|141.9530115|18.74189807|-219.4585767|749.6759227000001|407.1471338|8.456594282000001|1.0|1.0|0.0|3.05|-7.46|4.67|43.6|2.82|0.0|0.0|95.07|1.0|2.0|-3.81|25.0|4.0|1.0|3.56|-4.41|0.000156|3.92e-05|3.22|0.0|4.0379|-1089.870249|-1089.847072|538.92|915.46|365.73|0.59702|0.0697|-0.16975|3.9832|0.02317758|6821.0|6821.0
19a_a38|0.0|0|7.412764017000001|2|2|1.297044508|5.351858133|2|0.054257043|0.0|-0.002526241|10.96083376|1|-0.101303149|-0.217394466|-0.4342819429999999|1|0.724208473|0.819222745|0.031696119|-0.133130383|0.698414933|0|0.747152898|-0.108300308|0.298938581|-51.36166266|-64.73159672|13.23456869|151.1278869|-0.038988111|0.0|0.744796537|-30.69910427|77.20795279999999|64.59623135|0.465829126|2774.129458|446.57675660000007|-13.92853534|0.255203463|6.923156054|12.96056449|0.872060139|152.5362948|31.28824271|-292.6320538|1564.412135|595.8790650000001|12.47635608|1.0|1.0|3.0|4.83|-6.86|2.55|81.23|2.4|1.0|0.0|125.69|1.0|5.0|-4.14|30.0|4.0|0.0|2.68|-4.17|7.209999999999999e-05|6.77e-05|2.78|0.0|3.6504|-1332.186327|-1332.1529369999998|628.65|1092.25|466.55|0.6329100000000001|0.0721|-0.15108|4.7986|0.03338983|8.0106|8.0106
17e_a50|0.0|1|7.934155233999999|2|2|1.320916122|5.82008293|2|-0.011278897|2.2384546640000003|0.012036705|10.94500663|2|-0.1949741189999999|-0.310566368|-0.229030473|1|0.7596299459999999|0.7409645029999999|-0.1710526319999999|-0.202197068|0.736221185|1|0.930108205|-0.073011385|0.4239465089999999|-32.24487658|-50.7956915|8.950665784|48.62532158|-0.02665495|86.98647608|0.803671114|-22.43349867|57.93079973|41.19554236|0.489797496|2883.936138|647.0975667|-12.90180444|0.196328886|8.52101688|16.70124474|0.960006062|136.5904997|23.07468625|-422.5418889|1453.705234|904.3172644|7.135108233|0.0|1.0|0.0|4.18|-7.33|4.68|51.77|2.91|2.0|0.0|138.0|1.0|6.0|-4.87|33.0|4.0|1.0|4.03|-5.18|1.34e-05|6.58e-06|4.08|0.0|4.0298|-1375.295877|-1375.268259|757.34|1312.91|602.89|0.6322800000000001|0.1785|-0.16649|6.7175|0.02761851|6.8097|6.8097
3_a4|0.0|0|7.535296702|1|1|1.343866299|5.4161004020000005|2|-0.07806942|2.180369373|0.011825591|10.92992985|1|-0.048796855|-0.08121207|-0.133874898|2|0.637819558|0.773786787|-0.0862461019999999|0.0904255319999999|0.623172012|1|0.919804716|-0.06572153|0.462670692|-25.5405205|-31.92506825|5.133610255|38.95587796|-0.024645574|40.30885999|0.7196876640000001|-12.40663231|39.38579676|30.67413075|0.430553837|2159.04913|446.8068266|-5.815502811|0.280312336|4.832514477|8.486341272999999|0.7560922609999999|136.1652785|16.63485592|-213.4321476|665.3942366|409.0289917|7.460728516|1.0|1.0|0.0|2.99|-7.19|4.11|43.6|2.44|0.0|0.0|95.12|1.0|2.0|-3.7|24.0|3.0|1.0|3.31|-4.26|0.000198|5.520000000000001e-05|3.12|0.0|4.0639|-990.6395508|-990.6149055|535.44|905.23|350.36|0.58445|0.0871|-0.17005|2681.0|0.024645265|6983.0|6983.0
47n_a18|0.0|0|7.03438793|1|1|1.251175627|4.844187086|0|0.017491759|0.0|0.000271488|10.94702025|0|-0.172015161|-0.258092915|-0.529441732|0|0.722991132|0.696612213|-0.09714337|-0.083719099|0.711628292|0|0.792429396|-0.091185806|0.288989992|-65.43887366|-75.24728669|8.759783644|171.2889916|-0.031974244|47.476904100000006|0.783921929|-54.00070374|86.44740177|74.19865731|0.482565384|3349.802294|653.9193397999999|-21.77346199|0.216078071|10.43689152|20.17045476|0.932611327|178.30942439999998|33.65821422|-468.58948260000005|2591.682495|1306.125688|11.20011508|1.0|1.0|3.0|4.69|-9.76|3.31|105.6|2.72|3.0|1.0|162.18|1.0|13.0|-6.02|40.0|4.0|0.0|2.76|-5.24|9.48e-07|5.7e-06|4.1|1.0|3.2028|-1743.3283440000002|-1743.299948|879.92|1565.37|799.02|0.6914600000000001|0.5056|-0.13138|2.4754|0.02839695|7.1938|7.1938
12c_a30|0.0|0|7.412764017000001|2|2|0.604984133|5.351858133|2|-0.0983590219999999|0.0|0.00372838|10.31162888|1|-0.051371057|-0.090173435|-0.468696709|1|0.8264832879999999|0.824373792|-0.031986012|-0.1240820219999999|0.7463962120000001|0|0.8439327120000001|-0.096482247|0.39541773|-50.12643041|-62.99109515|10.36785909|101.8928318|-0.037411484|0.0|0.8061287690000001|-32.72642202|72.5855533|60.4942895|0.452966315|2860.640481|550.9847369|-15.946612|0.193871231|7.652098812999999|13.9883503|0.828040991|126.574178|30.29927658|-399.7292126|1484.664552|652.8825454|9.594458155|1.0|0.0|1.0|4.62|-7.22|3.27|81.65|3.31|2.0|0.0|132.29|1.0|5.0|-5.93|30.0|4.0|0.0|3.11|-5.44|1.19e-06|3.61e-06|4.49|0.0|3.5286|-2035.373591|-2035.339256|695.96|1168.62|541.39|0.32037|0.1568|-0.1496299999999999|3.7377|0.03433522|7.9914|7.9914
18_a31|0.0|0|7.401841579|0|0|0.610137226|5.351858133|0|-0.051184519|0.0|-0.009923585|10.31169929|2|-0.065041042|-0.107017926|-0.604728055|0|0.868704545|0.8595579409999999|0.022160691|-0.1647054359999999|0.838968212|0|0.72588713|-0.129469649|0.258135789|-69.19879619|-75.99442464|8.49194438|160.8952371|-0.040279446|0.0|0.7774768320000001|-40.61741697|85.81723707|77.69074057|0.4492048839999999|2241.561812|426.0718665|-13.87749294|0.222523168|7.076684189|12.84812443|0.8155571290000001|130.6137795|30.40953623|-325.73954460000004|1368.42913|477.1857166|9.822812434|1.0|1.0|3.0|3.41|-6.54|3.48|119.14|0.75|1.0|0.0|99.32|1.0|7.0|-4.62|25.0|4.0|0.0|2.89|-3.62|2.42e-05|0.000241|2.47|0.0|3.9105|-1465.528656|-1465.4803960000002|630.26|1041.21|541.33|0.51842|0.2457|-0.16212|3.0607|0.04825999|6.8861|6.8861
22_a20|0.0|0|6.842683282|0|0|1.4170330269999998|4.727387819|2|0.09301076|2.041494094|0.009265667|10.93106272|1|-0.036258691|-0.060582944|-0.177976478|2|0.616352201|0.7478675859999999|-0.044184455|-0.067650395|0.607038752|1|0.946515026|-0.067797027|0.425968568|-39.00017609|-44.14650378|8.001165067999999|34.8271111|-0.027118811|54.71081293|0.77063827|-25.39523478|52.90592556|47.00134116|0.477376285|2738.108259|616.3298149|-11.49852068|0.22936173|7.408914181|14.17638345|0.913422548|149.350479|22.91425458|-352.4559681|1145.712729|664.4562602999999|8.759421782|1.0|1.0|0.0|3.36|-9.69|5.39|67.39|2.61|2.0|0.0|121.62|1.0|4.0|-5.6|31.0|4.0|0.0|4.24|-5.53|2.48e-06|2.98e-06|4.47|0.0|3.9732|-1275.84854|-1275.816275|694.15|1181.95|563.43|0.38233|0.0015|-0.16176|4.8308|0.03226475|6.6364|6.6364
LY364947_a10|0.0|0|6.605297921|0|0|1.390175303|4.59511985|2|0.0938628109999999|2.084955541|0.007575|10.9303125|1|0.04209715|0.072909639|-0.204644982|2|0.706034038|0.711607778|-0.072740964|-0.012096774|0.681525895|1|0.8431045490000001|-0.075303751|0.449473391|-34.01613475|-33.26705198|4.275500834|69.31194102|-0.029665114|0.0|0.7234846559999999|-15.02735938|41.53157099|38.29163558|0.486715511|1896.845282|372.4595738|-5.78950507|0.276515344|4.702575386|9.161732895|0.948237326|122.1566022|18.1140017|-197.4583104|597.7620559999999|287.99188260000005|8.264519015|1.0|1.0|1.0|2.46|-7.2|3.69|54.46|1.74|0.0|0.0|82.56|1.0|2.0|-3.54|21.0|3.0|1.0|2.8|-3.86|0.00029|0.000137|2.74|0.0||||||||||||7.2291|7.2291
17_a3|0.0|0|6.823286122000001|0|0|0.605019885|4.727387819|2|-0.015463451|1.709081227|-0.007540435|10.31163036|1|0.020589494|0.036673175|-0.633373061|2|0.881253042|0.767641592|0.1789147639999999|-0.085686119|0.773152968|1|0.803075623|-0.096067661|0.225087454|-50.20132919|-48.88298017|5.251911643|100.2028184|-0.039557272|76.17242478|0.840062179|-25.54439812|55.39769571|55.45324083|0.4383349039999999|2196.728425|408.6362608|-10.24205849|0.159937821|6.2477303310000005|11.12358659|0.780420408|81.38261354|23.96047156|-346.0738521|814.6560331000001|353.7528308|6.514715538|1.0|1.0|1.0|3.13|-7.48|4.66|92.93|2.37|1.0|0.0|95.5|1.0|2.0|-5.53|23.0|3.0|0.0|3.71|-4.93|2.96e-06|1.18e-05|3.88|0.0|3.2102|-1731.75233|-1731.72355|537.32|891.3|393.58|0.69481|0.4062|-0.13155|3.8077|0.02878063|7.6383|7.6383
4S4l_a46|0.0|0|7.825245291|1|1|1.134637095|5.587248657999999|1|-0.067419714|0.0|0.0066560469999999|10.94631401|1|0.0071939419999999|0.010799648|-0.3888343979999999|1|0.7940662409999999|0.726535412|-0.001318857|-0.229089688|0.7936534740000001|0|0.894782107|-0.084663086|0.213675946|-49.45536962|-46.10883478|3.888872426|57.30330315|-0.029881089|0.0|0.877939134|-26.93416438|49.6055056|53.34424204|0.469439238|2166.052483|487.3122681|-8.862913904|0.1220608659999999|5.668394116|10.68377935|0.884798257|66.47624804|18.5362581|-411.6630752|945.3491632|579.2365607|3.496670823|1.0|1.0|1.0|3.92|-7.0|5.02|50.94|3.06|1.0|0.0|105.77|1.0|3.0|-5.28|26.0|3.0|1.0|4.08|-5.11|5.25e-06|7.78e-06|4.49|0.0|4.1414|-1092.753999|-1092.727031|583.76|1040.96|500.66|0.57885|0.0614|-0.17632|2.5083|0.02696794|6.5834|6.5834
21_a47|0.0|1|6.86171134|0|0|1.408713027|4.727387819|2|-0.034419528|1.028199909|-0.006808306|10.95058272|1|-0.1049885469999999|-0.277479519|-0.5406500129999999|2|0.612295986|0.826796636|-0.080213904|0.0927058819999999|0.591185263|1|0.70582155|-0.095249919|0.3188717339999999|-46.63227351|-53.76411184|12.83540744|166.049938|-0.033866638|47.95893876|0.6448452960000001|-26.32173133|70.10126935|59.46768095|0.463113582|2691.697803|398.4031618|-10.79015808|0.355154704|7.071346534|13.17102891|0.862591353|200.4681737|29.64451905|-163.5167523|1334.003357|482.9384172|16.33715751|0.0|1.0|2.0|3.29|-7.7|4.93|84.73|2.97|1.0|0.0|104.49|1.0|6.0|-4.44|29.0|6.0|0.0|3.43|-4.32|3.6e-05|4.84e-05|3.0|0.0|3917.0|-1375.061089|-1375.028093|583.37|1014.33|441.93|0.68296|0.2249|-0.16158|3.6767|0.03299607|8.3|8.3
12g_a30|0.0|0|7.412764017000001|2|2|0.6049842529999999|5.351858133|2|-0.037395048|0.0|0.001371944|10.31162838|1|-0.084317059|-0.152855196|-0.539112991|1|0.817497287|0.826316772|-0.0430471959999999|-0.0885760969999999|0.770326886|0|0.783662781|-0.10344931|0.487608738|-58.41940906|-70.11305057|18.59520651|146.623137|-0.040568357|237.7754135|0.7743107290000001|-39.593913|83.29752441|77.01461557|0.459011202|3058.2873170000003|531.1295763|-18.63502363|0.225689271|8.694447089|16.07139949|0.8484671109999999|152.961516|35.50940589|-371.8296813|1810.9797|683.7405759|13.18447384|1.0|0.0|1.0|4.67|-6.42|2.48|114.67|2.06|2.0|1.0|133.52|1.0|6.0|-6.0|32.0|6.0|0.0|2.36|-5.01|1.01e-06|9.71e-06|3.89|0.0|3.5592|-1743.214798|-1743.174676|717.55|1206.02|577.31|0.26238|0.1613|-0.15077|3875.0|0.04012224|8.0334|8.0334
18a_a30|0.0|0|7.412764017000001|2|2|0.604987543|5.351858133|2|-0.041327798|0.0|0.005050384|10.31163887|1|-0.053309522|-0.094526372|-0.452377064|1|0.8421237309999999|0.7885597609999999|0.003991162|-0.171895425|0.7961424690000001|0|0.85918121|-0.095397479|0.294303776|-45.11907802|-59.38972262|10.62073502|87.66676984|-0.036990859|0.0|0.7904991659999999|-28.08889239|69.35818061|55.73981304|0.445995681|2721.874248|534.88346|-14.33650253|0.209500834|7.050626413|12.72666325|0.8050400790000001|130.4247923|29.1318055|-361.7006453|1427.458469|620.9195447000001|9.968457988|1.0|0.0|1.0|4.75|-6.64|2.62|81.65|2.82|2.0|0.0|127.28|1.0|5.0|-5.28|29.0|4.0|0.0|2.63|-4.85|5.23e-06|1.4e-05|3.87|0.0|3.4712|-1575.786909|-1575.755101|665.12|1120.46|508.08|0.69033|0.3781|-0.1418|4.2514|0.03180853|7.6108|7.6108
4h_a46|-3.74433321|0|7.825245291|1|1|0.3002050539999999|5.587248657999999|2|-0.057256598|0.0|-0.0008161889999999|10.31928028|1|-0.030014575|-0.0488847059999999|-0.516344924|2|0.739180305|0.7543177040000001|0.075704004|-0.134568896|0.6947264059999999|0|0.767244275|-0.083997524|0.659584488|-65.24476749|-65.90523417|7.900037181|182.6222935|-0.0305445539999999|19.09455432|0.805506105|-51.19164773|74.99848132|73.14480467|0.4866209529999999|3472.1185880000003|601.9869510999999|-18.803584|0.194493895|8.138240742999999|15.85230406|0.947878486|152.6017078|29.75215152|-479.405829|1963642.0|1021.999374|9.093247153|1.0|0.0|2.0|4.63|-9.2|6.18|124.17|2.27|2.0|0.0|142.08|1.0|6.0|-6.53|36.0|6.0|0.0|3.82|-5.69|2.97e-07|2.06e-06|4.21|1.0|4.18|-1923.926093|-1923.878801|792.61|1397.46|682.14|0.55428|291.0|-0.1711599999999999|1.7601|0.04729184|6.6402|6.6402
47i_a18|0.0|0|7.03438793|1|1|1.251177255|4.844187086|0|-0.037689885|0.0|-0.000919158|10.94702091|0|-0.106018078|-0.162274487|-0.499939719|0|0.742536498|0.744472118|-0.064085904|-0.068524374|0.727767462|0|0.8030751740000001|-0.089609068|0.279553995|-54.34379065|-62.41153158|6.787641686000001|137.1555392|-0.035256027|82.81385171|0.8608685909999999|-37.84973202|68.954317|61.13143233|0.487446923|2795.907966|559.3312455|-17.10248143|0.139131409|9.573882864|18.67881257|0.951017454|96.90318745|28.52393145|-502.6804099|1739.959818|855.7438937000001|6.542785417999999|1.0|1.0|3.0|4.05|-8.98|2.8|85.29|2.74|3.0|1.0|134.83|1.0|8.0|-5.18|33.0|3.0|0.0|2.5|-4.78|6.58e-06|1.67e-05|3.7|0.0|3.2321|-1416.260696|-1416.233978|744.95|1297.7|664.78|0.69175|0.5085|-0.13237|2.7749|0.02671774|7.7212|7.7212
9_a27|0.0|0|6.842683282|0|0|1.391067068|4.727387819|2|-0.152086653|1.233610009|0.00611794|10.93740461|1|-0.101933162|-0.171520296|-0.541535578|2|0.677253824|0.8214321609999999|0.017503266|-0.071974951|0.654138816|1|0.7988644709999999|-0.088404481|0.36853691|-40.3551562|-45.58003501|10.10030794|103.702486|-0.033677898|65.12542467|0.7892801540000001|-20.80651808|53.0685473|50.45546414|0.466349763|2256.4955670000004|411.8826346|-8.952528705|0.210719846|5.03925321|9.442988795|0.873886547|108.6440173|21.99956856|-298.297086|923.9818797|424.8821143|7.488512291|1.0|0.0|1.0|3.12|-7.06|3.04|76.46|2.66|0.0|0.0|97.46|1.0|3.0|-4.06|25.0|4.0|1.0|2.99|-4.08|8.66e-05|8.28e-05|2.8|0.0|4.1673|-1083.143348|-1083.118736|549.64|945.35|425.08|0.35593|134.0|-0.1716|2.7456|0.02461151|8699.0|8699.0
8_a1 (SB-202620)|0.0|0|6.86171134|0|0|1.4323973840000002|4.727387819|1|-0.0443137679999999|0.0|-0.012672753|10.94957568|1|-0.019835038|-0.042643966|-0.612004804|1|0.674381582|0.743088715|-0.042789124|0.063001656|0.658433571|0|0.648967503|-0.105271458|0.174628594|-66.76765693|-59.72618401|8.809217494|199.1596945|-0.041081545|64.70432539|0.7742395870000001|-37.88089785|70.8721358|75.57687443|0.4564697679999999|2431.842132|368.1943149|-13.22376193|0.225760413|7.432247389|13.67402758|0.839824062|128.0860757|30.104091200000003|-311.18185800000003|1234.267739|433.2550452|11.1459518|1.0|1.0|2.0|2.74|-8.02|5.06|78.87|2.78|2.0|0.0|99.61|1.0|4.0|-4.94|27.0|5.0|0.0|3.7|-4.7|1.14e-05|1.98e-05|3.6|0.0|3.4052|-1223.279021|-1223.117248|586.27|977.87|460.4|0.7026600000000001|0.5339|-0.13683|3.4563|0.16177304|6.3979|6.3979
4f_a49|0.0|0|7.535296702|1|1|1.343848013|5.4161004020000005|2|-0.087861524|1.5830545580000002|0.001532832|10.92775957|1|-0.015845165|-0.025995042|-0.46436755|2|0.69044503|0.7927086309999999|-0.00953448|0.114367229|0.670594896|1|0.7370618040000001|-0.089955514|0.480786546|-55.88123394|-48.83888562|9.007637695|142.7551002|-0.033471819|59.72286429999999|0.718306291|-30.33918719|60.18871783|64.88887164|0.437355335|2458.261097|400.1675422|-9.866320682|0.2816937089999999|6.302023735|11.20071713|0.7773206840000001|152.9378926|25.29924744|-237.0468572|1087.86764|467.1194103|11.34983222|0.0|1.0|1.0|3.07|-6.54|3.8|80.9|2.03|1.0|0.0|102.08|1.0|3.0|-3.99|27.0|5.0|0.0|2.85|-4.09|0.000102|8.120000000000001e-05|2.64|0.0|3.7098|-1179.23587|-1179.201105|575.01|982.46|411.94|0.39584|0.0579999999999999|-0.15517|1.7833|0.03476467|7.3979|7.3979
15_a4|0.0|0|7.535296702|1|1|1.399867493|5.4161004020000005|1|0.0432718859999999|0.0|0.009823083|10.94611612|1|-0.017259078|-0.038707204|-0.226703465|1|0.5118792910000001|0.772721853|0.095534883|0.036363636|0.509447294|0|0.867716376|-0.073738544|0.2517542889999999|-29.80513879|-35.36161572|5.223809291|63.43714456|-0.030724393|86.01453643|0.8438913020000001|-14.29317436|40.03406565|35.02894809|0.437696617|1973.978183|416.1168833|-7.065752187|0.156108698|5.459799482|9.709704127|0.7783994009999999|74.8625551|17.45960235|-329.8289177|628.5456843999999|324.5687005|4.672449937|1.0|0.0|0.0|3.28|-6.09|4.4|30.71|3.05|0.0|0.0|85.06|1.0|2.0|-3.82|22.0|3.0|1.0|3.61|-4.28|0.000152|5.19e-05|3.49|0.0|4.2148|-958.270023|-958.251931|512.65|848.47|396.58|0.4778699999999999|0.0969999999999999|-0.17373|2.1603|0.018092091|6757.0|6757.0
11c_a5|0.0|0|6.605297921|0|0|1.427567332|4.59511985|2|-0.0859098|0.0|0.005090155|10.94877953|1|-0.011677718|-0.018887528|-0.269653478|2|0.679183645|0.8020105409999999|0.030085871|-0.044126759|0.658307423|0|0.80472351|-0.0873419269999999|0.389427402|-47.99592739|-53.12487972|10.85837291|118.7750305|-0.0322785379999999|4.089828494|0.707039635|-29.19305715|66.02857181|58.854300300000006|0.448016491|2497.685314|489.4652669|-11.94164728|0.292960365|8.88462927|16.09582374|0.811648325|178.1902995|27.76804404|-251.8596984|1277.330026|523.8031619|12.90369209|1.0|1.0|1.0|2.96|-8.47|4.17|80.76|1.13|1.0|0.0|106.79|1.0|6.0|-4.13|28.0|5.0|0.0|3.0|-4.1|7.38e-05|7.950000000000001e-05|2.78|0.0|4.2087|-1218.492067|-1218.454079|636.14|1071.71|512.32|0.60118|0.2186|-0.1713299999999999|2.5278|0.03798847|7.6021|7.6021
19d_a38|0.0|0|7.412764017000001|2|2|1.297043205|5.351858133|2|0.019858574|0.0|-0.011156837|10.95446448|1|-0.060668296|-0.128079012|-0.529632789|1|0.7581164340000001|0.853092207|0.111104525|-0.039361255|0.730686013|0|0.63167949|-0.1248815919999999|0.3509455999999999|-74.84120843|-80.2776536|15.53007152|236.7675313|-0.04393982|115.6739235|0.7494816990000001|-48.11018574|94.84426896|90.37127996|0.478151237|3055.168373|406.0626253|-18.15727844|0.250518301|7.056031803|13.52121974|0.916264002|161.0407189|37.68716585|-320.7487188|2035.106956|686.8472757999999|14.56661536|0.0|0.0|4.0|4.91|-6.41|1.65|124.32|1.65|1.0|0.0|133.79|1.0|6.0|-3.87|33.0|5.0|0.0|1.94|-3.62|0.000134|0.0002399999999999|1.65|0.0|3.6586|-1500.898316|-1500.850957|679.08|1171.77|517.77|0.3356699999999999|0.0699|-0.15054|7.9959|0.04735828|7.9586|7.9586
17c_a50|0.0|1|7.934155233999999|2|2|1.347835869|5.82008293|2|0.021572081|2.193763306|0.01130519|10.94500663|2|-0.233451925|-0.373205592|-0.2256811219999999|1|0.762883243|0.774994313|-0.139943634|-0.212611846|0.728169863|1|0.89719894|-0.073693343|0.446454378|-35.70979598|-50.69922125|14.91199042|70.72462009999998|-0.021745577|94.15397246|0.569750429|-24.567468100000003|66.7258111|50.6217864|0.49503436|2951.495914|617.2509739|-10.29240792|0.430249571|8.310163601000001|16.45688922|0.98033276|296.00120400000003|26.25785813|-95.97318605|1601.729346|849.1345426000001|16.02658985|0.0|1.0|0.0|4.12|-6.79|3.53|61.0|1.91|1.0|0.0|134.28|1.0|6.0|-3.8|33.0|5.0|1.0|3.1|-4.43|0.000158|3.75e-05|2.86|0.0|4.0432|-1411.187392|-1411.157813|746.5|1289.05|596.23|0.63122|0.1801|-0.16697|6.3989|0.02957871|7.1612|7.1612
5_a15|0.0|0|0.0|0|0|1.419941043|0.0|2|0.0729170329999999|0.0|0.000420839|10.95880662|0|-0.187421793|-0.28098676|-0.340979744|2|0.8384601770000001|0.704479781|0.092692253|0.020920163|0.7950674740000001|0|0.8740541479999999|-0.0989946469999999|0.743577162|-45.57134103|-73.61131563|24.25353664|93.65193084|-0.0273088679999999|64.12413387|0.5089899720000001|-33.88634094|100.6631306|69.82487767|0.486150431|2940.77098|649.9369163|-15.09973885|0.491010028|7.795174584|15.1701491|0.946094849|365.1095806|39.89581513|-13.36968593|2313.9572780000003|779.0599798999999|27.05181494|1.0|1.0|1.0|3.79|-9.65|6.01|74.73|2.0|3.0|0.0|127.97|1.0|8.0|-6.16|33.0|6.0|0.0|4.29|-5.66|6.86e-07|2.18e-06|4.86|0.0|3.6257|-1470.816175|-1470.779775|737.16|1272.84|629.67|0.62664|0.0199|-0.14839|4.3576|0.03640044|7.8861|7.8861
12b_a5|0.0|0|6.605297921|2|2|1.189701783|4.59511985|3|-0.021265946|0.0|0.0068803119999999|10.94620104|0|-0.070406884|-0.110182753|-0.1708042239999999|2|0.8417504029999999|0.779793078|0.066588785|-0.033036296|0.8121510009999999|0|0.827613693|-0.068586754|0.350286421|-41.76622313|-43.25430513|10.44150403|108.7155967|-0.020455699|0.0|0.530379611|-26.33991037|59.53145615|52.20772716|0.480419002|2602.046823|521.9354031|-8.135654442|0.4696203889999999|8.398709622|16.16438947|0.924627734|296.16656780000005|24.32296891|-38.31786425|1386.409228|727.8586176|16.27715102|0.0|1.0|1.0|4.05|-7.67|0.72|50.28|1.54|1.0|0.0|123.46|1.0|5.0|-2.3|30.0|6.0|1.0|1.44|-3.45|0.00503|0.000359|1.63|0.0|1.4454|-1276.928859|-1276.8943800000002|669.05|1149.51|505.16|0.42949|0.0001|-0.06212|5.7174|0.03447919|7.3768|7.3768
