molecula|NaaNH|Wavelength (max. Transition) (nm)|Approximated area|n9FaRing|Contribuition (max. transition)|NaasN|nARing|BCUTs-1l|Gibbs Free Energy|Dipole (water)|MATS7i|SaaaC|n5aRing|n6aHRing|PPSA3|FNSA4|WNSA5|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|Num. of Aromatic heavy atoms|TPSA_y|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Total Energy (water) (Hartree)|pIC50
41_a18|0|385.97|576.83|0|0.69308|0|2|1.251176562|-1454.045308|2721.0|-0.089781154|0.0|0|0|6.547189171|-0.037381065|-41.89408289|1759.064589|1.0|0.0|18.0|99.28|9.49e-06|0.0042899999999999|-1454.374793|6433.0
8c_a12|0|284.38|402.43|0|0.53657|0|1|1.283851303|-1022.663298|2.4806|-0.106633503|0.0|0|2|10.00357546|-0.038245644|-26.55601426|1021.17241|0.0|0.0|18.0|63.06|0.0001899999999999|0.0598|-1022.77302|7.3979
12ab_a36|1|319.17|564.58|0|0.69294|0|2|1.297042596|-1364.300531|5.3228|0.035377607|0.0|1|1|16.62527454|-0.033434841|-45.21303385|1834.083759|1.0|0.0|17.0|92.99|0.000122|0.0515|-1364.509957|7.9586
18_a20|1|207.41|531.11|0|0.31154|0|0|1.400923654|-1352.135304|8.0505|0.163548857|1.983673343|1|2|7.195302872999999|-0.035934845|-42.1615378|1562.772745|1.0|1.0|27.0|97.55|6.91e-06|0.0029|-1352.364724|7.4685
12y_a30|0|238.56|585.59|0|0.30617|0|2|0.604984019|-1654.190369|5.1209|-0.089502772|0.0|1|1|10.05775555|-0.034840345|-41.1215369|1568.540572|1.0|1.0|17.0|81.65|3.48e-06|0.00148|-1654.41361|7.6576
3a_a49|0|240.06|449.68|0|0.53794|1|1|1.343850114|-1253.8126619999998|4.2593|-0.044367345|1.819785|1|2|9.491036042|-0.030698626|-30.35026007|1277.19098|0.0|0.0|21.0|98.72|0.000503|193.0|-1254.012043|7.1938
9_a47|0|215.89|406.35|0|0.3885099999999999|0|0|1.3818994059999998|-1148.949486|3.4815|-0.043270202|1.323246814|0|2|4.991260197|-0.036925422|-26.52703503|1026.1394|1.0|0.0|22.0|58.04|6.3e-06|0.00218|-1149.090086|7.6
13f_a6|1|256.1|568.41|0|0.49643|0|0|1.429020649|-1347.0794119999998|13.9612|0.04505613|1.651047524|1|2|12.46087045|-0.032802223|-41.92004677|1558.914115|1.0|1.0|27.0|103.17|1.65e-05|0.00688|-1347.301285|7.3768
13b_a6|1|255.67|574.07|0|0.58026|0|1|1.430640379|-1349.898848|13.5746|0.060593678|0.0|1|1|21.00828557|-0.0406496879999999|-48.5571926|1760.1380379999998|1.0|1.0|23.0|95.85|1.02e-05|0.00417|-1350.0903970000002|6.7595
7l_a46|0|272.71|414.82|0|0.68834|1|1|1.160371354|-915.493986|3.9009|-0.203375108|0.0|1|2|5.5935102720000005|-0.022013621|-14.63933792|629.6635476|1.0|0.0|17.0|43.6|0.0001889999999999|0.0548|-915.6081232|5.7122
12t_a36|1|319.18|562.72|0|0.69297|0|2|1.297042607|-1311.349439|7.9104|0.035510516|0.0|1|1|11.7409283|-0.035934112|-44.63604995|1711.395437|1.0|0.0|17.0|69.2|2.6600000000000003e-05|0.0109|-1311.585049|8.0969
13e_a6|1|207.04|567.24|0|0.38609|0|0|1.429020445|-1347.074898|13.2999|0.018376555|1.643912856|1|2|12.28502792|-0.032929004|-41.68507499|1553.619759|1.0|1.0|27.0|103.17|1.65e-05|0.00688|-1347.297639|7.9208
12aj_a36|1|237.06|539.55|0|0.4112|0|2|1.29704406|-1272.060325|7.8393|0.064171987|0.0|1|1|11.73352271|-0.0368515929999999|-42.23511741|1615.543812|1.0|0.0|17.0|69.2|5.05e-05|0.02|-1272.27339|7.7696
13c_a5|1|263.46|513.33|0|0.41594|0|1|1.377702625|-1351.067237|2.9732|-0.010689086|0.0|1|2|15.25960958|-0.025039414|-33.29709668|1557.152554|0.0|1.0|23.0|84.0|0.000109|0.0446|-1351.274441|6.9101
7f_a8|1|324.68|495.55|0|0.7024199999999999|1|0|1.394802504|-1285.071664|11.6137|0.034392285|0.0|1|0|7.858266077000001|-0.040738044|-28.45850692|1078.790971|1.0|1.0|23.0|61.58|3.16e-06|0.00118|-1285.196168|4.4479
14o_a23|0|335.19|582.89|1|0.58581|2|0|1.197958066|-2042.000938|8.3591|0.135737344|0.6669152279999999|2|2|12.835973699999998|-0.042454824|-47.58321438|1923.471511|0.0|1.0|26.0|114.25|1e-06|0.0004969999999999|-2042.184285|8.4815
19e_a38|1|236.96|532.67|0|0.41961|0|2|1.297043576|-1409.37733|8.0952|0.021678225|0.0|1|1|14.27562164|-0.03783113|-46.37503972|1837.325672|1.0|1.0|17.0|81.23|1.89e-05|0.00807|-1409.582478|8.0083
14b_a23|0|334.55|525.66|1|0.58097|2|0|1.197963628|-1728.9893510000002|9.7544|0.0519489729999999|0.716540473|2|2|13.26014776|-0.03508139|-34.64639496|1380.34805|0.0|1.0|26.0|105.02|7.73e-06|0.00332|-1729.161608|8.3536
7f_a10|0|214.67|426.07|0|0.34467|1|1|1.240141822|-1442.058773|3.2524|-0.104120245|0.740070757|1|2|4.441786155|-0.03645808|-29.53487321|1161.423484|1.0|1.0|21.0|52.83|2.52e-06|0.00103|-1442.216293|6.8508
13j_a6|1|339.64|555.0|0|0.69993|0|1|1.430640326|-1426.335207|10.9731|0.07522656|0.0|1|1|20.78979124|-0.046428683|-57.82670518|2096.832152|1.0|1.0|23.0|115.15|3.28e-05|14.0|-1426.5532050000002|6.5817
12m_a30|0|244.95|578.87|0|0.33392|0|2|0.6049842529999999|-1743.030004|5.1279|-0.1305457069999999|0.0|1|1|18.55926485|-0.0405332439999999|-47.58675592|1812.833129|1.0|1.0|17.0|114.67|9.71e-06|0.00427|-1743.215323|7.5114
14_a47|1|312.53|375.43|1|0.68345|0|0|1.417758105|-1127.6593779999998|3665.0|0.017068634|1.484493371|1|2|10.1400648|-0.034963476|-23.9422834|928.4611922|1.0|0.0|21.0|66.49|7.46e-05|0.0241|-1127.737484|8.1
35_a18|0|385.69|657.07|0|0.69279|0|2|1.251175948|-1532.627182|2.7788|-0.069149293|0.0|0|0|6.525195505|-0.033440195|-45.74482543|1916.219506|1.0|0.0|18.0|85.29|2.96e-06|0.0014199999999999|-1533.002975|7.6198
8b_a12|0|293.37|460.08|0|0.53425|0|1|1.283836078|-1159.2425119999998|6.1286|0.028584223|0.0|0|1|6.513753986|-0.045608374|-39.02494133|1365.645333|0.0|1.0|18.0|80.37|9.74e-05|0.0346|-1159.405202|6.58
9g_a24|1|236.07|400.47|0|0.4227399999999999|1|0|1.427608366|-984.497752|4.4131|-0.162313932|0.0|2|2|9.283063574|-0.021297745|-16.07665151|809.0499476|0.0|0.0|22.0|72.28|0.0008179999999999|247.0|-984.5891383|7.1675
3d_a12|0|294.4|411.35|0|0.53114|0|1|1.28383852|-1006.606666|3.0037|-0.166233441|0.0|0|2|5.717316796|-0.035063929|-25.2986621|953.9302134|1.0|1.0|18.0|50.17|0.000123|0.0385|-1006.727999|7.6021
12x_a30|0|355.95|558.65|0|0.68589|0|2|0.604984021|-1654.183467|4.8197|-0.0606216429999999|0.0|1|1|9.745611551|-0.035022402|-39.99960559|1542.442557|1.0|1.0|17.0|81.65|3.48e-06|0.00148|-1654.40976|7.6556
12s_a30|0|245.81|526.07|0|0.43338|0|2|0.604984545|-1774.072418|3.9579|-0.0601024909999999|0.0|1|1|12.51292194|-0.040189672|-43.45862792|1613.162737|1.0|1.0|17.0|81.65|6.71e-06|0.00291|-1774.236634|8129.0
2_a1|0|303.31|355.79|0|0.7007899999999999|1|1|1.348828131|-920.123726|5.2754|-0.1056298369999999|0.0|1|1|5.135384136|-0.026492726|-16.00805425|607.7780769999999|1.0|0.0|17.0|30.71|0.000167|0.0466|-920.2093796|5.2366
46_a18|0|384.45|635.89|0|0.69181|0|2|1.251088279|-1532.562476|3.2533|-0.046124025|0.0|0|0|6.376289807000001|-0.029244604|-38.60388092|1806.107079|0.0|0.0|18.0|76.5|3.35e-06|0.00161|-1532.992457|6.7305
19c_a38|1|210.74|517.28|0|0.2597|0|2|1.297043851|-1424.247603|3.2846|0.02192428|0.0|1|1|15.30924906|-0.038224114|-42.92996714|1707.726604|1.0|1.0|17.0|105.02|7.55e-05|0.0322|-1424.42734|8.0348
15a_a10|0|215.08|563.27|0|0.47484|1|1|1.34383719|-1278.200428|6.1108|-0.125297206|2.038992189|1|2|10.10411407|-0.025155581|-31.83957238|1316.339132|0.0|1.0|21.0|56.07|3.94e-05|0.0157|-1278.452284|7.6198
22_a10|0|256.95|602.93|0|0.4483899999999999|1|1|1.343837143|-1543.959333|6.5841|-0.026750502|1.880539113|1|2|13.023146|-0.022372463|-39.42279832|1883.550109|1.0|1.0|27.0|73.14|2.95e-06|0.0014|-1544.237634|5.9586
4g_a49|0|287.56|662.84|0|0.33449|2|2|1.343847279|-2147.295787|4.5147|-0.085731041|3.4246879480000003|2|4|18.87757641|-0.0250032489999999|-66.20622488|3177.154639|0.0|0.0|42.0|116.3|3.72e-08|2.47e-05|-2147.721319|6.9747
15b_a10|0|215.17|587.53|0|0.46711|1|1|1.3438370730000002|-1317.4913390000002|6.1384|-0.111812184|2.0455289690000003|1|2|10.94939968|-0.024105015|-34.57687319|1429.912176|0.0|1.0|21.0|56.07|2.28e-05|0.00943|-1317.766641|7.0706
19f_a38|1|233.07|495.68|0|0.38086|0|2|1.297044434|-1332.004601|7.1655|-0.008118156|0.0|1|1|13.4639011|-0.037844587|-45.42524686|1645.906354|1.0|1.0|17.0|81.23|6.77e-05|0.0272|-1332.190216|7.1397
5a_a40|0|326.96|353.51|0|0.69499|1|1|0.604913477|-1177.555706|7.6003|-0.108428634|0.808197279|2|0|9.135164355|-0.036396585|-17.82228195|587.5511127|1.0|1.0|14.0|75.5|0.000213|0.0574|-1177.598691|7.0915
3_a47|0|217.52|402.58|0|0.52977|0|0|1.304465159|-1470.0192869999998|5.3274|-0.013350303|1.416887578|0|2|4.514659074|-0.036461577|-26.06896797|949.95886|1.0|0.0|22.0|58.04|4.49e-06|0.00156|-1470.137664|6.5
11_a15|0|263.2|568.22|0|0.58935|0|1|1.435688956|-1450.457814|1.3581|-0.036023137|0.0|0|2|12.69062406|-0.033606127|-45.76619542|1806.677804|1.0|1.0|24.0|59.51|7.970000000000001e-07|0.000357|-1450.740771|6.1314
3i_a32|1|340.43|418.24|1|0.70322|0|0|0.6094207970000001|-1891.790935|3.8572|-0.21362765|1.711001131|3|0|8.064907632|-0.044627482|-31.48976464|1007.432506|1.0|1.0|19.0|110.94|6.85e-06|0.00251|-1891.833327|8.2366
6_a4|0|254.51|453.87|0|0.60542|1|1|1.271761557|-1108.392115|3.2192|0.042096749|2.186806868|1|2|4.324187697|-0.024618083|-20.7966895|825.0551765|0.0|1.0|21.0|43.6|7.74e-06|0.00274|-1108.585859|5.8861
15d_a10|0|221.39|565.91|0|0.3685|1|2|1.343850133|-1430.795367|3.8163|-0.059217023|2.04092658|1|2|15.37766538|-0.018829931|-32.06793721|1613.412305|0.0|1.0|21.0|65.3|4.1200000000000005e-05|0.0182|-1430.8144619999998|7.1612
8_a20 (IN-1130)|1|248.98|517.94|0|0.4377|0|0|1.400923668|-1368.180121|5.4751|0.1728459339999999|1.622562232|1|2|10.46873389|-0.035730972|-42.88223811|1644.660472|1.0|1.0|27.0|110.44|2.82e-05|0.0119|-1368.412748|7.4437
21_a4|0|240.17|446.0|0|0.5260600000000001|1|1|1.399863887|-973.449892|2.9409|0.019346682|0.0|1|1|10.23237244|-0.028676424|-19.67444009|804.5450027|1.0|1.0|17.0|39.94|6.51e-05|0.0197|-973.5683008|6.9172
3q_a32|1|342.16|549.78|1|0.70216|0|0|0.609420748|-1919.883144|5.2657|0.02785755|2.120544848|3|0|11.43581616|-0.027989085|-37.3203761|1333.133193|1.0|1.0|19.0|131.25|2.4100000000000003e-05|0.00992|-1920.066488|7.5528
6c_a31|1|376.01|524.56|0|0.7014699999999999|0|1|0.6101347220000001|-1691.794585|8.8847|0.137523742|0.0|2|0|20.09112958|-0.044739967|-50.62888027|1776.424619|1.0|1.0|22.0|131.36|1.15e-05|0.0048|-1691.984862|6.4685
15b_a50|0|305.67|475.99|1|0.65917|2|1|1.353059441|-1160.330621|9.3788|-0.103807905|2.018777006|2|1|11.48191704|-0.028069672|-26.37622116|1155.184146|1.0|1.0|20.0|68.76|0.000249|0.0891|-1160.4989460000002|7.1024
37_a18|0|385.91|673.45|0|0.69305|0|2|1.251176176|-1532.622404|3.0375|-0.018268775|0.0|0|0|6.653112344|-0.0286221589999999|-40.02719655|1860.709332|0.0|0.0|18.0|76.5|3.35e-06|0.00161|-1532.997117|7.4559
14y_a23|0|340.49|585.2|1|0.61338|2|0|1.197960595|-2548.953933|6.5205|0.041892637|0.731397292|2|2|13.00274534|-0.034303507|-38.54233552|1423.362076|0.0|1.0|26.0|105.02|7.37e-07|0.000354|-2549.104894|8.4225
16f_a32|1|341.82|603.12|1|0.70204|0|0|0.609420741|-1995.117771|4.2764|0.008658653|2.082564316|3|0|16.90955989|-0.035568666|-53.23443736|1771.554986|1.0|1.0|19.0|149.27|1.07e-05|0.00457|-1995.307736|8041.0
8h_a8|1|258.25|480.09|0|0.56196|1|0|1.3918396709999998|-1361.5113789999998|4.4356|0.008138299|0.0|1|0|6.58499063|-0.048805507|-39.07081527|1374.901814|0.0|0.0|23.0|80.88|1.01e-05|0.00395|-1361.651799|4.9359
9_a15|0|285.37|507.33|0|0.6512399999999999|0|0|1.419941378|-1223.522216|2188.0|0.096418279|0.0|0|1|18.10574464|-0.028575549|-36.29225274|1523.4682269999998|1.0|1.0|18.0|61.84|1.53e-05|0.00562|-1223.705126|6.9706
10_a47|0|214.9|426.55|0|0.53909|0|0|1.381868067|-1188.244739|2.8795|-0.169242585|1.329777427|0|2|5.088920549|-0.035388634|-26.77924406|1061.820157|1.0|0.0|22.0|58.04|3.18e-06|0.00114|-1188.405988|7.9
16d_a32|1|341.83|489.97|1|0.70217|0|0|0.609420775|-1877.241687|3.8853|0.0115077539999999|2.07416189|3|0|18.67986534|-0.036437402|-39.15098916|1416.134383|1.0|1.0|19.0|149.27|6.659999999999999e-05|0.0257|-1877.360551|8.1135
16_a20|1|207.2|554.41|0|0.32553|0|0|1.401259527|-1275.6960869999998|6.5609|0.126359252|2.013871268|1|2|7.634605066000001|-0.029561375|-33.67420774|1246.573875|0.0|1.0|27.0|78.25|2.17e-06|0.0008699999999999|-1275.900951|7585.0
24_a20|0|232.2|551.25|0|0.46668|1|0|1.40648755|-1291.706729|4.3906|0.087887688|2.041494094|1|2|8.085691548|-0.02714795|-27.02262995|1110.861171|1.0|1.0|27.0|80.28|1.17e-05|0.00469|-1291.896802|6.4976
15_a4|0|275.22|396.58|0|0.4778699999999999|1|1|1.399867493|-958.195344|3.0091|0.0432718859999999|0.0|1|1|5.223809291|-0.030724393|-16.95780525|628.5456843999999|1.0|0.0|17.0|30.71|5.19e-05|0.0151|-958.270023|6757.0
20_a47|0|311.45|426.08|1|0.68219|1|0|1.408721455|-1335.620783|4.3277|0.031814023|1.010373001|1|2|12.85623208|-0.032859105|-27.33327788|1263.735287|0.0|1.0|21.0|84.73|8.32e-05|0.0316|-1335.742176|8.6
12e_a31|1|232.77|640.03|0|0.55114|0|1|0.610134116|-1809.650069|3.4818|0.0113193469999999|0.0|2|0|19.38343763|-0.036652129|-58.15044546|2095.222806|1.0|1.0|22.0|117.37|3.83e-06|0.00176|-1809.899887|6.7696
5d_a40|0|331.74|365.74|0|0.69613|1|1|0.6049133329999999|-1276.797751|9.2439|-0.1031436519999999|0.716041667|2|0|10.10860823|-0.0377110779999999|-19.85450535|640.0261471|1.0|1.0|14.0|75.5|0.000152|0.0436|-1276.833831|7.7212
13g_a6|1|207.09|592.49|0|0.38325|0|0|1.424099171|-1386.364067|13.3225|0.03536788|1.648997541|1|2|12.28038897|-0.0323525729999999|-44.57717132|1653.346592|1.0|1.0|27.0|103.17|8.8e-06|0.0038|-1386.611265|6.9245
4R4k_a46|0|234.09|490.83|0|0.54119|1|1|1.134637098|-1053.254911|1.9753|-0.104665424|0.0|1|1|4.194771739|-0.030434186|-24.33134018|896.9115391|1.0|0.0|17.0|50.94|1.4800000000000002e-05|0.0049299999999999|-1053.439174|7.0132
16j_a32|1|341.65|631.34|1|0.70207|0|0|0.609420735|-2034.408854|4.0992|-0.0667943999999999|2.076106145|3|0|16.63953228|-0.034287782|-54.6758122|1857.212797|1.0|1.0|19.0|149.27|3.89e-06|0.00172|-2034.621888|8.0315
16a_a32|1|341.42|535.63|1|0.70245|0|0|0.6094207620000001|-1896.649286|1.8274|-0.053745649|2.095743605|3|0|12.86051026|-0.037168908|-46.27170107|1493.816582|1.0|1.0|19.0|152.07|9.14e-05|0.0364|-1896.81177|7.9586
11c_a31|1|321.61|512.9|0|0.7005899999999999|0|1|0.6101368770000001|-1559.253116|7.5091|-0.031640011|0.0|2|0|20.06220362|-0.042457317|-48.16624372|1581.428448|1.0|1.0|16.0|125.57|0.000105|39.0|-1559.3980869999998|6.8861
12v_a36|1|319.16|502.83|0|0.69298|0|2|1.297043692|-1347.260743|7.9237|0.073329354|0.0|1|1|17.85767346|-0.033118671|-45.52806671|1874.459798|1.0|0.0|17.0|78.43|8.499999999999999e-05|35.0|-1347.475543|7.8539
5_a47|0|334.35|401.16|0|0.69291|0|0|1.304329328|-1569.258939|3.8816|0.003858593|1.284688504|0|2|5.246458665|-0.038537768|-27.93318665|1015.343288|1.0|0.0|22.0|58.04|3.18e-06|0.00116|-1569.369195|7.7
16_a4|0|274.85|407.99|0|0.51149|1|1|1.398650725|-1057.429593|1.9873|0.007101649|0.0|1|1|6.761192037000001|-0.033372358|-19.42906425|710.807513|1.0|0.0|17.0|30.71|3.68e-05|0.0114|-1057.494456|6.4647
6b_a40|0|399.62|552.01|0|0.69429|1|2|0.604892326|-3290.648012|11.3203|-0.137534783|0.6899826|2|0|9.771129787|-0.049599889|-53.15460718|1626.736212|1.0|1.0|14.0|173.43|6.55e-07|0.000335|-3290.775349|7.5229
14e_a23|0|334.8|571.39|1|0.63922|2|0|1.197957573|-1966.785007|5.5469|0.023369734|0.650989437|2|2|12.5437807|-0.03935934|-43.33511299|1719.6510460000002|0.0|1.0|26.0|105.02|1.61e-06|0.000773|-1966.96594|8.5214
3l_a32|1|351.04|468.81|1|0.70282|0|1|0.609420748|-1789.298086|5.7721|-0.039331295|2.259257465|3|0|7.120934925|-0.028831823|-29.90181954|978.4817724|1.0|1.0|19.0|110.94|9.7e-07|0.0003689999999999|-1789.475625|7.9208
11c_a5|1|275.3|512.32|0|0.60118|0|0|1.427567332|-1218.336116|3.3827|-0.0859098|0.0|1|2|10.85837291|-0.0322785379999999|-32.31269264|1277.330026|1.0|1.0|23.0|80.76|7.950000000000001e-05|0.0294|-1218.492067|7.6021
11f_a5|1|278.47|579.1|0|0.6593600000000001|0|1|1.370797007|-1391.50739|2.9697|-0.083432989|0.0|1|2|15.41338844|-0.022252743|-36.14073513|1727.7296760000002|0.0|1.0|23.0|76.16|5.479999999999999e-05|0.0234|-1391.7602960000002|7.9208
16c_a32|1|341.89|508.43|1|0.70198|0|0|0.6094207629999999|-1916.536967|5.3459|-0.03152033|2.077479142|3|0|15.38819548|-0.038178095|-42.71426897|1463.941729|1.0|1.0|19.0|149.27|3.89e-05|0.0155|-1916.6792|8.3468
6a_a40|0|415.55|497.78|0|0.6782699999999999|1|2|0.604893625|-2371.443161|9.3893|-0.146542353|0.775942224|2|0|10.24294396|-0.049149867|-45.80643937|1521.070502|1.0|1.0|14.0|173.43|1.03e-05|0.00457|-2371.579899|7.3979
3d_a32|1|353.18|465.41|1|0.7035100000000001|0|0|0.609420786|-1672.638515|5.1728|-0.0620110029999999|2.230648962|3|0|7.807299836|-0.02867299|-27.31750365|840.275417|1.0|1.0|19.0|110.94|7.36e-06|0.00251|-1672.758552|8.0915
7b_a8|1|269.85|506.21|0|0.44725|1|1|1.395658671|-1330.448193|12.7344|-0.024156447|0.0|1|1|19.86678613|-0.041332642|-35.90168309|1510.516312|0.0|1.0|23.0|92.93|1.14e-05|0.00454|-1330.622441|4.8687
2_a33|1|341.74|525.38|1|0.70205|0|0|0.609420748|-1919.890628|5539.0|-0.049900189|2.112255684|3|0|11.27469555|-0.031851158|-38.84811555|1357.327077|1.0|1.0|19.0|140.04|1.6800000000000002e-05|0.0069|-1920.079174|8.2596
27c_a34|0|289.89|558.04|0|0.68683|1|1|1.4335249819999998|-1426.31053|9.6148|-0.08157574|0.0|1|1|20.51361454|-0.042782312|-57.00328784|2066.254135|1.0|1.0|23.0|104.29|3.52e-05|0.0151|-1426.521813|6.0969
12bd_a36|1|319.66|568.94|0|0.69411|0|2|1.297043358|-1311.352257|7.6908|0.025649557|0.0|1|1|11.7156452|-0.035521445|-43.33557909|1678.127264|1.0|0.0|17.0|69.2|2.5e-05|0.0102|-1311.591775|7.7696
14b_a25|0|228.59|603.27|0|0.34735|1|0|1.420015222|-1444.330251|3.2784|0.001683506|1.929508048|1|2|11.08504021|-0.032728922|-40.37825712|1584.108407|1.0|1.0|27.0|96.49|5.86e-06|0.00261|-1444.544749|7.6576
IN1166_a11|1|248.68|554.63|0|0.4358399999999999|0|0|1.429020445|-1347.073528|4.3481|0.018376555|1.643912856|1|2|13.82641888|-0.031642539|-42.74230509|1604.859603|1.0|1.0|27.0|103.17|1.65e-05|0.00688|-1347.298558|7.9318
13h_a6|1|254.58|591.53|0|0.50716|0|0|1.424099498|-1386.3651|10.0322|0.060987639|1.656132209|1|2|12.1971464|-0.032362302|-44.98170701|1658.40973|1.0|1.0|27.0|103.17|8.8e-06|0.0038|-1386.613707|7.3279
12h_a40|0|298.7|435.95|0|0.6503899999999999|1|0|0.60499064|-2153.123274|3.5425|0.208938531|0.803557099|2|0|6.193088525|-0.038796498|-25.56004046|801.957134|1.0|1.0|20.0|84.45|2.61e-06|0.000942|-2153.207198|6.0846
7g_a8|1|327.36|507.78|0|0.62073|1|1|1.39137419|-1374.3479960000002|12.9547|-0.030968098|0.0|1|0|19.08352484|-0.045912914|-40.31185423|1500.768277|1.0|1.0|23.0|80.04|3.59e-06|0.00143|-1374.493069|4.6772
6_a47|0|224.66|422.9|0|0.30468|0|0|1.304328257|-1608.554019|4.2153|-0.14404966|1.291219116|0|2|5.323543706000001|-0.036834143|-28.411587800000003|1055.658539|1.0|0.0|22.0|58.04|1.63e-06|0.000619|-1608.684886|7.9
9_a27|1|223.71|425.08|0|0.35593|1|0|1.391067068|-1083.017359|4.0436|-0.152086653|1.233610009|1|2|10.10030794|-0.033677898|-23.50038785|923.9818797|1.0|1.0|21.0|76.46|8.28e-05|0.0274|-1083.143348|8699.0
19a_a38|1|316.19|466.55|0|0.6329100000000001|0|2|1.297044508|-1332.002093|6.0223|0.054257043|0.0|1|1|13.23456869|-0.038988111|-38.69037594|1564.412135|1.0|1.0|17.0|81.23|6.77e-05|0.0272|-1332.186327|8.0106
1_a15|0|282.85|598.34|0|0.64662|0|0|1.419940974|-1509.851127|2.3261|0.06459652|0.0|0|2|16.94887506|-0.031142386|-46.71058649|2026.993248|1.0|1.0|24.0|74.73|1.08e-06|0.000495|-1510.136281|7.3565
A7701_a51|1|||0||0|0|1.390164251|||0.070581466|2.087643036|1|2|3.420720075|-0.030384547|-16.67652408|632.4445105000001|1.0|0.0|21.0|54.46|6.790000000000001e-05|0.0195||7.6021
9h_a40|0|292.61|410.18|0|0.64952|1|0|0.604992856|-1293.083512|2841.0|0.157606277|0.814591837|2|0|6.199629554|-0.041058441|-23.98506758|832.3298135|1.0|1.0|20.0|67.66|7.6e-06|0.00244|-1293.174246|5.4001
12e_a30|0|245.94|562.76|0|0.3304|0|2|0.604984231|-1690.092998|6.1598|-0.010682095|0.0|1|1|16.08914569|-0.035153347|-43.14823836|1747.776792|1.0|1.0|17.0|90.88|1.19e-05|0.0050799999999999|-1690.3021629999998|7.9431
12w_a30|0|244.87|577.06|0|0.31353|0|2|0.604983445|-2494.807027|3.0068|-0.0999572419999999|0.0|1|1|10.59162334|-0.037237182|-45.15435649|1548.85393|1.0|1.0|17.0|81.65|9.14e-07|0.0004269999999999|-2494.966575|7821.0
12az_a36|1|319.03|576.54|0|0.69385|0|2|1.297042831|-1461.750394|7.821000000000001|0.078817323|0.0|1|1|24.36575918|-0.033474609|-52.96429617|2330.167624|1.0|0.0|17.0|87.66|7.13e-05|0.0315|-1461.990465|7.2366
10_a15|0|277.48|487.16|0|0.66799|0|0|1.4356889780000002|-1280.862627|3.1460000000000004|-0.0869138469999999|0.0|0|2|6.101312009|-0.036384844|-34.36276159|1351.607534|1.0|1.0|24.0|56.27|1.47e-06|0.000584|-1281.088565|8.1549
1b_a5|1|258.89|388.58|0|0.5153800000000001|0|0|1.4258024619999998|-1050.462425|4.3687|-0.095857885|0.0|1|2|5.438378717999999|-0.031306145|-19.56938257|796.0738116|1.0|0.0|23.0|54.46|4.970000000000001e-05|0.0157|-1050.538976|7.2291
5a_a50|0|220.82|455.34|1|0.39948|2|1|1.3972442980000002|-1029.786489|5649.0|0.017227585|2.475383677|2|1|5.435098605|-0.022747617|-18.56865899|784.5791628|1.0|1.0|20.0|35.64|3.14e-05|0.0102|-1029.930364|5.3872
12at_a36|1|263.05|589.75|0|0.42968|0|2|1.297042863|-1460.61293|8.9532|0.054794728|0.0|1|1|20.43891035|-0.037537878|-53.05210062|2158.30208|1.0|0.0|17.0|95.5|8.36e-05|0.0367|-1460.833958|7.1079
4f_a49|0|268.08|411.94|0|0.39584|1|1|1.343848013|-1179.080799|1.8254|-0.087861524|1.5830545580000002|1|2|9.007637695|-0.033471819|-26.51573683|1087.86764|0.0|1.0|21.0|80.9|8.120000000000001e-05|0.0289|-1179.23587|7.3979
12b_a40|0|363.91|490.5|0|0.69476|1|0|0.604989475|-3016.980996|6.3131|0.1744506639999999|0.747253086|2|0|6.17734692|-0.0338355829999999|-24.3068084|697.2702616|0.0|1.0|20.0|58.43|7.82e-08|3.2500000000000004e-05|-3016.999329|7.3979
4_a3|0|208.93|338.33|0|0.3809|0|0|0.60501714|-1355.239905|3.1409|-0.08769805|1.882124381|1|1|3.806447632|-0.039478171|-22.30593113|757.6690029|1.0|0.0|21.0|80.04|8.22e-06|0.00264|-1355.332318|5.9
3_a3|0|212.09|316.65|0|0.29441|0|0|0.605000514|-1592.839065|2.8045|-0.015653979|2.063441043|2|1|5.753894372|-0.035057023|-20.54492513|707.9728057|1.0|1.0|20.0|121.17|4.06e-05|0.0126|-1592.904586|5.93
10_a1|1|363.94|464.77|0|0.70345|0|0|1.435871163|-1223.022387|7807.0|0.049971022|0.0|1|1|8.34295348|-0.045402319|-35.02707638|1262.237791|1.0|0.0|23.0|78.87|1.87e-05|0.00673|-1223.159954|5.8239
47o_a18|0|385.04|706.49|0|0.69248|0|1|1.251177005|-1455.231246|2.8284|-0.006238734|0.0|0|0|6.313168526|-0.034545459|-46.6464782|1839.812293|1.0|0.0|18.0|85.29|8.38e-06|0.00381|-1455.574672|7.3279
9i_a24|1|268.3|363.15|0|0.58977|1|0|1.4281889280000002|-945.222448|9.2818|-0.076024544|0.0|2|2|11.87389334|-0.024639839|-15.60091656|793.2611447|1.0|0.0|22.0|72.28|0.000791|228.0|-945.286637|7.0555
12bc_a36|1|237.57|563.76|0|0.35775|0|2|1.284647662|-2151.971485|9.2445|0.068351685|0.0|1|1|12.2593899|-0.038558877|-48.36968394|1679.392125|1.0|1.0|17.0|69.2|6.55e-06|0.00295|-2152.134749|8.0969
