molecula|NaaNH|Wavelength (max. Transition) (nm)|Approximated area|n9FaRing|Contribuition (max. transition)|NaasN|nARing|BCUTs-1l|Gibbs Free Energy|Dipole (water)|MATS7i|SaaaC|n5aRing|n6aHRing|PPSA3|FNSA4|WNSA5|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|Num. of Aromatic heavy atoms|TPSA_y|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Total Energy (water) (Hartree)|pIC50
5a_a49|0|236.42|443.78|0|0.31953|1|2|1.343848751|-1311.799168|7.0102|-0.072902329|1.878067786|1|2|16.71687776|-0.027311576|-26.93578408|1289.801795|0.0|1.0|21.0|73.14|5.09e-05|0.0202|-1311.995327|7.3665
12j_a36|1|238.1|536.01|0|0.37116|0|2|0.6293514410000001|-1670.245584|8.5953|0.091496219|0.0|1|1|11.99396966|-0.037113558|-46.00836307|1706.0876829999995|1.0|1.0|17.0|94.5|3.09e-05|0.0132|-1670.448063|8.0
8d_a32|1|348.39|540.98|1|0.7026100000000001|0|0|0.609420756|-1880.602038|1873.0|0.062782795|2.146260246|3|0|10.01177286|-0.03346862|-43.43251025|1365.489282|1.0|1.0|19.0|154.03|4.36e-05|0.0173|-1880.773727|8.0809
8g_a8|1|330.67|489.97|0|0.69221|1|1|1.39137364|-1450.787398|7.5762|0.000966222|0.0|1|0|19.06725815|-0.052430233|-48.6934008|1812.487286|0.0|1.0|23.0|99.34|1.16e-05|0.00483|-1450.9549470000002|5.3768
4f_a46|0|272.61|493.53|0|0.69208|1|1|1.134637108|-1033.36869|3.7419|-0.099507167|0.0|1|2|4.738551282|-0.022035297|-19.85993046|770.8731021000001|1.0|1.0|17.0|43.6|2.62e-05|0.00872|-1033.550809|6.7375
12_a3|0|379.97|361.95|0|0.69784|0|0|0.605020506|-1272.058487|3.1979|-0.120694579|2.07135708|1|2|5.258353635|-0.039584548|-21.667278|769.4340634|1.0|1.0|21.0|92.93|1.44e-05|0.0044|-1272.152002|5.45
8d_a12|1|292.53|433.32|1|0.6661|0|1|1.283835213|-1138.139635|3.0277|0.0276482139999999|2.075171777|1|1|6.309558958999999|-0.039118358|-32.00762818|1173.6881050000002|1.0|1.0|21.0|65.96|2.43e-05|0.0085799999999999|-1138.296407|7.6021
14x_a23|0|305.07|537.48|1|0.6757|2|0|1.197963189|-1828.228912|8.1916|0.05740118|0.6753138120000001|2|2|14.64350681|-0.034056109|-37.00022522|1468.794817|0.0|1.0|26.0|105.02|5.41e-06|0.00242|-1828.393372|8.4949
18a_a22|0|246.91|531.16|0|0.35107|1|0|1.194229718|-1691.097989|5.3946|0.033735832|1.6891461019999998|1|2|11.62443251|-0.029276847|-35.04152115|1453.872315|1.0|1.0|27.0|100.61|6.98e-06|0.00305|-1691.3151059999998|7.8861
16e_a32|1|342.37|552.79|1|0.7022|0|0|0.609420752|-1955.827194|3.9389|-0.04474426|2.080236877|3|0|15.50894749|-0.037448344|-48.41036206|1609.914378|1.0|1.0|19.0|149.27|1.7899999999999998e-05|0.0074099999999999|-1955.993572|8.1367
4a_a49|0|262.35|504.63|0|0.35731|1|1|1.343847746|-1312.98289|4.8706|-0.080255074|1.713107022|1|2|10.51443916|-0.0292876779999999|-33.05061877|1408.727632|0.0|1.0|21.0|92.93|0.000305|122.0|-1313.19945|7.4949
19j_a38|1|205.41|533.97|0|0.30419|0|2|1.29704352|-1424.24494|14.4895|0.105682345|0.0|1|1|17.15233756|-0.038119963|-50.60340201|1862.79182|1.0|1.0|17.0|105.02|7.55e-05|0.0322|-1424.426858|8.1146
12a_a40|0|400.39|429.21|0|0.6998800000000001|1|0|0.604990853|-2097.779499|3.8054|0.17758258|0.8332127109999999|2|0|6.001293955|-0.033799|-19.46913691|627.699788|1.0|1.0|20.0|58.43|1.13e-06|0.00039|-2097.826771|5.7501
11a_a5|1|281.57|578.8|0|0.6735|0|1|1.212363224|-1339.555805|3.6525|-0.052944925|0.0|1|2|8.474559367000001|-0.026223112|-36.51058972|1517.39715|0.0|0.0|23.0|63.69|3.95e-07|0.000167|-1339.8362619999998|7.0915
33_a47|0|296.13|423.52|1|0.67508|1|0|1.409403453|-1123.04547|6.2284|-0.11544858|1.688794654|1|3|11.96072985|-0.0272154529999999|-23.98884914|1010.133461|0.0|1.0|21.0|68.52|0.000192|0.0643|-1123.16428|8.4
