molecula|n9FaHRing|Wavelength (max. Transition) (nm)|Approximated area|SaaNH|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|SaasN|pIC50|n5aHRing|AATSC1i|MATS8s|GATS1pe|FNSA3|FPSA3|FNSA1|PNSA4|GeomPetitjeanIndex|GeomRadius|CYP2D6 inhibitor|Num. of Aromatic heavy atoms|Log S (ESOL)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|pIC50
12z_a36|0|318.16|539.36|3.435113772|0.4423|-0.2139199999999999|0.0|8301.0|1|-0.175397741|0.103551178|0.8212311840000001|-0.081592361|0.023371488|0.712682362|-24.03445318|0.4577848329999999|8.016303367999999|0.0|17.0|-3.95|8.97e-05|2.98|-1325.195958|8301.0
13n_a6|0|257.31|548.09|3.425442623|0.1945|-0.20994|0.0|7.1249|1|-0.118693789|-0.064779873|0.82642394|-0.100363599|0.017758385|0.748967057|-26.41600355|0.47066442|8.872063579|1.0|27.0|-4.28|9.35e-08|4.27|-1423.765005|7.1249
12ah_a36|0|237.25|532.36|3.456839001|0.0485|-0.2107099999999999|0.0|7.9586|1|-0.177407665|0.011674455|0.8065052890000001|-0.0758457179999999|0.0184777819999999|0.768906425|-24.6427998|0.468162246|8.26712637|0.0|17.0|-4.59|2.77e-05|3.79|-1692.545871|7.9586
12g_a36|0|238.01|657.02|3.5202147110000004|45.0|-0.20288|0.0|7.8539|1|-0.163978382|-0.19532883|0.860667615|-0.069292341|0.017738779|0.779745318|-23.75074918|0.473274545|7.285010602000001|0.0|17.0|-4.86|1.7800000000000002e-05|4.21|-1350.887005|7.8539
3b_a12|0|294.55|426.66|0.0|0.2418|-0.2232|0.0|7.3098|0|-0.116772665|-0.008328578|0.802482465|-0.064393592|0.0103611969999999|0.7688221909999999|-17.73486237|0.390744506|6.6333156660000006|1.0|18.0|-4.64|2.63e-06|3.96|-1410.971864|7.3098
47p_a18|0|387.01|732.84|0.0|595.0|-0.18746|0.0|7.1938|0|-0.261349889|0.030970815|0.710266593|-0.06909945|0.007989903|0.818459442|-22.80728054|0.488811071|9.923659881|1.0|18.0|-5.27|4.38e-07|7.98|-1493.759811|7.1938
19j_a38|0|205.41|533.97|3.235947106|0.2625|-0.21629|0.0|8.1146|1|-0.20848518|-0.001131945|0.6885713729999999|-0.0844479869999999|0.0250587|0.714369845|-26.09259418|0.408533267|7.506210369|0.0|17.0|-4.12|5.14e-05|3.23|-1424.426858|8.1146
3a_a32|1|341.48|355.48|3.226454082|0.2719|-0.20638|0.0|8.5686|3|-0.1568626659999999|-0.045516432|0.7757299320000001|-0.080607266|0.0224684379999999|0.6723099029999999|-14.97491147|0.461044711|5.755284924|1.0|19.0|-4.35|0.0002279999999999|2.17|-1554.796165|8.5686
11_a3|0|384.66|346.18|0.0|0.4441|-0.20018|0.0|7.3979|1|-0.0947326669999999|0.132535663|0.834020779|-0.0955396769999999|0.014376713|0.752484736|-18.52584757|0.4680759679999999|5.475372235|1.0|21.0|-3.71|9.35e-05|2.12|-1288.195105|7.3979
17d_a50|1|306.09|579.45|0.0|0.1819|-0.19967|4.380250483|7.1308|2|-0.323333765|-0.1921395789999999|0.7276268779999999|-0.044172353|0.0152123589999999|0.75405703|-17.74731987|0.445708152|6.996105516|1.0|20.0|-4.88|3.63e-05|3.41|-1335.989008|7.1308
