molecula|n9FaHRing|Wavelength (max. Transition) (nm)|Approximated area|SaaNH|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|SaasN|pIC50|n5aHRing|AATSC1i|MATS8s|GATS1pe|FNSA3|FPSA3|FNSA1|PNSA4|GeomPetitjeanIndex|GeomRadius|CYP2D6 inhibitor|Num. of Aromatic heavy atoms|Log S (ESOL)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|pIC50
12e_a40|0|286.76|445.12|0.0|284.0|-0.19912|1.6315143930000002|5.9318|2|0.172778196|0.047011204|0.8096582170000001|-0.132226452|0.015096495|0.790818822|-26.26807189|0.491465612|8.014314957|0.0|20.0|-5.64|0.000346|4.66|-2248.276958|5.9318
12aq_a36|0|317.51|534.96|3.427017327|0.0059|-0.19967|0.0|7.2596|1|-0.090926893|-0.0606936879999999|0.849217847|-0.1093001919999999|0.021389734|0.7619767479999999|-28.69889692|0.426481765|8.596645087999999|0.0|17.0|-3.45|0.000305|3.88|-1401.669694|7.2596
5b_a40|0|311.84|411.1|0.0|0.3005|-0.23068|1.616656116|7.1938|2|0.013573521|-0.400500595|0.503365018|-0.077031845|0.019116586|0.829018186|-18.31454812|0.477304896|6.521443259|0.0|14.0|-4.84|0.00191|5.62|-2096.782087|7.1938
12a_a32|1|346.71|548.66|3.442930603|0.2908|-0.20049|0.0|7.6021|3|-0.1534110109999999|-0.018578911|0.7507116140000001|-0.085324121|0.016535497|0.667706375|-19.23685026|0.456641145|7.083688576|1.0|19.0|-4.5|8.86e-06|4.63|-1880.771042|7.6021
4e_a49|0|216.37|504.63|0.0|0.0789|-0.2231199999999999|2.085628989|7.4685|1|-0.060391347|0.0063958109999999|0.731643066|-0.09422276|0.017142176|0.650328475|-17.96482878|0.471635821|7.934910277|1.0|21.0|-3.52|1.74e-05|3.34|-1313.199448|7.4685
12t_a36|0|319.18|562.72|3.500121488|0.0155|-0.2039|0.0|8.0969|1|-0.169994208|-0.009662203|0.857993338|-0.0735262|0.017627553|0.78316808|-23.93411213|0.48189543|7.960344391|0.0|17.0|-4.57|1.7899999999999998e-05|3.87|-1311.585049|8.0969
14a_a22|0|244.77|534.87|0.0|0.0578|-0.21174|1.646649187|7.4202|1|-0.165471815|-0.09744639|0.655865336|-0.062215607|0.021268761|0.7007904070000001|-21.35231162|0.446584227|8.052850876|1.0|27.0|-4.68|2.56e-07|4.98|-1368.35698|7.4202
4R4l_a46|0|266.65|498.78|0.0|0.0851|-0.19602|2.155247543|6.8633|1|0.010799648|-0.001318857|0.7936534740000001|-0.090505744|0.007084496|0.8782984840000001|-16.223992300000003|0.4568839389999999|5.669819400000001|1.0|17.0|-5.11|3.47e-05|4.99|-1092.75416|6.8633
8a_a8|0|269.43|476.69|3.150966553|0.1729|-0.19937|1.4114120369999998|4.9454|1|0.089375589|0.089031731|0.7318727540000001|-0.131795179|0.034374791|0.76420633|-29.37948733|0.481294455|7.533378788999999|0.0|23.0|-4.14|6.96e-05|6.1|-1367.776863|4.9454
17_a47|1|289.79|477.67|3.011740664|0.4308|-0.22479|0.0|8.3|1|-0.031505291|-0.034891905|0.7666613659999999|-0.07185129|0.01291694|0.7457517659999999|-18.22518223|0.46147021|7.055517075|1.0|27.0|-5.21|3.12e-08|3.07|-1254.985125|8.3
20a_a10|0|259.16|524.02|0.0|107.0|-0.2274199999999999|2.113798134|5.9208|1|-0.081587712|0.036092601|0.63495222|-0.066386563|0.013618456|0.733451892|-18.22250274|0.452402751|8.419180593|0.0|27.0|-5.59|1.55e-07|3.98|-1389.164302|5.9208
15_a31|0|271.36|452.98|3.155574452|348.0|-0.19394|0.0|5.9586|2|-0.272545088|-0.0869591359999999|0.782925607|-0.116196194|0.038524836|0.641533577|-22.10688462|0.466164359|6.148947296|1.0|16.0|-3.57|0.000749|3.9|-1460.900291|5.9586
17g_a50|1|306.45|559.45|0.0|0.1795|-0.19929|4.377239517|6.6091|2|-0.323333765|-0.10642733|0.7276268779999999|-0.048170917|0.014550016|0.749948388|-17.29736764|0.467997084|8.130878433|1.0|20.0|-4.86|4.6500000000000005e-05|3.22|-1335.976491|6.6091
20_a31|1|350.43|560.67|3.3852303|0.2011|-0.20895|0.0|8.0862|3|-0.1534110109999999|0.028036914|0.7507116140000001|-0.085849869|0.019334605|0.710707042|-21.01650877|0.464597945|8.289864307|1.0|19.0|-4.44|8.86e-06|4.78|-1880.768349|8.0862
18_a34|0|279.66|483.87|0.0|0.0303|-0.21474|1.801574074|5.6144|1|-0.478810922|0.0468829359999999|0.713979177|-0.090328365|0.040845819|0.695849945|-23.32844015|0.441058733|6.282442545|1.0|17.0|-4.11|0.000781|5.07|-1199.288654|5.6144
IN1233_a59|0|237.54|531.14|3.463603867|0.2011|-0.20289|0.0|7.4685|1|0.003282792|-0.107446431|0.778639593|-0.092761756|0.010831674|0.810795898|-23.91074854|0.483639625|8.011984402000001|1.0|27.0|-5.16|4.17e-08|5.35|-1352.351584|7.4685
13m_a6|0|316.88|546.69|3.415695704|0.1924|-0.20954|0.0|8.0|1|-0.118693789|0.156982046|0.82642394|-0.0989137669999999|0.01858251|0.7362989999999999|-26.40980394|0.48094941|8.435961541000001|1.0|27.0|-4.28|9.35e-08|4.27|-1423.762467|8.0
12ax_a36|0|236.74|552.0|3.429529478|0.4167|-0.21324|0.0|7.9208|1|-0.1716508239999999|-0.0394369539999999|0.771220556|-0.073739612|0.019128091|0.7648530440000001|-25.96212292|0.488501696|7.563197245|0.0|17.0|-5.18|7.83e-06|4.42|-2152.130959|7.9208
19_a20|0|368.83|519.34|3.423603867|0.2998|-0.2067|0.0|5585.0|1|-0.083481481|-0.143992458|0.7741509329999999|-0.091725453|0.013643765|0.796070588|-25.1915821|0.483310517|7.950138729|1.0|27.0|-4.57|9.86e-08|5.01|-1368.413151|5585.0
2_a33|1|341.74|525.38|3.396444161|0.2911|-0.19979|0.0|8.2596|3|-0.148024156|-0.0212158239999999|0.753434785|-0.0804186|0.018451635|0.702597735|-19.46234551|0.4699986339999999|6.152818143999999|0.0|19.0|-4.78|8.78e-06|5.11|-1920.079174|8.2596
19g_a38|0|234.97|475.84|3.229090845|0.0962|-0.20748|0.0|7.3778|1|-0.250781298|-0.063110203|0.632625562|-0.086314802|0.022953686|0.719941993|-24.57988703|0.455443492|6.327835378|1.0|17.0|-4.33|3.19e-05|3.66|-1431.419426|7.3778
17a_a22|0|255.63|577.52|0.0|0.0085|-0.21338|1.866510299|7.0862|1|-0.126659773|0.155547571|0.7994946709999999|-0.072161482|0.0140462319999999|0.710958975|-21.07439877|0.485943988|8.549622191000001|1.0|27.0|-4.96|3.23e-07|5.13|-1408.300966|7.0862
19_a4|0|296.2|500.34|0.0|0.3806|-0.22298|1.943606348|4.71|1|-0.042058265|0.152550043|0.514505012|-0.070677568|0.013022539|0.764880253|-15.93396412|0.460486754|5.9448291|0.0|17.0|-3.97|0.0002839999999999|6.67|-1446.939719|4.71
6b_a31|0|376.29|492.36|3.404988662|0.4967|-0.1918|0.0|7.2676|2|-0.004825446|-0.068433069|0.795570315|-0.12081047|0.032992761|0.7459204140000001|-27.86719323|0.4807018779999999|7.513612533|1.0|22.0|-4.66|1.89e-05|4.61|-1652.671944|7.2676
4l_a46|0|229.55|526.77|0.0|0.1523|-0.20351|2.155247543|7.0088|1|0.010799648|-0.001318857|0.7936534740000001|-0.09094885|0.00657916|0.883450801|-17.01011822|0.409308207|5.80829255|1.0|17.0|-5.11|3.47e-05|4.99|-1092.745692|7.0088
9c_a31|0|322.12|588.58|3.410619646|0.2554|-0.19224|0.0|6.3768|2|-0.223856622|-0.000533581|0.770283733|-0.103325018|0.030296721|0.670716706|-22.85764436|0.4558841429999999|8.188627935|1.0|16.0|-4.16|2.31e-05|4.94|-1618.157698|6.3768
1l_a5|0|267.19|486.81|2.964063799|187.0|-0.21939|0.0|7.4949|1|0.043915678|-0.174469948|0.71872376|-0.068685233|0.0078543119999999|0.769406114|-14.9768065|0.47265823|7.401206343999999|1.0|23.0|-4.98|5.02e-07|3.89|-1069.261615|7.4949
3g_a32|1|349.68|495.4|3.542426304|0.2859|-0.20065|0.0|7.8539|3|-0.133675401|-0.1015732219999999|0.786074011|-0.070213101|0.0119962889999999|0.8007401590000001|-16.86199774|0.447358137|5.917878616|0.0|19.0|-5.59|1.8e-05|4.13|-1712.060085|7.8539
12ab_a36|0|319.17|564.58|3.458948649|0.4451|-0.2093699999999999|0.0|7.9586|1|-0.169341326|-0.0852411419999999|0.8196353679999999|-0.079202413|0.024102201|0.679025324|-23.06276515|0.484987413|7.821826146|0.0|17.0|-3.91|3.76e-05|3.23|-1364.509957|7.9586
13_a15|0|314.52|549.33|0.0|0.0003|-0.15229|0.0|8.2218|0|-0.272482143|0.008210506|0.796300317|-0.068526782|0.016196467|0.755283433|-21.33321476|0.482317225|5.21465994|1.0|24.0|-6.1|5.7e-07|5.04|-1450.756042|8.2218
19_a34|0|297.18|421.62|0.0|0.2189|-0.20251|1.898101852|6.0044|1|-0.401414514|0.08178394|0.818710955|-0.112877411|0.039589023|0.662289492|-19.78189027|0.467358389|5.495780422|1.0|17.0|-3.15|0.00291|2.7|-1046.606458|6.0044
12c_a31|0|323.48|578.69|3.387641566|0.2625|-0.19288|0.0|6.4202|2|-0.223856622|0.066071056|0.770283733|-0.104643824|0.030543026|0.6817087|-23.05449459|0.448512808|8.091269314|1.0|16.0|-4.16|2.31e-05|4.6|-1618.1530810000002|6.4202
17_a15|0|299.04|663.81|0.0|0.0377|-0.19509|0.0|7.9208|0|-0.263401148|0.001376853|0.740986227|-0.052869016|0.012890299|0.653207369|-20.73567196|0.474165158|7.967418828|1.0|24.0|-5.65|8.43e-08|6.89|-1413.897695|7.9208
12ay_a36|0|315.09|532.22|3.50559949|0.1464|-0.2031599999999999|0.0|7.7447|1|-0.169994208|-0.109624825|0.857993338|-0.074251203|0.018016934|0.778164805|-22.90568368|0.4530143439999999|6.466730436000001|0.0|17.0|-4.6|1.86e-05|3.79|-1311.576473|7.7447
10_a27|0|298.79|450.26|0.0|0.4452|-0.21785|3.383341915|7.1612|1|-0.341622797|0.129719095|0.614205449|-0.061299064|0.017676458|0.7453606909999999|-16.5270506|0.477162521|6.761146212000001|0.0|21.0|-3.92|0.000192|4.66|-1083.137871|7.1612
8a_a31|0|325.45|396.15|3.28085223|0.2604|-0.18869|0.0|6.1024|2|-0.094359203|0.0502030679999999|0.883113019|-0.122293189|0.0375544779999999|0.666437359|-20.61467025|0.4512945479999999|5.83708559|1.0|16.0|-3.11|0.00145|1.53|-1347.541429|6.1024
6a_a31|0|349.96|447.66|3.3855253210000003|0.6404|-0.19843|0.0|5.9586|2|0.001117583|-0.07385392|0.803505125|-0.132158278|0.034212524|0.6927462990000001|-26.51328079|0.478330896|7.516549303|1.0|22.0|-4.34|4.3200000000000007e-05|4.03|-1613.34153|5.9586
13l_a6|0|338.07|578.91|3.433158672|0.0165|-0.19447|0.0|6.4145|1|-0.073210645|-0.058931734|0.827754203|-0.118071236|0.030012523|0.793671137|-31.47586631|0.4257335779999999|8.810095892|1.0|23.0|-4.77|5.7e-07|5.41|-1465.865882|6.4145
12g_a40|0|308.23|429.31|0.0|0.2682|-0.20615|1.687211672|6.1403|2|0.106286677|0.020185301|0.6941475490000001|-0.0951493559999999|0.012706769|0.852031227|-22.85591194|0.465725912|7.692740528|0.0|20.0|-5.79|8.57e-05|4.84|-2173.044757|6.1403
14v_a23|1|335.64|533.44|0.0|348.0|-0.2308599999999999|3.004639728|8.4001|2|-0.2952674819999999|0.132882353|0.575188253|-0.067342061|0.019811827|0.788328659|-28.23713101|0.457213347|7.743452839|0.0|26.0|-6.0|5.57e-06|5.17|-2042.182282|8.4001
47j_a18|0|399.25|776.31|0.0|0.5439|-0.17273|0.0|7.4559|0|-0.331885553|-0.002262399|0.757001264|-0.073041469|0.015967126|0.764425062|-26.32095773|0.481373558|9.597380968|1.0|18.0|-5.14|8.159999999999999e-07|8.09|-1625.445572|7.4559
12e_a30|0|245.94|562.76|0.0|151.0|-0.19804|0.0|7.9431|1|-0.154412059|0.002248768|0.7933543279999999|-0.07914783|0.024254701|0.7071208529999999|-23.31866823|0.46715936|8.069355055|0.0|17.0|-4.93|7.87e-05|3.58|-1690.3021629999998|7.9431
12be_a36|0|237.59|594.44|3.466734143|0.0018|-0.18969|0.0|7.3565|1|-0.289604649|0.132962547|0.8350231859999999|-0.0780531429999999|0.033763464|0.5660743979999999|-22.15805062|0.4564615729999999|8.773114043|0.0|17.0|-4.15|7.11e-05|2.68|-1462.0007349999998|7.3565
4d_a46|0|280.09|503.76|0.0|0.1313|-0.22603|2.146507937|6.2865|1|-0.1271933999999999|-0.213089038|0.623144956|-0.056384895|0.008652238|0.813427965|-13.51488667|0.441136013|5.757075209|0.0|17.0|-5.11|1.3699999999999998e-05|4.18|-1453.840712|6.2865
12ar_a36|0|237.29|580.53|3.46014932|0.2372|-0.21291|0.0|7.6021|1|-0.169341326|-0.017348015|0.8196353679999999|-0.080760277|0.022389124|0.705591187|-23.57370143|0.4743067589999999|8.770514183|0.0|17.0|-3.91|3.76e-05|3.23|-1364.511244|7.6021
8_a47|0|337.87|433.38|0.0|0.2249|-0.2085199999999999|0.0|7.3|0|-0.003223628|-0.035681436|0.659210804|-0.075955381|0.008687692|0.819702033|-20.78278301|0.414302597|6.492934319|1.0|22.0|-6.19|2.28e-07|4.91|-1686.068471|7.3
13j_a6|0|339.64|555.0|3.409065702|0.0259|-0.19491|0.0|6.5817|1|-0.073507141|-0.063948098|0.830577798|-0.120219472|0.03111288|0.7841668409999999|-31.02389141|0.433600896|8.741405506|1.0|23.0|-4.48|1.36e-06|4.94|-1426.5532050000002|6.5817
4_a3|0|208.93|338.33|0.0|119.0|-0.20826|0.0|5.9|1|0.127253753|-0.028924747|0.628171026|-0.110345083|0.008006786|0.866976271|-18.76802992|0.415852758|5.05182773|1.0|21.0|-5.09|9.48e-06|3.53|-1355.332318|5.9
9i_a40|0|284.3|417.75|0.0|0.3362|-0.17956|1.841293462|5.9031|2|0.187399127|-0.154977678|0.7947633409999999|-0.092881258|0.011010661|0.8590224540000001|-18.57750214|0.477626156|7.700852478|1.0|20.0|-4.71|0.000285|3.2|-1273.334714|5.9031
6_a47|0|224.66|422.9|0.0|0.2119|-0.20794|0.0|7.9|0|-0.04324355|-0.149904224|0.672308592|-0.080118846|0.009820713|0.7943908059999999|-19.96679614|0.4059072379999999|6.480620646|1.0|22.0|-5.79|3.310000000000001e-07|4.69|-1608.684886|7.9
17c_a50|1|292.44|596.23|0.0|0.1801|-0.19818|4.349159921|7.1612|2|-0.373205592|-0.139943634|0.728169863|-0.051905615|0.021675174|0.569750429|-14.96042594|0.49503436|8.310163601000001|1.0|20.0|-4.43|7.08e-05|2.74|-1411.187392|7.1612
4k_a46|0|228.63|500.36|0.0|0.1505|-0.20254|2.145043462|7.0969|1|0.012963356|-0.003017362|0.784722915|-0.091943864|0.007038271|0.8732380740000001|-16.56101615|0.417368922|5.726809252000001|1.0|17.0|-4.83|8.28e-05|4.52|-1053.433249|7.0969
12m_a30|0|244.95|578.87|0.0|0.1615|-0.20742|0.0|7.5114|1|-0.152855196|-0.036924662|0.770326886|-0.085422479|0.027352277|0.773732767|-27.50290965|0.44976016|9.025816604|0.0|17.0|-5.01|0.000165|3.88|-1743.215323|7.5114
12bh_a36|0|319.46|575.23|3.50075137|11.0|-0.20168|0.0|7.8539|1|-0.169994208|-0.211972014|0.857993338|-0.070687668|0.017627098|0.783294222|-23.6718811|0.482052584|7.545637217999999|0.0|17.0|-4.6|1.86e-05|3.79|-1311.589612|7.8539
12p_a36|0|232.12|506.89|3.392386149|0.1841|-0.21131|0.0|8.0458|1|-0.217394466|-0.035871448|0.698414933|-0.082569108|0.020202133|0.759126153|-24.56246081|0.475504684|7.546742977|0.0|17.0|-4.16|5.58e-05|3.41|-1332.182868|8.0458
1o_a5|0|275.45|443.88|2.923171926|0.0071|-0.23973|0.0|7.4559|1|0.06759341|-0.003561205|0.650008224|-0.079346457|0.01325562|0.699913551|-15.45942012|0.470590799|7.522366517000001|1.0|23.0|-4.08|2.54e-06|2.66|-1043.577386|7.4559
4_a47|0|214.85|432.89|0.0|0.2221|-0.21076|0.0|7.5|0|-0.027355932|-0.095209424|0.8124901999999999|-0.07804769|0.007772995|0.806604393|-19.18327632|0.402148382|6.468023748999999|1.0|22.0|-5.64|5.81e-07|4.44|-1509.453558|7.5
3d_a12|0|294.4|411.35|0.0|0.1583|-0.22229|0.0|7.6021|0|-0.237203828|-0.097468573|0.8605417409999999|-0.066850425|0.011128076|0.77428353|-18.01493787|0.472404561|5.786006004|1.0|18.0|-3.91|9.64e-06|3.1|-1006.727999|7.6021
12z_a30|0|257.96|580.6|0.0|0.1441|-0.19279|0.0|7.3615|1|-0.207153446|-0.02232319|0.794193541|-0.071429418|0.030875938|0.630839856|-23.67231332|0.48740649|8.071510779|0.0|17.0|-5.0|6.720000000000001e-05|3.34|-1804.814868|7.3615
11a_a31|0|325.92|407.76|2.856083711|0.2797|-0.20589|0.0|6.7212|2|-0.1829166189999999|0.022073976|0.819138461|-0.151872243|0.041435152|0.735254945|-28.68314085|0.451795285|5.791411901|0.0|16.0|-3.79|0.00731|3.97|-1441.452616|6.7212
17a_a6|0|350.03|574.02|3.3685510360000004|0.0101|-0.18178|0.0|7.6198|1|-0.180339002|0.08716369|0.8013954109999999|-0.096082495|0.031147305|0.77193498|-27.26767299|0.483320982|8.337470517|1.0|23.0|-5.17|4e-07|4.04|-1350.102634|7.6198
10_a1|0|363.94|464.77|3.261363142|0.6754|-0.20378|0.0|5.8239|1|-0.042643966|-0.0369911079999999|0.658433571|-0.116648443|0.014751098|0.8340962559999999|-25.67872721|0.459673515|7.376231317999999|1.0|23.0|-4.73|3.42e-06|5.81|-1223.159954|5.8239
8_a1 (SB-202620)|0|364.11|460.4|3.296085365|0.5339|-0.2105199999999999|0.0|6.3979|1|-0.042643966|-0.042789124|0.658433571|-0.117682533|0.015526845|0.7742395870000001|-23.30777912|0.4564697679999999|7.432247389|1.0|23.0|-4.7|3.42e-06|5.32|-1223.279021|6.3979
9g_a24|0|236.07|400.47|2.931798469|0.1023|-0.21391|1.7647373919999998|7.1675|2|-0.049325609|0.13372961|0.657503038|-0.064835725|0.01876163|0.4819264479999999|-10.53790724|0.427531635|6.124370267000001|1.0|22.0|-3.09|0.000113|0.75|-984.5891383|7.1675
8k_a46|0|246.1|642.39|0.0|0.1166|-0.20954|2.105349622|6.8327|1|-0.050069565|0.095179795|0.687020939|-0.08638304|0.009441365|0.8265691140000001|-23.74966689|0.4938768979999999|8.070811215|0.0|23.0|-5.13|1.03e-06|7.63|-1845.304274|6.8327
6f_a40|0|346.89|507.64|0.0|0.0158|-203.0|1.750582483|7.3768|2|0.092206207|-0.032826285|0.742681934|-0.134203859|0.015998475|0.8628087240000001|-33.55442128|0.410805404|6.993991456|0.0|14.0|-4.64|0.0967|6.96|-2426.972609|7.3768
17a_a25|0|235.34|598.67|0.0|0.1735|-0.21559|1.826085128|7.6021|1|-0.07654898|0.168247187|0.659740852|-0.06234901|0.012665055|0.755980502|-21.2306737|0.468791604|8.996672966|1.0|27.0|-5.13|4.54e-08|6.04|-1391.625102|7.6021
12aj_a36|0|237.06|539.55|3.482902101|0.0082|-0.20093|0.0|7.7696|1|-0.1763783589999999|0.091113865|0.856274847|-0.073002742|0.018305468|0.77492734|-23.62130319|0.47532973|8.056502837|0.0|17.0|-4.3|4.270000000000001e-05|3.48|-1272.27339|7.7696
16_a20|0|207.2|554.41|3.485659565|0.1958|-0.20722|0.0|7585.0|1|-0.117308016|-0.085041518|0.724665638|-0.066137353|0.011604018|0.780108103|-19.44924762|0.464473378|8.166385503999999|1.0|27.0|-5.66|1.22e-08|4.45|-1275.900951|7585.0
12j_a36|0|238.1|536.01|3.502198129|98.0|-0.20593|0.0|8.0|1|-0.133106642|-0.1241793309999999|0.855081905|-0.069970795|0.018160631|0.7758129420000001|-24.51120192|0.457280037|7.483427579|0.0|17.0|-4.51|3.83e-05|3.37|-1670.448063|8.0
A8301_a51|0|||0.0|||1.700610355|7.9208|1|-0.0618359079999999|-0.013846396|0.7234449559999999|-0.055295165|0.008152073|0.854959635|-21.28401067|0.4799553379999999|6.890532887999999|1.0|27.0|-5.93|1.74e-07|||7.9208
9_a15|0|285.37|507.33|0.0|0.0115|-0.1824|0.0|6.9706|0|-0.295062413|0.088615068|0.8105478740000001|-0.073701648|0.032464905|0.51257747|-15.93664265|0.4517825079999999|5.485176331|1.0|18.0|-4.81|9.86e-06|3.36|-1223.705126|6.9706
16d_a32|1|341.83|489.97|3.311658163|0.2915|-0.20077|0.0|8.1135|3|-0.239509216|0.107238939|0.7689748270000001|-0.091212351|0.032003415|0.615749698|-21.26791022|0.4429631189999999|6.221435089|0.0|19.0|-4.18|9.84e-05|3.78|-1877.360551|8.1135
9a_a40|0|263.42|411.01|0.0|0.3483|-0.20303|1.865740741|6.6696|2|0.016958188|-0.394662853|0.61091688|-0.060029933|0.011033601|0.868476591|-15.54821024|0.493941591|6.749223592000001|0.0|20.0|-5.08|0.000117|4.07|-1217.955997|6.6696
6_a27|0|223.61|401.49|2.6137160880000003|163.0|-218.0|1.7996617540000002|9.0|1|-0.179319226|-0.1322552659999999|0.650575651|-0.0786267609999999|0.020552125|0.774820398|-17.14169035|0.47262982|5.010042219|0.0|21.0|-3.82|6.86e-05|4.27|-1043.831559|9.0
12_a15|0|276.63|585.26|0.0|0.0093|-0.19054|0.0|8.3979|0|-0.184255041|0.049877871|0.7933685340000001|-0.061084417|0.015018226|0.746489397|-20.42981445|0.476419838|5.448223888999999|1.0|24.0|-5.83|5.99e-08|5.16|-1281.087109|8.3979
14h_a23|1|306.09|569.53|0.0|0.2727|-0.2374099999999999|3.309480899|8.3468|2|-0.131709531|0.143102066|0.669357479|-0.063825076|0.021982565|0.753100584|-22.76950546|0.48032488|7.833334036|0.0|26.0|-4.9|1.4800000000000002e-05|3.29|-1722.1762399999998|8.3468
43_a18|0|384.65|702.4|0.0|0.5429|-0.18145|0.0|6.2041|0|-0.2093696189999999|-0.023109314|0.712848727|-0.070166168|0.006890688|0.8743733490000001|-24.16948112|0.481954273|10.01438533|1.0|18.0|-5.96|1.28e-07|8.79|-1611.621186|6.2041
9_a1|0|370.88|487.19|3.358585365|0.5409|-0.21015|0.0|5.2218|1|-0.093062585|-0.053460262|0.572272366|-0.080888063|0.011266799|0.7816897429999999|-18.38986221|0.452572261|7.61577077|1.0|23.0|-4.79|3.7100000000000003e-07|5.6|-1187.226314|5.2218
14j_a23|1|338.1|528.18|0.0|0.3886|-0.2239699999999999|3.278390512|8.3883|2|-0.17267308|0.143567854|0.5935522360000001|-0.062203032|0.020485263|0.7739671709999999|-22.69846456|0.497137467|7.83426417|0.0|26.0|-5.11|9.18e-06|3.72|-1729.15999|8.3883
8_a20 (IN-1130)|0|248.98|517.94|3.443195704|0.1361|-0.20636|0.0|7.4437|1|-0.083481481|-0.1221465319999999|0.7741509329999999|-0.09623672|0.0158089389999999|0.7481063720000001|-23.66117267|0.4824986429999999|8.005662608|1.0|27.0|-4.55|9.86e-08|4.53|-1368.412748|7.4437
4S4k_a46|0|234.58|487.43|0.0|0.0654|-0.1947|2.145043462|6.7055|1|0.012963356|-0.003017362|0.784722915|-0.089589915|0.007749296|0.8679099640000001|-16.15576699|0.461984953|5.523352655|1.0|17.0|-4.83|8.28e-05|4.52|-1053.441953|6.7055
12ab_a30|0|258.2|613.7|0.0|0.1511|-0.19672|0.0|7.7825|1|-0.207153446|0.078325164|0.794193541|-0.082740301|0.031588146|0.603952976|-22.42218278|0.461207954|8.44310703|0.0|17.0|-5.0|6.720000000000001e-05|3.34|-1804.824495|7.7825
12a_a36|0|323.35|481.98|3.4715209280000003|0.0012|-0.20139|0.0|7.8861|1|-0.183140926|-0.012112722|0.855821486|-0.076154312|0.019595485|0.755315434|-23.17301945|0.470444928|6.600635115|0.0|17.0|-4.0|9.78e-05|3.16|-1232.951968|7.8861
19b_a38|0|231.18|485.64|3.26554965|0.1945|-0.20445|0.0|7.9172|1|-0.250781298|0.019437461|0.632625562|-0.086013549|0.0224393089999999|0.7596369590000001|-25.82299118|0.478948837|7.159317935|0.0|17.0|-4.33|3.19e-05|3.66|-1431.414099|7.9172
22_a20|0|223.03|563.43|0.0|0.0015|-0.21856|1.915285809|6.6364|1|-0.060582944|-0.044184455|0.607038752|-0.059893667|0.0122876139999999|0.77063827|-17.65860151|0.477376285|7.408914181|1.0|27.0|-5.53|8.199999999999999e-08|4.07|-1275.84854|6.6364
8f_a8|0|263.65|477.92|2.939511291|0.1659|-0.21285|1.241306689|4.6428|1|0.254819201|-0.016217844|0.56916135|-0.122135295|0.013566221|0.90577048|-28.20910228|0.456995667|7.504290616|0.0|23.0|-5.0|4.43e-06|7.71|-1361.658484|4.6428
9s_a24|0|403.51|521.4|2.9568988810000003|0.0839|-0.14462|0.0|7.4949|1|-0.359715589|0.030228027|0.748077475|-0.049825449|0.016792118|0.445160769|-12.08741583|0.47085169|9.124394347|1.0|29.0|-4.06|3.04e-06|1.82|-1271.031372|7.4949
5b_a49|0|240.03|451.32|0.0|0.0747|-0.20701|2.119588967|7.5528|1|-0.230763367|-0.006962617|0.666573331|-0.0698098759999999|0.020319986|0.608694741|-15.28671785|0.475192312|6.270195553|1.0|21.0|-3.93|2.3e-05|3.92|-1292.139616|7.5528
13p_a6|0|258.45|573.39|3.449535594|0.0029|-0.1971099999999999|0.0|7.0362|1|-0.116250572|-0.059663359|0.8244206940000001|-0.099405155|0.01730144|0.76005742|-26.72853188|0.412828992|8.760340755|1.0|27.0|-4.55|3.92e-08|4.73|-1463.08132|7.0362
15_a15|0|335.38|573.46|0.0|0.0066|-0.1475|0.0|6.9626|0|-0.272482143|0.007958332|0.796300317|-0.061884697|0.020649569|0.702544178|-20.86598874|0.435723718|6.673906339|1.0|24.0|-6.1|5.7e-07|5.04|-1450.7538470000002|6.9626
12bd_a36|0|319.66|568.94|3.497517322|0.0058|-0.19826|0.0|7.7696|1|-0.169994208|-0.011529973|0.857993338|-0.071083327|0.0177487689999999|0.78244124|-23.44707102|0.475272043|8.050812711|0.0|17.0|-4.6|1.86e-05|3.79|-1311.591775|7.7696
3h_a32|1|348.74|578.86|3.579396967|0.2926|-0.20059|0.0|8.1549|3|-0.122769653|-0.169197453|0.8030743229999999|-0.07183387|0.0111539339999999|0.7734940029999999|-17.27367301|0.4089962629999999|8.107034244|1.0|19.0|-6.15|1.29e-06|4.61|-1790.6908030000002|8.1549
12d_a30|0|356.06|545.94|0.0|149.0|-0.1991|0.0|7.9508|1|-0.09353607|-0.0430927579999999|0.7991060659999999|-0.073829724|0.015567102|0.8143892140000001|-23.41646662|0.4572733479999999|7.557073995|0.0|17.0|-5.15|4.02e-05|4.14|-1615.095823|7.9508
46_a18|0|384.45|635.89|0.0|0.4249|-0.18219|0.0|6.7305|0|-0.224171123|-0.015124585|0.699483099|-0.069742249|0.008975181|0.782232748|-20.77641329|0.4548138479999999|8.980343774|1.0|18.0|-5.47|7.27e-07|8.11|-1532.992457|6.7305
14w_a23|1|338.46|535.54|0.0|0.3855|-0.22824|3.132012648|8.6737|2|-0.206574435|0.059273664|0.558482531|-0.070714528|0.022440155|0.743451788|-23.66232347|0.4972095239999999|7.833745658|0.0|26.0|-5.27|5.23e-06|3.97|-1828.385903|8.6737
