molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC7i|n6aHRing|GATS1are|SIC2|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RPSA|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
15_a15|0|0|0.0|0.0|0|0.0|1|1.435688991|0.0|-0.132759299|-0.006378587|-0.031457366|0.029814815|-0.063032481|-0.395472407|0.001806571|0.000676845|10.95980315|0|-0.098862691|2|0.843715005|0.7725348679999999|0|0.8972060479999999|-0.061884697|-0.091075463|0.020649569|-41.11675625|-60.51136736|0.102793952|-40.20430373|4.306196778|0.702544178|-1.821509261|-27.31834743|73.99578515|-20.86598874|54.83651811|0.435723718|3027.719888|596.1118717|-1210.227347|2868.890383|0.297455822|0.772181523|7039.747576999999|-804.0860746000001|29.700607300000005|0.0202953539999999|1722.635223|830.7967967000001|1.0|0.0|0.0|1.0|4.04|24.0|6.69|59.51|138.24|0.0|1.0|6.0|-6.32|34.0|4.0|-5.26|448.52|0.0|4.64|-6.1|0.000214|7.970000000000001e-07|0.000357|5.32|0.0|5.7e-07|-0.03786|3.6968|5.04|1265.55|480.19|0.4459|335.38|573.46|0.67524|0.70572|-1450.398033|0.0066|-0.10964|1.6365|-0.1475|0.02849263|2.9566|109.0|6.9626|6.9626
20_a31|1|1|3.3852303|0.0|0|7.765993078999999|0|0.609420757|0.0|0.0469387759999999|-0.009722467|-0.057200812|0.03995614|-0.013040402|-0.476400874|-0.003484915|-0.020082435|10.31100269|3|-0.023477148|0|0.788133615|0.912372776|1|0.7954270659999999|-0.085849869|-0.110195543|0.019334605|-53.79798102|-69.0542431|0.2045729339999999|-43.27297051|75.10345696|0.710707042|-1.542737604|-33.71260536|81.35171021|-21.01650877|65.91404723|0.464597945|2576.1287230000003|498.4558574|-966.7594033|1758.762093|0.289292958|0.86775525|5678.167489|-605.8215871|29.5712685|0.019624081|1360.278351|557.1050635|1.0|1.0|1.0|2.0|3.46|19.0|4.38|140.04|110.47|1.0|1.0|7.0|-5.91|27.0|4.0|-6.39|397.52|0.0|3.6|-4.44|0.000493|3.66e-05|0.0146|3.29|0.0|8.86e-06|-0.06065|3.5381|4.78|1113.19|350.43|0.2011|350.43|560.67|0.7036600000000001|0.7036600000000001|-1880.538664|0.2011|-0.1483|3.7403|-0.20895|0.0336943|4.9218|8.0|8.0862|8.0862
3a_a32|1|1|3.226454082|0.0|0|7.678326357|0|0.6094208210000001|0.0|-0.0505635059999999|-0.007588088|-0.045659995|0.03382716|-0.014365682|-0.250406908|-0.002794182|0.102212031|10.31100283|3|-0.028290955|0|0.84134255|0.921812162|1|0.817070968|-0.080607266|-0.0970820759999999|0.0224684379999999|-37.30101542|-44.92473442|0.182929032|-20.78892268|0.0|0.6723099029999999|-0.970820756|-17.261046399999998|55.87310101|-14.97491147|47.69828617|0.461044711|2028.93875|378.0996237|-449.2473442|812.930125|0.327690097|0.855441483|4249.04624|-207.8892268|22.27382254|0.0236593529999999|668.2146761|278.73805810000005|1.0|1.0|1.0|1.0|2.96|19.0|4.12|110.94|83.28|0.0|1.0|2.0|-5.32|20.0|3.0|-5.77|298.39|0.0|3.32|-4.35|0.00144|4.51e-05|0.0134|3.31|0.0|0.0002279999999999|-0.0558|3.6308|2.17|801.12|341.48|0.2719|341.48|355.48|0.70229|0.70229|-1554.7020630000002|0.2719|-0.15058|3.6178|-0.20638|0.02744024|5.7916|3.0|8.5686|8.5686
12b_a36 (EW-7197)|1|0|3.3685352889999995|0.0|0|7.412764017000001|2|1.2970445309999998|0.0|-0.104514139|-0.008137593|-0.082283951|0.040899471|0.027495626|-0.439429998|-0.002526241|-0.098032695|10.96052467|1|0.059005046|1|0.724208473|0.8741648479999999|0|0.7635183720000001|-0.081357853|-0.10866747|0.021439664|-50.90136206|-67.98756422|0.236481628|-42.53627024|5.958751634|0.746747352|-1.956014468|-31.84632538|80.95733534|-24.47552312|64.31504105|0.45988432|2772.832013|477.6935927|-1223.776156|2338.370858|0.253252648|0.851455231|6096.459089|-765.6528642999999|32.77617664|0.020730147|1638.808832|595.8790650000001|||||||||||||||||||||||||||-0.04975|3.8475|3.41|1104.61|328.66|0.4491|322.25|486.64|0.6824899999999999|0.69991|-1331.9479310000002|0.0197|-0.15571|5432.0|-0.20546|0.03202977|7.3101|7.0|8.1549|8.1549
5b_a49|0|0|0.0|0.0|1|7.853604813|2|1.343848745|2.119588967|0.1108916119999999|-0.007610481|0.006327273|0.034466231|-0.072128552|-0.418576471|0.005836378|-0.0695402359999999|10.9297646|1|-0.12209302|2|0.6981815290000001|0.839963111|1|0.7969332440000001|-0.0698098759999999|-0.076494119|0.020319986|-41.03213895|-44.96093486|0.203066756|-26.42668087|69.07083505|0.608694741|-1.300400018|-24.11745318|59.85065205|-15.28671785|52.97561349|0.475192312|2764.188493|468.4133145|-764.3358925|1956.050085|0.3913052589999999|0.905459892|6225.302624|-449.2535747|25.1139312|0.025332565|1255.69656|612.7019937000001|1.0|1.0|1.0|1.0|3.34|21.0|2.87|75.94|122.26|0.0|1.0|3.0|-3.3|30.0|4.0|-7.24|396.44|1.0|2.58|-3.93|0.1969999999999999|0.000118|0.0468|2.08|0.0|2.3e-05|-0.04453|5.1653|3.92|1093.32|316.21|0.4653|240.03|451.32|0.39241|0.65269|-1291.873941|0.0747|-0.1624799999999999|4.3767|-0.20701|0.03937634|6.1996|28.0|7.5528|7.5528
27b_a34|0|0|0.0|0.0|1|7.412764017000001|1|1.4335271040000002|2.013418486|-0.056026127|-0.010183855|-0.016803292|0.042739018|-0.106245942|-0.549928192|-0.001438963|-0.029622037|10.95430634|1|-0.175834895|1|0.820914556|0.8299950709999999|0|0.783431788|-0.08757938|-0.109683855|0.031021066|-57.66200309|-72.21552354|0.2165682119999999|-47.54648562|540.9533124|0.712312759|-1.864625537|-37.9644911|87.24055613|-24.553278|78.08618045|0.4072752529999999|2835.31543|515.8091561000001|-1227.6639|2431.595232|0.287687241|0.687123753|6032.666081|-808.2902556|34.46979951|0.022820627|1723.489976|627.4287311|1.0|1.0|1.0|1.0|3.54|23.0|4.11|84.99|116.33|0.0|1.0|5.0|-5.23|31.0|5.0|-6.14|409.44|0.0|3.46|-4.96|0.00243|1.1e-05|0.00449|3.75|0.0|2.67e-06|-0.04121|4.8168|4.33|1174.68|302.88|0.3621|257.4|577.39|0.47412|0.70001|-1349.811401|0.0252|-0.1652799999999999|11.8546|-0.20649|0.03640275|15.2147|0.65|6.1871|6.1871
12x_a30|0|0|0.0|0.0|0|7.412764017000001|2|0.604984021|0.0|0.044575215|-0.006008579|-0.0335688279999999|0.043383838|-0.0606216429999999|-0.3545061539999999|0.00604028|0.027312213|10.31162819|1|-0.104089964|1|0.842068099|0.829606585|0|0.848844277|-0.071909912|-0.091725339|0.014757946|-47.48669555|-60.57208434|0.151155723|-39.99960559|0.0|0.824674971|-1.926232129|-31.35848986|68.52587215|-23.12752311|57.2323071|0.4490846539999999|2845.417984|560.5459455|-1272.013771|2374.777496|0.175325029|0.815160907|6359.545311|-839.9917174000001|28.04441012|0.012044556|1542.442557|754.3941655|0.0|1.0|0.0|1.0|4.86|17.0|3.23|81.65|137.21|0.0|1.0|5.0|-6.04|31.0|4.0|-5.64|426.54|0.0|3.19|-5.46|0.00039|3.48e-06|0.00148|4.6|0.0|1.76e-05|-0.05093|3.4831|4.45|1211.79|355.95|0.1517|355.95|558.65|0.68589|0.68589|-1654.1207|0.1517|-0.14783|4.3702|-0.19876|0.03136007|4.8197|22.0|7.6556|7.6556
GW6604_a52|1|0|2.944144148|0.0|0|6.605297921|0|1.427583999|0.0|-0.277102285|-0.002149879|-0.005328809|0.021346801|-0.0778992459999999|-0.085995143|0.007746755|-0.118272803|10.94914378|1|-0.131886693|2|0.709088617|0.7550228990000001|0|0.87346455|-0.071850787|-0.072069252|0.009021088|-35.51891876|-35.62691523|0.12653545|-17.61190876|0.2386028039999999|0.73529506|-1.081038779|-17.55852148|44.37166117|-14.44334401|39.97842884|0.4597869779999999|2044.612273|431.7909048|-534.4037285|799.8313017999999|0.26470494|0.851121611|4168.525878|-264.17863140000003|19.64292268|0.01768964|726.7881391|359.1060668|1.0|1.0|1.0|1.0|2.68|23.0|4.2|54.46|90.49|0.0|1.0|3.0|-3.87|23.0|3.0|-5.95|298.34|1.0|3.08|-4.16|0.0402|6.929999999999999e-05|0.0207|3.06|0.0|2.78e-06||||||||||||||||||107.0|6.9706|6.9706
5d_a40|0|0|0.0|0.0|1|8.149890544|1|0.6049133329999999|1.601200869|-0.071479892|-0.005662681|0.0418378229999999|0.044526749|-0.1031436519999999|-0.1868684619999999|0.007200253|0.2078052269999999|10.31198333|2|-0.259985037|0|0.496945486|0.877722972|1|0.754010052|-0.086193996|-0.094277694|0.022027556|-39.55506228|-43.26473143|0.245989948|-19.85450535|53.85026982|0.8111805740000001|-1.131332331|-18.15211073|49.97858532|-17.30589257|49.66367051|0.479931934|1974.583878|346.0207917|-519.1767771000001|511.3769101|0.188819426|0.922825231|4051.712713|-238.2540642|21.3342049|0.014630084|640.0261471|243.4287716|0.0|0.0|0.0|0.0|3.02|14.0|3.64|75.5|74.11|0.0|2.0|3.0|-4.23|20.0|4.0|-5.94|287.31|1.0|3.1|-3.82|17.0|0.000152|0.0436|2.98|0.0|0.0137|-0.06796|3.7374|4.61|765.69|331.74|0.4493|331.74|365.74|0.69613|0.69613|-1276.751174|0.4493|-0.14851|7.0422|-0.2164699999999999|0.01667985|9.2439|19.0|7.7212|7.7212
13b_a5|1|0|2.948625157|0.0|0|7.153833802|1|1.338814635|0.0|-0.142746146|-0.004573365|0.011339656|0.02468599|-0.006314305|-0.251535058|0.0064510459999999|-0.104404004|10.94530329|1|-0.010368468|2|0.6700114770000001|0.8184221559999999|0|0.831557236|-0.0694958329999999|-0.074710354|0.0138892369999999|-44.93506461|-48.3067033|0.168442764|-31.23446039|46.77748445|0.654076389|-1.344786367|-29.05440446|62.24204745|-17.04942469|53.91565742|0.455921715|2661.597781|537.6736515|-869.5206594|1177.571784|0.345923611|0.837970799|5678.380299|-562.2202871000001|26.06641209|0.021552174|1329.387016|638.8437454|1.0|1.0|1.0|1.0|2.97|23.0|4.06|74.77|119.8|0.0|1.0|5.0|-4.24|30.0|4.0|-6.58|395.46|1.0|3.26|-4.43|0.0225|3.75e-05|0.0148|3.01|0.0|1.72e-06|-0.05177|4.6733|4.66|1138.73|296.66|0.5528|265.31|503.93|0.32779|0.57482|-1275.806761|0.3064|-0.17274|3.5881|-0.22451|0.035153|4.7964|0.11|6.9586|6.9586
3_a47|0|0|0.0|0.0|0|0.0|0|1.304465159|0.0|0.013076203|-0.008740449|-0.130414103|0.03308642|-0.013350303|-0.367098851|-0.008828261|0.103847816|10.93671092|0|-0.021029826|2|0.900251233|0.780628097|1|0.854727481|-0.083129079|-0.0948001|0.008609292|-43.59237092|-49.71258151|0.145272519|-26.06896797|1.139378223|0.7849694909999999|-1.422001494|-22.85956767|58.22383723|-19.12022366|48.10703|0.403777634|2243.894237|448.2137648|-745.6887227000001|1280.146703|0.2150305089999999|0.67722658|5022.029588|-391.0345195|24.35791949|0.016230658|949.95886|418.022895|1.0|1.0|1.0|2.0|2.59|22.0|5.4|58.04|101.55|0.0|1.0|3.0|-5.54|25.0|3.0|-5.16|347.8|1.0|4.02|-5.35|0.000995|4.49e-06|0.00156|4.6|0.0|1.33e-06|-0.05717|5.6998|4.12|941.44|332.54|0.2342|217.52|402.58|0.52977|0.69138|-1469.969304|0.2182|-0.15473|4.0226|-0.2119|0.03619487|5.3274|316.0|6.5|6.5
13_a15|0|0|0.0|0.0|0|0.0|1|1.4356889940000002|0.0|-0.139434143|-0.006348913|-0.031457366|0.029206349|-0.006938727|-0.393632585|0.001806571|-0.031047852|10.95980212|0|-0.010882979|2|0.843715005|0.7784213259999999|0|0.8854875790000001|-0.068526782|-0.098053528|0.016196467|-43.2365883|-61.86632281|0.114512421|-39.03420883|0.0|0.755283433|-1.961070565|-27.279882500000003|72.41636305|-21.33321476|53.45565817|0.482317225|3028.485145|558.6934137000001|-1237.326456|3581.589629|0.244716567|0.931684902|7196.400881999999|-780.6841766|28.24531009|0.01672103|1638.227985|830.7967967000001|1.0|0.0|0.0|1.0|4.13|24.0|6.69|59.51|138.24|0.0|1.0|6.0|-6.32|34.0|4.0|-5.26|448.52|0.0|4.61|-6.1|0.000214|7.970000000000001e-07|0.000357|5.32|0.0|5.7e-07|-0.03946|3942.0|5.04|1231.11|482.03|208.0|314.52|549.33|0.63827|0.70626|-1450.399387|0.0003|-0.11283|3.5479|-0.15229|0.02844037|6.0429|6.0|8.2218|8.2218
47o_a18|0|0|0.0|0.0|0|7.03438793|1|1.251177005|0.0|0.052875948|-0.006476544|-0.055408687|0.037484277|-0.006238734|-0.4339284229999999|-0.00046896|0.011121222|10.94702017|0|-0.009467295|0|0.7452092359999999|0.781148177|0|0.806872998|-0.077288013|-0.088436375|0.008692675|-56.13142962|-64.2280736|0.193127002|-46.6464782|82.54478365|0.872753077|-2.210909375|-40.76618466|70.23090572|-25.08909125|62.44459815|0.493146875|2857.120021|586.0020642999999|-1605.70184|1393.529823|0.127246923|0.972958142|6462.6049570000005|-1166.161955|28.74706708|0.008265369|1839.812293|931.8364349|1.0|1.0|1.0|3.0|4.17|18.0|3.0|85.29|139.63|0.0|1.0|9.0|-5.66|34.0|3.0|-6.12|454.56|0.0|2.76|-5.08|0.000996|8.38e-06|0.00381|4.16|0.0|1.93e-07|-0.0502|3.22|7.62|1352.29|385.04|0.5065|385.04|706.49|0.69248|0.69248|-1455.162559|0.5065|-0.13203|2.2316|-0.18223|0.02736851|2.8284|47.0|7.3279|7.3279
14y_a23|0|1|0.0|0.0|2|7.423568444|0|1.197960595|3.3149940630000003|0.0600764409999999|-0.005875443|-0.022719307|0.046678487|0.041892637|-0.2996475999999999|0.009174505|-0.051539811|10.31321795|2|0.07646106|2|0.719722236|0.8668730109999999|1|0.925252932|-0.057809342|-0.080613242|0.018804822|-39.9727336|-55.74067298|0.074747068|-38.54233552|82.29531392|0.78322549|-1.612264842|-27.63946733|67.16839951|-23.71943531|52.97547894|0.486730407|3096.562257|639.7735629|-1114.8134599999998|2336.815247|0.21677451|0.948293868|7320.809595999999|-770.8467102999999|30.28429949|0.016527|1423.362076|665.6233736|0.0|0.0|1.0|1.0|3.41|26.0|5.32|105.02|130.3|0.0|1.0|5.0|-6.77|32.0|4.0|-5.8|480.37|0.0|4.45|-6.13|8.18e-05|7.37e-07|0.000354|4.83|0.0|1.29e-06|-0.08374|3.6413|4.73|1217.48|340.49|444.0|340.49|585.2|0.61338|0.61338|-2548.8917260000003|444.0|-0.14942|4.8799|-0.2331599999999999|0.01307741|6.5205|4.0|8.4225|8.4225
6e_a40|0|0|0.0|0.0|1|8.421342866|2|0.604892975|1.75595616|0.128035402|-0.0148450439999999|-0.074872854|0.039160494|-0.15110197|-0.69771706|-0.0026177839999999|0.103594243|10.30179954|2|-0.276969278|0|0.685858263|0.8988141140000001|1|0.74620476|-0.107312598|-0.1164147119999999|0.015875595|-70.52033811|-76.50178121|0.25379524|-50.27304895|35.33106374|0.866991176|-2.095464821|-46.34235117|84.95203628|-32.02400144|80.95296505|0.441911406|3075.060648|490.3675161000001|-1377.032062|3854.417113|0.133008824|0.791830204|7585.605268000001|-904.9148811|36.93694043|0.012858969|1588.2884390000002|587.7345677999999|0.0|0.0|1.0|1.0|3.98|14.0|3.72|173.43|125.15|1.0|2.0|5.0|-7.76|30.0|5.0|-6.09|476.98|0.0|3.68|-5.58|8.31e-06|2.6e-06|0.00124|4.4|1.0|0.0112|-0.09682|2.9549|8.35|1149.77|419.59|0.3625|419.59|537.07|0.67187|0.67187|-2830.986514|0.3625|-0.1195799999999999|8.3311|-0.2164|0.03482243|11.5248|18.0|7.7447|7.7447
25c_a34|0|0|0.0|0.0|1|7.412764017000001|2|1.377881974|1.958290974|0.024837617|-0.014384932|-0.047513652|0.037424242|-0.16034464|-0.834326082|-0.002827527|-0.056443595|10.95957635|1|-0.250299211|1|0.809687672|0.844690266|0|0.683231623|-0.088513496|-0.113392997|0.043815478|-59.0359041|-75.6298008|0.316768377|-50.44285726|93.28638171|0.537428437|-1.7008949569999998|-39.37521522|100.6665476|-21.008278|88.25954175|0.4356106729999999|2884.104654|455.6954382|-1134.447012|2439.174137|0.4625715629999999|0.77182656|6306.980593|-756.6428589|39.09037289|0.037538004|2110.880136|648.0187526000001|1.0|1.0|1.0|1.0|3.64|17.0|1.98|90.74|116.0|0.0|2.0|6.0|-2.81|31.0|6.0|-7.95|421.45|0.0|1.93|-3.28|659.0|0.000523|0.22|1.3|0.0|0.0008289999999999|-0.03272|4.2095|4.32|1180.85|294.54|0.2239999999999999|294.54|561.29|0.69247|0.69247|-1426.421463|0.2239999999999999|-0.17424|7.12|-0.2069599999999999|0.03817361|9.8087|1.78|5.7496|5.7496
15_a4|0|0|0.0|0.0|1|7.535296702|1|1.399867493|1.956386054|-0.159419214|-0.001986535|-0.061469545|0.044357639|0.0432718859999999|-0.077474847|0.009823083|-0.1979518539999999|10.94611612|1|0.097046535|1|0.5118792910000001|0.8347553529999999|0|0.867716376|-0.062151785|-0.073738544|0.010893057|-29.80513879|-35.36161572|0.132283624|-16.95780525|86.01453643|0.8438913020000001|-1.106078158|-14.29317436|40.03406565|-14.73400655|35.02894809|0.437696617|1973.978183|416.1168833|-530.4242358|1495.715718|0.156108698|0.7783994009999999|4134.603400999999|-254.3670787|17.45960235|0.009743323|628.5456843999999|324.5687005|0.0|1.0|0.0|0.0|3.28|17.0|4.4|30.71|85.06|0.0|1.0|2.0|-3.82|22.0|3.0|-5.6|291.32|1.0|3.61|-4.28|0.0443|5.19e-05|0.0151|3.49|0.0|0.000235|-0.03539|4.5048|3.8|848.47|294.16|0.1996|275.22|396.58|0.4778699999999999|0.56413|-958.147682|0.0969999999999999|-0.17373|2.1603|-0.2091199999999999|0.018092091|3.0091|175.0|6757.0|6757.0
4e_a49|0|0|0.0|0.0|1|7.535296702|1|1.343847746|2.085628989|-0.076526919|-0.006602016|-0.074495823|0.036555556|-0.080255074|-0.3631108529999999|-1.8100000000000003e-05|-0.053787795|10.92777282|1|-0.130491035|2|0.7541604690000001|0.856023531|1|0.757062331|-0.09422276|-0.087866673|0.017142176|-57.79309816|-53.89448633|0.242937669|-33.05708028|60.11195021|0.650328475|-1.493733437|-35.44835874|68.38360061|-17.96482878|68.30753733|0.471635821|2675.626006|464.3567821|-916.2062675|1647.641653|0.349671525|0.892633982|5950.361470000001|-561.9703647000001|27.6242383|0.023622273|1408.836153|620.5697596|1.0|1.0|1.0|2.0|3.35|21.0|2.83|92.93|114.08|0.0|1.0|6.0|-3.28|30.0|5.0|-7.52|399.45|0.0|2.42|-3.52|211.0|0.000305|122.0|1.71|0.0|1.74e-05|-0.06461|5.7301|3.34|1128.64|327.34|0.2273|216.37|504.63|0.4078199999999999|0.68043|-1312.924353|0.0789|-0.1585099999999999|3.9718|-0.2231199999999999|0.04133034|4.8707|34.0|7.4685|7.4685
19_a3|1|0|2.917217813|0.0|0|6.605297921|0|1.4316666480000002|0.0|-0.206312209|-0.003417504|-0.030657|0.0386379929999999|-0.008897473|-0.129865138|0.006821053|0.156485495|10.96959256|1|-0.015805561|3|0.718266758|0.8264237520000001|1|0.853017902|-0.067674689|-0.087730634|0.0116401719999999|-31.50932639|-40.8473715|0.146982098|-19.01853079|0.0|0.75798185|-1.140498238|-14.67073822|48.55416845|-15.17188084|36.92898885|0.476813896|2000.66399|397.1650228|-531.0158295|869.7868956|0.24201815|0.911365749|4138.413977|-247.2409002|20.01615321|0.016552404|700.5653624|314.0966684|1.0|1.0|1.0|1.0|2.81|21.0|3.39|67.35|85.32|0.0|1.0|2.0|-3.24|22.0|4.0|-6.5|287.32|1.0|2.45|-3.58|166.0|0.000266|0.0764|2.19|0.0|1.7800000000000002e-05|-0.05757|3945.0|2.43|832.23|314.28|0.3006|314.28|362.92|0.67351|0.67351|-929.14689|0.3006|-0.16303|2191.0|-0.2206|0.020989746|2.8758|23.0|7.6383|7.6383
47n_a18|0|0|0.0|0.0|0|7.03438793|1|1.251175627|0.0|0.0487694459999999|-0.007614955|-0.057061805|0.032169312|0.017491759|-0.609196374|0.000271488|-0.003276575|10.94702025|0|0.026244774|0|0.722991132|0.726888951|0|0.792429396|-0.079299822|-0.091185806|0.0106152389999999|-65.43887366|-75.24728669|0.207570604|-62.09468789|47.476904100000006|0.783921929|-2.4620167580000003|-54.00070374|86.44740177|-26.38541222|74.19865731|0.482565384|3349.802294|653.9193397999999|-2031.676741|2052.393389|0.216078071|0.932611327|7909.580851999999|-1676.556573|33.65821422|0.01357247|2591.682495|1306.125688|1.0|1.0|1.0|3.0|4.69|18.0|3.31|105.6|162.18|1.0|1.0|13.0|-6.02|40.0|4.0|-6.68|539.67|0.0|2.76|-5.24|0.000511|5.7e-06|0.00308|4.1|0.0|9.44e-08|-0.0525299999999999|3.2028|9.78|1565.37|387.11|0.5056|387.11|799.02|0.6914600000000001|0.6914600000000001|-1740.5852670000002|0.5056|-0.13138|2.4754|-0.18391|0.02839695|3.3568|64.0|7.1938|7.1938
4a_a49|0|0|0.0|0.0|1|7.535296702|1|1.343847746|2.085628989|-0.076526919|-0.006602016|-0.074495823|0.036555556|-0.080255074|-0.3631108529999999|-1.8100000000000003e-05|-0.053787795|10.92777282|1|-0.130491035|2|0.7541604690000001|0.856023531|1|0.7570436159999999|-0.094228246|-0.087863033|0.017143497|-57.79201133|-53.88810275|0.242956384|-33.05061877|60.11195021|0.650301539|-1.4936715669999998|-35.44496163|68.37721704|-17.96270092|68.30645049|0.4716382|2675.628678|464.3095353|-916.0977468|1647.61849|0.349698461|0.8926425020000001|5950.370212|-561.8605190000001|27.62211044|0.023624093|1408.727632|620.5697596|1.0|1.0|1.0|2.0|3.35|21.0|2.83|92.93|114.08|0.0|1.0|6.0|-3.28|30.0|5.0|-7.52|399.45|0.0|2.42|-3.52|211.0|0.000305|122.0|1.71|0.0|1.74e-05|-0.06461|4.7259|3.34|1128.22|327.34|0.1935|262.35|504.63|0.35731|0.68042|-1312.924353|0.0789|-0.1585099999999999|3.9716|-0.2231199999999999|0.04133192|4.8706|32.0|7.4949|7.4949
8d_a8|1|0|3.190160226|0.0|1|7.05012252|0|1.395657339|1.41693287|-0.12349902|-0.0111144189999999|-0.155313194|0.042323232|0.071729931|-0.633521883|-0.00267541|-0.077977198|10.94649761|1|0.111668404|1|0.76211539|0.804372443|0|0.6932924890000001|-0.1072746469999999|-0.103150936|0.028038295|-69.95878302|-67.26951954|0.306707511|-43.86958028|92.49576602|0.675359878|-2.063018716|-45.62337399|86.29065071|-24.91463687|88.24385833|0.483207744|2863.968296|452.1282556|-1345.390391|2093.380666|0.324640122|0.935013517|6596.888351|-877.3916055999999|36.89090464|0.029166961|1992.108851|682.0472537|0.0|1.0|1.0|2.0|3.61|23.0|3.32|112.23|121.1|0.0|1.0|6.0|-4.91|32.0|5.0|-6.87|430.46|0.0|3.0|-4.47|0.00533|3.4200000000000005e-05|0.0147|2.89|0.0|1.03e-05|-0.0600299999999999|4.6765|6.22|1185.65|376.13|0.3|265.12|572.21|0.62361|0.70165|-1447.2928029999998|0.1879|-0.13754|6.0111|-0.19757|0.03604461|7.5674|18.61|4.7303|4.7303
12p_a30|0|0|0.0|0.0|0|7.412764017000001|2|0.604984421|0.0|0.038440292|-0.0063403159999999|-0.031328052|0.040899471|-0.062956958|-0.3550576729999999|0.005613018|0.000321545|10.31162861|1|-0.109773594|1|0.8414737059999999|0.8371763179999999|0|0.843381594|-0.074356395|-0.094870978|0.015107947|-47.54197452|-60.65858419|0.156618406|-38.78387161|0.0|0.8199554720000001|-1.897419563|-30.39737673|68.98315679|-23.33022469|57.20168999|0.469983155|2783.628159|539.2411292|-1213.171684|2326.5244390000003|0.180044528|0.886732486|6166.812731|-775.6774321|28.4530386|0.0130197619999999|1479.558007|686.039456|0.0|1.0|0.0|1.0|4.76|17.0|2.93|81.65|132.24|0.0|1.0|5.0|-5.66|30.0|4.0|-5.81|412.51|0.0|2.91|-5.15|0.0009119999999999|7.05e-06|0.00291|4.23|0.0|4.02e-05|-0.05169|5.1922|4.14|1167.16|354.69|0.1768|238.79|526.91|0.33929|0.68561|-1614.830085|0.1527|-0.14823|4.0456|-0.19992|0.03198743|4.6103|17.0|7.7721|7.7721
7a_a8|1|0|3.1730222510000003|0.0|1|7.535296702|1|1.4000287219999998|1.4494883790000002|-0.11821781|-0.010269971|-0.0407248439999999|0.041123188|-0.017706371|-0.482688615|0.000736369|0.004607684|10.94671402|1|-0.02923588|1|0.7168594159999999|0.831914523|0|0.718410375|-0.102174163|-0.101880506|0.035405618|-60.00793116|-59.83546383|0.281589625|-35.14198015|71.85980901|0.733884399|-1.833849114|-35.24327197|75.4573633|-25.04740346|80.80201312|0.477611327|2715.360649|421.9297638000001|-1077.038349|1702.719465|0.266115601|0.914283468|5907.9340090000005|-632.5556427|34.12990316|0.0265990589999999|1467.585836|488.0169522|0.0|1.0|1.0|1.0|3.34|23.0|3.49|92.93|105.83|0.0|1.0|3.0|-4.86|29.0|5.0|-6.33|382.37|0.0|3.15|-4.64|0.00522|2.29e-05|0.00874|3.24|0.0|2.05e-05|-0.07616|4.5808|5.2|1031.61|403.8|315.0|270.66|494.48|0.61257|0.70367|-1291.10235|0.1575|-0.12889|9.9646|-0.20505|0.0269461|12.8748|24.73|4.6068|4.6068
