molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|nARing|MATS2c|AATSC1c|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PPSA3|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|BBB|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|pIC50
24_a20|0.0|0|0|0|0.0|1|0|0|-0.217098257|-0.001547029|2|0.03625|2.041494094|-0.083539572|0.009265667|-0.060940703|10.93106245|1|0.008780074|-0.036258691|-0.060582944|-0.188335708|2|0.616352201|0.74131936|0.070857143|-0.07179846|0.802353442|0.607038752|1|-0.067869875|8.085691548|30.27049276|-0.02714795|-27.02262995|5.102023479|406.1522673|0.771032243|-1.357397496|-24.46164548|51.30386873|-17.13019562|46.85253003|0.457794721|1961.887639|0.228967757|6.852820269|12.63879297|6109.1040920000005|144.47729840000002|-540.4525990000001|22.21722343|0.013436544|-342.0394805|1110.861171|664.4562602999999|8.478379683|1.0|1.0|1.0|1.0|0.0|3.4|3.21|27.0|-9.32|4.76|80.28|1.86|2.0|0.0|119.42|0.0|1.0|-4.89|31.0|402.45|0.0|0.0|0.00519|0.00469|3.52|0.0|1.94e-07|-0.06748|5.3396|3.74|3.5876|-1291.867578|685.66|1169.35|345.59|0.2495|551.25|0.46668|0.44916|0.0108|3.6107|-1291.706729|6.4976
14ab_a23|0.0|0|1|1|0.0|2|0|0|0.065530542|-0.0050415|2|0.04314059|0.7586471459999999|-0.287365522|0.013012022|0.010803172|10.313217300000002|2|0.012103325|-0.074579388|-0.13397874|-0.449699921|2|0.725358161|0.75434493|-0.085303124|-0.05990912|0.8072028240000001|0.693959193|1|-0.076243539|12.31039874|51.89838547|-0.031648261|-35.76253038|8.431109267|82.79560776|0.797837067|-1.677357849|-24.37891748|61.60741239|-21.67516705|47.90644969|0.4695727329999999|2332.352369|0.202162933|7.83369055|14.76864227|6654.62616|138.4567483|-786.7756682999999|27.16741043|0.013710439|-407.9635285|1439.872753|733.3886349999999|9.389964491|0.0|1.0|1.0|1.0|1.0|3.63|3.82|26.0|-8.16|4.4|105.02|3.45|2.0|1.0|130.22|0.0|1.0|-6.23|32.0|439.54|0.0|0.0|0.000259|0.00123|4.31|0.0|3.07e-06|-0.07146|3.6587|4.1|3.6587|-1708.543268|719.66|1238.27|338.88|0.3893|595.23|0.66532|0.66532|0.3893|5.9624|-1708.3414239999995|8.4012
14v_a23|0.0|0|1|1|-4.844615416|2|0|0|0.135774541|-0.014768546|2|0.047323232|0.636416435|-0.8122700340000001|-0.002390707|0.017156562|10.3132174|2|-0.0004039459999999|-0.0962526|-0.2952674819999999|-0.650246427|2|0.598213287|0.787538583|0.132882353|-0.022236834|0.845160857|0.575188253|1|-0.09479984|13.08518422|55.07999434|-0.042752869|-41.35406587|8.64241561|0.912757854|0.788328659|-2.180396311|-29.37629463|76.42257099|-28.23713101|57.56282152|0.457213347|2679.111279|0.211671341|7.743452839|14.26610767|8458.789829000001|139.8032821|-951.143515|35.81898321|0.020908947|-380.8667976|1826.768144|676.4530574|13.80980223|0.0|1.0|0.0|1.0|1.0|3.62|3.46|26.0|-7.95|3.97|114.25|3.04|2.0|1.0|126.97|0.0|1.0|-6.89|35.0|495.48|1.0|0.0|6.38e-05|0.0004969999999999|4.76|0.0|5.57e-06|-0.07843|3694.0|5.17|3694.0|-2042.161744|679.5|1206.02|335.64|348.0|533.44|0.6017100000000001|0.6017100000000001|348.0|4.5506|-2041.998955|8.4001
10_a4|0.0|0|0|0|0.0|1|1|1|-0.180140166|-0.002959121|2|0.038699764|2.149387791|-0.159792527|0.01107733|-0.122141977|10.92992762|1|0.011142889|-0.083887216|-0.132895939|-0.241683916|2|0.6990620390000001|0.810105167|-0.120059574|-0.150288496|0.861225169|0.6799081490000001|1|-0.079432495|8.440134933|45.34497624|-0.027007048|-26.60798798|4.884907049|64.26218096|0.744529685|-1.350352423|-17.08910641|54.09964719|-15.63090193|37.96666686|0.4858700179999999|2064.276654|0.255470315|5.759414166|11.20225306|5598.949417|147.85886159999998|-452.3357957|20.99433004|0.014040792|-283.0534799|1049.716502|594.7358385|8.126406226|1.0|1.0|1.0|1.0|0.0|3.46|3.38|21.0|-8.07|4.93|52.83|2.53|2.0|0.0|111.38|0.0|1.0|-4.66|28.0|370.45|0.0|1.0|0.00818|0.00519|3.85|0.0|3.15e-06|-0.04689|4.9674|3.34|3.6465|-1183.790554|619.99|1083.65|340.01|0.1792|470.02|0.4662|0.7038399999999999|0.0176|1.4517|-1183.602045|7.0555
47t_a18|0.0|0|0|0|0.0|0|1|1|0.1115820769999999|-0.0128248239999999|0|0.03672956|0.0|-0.756664598|-0.006573438|-0.011641394|10.94702032|0|-0.004985656|-0.068787175|-0.104274108|-0.600890268|0|0.704602886|0.750103977|0.005590928|-0.074774521|0.796935152|0.688453085|0|-0.103295568|9.415011332|219.5070758|-0.040580402|-46.27207168|6.301435212|78.43695402|0.804531523|-2.272502492|-53.39751484|80.00407742|-27.16032544|89.19655162|0.49779009|1326.524873|0.195468477|8.780037801|17.48280476|6603.597038|130.8263901|-1017.985577|33.75918118|0.016238994|-407.6438346000001|1890.514146|747.6927426|10.86870356|0.0|0.0|1.0|0.0|3.0|3.86|0.0|18.0|-7.51|2.6|110.56|1.64|2.0|1.0|129.21|0.0|1.0|-5.58|33.0|441.48|0.0|0.0|0.00117|0.0075299999999999|3.57|0.0|1.36e-05|-0.06822|3.1164|9.4|3.1164|-1470.836067|703.76|1218.95|397.84|0.5502|601.36|0.6895100000000001|0.6895100000000001|0.5502|7.7656|-1470.593659|6.1068
12ay_a36|0.0|1|0|0|0.0|0|2|2|-0.05976542|-0.006733838|2|0.043383838|0.0|-0.404030255|0.003676818|0.012286423|10.9463292|1|0.0045625|-0.101854847|-0.169994208|-0.438622276|1|0.902377067|0.78699829|-0.109624825|-0.111814717|0.833398429|0.857993338|0|-0.098945129|11.67851857|110.578217|-0.035337546|-41.57269314|7.569978132|8.677627506|0.778164805|-1.978902589|-31.1973159|74.29343346|-22.90568368|59.80790901|0.4530143439999999|3238.138932|0.221835195|6.466730436000001|11.82248632|6204.216872999999|143.79285900000002|-831.4538627999999|29.43551742|0.015670425|-360.6110621|1648.388976|729.1873176|10.15751916|0.0|0.0|1.0|0.0|2.0|4.96|0.0|17.0|-7.34|3.76|69.2|2.45|1.0|0.0|133.68|0.0|1.0|-4.54|31.0|409.49|0.0|1.0|0.0117|0.0102|3.41|0.0|1.86e-05|-0.0526|3.9348|3.79|3.6561|-1311.547668|674.33|1184.45|339.12|0.2939|532.22|0.6727|0.6914|0.1464|6.2579|-1311.343228|7.7447
12be_a36|0.0|1|0|0|0.0|0|2|2|-0.148313814|-0.009368126|2|0.043854875|0.0|-0.580823835|0.000482522|-0.08981965|10.95957887|1|0.002872872|-0.176729938|-0.289604649|-0.3825349939999999|1|0.884226781|0.812921349|0.132962547|0.00734728|0.858971809|0.8350231859999999|0|-0.108962668|23.42501577|140.1361326|-0.031937334|-52.44976141|16.25222352|0.0|0.5660743979999999|-1.852365352|-37.57129686|99.62604537|-22.15805062|77.57811183|0.4564615729999999|2552.721046|0.433925602|8.773114043|16.14074295|6592.168374|301.05661160000005|-891.645944|39.14335412|0.034632557|-91.68453892|2270.314539|766.4854363|24.02799032|0.0|0.0|1.0|1.0|2.0|4.96|0.0|17.0|-6.79|2.83|87.66|1.42|1.0|0.0|136.74|0.0|1.0|-4.11|33.0|441.49|0.0|0.0|0.0342|0.0315|2.62|0.0|7.11e-05|-0.0518799999999999|5.2184|2.68|3.3487|-1461.968283|739.48|1256.67|370.25|0.7034|594.44|0.40844|0.70465|0.0018|7.7861|-1461.747501|7.3565
16c_a32|0.0|1|1|1|0.0|0|0|0|0.191088217|-0.01639019|0|0.03995614|2.077479142|-0.770338913|-0.0064007569999999|-0.031087095|10.31100271|3|-0.00369116|-0.1260956869999999|-0.229450999|-0.697601261|0|0.809370315|0.8607827790000001|0.0482801729999999|-0.061904762|0.915639476|0.764217655|1|-0.119988297|15.38819548|135.41296|-0.038178095|-42.71426897|9.181311842|37.0285246|0.6846367059999999|-1.679836163|-31.62645048|86.97970500000001|-22.77882371|68.39521789|0.463897164|3143.196853|0.3153632939999999|6.313526111|11.77670717|5979.891916|188.1603823|-597.9997655000001|33.27140293|0.02579269|-220.3256617|1463.941729|513.9156315|15.38911619|0.0|1.0|1.0|1.0|2.0|3.5|3.08|19.0|-6.99|5.64|149.27|0.88|1.0|0.0|107.14|1.0|1.0|-6.04|27.0|399.49|1.0|0.0|0.000366|0.0155|3.23|0.0|4.13e-05|-0.0505|3.6264|4.12|3.6264|-1916.651132|639.66|1069.28|341.89|0.2955|508.43|0.70198|0.70198|0.2955|4.0551|-1916.536967|8.3468
17_a47|0.0|1|1|1|0.0|0|0|0|-0.181485377|-0.003764469|3|0.031802469|1.699575434|-0.2032813319999999|0.0042378929999999|0.075303828|10.9385382|1|0.004477366|-0.0184347939999999|-0.031505291|-0.3004189439999999|3|0.8007970640000001|0.75807704|-0.034891905|-0.010871607|0.814790949|0.7666613659999999|1|-0.082994667|7.87914003|90.10552332|-0.02987808|-30.88080199|4.806157636|0.0|0.7457517659999999|-1.493904005|-26.73455447|60.33408274|-18.22518223|51.70735256|0.46147021|1573.836082|0.2542482339999999|7.055517075|13.10144249|5854.9736840000005|155.087622|-555.8544359|24.43867122|0.0159160889999999|-299.80980739999995|1221.9335609999998|630.8611986000001|9.708576558|1.0|0.0|1.0|1.0|2.0|3.44|2.39|27.0|-10.1|5.12|79.38|2.26|2.0|0.0|119.83|0.0|0.0|-5.4|30.0|392.46|0.0|0.0|0.00156|0.0024|4.03|0.0|3.12e-08|-0.04873|4.2784|3.07|4.2784|-1254.943823|656.78|1127.7|289.79|0.4308|477.67|0.6844100000000001|0.6844100000000001|0.4308|3.4454|-1254.795084|8.3
34_a20|0.0|0|0|0|0.0|1|0|0|0.0305860929999999|-0.0057643419999999|2|0.0396875|1.991704333|-0.328567476|0.003085806|-0.046356705|10.93244905|1|0.003149352|0.0346782989999999|0.057022334|-0.4478820739999999|2|0.7071284179999999|0.74801464|-0.101401966|-0.090732503|0.80310139|0.690530489|1|-0.085459595|8.766605631000001|136.81360859999998|-0.032248904|-38.68669181|5.898367836|80.66541842|0.776414086|-1.709191893|-38.56497154|67.53437417|-21.69778179|66.0848174|0.462785432|2319.742032|0.223585914|7.940146766|14.7802149|6211.26199|150.43359099999998|-773.7338361000001|27.94614651|0.01491516|-371.9551262|1481.145765|712.1606951|10.03525243|1.0|1.0|1.0|1.0|1.0|3.43|2.92|27.0|-9.18|4.5|86.69|2.47|2.0|0.0|125.0|0.0|1.0|-5.14|32.0|419.48|0.0|0.0|0.00305|0.00399|3.63|0.0|2.780000000000001e-07|-0.05181|5.4132|4.97|3.8699|-1352.2836220000002|711.19|1205.64|320.38|0.4388|544.93|0.38519|0.68845|0.0766|3.8519|-1352.102407|7.2147
