molecula|Wavelength (HOMO-LUMO transition) (nm)|MATS1c|n6aHRing|DPSA4|FPSA5|DPSA1|AATSC1c|PNSA3|PPSA3|AATSC8d|Log Po/w WLOGP|pIC50
3a_a32|341.48|-0.491457345|0|22.27382254|0.0236593529999999|-159.4728294|-0.007588088|-37.30101542|10.39727075|0.125185185|4.12|8.5686
6d_a40|419.45|-0.624951805|0|37.23994308|0.01400787|-460.8148719|-0.015362927|-73.59650182|11.10859664|-0.205140551|3.63|8.9208
12d_a40|443.4|-0.552689736|0|24.39197636|0.01245259|-364.7778083|-0.008004393|-50.68561427|6.204226377|-0.166080871|5.02|7.7212
12bb_a36|326.27|-0.421445726|1|34.69260487|0.022984922|-281.5518699|-0.008239316|-58.19935506|14.16769093|-0.027636036|3.0|8.0
16_a3|384.94|-0.614173961|2|24.54661368|0.0143895839999999|-325.670405|-0.010031024|-53.7971544|6.027544549|-0.018884246|4.57|7.3768
18c_a22|333.1|-0.305378181|2|29.21094233|0.0215181079999999|-252.7737494|-0.003749104|-40.094865000000006|13.72808419|0.006275578|4.98|7585.0
14b_a50|304.07|-0.306633966|1|26.29763086|0.021820402|-180.03459850000002|-0.003935732|-33.02344264|14.70317076|-0.041169251|4.81|5.1818
47d_a18|398.94|-0.417659275|0|33.54943497|0.018506261|-323.1621908|-0.006087337|-52.14267013|12.45251265|0.016324953|3.21|8.0969
15d_a10|321.28|-0.1945202089999999|2|26.89020509|0.028735133|37.87296065|-0.002831383|-38.80896881|15.37766538|0.007032164|3.44|7.1612
12ac_a36|321.25|-0.433636165|1|34.22211444|0.020208014|-321.66684580000003|-0.007639626|-55.68500110000001|14.93372351|-0.0121300989999999|2.09|7.8861
41_a18|385.97|-0.5421253970000001|0|28.37200951|0.006896617|-552.8844577000001|-0.007587553|-69.94639412|6.547189171|0.0212700929999999|2.7|6433.0
4f_a49|334.21|-0.46436755|2|25.29924744|0.020905063|-237.0468572|-0.008903208|-55.88123394|9.007637695|0.0705130559999999|3.8|7.3979
16h_a32|342.67|-0.71364354|0|33.46862873|0.020432929|-299.7661014|-0.015656019|-51.56009529|13.31708433|-0.022634676|4.6|8.0655
3_a4|305.09|-0.133874898|2|16.63485592|0.015358792|-213.4321476|-0.001141383|-25.5405205|5.133610255|0.050638298|4.11|6983.0
4m_a46|285.18|-0.098201489|1|16.11061509|0.012232753|-245.828396|-0.000686578|-35.4774406|5.74716122|0.007901235|4.63|5.8901
12e_a30|356.82|-0.417089226|1|32.97692061|0.022696477|-274.7836441|-0.0077937519999999|-52.50202674|16.08914569|-0.055954785|2.63|7.9431
4g_a46|280.74|-0.2455749539999999|2|16.88825479|0.007803902|-375.0653627|-0.001702489|-32.64186634|4.598866947|-0.138341481|5.37|5.5615
1l_a5|283.95|-0.21108114|2|19.46541135|0.013054186|-304.3678822|-0.00183668|-38.79937717|4.43679678|-0.05139414|5.32|7.4949
3a_a49|320.04|-0.421478185|2|26.06512204|0.021141449|-222.2883651|-0.006374689|-55.30832478|9.491036042|0.00497674|2.81|7.1938
4e_a46|296.81|-0.514537262|2|29.54149986|0.0125621839999999|-447.9030518999999|-0.005995748|-63.39469142|8.098142567|-0.05803828|5.93|6.8125
12r_a30|353.12|-0.44083509|1|33.05530181|0.016970201|-374.9717191|-0.007553813|-58.32042638|12.36992712|-0.0646674999999999|3.74|7.5317
3c_a12|345.72|-0.545592465|1|24.36878988|0.02155815|-207.9738085|-0.009252756|-36.28720467|6.688634392000001|-0.056537396|2.25|7699.0
8g_a8|330.67|-0.508072694|0|38.56355928|0.017636126|-408.1554248|-0.014340328|-83.78686741|19.06725815|-0.03728368|3.89|5.3768
4_a47|332.4|-0.462831711|2|23.78275706|0.013656479|-333.62177030000004|-0.008204735|-42.46254967|4.22896799|0.011775922|5.71|7.5
