molecula|Wavelength (HOMO-LUMO transition) (nm)|MATS1c|n6aHRing|DPSA4|FPSA5|DPSA1|AATSC1c|PNSA3|PPSA3|AATSC8d|Log Po/w WLOGP|pIC50
3e_a32|348.38|-0.551661318|0|21.40099522|0.012891628|-296.6758413|-0.006553709|-39.56206964|6.69516884|-0.080731823|5.24|8.0862
6e_a31|374.76|-0.579941248|0|37.31693873|0.022744048|-317.6847132|-0.016012184|-74.99224589|19.89514173|-0.0462850729999999|4.0|6.4318
12aa_a36|318.73|-0.53315493|1|38.58180913|0.023386634|-316.3903377|-0.011588438|-72.94175494|16.1504726|-0.013898809|0.98|8.0458
5b_a50|308.25|-0.140506919|1|18.47246431|0.023005632|-90.17329003|-0.00141071|-20.90908698|6.200250541|-0.113846154|4.02|4.9126
18_a47|293.65|-0.322800033|3|25.98023687|0.017318402|-291.6032324|-0.004337918|-49.44908758|9.234746417|-0.016728205|6.0|8.6
7b_a8|380.32|-0.415894017|1|32.83731114|0.022982731|-304.2022276|-0.009659873|-60.75943432|19.86678613|-0.0254956129999999|3.8|4.8687
7g_a8|327.36|-0.418049442|0|34.10836993|0.018613449|-367.6690814|-0.01002363|-64.55562181|19.08352484|-0.027717137|4.66|4.6772
3d_a32|353.18|-0.539652902|0|21.54552351|0.0160633|-238.8142619|-0.006420365|-37.19367587|7.807299836|-0.0602430179999999|5.07|8.0915
40_a47|332.97|-0.2636225|3|25.43981292|0.029785575|-79.47051169|-0.004181351|-32.5926343|11.04737121|0.056362705|4.04|8.4
4b_a49|331.39|-0.390006034|2|29.27523192|0.02556165|-178.8869784|-0.0074627159999999|-56.45224362|14.84890147|0.02907541|3.26|7.1024
17a_a6|416.71|-0.5624663560000001|1|35.323795000000004|0.019808023|-356.769966|-0.012704951|-63.02857512|20.43213226|-0.060774312|4.32|7.6198
11a_a31|325.92|-0.563537536|0|39.01114987|0.031626337|-237.4612264|-0.02376325|-76.64827023|20.91187076|-0.019865299|2.94|6.7212
12ar_a36|322.13|-0.4194638229999999|1|33.4098581|0.0223636779999999|-279.0245523|-0.007046017|-54.80317647|15.19305207|-0.036002609|1.95|7.6021
2_a33|341.74|-0.593915758|0|27.70055258|0.019430318|-247.5908207|-0.009168933|-49.13901703|11.27469555|-0.05997501|4.63|8.2596
8_a47|337.87|-0.4497577479999999|2|25.35407034|0.012935553|-371.2177396|-0.007835945|-44.09728708|5.043798869|-0.14203855|6.77|7.3
3d_a12|328.71|-0.532019854|2|23.26659057|0.01611886|-281.8395348|-0.008186708|-34.34601551|5.717316796|-0.058191686|2.19|7.6021
14a_a10|326.1|-0.168193178|2|25.39690722|0.0219172279999999|-60.97724212|-0.002047597|-32.23041637|9.840503082|-0.00421565|3.36|7.1308
12o_a30|356.1|-0.465857798|1|29.91948755|0.0141914589999999|-402.9878652|-0.0068750669999999|-49.48891079|9.948252054|-0.087019298|3.27|7.8097
3_a27|312.93|-0.479874452|2|22.79740761|0.018747239|-242.1936891|-0.00648099|-31.82136336|9.960129259|0.024154412|2.94|8.3979
11b_a31|322.57|-0.564706551|0|37.09261324|0.0314298879999999|-189.0151528|-0.01950528|-80.0942166|21.02499452|-0.046362952|3.25|6.2757
20_a4|306.74|-0.211751813|1|20.4281979|0.024334176|-138.2237887|-0.003103385|-29.16642156|11.03865532|-0.059498265|3.54|6.1898
12az_a36|343.5|-0.387734368|1|40.17530387|0.034594361|-117.53490990000002|-0.009570959|-50.28669997|24.36575918|-0.012800556|1.9|7.2366
16c_a32|341.89|-0.697601261|0|33.27140293|0.02579269|-220.3256617|-0.01639019|-53.00702241|15.38819548|-0.036931818|4.21|8.3468
12c_a31|323.48|-0.54466023|0|33.81868912|0.023556702|-230.6429907|-0.013026643|-66.41224264|19.38414321|-0.056866055|3.7|6.4202
9h_a40|368.18|-0.503000695|0|23.78085181|0.011321157|-364.1454816|-0.009041931|-46.04148264|6.199629554|-185.0|4.44|5.4001
9r_a24|289.16|-0.3018627239999999|3|28.13932796|0.02357068|-154.486433|-0.004640179|-41.49802275|10.4302588|-0.043274854|3.93|7.9586
1j_a5|300.89|-0.2470489089999999|2|23.74961767|0.026739895|-125.1415813|-0.003981454|-39.64241895|10.57633738|-0.032333695|4.21|7.6198
13d_a6|341.57|-0.49314765|1|35.13035671|0.018542644|-366.9322097|-0.010665225|-63.04181168|20.96853949|-0.10528143|4.57|6.4437
14n_a23|362.35|-0.404569286|2|31.80611809|0.0242495529999999|-252.5011125|-0.0068536419999999|-39.82324087|18.26553926|-0.059870135|4.03|9.2441
12f_a36|339.27|-0.438198895|1|30.28188764|0.015685228|-369.879252|-0.006773586|-46.86832019|11.77610852|-0.06756661|2.45|7.9586
12i_a36|330.66|-0.608318386|1|38.2555363|0.022430221|-346.8168661|-0.016027043|-54.81607619|12.71877085|-0.009876543|4.04|7.9208
4n_a46|313.65|-0.369211845|0|19.76451658|0.0077084869999999|-399.1612105|-0.004696854|-56.80797266|4.629240193|-0.064683066|4.94|5.2845
12af_a36|383.86|-0.505160213|1|36.42391023|0.0259433429999999|-236.4517911|-0.00989889|-57.32748365|15.22358698|0.00146554|1.65|7.8239
46_a18|384.45|-0.448177615|0|26.56039822|0.013181412|-401.0164861|-0.005378956|-49.54738918|6.376289807000001|-0.052591109|3.3|6.7305
34_a20|320.38|-0.4478820739999999|2|27.94614651|0.01491516|-371.9551262|-0.0057643419999999|-57.31821177|8.766605631000001|-0.054458882|4.62|7.2147
12q_a36|320.77|-0.441747876|1|32.10617123|0.017949083|-347.4093916|-0.00761082|-49.18227989|12.00048565|-0.0433009009999999|2.54|8.2218
13i_a6|348.14|-0.560601136|1|39.72483975|0.019989461|-380.2354072|-0.0149593219999999|-80.75190740000001|20.90143854|-0.032549318|3.54|7.6778
1m_a5|281.89|-0.2274929269999999|2|20.67140479|0.0172594319999999|-251.2513491|-0.002410445|-37.380714700000006|4.7571353730000006|-0.011848312|4.85|7.3665
4e_a49|327.34|-0.403194204|2|27.6242383|0.023622273|-184.4129453|-0.006602016|-57.79309816|10.51443916|0.018857363|2.83|7.4685
16g_a32|342.86|-0.696926204|0|36.34043182|0.02276861|-274.67233460000006|-0.013775701|-57.77542509|17.659402|0.004735761|5.38|7.9586
4f_a46|272.61|-0.150189733|2|15.73210412|0.010341277|-281.9234274|-0.001035775|-30.29079362|4.738551282|-0.115631645|4.71|6.7375
47t_a18|397.84|-0.600890268|0|33.75918118|0.016238994|-407.6438346000001|-0.0128248239999999|-79.78154029|9.415011332|-0.04785474|2.93|6.1068
13f_a6|394.98|-0.466314952|2|30.56694343|0.0196449239999999|-296.4599736|-0.006930367|-49.2635105|12.46087045|-0.049928822|4.53|7.3768
12a_a40|400.39|-0.4764003679999999|0|20.24838026|0.010759845|-358.4254366|-0.00431394|-32.81611621|6.001293955|-0.226763788|5.43|5.7501
A8301_a51||-0.4354420879999999|2|24.89475504|0.009586697|-461.0082758|-0.00449765|-35.90764428|5.293803823|-0.1227504419999999|5.52|7.9208
10_a15|340.17|-0.391156537|2|25.50202895|0.0116026369999999|-384.2321709|-0.006872984|-30.73805622|6.101312009|0.010152859|6.3|8.1549
4q_a46|273.72|-0.125840557|2|18.92875482|0.018430997|-133.46593529999998|-0.001250008|-29.12008262|8.099124333999999|-0.081623022|4.09|6129.0
12q_a30|355.93|-0.636798458|1|38.03137394|0.016579022|-437.0000797|-0.015322396|-59.52322773|10.07866809|-0.021542639|4.78|7.4449
21_a47|316.53|-0.5406500129999999|2|29.64451905|0.028943339|-163.5167523|-0.010650348|-46.63227351|12.83540744|0.057225853|4.93|8.3
2_a27|297.87|-0.475677812|2|22.03636323|0.022639983|-169.6109632|-0.0065894809999999|-29.42169804|9.972342226|0.017751479|2.49|7.8861
14ac_a23|341.32|-0.562985112|2|41.10214358|0.019122137|-464.8074813999999|-0.011656739|-66.72452104|12.70997824|0.043387326|8.36|8.3851
18a_a30|357.18|-0.452377064|1|29.1318055|0.016012295|-361.7006453|-0.006673169|-45.11907802|10.62073502|-0.094932667|2.62|7.6108
9i_a24|299.06|-0.32068769|2|23.33121014|0.038195951|0.720157264|-0.005148312|-30.56504777|11.87389334|-0.00532872|2.72|7.0555
12u_a36|337.37|-0.438988314|1|30.82735404|0.015171583|-388.9026034|-0.006461999|-50.53295452|12.27663887|-0.010669561|3.01|7.7959
14_a4|293.02|-0.199315317|1|17.84270058|0.015779688|-244.1511936|-0.001935612|-29.91067393|5.933038407000001|0.117232935|4.09|5.8794
14q_a23|340.33|-0.573130981|2|35.04742005|0.01932289|-380.8178266000001|-0.0101981219999999|-61.51997721|14.81701129|-0.056324491|3.12|7.8069
7f_a10|341.96|-0.5846516820000001|2|24.71113795|0.012813716|-358.4725202|-0.011104817|-35.78096407|4.441786155|-0.0971900919999999|6.57|6.8508
9_a4|308.91|-0.172904817|2|17.76608225|0.010768243|-318.7769026|-0.00136737|-28.63837014|4.918284148|-0.0454860859999999|5.07|7.3188
3b_a32|348.81|-0.536470812|0|21.47528975|0.0154889019999999|-259.1375886|-0.007388108|-35.8437493|7.180211702|0.10614163|4.43|8.2366
8e_a46|274.96|-0.132524216|2|15.64268965|0.011830243|-253.8248986|-0.001015139|-27.16690715|4.876083942|-0.016857659|3.9|6.3915
27a_a34|300.73|-0.53047808|1|39.72721867|0.020552444|-371.4586403|-0.012620846|-74.78290605|18.62986903|-0.008138446|3.97|6.6198
18_a31|317.05|-0.604728055|0|30.40953623|0.01673486|-325.73954460000004|-0.013634202|-69.19879619|8.49194438|-0.096301845|3.48|6.8861
12au_a36|334.15|-0.515924985|1|38.21494522|0.023021031|-310.873098|-0.009897048|-64.86748076|15.51748637|-0.03802163|2.15|7.3279
11c_a31|321.61|-0.572548808|0|36.77740577|0.029155542|-206.2506659|-0.0184155389999999|-80.82023592|20.06220362|-0.085216451|3.64|6.8861
6g_a40|440.68|-0.588058458|0|46.56499428|0.020240097|-421.4621621|-0.022381557|-107.2113398|11.53799852|-0.251161616|2.48|7.3279
4g_a49|341.84|-0.311927917|4|39.71443299|0.023762615|-253.8168226|-0.003686314|-61.24875669|18.87757641|0.08591712|7.56|6.9747
12ab_a30|355.06|-0.384942092|1|37.1257096|0.030534507|-146.321375|-0.008528077|-58.23149599999999|22.23130678|0.01563558|2.63|7.7825
15_a47|305.43|-0.332654104|2|25.03780079|0.021370407|-226.4191275|-0.00516949|-45.1562696|8.917011222000001|0.0506476009999999|5.28|7.8
1e_a5|279.92|-0.201027861|2|19.38578369|0.0157106539999999|-257.0399733|-0.001975193|-35.30075748|4.461204261000001|-0.040441176|4.51|6719.0
21_a10|321.21|-0.4636733179999999|2|33.03306591|0.022638817|-288.401376|-0.009308076|-64.32920271|13.34776629|-0.003554514|5.6|5.3188
18_a20|350.69|-0.597167441|2|29.4862782|0.013457694|-413.7552685|-0.008841844|-61.73239771|7.195302872999999|-0.054458882|4.69|7.4685
7s_a46|288.81|-0.3638523629999999|1|19.38565529|0.01122216|-321.55195330000004|-0.005351046|-48.61321955|4.458665639|-0.020953253|3.9|5.7022
12aw_a36|319.85|-0.4191703539999999|1|35.33532702|0.02161528|-319.2802512|-0.008293935|-56.73814908|14.76755422|-0.034663063|3.0|8.0458
4p_a46|310.28|-0.369670745|0|19.44852199|0.006740305|-424.4519674|-0.004413243|-56.55658053|4.195717966|-0.120823841|5.25|6.4672
16j_a32|341.65|-0.704356423|0|35.04175088|0.021655546|-285.7717513|-0.0139074189999999|-54.71915795|16.63953228|0.021997616|5.24|8.0315
1n_a5|282.82|-0.393928416|2|27.88278228|0.028797525|-146.6611704|-0.007315978|-47.1725036|13.27640087|-0.047910067|3.99|7.5686
47s_a18|385.29|-0.46304239|0|27.77963709|0.010481057|-485.1995077|-0.0054038509999999|-53.18668656|6.394119331000001|-0.031515152|3.93|6.2104
32_a47|336.65|-0.2749014|2|29.28959351|0.022735861|-203.4434306|-0.003573735|-41.57905445|13.90468487|-0.044598914|5.07|7.0
2_a20 (SB-505124)|340.58|-0.520284161|1|25.30541763|0.011470204|-365.2740749|-0.010175551|-45.98170774|15.71798823|-0.137383329|4.47|6.7721
13_a4|297.09|-0.143303992|1|15.89399858|0.007566425|-355.01146810000006|-0.000990136|-24.48959182|4.282589756|-0.0963182119999999|4.15|5.3979
1i_a5|283.08|-0.403861432|2|26.20475553|0.0196689|-289.21443910000005|-0.006494891|-50.81756452|4.621144795|-0.003198529|6.37|7.6198
26_a20|318.77|-0.446730587|2|28.17896678|0.014879363|-384.4457279|-0.00578453|-58.21621279|8.604974082|-0.033102079|4.62|6.8827
12c_a30|351.37|-0.468696709|1|30.29927658|0.014695647|-399.7292126|-0.006900253|-50.12643041|10.36785909|-0.072247675|3.27|7.9914
47i_a18|383.61|-0.499939719|0|28.52393145|0.009393984|-502.6804099|-0.006882626|-54.34379065|6.787641686000001|-0.040514277|2.8|7.7212
18_a34|300.68|-0.493450778|1|33.52510165|0.027385869|-216.2496321|-0.014733513|-49.86847383|22.55015528|-0.136990511|3.15|5.6144
6e_a40|419.59|-0.6319354389999999|0|36.93694043|0.012858969|-482.3355765|-0.0148450439999999|-70.52033811|10.43262695|-0.205140551|3.72|7.7447
9d_a40|370.51|-0.4887998529999999|0|18.80327978|0.0087217999999999|-377.6610668|-0.003961493|-31.08478865|5.539796446|-0.137738587|5.09|6.9706
3t_a32|349.38|-0.496165036|0|24.88485469|0.017184783|-233.0294362|-0.006089333|-50.65701113|8.995863948|-0.086478322|5.42|8.0458
7_a4|307.05|-0.174410426|2|18.74189807|0.016800137|-219.4585767|-0.001729561|-32.72992462|7.402610584|0.04206117|4.67|6821.0
13e_a6|381.78|-0.462344944|2|30.46313253|0.019543118|-297.4895642|-0.006882528|-49.62570093|12.28502792|-0.037793156|4.53|7.9208
12m_a30|349.29|-0.5409445629999999|1|35.54574762|0.019500715|-371.4702679|-0.01047558|-57.96147772|18.55926485|-0.0547272029999999|2.48|7.5114
21_a34|401.11|-0.514364527|1|38.30514214|0.023973624|-306.332473|-0.012535886|-63.96857813|22.9240533|-0.009996155|3.23|5.4737
17b_a50|306.75|-0.237489143|1|23.22374317|0.010169967|-422.2639022|-0.002181823|-33.25475672|8.976922737999999|-0.15040528|4.92|6.9136
12h_a36|358.81|-0.410826531|1|35.1736357|0.026971557|-216.42159590000003|-0.0086750619999999|-48.17643878|18.27258858|-0.051080247|1.89|7.8539
14x_a23|335.63|-0.443633823|2|31.25095356|0.0219879679999999|-294.5294492|-0.0065692219999999|-46.97594633|14.64350681|-0.0229244|5.14|8.4949
12_a1|390.57|-0.487073772|1|31.95435864|0.024485753|-260.8074567|-0.011221829|-55.99493147|19.60151089|-0.051772288|4.41|5.5302
27_a47|325.21|-0.280944221|2|26.02898047|0.018969968|-256.9774086|-0.003631596|-40.35526807|10.56549582|0.013336016|5.07|5.6
7b_a10|340.37|-0.1874708719999999|2|18.26940272|0.012428175|-292.2491701|-0.001621737|-30.71062112|5.061217187|0.039221939|3.03|4.7033
17f_a50|304.9|-0.204651539|1|22.88344084|0.01617809|-271.9363523|-0.002205848|-29.10566644|10.09339793|-0.132773563|3.83|6.4001
12ah_a36|328.07|-0.444563583|1|32.04915319|0.017909528|-347.5133554|-0.007648622|-49.0084977|11.93961081|-0.050147748|2.54|7.9586
21c _a23|338.3|-0.596546056|2|34.24804117|0.013451712|-475.6090385|-0.009944003|-59.46209153|9.976937758|-0.039311241|3.42|7.1752
9h_a24|285.43|-0.207206943|2|21.70315707|0.031789952|-68.41568372|-0.002864393|-28.52000725|8.724425117000001|-0.002471577|2.72|7.1135
2_a3|371.73|-0.568019422|2|21.36736636|0.019143348|-213.9529255|-0.008422099|-49.07072207|5.601853871|0.036301827|4.01|5.4
11_a47|332.82|-0.451384505|3|26.96593732|0.0128657439999999|-387.9111844|-0.007767503|-50.01659041|5.184267117|0.046339015|6.68|7.4
47a_a18|388.09|-0.369841706|0|37.435301|0.014835962|-481.4854016|-0.006027559|-67.93456546|11.58086543|0.052572636|3.35|9.0
6_a15|328.9|-0.35221474|1|30.82854077|0.029449813|-95.65807914|-0.00951284|-41.14459066|17.20414198|-0.009025163|5.26|7.4559
4c_a46|302.21|-0.421467037|1|22.31552819|0.008510983|-430.6788754|-0.005085922|-40.22007179|8.799732282999999|-0.068256579|5.24|5.6972
12p_a30|354.69|-0.456474815|1|28.4530386|0.0130197619999999|-409.146112|-0.0063403159999999|-47.54197452|9.659715461|-0.128484994|2.93|7.7721
4d_a49|325.87|-0.417231241|2|26.44129877|0.022019681|-190.6195379|-0.006135653|-55.40321178|8.392883773|0.013451218|2.8|7.7447
8h_a8|332.16|-0.53822084|0|31.2477685|0.00764059|-491.8998117|-0.010324979|-72.14530885|6.58499063|0.007079485|4.72|4.9359
7e_a8|383.1|-0.341022848|0|28.86058693|0.018708212|-330.14031780000005|-0.006027596|-51.4880895|12.91806855|-0.0446343779999999|4.94|4.4547
12s_a36|329.71|-0.434472457|1|30.69639722|0.018222417|-328.1450742|-0.007059109|-46.58030248|12.55883918|-0.050363149|2.19|8.0458
8b_a50|296.58|-0.332085641|1|21.65129387|0.024280552|-164.5084115|-0.0045301379999999|-34.79187329|10.30543157|-0.0180233089999999|3.41|7.1675
21_a12|310.18|-0.522951134|2|24.07584081|0.017360942|-272.5639702|-0.008833375|-34.60932333|6.154473157000001|-0.0546514309999999|2.25|7.6576
8c_a31|322.11|-0.513257014|0|30.23944586|0.021986076|-246.1066271|-0.01275867|-64.57121646|16.3656112|-0.1029580369999999|3.13|6.0915
8g_a12|332.31|-0.532504083|1|26.15353224|0.007890315|-443.109365|-0.0084227909999999|-42.39297373|4.915102972|-0.040257632|2.07|5.43
25b_a34|293.43|-0.623853334|1|34.74652105|0.019067452|-328.1702779|-0.015658012|-64.37123451|18.82143547|-0.061390533|3.03|5.6819
8d_a8|376.13|-0.4385133129999999|1|36.89090464|0.029166961|-228.7206541|-0.0111144189999999|-69.95878302|18.28507531|-0.117111249|3.32|4.7303
IN1233_a59|350.69|-0.597167441|2|29.49046561|0.0134658889999999|-413.6607749|-0.008841844|-61.73167061|7.208329477|-0.054458882|4.69|7.4685
17a_a22|887.46|-0.3626566539999999|2|29.64221498|0.01931764|-288.28178110000005|-0.005149751|-49.30541729|9.597299109|-0.005724389|4.93|7.0862
17c_a50|306.65|-0.2256811219999999|1|26.25785813|0.0232952879999999|-95.97318605|-0.002676029|-35.70979598|14.91199042|-0.120904775|3.53|7.1612
19_a15|297.03|-0.571686169|1|26.54223128|0.005747326|-487.9183964|-0.009832375|-54.70558911|3.04716388|-0.032407407|4.96|7.1427
5_a47|334.35|-0.454659897|2|26.03444329|0.017501741|-297.3367046|-0.009295857|-46.33853208|5.246458665|0.045246333|5.96|7.7
27c_a34|316.4|-0.543350914|1|38.98592708|0.022975949|-320.4669239|-0.014036512|-76.84420762|20.51361454|-0.014364543|3.34|6.0969
8b_a8|375.8|-0.5058761820000001|1|37.20755791|0.022425382|-344.8810688|-0.013834266|-79.74587194|19.87542051|-0.03443232|3.03|5.2941
12a_a30|355.41|-0.454270252|1|29.00398472|0.014884556|-378.4495438|-0.006711725|-47.73588073|10.10177981|-0.094932667|2.62|7.9469
19_a34|297.18|-0.469568766|1|29.86894781|0.029554695|-161.90813300000002|-0.013066507|-56.30608209|19.74799697|-0.014196676|2.31|6.0044
3_a20 (SB-525334)|390.77|-0.500412918|2|21.06338405|0.0117802769999999|-321.8682802|-0.005492814|-34.52869143|6.965173618|-0.119584218|4.69|6.7905
4r_a46|274.25|-0.246070691|2|19.26963463|0.015225417|-227.7097083|-0.002826188|-42.06465252|6.071841742999999|-0.048758575|3.43|5.8499
13k_a6|349.49|-0.5627624379999999|1|39.55891914|0.017981419|-412.5714301|-0.014257799|-82.8774254|20.6185734|-0.072504783|3.8|7.3372
6_a27|299.55|-0.541168953|2|22.12343713|0.01635203|-272.1086175|-0.007874167|-38.92545695|10.17466399|0.081320966|2.79|9.0
12ba_a36|411.71|-0.410941182|1|35.76372225|0.023797439|-278.7665262|-0.0075620109999999|-56.0578808|16.57882744|-0.011949092|1.63|7.6778
16f_a32|341.82|-0.697693907|0|35.43109972|0.022983292|-269.5356315|-0.014558301|-56.53102601|16.90955989|-0.000291262|4.99|8041.0
25_a47|310.91|-0.545763902|2|30.43708613|0.029261935|-150.4037281|-0.010144825|-44.52300552|12.27779881|0.002716049|4.95|7.8
7h_a8|315.62|-0.382578949|0|26.49502512|0.00878112|-452.8739011|-0.00534208|-53.71230941|6.71377223|0.0260356679999999|5.49|4.9788
12av_a36|360.39|-0.507136551|1|36.48912989|0.025779468|-239.5042702|-0.009925128|-57.31621925|15.09249582|-0.039627578|1.65|7.4089
9g_a40|402.84|-0.383703998|0|22.20330888|0.018087202|-253.1335385|-0.0054957819999999|-33.47455057|11.25704374|-0.145879501|2.93|5.45
16d_a32|341.83|-0.68301199|0|34.53986301|0.0332953229999999|-135.1223777|-0.017249763|-53.23914436|18.67986534|-0.0517549079999999|3.82|8.1135
16_a47|303.84|-0.3379683979999999|2|25.44160067|0.0234786339999999|-205.1602001|-0.0056780519999999|-48.30620628|9.676588112|0.0506476009999999|5.19|9.0
22_a10|321.89|-0.356699217|2|30.87787063|0.026340252|-100.1982412|-0.005035102|-41.96631248|13.023146|-0.020475007|5.6|5.9586
20a_a10|323.62|-0.281099208|2|24.84485067|0.016540298|-303.7731758|-0.0034618129999999|-43.19189039|8.860330345|0.011011878|5.77|5.9208
12f_a31|323.68|-0.551471017|0|34.31214739|0.021559868|-260.7571603|-0.011835152|-68.14417693|19.26761061|-0.0164221939999999|4.48|6.8861
19b_a38|330.55|-0.443325632|1|33.99385836|0.020570275|-322.28833010000005|-0.008652352|-53.38447032|13.92699891|-0.0697981979999999|3.11|7.9172
4d_a46|280.09|-0.240143042|2|16.6147308|0.0086574759999999|-344.15403910000003|-0.001749881|-30.95621863|4.750218646|-0.076521434|5.11|6.2865
14_a47|312.53|-0.33240126|2|26.52746264|0.028057496|-166.1354667|-0.006070958|-47.18187618|10.1400648|0.0295267039999999|4.88|8.1
7l_a46|272.71|-0.1082221709999999|2|15.74158869|0.016330867|-168.5385796|-0.00090473|-27.30136533|5.5935102720000005|0.050638298|3.59|5.7122
12n_a30|355.67|-0.464204099|1|30.54968688|0.0153398069999999|-378.1217671|-0.007311044|-52.4873066|10.77573511|-0.087019298|3.18|7983.0
9a_a31|327.21|-0.542342338|0|37.77835579999999|0.0239033229999999|-305.16297060000005|-0.01391798|-64.75697831|21.33533299|-0.0007638889999999|4.02|6.8239
14b_a23|334.55|-0.4557487779999999|2|29.36910744|0.01779446|-355.71896410000005|-0.006248709|-41.01458464|13.26014776|-0.047410593|4.58|8.3536
11e_a5|302.14|-0.234433859|2|25.90670947|0.016933845|-293.6467698|-0.003208975|-41.64560703|7.986070113999999|-0.010236262|4.29|7.3979
12bd_a36|349.84|-0.436345273|1|29.96655829|0.015363883|-372.868829|-0.006695407|-46.92083391|11.7156452|-0.0288761339999999|2.5|7.7696
12f_a40|436.97|-0.397377446|0|24.83590915|0.0201199619999999|-255.7481174|-0.006206277|-37.02024147|11.90644165|-0.172869148|5.44|6.4202
14a_a5|298.75|-0.36152442|2|29.18606491|0.024411136|-175.53051609999997|-0.0053665219999999|-54.69145586|11.74431806|0.024793388|4.38|6.9508
12d_a31|322.23|-0.550805937|0|36.15974873|0.02571268|-196.2893506|-0.012448252|-66.58534562|21.06095035|-0.032270224|4.09|6.2924
19_a31|314.06|-0.615878515|0|27.21285095|0.0152483439999999|-323.5878356|-0.01001901|-53.25742146|8.596058678|-0.081641954|4.33|5.7447
12p_a36|323.11|-0.440709431|1|32.35623052|0.019344052|-326.2581567|-0.008017607|-51.98017377|12.71795723|-0.0433009009999999|2.44|8.0458
5_a27|302.48|-0.4982037479999999|2|21.59546513|0.016479312|-254.5156507|-0.0063562359999999|-29.50048722|8.936508815|-0.013448351|2.8|8.5229
10_a32|340.24|-0.690879647|0|34.62844557|0.025106509|-240.4628923|-0.016404762|-54.55170955|15.91131724|-0.047619048|4.21|8.1427
13l_a6|349.26|-0.564860904|1|39.65857501|0.018273048|-409.1314702|-0.0143011819999999|-82.24617981|20.90615311|-0.086595185|3.8|6.4145
13b_a50|301.22|-0.319215353|1|27.48170624|0.017277404|-286.5057775|-0.003876697|-36.81915624|14.22401427|-0.054716607|5.12|5.7375
13b_a6|341.35|-0.490758329|1|35.20276076|0.0203627189999999|-337.3706117|-0.011206134|-61.06841733|21.00828557|-0.064811009|4.32|6.7595
19a_a22|346.24|-0.496053375|2|38.29242013|0.025888799|-275.6435167|-0.009145283|-67.26339083|18.53458775|0.016501913|3.41|7.3188
9_a15|330.74|-0.344978312|1|31.09118831|0.03598612|-14.02896218|-0.009923019|-41.10356167|18.10574464|0.005692073|4.95|6.9706
12an_a36|327.38|-0.434819796|1|31.9040205|0.015771136|-383.1273396|-0.0070293469999999|-49.67568778|11.69727417|-0.031635802|2.61|7.3979
12be_a36|370.25|-0.3825349939999999|1|39.14335412|0.034632557|-91.68453892|-0.009368126|-54.15309606|23.42501577|0.00430921|1.9|7.3565
5d_a40|331.74|-0.399968083|0|21.3342049|0.014630084|-285.606135|-0.005662681|-39.55506228|10.10860823|0.029272031|3.64|7.7212
14m_a23|337.15|-0.527662006|2|34.33353583|0.017997351|-411.5129154|-0.008929306|-50.63012925|12.51396625|-0.050626415|6.19|8.5171
16a_a10|320.22|-0.1948324069999999|2|24.82496066|0.014796066|-314.4761648|-0.00230615|-36.408063|9.606840334|-0.0048530629999999|5.19|7.3279
12x_a30|355.95|-0.458718546|1|28.04441012|0.012044556|-428.8071293|-0.006008579|-47.48669555|9.745611551|-0.1066694919999999|3.23|7.6556
11a_a5|302.86|-0.254944026|2|25.28995251|0.014482324|-344.1971057|-0.002894726|-46.13206353|8.474559367000001|-0.02394636|6.55|7.0915
15b_a10|329.52|-0.195505087|2|24.65365821|0.017637846|-233.3911134|-0.002413027|-31.76194123|10.94939968|-0.058911857|4.44|7.0706
9_a10|332.32|-0.362724972|2|27.72306267|0.015893979|-327.9949188|-0.004530817|-40.90513782|9.815155744|-0.1048161059999999|3.68|6.7144
13j_a6|348.28|-0.562698347|1|39.56287079|0.0199201689999999|-379.7635712|-0.015004989|-80.33128667|20.78979124|-0.047513534|3.54|6.5817
19_a3|314.28|-0.270506095|3|20.01615321|0.016552404|-240.2326308|-0.003417504|-31.50932639|5.419662458|0.036226415|3.39|7.6383
4l_a46|278.36|-0.3888343979999999|1|19.25417715|0.006130523|-433.8429998|-0.004736212|-51.45056667|3.721888783|-0.161358058|5.02|7.0088
18c_a30|355.78|-0.562807327|1|36.16826708|0.018410634|-386.2200097|-0.0109670669999999|-71.31647561|13.07260474|-0.0351777|1.72|7.9208
3a_a12|332.36|-0.5274624179999999|1|21.87893986|0.015909241|-275.0354486|-0.007671441|-34.84701355|4.615711776|-0.0161799839999999|2.49|6.7122
9b_a36|321.74|-0.4060950789999999|1|28.98359786|0.015872498|-354.7193098|-0.0058276019999999|-46.58565720000001|10.68084402|-0.06502499|2.76|7.6778
2_a47|333.46|-0.444853768|2|23.34938746|0.016376351|-283.9460863|-0.008527649|-41.57671973|4.240150185|-0.013580367|4.75|6.2
17d_a50|306.09|-0.2294807539999999|1|23.53577933|0.013178555|-352.3903892|-0.002166617|-30.63468215|10.55016861|-0.125540541|4.29|7.1308
19a_a38|339.65|-0.4342819429999999|1|31.28824271|0.020873781|-292.6320538|-0.007986407|-51.36166266|13.23456869|-0.077535135|2.55|8.0106
12bg_a36|318.36|-0.4459167329999999|1|33.900544700000005|0.01946912|-340.0625449|-0.0076819|-51.74990566|13.44952052|-0.0206090089999999|3.19|7.8239
4k_a46|278.71|-0.3860697829999999|1|18.96506421|0.006892404|-403.1511415|-0.0049602|-49.65634024|3.801175594|-0.1032662209999999|4.77|7.0969
