molecula|NaaNH|n9FaHRing|Wavelength (max. Transition) (nm)|NaasN|Oscillator Force (HOMO-LUMO transition)|SRW09|Highest Occupied Molecular Orbital Energy|SRW07|n6HRing|n5aRing|GATS1pe|nFaHRing|PBF|RPSA|DPSA3|GeomPetitjeanIndex|GRAVp|WNSA4|DPSA2|CYP2C19 inhibitor|CYP3A4 inhibitor|Log Po/w Silicos-IT Log P|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|log P|Total Energy (water) (Hartree)|pIC50
14c_a22|0|0|216.15|1|0.0694|6.842683282|-0.22807|4.727387819|2|1|0.639264982|1|0.6160012029999999|0.133423541|66.26540251|0.462147828|3079.4894480000003|-15.66173379|1742.5109329999998|0.0|1.0|3.9|6.0|-6.96|445.48|4.79|-1460.602657|6.8153
16h_a32|1|1|342.67|0|0.2914|7.765993078999999|-0.2|5.733341277|0|3|0.7619492790000001|1|0.44308098|0.200808492|64.87717961|0.459750275|2709.44587|-15.6485794|1573.02555|1.0|1.0|5.86|7.0|-6.22|413.52|4.54|-1955.99895|8.0655
8b_a8|1|0|270.59|1|0.1515|7.535296702|-0.19921|5.4161004020000005|1|1|0.726912742|0|0.28604765|0.441645347|99.62129245|0.4835310479999999|2863.095568|-17.8141788|1823.170337|0.0|0.0|3.65|4.0|-6.87|414.41|6.41|-1407.0843|5.2941
4_a4|0|0|230.37|1|67.0|7.535296702|-0.21831|5.4161004020000005|2|1|0.636572383|1|0.456474074|0.0667239759999999|30.05764711|0.398500394|2221.6122010000004|-6.78950447|713.9097433|1.0|1.0|4.52|2.0|-5.79|326.39|3.24|-1029.960398|7.1079
11b_a5|1|0|275.55|0|0.2013|6.605297921|-0.21291|4.59511985|2|1|0.682032125|0|0.378154801|0.126268949|55.65456427|0.456131351|2434.505303|-10.5712171|1159.458633|1.0|1.0|5.38|6.0|-6.03|376.84|3.31|-1564.761898|7.7212
14m_a23|0|1|337.15|2|0.3335|7.423568444|-0.23555|5.351858133|2|2|0.5415996160000001|1|0.268552591|0.0741882|63.1440955|0.476833897|3255.247038|-19.00406438|1716.6767920000002|1.0|1.0|4.42|6.0|-6.06|479.48|4.2|-1966.968005|8.5171
12ay_a36|1|0|315.09|0|0.1464|7.412764017000001|-0.2031599999999999|5.351858133|2|1|0.857993338|0|0.419950383|0.170593592|59.80790901|0.4530143439999999|2766.899844|-14.84739041|1648.388976|1.0|0.0|3.76|5.0|-6.38|409.49|3.79|-1311.576473|7.7447
4q_a46|0|0|273.72|1|0.1432|7.832410927000001|-0.2207199999999999|5.587248657999999|2|1|0.703627625|0|0.258420996|0.086449996|37.21920695|0.487775649|2234.596293|-6.545879136|946.4377411|1.0|1.0|4.09|4.0|-6.54|348.44|2.57|-1108.751283|6129.0
22_a20|0|0|223.03|1|0.0015|6.842683282|-0.21856|4.727387819|2|1|0.607038752|1|0.425968568|0.053484974|47.00134116|0.477376285|2738.108259|-11.49852068|1145.712729|1.0|1.0|5.33|4.0|-5.58|401.46|4.07|-1275.84854|6.6364
12bc_a36|1|0|237.57|0|0.3478|7.412764017000001|-0.21499|5.351858133|2|1|0.771220556|0|0.326764696|0.165694502|64.13376391|0.467645467|2927.476132|-17.41308622|1679.392125|1.0|0.0|3.99|5.0|-6.26|450.32|4.42|-2152.134749|8.0969
12ab_a30|0|0|258.2|0|0.1511|7.412764017000001|-0.19672|5.351858133|2|1|0.794193541|0|0.4605456229999999|0.200246511|80.46280277|0.461207954|3118.431712|-15.78042667|2116.165447|1.0|1.0|3.94|7.0|-6.39|458.54|3.34|-1804.824495|7.7825
14b_a3|0|0|403.54|0|0.2276|6.823286122000001|-0.19618|4.727387819|3|1|0.8255789570000001|1|0.379746504|0.2135234869999999|50.77131401|0.487615651|2160.565755|-8.721397057|837.1723509999999|0.0|1.0|4.28|2.0|-6.42|319.38|2.22|-1327.514377|6.4202
