molecula|Wavelength (max. Transition) (nm)|Num. of Rotatable bonds|Contribuition (max. transition)|Heavy atom count|Zero Point Energy|Highest Occupied Molecular Orbital Energy|pIC50|RNCS|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Absorption Energy (max. Transition) (eV)|PNSA4|pIC50
9c_a31|322.12|8.0|0.7007399999999999|28.0|-1617.892493|-0.19224|6.3768|153.5739377|0.0277|0.0|3849.0|-22.85764436|6.3768
12c_a30|245.12|5.0|0.32037|30.0|-2035.141497|-0.2038599999999999|7.9914|82.07537640000001|0.00156|0.0|5.0582|-24.42511853|7.9914
16b_a23|772.92|6.0|0.95419|36.0|-1877.270284|-0.21093|7.0191|7.971529518|0.00106|0.0|1.6041|-23.2745413|7.0191
12bh_a36|319.46|5.0|0.69377|31.0|-1311.293683|-0.20168|7.8539|83.08294358|0.0102|0.0|3.8811|-23.6718811|7.8539
14q_a23|340.33|6.0|0.5949|33.0|-1798.3704079999998|-0.23013|7.8069|350.836102|0.0183|0.0|3.6431|-27.24379301|7.8069
1a_a18 (SB-431542)|324.5|4.0|0.55409|29.0|-1292.358966|-193.0|6.9031|160.410387|0.0218|0.0|3.8208|-27.46300805|6.9031
12a_a5|264.55|5.0|0.50831|29.0|-1201.750315|-0.21228|7.7212|13.74268646|0.00977|0.0|4.6865|-15.99663329|7.7212
3c_a49|240.36|4.0|0.32539|28.0|-1198.430306|-0.21913|7.0605|89.34479838|0.0505|0.0|5.1584|-14.4326528|7.0605
4_a47|214.85|3.0|0.45947|26.0|-1509.262887|-0.21076|7.5|96.20929041|0.0008359999999999|0.0|5.7708|-19.18327632|7.5
7c_a10|228.47|4.0|0.41348|29.0|-1258.744382|-0.20059|5.4191|87.99694927|0.00793|0.0|5.4267|-13.06063972|5.4191
12b_a30|245.19|5.0|0.3159099999999999|30.0|-1674.7778119999998|-0.20289|8.1543|86.84905288|0.00405|0.0|5.0567|-24.41577808|8.1543
12ap_a36|252.39|5.0|0.59563|31.0|-1324.95298|-0.21788|7.4949|82.56761031|0.0458|0.0|4.9124|-24.58703954|7.4949
18_a4|274.59|3.0|0.52475|23.0|-1033.349218|-0.20883|5.5817|203.5264327|0.0959|0.0|4.5152|-17.16400317|5.5817
3i_a32|340.43|3.0|0.70322|24.0|-1891.738614|-0.21278|8.2366|60.99385995|0.00251|0.0|3642.0|-23.52884474|8.2366
19_a3|314.28|2.0|0.67351|22.0|-929.14689|-0.2206|7.6383|161.5312186|0.0764|0.0|3945.0|-15.17188084|7.6383
26_a20|256.05|5.0|0.50878|32.0|-1352.036122|-0.21226|6.8827|299.8332395|0.00399|0.0|4.8421|-22.11735334|6.8827
12p_a36|232.12|5.0|0.30159|30.0|-1331.947748|-0.21131|8.0458|83.24921731|0.0278|0.0|5.3413|-24.56246081|8.0458
16d_a32|341.83|6.0|0.70217|26.0|-1877.185022|-0.20077|8.1135|115.2070109|0.0257|0.0|3.6271|-21.26791022|8.1135
16_a31|338.79|2.0|0.70108|21.0|-1308.113026|-0.1842|7.0458|130.369865|0.0762|0.0|3.6596|-23.60746376|7.0458
25c_a34|294.54|6.0|0.69247|31.0|-1426.421463|-0.2069599999999999|5.7496|183.6812574|0.22|0.0|4.2095|-21.008278|5.7496
1a_a5|265.45|3.0|0.44868|23.0|-951.178584|-0.2262699999999999|6.9706|83.60943679|109.0|0.0|4.6707|-13.93123008|6.9706
16_a4|274.85|2.0|0.51149|23.0|-1057.3808390000002|-0.2134|6.4647|13.51923899|0.0114|0.0|4511.0|-16.43666742|6.4647
4b_a49|267.08|6.0|0.4151899999999999|30.0|-1332.800229|-0.22366|7.1024|41.97072627|0.0527|0.0|4.6422|-18.89220999|7.1024
8d_a12|292.53|3.0|0.6661|27.0|-1138.086709|-0.20794|7.6021|90.34024296|0.0085799999999999|0.0|4.2383|-21.74879802|7.6021
14b_a25|228.59|6.0|0.34735|34.0|-1444.266358|-0.22149|7.6576|112.49583529999998|0.00261|0.0|5.4239|-22.67004596|7.6576
12ah_a36|237.25|5.0|0.40051|30.0|-1692.3109559999998|-0.2107099999999999|7.9586|82.70705743|0.0106|0.0|5.2259|-24.6427998|7.9586
7_a27|300.9|3.0|0.61278|26.0|-1122.249324|-0.2162099999999999|9.0|10.66993367|18.0|0.0|4.1205|-16.87088515|9.0
19l_a38|337.75|6.0|0.69413|32.0|-1409.309206|-0.2001|7.8633|133.9992534|0.00807|0.0|3.6709|-24.20618316|7.8633
16_a3|384.94|2.0|0.6944100000000001|23.0|-1371.250459|-0.2029|7.3768|248.6415425|0.0104|0.0|3.2208|-20.36587865|7.3768
47d_a18|398.94|12.0|0.69905|39.0|-1703.545539|-0.17405|8.0969|64.92967228|0.00276|1.0|3.1079|-23.42233034|8.0969
4d_a49|215.82|6.0|0.40593|30.0|-1293.049085|-0.2219699999999999|7.7447|85.21839288|0.18|0.0|5.7447|-17.31186002|7.7447
12bc_a36|237.57|5.0|0.35775|31.0|-2151.9100780000003|-0.21499|8.0969|83.35308244|0.00295|0.0|5.2189|-25.91194805|8.0969
13i_a6|338.12|6.0|0.7004600000000001|32.0|-1426.269916|-0.19454|7.6778|181.1128483|14.0|0.0|3.6668|-31.12829557|7.6778
22_a10|256.95|6.0|0.4483899999999999|36.0|-1543.893507|-0.2180699999999999|5.9586|75.58376652|0.0014|0.0|4.8251|-17.4251029|5.9586
7b_a8|269.85|3.0|0.44725|30.0|-1330.392289|-0.20472|4.8687|145.0783004|0.00454|0.0|4.5945|-24.75721974|4.8687
12ad_a36|216.26|7.0|0.27316|33.0|-1460.5468529999998|-0.21044|7.7696|94.12528108|0.0367|0.0|5733.0|-25.88878839|7.7696
16a_a23|763.49|5.0|0.96307|31.0|-1685.580443|-0.12645|7.4037|9.922436905|0.0208|0.0|1.6239|-16.6118386|7.4037
8j_a46|249.79|2.0|0.50703|24.0|-1414.349865|-0.22599|5.9108|7.723448142|0.00497|0.0|4.9636|-13.78596018|5.9108
5_a4|255.2|3.0|0.60407|26.0|-1069.051141|-0.21857|7.1487|13.96974087|0.0049299999999999|0.0|4.8582|-13.54166762|7.1487
7d_a10|212.18|2.0|0.32059|26.0|-1129.003694|-0.21965|6.0325|12.32220006|0.00654|0.0|5.8433|-13.12185056|6.0325
47s_a18|385.29|10.0|0.6926800000000001|36.0|-1533.737579|-0.18109|6.2104|10.92659868|0.0017|0.0|3218.0|-22.79238258|6.2104
17_a12|281.69|3.0|0.39539|24.0|-1366.638303|-0.21781|7.7959|69.36398419|0.0191|0.0|4.4014|-18.34174978|7.7959
36_a18|388.57|7.0|0.69372|35.0|-1493.266344|-0.18124|7.4949|110.8288932|0.00242|0.0|3.1908|-22.73046122|7.4949
21_a10|208.04|5.0|0.4226399999999999|34.0|-1485.216871|-0.2226|5.3188|240.7558768|0.0014|0.0|5.9596|-23.25880088|5.3188
31_a47|311.96|5.0|0.68276|29.0|-1735.225703|-0.20463|7.8|355.5321928|0.0166|0.0|3.9744|-23.31144534|7.8
9o_a24|210.85|6.0|0.41688|32.0|-1387.887227|-0.22353|6.3507|32.50178358|0.0167|0.0|5.8802|-19.05574986|6.3507
4a_a49|262.35|6.0|0.35731|30.0|-1312.924353|-0.2231199999999999|7.4949|313.22432680000003|122.0|0.0|4.7259|-17.96270092|7.4949
47a_a18|388.09|12.0|0.69508|39.0|2098.280307|-0.18291|9.0|100.7293848|0.00143|1.0|3.1947|-29.70938001|9.0
11_a15|263.2|6.0|0.58935|34.0|-1450.39211|-0.16011|6.1314|143.8088883|0.000357|0.0|4.7106|-23.02940065|6.1314
27b_a34|257.4|5.0|0.47412|31.0|-1349.811401|-0.20649|6.1871|150.83624440000003|0.00449|0.0|4.8168|-24.553278|6.1871
47k_a18|400.63|11.0|0.69823|38.0|-1664.2657390000002|-0.17135|7.5376|20.66242736|0.0023899999999999|1.0|3.0948|-23.89547793|7.5376
21b_a23|309.79|5.0|0.57848|33.0|-1761.230923|-0.23434|7.0691|41.6766724|0.00273|0.0|4.0023|-23.98906534|7.0691
8c_a12|284.38|3.0|0.53657|24.0|-1022.613451|-0.2227699999999999|7.3979|83.24714315|0.0598|0.0|4.3598|-19.51587692|7.3979
8a_a8|269.43|4.0|0.4927399999999999|30.0|-1367.539526|-0.19937|4.9454|170.9592896|0.0292|0.0|4.6017|-29.37948733|4.9454
17_a20|365.45|4.0|0.69839|31.0|-1291.692325|-0.21089|5.6478|66.47074027|0.00336|0.0|3.3926|-20.699942|5.6478
15d_a10|221.39|6.0|0.3685|33.0|-1430.733658|-0.20918|7.1612|67.59624856|0.0182|0.0|5.6004|-12.68949225|7.1612
4r_a46|274.25|3.0|0.69085|25.0|-1069.231407|-0.2207199999999999|5.8499|176.18445569999997|0.0933|0.0|4.5209|-13.77068362|5.8499
12aj_a36|237.06|5.0|0.4112|30.0|-1271.9998859999998|-0.20093|7.7696|82.34300699|0.02|0.0|5.2301|-23.62130319|7.7696
4e_a49|216.37|6.0|0.4078199999999999|30.0|-1312.924353|-0.2231199999999999|7.4685|313.22432680000003|122.0|0.0|5.7301|-17.96482878|7.4685
14a_a5|298.75|6.0|0.65789|32.0|-1390.29207|-0.2183699999999999|6.9508|134.62273080000003|0.0256|0.0|4.1501|-18.38089729|6.9508
4g_a46|280.74|3.0|0.6983199999999999|26.0|-1492.923098|-0.22587|5.5615|7.38470955|0.00153|0.0|4.4163|-13.96424081|5.5615
12_a4|255.16|4.0|0.63967|29.0|-1617.57796|-0.2312199999999999|5032.0|15.80191019|0.0188|0.0|4.8592|-15.38009964|5032.0
17f_a50|304.9|6.0|0.6573899999999999|29.0|-1218.966516|-0.20148|6.4001|6.382846132999999|0.0291|0.0|4.0664|-16.50175503|6.4001
8e_a12|236.25|3.0|0.38889|28.0|-1177.380602|-0.19338|6.2306|51.38557748|0.00744|0.0|5.247999999999999|-17.80522313|6.2306
4_a3|208.93|2.0|0.3809|23.0|-1355.192416|-0.20826|5.9|235.6982345|0.00264|0.0|5.9341|-18.76802992|5.9
24_a47|312.5|5.0|0.6835|28.0|-1695.93106|-0.2285|8.5|41.72753688|0.0121|0.0|3.9675|-18.28983173|8.5
18_a3|311.79|2.0|0.6671699999999999|21.0|-889.850598|-0.2218|7.5229|160.9514039|147.0|0.0|3.9765|-14.12792012|7.5229
11d_a5|280.66|7.0|0.66686|29.0|-1238.855022|-0.20529|7.8239|61.45330587|0.0198|0.0|4.4175|-18.63809379|7.8239
12p_a30|238.79|5.0|0.33929|30.0|-1614.830085|-0.19992|7.7721|75.21136863|0.00291|0.0|5.1922|-23.33022469|7.7721
16c_a32|341.89|7.0|0.70198|27.0|-1916.478107|-0.20047|8.3468|102.2022233|0.0155|0.0|3.6264|-22.77882371|8.3468
15_a4|275.22|2.0|0.4778699999999999|22.0|-958.147682|-0.2091199999999999|6757.0|12.70877085|0.0151|0.0|4.5048|-14.73400655|6757.0
25_a12|290.68|3.0|0.63284|24.0|-974.458128|-0.19655|7.6576|37.96125329|0.00175|0.0|4.2653|-17.31450713|7.6576
13n_a6|257.31|6.0|0.55028|33.0|-1423.451366|-0.20994|7.1249|90.97854097|0.0228|0.0|4.8185|-26.41600355|7.1249
15_a10|214.05|5.0|0.41458|28.0|-1603.851644|-0.20983|7.4815|33.67392858|0.0061|0.0|5.7922|-15.04246823|7.4815
14ae_a23|344.06|7.0|0.58144|34.0|-1858.675325|-0.21659|8.6038|111.4422142|0.0038799999999999|0.0|3.6036|-19.28284095|8.6038
3d_a49|239.15|4.0|0.3523699999999999|28.0|-1594.380348|-0.21913|5.6308|137.78978830000003|0.0142|0.0|5.1844|-20.93944137|5.6308
8_a1 (SB-202620)|364.11|4.0|0.7026600000000001|27.0|-1222.9606720000002|-0.2105199999999999|6.3979|208.2071465|0.00713|0.0|3.4052|-23.30777912|6.3979
IN1166_a11|248.68|5.0|0.4358399999999999|32.0|-1347.012407|-0.21098|7.9318|112.0066065|0.00688|0.0|4.9857|-21.84820685|7.9318
8c_a32|347.56|7.0|0.70135|27.0|-1880.537558|-0.18873|7.4318|126.6561213|0.0164|0.0|3.5673|-16.654735000000002|7.4318
4a_a46|272.77|2.0|0.6893600000000001|24.0|-994.028172|-0.21988|6.7423|6.579492736000001|0.0156|0.0|4.5454|-11.49234623|6.7423
1_a6 (SB-431542)|324.5|4.0|0.55256|29.0|-1292.358966|-193.0|5.8119|160.410387|0.0218|0.0|3.8208|-27.46300805|5.8119
14s_a23|336.66|5.0|0.60323|31.0|-2089.2914530000003|-0.22933|8.5482|30.34480575|0.00126|0.0|3.6828|-21.9751589|8.5482
12a_a32|346.71|7.0|0.7025600000000001|27.0|-1880.539078|-0.20049|7.6021|111.9735444|0.0126|0.0|3576.0|-19.23685026|7.6021
12j_a36|238.1|6.0|0.37116|31.0|-1670.184251|-0.20593|8.0|26.39145693|0.0132|0.0|5.2072|-24.51120192|8.0
3a_a32|341.48|2.0|0.70229|20.0|-1554.7020630000002|-0.20638|8.5686|87.55216606|0.0134|0.0|3.6308|-14.97491147|8.5686
8a_a12|317.17|3.0|0.6309100000000001|25.0|-1045.851982|-0.2194199999999999|6.7011|46.32568673|0.0203|0.0|3.9091|-17.52581709|6.7011
13b_a6|255.67|5.0|0.58026|31.0|-1349.837661|-0.20156|6.7595|154.7847961|0.00417|0.0|4.8494|-26.65671602|6.7595
12_a15|276.63|6.0|0.50595|30.0|-1280.810963|-0.19054|8.3979|72.18361893|0.000584|0.0|4.4819|-20.42981445|8.3979
18d_a30|247.35|5.0|0.4325|30.0|-1674.785879|-0.19673|7.6737|78.23108693|0.00405|0.0|5.0125|-23.99099587|7.6737
11_a27|370.92|2.0|0.6125|26.0|-1122.190727|-0.16205|8301.0|143.3238715|0.0326|0.0|3.3426|-18.14137056|8301.0
12aa_a30|238.78|7.0|0.30341|33.0|-1804.516348|-0.19687|8.1135|55.0567406|0.00456|0.0|5.1925|-23.59814969|8.1135
4i_a46|229.66|3.0|0.41877|26.0|-1092.473422|-0.20084|6.2132|67.51603424|0.00317|0.0|5.3987|-14.16067794|6.2132
11b_a31|322.57|5.0|0.70073|25.0|-1519.909742|-0.1951|6.2757|286.7721447|0.0637|0.0|3.8437|-24.84180719|6.2757
12k_a30|238.62|6.0|0.39318|31.0|-1690.031103|-0.19798|7.6144|106.8195439|0.0050799999999999|0.0|5.1958|-23.31944323|7.6144
12bg_a36|318.36|5.0|0.69395|31.0|-2151.914954|-0.21166|7.8239|107.3347739|0.00295|0.0|3.8944|-25.35312333|7.8239
20b_a10|208.89|5.0|0.3246|34.0|-1465.333983|-0.2217199999999999|5.9586|81.39248686|0.00364|0.0|5.9354|-21.58742537|5.9586
IN1233_a59|237.54|5.0|0.51285|32.0|-1352.073755|-0.20289|7.4685|318.5587088|0.0029|0.0|5.2194|-23.91074854|7.4685
18_a47|290.58|4.0|0.4659|31.0|-1353.979194|-0.22313|8.6|70.55642796|0.00176|0.0|4.2668|-19.03697822|8.6
1k_a5|262.56|3.0|0.53086|24.0|-1050.418953|-0.22504|7.3188|165.11680719999998|0.0157|0.0|4.7221|-15.40795854|7.3188
12s_a36|319.95|5.0|0.6843600000000001|30.0|-1272.00109|-0.20467|8.0458|110.6090028|0.02|0.0|3.8751|-23.15117315|8.0458
11c_a5|275.3|6.0|0.60118|28.0|-1218.278135|-0.21448|7.6021|31.61751609|0.0294|0.0|4.5035|-19.63310772|7.6021
14f_a23|213.09|6.0|0.60917|32.0|-1744.182678|-0.21743|8.6459|96.47955427|0.0042299999999999|0.0|5.8184|-21.26277654|8.6459
47i_a18|383.61|8.0|0.69175|33.0|-1415.875678|-0.18299|7.7212|72.81110823|0.00735|0.0|3.2321|-24.55535669|7.7212
13g_a6|207.09|6.0|0.38325|33.0|-1386.3020800000002|-0.20806|6.9245|68.57626488|0.0038|0.0|5.9869|-22.52633766|6.9245
12j_a30|238.56|5.0|0.3087|30.0|-1614.831741|-0.1987799999999999|8058.0|88.51817261|0.00291|0.0|5.1971|-23.39729904|8058.0
13d_a5 (GW788388)|269.0|6.0|0.42515|32.0|-1390.294368|-0.22841|7.7447|151.3669372|0.0192|0.0|4.6091|-19.30187193|7.7447
12a_a50|304.01|2.0|0.65267|24.0|-1006.498352|-0.20172|7.1249|7.457998037999999|45.0|0.0|4.0783|-12.00673599|7.1249
7a_a8|270.66|3.0|0.61257|29.0|-1291.10235|-0.20505|4.6068|145.3710976|0.00874|0.0|4.5808|-25.04740346|4.6068
4R4k_a46|234.09|2.0|0.54119|25.0|-1053.202129|-0.19529|7.0132|173.3171354|0.0049299999999999|0.0|5.2965|-16.19450581|7.0132
47c_a18|398.71|12.0|0.6983199999999999|38.0|-1664.201034|-0.17331|8.5229|67.68084951|0.00417|1.0|3.1096|-25.88035487|8.5229
19j_a38|205.41|5.0|0.30419|32.0|-1424.183388|-0.21629|8.1146|131.29876370000002|0.0322|0.0|6.0361|-26.09259418|8.1146
16_a15|297.1|6.0|0.6541100000000001|32.0|-1770.217907|-0.20953|7.6778|53.93878231|0.00274|0.0|4.1731|-26.98327637|7.6778
EW7203_a60|247.15|5.0|0.40883|31.0|-1667.78681|-0.20654|8.0334|80.48638339|0.0065|0.0|5.0166|-23.64750675|8.0334
40_a47|308.6|3.0|0.67615|25.0|-1122.9968210000002|-0.20317|8.4|54.11003524|0.0643|0.0|4.0176|-14.59371996|8.4
1_a1 (SKF-104365)|318.72|2.0|0.70081|21.0|-1278.971649|-0.19624|5.7959|6.658828587|0.0287|0.0|3.8901|-13.65596178|5.7959
12g_a31|323.3|7.0|0.70068|27.0|-1578.605452|-0.19241|6.9586|152.7424573|0.0627|0.0|3.8349|-23.98704875|6.9586
13k_a6|242.53|7.0|0.4547|33.0|-1465.557346|-0.1944|7.3372|183.1261118|0.0075599999999999|0.0|5112.0|-31.53366823|7.3372
1m_a5|265.61|3.0|0.4527899999999999|24.0|-1410.783167|-0.22857|7.3665|154.6334216|0.00607|0.0|4.6678|-15.26528941|7.3665
8k_a46|246.1|5.0|0.41618|34.0|-1844.970617|-0.20954|6.8327|104.0919365|0.00355|0.0|5.0379|-23.74966689|6.8327
3_a47|217.52|3.0|0.52977|25.0|-1469.969304|-0.2119|6.5|98.29790989|0.00156|0.0|5.6998|-19.12022366|6.5
5a_a40|326.96|3.0|0.69499|19.0|-1177.51016|-0.21644|7.0915|174.99981530000002|0.0574|0.0|3.7921|-16.10801287|7.0915
17a_a22|255.63|7.0|0.46268|33.0|-1407.8711|-0.21338|7.0862|286.3611391|0.00473|0.0|4.8502|-21.07439877|7.0862
6_a3|212.74|2.0|0.3369|23.0|-1731.602363|-0.21179|5.7501|236.2008316|0.00455|0.0|5.8279|-18.8247694|5.7501
12au_a36|241.65|7.0|0.58518|34.0|-1875.89525|-0.2087099999999999|7.3279|102.3999102|0.0897|0.0|5.1307|-27.36414058|7.3279
20a_a10|259.16|4.0|0.50193|33.0|-1388.897416|-0.2274199999999999|5.9208|66.52185003|0.0011|0.0|4.7841|-18.22250274|5.9208
12ab_a30|258.2|7.0|0.46561|33.0|-1804.523449|-0.19672|7.7825|119.79740259999998|0.00456|0.0|4.8018|-22.42218278|7.7825
4d_a46|280.09|2.0|0.69884|25.0|-1453.635434|-0.22603|6.2865|8.241078584|0.00275|0.0|4.4265|-13.51488667|6.2865
1n_a5|282.82|5.0|0.44786|27.0|-1179.018429|-0.23278|7.5686|63.58796786|0.0234|0.0|4.3838|-17.50346525|7.5686
12aa_a36|318.73|6.0|0.6931|32.0|-1401.389257|-0.20829|8.0458|132.3194611|152.0|0.0|3.8899|-28.21625599|8.0458
1e_a5|261.24|3.0|0.56258|24.0|-990.471803|-0.22291|6719.0|159.537038|0.0111|0.0|4746.0|-14.48881117|6719.0
13_a4|276.68|2.0|0.53815|22.0|-898.2009630000001|-0.20372|5.3979|11.85953992|0.0108|0.0|4.4811|-13.70920202|5.3979
16e_a32|342.37|8.0|0.7022|28.0|-1955.766505|-0.2005|8.1367|105.4021155|0.0074099999999999|0.0|3.6214|-24.05371573|8.1367
16g_a32|342.86|10.0|0.70222|30.0|-2034.342619|-0.19968|7.9586|90.88837862|0.00213|0.0|3.6161|-24.94161377|7.9586
10_a32|340.24|7.0|0.70228|27.0|-1916.460049|-0.2052199999999999|8.1427|57.97512956|0.0155|0.0|3.6441|-24.0541214|8.1427
9a_a40|263.42|2.0|0.47831|21.0|-1217.825264|-0.20303|6.6696|109.9916614|0.00243|0.0|4.7066|-15.54821024|6.6696
20_a4|239.45|3.0|0.5152|22.0|-934.103809|-0.19747|6.1898|63.27373076|0.0388|0.0|5.1778|-13.14728679|6.1898
10_a27|298.79|3.0|0.63894|25.0|-1082.956472|-0.21785|7.1612|6.0140309720000005|0.0394|0.0|4.1495|-16.5270506|7.1612
8g_a12|294.8|3.0|462.0|27.0|-1154.121362|-0.21633|5.43|84.95000993|0.0163|0.0|4.2057|-23.58177591|5.43
12i_a36|237.08|7.0|0.34255|34.0|-1644.954647|-0.20475|7.9208|108.3973956|4.0|0.0|5.2297|-29.42347522|7.9208
12d_a30|356.06|5.0|0.68608|30.0|-1614.831682|-0.1991|7.9508|85.1932288|0.00291|0.0|3.4821|-23.41646662|7.9508
22_a20|223.03|4.0|0.38233|31.0|-1275.598059|-0.21856|6.6364|9.022387025|0.0012|0.0|5.5591|-17.65860151|6.6364
