molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nARing|SaasN|MATS2c|AATSC1c|JGI4|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|nFaHRing|PNSA3|PNSA5|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA1|DPSA5|PNSA4|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA2|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
17_a20|1|0|3.445659565|0.0|0|0|0.0|-0.064380628|-0.005457467|0.0388043479999999|0.065447136|-0.28924577|0.038629586|10.94884838|-0.072863159|1|0.000922796|0.1134578219999999|-0.116922879|-0.202695123|-0.456415963|3|0.760575852|-0.131511077|-0.127696675|0.812578598|1|-41.75129828|-53.38406095|0.0879464559999999|57.67438055|-0.0315649079999999|-35.00871763|6.4647747870000005|0.75430388|64.39681425|-20.699942|598.1153253|2210.790304|-13.57480888|0.24569612|8.198616089|15.05121151|0.83582343|6012.640572|161.12498630000002|-665.1656349|1344.679757|11.012753300000002|0.0|1.0|1.0|3.5|27.0|-10.14|5.8|4.85|1.45|119.48|0.0|4.0|-5.36|31.0|5.0|-6.09|0.0|0.0|3.74|-5.08|0.0017699999999999|0.00336|3.75|0.0|2.9e-08|-0.0706799999999999|-1291.918735|673.68|1157.26|365.45|365.45|543.09|0.69839|0.2977|-0.14021|3.9703|-0.21089|0.03030655|2.25|5.6478|5.6478
4d_a49|0|0|0.0|0.0|1|1|2.097463308|-0.06085453|-0.006135653|0.036555556|-0.090862681|-0.343596561|-0.053327669|10.92777282|0.013451218|1|0.001356445|-0.151004418|0.000511959|0.000850823|-0.417231241|2|0.7745859279999999|-0.008564167|0.023137464|0.834151595|1|-55.40321178|-52.95392476|0.2473653539999999|152.3727245|-0.0281044679999999|-32.61868996|5.16986937|0.654728051|66.51766234|-17.31186002|463.6097566000001|1640.195062|-10.66380249|0.3452719489999999|7.998287218|15.09148245|0.8868392740000001|5915.214567|212.6814716|-554.5177292999999|1374.947536|13.56373757|0.0|1.0|1.0|3.38|21.0|-7.58|3.16|2.8|1.25|115.63|1.0|6.0|-3.13|30.0|5.0|-7.7|0.0|0.0|2.27|-3.35|296.0|0.18|1.45|0.0|1.05e-05|-0.06309|-1293.29417|668.09|1144.04|325.87|215.82|495.7|0.6782100000000001|0.0879|-0.15888|4.3005|-0.2219699999999999|0.0395418|18.0|7.7447|7.7447
13a_a30|0|0|0.0|0.0|0|2|0.0|0.113424769|-0.011002918|0.042560386|-0.036541822|-0.627166322|0.0317047379999999|10.31162842|-0.0351777|1|-0.002215642|-0.065043716|0.003429114|0.006103754|-0.5640209589999999|1|0.841060094|0.019603815|-0.058608635|0.885516463|0|-74.02777574|-76.60916637|0.303605444|204.9120824|-0.042832838|-51.70573895|8.456950359|0.799862466|88.22659517|-28.90911938|470.0167988|2520.165025|-19.5115996|0.2001375339999999|8.066980235|15.1104742|0.873126469|6675.344631|135.07860209999998|-1034.114779|1915.558478|11.6174288|1.0|1.0|0.0|4.76|17.0|-6.19|3.04|1.72|2.06|135.37|1.0|6.0|-5.01|32.0|5.0|-7.05|0.0|0.0|1.91|-4.3|0.00427|0.0221|2.74|0.0|0.000288|-0.0555|-1744.4457100000002|721.66|1211.54|351.35|245.34|541.59|0.6845600000000001|0.1603|-0.14953|0.7158|-0.20503|0.04590378|14.0|7.8665|7.8665
8g_a12|1|1|2.897921027|0.0|0|1|0.0|0.10205033|-0.0084227909999999|0.038347953|-0.038463841|-0.40429396|-0.094550033|10.95472263|-0.040257632|1|0.005405355|-0.068810076|0.068559367|0.122649613|-0.532504083|1|0.804158158|-0.04981165|-0.070405398|0.80546986|1|-42.39297373|-57.6443411|0.142374631|78.53214058|-0.042752517|-31.79592789|2.7111119089999995|0.90166696|61.99654413|-23.58177591|473.055878|1356.883205|-13.00742505|0.09833304|6.882798206|12.83559677|0.864880588|5327.736626|54.23932676|-572.326702|1150.7554189999998|4.352203029|0.0|1.0|1.0|4.07|21.0|-8.0|3.31|2.07|2.89|109.93|1.0|3.0|-4.38|27.0|5.0|-6.28|0.0|0.0|2.77|-4.34|0.0146|0.0163|3.06|0.0|3.53e-06|-0.06432|-1154.281986|590.93|989.66|332.31|294.8|418.41|0.55027|0.1601|-0.1520099999999999|2.9986|-0.21633|0.03954539|3715.0|5.43|5.43
5b_a50|0|1|0.0|0.0|2|1|4.190114953|-0.253064589|-0.00141071|0.034845679|-0.052494624|-0.062071259|-0.137595558|10.9325725|-0.113846154|2|0.012290091|-0.0873662269999999|-0.1052449509999999|-0.175158017|-0.140506919|1|0.693611382|0.019856551|-0.1866330389999999|0.855527513|1|-20.90908698|-31.07327358|0.041393519|21.02890062|-0.02140774|-15.78596849|3.149876031|0.5887490470000001|42.76068675|-10.87564575|486.9950914|1452.442728|-5.525088972000001|0.411250953|5.543302677000001|10.01036188|0.8058479690000001|4577.809819|208.925351|-221.0035589|738.8985723999999|11.68741316|1.0|1.0|1.0|3.37|20.0|-5.86|3.15|4.02|2.4|96.89|2.0|2.0|-3.48|24.0|2.0|-6.03|0.0|1.0|3.11|-4.19|105.0|0.0202|3.06|0.0|0.0004269999999999|-0.0256899999999999|-990.5849031|547.35|922.49|308.25|220.09|411.9|0.66968|0.1094|-0.16683|4.4181|-0.19252|0.02651535|12.23|4.9126|4.9126
4r_a46|0|0|0.0|-0.03033057|1|1|2.051582577|-0.173617329|-0.002826188|0.044728682|-0.15196733|-0.141309389|-0.1129698999999999|10.96363493|-0.048758575|1|0.0061041|-0.237647432|-0.055572881|-0.086905208|-0.246070691|2|0.7794598220000001|-0.077483502|-0.070397185|0.8549242340000001|0|-42.06465252|-43.14814202|0.152180218|80.72661483|-0.0259595379999999|-22.88867429|3.220912917|0.7146312779999999|51.22472631|-13.77068362|449.7405899|1451.6122289999998|-7.304896049|0.285368722|5.81085807|10.69131411|0.839885604|4775.760774|151.3787482|-343.3301143|905.6728276|8.076584289|0.0|1.0|1.0|3.82|17.0|-6.25|3.56|3.43|1.52|97.9|1.0|3.0|-3.09|25.0|4.0|-6.83|0.0|1.0|2.7|-3.55|271.0|0.0933|2.12|0.0|0.000188|-0.03073|-1069.419677|571.75|986.04|274.25|274.25|467.85|0.69085|0.1404|-0.18999|2.6630000000000003|-0.2207199999999999|0.02826942|1413.0|5.8499|5.8499
7e_a8|1|0|3.038052327|0.0|1|0|1.3496955309999998|-0.150447714|-0.006027596|0.043758865|-0.03633378|-0.289324602|-0.11032771|10.94332434|-0.0446343779999999|1|0.002669179|-0.075638618|0.034227147|0.07125309|-0.341022848|0|0.5897105770000001|-0.023521398|-0.072307692|0.790500031|0|-51.4880895|-53.04282692|0.170843962|102.177831|-0.037446454|-31.72369068|7.725998682999999|0.776001552|64.23177694|-22.39586026|495.8990914|2032.501296|-13.39444718|0.223998448|7.70387217|14.654025199999998|0.902163597|5808.479788000001|133.9683023|-602.7501229|1298.726412|11.18895001|1.0|0.0|0.0|3.2|23.0|-8.29|5.16|4.94|3.54|108.43|1.0|4.0|-5.75|29.0|4.0|-5.43|0.0|0.0|4.31|-5.41|0.000686|0.00149|4.54|0.0|1.95e-06|-0.0697|-1300.467069|622.23|1060.05|383.1|325.06|544.55|0.70177|0.1522|-0.13577|9.0006|-0.2054699999999999|0.02845071|35.1|4.4547|4.4547
4S4l_a46|0|0|0.0|0.171853072|1|1|2.155247543|-0.058870177|-0.004736212|0.049498645|-0.067419714|-0.255755434|-0.060895366|10.94631401|-0.161358058|1|0.006162668|-0.1012114369999999|0.0071939419999999|0.010799648|-0.3888343979999999|1|0.7940662409999999|-0.001318857|-0.229089688|0.762625193|0|-49.45536962|-46.10883478|0.105217893|57.30330315|-0.029881089|-25.11158939|2.117940478|0.877939134|49.6055056|-16.27370639|487.3122681|1744.8220399999998|-8.862913904|0.1220608659999999|5.668394116|10.68377935|0.884798257|4920.211524|66.47624804|-452.0086091|945.3491632|3.496670823|1.0|1.0|1.0|3.92|17.0|-7.0|4.64|5.02|3.06|105.77|1.0|3.0|-5.28|26.0|3.0|-5.23|0.0|1.0|4.08|-5.11|0.00182|0.0027|4.49|0.0|3.47e-05|-0.02015|-1092.727031|583.76|1040.96|299.38|234.25|500.66|0.6763600000000001|0.0614|-0.17632|2.5083|-0.19647|0.02696794|261.0|6.5834|6.5834
4n_a46|0|0|0.0|0.126268818|1|1|2.093595994|-0.061148449|-0.004696854|0.045335917|-0.2264394139999999|-0.234842682|-0.144852516|10.94021058|-0.064683066|1|0.0042595609999999|-0.349865095|0.070558373|0.109017734|-0.369211845|0|0.741742667|-0.06655165|-0.088858764|0.7681452190000001|0|-56.80797266|-47.16810275|0.096854593|53.22165035|-0.031047837|-25.91889741|2.543769935|0.863203663|51.4039205|-17.06080312|496.2788787|2116.313581|-9.374920341|0.136796337|5.666371466|9.921794991|0.750996215|4955.374473|75.1696593|-440.621256|928.9322794|4.235817757|1.0|1.0|1.0|3.75|17.0|-6.67|4.33|4.94|2.99|102.92|1.0|2.0|-5.43|26.0|3.0|-5.26|0.0|1.0|3.9|-5.1|0.00129|0.00273|4.41|0.0|7.340000000000001e-05|-0.04044|-1090.302556|578.83|1011.66|313.65|215.82|502.02|0.7025|0.0711|-0.16641|6.2318|-0.20685|0.04131598|5194.0|5.2845|5.2845
12ak_a36|1|0|3.501132553|0.0|0|2|0.0|-0.052930979|-0.006465433|0.041728395|0.12041792|-0.407322296|-0.116440196|10.95268014|-0.015708652|1|0.005035022|0.198260132|-0.099596099|-0.163978382|-0.439326642|1|0.901715152|0.051506104|-0.0265703679999999|0.860939187|0|-49.87483724|-66.15829243|0.151294857|109.0807368|-0.032660864|-47.69888026|10.36054668|0.737439195|79.17567486|-23.5478668|611.9003905000001|2735.7986920000003|-16.97756755|0.262560805|7.98672125|13.86156772|0.735576751|6240.396899|189.3013851|-1001.676485|1883.984673|13.01738243|1.0|1.0|1.0|5.05|17.0|-7.38|3.85|3.01|2.66|138.33|1.0|6.0|-4.95|32.0|4.0|-6.19|0.0|1.0|2.66|-4.86|0.0047799999999999|0.00589|3.8|0.0|1.7800000000000002e-05|-0.04929|-1350.865407|730.3|1247.89|336.05|320.09|584.05|0.7034699999999999|0.0001|-0.15275|6.3682|-0.20204|0.03471045|46.0|7.3372|7.3372
