molecula|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|n5aRing|AATSC1pe|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Leadlikeness|Brenk|Veber filter|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
16a_a10|0|0.0|0.0|1|7.535296702|1|1|-0.187414728|-0.00230615|5.4161004020000005|0.023926176|2|-0.085711535|2.009832665|-0.152205915|0.014886502|1|0.011558506|0.772481675|-0.008879187|0.813036304|1|0.916148686|-0.052574986|-0.076950669|0.3637074329999999|0.013872737|-53.28817038|0.083851314|58.06685151|-36.90194151|6.652715932|99.81657855|46.01490333|0.4629532229999999|2862.681038|1823.310808|-12.4990447|0.272940681|0.862035195|189.0108247|-774.9407716|24.82496066|0.014796066|879.8636987|10.24624348|1.0|1.0|1.0|4.46|0.3|21.0|-8.5|3.0|0.0|0.0|33.0|5.0|-5.91|439.55|0.0|1.0|-5.17|6e-06|6.76e-06|0.00297|4.33|0.0|1.4e-06|3.46|-1395.158387|-1395.13019|760.0|1310.44|0.3843|221.33|629.65|332.0|0.6852199999999999|0.0841|-0.1605|3.8323|-0.20697|0.02819643|-1394.861824|47.0|7.3279|7.3279
6_a15|0|0.0|0.0|0|0.0|0|0|-0.199979249|-0.00951284|0.0|-0.048804012|1|0.106485923|0.0|-0.513693384|0.011857945|0|0.003942615|0.691316481|-0.015484797|0.7248900659999999|0|0.859308431|-0.07051817|-0.123000073|0.398681391|0.02948637|-71.76572566|0.140691569|82.0880213|-41.87249058|10.03794313|55.65697829|58.34873264|0.3902945579999999|2454.904173|1971.005637|-10.46812265|0.4180252789999999|0.640136254|243.9013805|-544.3423775|30.82854077|0.029449813|592.4420375|17.18281248|1.0|1.0|1.0|4.03|0.23|18.0|-7.95|2.0|0.0|0.0|28.0|5.0|-5.33|380.44|0.0|1.0|-5.14|2.16e-06|7.32e-06|0.00278|4.64|0.0|4.3e-06|3.94|-1263.0243449999998|-1263.0072300000002|612.22|1092.02|0.2616|285.52|545.21|0.65191|0.70554|0.0113|-0.15714|1.3789|-0.18133|0.01711539|-1262.820532|35.0|7.4559|7.4559
12aa_a30|0|0.0|0.0|0|7.412764017000001|2|2|-0.101407312|-0.008848121|5.351858133|-0.028524865|2|-0.014017531|0.0|-0.539735362|0.059360681|1|0.005111479|0.809127478|-0.012535889|0.855880335|0|0.8126513129999999|-0.078042288|-0.101368383|0.418522684|0.030906491|-70.79444906|0.1873486869999999|130.84205079999998|-49.44198469|15.0745057|0.0|76.08850600000001|0.4659424379999999|3115.249471|2455.130164|-16.48066156|0.369240427|0.872457337|257.8730361|-939.3977091|37.41227352|0.029670025|792.3440337000001|20.72118575|1.0|0.0|1.0|0.0|0.21|17.0|-6.83|2.0|0.0|0.0|33.0|6.0|-6.39|458.54|0.0|0.0|-5.0|2.47e-06|9.94e-06|0.00456|3.81|0.0|6.720000000000001e-05|3.34|-1804.818818|-1804.784381|748.78|1275.73|0.1667|238.78|605.07|0.30341|0.68642|0.1506|-0.1472099999999999|5.8962|-0.19687|0.03443621|-1804.582558|8.0|8.1135|8.1135
12an_a36|0|3.489959714|0.0|0|7.412764017000001|2|2|-0.05423417|-0.0070293469999999|5.351858133|-0.046532211|2|0.0966393909999999|0.0|-0.407702102|-0.131674913|1|0.003710345|0.8344566859999999|-0.055405405|0.885733922|0|0.836440154|-0.073519599|-0.105145528|0.270501913|0.0173118669999999|-71.0446809|0.163559846|110.5140393|-48.0034364|7.903608682000001|0.0|61.37296195|0.44576647|2881.978785|2399.367452|-16.89009799|0.216487385|0.8042935809999999|146.2760938|-912.0652916|31.9040205|0.015771136|725.9470896|10.65623343|1.0|0.0|1.0|0.0|0.17|17.0|-7.05|1.0|0.0|0.0|31.0|4.0|-6.64|427.52|0.0|0.0|-4.51|1.4300000000000002e-05|3.09e-05|0.0132|3.19|0.0|3.83e-05|3.37|-1670.452238|-1670.417726|718.98|1215.98|0.6702|239.49|571.76|0.44822|0.69094|0.0644|-0.15474|4.3963|-0.21035|0.0345115999999999|-1670.244686|0.04|7.3979|7.3979
12i _a30|0|0.0|0.0|0|7.412764017000001|2|2|0.04580336|-0.00691453|5.351858133|-0.030422458|2|-0.0982344169999999|0.0|-0.366470081|0.0109710489999999|1|0.003603419|0.831176513|-0.1240820219999999|0.888213143|0|0.8434291340000001|-0.076575246|-0.096489393|0.356921662|0.015808432|-63.00408424|0.156570866|102.235113|-41.13938837|6.740110893|0.0|60.32320054|0.479900127|2860.704198|2280.31966|-15.95200773|0.193700903|0.92270764|126.4796844|-781.648379|30.29912252|0.014680721|652.8825454|9.585980094|1.0|0.0|0.0|0.0|0.14|17.0|-7.22|2.0|0.0|0.0|30.0|4.0|-5.75|432.93|0.0|0.0|-5.44|1.19e-06|3.61e-06|0.00156|4.49|0.0|2.61e-05|4.45|-2035.373964|-2035.339603|691.59|1167.27|0.2384|246.2|542.74|0.43157|0.68497|0.1577|-0.14945|2.5397|-0.2041|0.03436093|-2035.203042|16.0|7.8013|7.8013
14c_a23|1|0.0|0.0|2|7.423568444|0|0|0.06596946|-0.005822256|5.351858133|-0.024758731|2|0.04174584|0.743546646|-0.296935034|-0.047853455|2|0.009263715|0.793551289|-0.077808321|0.857184548|1|0.922935039|-0.0567889659999999|-0.0800086929999999|0.2273163289999999|0.018842596|-53.17009158|0.077064961|51.21382308|-35.33439343|8.321492112|81.41541733|50.26125234|0.459622824|2955.304496|2379.221378|-15.0359121|0.2165924689999999|0.8505592829999999|143.9373772|-706.6878684999999|28.88097191|0.016385474|633.3278634|10.88903141|0.0|0.0|1.0|3.6|0.05|26.0|-7.99|2.0|1.0|0.0|31.0|4.0|-6.03|445.93|0.0|0.0|-5.55|7.49e-07|2.83e-06|0.00126|4.21|0.0|4.55e-06|4.1|-2089.523959|-2089.501598|693.64|1177.63|356.0|334.81|549.86|0.56781|0.56781|356.0|-0.15143|7.2704|-0.23096|0.02236136|-2089.354057|2.0|8.6253|8.6253
12ad_a36|0|3.428443248|0.0|0|7.412764017000001|2|2|-0.040810025|-0.01083262|5.351858133|-0.073048351|2|0.046496301|0.0|-0.649957196|-0.0072527669999999|1|0.000906224|0.832674224|0.018207862|0.8846605|0|0.760267769|-0.082404548|-0.107772644|0.423689705|0.030769062|-76.30379737|0.239732231|169.7321223|-54.02363038|15.4237324|81.68309557|80.12771975|0.477102332|3041.082692|2474.175727|-18.32944602|0.343592539|0.912420081|243.2659577|-1026.448977|39.44011905|0.028968808|735.3783268|20.51012207|1.0|0.0|0.0|0.0|0.17|17.0|-6.62|1.0|0.0|0.0|33.0|6.0|-7.18|439.47|0.0|0.0|-4.08|6.579999999999999e-05|8.36e-05|0.0367|2.53|0.0|0.000106|4.5|-1460.8311199999998|-1460.794632|737.53|1236.64|0.6073|216.26|588.2|0.27316|0.67215|0.2532|-0.15638|5.3349|-0.21044|0.03648828|-1460.610659|17.0|7.7696|7.7696
8c_a32|1|3.46252244|0.0|0|7.765993078999999|0|0|0.080016722|-0.0093793719999999|5.733341277|-0.04699673|0|-0.026467635|2.143746338|-0.459589251|-0.026048985|3|-0.001662219|0.845443342|-0.11492754|0.8966299409999999|1|0.801747512|-0.076876481|-0.097480366|0.263222951|0.016240436|-58.93213925|0.198252488|119.85432240000002|-35.6276568|5.935643221|78.19443734|56.29419869|0.447542891|2571.62241|3038.837633|-10.06868562|0.399315117|0.8100952690000001|241.4075262|-463.1595384|27.72624296|0.025527931|557.1050635|15.43301109|1.0|1.0|1.0|2.82|0.26|19.0|-7.65|1.0|0.0|1.0|27.0|4.0|-6.45|397.52|1.0|0.0|-4.39|1.5e-06|4.11e-05|0.0164|3.21|0.0|8.86e-06|4.28|-1880.764533|-1880.733377|646.97|1090.0|0.3272|347.56|516.78|0.70135|0.70135|0.3272|-0.14712|8.4922|-0.18873|0.03115673|-1880.597039|37.0|7.4318|7.4318
12as_a36|0|3.447017327|0.0|0|7.412764017000001|2|2|-0.051208473|-0.007672841|5.351858133|-0.073735973|2|0.096454203|0.0|-0.452697599|-0.114290948|1|0.0018565629999999|0.817372883|-0.04244711|0.869455765|0|0.77043791|-0.082748367|-0.109492809|0.291030086|0.019229943|-73.78005999|0.22956209|154.6869148|-49.71556877|8.731418812000001|0.0|68.71652969|0.454761514|2904.092809|2365.632846|-17.17446921|0.231874606|0.834059821|156.2451686|-944.5958066|33.18163581|0.017444469|716.9974499|11.75468972|1.0|0.0|0.0|0.0|0.17|17.0|-6.89|1.0|0.0|0.0|32.0|5.0|-7.21|423.47|0.0|0.0|-3.95|0.000154|0.000112|0.0476|2.36|0.0|5.4600000000000006e-05|4.84|-1385.601917|-1385.5651710000002|712.04|1207.35|0.5902|274.29|568.52|0.53815|0.68211|0.2402|-0.1563|4.8580000000000005|-0.21419|0.03674596|-1385.384524|59.0|7.2291|7.2291
12az_a36|0|3.465535084|0.0|0|7.412764017000001|2|2|-0.196183836|-0.009570959|5.351858133|-0.040156368|2|0.078817323|0.0|-0.593399474|-0.024018255|1|0.002872872|0.812921349|-0.021825174|0.858971809|0|0.819163613|-0.071762413|-0.10786263|0.411597359|0.034771534|-75.58351856|0.180836387|126.71905359999998|-52.96429617|17.0740303|8.104966044|74.65245915|0.462897841|3039.528467|2455.7577530000003|-16.43719536|0.416134994|0.861843195|291.60189260000004|-953.3573311|40.17530387|0.034594361|766.4854363|24.24160725|1.0|0.0|1.0|0.0|0.21|17.0|-6.79|1.0|0.0|0.0|33.0|6.0|-7.13|441.49|0.0|0.0|-4.15|7.75e-05|7.13e-05|0.0315|2.62|0.0|7.11e-05|2.68|-1461.990465|-1461.962459|737.12|1252.18|0.4383|319.03|576.54|0.69385|0.70333|0.0146|-0.14879|6.3778|-0.19846|0.02800521|-1461.750394|58.0|7.2366|7.2366
18b_a30|0|0.0|0.0|0|7.412764017000001|2|2|0.036563014|-0.006947027|5.351858133|0.0075638519999999|2|-0.039831247|0.0|-0.375139476|0.016709918|1|0.0036417359999999|0.822401103|-0.089945913|0.8839272779999999|0|0.869340364|-0.078751666|-0.09536285|0.413791511|0.019880184|-63.07862164|0.130659636|86.42600053|-41.72392601|8.698138813|0.0|65.24093056|0.424912258|2915.383182|3057.267112|-15.85509189|0.240284312|0.7388650920000001|158.9382363|-792.7545943|31.55111394|0.0184861069999999|666.0036144999999|12.22780277|1.0|0.0|0.0|0.0|0.13|17.0|-6.7|2.0|0.0|0.0|31.0|5.0|-6.33|423.49|0.0|0.0|-4.8|3.23e-06|1.57e-05|0.0066599999999999|3.59|0.0|8.47e-05|3.64|-1668.034279|-1667.995173|697.37|1178.08|0.3576|351.66|563.55|0.67715|0.67715|0.3576|-0.14385|4.8198|-0.2052699999999999|0.03910602|-1667.849173|25.0|7.6003|7.6003
7_a1|0|0.0|0.0|1|7.860570786|2|2|-0.055291895|-0.010040172|5.777652323|0.001018628|1|-0.048878707|0.0|-0.421687222|-0.07233584|1|0.004950534|0.801577133|-0.042175602|0.862051935|0|0.710959153|-0.083362936|-0.098295453|0.289201649|0.035937867|-47.35863598|0.289040847|139.2595474|-22.81733634|8.342261787|404.7836105|57.47898976|0.452829665|2150.215999|1466.924404|-7.205474633|0.396617144|0.827584457|191.0896839|-273.8080361|24.78585294|0.029820838|351.4191817|14.36764539|0.0|1.0|1.0|2.83|0.22|17.0|-5.64|0.0|0.0|0.0|23.0|4.0|-6.4|305.33|0.0|1.0|-3.71|0.000696|0.000195|0.0595|2.48|0.0|0.000698|2.76|-1009.509475|-1009.48087|515.2|864.85|0.2961|306.1|365.53|0.69902|0.69902|0.2961|-0.16734|4575.0|-0.19167|0.02860499|-1009.398029|0.46|6.3372|6.3372
9r_a24|0|2.950959457|0.0|0|6.605297921|0|0|-0.134192489|-0.004640179|4.59511985|0.013567512|3|-0.17821765|0.0|-0.264490176|0.064425793|1|0.008722018|0.7958149290000001|-0.083458647|0.841805128|0|0.8417158379999999|-0.0618978309999999|-0.082022572|0.32720212|0.015557618|-54.99020696|0.158284162|106.1180928|-36.86695997|6.992734796000001|89.36724924|51.92828155|0.473403843|2644.462265|958.7578093|-11.60626518|0.384785172|0.898988412|257.9706516|-626.7383196000001|28.13932796|0.02357068|670.2247423|15.80243761|1.0|1.0|1.0|3.04|0.22|23.0|-8.66|2.0|0.0|0.0|30.0|6.0|-6.83|400.48|0.0|0.0|-4.06|9.58e-05|8.77e-05|0.0351|2.69|0.0|8.84e-07|1.82|-1294.486221|-1294.451958|713.25|1199.71|0.3398|277.23|616.11|0.3398|0.6204|0.0029|-0.1676099999999999|1.9698|-0.21074|0.03426339|-1294.263358|11.0|7.9586|7.9586
3l_a32|1|3.672194822|0.0|0|7.773594467000001|0|1|-0.003342759|-0.0054004|5.733341277|0.0043645509999999|0|-0.039331295|2.259257465|-0.270019992|-0.09393062|3|0.002942329|0.751853889|-0.184582641|0.7973741999999999|1|0.8855584879999999|-0.069304303|-0.088417589|0.270668623|0.012244965|-51.41835077|0.114441512|66.55229892|-29.90181954|4.141107366|0.0|47.42414825|0.453630671|2453.759435|2415.340446|-9.750593329|0.211763281|0.8302637909999999|123.148785|-448.5272931|21.27134288|0.011493763|565.7000781|6.6840809960000005|1.0|0.0|1.0|3.54|0.35|19.0|-7.5|2.0|0.0|0.0|26.0|3.0|-4.71|380.53|1.0|0.0|-6.01|2.52e-08|9.7e-07|0.0003689999999999|5.51|0.0|1.2e-05|4.21|-1789.475625|-1789.4501510000002|629.26|1062.47|0.2876|351.04|468.81|0.70282|0.70282|0.2876|-0.14664|3.3955|-0.19962|0.02547484|-1789.298086|12.0|7.9208|7.9208
3p_a32|1|3.456037415|0.0|0|8.02059915|1|1|0.007752757|-0.008735261|6.008813185|-0.028895521|0|-0.050639647|2.1365141480000003|-0.419292538|-0.111150118|3|0.000920756|0.8599558070000001|-0.120768771|0.918782026|1|0.8195708759999999|-0.070907174|-0.098773656|0.366898545|0.021264377|-58.13283248|0.180429124|106.1908248|-34.21384146|7.365688817|57.82331968|54.24719019|0.416240891|2650.4178850000003|3037.061498|-10.10863498|0.380032117|0.713035367|223.6663527|-444.779939|27.70403125|0.025390655|530.5658569|14.94356622|1.0|0.0|1.0|2.6|0.26|19.0|-6.79|1.0|0.0|0.0|27.0|4.0|-6.8|395.5|0.0|0.0|-4.25|7.78e-06|5.629999999999999e-05|0.0222|2.7|0.0|6.4e-05|4.26|-1879.554272|-1879.527843|626.32|1057.58|0.3083|340.28|471.04|0.7017100000000001|0.7017100000000001|0.3083|-0.15055|4.3094|-0.20018|0.02642856|-1879.406962|26.0|7585.0|7585.0
11c_a31|0|3.336985072|0.0|0|7.765993078999999|1|1|0.069254998|-0.0184155389999999|5.733341277|-0.141329185|0|-0.031640011|0.0|-0.847114804|-0.137912959|2|-0.008375297|0.839810365|-0.139933586|0.8906705429999999|0|0.564143263|-0.138002689|-0.14043574|0.3608415239999999|0.034256743|-82.24513417|0.435856737|255.2562173|-48.16624372|11.74927853|70.98337779|100.8824395|0.47997061|2470.585429|1770.045716|-14.56188764|0.323910768|0.922968238|189.6959033|-626.1611682999999|36.77740577|0.029155542|449.7512005|17.07472346|1.0|0.0|1.0|2.66|0.28|16.0|-5.84|1.0|0.0|0.0|26.0|6.0|-6.56|371.41|0.0|0.0|-3.98|7.68e-06|0.000105|39.0|2.82|0.0|0.000537|4.47|-1559.3980869999998|-1559.353434|622.22|1022.77|0.2627|321.61|512.9|0.7005899999999999|0.7005899999999999|0.2627|-0.15994|5289.0|-0.19526|0.04465349|-1559.253116|0.13|6.8861|6.8861
5e_a40|0|0.0|0.0|1|8.149890544|0|1|-0.091305805|-0.004925115|6.167516491000001|0.0601021459999999|0|-0.106497535|0.7768055559999999|-0.162528785|0.158430496|2|0.008306061|0.8092726020000001|0.0451110059999999|0.877722972|1|0.864422751|-0.076883794|-0.089724264|0.0499188609999999|0.019851304|-42.66853738|0.135577249|64.47400829|-20.29110082|4.489363277|51.7148695|46.00255248|0.47779156|1986.384601|512.5703164|-8.116440327000001|0.177640532|0.914944155|84.47727896|-243.4932098|20.75420252|0.012921086|264.9899736|6.144645946|1.0|0.0|0.0|2.73|0.21|14.0|-4.65|1.0|1.0|0.0|20.0|3.0|-5.66|303.77|0.0|1.0|-4.25|1.66e-05|5.56e-05|0.0169|3.51|0.0|0.00678|4.99|-1637.197299|-1637.180703|493.19|802.38|0.5262|333.85|390.33|0.69675|0.69675|0.5262|-0.14786|7.87|-0.2201699999999999|0.01659566|-1637.162552|25.0|7.6021|7.6021
16b_a32|1|3.2902303|0.0|0|7.765993078999999|0|0|0.0873104119999999|-0.008469352|5.733341277|-0.3723824429999999|0|-0.012739425|2.033356859|-0.423467596|-0.018753196|3|-0.00180101|0.852956281|-0.098450203|0.907055332|1|0.7465375040000001|-0.088716278|-0.1083060409999999|0.559199331|0.015808858|-69.39772428|0.253462496|162.40756509999997|-44.4669946|6.490611388|9.827907321|66.97508778|0.414997448|3037.795494|3264.235184|-14.19159402|0.252363732|0.709394251|161.7035261|-667.0049190000001|29.62431176|0.017136832|597.8890744|10.98052464|1.0|0.0|1.0|2.48|0.28|19.0|-7.6|1.0|0.0|1.0|28.0|6.0|-6.72|433.57|1.0|0.0|-4.55|5.19e-07|2.84e-05|0.0123|3.14|0.0|1.1e-05|6.37|-2315.990437|-2315.951437|676.92|1137.73|0.2849|342.39|567.01|0.70233|0.70233|0.2849|-0.14995|4.4055|-0.2094099999999999|0.03900066|-2315.819979|17.0|7.7696|7.7696
12a_a32|1|3.442930603|0.0|0|7.765993078999999|0|0|0.087371302|-0.009460484|5.733341277|-0.057200812|0|-0.0134169989999999|2.136609567|-0.463563696|-0.031249617|3|-0.001662219|0.845443342|-0.125149165|0.8966299409999999|1|0.788702323|-0.085324121|-0.109151429|0.288267255|0.016535497|-68.06885478|0.211297677|131.7691491|-42.44899997|6.430656017|62.28768050000001|63.52154605|0.456641145|2572.916338|3030.946307|-11.99645651|0.332293625|0.840404348|207.2244662|-551.8369996|28.81034388|0.021399091|557.1050635|13.34486989|1.0|1.0|1.0|2.85|0.26|19.0|-7.65|1.0|0.0|1.0|27.0|4.0|-6.32|397.52|1.0|0.0|-4.5|9.78e-07|3.17e-05|0.0126|3.39|0.0|8.86e-06|4.63|-1880.771042|-1880.734215|667.68|1114.3|0.2908|346.71|548.66|0.7025600000000001|0.7025600000000001|0.2908|-0.14827|3.0517|-0.20049|0.03682626|-1880.600043|25.0|7.6021|7.6021
47t_a18|0|0.0|0.0|0|7.03438793|1|1|0.1115820769999999|-0.0128248239999999|4.844187086|-0.161517185|0|0.018018036|0.0|-0.756664598|-0.011641394|0|-0.004985656|0.750103977|-0.074774521|0.796935152|0|0.67203319|-0.119202068|-0.103295568|0.240001773|0.014067024|-69.13537385|0.32796681|219.5070758|-46.27207168|6.301435212|78.43695402|89.19655162|0.49779009|2872.533415|1326.524873|-18.17831387|0.195468477|0.991199259|130.8263901|-1017.985577|33.75918118|0.016238994|747.6927426|10.86870356|0.0|0.0|0.0|0.0|0.15|18.0|-7.51|2.0|1.0|0.0|33.0|4.0|-6.46|441.48|0.0|0.0|-4.77|2.65e-06|1.7100000000000002e-05|0.0075299999999999|3.57|0.0|1.36e-05|9.4|-1470.873743|-1470.836067|703.76|1218.95|0.5502|397.84|601.36|0.6895100000000001|0.6895100000000001|0.5502|-0.12692|7.7656|-0.19514|0.03767603|-1470.593659|782.0|6.1068|6.1068
13d_a5 (GW788388)|0|2.945204608|0.0|0|6.605297921|1|1|-0.0959854909999999|-0.005668173|4.59511985|-0.009710199|3|-0.092509033|0.0|-0.33442223|-0.086484275|1|0.003668464|0.78479342|0.047169811|0.834800344|0|0.774103723|-0.086824482|-0.0844793|0.54169129|0.014571846|-55.87383979|0.2258962769999999|149.40573999999998|-36.95444874|6.374277851|44.69922692|67.0626077|0.488398052|2834.036315|1377.863026|-12.76608229|0.330817879|0.954644629|218.7999323|-702.1345259999999|28.84397435|0.022041749|723.0631751|14.57821204|0.0|1.0|1.0|2.74|0.2|23.0|-8.84|1.0|0.0|0.0|32.0|5.0|-6.94|425.48|0.0|0.0|-4.35|4.429999999999999e-05|4.5e-05|0.0192|2.75|0.0|6.16e-07|3.81|-1390.589662|-1390.548362|707.09|1206.73|0.5251|269.0|532.01|0.42515|0.48848|0.1549|-0.17299|2.4867|-0.22841|0.04130059|-1390.355751|18.0|7.7447|7.7447
7b_a8|0|3.213855584|0.0|1|7.535296702|1|1|-0.119760914|-0.009659873|5.4161004020000005|-0.038810124|1|-0.024156447|0.0|-0.4829936279999999|-0.052309137|1|0.003191529|0.7812177770000001|-0.040994467|0.8453887859999999|0|0.7223476129999999|-0.101439013|-0.1000685009999999|0.282366236|0.033167971|-59.93853201|0.277652387|166.30684230000003|-35.90168309|11.89970852|75.93423425|80.62622045|0.4787988|2776.185773|1780.952171|-14.82895606|0.246064343|0.918644854|147.3863936|-682.1319788|32.83731114|0.022982731|545.9267515|13.76608164|0.0|0.0|1.0|3.37|0.09|23.0|-7.65|2.0|0.0|0.0|30.0|5.0|-6.15|396.4|0.0|0.0|-4.94|5.64e-06|1.14e-05|0.00454|3.61|0.0|8.94e-06|5.51|-1330.622441|-1330.595067|621.4|1067.73|0.2517|269.85|506.21|0.44725|0.7025100000000001|139.0|-0.13639|9.9463|-0.20472|0.0273745|-1330.448193|13.53|4.8687|4.8687
12f_a31|0|3.4780522210000004|0.0|0|7.765993078999999|1|1|0.034876922|-0.011835152|5.733341277|-0.033056721|0|0.043286807|0.0|-0.698273995|-0.0944165219999999|2|0.000889251|0.8167107029999999|-0.029803241|0.8530975000000001|0|0.700992225|-0.097676974|-0.118239376|0.262896936|0.027617942|-82.48950216|0.299007775|208.6022728|-57.54866283|13.44201623|569.7325277000001|87.41178754|0.482666192|2710.311963|1805.921786|-16.44247509|0.313117045|0.932987917|218.4455813|-920.7786053|34.31214739|0.021559868|713.5657448|15.04120547|1.0|1.0|1.0|3.78|0.41|16.0|-8.02|3.0|0.0|0.0|30.0|5.0|-6.19|426.53|0.0|0.0|-4.63|1.05e-06|2.37e-05|0.0101|3.82|0.0|4.06e-06|5.39|-1696.785527|-1696.741889|755.33|1258.6|0.2664|323.68|665.22|0.7006600000000001|0.7006600000000001|0.2664|-0.15894|1.8803|-0.19211|0.04363832|-1696.53373|0.13|6.8861|6.8861
8e_a8|0|3.01599663|0.0|1|7.05012252|0|0|-0.018155171|-0.010579355|4.844187086|-0.205927741|0|-0.000766016|0.0|-0.539547088|-0.102167262|1|-0.004224671|0.7233950809999999|-0.079493088|0.7742101929999999|0|0.661490276|-0.115572516|-0.105450888|0.280304418|0.0211004739999999|-64.32539698|0.338509724|206.4920729|-39.238709|7.851573274|76.40535608|83.37098475|0.483244415|2692.975753|2080.07805|-16.34946208|0.196692764|0.935150832|119.9832494|-784.77418|33.36487904|0.0184428869999999|561.882658|11.25022336|0.0|0.0|0.0|2.98|0.04|23.0|-7.78|2.0|0.0|0.0|30.0|4.0|-6.14|403.41|0.0|0.0|-4.9|5.34e-06|1.25e-05|0.00504|3.69|0.0|6.63e-06|7.22|-1376.957298|-1376.924308|639.38|1090.07|0.3731|267.77|526.86|0.50055|0.7013|0.1671|-0.13719|6.1505|-0.19972|0.03298991|-1376.766245|19.89|4.7014|4.7014
8b_a31|0|3.37710223|0.0|0|7.765993078999999|1|1|-0.01883655|-0.013629145|5.733341277|-0.12841288|0|-0.130371116|0.0|-0.57242407|-0.211457443|2|-0.006785954|0.843119174|-0.1155280009999999|0.8956498159999999|0|0.6076192260000001|-0.120703408|-0.132574249|0.281200674|0.03234629|-69.24221375|0.392380774|204.9365822|-36.1645207|8.823644775|472.8995873|79.93633765|0.479278|2189.617009|1587.743824|-11.12754483|0.296530645|0.920410507|154.8750114|-433.9742484|30.28603362|0.02483711|372.3224834|12.97217579|0.0|1.0|1.0|2.71|0.25|16.0|-5.73|0.0|0.0|0.0|23.0|5.0|-6.87|328.39|0.0|0.0|-3.4|8.97e-05|0.000399|131.0|2.02|0.0|0.00061|1.77|-1386.852117|-1386.815519|566.18|927.61|0.2643|321.36|439.96|0.70036|0.70036|0.2643|-0.16015|3.6945|-0.19265|0.03659821|-1386.734257|2.2|5.6576|5.6576
9n_a24|0|2.961528903|0.0|0|6.605297921|0|0|-0.2452954769999999|-0.003323852|4.59511985|0.001099755|2|-0.141205159|0.0|-0.182811885|-0.036651001|1|0.008809179|0.7584388259999999|-0.058520736|0.804201677|0|0.904556598|-0.052106597|-0.0777274979999999|0.331008994|0.017608478|-52.53031811|0.095443402|64.50319929|-35.50139138|8.042526681|24.72120326|47.11530904|0.4331595789999999|2542.730334|1361.307012|-12.28894317|0.347873491|0.764164944|235.1021924|-639.0250449|27.88350328|0.021951174|631.9206508|14.83518955|1.0|1.0|1.0|2.6|0.17|23.0|-8.64|1.0|0.0|0.0|29.0|5.0|-6.47|385.46|0.0|1.0|-4.29|7.2e-05|5.14e-05|0.0198|3.07|0.0|8.909999999999999e-07|2.59|-1239.1274939999998|-1239.095611|686.19|1155.03|0.2522|252.31|587.05|0.44042|0.63085|0.0334|-0.1658099999999999|2.8552|-0.20399|0.03188309|-1238.917278|19.0|7.7212|7.7212
16i_a32|1|3.352437091|0.0|0|7.765993078999999|0|0|0.175604846|-0.0146198339999999|5.733341277|-0.075706124|0|-0.056414399|2.078707411|-0.7748511779999999|-0.104899053|3|-0.001202032|0.836966894|0.009897928|0.8829894|1|0.801494708|-0.0857355019999999|-0.114771536|0.5368697929999999|0.022335011|-75.01027196|0.198505292|129.7354415|-49.02383532|9.540239197|32.3175507|70.6307405|0.455596751|2770.767996|3450.514629|-15.6876273|0.281035887|0.836873682|183.6742715|-784.3813651|33.38593207|0.021112022|636.0251562999999|13.79800742|1.0|0.0|1.0|3.16|0.3|19.0|-7.4|3.0|0.0|1.0|29.0|5.0|-5.93|427.54|1.0|0.0|-5.09|9.25e-08|8.18e-06|0.0035|4.19|0.0|1.7100000000000002e-05|4.99|-1995.307733|-1995.279632|692.96|1175.51|0.2857|342.72|573.38|0.70222|0.70222|0.2857|-0.14976|3353.0|-0.2002|0.02810109|-1995.11813|6.0|8.2596|8.2596
