molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC7i|AATSC1i|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PPSA3|RNCS|FNSA4|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
8c_a12|0.0|0|0|0|0.0|0.0|0|0.0|1|1|1.283851303|0.0|0.1948786139999999|-0.0104125509999999|3|-0.106633503|0.0|-0.447739674|-0.004211843|-0.036504737|-0.07003012|-0.1876771789999999|-0.370782022|0.905486734|-0.10899871|-0.130288596|0.8425863029999999|0.845077891|0|0.840397446|-0.067004282|-0.101988384|10.00357546|83.24714315|-0.038245644|0.764449832|-1.529825767|-17.44675795|-19.51587692|44.19432689|2190.852814|428.8355831|-780.6350769|-9.958505349|0.235550168|5.670223821|10.74930819|0.8957467170000001|4610.945152|120.19586|-398.3402139|0.0|0.0|1.0|1.0|3.91|2.24|2.81|0.0|98.07|0.0|-3.47|5.0|0.0|1.0|1.0|-3.72|107.0|2.5|0.0|0.0|7.24e-08|-0.06706|2.76|3.8341|-1022.77302|551.66|909.19|466.0|284.38|0.67318|-1022.613451|0.1355|-0.15571|1.7305|-0.2227699999999999|-1022.663298|2.4806|0.04|7.3979
12t_a36|0.0|1|0|0|3.500121488|0.0|0|7.412764017000001|2|2|1.297042607|0.0|-0.058770337|-0.00673635|2|0.035510516|0.0|-0.404180985|0.003676818|-0.030990165|-0.0288761339999999|0.059266516|-0.169994208|0.902377067|-0.009662203|-0.050788309|0.878510663|0.857993338|0|0.8337556420000001|-0.0735262|-0.100615514|11.7409283|86.12920631|-0.035934112|0.78316808|-2.012310282|-32.61842026|-23.93411213|60.71345614|2771.211293|555.3275093999999|-1340.3102789999998|-15.94144641|0.21683192|7.960344391|15.36435856|0.930112292|5936.009091|144.422087|-892.7209991000001|0.0|1.0|0.0|2.0|4.94|0.0|3.62|0.0|133.52|0.0|-4.61|4.0|0.0|1.0|0.0|-4.57|0.0102|3.47|0.0|0.0|4.38e-08|-0.05302|3.87|3.6694|-1311.585049|713.6|1208.04|0.4297|319.18|0.70313|-1311.287803|0.0155|-0.15088|5.9081|-0.2039|-1311.349439|7.9104|8.0|8.0969
12ar_a36|0.0|1|0|0|3.46014932|0.0|0|7.412764017000001|2|2|1.297042582|0.0|-0.064363806|-0.007046017|2|0.083451772|0.0|-0.40866901|0.000939229|-0.1073795209999999|-0.036002609|0.145909555|-0.169341326|0.86559137|-0.017348015|-0.064014394|0.89459881|0.8196353679999999|0|0.8365428659999999|-0.080760277|-0.098732471|15.19305207|86.85924228|-0.0347392029999999|0.705591187|-1.875916952|-37.18892821|-23.57370143|69.99622854|2902.67985|567.6702443|-1272.979877|-15.99689556|0.294408813|8.770514183|16.68371115|0.902250063|6155.432771|199.7830951|-863.83236|0.0|1.0|0.0|2.0|4.86|0.0|3.14|0.0|133.27|0.0|-3.92|5.0|0.0|0.0|0.0|-3.91|0.0503|2.33|0.0|0.0|8.95e-08|-0.0566|3.23|3.8489|-1364.511244|717.19|1211.1|0.5586|237.29|0.67174|-1364.235126|0.2372|-0.15631|6.4688|-0.21291|-1364.2977050000002|8.7322|25.0|7.6021
12t_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.60498454|0.0|0.073057637|-0.007755575|2|-0.0596036729999999|0.0|-0.411045472|-0.002544958|-0.0682882559999999|-0.04950715|-0.158448053|-0.145315868|0.609043558|-0.003937967|-0.080971844|0.889479916|0.591758164|0|0.696413582|-0.090535776|-0.1011561919999999|12.26965165|88.42093081|-0.037159417|0.745705883|-1.82081145|-38.30686627|-24.17113783|71.1605835|2976.648597|452.99711|-1184.385754|-15.72263361|0.254294117|7.957774504|14.358001500000002|0.804273481|6617.834146|165.4110479|-770.409047|1.0|1.0|0.0|1.0|4.63|0.0|4.67|0.0|127.19|0.0|-5.49|6.0|0.0|0.0|0.0|-5.17|0.00141|4.07|0.0|0.0|6.900000000000002e-08|-0.05542|4.32|3.5457|-1774.2421780000002|677.85|1139.2|0.2094|244.58|0.6842600000000001|-1774.0165149999998|0.1561|-0.15029|2.6784|-0.20571|-1774.077985|3.2145|9.0|8.0496
12_a3|0.0|0|0|0|0.0|0.0|0|6.823286122000001|0|0|0.605020506|0.0|0.167987916|-0.009093383|2|-0.120694579|2.07135708|-0.336455156|-0.006049098|-0.045382017|-0.069857022|-0.218774634|0.032450556|0.899733837|-0.039834906|-0.125395523|0.784451598|0.841871246|1|0.829399708|-0.092838926|-0.096133903|5.258353635|239.2266101|-0.039584548|0.830418645|-1.345874639|-20.92463497|-18.79271742|49.333524|2056.502939|393.75653|-638.9523922000001|-8.921820355|0.169581355|5.6343192|10.50748861|0.864908294|4400.493202000001|80.50854774|-303.3418921|1.0|1.0|1.0|1.0|3.2|2.17|4.34|0.0|90.49|0.0|-5.68|3.0|0.0|0.0|1.0|-4.84|0.000629|4.03|0.0|0.0|1.3e-07|-0.06361|2.94|3263.0|-1272.152002|515.23|847.25|0.5056|379.97|0.69784|-1272.010995|0.5056|-0.13153|2.3762|-0.19514|-1272.058487|3.1979|3548.0|5.45
9i_a40|0.0|0|0|0|0.0|0.0|1|7.515889085|0|0|0.604992808|1.841293462|0.074116257|-0.0071562119999999|0|0.187127708|0.891973262|-0.279092262|0.004532692|0.201624407|-0.1788455119999999|0.333430103|0.187399127|0.831946443|-0.154977678|-0.28972973|0.824009442|0.7947633409999999|1|0.830980762|-0.092881258|-0.088485615|5.548036224|213.7117392|-0.036869006|0.8590224540000001|-1.327284222|-23.58195819|-18.57750214|52.34891159|2056.370683|418.7133986|-668.7900768999999|-9.360805225|0.140977546|7.700852478|14.74203307|0.91433781|4201.058793|71.03556427|-336.98898810000003|1.0|1.0|1.0|1.0|3.25|2.9|3.84|1.0|91.11|0.0|-5.32|2.0|0.0|0.0|1.0|-4.71|0.00147|3.85|0.0|0.0|9.31e-07|-0.05989|3.2|2.8936|-1273.334714|534.44|883.84|0.5012|284.3|0.70339|-1273.167389|0.3362|-0.11967|2.0895|-0.17956|-1273.217301|2.7887|1.25|5.9031
LY580276_a4|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1|1.344599701|2.067497166|-0.156842923|-0.001543874|1|0.0295482979999999|0.0|-0.063298854|0.010217376|-0.172607392|0.011772853|0.064209689|-0.042912895|0.5162208110000001|0.035666446|0.019144144|0.847526918|0.518109998|0|0.8685269959999999|-0.057317455|-0.071023484|4.207217677|11.22286434|-0.028035586|0.8478469959999999|-1.065352257|-13.31233017|-13.51117823|31.83019528|1948.220005|418.5688558|-513.4247728|-6.511436537000001|0.152153004|5.456603642999999|9.693623538|0.7764939829999999|4098.640927|73.32703409|-247.4345884|0.0|1.0|1.0|0.0|3.01|3.04|4.49|0.0|84.74|0.0|-3.67|3.0|0.0|1.0|1.0|-4.21|0.0624|3.35|0.0|0.0|2.75e-07|-0.0225|3.64|4.4918|-959.4958788|519.23|865.23|0.1905|234.01|0.68002|-959.356125|0.1842|-0.18746|2.5355|-0.2099599999999999|-959.404416|3.2891|175.0|6757.0
12ak_a36|0.0|1|0|0|3.501132553|0.0|0|7.412764017000001|2|2|1.270373882|0.0|-0.052930979|-0.006465433|2|0.12041792|0.0|-0.407322296|0.0042553209999999|-0.116440196|-0.015708652|0.198260132|-0.163978382|0.901715152|0.051506104|-0.0265703679999999|0.860939187|0.860667615|0|0.848705143|-0.069176342|-0.091761476|14.3700664|113.186508|-0.032660864|0.737439195|-1.926990997|-35.95881638|-23.5478668|64.24490364|2830.816014|611.9003905000001|-1389.324141|-16.97756755|0.262560805|7.98672125|13.86156772|0.735576751|6240.396899|189.3013851|-1001.676485|1.0|1.0|1.0|2.0|5.05|0.0|3.85|0.0|138.33|0.0|-4.95|4.0|0.0|1.0|1.0|-4.86|0.0047799999999999|3.8|0.0|0.0|4.2e-08|-0.04929|4.21|3.6895|-1350.900117|730.3|1247.89|0.4514|320.09|0.7034699999999999|-1350.57563|0.0001|-0.15275|6.3682|-0.20204|-1350.637958|8.5394|46.0|7.3372
16e_a32|0.0|1|1|1|3.343660084|0.0|0|7.765993078999999|0|0|0.609420752|0.0|0.180914799|-0.0154404319999999|0|-0.04474426|2.080236877|-0.772021601|-0.0048042729999999|-0.070351839|-0.01320745|-0.079817994|-0.219947482|0.804503712|0.096017785|-0.022651598|0.91471624|0.7619492790000001|1|0.7903051590000001|-0.087117996|-0.117338144|15.50894749|105.4021155|-0.037448344|0.702226562|-1.760072163|-35.94239328|-24.05371573|71.46633549|2710.157931|507.6266039|-1130.524639|-15.45011555|0.297773438|6.573687662|12.15001203|0.848279482|6142.277629|191.2650034|-726.1554308999999|1.0|1.0|1.0|2.0|3.64|3.36|6.03|0.0|111.95|1.0|-6.59|5.0|1.0|0.0|1.0|-4.75|0.000107|3.76|0.0|0.0|4.18e-08|-0.0505899999999999|4.59|3.6214|-1955.993572|677.82|1130.95|0.2858|342.37|0.7022|-1955.766505|0.2858|-0.14991|3.2372|-0.2005|-1955.827194|3.9389|7.0|8.1367
3j_a32|0.0|1|1|1|3.564417045|0.0|0|8.234564993|0|1|0.609420782|0.0|0.0053427669999999|-0.006580847|0|-0.029763115|2.248764828|-0.269814716|-0.000202965|-0.086191775|-0.052622352|-0.055211759|-0.097980957|0.812195122|-0.020129489|-0.084553991|0.8884057059999999|0.7557114|1|0.865101945|-0.070289671|-0.095013178|7.315176208|47.55031019|-0.030815085|0.7487739999999999|-1.140158136|-19.82606536|-16.36574867|44.64569478|2282.569698|459.4516326|-605.5327007000001|-8.691773249|0.251226|5.900829539|10.69497519|0.812452828|4866.613493|133.42496409999998|-321.5956102|1.0|1.0|1.0|1.0|3.27|3.0|6.68|0.0|95.74|0.0|-5.92|3.0|0.0|0.0|1.0|-4.8|0.0004089999999999|3.89|0.0|0.0|2.03e-07|-0.05361|3.02|3.4982|-1671.507439|564.55|934.19|0.3005|354.42|0.7028|-1671.351322|0.3005|-0.14498|3.6238|-0.19859|-1671.402462|5.9266|8.0|8.0969
