molecula|n9FaHRing|SssssC|SRW09|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aRing|AATSC7i|MATS1i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|WNSA5|WPSA3|FNSA2|DPSA5|PNSA4|DPSA3|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
25_a12|0|0.0|0.0|0|1.404967476|0.00700113|-0.004103693|0.0|2|0.038787879|-0.089297664|-0.180562493|0.000864238|10.93676625|-0.11195017|0|-0.141917694|-0.0542354559999999|2|0.638255008|-0.2430098439999999|-0.208172827|0.688743998|0.947937175|-0.054734834|-0.080147596|0.120087607|0.004952762|-41.75851719|2.580489093|-21.75703145|1.3444869730000002|-1.362509125|44.42528172|-17.31450713|31.09844409|493.8944271000001|-709.8947922|1907.027255|-9.021208163|0.082701363|5.34703037|0.814415245|43.08908189|-369.8695347|18.87554002|0.005118351|-434.8420476|430.4348528|2.666764531|1.0|1.0|1.0|2.81|22.0|-8.78|37.81|3.2|1.0|0.0|99.48|3.0|24.0|2.0|-4.82|311.38|1.0|4.29|-5.25|5.63e-06|0.00175|0.0|1.6399999999999995e-09|5.12e-07|3.4532|-974.6328337|560.14|359.04|290.68|442.64|0.63284|0.69029|0.1897|-0.19655|-974.508059|22.0|7.6576|7.6576
19k_a38|0|0.0|7.412764017000001|2|1.297042875|0.0100827|-0.011877064|5.351858133|2|0.0445691609999999|0.098947776|-0.6888696990000001|-0.011156837|10.95446448|-0.0184136539999999|1|0.208892195|-0.060668296|1|0.853092207|0.04833864|-0.029357143|0.908591797|0.658700057|-0.112748779|-0.126936513|0.389096157|0.0232707939999999|-80.54577161|14.76615358|-51.10918191|9.369654226|-2.411793744|94.38036132|-28.3401789|86.30929885|417.968819|-1530.369661|2929.493496|-17.9828603|0.24035311|6.744851799999999|0.911726848|152.51267140000002|-971.0744563|37.3070426|0.021802691|-329.5105352|686.8472757999999|13.8345897|0.0|0.0|4.0|4.89|17.0|-6.41|124.32|1.65|1.0|0.0|133.79|6.0|33.0|5.0|-7.84|444.46|0.0|1.9|-3.62|0.0002399999999999|107.0|0.0|3.94e-07|0.000175|3.5378|-1500.852284|677.64|350.45|239.03|502.43|0.38269|0.70327|0.1156|-0.20102|-1500.680373|11.0|7.9666|7.9666
19_a15|0|0.0|0.0|0|0.300209223|0.156105985|-0.009832375|0.0|1|0.040555556|0.037722611|-0.4621216379999999|-0.012350591|10.31928434|-0.032407407|0|0.060683674|-0.0283109839999999|1|0.722297906|0.042424078|-0.048611111|0.770451673|0.691069123|-0.0946599869999999|-0.112106433|0.355677322|0.00527267|-64.78818183|3.04716388|-37.44217335|1.761006946|-1.905809364|68.10965742|-24.47553536|57.75275299|399.3803987|-1101.399091|1857.369806|-14.14482104|0.077864438|6.10227122|0.681885245|44.99916039|-636.516947|26.54223128|0.005747326|-487.9183964|490.1808545|3.321475588|1.0|1.0|2.0|2.99|18.0|-7.14|102.69|1.64|1.0|0.0|101.22|5.0|26.0|5.0|-6.22|369.44|0.0|2.88|-4.39|4.1200000000000005e-05|0.0152|0.0|7.28e-08|2.69e-05|4.1742|-1523.361214|601.23|297.03|297.03|519.04|0.68945|0.68945|0.4895|-0.20742|-1523.254714|72.0|7.1427|7.1427
47t_a18|0|0.0|7.03438793|1|1.25117758|0.1115820769999999|-0.0128248239999999|4.844187086|0|0.03672956|0.018018036|-0.756664598|-0.006573438|10.94702032|-0.04785474|0|0.027313444|-0.068787175|0|0.750103977|0.005590928|-0.074774521|0.796935152|0.67203319|-0.119202068|-0.103295568|0.240001773|0.014067024|-69.13537385|9.415011332|-46.27207168|6.301435212|-2.272502492|80.00407742|-27.16032544|89.19655162|449.789539|-1520.978225|1326.524873|-18.17831387|0.195468477|8.780037801|0.991199259|130.8263901|-1017.985577|33.75918118|0.016238994|-407.6438346000001|747.6927426|10.86870356|0.0|0.0|3.0|3.86|18.0|-7.51|110.56|1.64|2.0|1.0|129.21|7.0|33.0|4.0|-6.46|441.48|0.0|2.15|-4.77|1.7100000000000002e-05|0.0075299999999999|0.0|3.09e-08|1.36e-05|3.1164|-1470.836067|703.76|397.84|397.84|601.36|0.6895100000000001|0.6895100000000001|0.5502|-0.19514|-1470.593659|782.0|6.1068|6.1068
13a_a6|0|0.0|7.412764017000001|1|1.430639975|-0.042110772|-0.01115741|5.351858133|1|0.041767677|0.031837397|-0.602500119|-0.00460563|10.95129557|-0.0525259259999999|1|0.05269025|-0.10896749|1|0.7722228729999999|0.090839165|-0.091892803|0.8299950709999999|0.77450544|-0.094081761|-0.113446379|0.22670695|0.031866842|-74.18628740000001|20.83876732|-48.51283287|13.62714959|-2.042034827|87.37044493|-26.70706346|82.36189896|506.474367|-1335.353173|2626.396685|-17.46461983|0.240087608|8.038453162|0.8764206290000001|157.0011174|-873.2309916000002|35.14492428|0.02016134|-339.9303794|627.4287311|13.18415753|1.0|1.0|2.0|3.53|23.0|-9.01|95.85|1.29|2.0|0.0|116.79|5.0|31.0|5.0|-6.1|409.44|0.0|3.52|-4.99|1.02e-05|0.00417|0.0|9.77e-10|4e-07|3651.0|-1350.057702|695.29|339.59|206.87|571.9|0.4816|0.70072|0.2697|-0.19987|-1349.895534|46.0|7.3372|7.3372
10_a4|0|0.0|7.535296702|1|1.343863662|-0.180140166|-0.002959121|5.4161004020000005|2|0.038699764|0.00941601|-0.159792527|0.01107733|10.92992762|-0.090413559|1|0.014917047|-0.083887216|2|0.810105167|-0.120059574|-0.150288496|0.861225169|0.921653019|-0.051015897|-0.079432495|0.43000216|0.014582852|-45.97324097|8.440134933|-26.60798798|4.884907049|-1.350352423|54.09964719|-15.63090193|37.96666686|533.4262268|-781.5450965|2064.276654|-9.046715915|0.255470315|5.759414166|0.945033425|147.85886159999998|-452.3357957|20.99433004|0.014040792|-283.0534799|594.7358385|8.126406226|1.0|1.0|0.0|3.46|21.0|-8.07|52.83|2.53|2.0|0.0|111.38|4.0|28.0|4.0|-5.83|370.45|1.0|3.9|-4.85|1.4e-05|0.00519|0.0|8.51e-09|3.15e-06|3.6465|-1183.790554|619.99|340.01|249.6|470.02|0.4662|0.7038399999999999|0.0176|-0.2025|-1183.602045|88.0|7.0555|7.0555
8k_a46|0|0.1337610719999999|7.727094485|1|0.300205953|0.1436554669999999|-0.006208399|5.533389489|2|0.038616352|-0.061030265|-0.397337564|-0.002099764|10.31928125|-0.038125|1|-0.1017929319999999|-0.030019362|2|0.786206898|0.095179795|-0.051289238|0.8341090329999999|0.7381768390000001|-0.08638304|-0.0863473759999999|0.400181795|0.009441365|-61.95565276|6.774333772|-44.45419269|4.860695117|-1.985989657|70.036452|-23.74966689|68.75557551|529.6539372999999|-1424.980013|2328.360804|-17.04077386|0.173430886|8.070811215|0.975803904|124.4394929|-1022.446432|28.73282642|0.0112621819999999|-468.6373459|865.6610153999999|8.080799245|1.0|1.0|2.0|3.94|23.0|-8.66|124.17|1.86|1.0|0.0|132.47|5.0|34.0|6.0|-6.75|474.58|0.0|3.29|-5.13|7.47e-06|0.00355|0.0|2.17e-09|1.03e-06|4.1034|-1845.257085|742.04|302.15|246.1|642.39|0.41618|0.5577300000000001|0.1166|-0.20954|-1845.037411|147.0|6.8327|6.8327
14o_a23|1|-4.758526534|7.423568444|0|1.197958066|0.18835477|-0.014680137|5.351858133|2|0.046090147|0.135737344|-0.807407518|-0.002390707|10.3132174|-0.049105045|2|0.416392114|-0.0962526|2|0.802854174|0.000891427|-0.072078004|0.861597051|0.904077943|-0.072435569|-0.094138958|0.328340215|0.018054548|-66.92857564|12.835973699999998|-47.58321438|9.125801389|-2.165196042|80.64694246|-30.18347529|64.33441296|642.7588542000001|-1539.35724|2297.392496|-21.45909668|0.199698446|9.016411722|0.958697036|141.97663490000002|-1094.413931|37.71512766|0.019295686|-427.001863|676.4530574|13.71836682|0.0|1.0|1.0|3.55|26.0|-7.95|114.25|3.04|2.0|1.0|126.97|7.0|35.0|8.0|-5.94|495.48|0.0|4.31|-6.0|1e-06|0.0004969999999999|0.0|1.12e-08|5.57e-06|3.6989|-2042.161288|729.11|335.19|335.19|582.89|0.58581|0.58581|385.0|-0.23229|-2042.000938|3.0|8.4815|8.4815
13m_a6|0|0.0|6.842683282|0|1.429020166|0.031719435|-0.010840005|4.727387819|2|0.0446875|0.021526267|-0.628720289|-0.0093684169999999|10.9505335|-0.018628955|1|0.037052986|-0.068956229|2|0.7767360059999999|0.156982046|-0.031564227|0.832753533|0.715612461|-0.0989137669999999|-0.107644789|0.429009107|0.01858251|-75.05944278|12.95736535|-52.33806464|9.035018118|-2.045251|89.65257305|-26.40980394|81.92876874|498.9881336|-1426.129413|2574.030011|-18.41524497|0.263701|8.435961541000001|0.926594475|183.8755989|-994.4232282|35.8683143|0.020928405|-329.5370141|724.3873672999999|14.59313027|1.0|1.0|3.0|3.59|27.0|-9.67|122.47|0.81|1.0|0.0|127.2|6.0|33.0|5.0|-7.23|435.48|0.0|2.67|-4.28|5.24e-05|0.0228|0.0|2.1499999999999998e-10|9.35e-08|3.3359|-1423.712909|726.28|371.67|316.88|546.69|0.66475|0.64753|0.1924|-0.20954|-1423.511471|0.01|8.0|8.0
47o_a18|0|0.0|7.03438793|1|1.251177005|0.052875948|-0.006476544|4.844187086|0|0.037484277|-0.006238734|-0.4339284229999999|-0.00046896|10.94702017|-0.038296569|0|-0.009467295|-0.103458566|0|0.7435044540000001|0.001673737|-0.066242713|0.781148177|0.806872998|-0.077288013|-0.088436375|0.261785105|0.008692675|-64.2280736|6.313168526|-46.6464782|4.585021184|-2.210909375|70.23090572|-25.08909125|62.44459815|586.0020642999999|-1605.70184|1393.529823|-18.22128055|0.127246923|9.808930716|0.972958142|92.41474142|-1166.161955|28.74706708|0.008265369|-541.4335917000001|931.8364349|6.002832126|1.0|1.0|3.0|4.17|18.0|-9.37|85.29|2.94|3.0|1.0|139.63|9.0|34.0|3.0|-6.12|454.56|0.0|2.76|-5.08|8.38e-06|0.00381|0.0|4.26e-10|1.93e-07|3.22|-1455.547304|783.22|385.04|385.04|706.49|0.69248|0.69248|0.5065|-0.18223|-1455.231246|47.0|7.3279|7.3279
