molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|n5aRing|n5aHRing|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|GATS1pe|RASA|FNSA3|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GRAV|PPSA1|WNSA2|FPSA5|DPSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
12l_a30|0|0|0|-4.712037416|0|7.412764017000001|2|2|0.157020295|-0.015371073|5.351858133|-0.274237737|2|0.044036281|-0.102468864|0.0|-0.876151158|-0.00695299|0.154540315|1|1|-0.226973911|1|0.613786308|0.830875659|-0.0395239879999999|0.593245722|0.834279405|-0.0905026719999999|0.37422435|-63.31694493|-76.82494797|10.78883933|103.5499036|0.165720595|-0.045581702|7.548024079|0.8218150790000001|-2.415830189|-44.29742723|88.64610824|-31.88960104|74.10578426|3306.001879|2394.793539|-22.31041443|0.178184921|17.23248653|7576.362669|124.6606826|-1182.451965|0.016896687|2056.604824|696.6414817000001|1.0|1.0|1.0|17.0|4.78|0.0|133.96|0.0|-6.7|34.0|8.0|-5.66|482.48|0.0|3.42|-5.92|9.63e-05|1.2e-06|0.000579|6.61e-08|5.0454|-1988.033039|729.17|1223.54|351.78|0.2294|0.39486|-0.14944|2.5031|-0.20397|-1987.848331|61.0|7.2154|7.2154
38_a18|0|0|0|0.0|0|7.03438793|2|2|0.059724697|-0.00575311|4.844187086|-0.009006798|1|0.035478927|-0.066676644|0.0|-0.448742607|0.000520558|-0.020056674|0|0|-0.11123356|0|0.745084567|0.719168079|-0.007310849|0.7400818459999999|0.8310704529999999|-0.076974444|0.423402315|-61.25359673|-65.45657441|6.675707878|100.7046282|0.1689295469999999|-0.0322355079999999|5.3122971560000005|0.880927895|-2.385427574|-48.74349112|71.15832778|-25.65190078|67.92930461|3162.36475|1855.157022|-20.41289434|0.119072105|20.5922319|7261.130718|94.75345803|-1510.554181|0.007165119|2154.819559|1228.492038|1.0|1.0|3.0|18.0|4.13|1.0|160.66|0.0|-6.98|38.0|3.0|-5.55|508.65|1.0|3.64|-6.11|5.36e-05|7.85e-07|0.000399|4.68e-11|3.2241|-1611.630281|861.93|1515.64|384.55|0.5147|0.69235|-0.13229|1.9877|-0.18066|-1611.206669|91.0|7041.0|7041.0
35_a18|0|0|0|0.0|0|7.03438793|2|2|0.068150325|-0.00622005|4.844187086|-0.020425504|1|0.03531746|-0.069149293|0.0|-0.44784362|-7.44e-05|0.027469086|0|0|-0.117857059|0|0.737701788|0.737094825|-0.017913121|0.7277482059999999|0.800765945|-0.081822342|0.3888901179999999|-60.302584200000005|-62.06945887|6.525195505|118.7214377|0.199234055|-0.033440195|4.809030636|0.874573807|-2.273933228|-44.44264921|67.9315105|-24.64522632|66.82777970000001|3038.429834|1761.858479|-18.16338657|0.125426193|17.18442554|6995.248058|92.43836482|-1235.110287|0.007954001|1916.219506|1056.535856|1.0|1.0|3.0|18.0|3.35|1.0|151.05|0.0|-6.06|36.0|3.0|-6.0|480.6|1.0|3.07|-5.53|0.000415|2.96e-06|0.0014199999999999|2.81e-10|3.2146|-1533.002975|796.47|1400.62|385.69|0.4981|0.69279|-132.0|2.0432|-0.18079|-1532.627182|24.0|7.6198|7.6198
12ay_a36|1|0|0|0.0|0|7.412764017000001|2|2|-0.05976542|-0.006733838|5.351858133|-0.043778345|2|0.043383838|0.1012005419999999|0.0|-0.404030255|0.003676818|0.012286423|1|1|-0.169994208|1|0.902377067|0.78699829|-0.111814717|0.857993338|0.829406408|-0.074251203|0.419950383|-48.12939044|-64.13591431|11.67851857|126.7858133|0.170593592|-0.035337546|7.569978132|0.778164805|-1.978902589|-31.1973159|74.29343346|-22.90568368|59.80790901|2766.899844|3238.138932|-14.84739041|0.221835195|11.82248632|6204.216872999999|143.79285900000002|-831.4538627999999|0.015670425|1648.388976|729.1873176|1.0|1.0|2.0|17.0|2.5|0.0|133.68|0.0|-4.54|31.0|4.0|-6.38|409.49|1.0|2.42|-4.6|0.0117|2.5e-05|0.0102|4.55e-08|3.9348|-1311.576473|674.33|1184.45|339.12|0.2939|0.6727|-0.15056|6.2579|-0.2031599999999999|-1311.343228|18.0|7.7447|7.7447
19g_a38|1|0|0|0.0|0|7.412764017000001|2|2|-0.077355838|-0.008497058|5.351858133|-0.117921811|2|0.042419753|-0.037579797|0.0|-0.458841138|-0.006877664|-0.009881824|1|1|-0.250781298|1|0.653741315|0.836170906|-0.076414544|0.632625562|0.7200062690000001|-0.086314802|0.5322242429999999|-54.62049927|-72.29378538|14.52522351|137.56612280000002|0.279993731|-0.038842708|9.191644336|0.719941993|-1.942135378|-34.56416368|86.78105144|-24.57988703|69.14572278|2897.384301|2506.378649|-15.5542928|0.280058007|11.62016299|6631.17356|177.2223055|-777.7146399000001|0.0228937029999999|1707.074131|593.6088758|1.0|1.0|3.0|17.0|3.11|0.0|125.65|0.0|-4.25|31.0|5.0|-6.81|419.43|1.0|2.97|-4.33|0.0238|4.67e-05|0.0196|7.599999999999999e-08|5.2766|-1431.419426|638.82|1104.29|336.12|0.2285|0.3937|-0.15269|5.0677|-0.20748|-1431.244906|42.0|7.3778|7.3778
47n_a18|0|0|0|0.0|0|7.03438793|1|1|0.0487694459999999|-0.007614955|4.844187086|-0.057061805|0|0.032169312|0.017491759|0.0|-0.609196374|0.000271488|-0.003276575|0|0|-0.258092915|0|0.722991132|0.696612213|-0.083719099|0.711628292|0.792429396|-0.079299822|0.288989992|-65.43887366|-75.24728669|8.759783644|61.29571241|0.207570604|-0.031974244|7.228646444|0.783921929|-2.4620167580000003|-54.00070374|86.44740177|-26.38541222|74.19865731|3349.802294|2052.393389|-21.77346199|0.216078071|20.17045476|7909.580851999999|178.30942439999998|-1676.556573|0.01357247|2591.682495|1306.125688|1.0|1.0|3.0|18.0|3.31|1.0|162.18|1.0|-6.02|40.0|4.0|-6.68|539.67|0.0|2.76|-5.24|0.000511|5.7e-06|0.00308|1.7500000000000002e-10|3.2028|-1743.3283440000002|879.92|1565.37|387.11|0.5056|0.6914600000000001|-0.13138|2.4754|-0.18391|-1740.663577|64.0|7.1938|7.1938
9_a3|0|0|0|0.0|0|6.823286122000001|0|0|0.187952252|-0.007847313|4.727387819|-0.100592457|1|0.034166667|-0.126542538|2.4071976040000003|-0.298197887|-0.004918099|0.065373003|1|1|0.141996379|1|0.923357627|0.6729843740000001|0.042154567|0.865283439|0.84649775|-0.095161413|0.506753484|-44.74600478|-39.28853824|3.469130065|223.4501605|0.15350225|-0.038196575|1.6312253680000002|0.886859678|-1.336880133|-21.04009269|43.50933802|-17.96047462|48.21513485|2017.0704920000005|1383.145159|-8.445224386|0.1131403219999999|8.532203772|4430.929894|53.19989715|-295.5828535|0.008976383|708.8118076000001|349.6957191|1.0|1.0|1.0|21.0|4.62|0.0|92.69|0.0|-5.53|22.0|2.0|-5.21|303.38|1.0|3.7|-4.9|0.000899|1.25e-05|0.00379|5.5e-08|5.8185|-1256.087705|512.44|857.36|331.9|0.2069|0.3639699999999999|-0.15834|2.0863|-0.19833|-1256.002529|10965.0|4.96|4.96
7h_a8|1|0|0|0.0|1|7.05012252|0|0|-0.118981425|-0.00534208|4.844187086|-0.073219554|0|0.04737037|-0.016074683|0.0|-0.23505152|0.00112124|-0.0873792009999999|1|1|0.141285105|0|0.515235986|0.7051689170000001|0.041366689|0.507325475|0.771011027|-0.093181899|0.314190914|-53.71230941|-53.88211443|6.71377223|70.28953528|0.228988973|-0.041038456|3.86998135|0.892830345|-1.6825766830000002|-30.96107949|58.94376531|-23.65556243|60.42608164|2534.324886|1919.19991|-13.63564064|0.107169655|13.42380338|5657.402114|61.77519141|-559.0612661|0.00878112|1086.29603|446.5544107|1.0|0.0|1.0|23.0|5.49|0.0|101.89|0.0|-5.68|28.0|4.0|-5.27|373.35|1.0|4.63|-5.5|0.00078|3.16e-06|0.00118|3.5e-09|3.9282|-1285.182226|593.53|999.62|315.62|0.3885|0.6963199999999999|-0.16076|7.0847|-0.22875|-1285.0707960000002|10.5|4.9788|4.9788
3a_a49|0|0|0|0.0|1|7.535296702|1|1|-0.05210989|-0.006374689|5.4161004020000005|-0.072328354|2|0.0355787039999999|-0.044367345|1.819785|-0.337858497|-0.000349523|-0.060613765|1|1|0.003978478|2|0.775818577|0.8145214209999999|0.008391259|0.7476073409999999|0.72890527|-0.094437035|0.526915193|-55.30832478|-51.82200998|9.491036042|107.4001347|0.27109473|-0.030698626|5.558553447|0.689774813|-1.504232653|-32.39206742|64.2037853|-17.97906469|64.79936082|2599.121578|1793.526571|-10.52968207|0.310225187|12.49907878|5792.106924000001|181.6875706|-515.9544212000001|0.021141449|1277.19098|578.2841135|0.0|1.0|2.0|21.0|2.81|0.0|112.14|0.0|-3.06|29.0|5.0|-7.67|384.43|1.0|2.02|-3.3|0.3379999999999999|0.000503|193.0|6.52e-08|5.1647|-1254.012043|635.89|1082.21|320.04|0.3467|0.53794|-0.15978|3801.0|-0.2171|-1253.8126619999998|64.0|7.1938|7.1938
20a_a10|0|0|0|0.0|1|7.535296702|1|1|-0.0774974029999999|-0.0034618129999999|5.4161004020000005|0.049376168|2|0.036415094|-0.035536682|1.896409603|-0.197323337|0.008214031|-0.010695558|1|1|-0.081587712|2|0.661219642|0.755429696|0.019448804|0.63495222|0.913681336|-0.066386563|0.591835899|-43.19189039|-47.37850712|8.860330345|66.52185003|0.086318664|-0.028008251|5.764636687|0.733451892|-1.456429076|-28.10115947|58.1398225|-18.22250274|52.05222074|2998.608651|2021.669282|-11.8557778|0.266548108|15.37476788|6729.996773999999|173.41938059999998|-616.5004457|0.016540298|1291.932235|719.5272609|1.0|1.0|0.0|27.0|5.77|0.0|126.35|0.0|-5.68|33.0|5.0|-5.82|429.47|1.0|4.27|-5.59|0.000888|2.56e-06|0.0011|3.61e-10|4.7841|-1389.164302|696.63|1200.92|323.62|0.2738|0.50193|-0.1613099999999999|2.9429|-0.2274199999999999|-1388.957848|1.2|5.9208|5.9208
12a_a40|0|0|0|0.0|1|7.515889085|0|0|0.021610099|-0.00431394|5.4161004020000005|-0.012791297|0|0.036587302|0.17758258|0.8332127109999999|-0.14667395|0.01039129|0.100414476|2|2|0.031326603|0|0.58630452|0.718281767|-0.375724138|0.525051106|0.940879765|-0.064340227|0.000279043|-32.81611621|-38.17175304|6.001293955|107.5277007|0.059120235|-0.033799|3.060902482|0.85136964|-1.047769006|-16.73754566|43.65970865|-17.23885621|38.81741016|2185.594734|600.1247016|-8.792513441|0.14863036|14.43505064|4873.458436|75.8074911|-272.5679167|0.010759845|627.699788|323.26151960000004|1.0|0.0|0.0|20.0|5.43|0.0|91.76|0.0|-6.41|22.0|2.0|-4.56|346.23|1.0|4.78|-5.95|0.000134|1.13e-06|0.00039|6.15e-08|3.0966|-2097.826771|530.55|875.15|400.39|0.3701|0.6998800000000001|-0.12895|2491.0|-0.2091|-2097.779499|1778.0|5.7501|5.7501
9d_a40|0|0|0|0.0|1|7.515889085|0|0|0.007834411|-0.003961493|5.4161004020000005|-0.022152094|0|0.045555556|0.153818743|0.89023715|-0.146575228|0.011823978|0.15723868|2|2|0.019621984|0|0.601831605|0.7572844040000001|-0.223631751|0.55759121|0.941627612|-0.060319196|0.002088915|-31.08478865|-36.92750973|5.539796446|108.1468558|0.058372388|-0.031613312|2.854868966|0.8664205709999999|-1.074852592|-16.01918037|41.42218692|-16.29154841|36.6245851|2109.570685|336.6614768|-8.395657932|0.133579429|15.06105494|4401.742338|68.83858806|-285.4523697|0.0087217999999999|639.3115126|346.9019309|1.0|0.0|0.0|20.0|5.09|0.0|91.71|0.0|-6.13|22.0|2.0|-4.62|325.82|1.0|4.63|-5.65|0.0002399999999999|2.23e-06|0.000727|1.01e-07|4.6073|-1677.551678|542.19|892.69|370.51|0.4888|0.4557199999999999|-0.13875|6.2032|-0.20781|-1677.48058|107.0|6.9706|6.9706
21_a4|0|0|0|0.0|1|7.535296702|1|1|-0.164057585|-0.003068098|5.4161004020000005|-0.014982235|1|0.042924837|0.019346682|0.0|-0.131928225|0.012362563|-0.2897937889999999|1|1|-0.099702401|1|0.6952936|0.777866961|-0.174578783|0.674434042|0.932146735|-0.0571545999999999|0.239652988|-28.99048719|-38.7880598|10.23237244|63.37635587|0.067853265|-0.028676424|5.190159022|0.7231676229999999|-1.147056976|-14.70482428|47.69702403|-14.54552243|39.22285963|2045.488184|1584.866567|-7.377915035|0.276832377|9.956436217|4277.396118|140.4174905|-295.1166014|0.017563978|804.5450027|387.240586|1.0|1.0|0.0|17.0|3.85|0.0|91.59|0.0|-3.88|23.0|3.0|-5.76|303.36|1.0|3.23|-4.19|0.0403|6.51e-05|0.0197|1.16e-06|5.1623|-973.5683008|549.71|916.76|308.08|0.2016|0.5260600000000001|-0.16632|2.0282|-0.19588|-973.449892|121.0|6.9172|6.9172
9o_a24|1|0|0|0.0|0|6.605297921|1|1|-0.064667223|-0.007052095|4.59511985|-0.044044637|3|0.028472222|-0.087807028|0.0|-0.387865233|0.0012214139999999|-0.097596429|1|1|0.00294424|2|0.738419215|0.785672769|-0.000453155|0.7086274779999999|0.770273808|-0.088586421|0.6253256110000001|-51.29122728|-51.14964436|10.7072496|32.50178358|0.229726192|-0.032911684|6.1994599720000005|0.668046377|-1.678495905|-29.69744072|66.24061038|-19.05574986|61.99847688|2892.333138|1906.512273|-11.03321234|0.331953623|11.83284872|6697.297449000001|192.1999837|-562.6938294|0.026064002|1454.754155|663.2688909|1.0|1.0|2.0|23.0|4.36|0.0|120.73|0.0|-4.49|32.0|5.0|-6.83|421.45|0.0|3.01|-4.4|0.0137|3.9500000000000005e-05|0.0167|1.24e-08|5.8802|-1388.147972|611.03|1126.94|290.75|0.1409|0.41688|-0.17826|4.3816|-0.22353|-1387.945865|446.0|6.3507|6.3507
12t_a36|1|0|0|0.0|0|7.412764017000001|2|2|-0.058770337|-0.00673635|5.351858133|-0.034194893|2|0.041767677|0.035510516|0.0|-0.404180985|0.003676818|-0.030990165|1|1|-0.169994208|1|0.902377067|0.829598864|-0.050788309|0.857993338|0.8337556420000001|-0.0735262|0.318666358|-48.97252784|-67.01551397|11.7409283|86.12920631|0.166244358|-0.035934112|7.820109571000001|0.78316808|-2.012310282|-32.61842026|77.32343502|-23.93411213|60.71345614|2771.211293|2320.375227|-15.94144641|0.21683192|15.36435856|5936.009091|144.422087|-892.7209991000001|0.01547607|1711.395437|729.1873176|1.0|1.0|2.0|17.0|2.45|0.0|133.52|0.0|-4.61|31.0|4.0|-6.33|409.49|0.0|2.4|-4.57|0.0102|2.6600000000000003e-05|0.0109|4.38e-08|3.8844|-1311.585049|713.6|1208.04|337.89|0.4297|0.69297|-0.15088|5.9081|-0.2039|-1311.349439|8.0|8.0969|8.0969
16i_a32|1|1|1|0.0|0|7.765993078999999|0|0|0.175604846|-0.0146198339999999|5.733341277|-0.075706124|0|0.0439583329999999|-0.056414399|2.078707411|-0.7748511779999999|-0.003511776|-0.104899053|3|3|-0.211019184|0|0.801401734|0.836966894|0.009897928|0.761506727|0.801494708|-0.0857355019999999|0.5368697929999999|-56.03343427|-75.01027196|14.59730623|90.08098301|0.198505292|-0.036726892|9.540239197|0.718964113|-1.836344582|-36.62130242|88.80827938|-24.00328703|70.6307405|2770.767996|3450.514629|-15.6876273|0.281035887|12.57892808|6355.471589|183.6742715|-784.3813651|0.021112022|1669.296604|636.0251562999999|1.0|1.0|2.0|19.0|4.85|0.0|116.75|1.0|-7.03|29.0|5.0|-5.93|427.54|0.0|3.96|-5.09|3.96e-05|8.18e-06|0.0035|4.01e-08|3.6176|-1995.307733|692.96|1175.51|342.72|0.2857|0.70222|-0.14976|3353.0|-0.2002|-1995.11813|6.0|8.2596|8.2596
12i _a30|0|0|0|0.0|0|7.412764017000001|2|2|0.04580336|-0.00691453|5.351858133|-0.030422458|2|0.043848238|-0.0982344169999999|0.0|-0.366470081|0.00372838|0.0109710489999999|1|1|-0.090173435|1|0.8264832879999999|0.831176513|-0.1240820219999999|0.7463962120000001|0.8434291340000001|-0.076575246|0.356921662|-50.00086637|-63.00408424|10.32233418|84.78576301|0.156570866|-0.037414255|6.740110893|0.806299097|-1.833298476|-32.64875738|72.59006433|-24.43015511|60.32320054|2860.704198|2280.31966|-15.95200773|0.193700903|15.56818082|6362.153853|126.4796844|-781.648379|0.014680721|1484.657003|652.8825454|1.0|1.0|1.0|17.0|3.27|0.0|132.29|0.0|-5.93|30.0|4.0|-5.75|432.93|1.0|3.11|-5.44|0.0005139999999999|3.61e-06|0.00156|6.03e-08|5.0358|-2035.373964|691.59|1167.27|351.81|0.2384|0.43157|-0.14945|2.5397|-0.2041|-2035.203042|16.0|7.8013|7.8013
12x_a30|0|0|0|0.0|0|7.412764017000001|2|2|0.044575215|-0.006008579|5.351858133|-0.0335688279999999|2|0.043383838|-0.0606216429999999|0.0|-0.3545061539999999|0.00604028|0.027312213|1|1|-0.0922059569999999|1|0.842068099|0.782514704|-0.1759406839999999|0.803183654|0.848844277|-0.071909912|0.398925866|-47.48669555|-60.57208434|9.745611551|74.51844582|0.151155723|-0.035022402|6.435648079|0.824674971|-1.926232129|-31.35848986|68.52587215|-23.12752311|57.2323071|2845.417984|2374.777496|-15.27257668|0.175325029|14.14885734|6359.545311|115.7782842|-839.9917174000001|0.012044556|1542.442557|754.3941655|1.0|1.0|1.0|17.0|3.23|0.0|137.21|0.0|-6.04|31.0|4.0|-5.64|426.54|0.0|3.19|-5.46|0.00039|3.48e-06|0.00148|4.12e-08|3.4831|-1654.40976|703.75|1211.79|355.95|0.1517|0.68589|-0.14783|4.3702|-0.19876|-1654.183467|22.0|7.6556|7.6556
14k_a23|0|1|1|0.0|2|7.423568444|0|0|0.070940371|-0.005866159|5.351858133|-0.024758731|2|0.046283951|0.04479394|0.74561778|-0.299174093|0.010682694|-0.055500851|2|2|-0.13187015|2|0.722187957|0.800643488|-0.091426449|0.659570836|0.922397728|-0.0562483359999999|0.226547411|-37.43135588|-53.17069631|12.53019305|38.76597615|0.077602272|-0.033999976|8.338417622|0.783562394|-1.597998852|-24.9092952|64.04991522|-22.62582822|49.96154892|2955.4566170000003|2174.886074|-15.05671972|0.216437606|15.99703938|6715.186162999999|144.0318708|-707.6658267999999|0.016348271|1357.152837|633.3278634|0.0|0.0|1.0|26.0|4.67|1.0|125.29|0.0|-6.13|31.0|4.0|-6.03|445.93|0.0|3.99|-5.55|0.000334|2.83e-06|0.00126|1.02e-08|3.6421|-2089.524497|691.9|1179.17|340.42|0.4694|0.63765|-0.14784|5.8718|-0.2271699999999999|-2089.354026|4.0|8.4123|8.4123
14b_a25|0|0|0|0.0|1|6.842683282|0|0|-0.091382738|-0.004720915|4.727387819|-0.0166120069999999|2|0.038137255|0.001683506|1.929508048|-0.273813082|0.004725325|-0.012989126|1|1|-0.074541111|2|0.6524261960000001|0.7723870909999999|0.001715854|0.632638761|0.859628015|-0.076156512|0.329662946|-52.75064158|-58.29440389|11.08504021|112.49583529999998|0.140371985|-0.032728922|7.678174472999999|0.772789587|-1.767361771|-36.53830946|69.2012501|-22.67004596|63.83568179|3038.600508|2118.281186|-15.70265555|0.227210413|17.06102567|6760.594953|157.3797801|-847.9433995999999|0.015746299|1584.108407|760.3735147000001|1.0|1.0|1.0|27.0|4.79|0.0|130.97|0.0|-5.6|34.0|5.0|-6.26|444.49|1.0|3.63|-5.23|0.0011099999999999|5.86e-06|0.00261|2.23e-10|5.4239|-1444.544749|716.14|1257.11|304.7|0.3614|0.34735|-0.16309|2.7037|-0.22149|-1444.330251|22.0|7.6576|7.6576
13j_a6|1|0|0|0.0|0|7.412764017000001|1|1|0.0353600779999999|-0.015004989|5.351858133|-0.154502515|1|0.041728395|0.07522656|0.0|-0.855284356|-0.011017781|-0.0951246069999999|1|1|-0.073507141|1|0.8744720490000001|0.783333463|-0.079161042|0.830577798|0.6229641429999999|-0.120219472|0.205764388|-80.33128667|-86.54032868|20.78979124|180.6709018|0.377035857|-0.046428683|13.89184843|0.7841668409999999|-2.460720196|-53.67779048|99.85109065|-31.02389141|101.1210779|2907.3053210000003|2634.320708|-20.73032827|0.215833159|15.43329684|6276.316063|144.22085800000002|-1098.707398|0.0199201689999999|2096.832152|673.8038326000001|1.0|1.0|3.0|23.0|3.54|0.0|120.17|0.0|-5.03|32.0|5.0|-6.81|427.46|1.0|2.82|-4.48|0.00398|3.28e-05|14.0|3.18e-09|3.6504|-1426.5532050000002|712.52|1196.6|348.28|0.2857|0.69993|-0.14602|8.3187|-0.19491|-1426.335207|262.0|6.5817|6.5817
5a_a49|0|0|0|0.0|1|7.853604813|2|2|0.079751437|-0.009147269|5.777652323|0.007039248|2|0.034466231|-0.072902329|1.878067786|-0.493952547|0.007647515|-0.046327135|1|1|-0.26176436|2|0.66494289|0.7979412790000001|0.127914587|0.632463498|0.800090055|-0.072109357|0.6254267029999999|-42.1802818|-46.04810561|16.71687776|124.92862240000002|0.199909945|-0.027311576|9.77851757|0.6069287529999999|-1.338267206|-24.67330519|61.89135559|-15.97587337|58.89715956|2797.737637|1887.422375|-9.345067946|0.393071247|11.91885068|6294.404170000001|229.9265537|-457.9083293000001|0.0270848489999999|1289.801795|592.5885712|0.0|1.0|0.0|21.0|3.68|0.0|116.62|0.0|-3.84|30.0|5.0|-6.84|397.43|1.0|2.93|-4.29|0.0578|5.09e-05|0.0202|1.1900000000000001e-07|5.2443|-1311.995327|625.06|1082.25|316.13|795.0|0.31953|-0.16176|5.6104|-0.21238|-1311.799168|43.0|7.3665|7.3665
7s_a46|0|0|0|0.218897825|1|7.727094485|1|1|-0.0778653109999999|-0.005351046|5.533389489|-0.076841616|1|0.044509804|-0.210750635|0.0|-0.240797051|0.0060802|-0.005405515|1|1|0.018964141|1|0.778692012|0.770312275|-0.030371026|0.768056188|0.858788462|-0.096723151|0.249893305|-48.61321955|-41.72189594|4.458665639|166.3052939|0.141211538|-0.031623562|2.240932895|0.8198874559999999|-1.3281895890000002|-24.43308641|47.36217237|-15.894055599999998|53.07188519|1982.695462|1619.4591|-7.988379237|0.1801125439999999|9.829721631|4245.390306|90.5248694|-335.5119279|0.01122216|814.1975221|409.9543818|0.0|1.0|1.0|17.0|3.9|0.0|91.19|0.0|-4.07|23.0|3.0|-5.81|305.37|1.0|3.12|-4.24|0.0262|5.76e-05|0.0176|8.39e-07|5.2972|-974.8067569|539.99|916.7|288.81|0.4164|0.44692|-0.17923|2.4286|-0.19947|-974.664103|1985.0|5.7022|5.7022
14o_a23|0|1|1|-4.758526534|2|7.423568444|0|0|0.18835477|-0.014680137|5.351858133|-0.301504331|2|0.046090147|0.135737344|0.6669152279999999|-0.807407518|-0.002390707|-0.029012777|2|2|-0.2952674819999999|2|0.598213287|0.802854174|-0.072078004|0.575188253|0.904077943|-0.072435569|0.328340215|-51.49843925|-66.92857564|12.835973699999998|110.3941788|0.0959220569999999|-0.042454824|9.125801389|0.800301554|-2.165196042|-36.61307972|80.64694246|-30.18347529|64.33441296|3399.6213840000005|2297.392496|-21.45909668|0.199698446|17.66041891|7967.617129|141.97663490000002|-1094.413931|0.019295686|1923.471511|676.4530574|0.0|0.0|1.0|26.0|6.18|1.0|126.97|0.0|-6.89|35.0|8.0|-5.94|495.48|0.0|4.31|-6.0|6.38e-05|1e-06|0.0004969999999999|1.12e-08|3.6989|-2042.184285|729.11|1236.72|335.19|385.0|0.58581|-0.1517|5.9294|-0.23229|-2042.000938|3.0|8.4815|8.4815
46_a18|0|0|0|0.0|0|7.03438793|2|2|-0.001181461|-0.005378956|4.844187086|-0.018808538|1|0.03531746|-0.046124025|0.0|-0.3872848129999999|0.002300582|-0.0669031009999999|0|0|-0.224171123|0|0.7100921609999999|0.729629263|-0.090469229|0.699483099|0.8265445990000001|-0.069742249|0.30524999|-49.54738918|-54.33831169|6.376289807000001|0.946462387|0.173455401|-0.029244604|4.5299444310000005|0.782232748|-1.988633091|-35.20023815|63.70285871|-20.77641329|55.92367899|3052.94234|1848.661552|-14.76030741|0.217767252|16.47206875|7150.333139|154.7096476|-1003.700904|0.013181412|1806.107079|1056.535856|0.0|1.0|2.0|18.0|3.3|1.0|151.14|0.0|-5.68|36.0|3.0|-6.14|480.6|0.0|2.93|-5.47|0.000999|3.35e-06|0.00161|1.51e-09|3225.0|-1532.992457|765.33|1380.79|384.45|0.4249|0.69181|-0.13224|2656.0|-0.18219|-1532.562476|186.0|6.7305|6.7305
4a_a49|0|0|0|0.0|1|7.535296702|1|1|-0.076526919|-0.006602016|5.4161004020000005|-0.074495823|2|0.036555556|-0.080255074|1.713107022|-0.3631108529999999|-1.8100000000000003e-05|-0.053787795|1|1|-0.060391347|2|0.7541604690000001|0.803344301|0.032396301|0.731643066|0.7570436159999999|-0.094228246|0.433367368|-57.79201133|-53.88810275|10.51443916|313.22432680000003|0.242956384|-0.0292876779999999|6.448709504|0.650301539|-1.4936715669999998|-35.44496163|68.37721704|-17.96270092|68.30645049|2675.628678|1647.61849|-11.01687292|0.349698461|15.01791558|5950.370212|214.47685|-561.8605190000001|0.023624093|1408.727632|620.5697596|0.0|1.0|2.0|21.0|2.83|0.0|114.08|0.0|-3.28|30.0|5.0|-7.52|399.45|1.0|2.42|-3.52|211.0|0.000305|122.0|4.35e-08|4.7259|-1313.19945|660.19|1128.22|327.34|0.1935|0.35731|-0.1585099999999999|3.9716|-0.2231199999999999|-1312.98289|32.0|7.4949|7.4949
13_a15|0|0|0|0.0|0|0.0|1|1|-0.139434143|-0.006348913|0.0|-0.031457366|3|0.029206349|-0.006938727|0.0|-0.393632585|0.001806571|-0.031047852|0|0|-0.272482143|2|0.843715005|0.729838386|0.009456191|0.796300317|0.8854875790000001|-0.068526782|0.708462114|-43.2365883|-61.86632281|10.21906987|142.67217639999998|0.114512421|-0.033811561|6.447664726|0.755283433|-1.961070565|-27.279882500000003|72.41636305|-21.33321476|53.45565817|3028.485145|3581.589629|-13.46007201|0.244716567|10.07307988|7196.400881999999|154.4025434|-780.6841766|0.01672103|1638.227985|830.7967967000001|1.0|0.0|1.0|24.0|6.69|0.0|138.24|0.0|-6.32|34.0|4.0|-5.26|448.52|0.0|4.61|-6.1|0.000214|7.970000000000001e-07|0.000357|1.27e-09|3942.0|-1450.756042|674.36|1231.11|482.03|208.0|0.63827|-0.11283|3.5479|-0.15229|-1450.462642|6.0|8.2218|8.2218
