molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC7i|MATS1c|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PNSA5|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|GRAVp|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|pIC50|pIC50
18d_a25|0.0|0|0|0|0.0|1|0|1.193723212|1.918453956|-0.0881447869999999|-0.0029605|0.024310576|-0.031867489|-0.180590503|0.006452854|-0.070413428|10.31285314|1|-0.055336237|-0.292727912|2|0.722349659|-0.03671629|0.838260077|0.696372329|1|0.937813705|-0.061527513|0.278576218|-57.45144813|0.062186295|46.80695276|-0.0281209329999999|-43.24308488|0.389087507|3113.122552|-1206.480411|-15.93166285|0.24206301|9.479218984|18.11893325|0.911437354|6876.316137000001|27.92623037|0.014219928|-388.2927768|1591.795131|883.4030667999999|10.70318668|1.0|1.0|1.0|3.66|3.57|27.0|-10.23|6.33|5.98|111.51|2.0|143.37|7.0|35.0|4.0|1.0|0.0|-5.54|2.86e-06|0.0013599999999999|0.0|5.92e-11|2.81e-08|4.56|3.6392|-1806.848384|-1806.812778|792.79|1358.25|0.3986|219.39|664.72|0.41694|0.6823899999999999|-1806.514606|3.2353|-0.2201|6.6345|6.6345
12a_a50|0.0|0|1|1|0.0|2|1|1.397770359|4.075037557|-0.199881787|-0.002936355|-0.0016330379999999|-0.111689174|-0.126263256|0.01164808|0.014596049|10.94501645|2|-0.193999688|-0.247407423|1|0.699597776|-0.030758487|0.862192416|0.660148928|1|0.904119689|-0.05075501|0.29507467|-33.44733598|0.095880311|48.30443297|-0.02383238|-16.85074424|69.83817338|2223.666558|-468.2627037|-6.048985111|0.4247810279999999|5.116970861|9.648744341|0.885635975|4665.239724|20.873331|0.027455156|-75.79052945|814.0599092|388.171611|13.83188822|1.0|0.0|1.0|3.3|2.21|20.0|-5.49|2.59|3.42|48.53|0.0|94.69|2.0|24.0|3.0|0.0|1.0|-3.84|0.000144|45.0|0.0|3.22e-06|0.00101|2.47|4.0783|-1006.659456|-1006.632973|545.54|908.22|0.1807|304.01|394.52|0.65267|0.65267|-1006.498352|5.7662|-0.20172|7.1249|7.1249
8m_a46|0.0|0|0|0|0.2148468989999999|1|1|1.160371261|2.126524943|-0.044830187|-0.00517896|-0.085284636|-0.134230003|-0.248590088|0.0063680119999999|-0.120972269|10.94650201|1|-0.206020062|-0.380393836|1|0.783187801|-0.084989948|0.8142050040000001|0.77612204|0|0.876210355|-0.0911455|0.280198209|-45.17474201|0.123789645|65.63194084|-0.032188531|-23.9511632|0.0|2045.330306|-767.9706141|-9.04821721|0.114510313|5.684332261000001|9.899611044|0.7415609409999999|4439.758321|19.27296714|0.006689855|-408.7649869|867.2835213999999|463.1469765|3.546889545|0.0|0.0|1.0|3.24|2.92|17.0|-6.46|4.16|4.21|50.94|1.0|96.16|2.0|24.0|3.0|0.0|1.0|-4.56|2.78e-05|0.0088799999999999|0.0|3.5e-07|0.000112|4.12|4.2881|-1014.126693|-1014.091966|570.72|970.82|0.3905|233.66|489.57|0.43001|0.6997800000000001|-1013.91158|2.0174|-0.19715|6.6402|6.6402
12_a1|0.0|1|0|0|0.0|0|1|1.430936075|0.0|-0.0455890429999999|-0.011221829|-0.02164054|0.076867966|-0.516204114|-0.0038943009999999|-0.0811332759999999|10.94945122|1|0.127560614|-0.487073772|1|0.8016064479999999|-0.045776997|0.817998205|0.7534284040000001|0|0.765121385|-0.0964711209999999|0.210514881|-60.78517756|0.234878615|136.3310784|-0.039894864|-35.28166588|477.1158679|2592.245875|-972.562841|-13.44063462|0.275333347|7.679719277999999|14.34104294|0.867391557|5468.378562|31.95435864|0.024485753|-260.8074567|1342.083063|473.040639|14.21231622|1.0|1.0|1.0|3.29|2.72|23.0|-8.2|4.87|4.41|83.82|2.0|103.47|3.0|28.0|5.0|0.0|0.0|-4.75|1.77e-05|0.00649|0.0|6.28e-09|2.3e-06|3.67|3.1744|-1216.12881|-1216.099134|607.42|1018.84|0.5867|332.04|482.51|0.69114|0.69763|-1215.922313|7.7454|-0.19916|5.5302|5.5302
8f_a8|0.0|1|0|0|0.0|1|0|1.394802091|1.241306689|0.024051247|-0.01032134|-0.249095464|0.0587545909999999|-0.485102985|-0.007796225|-0.08540947|10.94343488|1|0.152294451|-0.5373378529999999|0|0.578166105|-0.016217844|0.751162751|0.56916135|0|0.5968139689999999|-0.122135295|0.308621017|-62.06002501|0.403186031|235.1097364|-0.048375351|-36.18904175|67.99102163|2622.044457|-1241.2005|-16.44956443|0.09422952|7.504290616|13.81994609|0.8416059290000001|5948.547713|31.14376424|0.009226445|-473.23361|1370.325626|485.8626377000001|5.380213594|0.0|0.0|0.0|3.14|2.85|23.0|-7.95|4.69|4.72|80.88|2.0|105.27|4.0|29.0|4.0|0.0|0.0|-5.0|1.01e-05|0.00395|0.0|1.13e-08|4.43e-06|7.71|3.4876|-1361.658484|-1361.626748|602.63|1022.89|0.3188|263.65|477.92|0.55661|0.69925|-1361.455053|5.8283|-0.21285|4.6428|4.6428
13_a12|0.0|0|0|0|0.0|0|0|1.508548782|0.0|0.202052156|-0.0069874069999999|-0.0619247109999999|-0.21832579|-0.272508888|0.000830398|-0.083760082|10.96083169|0|-0.362308767|-0.595629719|2|0.845823047|-0.226526433|0.7300173240000001|0.804066411|0|0.90006391|-0.058167326|0.122164874|-45.33566159|0.09993609|48.98899535|-0.034993718|-22.2236882|66.2289548|1812.788134|-634.6992622|-8.408963103|0.117007826|6.06407675|11.36787272|0.874625469|3647.657976|19.42716439|0.0074597119999999|-375.4880089|718.8050825|327.9594923|3.656774794|1.0|0.0|0.0|2.7|2.64|18.0|-7.14|3.63|3.9|50.7|1.0|84.74|3.0|21.0|3.0|0.0|1.0|-4.2|6.3e-05|0.0174|0.0|7.26e-08|2.01e-05|3.83|3.9329|-876.3661620999999|-876.3370809|532.86|867.79|0.6528|273.31|437.91|0.6622399999999999|0.64974|-876.209109|1.3023|-0.20903|7.0315|7.0315
12y_a36|0.0|1|0|0|0.0|0|2|1.29704385|0.0|-0.061103469|-0.00707164|-0.065314765|0.036174187|-0.410155116|0.002782748|-0.049845887|10.94917392|1|0.06152178|-0.434990282|1|0.90500247|0.046673879|0.873588247|0.856135378|0|0.83704133|-0.076585128|0.424572485|-66.24017399|0.16295867|109.55137340000002|-0.036493654|-44.53093547|14.40618351|2793.629988|-1324.80348|-16.49293906|0.244264266|7.589386902|14.80236899|0.950403792|6082.16777|32.46293206|0.01873364|-343.8442493|1752.9983309999998|698.847203|12.59396622|1.0|0.0|1.0|4.88|0.0|17.0|-7.01|3.62|2.42|69.2|1.0|133.84|6.0|31.0|4.0|0.0|1.0|-4.55|2.82e-05|0.0115|0.0|9.66e-08|3.94e-05|3.83|3.8794|-1310.350902|-1310.315063|702.38|1183.75|0.4358|319.6|532.91|0.66796|0.66796|-1310.077567|6.1376|-0.20673|7.9208|7.9208
1_a1 (SKF-104365)|0.0|0|0|0|0.0|1|1|0.626769342|2.196347317|0.011230812|-0.006055958|-0.01959813|-0.091086986|-0.218014497|0.000663414|-0.10236005|10.33812228|1|-0.221214316|-0.505981356|1|0.57031697|-0.015406451|0.857919181|0.551667506|0|0.8131557509999999|-0.067997692|0.2405471019999999|-37.55389489|0.186844249|86.42113499|-0.029524467|-17.369816|63.42504103|1997.193006|-450.6467387|-6.316296726|0.290255081|5.2735884010000005|9.042613965|0.71469847|4225.4765640000005|19.24066156|0.018973797|-194.0267797|634.9418316000001|297.2783688|8.775956802|1.0|1.0|1.0|2.97|2.68|17.0|-6.0|3.93|4.28|56.01|0.0|81.72|2.0|21.0|3.0|0.0|1.0|-4.02|9.65e-05|0.0287|0.0|9.93e-07|0.000295|3.45|3.8901|-1279.084677|-1279.060907|491.18|809.96|0.2178|318.72|358.09|0.70081|0.70081|-1278.971649|4.5773|-0.19624|5.7959|5.7959
14z_a23|0.0|0|1|1|0.0|2|0|1.197960872|3.305974434|0.08752343|-0.005892861|-0.024897956|0.038811869|-0.30053593|0.009174505|-0.0438568409999999|10.31321795|2|0.0708381429999999|-0.46459002|2|0.719722236|0.10796308|0.8668730109999999|0.64069202|1|0.925301102|-0.0582387179999999|0.228957475|-55.54823244|0.074698898|52.02674091|-0.03393829|-38.68856944|79.960755|3094.698027|-1110.964649|-16.46322104|0.214395551|7.834464959|14.91419434|0.903664694|7285.13008|30.08835522|0.01612263|-397.8390333|1414.152695|665.6233736|11.22918692|0.0|1.0|0.0|3.42|3.67|26.0|-8.57|4.64|5.32|105.02|2.0|130.3|5.0|32.0|4.0|0.0|0.0|-6.13|7.37e-07|0.000354|0.0|2.6899999999999996e-09|1.29e-06|4.73|3.6632|-2549.107748|-2549.0953670000004|715.41|1221.92|0.3201|307.5|586.28|0.66217|0.69913|-2548.895003|5.9301|-0.23698|8.2941|8.2941
12v_a30|0.0|0|0|0|0.0|0|2|0.604983445|0.0|0.037440652|-0.006974714|-0.029548782|-0.099831334|-0.369659818|0.002431329|0.020607357|10.31162873|1|-0.173424818|-0.471153275|1|0.8149999040000001|-0.029852321|0.889479916|0.711738503|0|0.8501212029999999|-0.077138874|0.404950755|-65.72041011|0.1498787969999999|101.4008026|-0.037666615|-44.46327619|0.0|3001.758432|-1248.687792|-17.2408622|0.193930933|8.114588039|15.56114504|0.917675298|6952.110426|31.6144427|0.014801518|-414.1432908000001|1549.107692|685.6665849999999|10.01399667|1.0|1.0|1.0|4.62|0.0|17.0|-7.8|5.11|3.92|81.65|2.0|137.3|5.0|31.0|4.0|0.0|0.0|-6.04|9.14e-07|0.0004269999999999|0.0|1.58e-08|7.39e-06|5.08|3.5507|-2494.963646|-2494.92869|715.58|1209.1|0.1601|349.18|573.82|0.68405|0.68405|-2494.739831|2.9171|-0.20681|7.6596|7.6596
