molecula|TASA|Num. of Rotatable bonds|NaasN|Oscillator Force (HOMO-LUMO transition)|GATS1pe|Dipole (gas phase)|Log Kp (cm/s)|heavy_atom_count|PNSA3|Mor01p|Log Po/w XLOGP3|Log Po/w MLOGP|Synthetic Accessibility|FNSA1|Fraction Csp3|Log Po/w Silicos-IT Log P|Total Energy (gas phase) (Hartree)|Area (grid)|pIC50
12be_a36|553.6616295|7.0|0|0.0018|0.8350231859999999|7.7861|-7.13|33.0|-54.15309606|766.4854363|2.62|1.42|4.96|0.5660743979999999|0.21|2.83|-1461.968283|739.48|7.3565
8a_a31|293.7455749|3.0|0|0.2604|0.883113019|3.7141|-7.11|22.0|-60.46233433|324.7430642|1.56|0.36|3.34|0.666437359|0.2|4.16|-1347.507102|538.75|6.1024
18c_a25|623.0528232|7.0|1|0.0041|0.7357918440000001|6.1775|-5.85|33.0|-31.96445203|831.3429628|4.49|3.08|3.58|0.7479204509999999|0.11|6.29|-1714.5777670000002|698.86|7.0555
3f_a32|492.7734095|4.0|0|293.0|0.786074011|3.4678|-5.03|24.0|-41.40131823|475.3634141|4.83|2.18|3.9|0.78919828|0.28|7.18|-1712.034952|604.9|8.0458
16b_a23|688.1144512|6.0|2|0.3456|0.711576167|9.2317|-6.3|36.0|-37.52431601|896.9989312000001|4.21|3.14|4.19|0.738977|0.07|3.02|-1877.615701|772.84|7.0191
12aa_a36|471.12395210000005|6.0|0|0.4446|0.849217847|3.5904|-7.79|32.0|-72.94175494|689.2886595|1.55|1.28|4.83|0.731335741|0.13|1.92|-1401.617177|701.99|8.0458
8g_a8|327.1604688|4.0|1|0.3904|0.656457444|6.0697|-6.34|31.0|-83.78686741|551.1746801|3.53|3.01|3.31|0.8330608209999999|0.04|4.11|-1450.913472|635.27|5.3768
8c_a31|345.3445134|5.0|0|0.2597|0.87237334|3.3453|-6.7|24.0|-64.57121646|423.1367008|2.38|0.85|3.51|0.72308253|0.29|4.89|-1426.129055|595.67|6.0915
8_a20 (IN-1130)|481.70475260000006|5.0|0|0.1361|0.7741509329999999|3803.0|-6.83|32.0|-63.72828772|684.5377542|2.87|1.33|3.49|0.7481063720000001|0.08|4.97|-1368.372708|696.06|7.4437
35_a18|590.1597827|8.0|0|0.4981|0.7277482059999999|2.0432|-6.0|36.0|-60.302584200000005|1056.535856|4.55|3.33|4.3|0.874573807|0.3|4.13|-1532.976969|796.47|7.6198
12bf_a36|437.4108773|5.0|0|0.4006|0.632625562|5.4787|-6.8|31.0|-58.26326838|593.6088758|2.88|2.78|4.72|0.7054709690000001|0.14|3.55|-1431.380702|670.85|8.2218
4o_a46|521.3931342|2.0|1|0.1598|0.6418406720000001|3.4494|-5.51|26.0|-35.54402423|544.7877262000001|4.06|2.72|3.73|0.7510206490000001|0.32|4.77|-1070.428722|581.59|6.7905
28_a20|521.7658603|5.0|1|0.0153|0.690655217|3.5284|-6.96|32.0|-57.59898971|684.5377542|2.68|1.73|3.45|0.773641727|0.08|3.93|-1368.32781|704.42|6.5935
24_a20|600.7235847000001|4.0|1|0.0108|0.607038752|3.6107|-6.26|31.0|-38.76683848|664.4562602999999|3.52|1.86|3.4|0.771032243|0.08|4.76|-1291.867578|685.66|6.4976
12g_a40|456.7977427|2.0|1|0.2682|0.6941475490000001|1.9175|-4.91|23.0|-49.94706785|335.7078145|5.07|3.76|3.24|0.852031227|0.0|4.83|-2173.0224510000003|540.25|6.1403
12a_a30|518.4718832|5.0|0|0.1511|0.7961424690000001|4.1875|-5.98|29.0|-47.73588073|620.9195447000001|3.87|2.82|4.65|0.805190202|0.14|3.84|-1575.745502|668.81|7.9469
27b_a34|515.8091561000001|5.0|1|0.0252|0.770240631|11.8546|-6.14|31.0|-57.66200309|627.4287311|3.75|1.83|3.54|0.712312759|0.12|3.94|-1350.018975|691.97|6.1871
4g_a46|543.2323468999999|3.0|1|0.1294|0.635494818|3.5526|-5.18|26.0|-32.64186634|568.1534007|4.73|3.06|3.9|0.826861093|0.38|5.19|-1493.132001|615.33|5.5615
5g_a40|321.64971460000004|3.0|1|261.0|0.7733200179999999|4.9132|-6.6|21.0|-72.93994279|266.8102663|2.17|0.74|3.13|0.745349319|0.21|2.69|-1328.015099|489.04|6.9101
14i_a23|531.9462982|6.0|2|0.3639|0.7333675390000001|5.9563|-7.33|33.0|-60.8283953|693.3423458|2.46|2.28|3.56|0.7780956840000001|0.04|2.57|-1798.608335|715.68|8.4622
19h_a38|456.3568442|5.0|0|0.088|0.698414933|6.9749|-6.77|30.0|-48.43313101|595.8790650000001|2.78|2.4|4.8|0.75379331|0.14|3.13|-1332.1538779999998|626.65|8.0348
15_a4|416.1168833|2.0|1|0.0969999999999999|0.509447294|2.1603|-5.6|22.0|-29.80513879|324.5687005|3.49|3.05|3.28|0.8438913020000001|0.11|4.09|-958.251931|512.65|6.757
12af_a36|524.5103537|7.0|0|0.0035|0.817582774|6.9003|-7.66|33.0|-57.32748365|757.7532208|1.85|1.49|4.98|0.6702409189999999|0.17|2.38|-1440.954069|737.4|7.8239
1_a15|566.1848585|8.0|0|0.0061|0.795437721|1.2218|-5.38|34.0|-44.01415991|851.7423982|5.23|2.2|3.91|0.605927517|0.19|5.46|-1510.117336|697.35|7.3565
4_a18 (SD-208)|401.1916387|3.0|0|0.2316|0.721664823|3.4629|-6.31|25.0|-40.10670787|363.2306414|3.02|2.02|2.77|0.602029021|0.0|3.54|-1542.276332|537.47|7.0969
9_a27|411.8826346|3.0|1|134.0|0.654138816|2.7456|-6.33|25.0|-40.3551562|424.8821143|2.8|2.66|3.12|0.7892801540000001|0.16|3.85|-1083.118736|549.64|8.699
12_a4|477.8721263000001|4.0|1|0.0464|0.531333552|7.8701|-6.84|29.0|-41.69390404|608.4548423|2.72|2.17|3.41|0.717772573|0.23|3.69|-1617.826064|640.67|5.032
9_a3|398.0331029|2.0|0|0.1127|0.865283439|2.0863|-5.21|22.0|-44.74600478|349.6957191|4.14|2.42|3.1|0.886859678|0.0|4.9|-1256.0634710000002|512.44|4.96
