molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nARing|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|AATSC1i|MATS1c|BIC2|MATS8d|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RPSA|FNSA4|WPSA3|RPCS|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w MLOGP|Veber filter|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12aq_a36|0.0|1|0|0|0.0|0|2|0.0|-0.0116333169999999|5.351858133|-0.135770278|2|0.041728395|0.076517478|-0.674732412|-0.006653538|-0.1031859869999999|10.95447882|-0.028591187|1|0.131910912|-0.090926893|-0.5356623070000001|0.839953955|-0.047695595|0.89459881|0.849217847|0.681470612|-0.1093001919999999|-0.122078233|0.162384515|-73.0277723|14.29132551|0.318529388|-0.042953452|9.548598682|112.415579|-2.319486422|95.39676382|87.31909781|0.426481765|2932.54604|-1549.740434|2906.024504|-19.17486584|0.238023252|8.596645087999999|14.98931431|6296.75201|159.03272990000002|37.66374367|0.020701483|2033.842158|689.2886595|13.83147784|0.0|0.0|1.0|0.0|4.83|0.13|-6.14|1.28|0.0|5.0|-7.79|424.46|0.0|1.15|-3.45|0.000304|0.000359|152.0|1.55|0.0|0.0|0.000305|-0.06059|3.88|3.3759|-1401.637414|703.04|0.4988|0.6933199999999999|0.7058300000000001|0.0059|6.7649|-0.19967|0.03228003|-1401.452487|8671.0|55.0|7.2596|7.2596
47j_a18|0.0|0|0|0|0.0|0|1|0.0|-0.007807275|4.844187086|-0.068902246|0|0.033563218|-0.048528478|-0.569931053|0.00031105|-0.006923502|10.94702285|0.0033281|0|-0.073551529|-0.331885553|-0.48833504|0.7444236670000001|0.005740124|0.77844379|0.757001264|0.80651845|-0.073041469|-0.094744194|0.476575952|-56.816779|12.42035127|0.19348155|-0.033837212|9.661420661|99.50526447|-2.368604851|86.31641604|69.23713027|0.481373558|3172.831382|-1842.467041|2064.803327|-20.47428768|0.235574938|9.597380968|18.50538303|7316.123159000001|183.246715|34.43235841|0.016220875|2410.265089|1081.726154|12.6177344|1.0|0.0|1.0|1.0|4.54|0.28|-8.79|2.63|1.0|4.0|-6.46|499.6|0.0|2.39|-5.14|1.49e-06|7.32e-06|0.00366|4.07|1.0|0.0|8.159999999999999e-07|-0.04423|8.09|3.1054|-1625.413107|839.37|0.5439|0.6983600000000001|0.6983600000000001|0.5439|4.1619|-0.17273|0.03246539|1625.053346|5.2118|35.0|7.4559|7.4559
9_a15|0.0|0|0|0|0.0|0|0|0.0|-0.009923019|0.0|-0.042227775|1|0.04022792|0.096418279|-0.506073953|1.7800000000000002e-05|0.05688176|10.95880687|0.005692073|0|0.140072812|-0.295062413|-0.344978312|0.7059441040000001|0.010183805|0.742680335|0.8105478740000001|0.846156316|-0.073701648|-0.11668349|0.416635119|-41.10356167|18.10574464|0.153843684|-0.028575549|10.09761131|54.69975317|-1.400201879|85.14415759|59.20930631|0.4517825079999999|2392.3164920000004|-780.8954896|1689.926339|-8.88789863|0.48742253|5.485176331|10.00547485|5375.400861|271.83655510000006|31.09118831|0.03598612|1523.4682269999998|532.0914339999999|20.06953345|1.0|1.0|0.0|1.0|3.16|0.19|-7.57|1.96|0.0|5.0|-5.52|366.41|0.0|3.69|-4.81|5.63e-06|1.53e-05|0.00562|4.24|0.0|0.0|9.86e-06|-0.0258899999999999|3.36|3.7487|-1223.687392|588.55|0.2693|0.6512399999999999|0.70552|0.0115|1.4625|-0.1824|0.01773342|-1223.522216|2188.0|107.0|6.9706|6.9706
7f_a8|0.0|1|0|0|0.0|1|0|1.2793830309999998|-0.005338193|4.844187086|-0.073219554|0|0.044814815|0.034392285|-0.234880498|0.00112124|-0.087673259|10.94343485|0.0260356679999999|1|0.09329746|0.141285105|-0.381574707|0.7051689170000001|0.041366689|0.7677336090000001|0.507325475|0.770229267|-0.091890536|-0.08790841|0.3155671539999999|-52.28313554|7.858266077000001|0.229770733|-0.040738044|4.471132824|55.49953831|-1.670259798|55.85651025|60.14140162|0.4513917389999999|2534.956113|-950.3309426|1854.738581|-13.18808857|0.119077775|7.704280774|14.04331892|5662.145174|67.75191165|26.31197491|0.010262531|1078.790971|446.5544107|5.839092213|1.0|1.0|0.0|0.0|3.14|0.0|-8.46|4.27|0.0|4.0|-5.27|373.35|0.0|4.63|-5.5|2.09e-06|3.16e-06|0.00118|4.66|0.0|1.0|1.31e-06|-0.07492|6.81|3.4810000000000003|-1285.168078|584.99|0.3536|0.7024199999999999|0.6987399999999999|0.1502|8.7098|-0.21998|0.02809022|-1285.071664|11.6137|35.65|4.4479|4.4479
4_a47|0.0|0|0|0|0.0|0|0|0.0|-0.008204735|0.0|-0.121159855|2|0.038479532|-0.158636969|-0.3692130839999999|-0.007295208|0.0687047279999999|10.93671044|0.011775922|0|-0.247195952|-0.027355932|-0.462831711|0.783871003|0.019305509|0.84420422|0.8124901999999999|0.874200878|-0.07804769|-0.092556319|0.444849947|-42.46254967|4.22896799|0.1257991219999999|-0.03525955|2.300808176|0.0|-1.48090111|57.78603076|46.69151766|0.402148382|2306.463316|-805.6976052|1528.797085|-10.43683449|0.193395607|6.468023748999999|10.818777699999998|5254.939281|105.2186243|23.78275706|0.013656479|998.8757964|471.7712484|7.429930428|1.0|0.0|1.0|1.0|2.75|0.05|-8.79|3.1|0.0|3.0|-4.99|361.82|0.0|4.32|-5.64|1.21e-06|2.31e-06|0.0008359999999999|4.96|0.0|0.0|5.81e-07|-0.05606|4.44|3.73|-1509.4201369999998|576.9|0.2304|0.45947|0.69157|0.2221|4.2607|-0.21076|0.03342033|-1509.3147789999998|5.4892|32.0|7.5|7.5
13_a15|0.0|0|0|0|0.0|0|1|0.0|-0.006348913|0.0|-0.031457366|3|0.029206349|-0.006938727|-0.393632585|0.001806571|-0.031047852|10.95980212|0.005149745|0|-0.010882979|-0.272482143|-0.357554652|0.729838386|0.009456191|0.7784213259999999|0.796300317|0.8854875790000001|-0.068526782|-0.098053528|0.708462114|-43.2365883|10.21906987|0.114512421|-0.033811561|6.447664726|0.0|-1.961070565|72.41636305|53.45565817|0.482317225|3028.485145|-1237.326456|3581.589629|-13.46007201|0.244716567|5.21465994|10.07307988|7196.400881999999|154.4025434|28.24531009|0.01672103|1638.227985|830.7967967000001|10.55004024|1.0|1.0|0.0|0.0|4.13|0.07|-8.9|2.52|0.0|4.0|-5.26|448.52|1.0|4.61|-6.1|4.77e-07|7.970000000000001e-07|0.000357|5.32|0.0|0.0|5.7e-07|-0.03946|5.04|2.5721|-1450.727602|674.36|208.0|0.63827|0.70626|0.0003|3.5479|-0.15229|0.02844037|-1450.462642|6.0429|6.0|8.2218|8.2218
9b_a36|0.0|1|0|0|0.0|0|2|0.0|-0.0058276019999999|5.351858133|-0.023369916|2|0.040166667|0.082806042|-0.308862918|0.005050384|-0.077361324|10.33767255|-0.06502499|1|0.146828453|-0.094526372|-0.4060950789999999|0.7885597609999999|-0.1177413269999999|0.842671963|0.7961424690000001|0.8453794609999999|-0.074181597|-0.098301686|0.2602997|-46.58565720000001|10.68084402|0.154620539|-0.036110824|6.707514535|0.0|-1.769430355|71.70079424|57.26650122|0.453252346|2715.020034|-1111.193067|2464.2160510000003|-14.24129533|0.21757783|7.549264797|13.80758516|5838.085413000001|136.63774650000002|28.98359786|0.015872498|1420.196295|620.9195447000001|9.967846072|1.0|1.0|1.0|0.0|4.73|0.14|-6.64|2.82|0.0|4.0|-6.46|398.48|0.0|2.48|-4.43|2.49e-05|3.71e-05|0.0148|3.2|0.0|0.0|9.21e-05|-0.05146|3.82|3.8535|-1575.751975|666.01|0.5392|0.69763|0.69763|0.5392|6.2846|-0.20979|0.02803905|-1575.616432|8.4288|21.0|7.6778|7.6778
7s_a46|0.0|0|0|0|0.218897825|1|1|2.117265684|-0.005351046|5.533389489|-0.076841616|1|0.044509804|-0.210750635|-0.240797051|0.0060802|-0.005405515|10.94651358|-0.020953253|1|-0.327656845|0.018964141|-0.3638523629999999|0.770312275|-0.030371026|0.8182543959999999|0.768056188|0.858788462|-0.096723151|-0.083011849|0.249893305|-48.61321955|4.458665639|0.141211538|-0.031623562|2.240932895|0.0|-1.3281895890000002|47.36217237|53.07188519|0.433822088|1982.695462|-667.5503351|1619.4591|-7.988379237|0.1801125439999999|5.565371272|9.829721631|4245.390306|90.5248694|19.38565529|0.01122216|814.1975221|409.9543818|5.640276426000001|0.0|0.0|1.0|1.0|3.08|0.26|-6.08|2.39|0.0|3.0|-5.81|305.37|0.0|3.12|-4.24|8.590000000000001e-05|5.76e-05|0.0176|3.32|0.0|0.0|0.000256|-0.02024|3.54|4293.0|-974.7707066|539.99|0.4164|0.44692|0.69976|0.1186|2.4286|-0.19947|0.036050328|-974.664103|3.6655|1985.0|5.7022|5.7022
3q_a32|0.0|1|1|1|0.0|0|0|0.0|-0.008072705|5.733341277|-0.04718311|0|0.03898374|0.02785755|-0.419780649|0.000773658|-0.022925245|10.31100266|-0.098400506|3|0.0492355779999999|-0.295228244|-0.5448044360000001|0.853737093|-0.1585635|0.901790225|0.716172604|0.84993799|-0.067604132|-0.097961799|0.34156046|-41.72706804|11.43581616|0.15006201|-0.027989085|7.058489861|53.27315741|-1.371465184|74.3682963|53.16288420000001|0.46136998|2649.276311|-846.5047848999999|3335.898591|-10.6629646|0.365026099|6.428518903|11.93494358|6079.482066|225.3038157|27.20679986|0.022526037|1333.133193|618.9134881|13.90366881|1.0|1.0|1.0|1.0|3.57|0.3|-7.31|1.33|0.0|4.0|-6.35|411.54|0.0|3.86|-4.62|1.24e-06|2.4100000000000003e-05|0.00992|3.47|0.0|0.0|2.01e-05|-0.04968|5.15|3.6236|-1920.042674|666.16|0.2897|0.70216|0.70216|0.2897|4.1362|-0.19969|0.02381444|-1919.883144|5.2657|28.0|7.5528|7.5528
13p_a6|0.0|1|0|0|0.0|0|0|0.0|-0.010395243|4.727387819|-0.1144898999999999|2|0.042959184|0.072850973|-0.634109842|-0.008008339|-0.014153926|10.95053423|-0.072853186|1|0.123575608|-0.116250572|-0.573014008|0.784414352|-0.125636943|0.837659336|0.8244206940000001|0.7265205579999999|-0.099405155|-0.107371897|0.196002517|-70.52421289|12.27472016|0.273479442|-0.03767435|8.708451561|107.5669533|-2.14743793|89.17529231|82.79893305|0.412828992|3016.078786|-1523.526317|3833.042283|-18.9628865|0.23994258|8.760340755|14.91957306|6590.216479|170.2302215|35.16646396|0.018322293|2004.488446|794.5462391|12.99897644|1.0|1.0|1.0|1.0|3.64|0.12|-10.06|1.01|0.0|5.0|-7.01|449.51|0.0|2.96|-4.55|8.11e-06|2.79e-05|0.0125|2.86|0.0|0.0|3.92e-08|-0.0746|4.73|2.9837|-1463.0432449999998|752.82|0.4132|0.47508|0.7056600000000001|0.0029|9.0546|-0.1971099999999999|0.03807447|-1462.804694|12163.0|92.0|7.0362|7.0362
