molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|PBF|PNSA5|RNCS|RPSA|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12f_a31|0.0|1|0|0|0.0|0|7.765993078999999|1|0.0|0.034876922|-0.011835152|5.733341277|0|0.043286807|0.0|-0.698273995|-0.00150321|10.31169747|2|0.000889251|-0.205011573|-0.551471017|0|0.805862937|0.8167107029999999|-0.021938988|0.8530975000000001|0.7730604259999999|0|-0.097676974|0.262896936|-82.48950216|159.84734269999998|0.299007775|-0.0337826789999999|-57.54866283|13.44201623|0.686882955|-1.891830012|-47.54067074|-23.56842919|87.41178754|0.482666192|-1319.832035|-16.44247509|9.859605078|19.05849748|0.932987917|5845.744358|-920.7786053|34.31214739|-260.7571603|15.04120547|1.0|1.0|1.0|2.0|3.78|0.41|-8.02|3.0|0.0|117.78|1.0|10.0|-5.98|30.0|-6.19|0.0|1.0|4.01|-4.63|0.0004469999999999|2.37e-05|0.0101|3.82|0.0|9.53e-09|3.8305|5.39|3.8305|-1696.785527|1258.6|323.68|323.68|0.7006600000000001|0.7006600000000001|-1696.466804|0.2664|1.8803|-1696.53373|3.3538|0.13|6.8861|6.8861
13k_a6|0.0|1|0|0|0.0|0|7.412764017000001|1|0.0|0.031525207|-0.014257799|5.351858133|1|0.051404465|0.0|-0.8554679409999999|-0.009326562|10.95129637|1|-0.006280295|-0.073210645|-0.5627624379999999|1|0.8694295409999999|0.7908110340000001|0.1373649019999999|0.84018367|0.827754203|0|-0.11937574|0.212093198|-88.29427104|183.1261118|0.3589674579999999|-0.045420752|-61.29890279999999|14.31458589|0.7971316940000001|-2.543562101|-57.53822059|-31.53366823|103.4959988|0.426031882|-1765.8854210000002|-21.89246528|8.370126134|14.58291125|0.7422570490000001|6492.211639|-1225.9780560000002|39.55891914|-412.5714301|12.48372364|1.0|1.0|1.0|3.0|2.8|0.16|-8.89|1.0|0.0|124.98|1.0|7.0|-5.49|33.0|-6.59|0.0|1.0|3.18|-4.77|0.00144|1.7100000000000002e-05|0.0075599999999999|3.39|0.0|1.29e-09|5112.0|5.41|3.5476|-1465.862962|1246.69|349.49|242.53|0.4547|0.70536|-1465.557346|0.0137|8.1639|-1465.621288|10.5079|46.0|7.3372|7.3372
3c_a12|0.0|0|0|0|0.0|0|6.555356892000001|1|0.0|0.06235058|-0.009252756|4.59511985|2|-0.14679559|0.0|-0.379362977|-0.003879878|10.3117069|1|-0.001825446|-0.211367878|-0.545592465|1|0.923855679|0.826033688|-0.0461654159999999|0.888353608|0.859899236|0|-0.071719601|0.242114395|-50.25579322|73.9854678|0.156144506|-0.033980537|-25.42738988|3.384177297|0.7055242159999999|-1.291260406|-18.35985151|-17.19277136|42.97583906|0.427357986|-653.3253118|-8.698843907999999|6.231995392999999|10.88288188|0.746291708|4629.005722|-330.5560685|24.36878988|-207.9738085|10.90754815|1.0|0.0|1.0|1.0|2.78|0.12|-6.78|0.0|0.0|98.16|1.0|3.0|-4.22|23.0|-6.18|0.0|1.0|2.76|-4.0|0.0194|9.940000000000002e-05|0.0318|2.91|0.0|1.67e-07|3.9848|2.56|3.5862|-1327.498519|894.36|345.72|311.14|0.43415|0.68067|-1327.351991|0.1193|1.6035|-1327.4004710000002|2.3061|0.02|7699.0|7699.0
20_a31|0.0|1|1|1|0.0|0|7.765993078999999|0|0.0|0.0469387759999999|-0.009722467|5.733341277|0|-0.013040402|2.114008068|-0.476400874|-0.003484915|10.31100269|3|-0.001662219|-0.1534110109999999|-0.594513619|0|0.788133615|0.8602874540000001|0.028036914|0.912372776|0.7507116140000001|1|-0.085849869|0.246878555|-69.0542431|64.42171513|0.2045729339999999|-0.033537774|-43.27297051|7.592555532|0.710707042|-1.542737604|-33.71260536|-21.01650877|65.91404723|0.464597945|-966.7594033|-13.1700345|8.289864307|15.48343758|0.86775525|5678.167489|-605.8215871|29.5712685|-264.0799235|12.29746712|1.0|1.0|1.0|2.0|2.74|0.26|-7.65|1.0|0.0|110.47|1.0|7.0|-5.91|27.0|-6.39|0.0|1.0|3.6|-4.44|0.000493|3.66e-05|0.0146|3.29|0.0|2.23e-08|3.5381|4.78|3.5381|-1880.768349|1113.19|350.43|350.43|0.7036600000000001|0.7036600000000001|-1880.538664|0.2011|3.7403|-1880.599777|4.9218|8.0|8.0862|8.0862
1e_a5|0.0|1|0|0|0.0|0|6.605297921|0|0.0|-0.260066152|-0.001975193|4.59511985|2|-0.080321049|0.0|-0.084933308|0.008031558|10.94440038|1|0.007357977|0.0578378779999999|-0.201027861|2|0.71274658|0.771487328|0.045376705|0.834250802|0.6977404359999999|0|-0.06795194|0.373935381|-36.22202792|159.537038|0.1194205|-0.0278901329999999|-18.81719677|2.317577542|0.7473936259999999|-1.115605324|-18.33860051|-14.48881117|39.76196174|0.482579989|-579.5524467|-7.526878708|6.41473183|12.39753333|0.932665879|4342.827698|-301.0751483|19.38578369|-257.0399733|8.161620868|1.0|1.0|1.0|1.0|2.17|0.05|-8.41|0.0|0.0|95.45|1.0|3.0|-4.25|24.0|-5.77|1.0|1.0|3.44|-4.45|0.0174|3.5600000000000005e-05|0.0111|3.43|0.0|3.87e-09|4746.0|3.17|4.4292|-990.6320386|935.47|279.92|261.24|0.56258|0.51802|-990.471803|0.1355|1916.0|-990.522307|3.0386|191.0|6719.0|6719.0
11a_a50|0.0|0|1|1|0.0|2|7.927685046000001|1|4.088412042|-0.156121881|-0.002914262|5.82008293|1|-0.04339705|2.114272566|-0.134056065|0.011959339|10.94500606|2|0.012037198|-0.277408878|-0.267331063|1|0.701976536|0.792574879|-0.158172459|0.8535780190000001|0.667956827|1|-0.048213112|0.2931724189999999|-37.63057389|7.53108119|0.0828728879999999|-0.025421565|-19.89396594|5.167341939|0.6543614329999999|-1.067705728|-13.47492066|-13.43949068|35.26290548|0.463749257|-564.4586084|-7.104987834|5.965221997|11.123941699999998|0.864799282|4858.670497|-298.409489|20.53832944|-163.21096210000002|11.04263807|0.0|1.0|1.0|0.0|2.8|0.15|-5.87|0.0|0.0|99.65|2.0|2.0|-3.58|25.0|-6.24|1.0|1.0|2.95|-4.16|0.0862|6.97e-05|0.0228|2.9|0.0|1.35e-06|4.0636|3.05|4.0636|-1045.978598|963.2|305.11|305.11|0.65485|0.65485|-1045.794689|0.1761|5.4342|-1045.84627|7.5619|59.0|7.2291|7.2291
11e_a5|0.0|1|0|0|0.0|0|7.139660336|1|0.0|-0.2114441819999999|-0.003208975|5.209486153|2|-0.07965|0.0|-0.192538515|0.008268901|10.9487795|1|0.008721244|-0.147721258|-0.234433859|2|0.77509232|0.775794895|-0.048843135|0.8215345|0.747366251|0|-0.062865536|0.372098505|-52.34653881|62.84782002|0.123241209|-0.0282210629999999|-34.67724171|5.290414418|0.72163516|-1.580379517|-27.58835281|-18.69519243|49.63167715|0.483563144|-1046.930776|-12.38472918|9.387474824|18.17739133|0.936345148|5675.693973|-693.5448342|25.90670947|-293.6467698|11.21791539|1.0|1.0|1.0|1.0|3.43|0.24|-8.95|2.0|0.0|125.71|1.0|7.0|-4.65|31.0|-6.28|1.0|0.0|3.63|-4.72|0.00919|1.9e-05|0.00782|3.56|0.0|1.13e-09|4.4179|2.91|4.1036|-1316.547103|1220.1|302.14|280.64|0.66478|0.6505|-1316.239803|0.2125|2.3124|-1316.301553|2.8694|0.04|7.3979|7.3979
6_a15|0.0|0|0|0|0.0|0|0.0|0|0.0|-0.199979249|-0.00951284|0.0|1|0.106485923|0.0|-0.513693384|0.001080419|10.95880677|0|0.003942615|-0.281352401|-0.35221474|1|0.8511056929999999|0.691316481|0.0371776429999999|0.7248900659999999|0.810779115|0|-0.07051817|0.398681391|-71.76572566|105.4415725|0.140691569|-0.0307500179999999|-41.87249058|10.03794313|0.581974721|-1.599000943|-24.00625743|-17.94143141|58.34873264|0.3902945579999999|-932.9544335|-10.46812265|6.110075236|10.02135591|0.640136254|5589.043165|-544.3423775|30.82854077|-95.65807914|17.18281248|1.0|0.0|1.0|1.0|4.03|0.23|-7.95|2.0|0.0|109.7|1.0|7.0|-5.66|28.0|-5.33|1.0|1.0|4.11|-5.14|0.000823|7.32e-06|0.00278|4.64|0.0|1.13e-08|4.3423|3.94|3.7696|-1263.0243449999998|1092.02|328.9|285.52|0.65191|0.70554|-1262.75978|0.0113|1.3789|-1262.820532|1.9421|35.0|7.4559|7.4559
5e_a40|0.0|0|0|0|0.0|1|8.149890544|0|1.661964758|-0.091305805|-0.004925115|6.167516491000001|0|-0.106497535|0.7768055559999999|-0.162528785|0.009890343|10.31198323|2|0.008306061|0.010397494|-0.391074665|0|0.535506399|0.8092726020000001|-0.402340487|0.877722972|0.5087199929999999|1|-0.076883794|0.0499188609999999|-42.66853738|170.7311133|0.135577249|-0.035889706|-20.29110082|4.489363277|0.8223594679999999|-1.076691165|-17.38723451|-17.06741495|46.00255248|0.47779156|-512.0224486000001|-8.116440327000001|6.533857846|12.51197289|0.914944155|4158.984115|-243.4932098|20.75420252|-306.597267|6.144645946|0.0|0.0|0.0|0.0|2.73|0.21|-4.65|1.0|1.0|79.16|2.0|3.0|-4.78|20.0|-5.66|1.0|1.0|3.33|-4.25|0.00505|5.56e-05|0.0169|3.51|0.0|2.23e-05|3.7138|4.99|3.7138|-1637.197299|802.38|333.85|333.85|0.69675|0.69675|-1637.115238|0.5262|7.87|-1637.162552|10282.0|25.0|7.6021|7.6021
12aa_a36|0.0|1|0|0|0.0|0|7.412764017000001|2|0.0|0.033952382|-0.011588438|5.351858133|2|0.03597264|0.0|-0.672129428|-0.006653538|10.95446449|1|-0.004569485|-0.090926893|-0.53315493|1|0.892815402|0.833911317|0.156337925|0.888163057|0.849217847|0|-0.1066659309999999|0.4679233379999999|-80.19356964|132.3194611|0.3110547589999999|-0.04126187|-54.83906299|11.04423694|0.731335741|-2.228140982|-49.88002793|-28.21625599|89.09222754|0.44829258|-1523.677823|-19.29522587|8.05947774|14.60824604|0.812554922|6438.603019|-1041.942197|38.58180913|-316.3903377|15.99256772|0.0|1.0|0.0|3.0|0.0|0.13|-6.14|1.0|0.0|131.85|1.0|6.0|-3.52|32.0|-7.79|0.0|0.0|1.15|-3.45|129.0|0.000359|152.0|1.55|0.0|7.19e-07|3.8899|3.88|3.8899|-1401.662677|1183.76|318.73|318.73|0.6931|0.6931|-1401.389257|0.4446|3.5904|-1401.45065|4.7433|9.0|8.0458|8.0458
