molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|nARing|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|GATS1pe|RASA|FNSA5|FPSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
7_a4|0.0|0|0|0|0.0|0.0|1|1|2.060422336|-0.237954652|-0.001729561|5.4161004020000005|2|0.037694444|-0.076100699|0.008409909|-0.125778587|10.92992954|0.04206117|1|1|-0.162314698|-0.042220092|-0.094000778|2|0.527072036|0.022270259|0.518356619|0.825830607|-0.071288428|0.01470626|-35.88407105|7.402610584|14.01468959|0.174169393|-0.026733161|-16.47508541|44.34066533|-13.45652664|0.437317462|2286.169166|415.6938929|-538.2610657|-6.773539148999999|0.282008333|5.512905888|9.797542165|5022.496714|-270.9415659|18.74189807|0.016800137|-219.4585767|749.6759227000001|1.0|1.0|0.0|1.0|3.05|2.7|0.15|4.42|4.67|0.0|95.07|0.0|2.0|-3.81|25.0|-6.03|330.36|1.0|1.0|3.56|0.000156|0.0514|13.0|3.22|0.0|1.15e-05|4.0379|-1089.847072|538.92|915.46|0.0697|365.73|0.59702|-0.16975|3.9832|0.02317758|-1089.753885|4926.0|6821.0|6821.0
11f_a5|0.0|1|0|0|2.967866825|0.0|1|1|0.0|-0.251797205|-0.0037371509999999|4.59511985|3|0.021060606|-0.227966183|0.00722997|-0.178881726|10.94877949|-0.0080939669999999|1|1|-0.1323098|-0.128153787|-0.203228986|2|0.785419245|-0.008110526|0.750555185|0.847356138|-0.074612137|0.0221464629999999|-51.92819555|15.41338844|70.39517801|0.152643862|-0.022252743|-33.11311829|73.05195434|-15.48735657|0.463183664|2853.401015|589.7388387999999|-882.7793242999999|-10.77881574|0.489052404|9.683662007|18.03905985|5969.213977|-614.3924972|30.31104695|0.030351311|-15.23851001|1727.7296760000002|0.0|1.0|1.0|1.0|3.35|2.87|0.24|4.61|3.53|1.0|126.79|0.0|7.0|-3.95|32.0|-6.99|427.5|1.0|0.0|2.95|0.000112|0.0477|0.0234|2.7|0.0|9.06e-07|4.1356|-1391.722248|729.96|1239.35|0.5834|579.1|0.6593600000000001|-0.1691|2.1313|0.03804804|-1391.50739|2.9697|7.9208|7.9208
13k_a6|0.0|1|0|0|3.423411754|0.0|1|1|0.0|0.031525207|-0.014257799|5.351858133|1|0.04162037|-0.8554679409999999|-0.009326562|0.0809333929999999|10.95129637|-0.072504783|1|1|0.08217847|-0.045794891|-0.073210645|1|0.8694295409999999|0.1373649019999999|0.827754203|0.641032542|-0.127178105|0.0296987679999999|-88.29427104|20.6185734|183.1261118|0.3589674579999999|-0.045420752|-57.53822059|100.7779947|-31.53366823|0.426031882|2966.890288|445.0412356000001|-1765.8854210000002|-21.89246528|0.202868306|8.370126134|14.58291125|6492.211639|-1225.9780560000002|39.55891914|0.017981419|-412.5714301|2215.299472|1.0|1.0|1.0|1.0|3.68|2.8|0.16|4.55|3.8|1.0|124.98|0.0|7.0|-5.49|33.0|-6.59|441.48|0.0|1.0|3.18|3.26e-06|0.00144|0.0075599999999999|3.39|0.0|5.7e-07|3.5476|-1465.83213|731.25|1246.69|0.3971|577.68|0.4547|-0.14589|8.1639|0.0308324|-1465.621288|10.5079|7.3372|7.3372
26_a47|0.0|0|1|1|0.0|0.0|0|0|1.06819297|0.11828578|-0.012090143|4.727387819|2|0.045681818|-0.544056455|-0.0098410169999999|-0.046771537|10.94972213|0.0081426509999999|1|1|-0.24731748|-0.035472095|-0.079370393|2|0.6850994429999999|-0.11288313|0.651797437|0.7104381999999999|-0.101679756|0.020884606|-59.08415114|12.13564316|9.608109253|0.2895618|-0.038735145|-33.13315474|73.39007585|-22.50824805|0.474969855|2625.572598|412.8219782|-945.3464183|-13.07911017|0.282360823|6.945070057000001|13.22794532|5994.406615|-549.3226272|31.36429668|0.024619511|-252.9318822|1317.300461|0.0|1.0|1.0|1.0|3.13|2.66|0.05|2.84|4.68|1.0|104.8|0.0|4.0|-4.86|28.0|-6.51|396.81|0.0|1.0|3.18|1.3699999999999998e-05|0.00545|11.0|3.12|0.0|2.37e-05|3992.0|-1696.075481|592.84|1006.59|0.3197|443.78|0.50921|-0.16642|3.6825|0.02111593|-1695.993821|4.8242|7.9|7.9
19a_a22|0.0|0|0|0|0.0|0.0|0|0|1.572240489|-0.000989685|-0.009145283|4.727387819|2|0.0389622639999999|-0.548716971|-0.002607064|-0.011513343|10.9464374|0.016501913|1|1|-0.03516233|-0.035723406|-0.0611158559999999|2|0.72808001|-0.155892259|0.699744887|0.744354735|-0.09370213|0.024839714|-69.91748544|18.53458775|373.8201781|0.255645265|-0.035138299|-50.18975739|89.23486638|-26.21905704|0.4347718229999999|3167.140147|555.4133255|-1468.267194|-19.56380872|0.315293811|8.648671382|15.30120355|7095.27723|-1095.573288|38.29242013|0.025888799|-275.6435167|2144.375527|1.0|1.0|1.0|1.0|3.61|2.27|0.08|3.08|3.41|1.0|132.15|0.0|7.0|-4.38|35.0|-7.67|463.49|0.0|0.0|2.36|4.16e-05|0.0193|0.0356|2.05|0.0|8e-07|3.5809|-1537.0241640000002|740.07|1277.14|0.2218|567.03|0.34556|-0.1508|4.5288|0.04718381|-1536.823574|6.5658|7.3188|7.3188
LY364947_a10|0.0|1|0|0|2.949609552|0.0|0|0|0.0|-0.278922508|-0.00235945|4.59511985|2|0.0273958329999999|-0.084940213|0.007575|0.010202602|10.9303125|-0.006198347|1|1|0.1625645369999999|0.04209715|0.072909639|2|0.706034038|-0.072740964|0.681525895|0.8431045490000001|-0.075303751|0.009678082|-33.26705198|4.275500834|144.7228349|0.156895451|-0.029665114|-15.02735938|41.53157099|-13.10520229|0.486715511|1896.845282|372.4595738|-432.4716757000001|-5.78950507|0.276515344|4.702575386|9.161732895|3903.496845|-191.05366730000003|18.1140017|0.018707677|-197.4583104|597.7620559999999|1.0|1.0|0.0|1.0|2.46|1.88|0.0|3.97|3.69|0.0|82.56|0.0|2.0|-3.54|21.0|-6.02|272.3|1.0|1.0|2.8|0.00029|0.0789|0.0374|2.74|0.0|1.7199999999999998e-05|||||||||||||7.2291|7.2291
14d_a23|0.0|0|1|1|0.0|0.0|0|0|3.405551724|0.058368697|-0.005343003|5.351858133|2|0.043538647|-0.288522152|0.01269616|-0.019307114|10.313217800000002|-0.054430189|2|2|0.059486662|-0.074441567|-0.136106024|2|0.725800261|0.006563565|0.6906097959999999|0.921694462|-0.078282292|0.018596017|-51.58357156|12.25371621|39.26987634|0.078305538|-0.032878563|-23.33262837|61.49227899|-21.66510006|0.454495683|2878.955374|607.3441532|-1083.255003|-14.27606695|0.209653392|7.832720777|14.358677900000002|6459.554383|-713.8033475|27.41215037|0.015037275|-382.6437544|1370.607518|0.0|0.0|1.0|1.0|3.52|3.62|0.09|3.88|4.33|2.0|125.25|0.0|5.0|-5.85|31.0|-6.1|425.51|0.0|0.0|3.8|1.43e-06|0.000608|0.0023899999999999|3.94|0.0|7.03e-06|8.1555|-1669.224874|696.21|1186.17|0.3807|554.84|8.1555|-0.14894|5.6156|0.02083626|-1669.045136|8.1555|8.4001|8.4001
4_a38 (LY-2157299)|0.0|0|0|0|0.0|0.0|1|1|2.0959524330000003|0.050460026|-0.00638266|5.4161004020000005|2|0.041252955|-0.325515636|0.002865697|-0.159241692|10.9277672|-0.020954339|1|1|-0.083399128|0.028964355|0.0481706809999999|2|0.702976795|-0.041794304|0.6848692759999999|0.754313773|-0.089446059|0.01243241|-51.11565158|7.104736984|260.7739337|0.2456862269999999|-0.03235283|-30.23133173|58.99645489|-18.48863993|0.487041509|2501.945802|431.0669496|-868.9660769|-10.56568487|0.213882939|6.54753874|12.76426621|5566.495502000001|-496.5871888|23.51893991|0.01379043|-327.0140711|1105.390176|0.0|1.0|1.0|1.0|3.27|2.6|0.18|3.69|3.51|1.0|108.18|0.0|3.0|-3.85|28.0|-6.86|369.42|0.0|1.0|2.81|0.0001409999999999|52.0|0.0375|2.39|0.0|2.75e-05|3.78|-1198.64695|617.61|1048.31|0.2|449.44|0.4|-0.16|5.9043|0.03652312|-1198.49738|7.6529|7.1586|7.1586
4_a3|0.0|0|0|0|0.0|0.0|0|0|0.0|0.2122551539999999|-0.008561428|4.727387819|1|0.035345345|-0.325334256|-0.008407895|0.057349653|10.31162267|0.0248526079999999|1|1|-0.208888686|0.053425134|0.127253753|1|0.640351067|-0.028924747|0.628171026|0.74053397|-0.098695428|0.008006786|-46.9200748|3.806447632|235.6982345|0.25946603|-0.039478171|-24.93884341|51.71950126|-18.76802992|0.415852758|2142.972568|352.05186289999995|-656.8810472|-8.922372453|0.133023729|5.05182773|8.648209506|4885.093366|-312.2830359|21.6476858|0.0100954959999999|-348.9230345|757.6690029|1.0|1.0|0.0|1.0|2.94|2.6|0.0|5.3|5.17|1.0|92.65|0.0|2.0|-5.69|23.0|-5.21|321.37|0.0|1.0|4.09|2.02e-06|0.00065|0.00264|4.3|0.0|9.48e-06|3.4771|-1355.303098|504.29|858.45|0.1776|338.33|0.3809|-0.14983|2.3542|0.02921941|-1355.239905|3.1409|5.9|5.9
12e_a31|0.0|1|0|0|3.483599061|0.0|1|1|0.0|0.052663358|-0.011519192|5.733341277|0|0.037098765|-0.70267073|-0.002475146|-0.107630327|10.3116965|-0.015755876|2|2|0.01824365|-0.08867626|-0.142921555|0|0.7968154940000001|-0.039273975|0.76012894|0.721526766|-0.1099563869999999|0.02665413|-79.96257188|19.38343763|166.1479229|0.2784732339999999|-0.036652129|-49.6906263|95.1187282|-26.65419063|0.474858042|3040.353774|524.7092721|-1519.288866|-19.38348182|0.274879568|10.24381236|19.50674899|6557.418968999999|-1104.858464|36.75829484|0.020841203|-327.4245209|2095.222806|1.0|1.0|1.0|1.0|3.87|3.72|0.24|6.69|5.4|3.0|129.38|0.0|9.0|-6.66|33.0|-5.93|460.55|0.0|1.0|4.5|2.16e-07|9.96e-05|0.00176|4.48|0.0|2.27e-07|3.8391|-1809.85374|781.61|1308.13|0.3831|640.03|0.55114|-0.15934|2.6024|0.04614662|-1809.650069|3.4818|6.7696|6.7696
