molecula|SaaNH|SssssC|SRW09|nAHRing|nARing|SaasN|MATS2c|SRW07|n6HRing|JGI4|MATS7i|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|BIC2|MATS8d|SIC2|GATS1pe|FNSA3|PBF|FPSA3|PNSA3|PNSA5|RNCS|FNSA4|WNSA5|WPSA3|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
4d_a49|0.0|0.0|7.535296702|1|1|2.097463308|-0.06085453|5.4161004020000005|2|0.036555556|-0.090862681|0.000607064|10.92777282|0.013451218|1|1|0.001356445|-0.151004418|0.000511959|0.783870915|0.023137464|0.834151595|0.749565191|-0.089942837|0.410804214|0.013625199|-55.40321178|-52.95392476|85.21839288|-0.0281044679999999|-32.61868996|5.16986937|0.654728051|-34.12740785|66.51766234|-17.31186002|63.79609555|0.470013152|463.6097566000001|-900.2167208999999|1640.195062|-10.66380249|0.3452719489999999|7.998287218|0.8868392740000001|212.6814716|-554.5177292999999|26.44129877|0.022019681|-190.6195379|1374.947536|641.1445234|0.0|1.0|2.0|3.38|2.68|-7.58|3.16|2.8|0.0|115.63|0.0|1.0|6.0|30.0|-7.7|398.46|0.0|1.0|2.27|-3.35|296.0|0.0004509999999999|1.45|0.0|0.0|1.05e-05|-0.06309|5.7447|3.8047|-1293.333712|668.09|1144.04|325.87|215.82|495.7|0.6782100000000001|0.0879|4.3005|-0.2219699999999999|0.0395418|-1293.107454|5.5765|7.7447
22_a10|0.0|0.0|7.535296702|1|1|2.113627059|-0.067641834|5.4161004020000005|2|0.036101695|-0.026750502|0.008350227|10.92966136|-0.020475007|1|1|0.008903905|-0.042831367|-0.129989728|0.747363443|-0.033474297|0.79665945|0.646474494|-0.053881447|0.775071808|0.016720696|-41.96631248|-50.61577509|75.58376652|-0.022372463|-39.42279832|10.14325785|0.564323334|-32.68604442|71.13124588|-17.4251029|54.98945848|0.422182297|677.4790907|-1062.931277|2668.5420940000004|-13.57178303|0.435676666|8.84228648|0.730649641|339.3328129|-827.8787647|30.87787063|0.026340252|-100.1982412|1883.550109|916.8601445|1.0|1.0|0.0|3.74|4.14|-9.37|4.64|5.6|0.0|139.53|0.0|1.0|6.0|36.0|-6.29|475.54|0.0|0.0|4.26|-5.53|0.00217|2.95e-06|4.1|0.0|0.0|2.03e-07|-0.05712|4.8251|3.8517|-1544.237634|770.92|1339.48|321.89|256.95|602.93|0.6834100000000001|0.1922|4.8409|-0.2180699999999999|0.03366599|-1543.959333|6.5841|5.9586
12x_a30|0.0|0.0|7.412764017000001|2|2|0.0|0.044575215|5.351858133|2|0.043383838|-0.0606216429999999|0.00604028|10.31162819|-0.1066694919999999|1|1|0.006346396|-0.104089964|-0.053700437|0.782514704|-0.1759406839999999|0.829606585|0.803183654|-0.071909912|0.398925866|0.014757946|-47.48669555|-60.57208434|74.51844582|-0.035022402|-39.99960559|6.435648079|0.824674971|-31.35848986|68.52587215|-23.12752311|57.2323071|0.4490846539999999|560.5459455|-1272.013771|2374.777496|-15.27257668|0.175325029|7.794822643|0.815160907|115.7782842|-839.9917174000001|28.04441012|0.012044556|-428.8071293|1542.442557|754.3941655|1.0|0.0|1.0|4.86|0.0|-7.38|4.87|3.23|0.0|137.21|0.0|1.0|5.0|31.0|-5.64|426.54|0.0|0.0|3.19|-5.46|0.00039|3.48e-06|4.6|0.0|0.0|1.76e-05|-0.05093|3.4831|3.4831|-1654.40976|703.75|1211.79|355.95|355.95|558.65|0.68589|0.1517|4.3702|-0.19876|0.03136007|-1654.183467|4.8197|7.6556
22_a4|0.0|0.0|7.535296702|1|1|1.987636054|-0.043165663|5.4161004020000005|1|0.044357639|0.004808337|0.004765062|10.94586213|-0.023072107|1|1|0.004237768|0.00771584|0.021636871|0.7797803109999999|-0.037423832|0.8404413829999999|0.755510052|-0.09491995|0.242642229|0.010702353|-45.61565825|-43.23011833|162.9809584|-0.036468635|-20.77508795|2.47167963|0.8444670409999999|-21.92150631|48.65880447|-17.52572365|50.75888571|0.4359219589999999|413.8681986|-648.451775|1477.437886|-8.422332951|0.155532959|5.495481464|0.772804341|74.7444381|-311.62631919999995|20.75359108|0.011296354|-331.080892|767.88287|338.71903330000004|1.0|0.0|1.0|3.3|2.2|-5.24|3.19|3.54|0.0|87.12|0.0|2.0|2.0|22.0|-5.91|289.33|1.0|1.0|2.81|-3.98|0.0497|0.000104|3.03|0.0|0.0|0.0016699999999999|-0.03046|4.468999999999999|4.0537|-934.2706743999998|519.39|860.77|305.85|277.43|400.29|0.65771|0.1293|3.5548|-198.0|0.030263407|-934.171365|5.4110000000000005|7.3279
14d_a23|0.0|0.0|7.423568444|0|0|3.405551724|0.058368697|5.351858133|2|0.043538647|0.03253552|0.01269616|10.313217800000002|-0.054430189|2|2|0.01180744|0.059486662|-0.074441567|0.772008792|-0.088996384|0.829764975|0.6906097959999999|-0.053736319|0.213597535|0.018596017|-35.40917327|-51.58357156|39.26987634|-0.032878563|-33.99063559|8.074501042|0.790346608|-23.33262837|61.49227899|-21.66510006|47.66288948|0.454495683|607.3441532|-1083.255003|2261.37838|-14.27606695|0.209653392|7.832720777|0.833166062|138.1496441|-713.8033475|27.41215037|0.015037275|-382.6437544|1370.607518|666.0036144999999|0.0|1.0|1.0|3.52|3.62|-7.78|3.88|4.33|1.0|125.25|0.0|1.0|5.0|31.0|-6.1|425.51|0.0|0.0|3.8|-5.25|0.000608|5.61e-06|3.94|0.0|0.0|7.03e-06|-0.0725799999999999|3688.0|8.1555|-1669.24571|696.21|1186.17|3688.0|336.18|554.84|8.1555|336.18|5.6156|-0.22152|0.02083626|-1669.045136|8.1555|8.4001
9_a4|0.0|0.0|7.535296702|1|1|2.130445484|-0.211556011|5.4161004020000005|2|0.040449735|-0.019160308|0.010709527|10.92992723|-0.0454860859999999|1|1|0.009731833|-0.030976753|-0.0475186259999999|0.801082857|-0.072130166|0.861113198|0.58669472|-0.052625548|0.472497372|0.009037784|-28.63837014|-37.85762102|13.6577411|-0.025885299|-20.60179129|2.676487872|0.792890434|-15.58475436|43.71760622|-14.08655666|33.55665428|0.43745176|509.9632679|-605.7219363|2012.840082|-7.665782805|0.207109566|5.744374392999999|0.777625327|112.7072422|-329.6286606|17.76608225|0.010768243|-318.7769026|763.9415367|489.7528555|1.0|1.0|0.0|3.18|3.37|-8.16|5.14|5.07|0.0|105.09|0.0|1.0|2.0|26.0|-5.56|360.84|1.0|1.0|4.17|-5.15|0.0062299999999999|7.06e-06|4.14|0.0|0.0|2.49e-06|-0.05256|4.7284|4.0137|-1489.554198|586.24|999.93|308.91|262.21|430.12|0.6464|0.0584|4.4343|-0.22204|0.02116575|-1489.41872|5.4739|7.3188
8b_a8|3.191799887|0.0|7.535296702|1|1|1.42474537|-0.023718767|5.4161004020000005|1|0.040054466|0.019958073|-0.0055544409999999|10.94650923|-0.03443232|1|1|-0.003593429|0.031896755|0.049587543|0.778853499|-0.0527918259999999|0.8354024290000001|0.726912742|-0.130159955|0.28604765|0.032440348|-79.74587194|-71.23625346|172.84152849999998|-0.047457424|-43.64473805|12.1771918|0.781454722|-48.85837649|84.97574547|-29.07602182|99.62129245|0.4835310479999999|342.0904577|-1424.7250689999998|1821.324722|-17.8141788|0.218545278|7.507665421|0.936224813|133.8974321|-872.8947609999999|37.20755791|0.022425382|-344.8810688|1823.170337|589.263087|0.0|0.0|2.0|3.52|2.93|-7.13|3.65|3.03|0.0|114.18|0.0|1.0|4.0|31.0|-6.87|414.41|0.0|0.0|2.9|-4.43|7.0|3.69e-05|2.76|0.0|0.0|3.04e-05|-0.06114|4.5819|3.2992|-1407.0843|640.35|1098.17|375.8|270.59|488.56|0.70195|0.1515|5.8389|-0.19921|0.03204403|-1406.887058|7.4497|5.2941
12u_a30|0.0|0.0|7.412764017000001|2|2|0.0|0.028039604|5.351858133|2|0.043383838|-0.091507428|0.002431329|10.31162873|-0.0646674999999999|1|1|0.001805829|-0.15896471|-0.0493878409999999|0.83236194|-0.105767484|0.889479916|0.711738503|-0.0773921259999999|0.477056017|0.015562896|-51.83732031|-65.55148142|78.15130994|-0.03794847|-43.90644499|6.982033926000001|0.810462868|-34.72068676|75.26051582|-25.41792137|62.26136323|0.443167712|568.9563615000001|-1245.478147|2608.6452440000003|-17.02494806|0.189537132|7.804487592999999|0.7958728709999999|126.9521524|-834.2224549|31.36222814|0.014495402|-415.8966522|1536.749179|685.6665849999999|1.0|0.0|1.0|4.63|0.0|-7.8|5.11|3.92|0.0|137.3|0.0|1.0|5.0|31.0|-5.52|467.37|0.0|1.0|3.59|-6.04|0.000123|9.14e-07|5.12|0.0|0.0|7.39e-06|-0.0528299999999999|3.5003|3.5003|-2494.962309|705.15|1202.06|354.21|354.21|559.16|0.6847|0.1502|5.3020000000000005|-0.20146|0.03472994|-2494.7995530000003|7.0553|7.4647
47r_a18|0.0|0.0|7.03438793|1|1|0.0|0.029358241|4.844187086|0|0.035706215|0.041686585|-0.005176133|10.35082951|-0.030106257|0|0|-0.0001597829999999|0.0646283159999999|-0.233665901|0.7698681909999999|-0.048143486|0.8075001|0.7554975009999999|-0.083915825|0.26560995|0.0155038689999999|-62.75220741|-65.12700692|13.30156885|-0.031669652|-48.70193962|8.669825595|0.688074851|-46.92606587|81.99788849|-23.68254797|74.34599189|0.49394971|575.4901675|-1563.048166|1504.28892|-17.70979622|0.311925149|9.819988422|0.976088187|233.2574532|-1168.846551|34.41856352|0.0225607039999999|-281.2845386|2271.625192|1005.982493|1.0|1.0|2.0|4.55|0.0|-7.46|0.43|3.76|1.0|145.82|0.0|1.0|9.0|36.0|-6.12|504.6|0.0|0.0|2.2|-5.64|0.0001139999999999|2.31e-06|4.59|0.0|1.0|1.76e-05|-0.0522799999999999|3.1705|3.1705|-1964.841529|790.57|1387.23|391.06|391.06|729.75|0.69545|0.6007|2.3873|-0.18249|0.02805567|-1964.516246|3.2001|6.6364
27_a47|0.0|0.0|6.842683282|1|1|2.041063341|-0.160399235|4.727387819|3|0.0304347829999999|-0.067535989|0.001861676|10.95005714|0.013336016|1|1|0.002350172|-0.137440913|-0.077485193|0.804224077|0.023325573|0.8517043879999999|0.634406338|-0.0630454209999999|0.337815064|0.016506051|-40.35526807|-50.87821306|20.73428323|-0.028494622|-32.56705871|6.762956126000001|0.700732763|-25.8313393|63.02085767|-18.2393594|50.9207639|0.475450742|541.8239522999999|-966.6860481|2181.236691|-11.67498331|0.299267237|7.083168776|0.906398657|191.5604557|-618.7741154|26.02898047|0.018969968|-256.9774086|1379.535965|682.9868225|1.0|1.0|2.0|3.37|3.52|-8.82|4.18|5.07|0.0|125.17|0.0|1.0|5.0|31.0|-6.34|436.91|0.0|1.0|3.91|-5.05|0.00674|8.89e-06|3.7|0.0|0.0|6.55e-07|-0.05814|4.9358|3.8125|-1778.1049670000002|673.27|1165.54|325.21|251.19|517.82|0.69381|0.1839|4.0365|-0.21594|0.02633483|-1777.891054|5.2214|5.6
