molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nARing|SaasN|AATSC1c|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PPSA3|RNCS|WPSA3|RPCS|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|BBB|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
8c_a31|1|0|0|0.0|7.765993078999999|1|0.0|-0.01275867|0|0.03995098|-0.106461724|0.0|-0.574140137|-0.0080009219999999|-0.1903992189999999|10.31169969|-0.1029580369999999|2|2|-0.004832959|-0.053983462|0.847752299|0.006000201|0.896193695|0.87237334|0|0.626072761|-0.128067781|16.3656112|133.3100368|9.027343766|477.2277896000001|-1.66488115|82.77037329|-21.86561502|80.93682766|0.47508938|2251.08563|345.3445134|-918.3558307|0.27691747|12.99457133|0.90508624|4835.748065|152.7489054|-506.5691518|0.021986076|-246.1066271|1270.056726|12.12761708|1.0|1.0|1.0|1.0|1.0|2.0|0.29|16.0|-6.13|3.13|114.29|0.85|0.0|93.45|0.0|5.0|-4.42|24.0|0.0|2.83|0.000237|0.0811|2.38|0.0|0.0|7.45e-07|3.8492|3.8492|-1426.166503|981.89|322.11|0.2597|475.72|0.7005|0.2597|-0.15985|3.3453|0.03744829|-1426.024361|0.81|6.0915
12be_a36|1|0|0|0.0|7.412764017000001|2|0.0|-0.009368126|2|0.043854875|0.118420241|0.0|-0.580823835|0.000482522|-0.08981965|10.95957887|0.00430921|1|1|0.002872872|-0.176729938|0.812921349|0.132962547|0.858971809|0.8350231859999999|0|0.798015877|-0.108962668|23.42501577|63.31681179|16.25222352|0.0|-1.852365352|99.62604537|-22.15805062|77.57811183|0.4564615729999999|3039.9167260000004|553.6616295|-1285.166936|0.433925602|16.14074295|0.839796323|6592.168374|301.05661160000005|-891.645944|0.034632557|-91.68453892|2270.314539|24.02799032|1.0|0.0|0.0|1.0|1.0|2.0|0.21|17.0|-6.79|1.9|87.66|1.42|0.0|136.74|0.0|7.0|-4.11|33.0|0.0|1.75|7.13e-05|0.0315|2.62|1.0|0.0|1.6100000000000005e-07|5.2184|3.3487|-1462.0007349999998|1256.67|370.25|0.7034|594.44|0.70465|0.0018|-0.13781|7.7861|0.03245204|-1461.747501|44.0|7.3565
A7701_a51|1|0|0|0.0|6.605297921|0|0.0|-0.002377784|2|0.031405229|0.070581466|2.087643036|-0.0927335619999999|0.008062393|0.058290286|10.93031118|-0.0299823629999999|1|1|0.00740235|0.036217274|0.7451039290000001|0.00552665|0.8092075540000001|0.688876851|1|0.865114773|-0.078131694|3.420720075|146.2104641|1.580362387|0.0|-1.09384371|41.87351682|-14.03756956|36.39998243|0.420350923|1959.582581|399.6804233|-505.3525041|0.200953608|8.863149921|0.7251817340000001|4153.310077|92.83996262|-233.4713371|0.012504214|-276.3170672|632.4445105000001|5.776909381|1.0|1.0|0.0|1.0|1.0|1.0|0.06|21.0|-7.58|4.0|54.46|1.98|0.0|87.52|0.0|2.0|-3.95|22.0|1.0|3.12|6.790000000000001e-05|0.0195|3.14|0.0|0.0|2.62e-08||||||||||||||25.0|7.6021
7c_a8|1|0|0|0.0|7.05012252|0|1.4416758790000002|-0.007509694|1|0.043533333|0.0493777859999999|0.0|-0.382994379|0.00325576|-0.0450662909999999|10.94670214|-0.118915929|1|1|0.004301963|-0.047874|0.740795639|0.0092411059999999|0.795846675|0.6881348629999999|0|0.848923958|-0.089778346|19.18974586|49.43944876|12.03370912|75.43825735|-1.6160102369999998|76.40286308|-21.11218373|69.53125754|0.492823119|2716.5013510000003|532.3522286|-1013.384819|0.373097855|15.18314943|0.971698707|6013.168519|233.9661552|-635.4840877|0.032058696|-159.15828340000002|1616.4960130000002|20.10370648|0.0|1.0|1.0|0.0|1.0|1.0|0.09|23.0|-7.76|3.78|92.93|1.82|0.0|112.76|0.0|5.0|-5.0|30.0|0.0|3.26|2.14e-05|0.00851|3.37|0.0|0.0|1.73e-08|4.6061|3.1406|-1331.8206369999998|1116.53|394.78|275.0|579.97|0.70321|0.1779|-0.1318599999999999|12.0073|0.02732536|-1331.625743|18.59|4.7307
LY580276_a4|0|0|0|0.0|7.535296702|1|2.067497166|-0.001543874|1|0.044357639|0.0295482979999999|0.0|-0.063298854|0.010217376|-0.172607392|10.94681614|0.011772853|1|1|0.009622161|-0.019747846|0.7921620090000001|0.035666446|0.847526918|0.518109998|0|0.8685269959999999|-0.071023484|4.207217677|11.22286434|2.027582675|82.46094409|-1.065352257|38.23432817|-13.51117823|31.83019528|0.437093506|1948.220005|418.5688558|-513.4247728|0.152153004|9.693623538|0.7764939829999999|4098.640927|73.32703409|-247.4345884|0.008312438|-335.2755182|605.5630025|4.0060099860000005|1.0|1.0|0.0|1.0|1.0|0.0|0.22|17.0|-6.56|4.43|30.71|3.13|0.0|84.74|0.0|2.0|-3.67|22.0|1.0|3.69|6.18e-05|0.0181|3.35|0.0|0.0|2.75e-07|5.2983|4.4918|-959.4958788|865.23|276.03|0.1905|402.99|0.68002|0.1842|-0.18746|2.5355|0.023546627|-959.404416|175.0|6757.0
1g_a5|1|0|0|0.0|6.605297921|0|0.0|-0.003919036|2|0.027447447|-0.011534568|0.0|-0.172437603|0.00683534|-0.132678208|10.94875199|-0.0353243789999999|1|1|0.006957291|-0.010807075|0.7778380309999999|0.030722968|0.8393686990000001|0.717355058|0|0.8659209659999999|-0.074361785|10.9506874|74.51397212|5.8729303|0.589719781|-1.11542677|54.34919851|-14.59051668|48.55052611|0.4713154089999999|2243.103668|464.3994751|-598.211184|0.38606657|13.83149499|0.891486942|4639.260975|207.0502037|-320.82484500000004|0.02697793|-122.2065919|974.3909596|14.46845291|1.0|1.0|1.0|1.0|1.0|1.0|0.05|23.0|-8.14|4.21|63.69|1.57|0.0|96.98|0.0|4.0|-4.03|25.0|1.0|3.09|6.29e-05|0.0206|3.03|0.0|0.0|7.190000000000001e-09|4.7822|4.1733|-1065.846194|961.17|297.09|0.1769|448.93|0.66164|0.0504|-0.17042|3.4883|0.02730461|-1065.727193|115.0|6.9393
9_a47|0|0|0|0.0|0.0|0|0.0|-0.008501246|2|0.037492877|-0.043270202|1.323246814|-0.382556052|-0.009607222|0.022031244|10.93671087|0.045804989|0|0|-0.007880155|-0.021556658|0.792070785|0.046690958|0.853035126|0.689770023|1|0.805149969|-0.0969292319999999|4.991260197|107.3271659|2.611122094|0.0|-1.550867715|58.96976407|-19.3171225|49.12766732|0.482896681|2292.652212|421.2052248|-811.319145|0.209348023|10.93281031|0.93384951|5212.504394|109.5180831|-424.4325604|0.015793737|-304.1026787|1026.1394|8.262317504|1.0|1.0|0.0|1.0|1.0|2.0|0.05|22.0|-8.47|5.61|58.04|2.99|0.0|101.46|0.0|3.0|-5.37|26.0|0.0|4.09|6.3e-06|0.00218|4.43|0.0|0.0|3.4000000000000003e-09|5.7429|3.7183|-1149.090086|959.59|333.44|0.2294|406.35|0.69084|0.2208|-0.1545099999999999|2.2966|0.03463008|-1148.949486|25.0|7.6
12_a47|1|1|1|0.0|6.605297921|0|0.0|-0.005522244|2|0.036632997|0.001435849|1.555521837|-0.209845277|-0.0047488359999999|-0.018573056|10.95005729|0.0295267039999999|1|1|-0.004332024|-0.006318684|0.8288334490000001|0.055943216|0.90246604|0.618808977|1|0.7840710409999999|-0.091853238|9.382250925|63.89392714|4.886454935|0.0|-1.1940921|61.09751253|-17.76874008|53.5720844|0.4792593739999999|2266.78114|408.3591283|-621.9059029|0.319276179|13.52358352|0.920341815|4816.005822|166.28511369999998|-323.9004363|0.025457205|-188.2488142|913.5950352|13.25859692|1.0|1.0|0.0|1.0|1.0|2.0|0.0|21.0|-8.11|4.98|66.49|2.6|0.0|91.63|0.0|3.0|-4.51|24.0|1.0|3.37|2.77e-05|0.00943|3.43|0.0|0.0|7.69e-09|4.2907|3.9538|-1488.101254|886.46|313.58|0.2306|400.09|0.68557|0.2241|-0.1633|2.1019|0.03721125|-1488.024564|6.0|8.2
14b_a23|0|1|1|0.0|7.423568444|0|3.2475997860000003|-0.006248709|2|0.043538647|0.0519489729999999|0.716540473|-0.318684138|0.007671236|-0.0644978|10.31321824|-0.047410593|2|2|0.0075222369999999|-0.073945564|0.793551289|-0.00399443|0.857184548|0.5935522360000001|1|0.8462596590000001|-0.082441268|13.26014776|40.76245006|8.596171261|84.36242964|-1.64882535|64.97993029|-22.74225338|54.274732400000005|0.450973737|2943.803333|548.6057241000001|-1068.885909|0.225640295|14.26820636|0.821406493|6622.129837|146.2760938|-692.9278992000001|0.01779446|-355.71896410000005|1380.34805|11.53563485|0.0|0.0|1.0|1.0|1.0|1.0|0.05|26.0|-7.67|4.58|105.02|3.4|1.0|120.24|0.0|5.0|-5.58|31.0|0.0|3.78|7.73e-06|0.00332|3.68|0.0|0.0|2.14e-08|3706.0|3706.0|-1729.161608|1142.37|334.55|0.3603|525.66|0.58097|0.3603|-0.15064|6.8752|0.02188578|-1728.9893510000002|4.0|8.3536
13a_a30|0|0|0|0.0|7.412764017000001|2|0.0|-0.011002918|2|0.042560386|-0.036541822|0.0|-0.627166322|-0.003436924|0.0317047379999999|10.31162842|-0.0351777|1|1|-0.002215642|0.003429114|0.8303425640000001|0.019603815|0.885516463|0.802578397|0|0.6963945559999999|-0.113507021|12.53013554|381.9643801|8.456950359|102.6479456|-2.27014041|88.22659517|-28.90911938|86.55791128|0.4661332179999999|3002.811441|470.0167988|-1532.183327|0.2001375339999999|15.1104742|0.873126469|6675.344631|135.07860209999998|-1034.114779|0.017212819|-404.771677|1915.558478|11.6174288|1.0|0.0|0.0|1.0|0.0|2.0|0.13|17.0|-6.19|1.72|124.74|2.06|0.0|135.37|0.0|6.0|-5.01|32.0|0.0|1.91|5e-05|0.0221|2.74|0.0|0.0|6.520000000000001e-07|5.0535|3.5288|-1744.491614|1211.54|351.35|0.1788|541.59|0.6845600000000001|0.1603|-0.14953|0.7158|0.04590378|-1744.281248|14.0|7.8665
