molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|SaasN|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|TPSA_x|WNSA5|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
1o_a5|0.0|1|0|0|2.923171926|0.0|0|6.605297921|0|0.0|-0.002633927|0.033105871|2|0.025987654|-0.033273504|0.0|-0.102739602|-0.008511304|1|1|0.0051989459999999|0.038275248|0.06759341|2|0.670787375|0.78144982|-0.016408975|0|0.88430372|-0.079346457|-0.072886362|0.447318682|-42.63505279|62.16682117|-21.04383087|1.01402588|0.699913551|-1.093295425|50.11479279|-15.45942012|49.75766514|0.470590799|2238.291862|-587.4579645|833.537568|-8.306775343|7.522366517000001|14.20898333|0.8888980340000001|4572.818263|-315.657463|0.020380352|-214.8381946|839.3293197999999|10.95092849|1.0|1.0|1.0|1.0|2.81|2.2|23.0|-8.11|4.48|4.07|78.25|1.23|95.2|1.0|3.0|25.0|4.0|-6.3|323.35|0.0|1.0|2.95|-4.08|8.329999999999999e-05|2.78|0.0|7.85e-09|-0.07037|-1043.536121|938.37|297.38|0.3966|443.88|-1043.422345|0.0071|-0.23973|-1043.472984|5.4919|35.0|7.4559|7.4559
12n_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|0.0|-0.007311044|-0.064217094|2|0.040899471|-0.1144447669999999|0.0|-0.037209579|-0.087019298|1|1|0.002064369|-0.0541804029999999|-0.120380857|1|0.669561738|0.815003426|-0.149451598|0|0.7781502140000001|-0.083120674|-0.10528124|0.390449649|-52.4873066|140.0890685|-41.97990569|0.0|0.799403208|-1.895062322|76.16725916|-24.42151771|63.2630417|0.4701566479999999|2848.910641|-1196.654368|2349.172094|-15.42118984|7.385790169|13.93957316|0.887350282|6353.890039|-755.6383024|0.0153398069999999|-378.1217671|1496.934657|9.686460958|1.0|1.0|1.0|0.0|4.66|0.0|17.0|-6.9|4.25|3.18|81.65|3.2|127.24|1.0|5.0|30.0|5.0|-6.02|416.47|0.0|0.0|2.92|-5.01|4.12e-06|3.97|0.0|1.26e-07|-0.05076|-1674.978015|1131.65|355.67|0.1826|506.94|-1674.777231|0.1489|-0.19876|-1674.83759|6.32|0.01|7983.0|7983.0
6c_a31|0.0|1|0|0|3.423005244|0.0|0|7.78113851|1|0.0|-0.015192833|-0.151732713|0|0.038901235|0.137523742|0.0|-0.00219333|-0.107687565|2|2|-0.00668344|-0.0055763209999999|-0.009333123|0|0.831901219|0.790900932|-0.172780048|0|0.641197273|-0.120905075|-0.126324613|0.138124296|-76.54198229|227.1490414|-50.62888027|105.7632176|0.7653239190000001|-2.147518413|93.4208388|-28.32375523|96.63311186|0.4463376229999999|2837.949799|-1359.540251|2357.829685|-17.93106176|8.102804662|14.63492011|0.8061548709999999|6283.091868|-860.6909647|0.0212421629999999|-335.9398876|1776.424619|13.44788285|1.0|1.0|1.0|1.0|3.67|3.13|22.0|-7.72|5.58|4.26|131.36|1.58|114.5|1.0|5.0|30.0|5.0|-6.27|418.47|0.0|1.0|3.64|-4.94|8.179999999999999e-07|3.64|0.0|1.89e-08|-0.0581799999999999|-1691.948653|1125.85|376.01|0.5028|524.56|-1691.734564|0.5028|-0.19169|-1691.794585|8.8847|0.34|6.4685|6.4685
5a_a49|0.0|0|0|0|0.0|0.0|1|7.853604813|2|2.111324504|-0.009147269|0.007039248|2|0.034466231|-0.072902329|1.878067786|-0.046327135|0.076610236|1|1|0.008623164|-0.158356406|-0.26176436|2|0.66494289|0.7979412790000001|0.127914587|1|0.800090055|-0.072109357|-0.0787216|0.6254267029999999|-42.1802818|116.9370825|-26.93578408|54.35929907|0.6069287529999999|-1.338267206|61.89135559|-15.97587337|58.89715956|0.490453006|2797.737637|-782.8177953|1887.422375|-9.345067946|6.0732145310000005|11.91885068|0.962527525|6294.404170000001|-457.9083293000001|0.0270848489999999|-125.09569170000002|1289.801795|15.84324998|0.0|1.0|1.0|1.0|3.37|2.93|21.0|-6.92|3.3|3.68|73.14|2.07|116.62|1.0|3.0|30.0|5.0|-6.84|397.43|0.0|1.0|2.93|-4.29|0.000146|2.65|0.0|1.1900000000000001e-07|-0.05062|-1311.960542|1082.25|316.13|795.0|443.78|-1311.743648|0.0529|-0.21238|-1311.799168|7.0102|43.0|7.3665|7.3665
14b_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|0|3.2475997860000003|-0.006248709|-0.071396109|2|0.043538647|0.0519489729999999|0.716540473|-0.0644978|-0.047410593|2|2|0.0075222369999999|-0.073945564|-0.17267308|2|0.616699629|0.793551289|-0.077808321|1|0.8462596590000001|-0.063267638|-0.082441268|0.228282196|-41.01458464|99.66542762|-34.64639496|84.36242964|0.774359705|-1.64882535|64.97993029|-22.74225338|54.274732400000005|0.450973737|2943.803333|-1068.885909|2280.830615|-14.74314679|7.833620016|14.26820636|0.821406493|6622.129837|-692.9278992000001|0.01779446|-355.71896410000005|1380.34805|11.53563485|0.0|1.0|1.0|1.0|3.42|3.44|26.0|-7.67|3.78|4.58|105.02|3.4|120.24|1.0|5.0|31.0|5.0|-6.31|429.47|0.0|0.0|3.78|-5.11|2.66e-06|3.68|0.0|2.14e-08|-0.07803|-1729.139722|1142.37|334.55|0.3603|525.66|-1728.9300010000002|0.3603|-0.2286699999999999|-1728.9893510000002|9.7544|4.0|8.3536|8.3536
12ao_a36|0.0|1|0|0|3.477902101|0.0|0|7.412764017000001|2|0.0|-0.007081548|-0.065314765|2|0.042739018|0.0895536619999999|0.0|-0.113963585|-0.033032344|1|1|0.003724542|-0.095253274|-0.1619981409999999|1|0.90500247|0.82626942|-0.05785124|0|0.832582759|-0.077866573|-0.1019516769999999|0.264688501|-51.52001456|110.7707502|-44.63177966|0.0|0.7820981779999999|-2.039033535|78.51108393|-24.98362913|63.28698809|0.462968912|2794.663089|-1349.115973|2298.760179|-16.53028876|8.769931502999999|16.33039817|0.8620895909999999|5943.227395|-892.6355932|0.016708791|-373.2975961|1724.9956719999998|11.05528527|1.0|0.0|1.0|0.0|4.87|0.0|17.0|-7.01|3.62|2.42|69.2|2.38|133.84|1.0|6.0|31.0|4.0|-6.34|407.47|0.0|0.0|2.37|-4.55|2.6e-05|3.45|0.0|9.66e-08|-0.05455|-1310.328652|1190.17|356.86|0.6249|548.59|-1310.077853|0.0033|-0.19662|-1310.138396|7.447999999999999|0.03|7.5229|7.5229
35_a18|0.0|0|0|0|0.0|0.0|0|7.03438793|2|0.0|-0.00622005|-0.020425504|1|0.03531746|-0.069149293|0.0|0.027469086|-0.0098863069999999|0|0|0.00113101|-0.078001173|-0.117857059|0|0.737701788|0.737094825|-0.017913121|0|0.800765945|-0.081822342|-0.084219749|0.3888901179999999|-60.302584200000005|146.8343246|-45.74482543|74.92670772|0.874573807|-2.273933228|67.9315105|-24.64522632|66.82777970000001|0.465531336|3038.429834|-1675.875389|1761.858479|-18.16338657|9.184536969|17.18442554|0.87101708|6995.248058|-1235.110287|0.007954001|-552.1173777|1916.219506|5.862051629|1.0|0.0|1.0|1.0|4.3|0.0|18.0|-9.55|4.13|3.35|85.29|3.33|151.05|1.0|8.0|36.0|3.0|-6.0|480.6|0.0|1.0|3.07|-5.53|8.629999999999999e-07|4.55|0.0|2.81e-10|-0.04879|-1532.976969|1400.62|385.69|0.4981|657.07|-1532.557542|0.4981|-0.18079|-1532.627182|2.7788|24.0|7.6198|7.6198
7s_a46|0.0|0|0|0|0.0|0.218897825|1|7.727094485|1|2.117265684|-0.005351046|-0.076841616|1|0.044509804|-0.210750635|0.0|-0.005405515|-0.020953253|1|1|0.005577925|0.012197837|0.018964141|1|0.778692012|0.770312275|-0.030371026|0|0.858788462|-0.096723151|-0.083011849|0.249893305|-48.61321955|70.97315818|-20.9694955|0.0|0.8198874559999999|-1.3281895890000002|47.36217237|-15.894055599999998|53.07188519|0.433822088|1982.695462|-667.5503351|1619.4591|-7.988379237|5.565371272|9.829721631|0.7662292690000001|4245.390306|-335.5119279|0.01122216|-321.55195330000004|814.1975221|5.640276426000001|0.0|0.0|1.0|1.0|3.08|2.33|17.0|-6.08|3.65|3.9|50.94|2.39|91.19|1.0|2.0|23.0|3.0|-5.81|305.37|0.0|1.0|3.12|-4.24|8.590000000000001e-05|3.32|0.0|8.39e-07|-0.02024|-974.7707066|916.7|288.81|0.4164|446.63|-974.615216|0.1186|-0.19947|-974.664103|3.6655|1985.0|5.7022|5.7022
14a_a10|0.0|0|0|0|0.0|0.0|1|7.535296702|2|2.156210368|-0.002047597|0.0437538159999999|3|0.035660377|0.027446544|2.070512208|-0.045759336|-0.00421565|1|1|0.012272222|-0.220250238|-0.344811314|2|0.76857495|0.7348225290000001|-0.007680215|1|0.911549451|-0.044416218|-0.070610745|0.43555903|-32.23041637|64.18371923|-37.18086445|134.15514270000003|0.542015878|-1.270993412|67.14248252|-13.76552695|42.07091945|0.469029865|3075.550631|-922.2903058|1774.8853399999998|-9.988888957|10.0292632|18.88856367|0.8833450959999999|6754.660977|-669.2555601|0.0219172279999999|-60.97724212|1701.592784|15.9041322|0.0|1.0|1.0|1.0|3.98|4.4|21.0|-8.18|4.16|3.36|59.31|1.94|146.76|1.0|7.0|35.0|6.0|-6.82|468.59|0.0|0.0|3.43|-4.8|6.159999999999999e-05|3.29|0.0|6.55e-09|-46.0|-1489.803158|1380.89|326.1|0.2835|645.26|-1489.42155|0.0005|0.19621|-1489.487381|4.8004|74.0|7.1308|7.1308
12c_a5|0.0|1|0|0|2.977832018|0.0|0|6.605297921|1|0.0|-0.002685954|0.020594766|3|0.0252713179999999|-0.086795626|0.0|-0.096073591|0.0072946769999999|1|1|0.00586291|-0.01261147|-0.020144382|2|0.808899433|0.797601178|0.014673577|0|0.841092921|-0.070873852|-0.066083881|0.450827114|-46.62294305|104.5338363|-28.59715492|13.26856229|0.583585895|-1.25559373|59.40070647|-14.74941369|57.39441476|0.4609383929999999|2697.345008|-825.9671665|2045.184304|-9.702606135|7.293547043999999|13.53008071|0.855075538|5877.765289|-543.3459436|0.024214085|-109.9706106|1415.330929|15.92875034|0.0|0.0|1.0|1.0|3.27|2.78|23.0|-9.31|5.03|4.32|75.72|1.57|121.26|1.0|6.0|31.0|5.0|-6.79|411.5|0.0|0.0|3.31|-4.33|8.159999999999999e-05|2.84|0.0|4.93e-10|-0.04565|-1316.5202869999998|1200.02|309.06|0.1513|519.21|-1316.244961|105.0|-0.21128|-1316.305277|3.5993|47.0|7.3279|7.3279
15a_a22|0.0|0|0|0|0.0|0.0|1|6.842683282|0|1.646649187|-0.0050042229999999|-0.052476637|2|0.038167849|0.021482585|1.614660505|-0.057308195|-0.015194063|1|1|0.005757758|-0.097476465|-0.165471815|2|0.6819423609999999|0.7392451729999999|-0.027029438|1|0.86664032|-0.061755825|-0.081705465|0.410151945|-41.92018177|90.52525878|-37.6479704|65.53409434|0.702735071|-1.634109304|70.12529157|-21.33157831|56.35672103|0.444668211|2884.815511|-1109.242072|2169.226845|-14.47998862|8.157552588|14.6895113|0.800725296|6322.278103000001|-752.9594081|0.0216014629999999|-275.2352849|1578.4640869999998|14.66318798|1.0|1.0|1.0|1.0|3.42|2.86|27.0|-9.21|3.87|4.31|85.59|1.73|124.05|1.0|6.0|32.0|5.0|-6.61|420.47|0.0|1.0|3.19|-4.68|2.25e-05|3.18|0.0|6.1e-10|-0.0600399999999999|-1368.321775|1189.31|339.72|312.0|541.27|-1368.0755869999998|0.0955|-0.21285|-1368.1368730000002|6.8666|143.0|6.8447|6.8447
33_a20|0.0|0|0|0|0.0|0.0|1|6.842683282|0|1.915285809|-0.00145476|0.023539095|2|0.0388043479999999|0.148855442|2.0219022580000003|-0.061975089|-0.062750442|1|1|0.008780074|-0.036258691|-0.060582944|2|0.616352201|0.74131936|-0.10978034|1|0.9493896|-0.058927252|-0.069838312|0.399354817|-38.58254635|33.13709773|-29.9394021|64.93395624|0.759356182|-1.326927921|54.60811436|-17.37608867|46.92331405|0.465855239|2737.8873550000003|-868.8044333999999|2274.654579|-11.3769728|8.062843544|15.094865900000002|0.8721516570000001|5916.443448|-568.84864|0.013564844|-339.6262863|1144.132956|8.881565237|1.0|1.0|1.0|1.0|3.39|3.59|27.0|-9.69|5.33|5.39|67.39|2.61|121.62|1.0|4.0|31.0|4.0|-5.58|401.46|0.0|1.0|4.28|-5.53|2.48e-06|4.47|0.0|2.04e-10|-0.0582899999999999|-1275.823229|1174.95|318.99|0.6157|563.98|-1275.602977|0.0463|-0.21788|-1275.662457|5.0369|34.0|7.4685|7.4685
18c_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|0.0|-0.0109670669999999|-0.118776867|2|0.042560386|0.011887112|0.0|0.0119521719999999|-0.0351777|1|1|-0.002215642|0.003429114|0.006103754|1|0.841060094|0.8303425640000001|-0.058608635|0|0.717052026|-0.105618255|-0.1115683|0.42531141|-71.31647561|191.0545887|-50.86775696|103.215593|0.7859920029999999|-2.2313660090000003|87.76550537|-28.4279687|84.38908035|0.448899917|3002.59061|-1506.682341|3094.729399|-19.19537998|7.646050338999999|13.8741593|0.81455244|6685.737642|-1017.355139|0.018410634|-386.2200097|1916.918155|12.43138832|1.0|0.0|1.0|0.0|4.85|0.0|17.0|-6.19|3.04|1.72|124.74|2.06|135.37|1.0|6.0|32.0|5.0|-7.05|441.51|0.0|0.0|1.91|-4.3|9.68e-06|2.74|0.0|6.520000000000001e-07|-0.05575|-1744.455795|1209.11|355.78|0.3879|543.46|-1744.2261030000002|0.3879|-198.0|-1744.28923|8.64|12.0|7.9208|7.9208
14k_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|0|3.358995671|-0.005866159|-0.024758731|2|0.046283951|0.04479394|0.74561778|-0.055500851|-0.055708465|2|2|0.009263715|-0.071484865|-0.13187015|2|0.722187957|0.800643488|-0.091426449|1|0.922397728|-0.0562483359999999|-0.079899943|0.226547411|-37.43135588|51.64167457|-35.38329134|80.31548917|0.783562394|-1.597998852|64.04991522|-22.62582822|49.96154892|0.486654314|2955.4566170000003|-1063.413926|2174.886074|-15.05671972|8.21201115|15.99703938|0.948005074|6715.186162999999|-707.6658267999999|0.016348271|-377.4022725|1357.152837|10.87921891|0.0|1.0|0.0|1.0|3.39|3.56|26.0|-7.99|4.0|4.67|105.02|3.51|125.29|1.0|5.0|31.0|4.0|-6.03|445.93|0.0|0.0|3.99|-5.55|7.49e-07|4.21|0.0|1.02e-08|-0.07933|-2089.501786|1179.17|340.42|0.4694|552.65|-2089.293765|0.4694|-0.2271699999999999|-2089.354026|8.3627|4.0|8.4123|8.4123
2_a4|0.0|0|0|0|0.0|0.0|0|6.605297921|1|0.0|-0.00708265|-0.103346554|1|0.037777778|0.08246129|0.0|0.090707854|0.076479666|0|0|-0.0016168089999999|0.147657684|0.228655117|1|0.930871261|0.802438682|0.1355918559999999|0|0.742518847|-0.117395215|-0.105102755|0.442778552|-49.45826819|108.4760726|-18.65482233|0.0|0.843107708|-1.366335816|48.93681624|-15.98981578|52.12536246|0.3961813179999999|1623.668791|-575.6333682|910.3327882|-6.736463618999999|4.710383035|7.800989232999999|0.656126301|3396.86527|-242.5126903|0.011054731|-289.1005902|682.7518749|4.657326379|0.0|0.0|1.0|0.0|3.33|0.0|12.0|-4.83|2.12|0.83|45.15|1.63|79.59|2.0|2.0|19.0|4.0|-6.69|253.3|0.0|0.0|1.24|-2.77|0.0066|1.62|0.0|1.4800000000000002e-05|-0.01612|-819.8996124|764.77|384.69|0.1315|333.36|-819.771754|0.0008|-0.16226|-819.8174190000001|3.0946|31.0|7.5086|7.5086
12k_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|0.0|-0.007818038|-0.029595542|2|0.042739018|-0.13882907|0.0|0.067265077|-0.038714845|1|1|0.0053380919999999|-0.089279071|-0.154412059|1|0.838579475|0.830875659|-0.067714819|0|0.815083558|-0.079026221|-0.098188266|0.340031035|-52.35426525|122.5057244|-43.09444587|0.0|0.7081361979999999|-1.865577056|80.03127603|-23.31944323|68.37178540000001|0.47195436|2920.279667|-1235.930491|2277.687222|-15.44895229|8.416930701|15.93977881|0.893775698|6393.133321|-818.7944715|0.0226150579999999|-275.77726980000006|1745.328787|14.9823028|1.0|1.0|1.0|1.0|4.72|0.0|17.0|-6.74|3.89|2.63|90.88|2.51|133.77|1.0|6.0|31.0|5.0|-6.19|428.51|0.0|0.0|2.57|-4.93|3.59e-06|3.84|0.0|1.84e-07|-0.05055|-1690.269144|1200.31|357.15|0.2257|564.62|-1690.031103|0.1512|-0.19798|-1690.094082|5.0736|24.0|7.6144|7.6144
12h_a40|0.0|0|0|0|0.0|0.0|1|7.515889085|0|1.760542171|-0.008044548|-0.107711573|0|0.041915709|0.208938531|0.803557099|0.189869851|-0.21893421|2|2|-0.002126898|0.127299624|0.224167029|0|0.809398262|0.7769829840000001|-0.335801908|1|0.839481749|-0.0954337969999999|-0.091448888|0.006997021|-50.45378559|84.86252967|-25.56004046|59.68939644|0.844008584|-1.280284432|54.9311782|-20.51086984|56.64687411|0.4958138139999999|2270.834041|-676.8587047999999|603.6697997|-10.84365353|7.989299324|15.84593062|0.983394285|5087.343024|-357.8405665|0.012453938|-363.7398044|801.957134|6.584127851|1.0|1.0|1.0|1.0|3.19|3.0|20.0|-6.84|4.59|5.02|84.45|3.76|96.16|1.0|2.0|23.0|2.0|-5.13|361.25|0.0|1.0|4.22|-5.58|5.58e-07|4.75|0.0|1.44e-07|-0.07512|-2153.186757|910.77|469.0|0.3985|435.95|-2153.072091|0.3693|-0.18432|-2153.123274|3.5425|823.0|6.0846|6.0846
3d_a12|0.0|0|0|0|0.0|0.0|0|0.0|1|0.0|-0.008186708|-0.053022041|3|0.038787879|-0.166233441|0.0|-0.002185753|-0.058191686|0|0|-0.000643935|-0.1394967999999999|-0.237203828|2|0.91670178|0.7697403429999999|-0.108208213|0|0.8547246829999999|-0.066850425|-0.0958414059999999|0.2443206489999999|-34.34601551|74.63869204|-25.2986621|0.0|0.77428353|-1.437621096|57.52228251|-18.01493787|40.06333231|0.472404561|2148.979792|-738.6124526000001|1205.356874|-9.255608086|5.786006004|10.96674758|0.89539167|4509.417998|-379.4799315|0.01611886|-281.8395348|953.9302134|8.281452338|1.0|1.0|0.0|1.0|3.98|2.71|18.0|-7.51|3.37|2.19|50.17|2.26|100.28|1.0|3.0|24.0|4.0|-6.22|313.36|0.0|1.0|2.67|-3.91|0.000302|2.81|0.0|3.08e-08|-0.06842|-1006.704001|918.3|328.71|0.3336|411.35|-1006.556654|0.1583|-0.22229|-1006.606666|3.0037|25.0|7.6021|7.6021
11_a27|0.0|1|0|0|2.680511093|0.0|0|7.535296702|1|0.0|-0.0067474069999999|-0.003527607|2|0.042533875|-0.080272515|1.3706083080000002|-0.0864111069999999|-0.027287578|0|0|0.005111147|-0.041662169|-0.067428705|2|0.734834532|0.814843016|-0.043616687|1|0.7645505|-0.079921166|-0.094820973|0.349764196|-42.27430065|124.5410133|-26.52978026|72.60399149|0.8088958709999999|-1.611956546|56.8702158|-18.14137056|50.82822357|0.4528656239999999|2339.465471|-852.6444161000001|1646.903525|-9.595877966|5.231762955|9.562117063|0.82770457|5186.240841|-451.0062644|0.012694323|-326.780942|1054.084273|6.714661907000001|1.0|0.0|1.0|0.0|3.95|0.0|16.0|-6.09|2.72|1.67|61.88|3.06|106.33|1.0|2.0|26.0|4.0|-6.47|345.4|0.0|0.0|2.04|-4.02|0.000207|2.73|0.0|8.2e-07|-0.05985|-1122.433411|974.29|499.21|0.3492|415.32|-1122.190727|0.0793|-0.16205|-1122.242519|4.2894|5.0|8301.0|8301.0
4f_a49|0.0|0|0|0|0.0|0.0|1|7.535296702|1|2.066693174|-0.008903208|-0.087045007|2|0.038839506|-0.087861524|1.5830545580000002|-0.064058097|0.0705130559999999|1|1|0.001714014|-0.015845165|-0.025995042|2|0.69044503|0.7927086309999999|0.114367229|1|0.7370618040000001|-0.102926696|-0.089955514|0.480786546|-55.88123394|142.7551002|-26.51573683|59.72286429999999|0.718306291|-1.439288231|60.18871783|-18.1726086|64.88887164|0.437355335|2458.261097|-781.4221699|1629.651745|-9.866320682|6.302023735|11.20071713|0.7773206840000001|5422.650822|-424.2517893|0.020905063|-237.0468572|1087.86764|11.34983222|0.0|1.0|1.0|0.0|3.07|2.35|21.0|-6.54|3.42|3.8|80.9|2.03|102.08|1.0|3.0|27.0|5.0|-6.6|356.38|0.0|1.0|2.85|-4.09|0.000102|2.64|0.0|2.92e-07|-0.06954|-1179.201105|982.46|334.21|0.2368|411.94|-1179.029099|0.0579999999999999|-0.22471|-1179.080799|1.8254|0.04|7.3979|7.3979
3h_a32|0.0|1|1|1|3.579396967|0.0|0|7.765993078999999|0|0.0|-0.005281944|-0.008243901|0|0.037731481|0.014517903|2.243113495|-0.003152613|-0.111111111|3|3|0.003284804|-0.071193103|-0.122769653|0|0.84279263|0.7926338540000001|-0.2|1|0.87880263|-0.07183387|-0.0882883959999999|0.30907784|-44.97387528|75.87946135|-34.60714056|0.0|0.7734940029999999|-1.324325944|62.63332945|-17.27367301|51.95714963|0.4089962629999999|2398.020434|-829.1363044|2911.160989|-10.81473143|8.107034244|13.71739929|0.692036677|5187.525619|-519.1071084|0.011751781|-342.4592076|1071.936307|7.357575822|1.0|1.0|1.0|1.0|3.65|3.88|19.0|-8.47|8.11|6.24|110.94|2.64|112.28|1.0|7.0|26.0|3.0|-4.29|382.55|1.0|1.0|5.4|-6.15|5.8700000000000014e-09|6.12|0.0|3.37e-09|-0.05318|-1790.663897|1127.45|348.74|0.2926|578.86|-1790.440663|0.2926|-0.20059|-1790.5004850000005|5.8749|7.0|8.1549|8.1549
12j_a36|0.0|1|0|0|3.502198129|0.0|0|7.412764017000001|2|0.0|-0.007086381|-0.0446165029999999|2|0.039061728|0.091496219|0.0|0.039869055|-0.051080247|1|1|0.003710345|-0.07550872|-0.133106642|1|0.906423012|0.820041835|-0.089459459|0|0.852586292|-0.069970795|-0.105480639|0.362692602|-46.2113679|97.35760604|-46.00836307|2.098786266|0.7758129420000001|-2.004132137|80.59149538|-24.51120192|58.20533756|0.457280037|2881.20453|-1323.6049039999998|2536.987511|-16.18812775|7.483427579|13.78874575|0.8425708820000001|6352.018345|-874.1588982999999|0.016546717|-364.314663|1706.0876829999995|10.92807939|1.0|1.0|1.0|1.0|4.86|0.0|17.0|-7.05|3.33|2.61|94.5|2.51|135.47|1.0|6.0|31.0|4.0|-6.64|427.52|0.0|0.0|2.33|-4.51|1.4300000000000002e-05|3.19|0.0|8.95e-08|-0.05098|-1670.420129|1198.96|327.94|0.4981|536.01|-1670.184251|98.0|-0.20593|-1670.245584|8.5953|0.01|8.0|8.0
6f_a40|0.0|0|0|0|0.0|0.0|1|8.421342866|1|1.750582483|-0.01691341|-0.156988665|0|0.038309179|-0.122783873|0.737582436|0.075227997|-0.190617284|2|2|-0.008368734|0.048543494|0.092206207|0|0.7710013309999999|0.836826225|-0.268802228|1|0.655786513|-0.134203859|-0.130571562|0.363785804|-86.21963207|221.1408856|-53.89282175|40.01876255|0.8628087240000001|-2.350288117|92.77827871|-33.55442128|96.49789556|0.410805404|3021.330686|-1509.948957|3072.581297|-21.5571287|6.993991456|11.87042702|0.69723213|7328.308886|-970.0707913999998|0.013841059|-466.1748926|1750.039046|8.892225517|1.0|1.0|0.0|1.0|4.05|2.53|14.0|-3.67|3.66|2.66|199.45|1.1|124.54|3.0|5.0|30.0|5.0|-6.9|457.55|1.0|0.0|2.61|-4.64|1.13e-07|3.09|0.0|0.0002109999999999|-0.08982|-2426.924155|1139.55|482.43|0.2362|507.64|-2426.725129|0.0158|-203.0|-2426.787111|8.7269|42.0|7.3768|7.3768
34_a47|0.0|0|1|1|0.0|0.0|1|6.842683282|0|1.883479676|-0.004157676|-0.064842466|3|0.03522792|-0.094313757|1.741433543|-0.043634386|0.078153957|1|1|0.0047106|-0.1430639269999999|-0.317014709|3|0.62974551|0.833786184|0.128336294|1|0.8260556609999999|-0.061957581|-0.090141168|0.437215023|-34.3104683|96.32577107|-27.64315244|0.0|0.653993216|-1.261976347|62.66739933|-16.25230464|45.23285281|0.45489212|2371.236125|-698.8490993|918.6458674|-9.000096143|7.066583143|12.96364153|0.834499257|5105.274301|-387.0041342|0.023023142|-170.55473480000003|1068.587688|12.74960652|1.0|1.0|1.0|1.0|3.19|3.0|21.0|-7.47|3.34|4.52|68.52|1.75|99.09|1.0|4.0|26.0|5.0|-6.66|348.38|0.0|1.0|3.02|-3.9|0.000267|2.49|0.0|3.36e-08|-0.0545|-1162.450678|980.02|318.79|0.2309|436.88|-1162.283641|0.1718|-0.21536|-1162.33788|6.2235|2.0|8.7|8.7
13_a12|0.0|0|0|0|0.0|0.0|0|0.0|0|0.0|-0.0069874069999999|-0.0619247109999999|2|0.037948718|-0.21832579|0.0|-0.083760082|0.021322992|0|0|0.002279068|-0.169387652|-0.281096572|2|0.845823047|0.6809340620000001|0.039235452|0|0.90006391|-0.058167326|-0.092483398|0.122164874|-28.51381164|48.98899535|-22.2236882|66.2289548|0.8829921740000001|-1.2947675790000002|48.99243638|-17.15403411|32.52766981|0.466560112|1812.788134|-634.6992622|664.9830294|-8.408963103|6.06407675|11.36787272|0.874625469|3647.657976|-311.13163480000003|0.0074597119999999|-375.4880089|718.8050825|3.656774794|1.0|0.0|0.0|1.0|2.7|2.64|18.0|-7.14|3.63|3.9|50.7|2.42|84.74|1.0|3.0|21.0|3.0|-5.49|276.34|0.0|1.0|3.22|-4.2|5.520000000000001e-05|3.51|0.0|7.26e-08|-0.04445|-876.3370809|867.79|315.25|0.6528|437.91|-876.209109|0.0155|-0.20903|-876.258343|1.5686|93.0|7.0315|7.0315
