molecula|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|GeomPetitjeanIndex|TASA|MOMI-Z|GeomRadius|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
4_a4|0|0|0.0|0.0|1|1.343865392|-0.183963421|-0.001234337|5.4161004020000005|2|0.036775068|-0.0214610589999999|0.011760626|10.92992837|1|1|0.0112367389999999|-0.035166634|-0.048056862|-0.078747188|-0.157959343|2|0.646069495|-0.063012715|0.8306695270000001|0.636572383|1|0.933276024|-0.049768752|-0.06873731|0.456474074|0.008570112|-25.64211031|-35.41518716|4.4155367960000005|0.0667239759999999|-18.24679326|2.274995377|42.42341622|0.793717973|40.86951119|0.398500394|480.8472306|1883.42405|5.326452915|4878.070704|-291.9486922|16.60255217|0.010586293|-302.661743|462.1867149|1.0|1.0|1.0|0.0|3.15|3.09|-7.57|4.52|4.41|43.6|2.66|1.0|100.08|0.0|1.0|2.0|-4.12|-5.79|326.39|0.0|1.0|1.0|2.69e-05|0.00877|8.85e-06|-0.04865|5.382000000000001|3.24|307.95|394.06|67.0|-0.21831|0.02323788|-1029.813844|78.0|7.1079|7.1079
15_a31|0|0|3.155574452|0.0|1|0.610137926|0.1893807519999999|-0.018913735|5.733341277|0|0.038809524|-0.0302581979999999|-0.011797858|10.31169996|2|2|-0.007631228|-0.052339921|-0.157560864|-0.272545088|-0.6215974160000001|0|0.8314086070000001|-0.116356616|0.8582665429999999|0.782925607|0|0.567108776|-0.116196194|-0.131697567|0.287991212|0.038524836|-61.76522754|-70.00513464|20.47825449|0.4328912239999999|-37.21191643|10.88541717|514.6215199|0.641533577|88.05886218|0.466164359|301.452236|1675.977147|6.148947296|5087.628096|-446.5429972|34.45943505|0.03396368|-150.46712390000002|363.593507|0.0|1.0|1.0|2.0|3.31|1.64|-5.66|4.12|3.0|117.37|0.41|0.0|90.47|0.0|2.0|4.0|-4.28|-6.84|342.37|0.0|0.0|1.0|0.000272|0.0931|0.000749|-0.04192|4569.0|3.9|271.36|452.98|348.0|-0.19394|0.03843988|-1460.790873|1.1|5.9586|5.9586
3i_a32|1|1|2.417426304|-4.547725143|0|0.6094207970000001|-0.157360524|-0.012358668|5.733341277|0|0.05052381|-0.21362765|-0.0131506889999999|10.3110028|3|3|-0.0106761939999999|-0.8373173840000001|-0.054335108|-0.212967423|-0.537667101|0|0.565740817|0.030060554|0.902293804|0.54844677|1|0.893827987|-0.093279684|-0.1132851459999999|0.259644227|0.015296821|-49.17963359|-59.72706743|8.064907632|0.106172013|-31.48976464|4.252042736|0.201037767|0.77072347|71.27609889|0.422644726|471.2508776000001|2141.3084710000003|5.826629089|5656.349227000001|-409.3669403|30.52825775|0.021905206|-285.465827|318.0257595|1.0|0.0|1.0|1.0|3.1|2.49|-6.96|6.76|6.29|110.94|2.09|2.0|88.28|0.0|1.0|3.0|-6.27|-5.53|366.38|1.0|0.0|1.0|6.85e-06|0.00251|4.01e-05|-0.06518|3642.0|3.38|340.43|418.24|0.4765|-0.21278|0.02199999|-1891.790935|6.0|8.2366|8.2366
22_a4|0|0|0.0|0.0|1|1.399866564|-0.043165663|-0.006436201|5.4161004020000005|1|0.044357639|0.004808337|0.004765062|10.94586213|1|1|0.004237768|0.00771584|0.021636871|0.034720243|-0.3877007|1|0.774689758|-0.037423832|0.8404413829999999|0.755510052|0|0.8612031509999999|-0.09491995|-0.089955967|0.242642229|0.010702353|-45.61565825|-43.23011833|5.1432274630000006|0.138796849|-20.77508795|2.47167963|0.0|0.8444670409999999|48.65880447|0.4359219589999999|413.8681986|1477.437886|5.495481464|4074.564287|-311.62631919999995|20.75359108|0.011296354|-331.080892|338.71903330000004|1.0|1.0|0.0|1.0|3.3|2.2|-5.24|3.19|3.54|50.94|2.09|0.0|87.12|0.0|2.0|2.0|-3.77|-5.91|289.33|0.0|1.0|1.0|0.000104|0.0301|0.0016699999999999|-0.03046|4.468999999999999|3.38|305.85|400.29|0.1293|-198.0|0.030263407|-934.171365|47.0|7.3279|7.3279
19_a3|0|0|2.917217813|0.0|0|1.4316666480000002|-0.206312209|-0.003417504|4.59511985|3|0.0386379929999999|-0.008897473|0.006821053|10.96959256|1|1|0.006731579|-0.015805561|-0.037291767|-0.066245471|-0.270506095|3|0.718266758|0.064690027|0.8264237520000001|0.687139108|1|0.853017902|-0.067674689|-0.087730634|0.225451546|0.0116401719999999|-31.50932639|-40.8473715|5.419662458|0.146982098|-19.01853079|2.523394126|0.0|0.75798185|48.55416845|0.476813896|397.1650228|869.7868956|5.342307798999999|4138.413977|-247.2409002|20.01615321|0.016552404|-240.2326308|314.0966684|1.0|1.0|1.0|1.0|2.81|1.6|-7.21|3.9|3.39|67.35|1.18|0.0|85.32|0.0|1.0|2.0|-3.24|-6.5|287.32|0.0|1.0|1.0|0.000266|0.0764|1.7800000000000002e-05|-0.05757|3945.0|2.43|314.28|362.92|0.3006|-0.2206|0.020989746|-929.193831|23.0|7.6383|7.6383
41_a18|0|0|0.0|0.0|2|1.251176562|0.115127295|-0.007587553|4.844187086|1|0.038034188|-0.089781154|-0.0034878|10.9470117|0|0|-0.002136837|-0.137860739|-0.005930813|-0.0091068809999999|-0.5421253970000001|0|0.759941674|0.037097204|0.774395455|0.745631286|0|0.7349388459999999|-0.1020290859999999|-0.089139464|0.3888308139999999|0.009550224|-69.94639412|-61.10986894|6.547189171|0.2650611539999999|-41.89408289|4.488448275|93.99687836|0.903239484|65.83786886|0.487248278|503.8398786|1491.296991|8.787657952|6605.095612|-1089.246155|28.37200951|0.006896617|-552.8844577000001|897.5188662|1.0|1.0|1.0|3.0|4.07|0.0|-8.38|3.26|2.7|99.28|2.94|2.0|141.34|0.0|1.0|6.0|-5.56|-6.38|452.55|0.0|0.0|1.0|9.49e-06|0.0042899999999999|1.89e-06|-0.04956|3.2123|7.34|385.97|576.83|482.0|-0.1814599999999999|0.0280471999999999|-1454.045308|369.0|6433.0|6433.0
12b_a50|1|1|0.0|0.0|1|1.397986833|-0.19841119|-0.002929899|5.82008293|1|0.034845679|-0.08032584|0.01164808|10.94501743|2|2|0.011790103|-0.139522815|-0.168032508|-0.291865836|-0.246831987|1|0.699597776|-0.189976035|0.8718949979999999|0.660148928|1|0.925916085|-0.045602469|-0.066155918|0.24516882|0.0214891|-22.92589265|-33.25880166|10.80329197|0.074083915|-16.72031641|5.43117764|86.49656508|0.5731907470000001|47.12729492|0.430791247|465.4891075000001|1446.231761|5.7232816060000005|4672.843578|-234.0844297|20.82911679|0.027586169|-73.59089223|388.171611|1.0|1.0|1.0|0.0|3.31|2.45|-5.49|2.59|3.42|48.53|2.02|0.0|94.69|0.0|2.0|2.0|-3.16|-6.44|313.36|0.0|1.0|1.0|0.000144|45.0|0.00101|-0.02974|4.7089|2.47|315.44|401.64|0.0777|-0.19425|0.02307802|-1006.550688|4.74|5.3242|5.3242
21_a34|0|0|0.0|0.0|2|1.425532331|0.026135784|-0.012535886|5.860786223|1|0.036880342|-0.125881566|-0.001643445|10.94874873|1|1|0.00130996|-0.201539853|-0.254686357|-0.407759867|-0.514364527|1|0.702772307|-0.015568862|0.796991578|0.660871869|0|0.676390843|-0.09533089|-0.117789944|0.527371706|0.034163186|-63.96857813|-79.03896823|22.9240533|0.323609157|-53.03643341|15.38241267|77.34839362|0.728260094|95.12565978|0.4688149339999999|453.8692584|2429.6035|7.253455092999999|7048.305909000001|-954.6558014|38.30514214|0.023973624|-306.332473|659.7484451|0.0|0.0|1.0|0.0|3.43|3.52|-7.68|3.64|3.23|86.55|1.72|1.0|122.59|0.0|1.0|4.0|-4.5|-6.83|438.43|0.0|0.0|0.0|1.94e-05|0.0085|9.06e-06|-0.07534|4.3011|7.78|401.11|530.93|0.0002|-0.20872|0.03023936|-1483.12009|3.36|5.4737|5.4737
6_a4|0|0|0.0|0.0|1|1.271761557|-0.19701009|-0.001221193|5.4161004020000005|2|0.035283951|0.042096749|0.011457667|10.92992785|1|1|0.01098094|0.0671397079999999|-0.046166422|-0.073630392|-0.1738111839999999|2|0.664591856|-0.340860215|0.810030118|0.664247086|1|0.945545838|-0.052396457|-0.0670158929999999|0.417868437|0.0077624059999999|-29.18838891|-37.33240845|4.324187697|0.054454162|-20.7966895|2.408866521|45.93422613|0.814470803|42.27020924|0.423084148|526.7333132|1968.0178670000005|5.758624844|5256.215815|-374.340411|16.83786074|0.008863911|-350.36323230000005|578.2065561000001|0.0|1.0|1.0|0.0|3.38|3.45|-7.99|5.1|5.23|43.6|3.09|2.0|109.7|0.0|1.0|3.0|-4.91|-5.42|354.45|0.0|1.0|1.0|7.74e-06|0.00274|3.67e-06|-0.04867|4.8714|4.11|307.24|453.87|0.0772|-0.2182599999999999|0.02244097|-1108.392115|1.3|5.8861|5.8861
4g_a49|0|0|0.0|0.0|2|1.343847279|-0.087219006|-0.003686314|6.107022888|4|0.036761229|-0.085731041|0.007953069|10.92777048|2|2|0.007845545|-0.146265064|-0.038698906|-0.066023903|-0.311927917|4|0.651833607|0.144740607|0.81242269|0.626581708|2|0.8601878270000001|-0.061465364|-0.0666753309999999|0.736530693|0.018944337|-61.24875669|-66.44036383|18.87757641|0.139812173|-66.20622488|18.81105094|74.95505057|0.6273572239999999|90.11923831|0.48934952|857.1564845|4747.967275999999|9.28937554|11516.07629|-1986.186746|39.71443299|0.023762615|-253.8168226|1714.878736|0.0|0.0|0.0|1.0|4.83|4.36|-13.67|6.09|7.56|116.3|2.87|2.0|198.32|0.0|0.0|7.0|-7.47|-6.6|663.73|1.0|0.0|0.0|3.72e-08|2.47e-05|1.4199999999999998e-11|-0.06458|4.3116|6.35|341.84|662.84|0.0265|-0.21545|0.05838924|-2147.295787|106.0|6.9747|6.9747
8_a15|0|0|0.0|0.0|0|1.419941362|-0.208657545|-0.009853404|0.0|1|0.039181287|0.155304204|1.7800000000000002e-05|10.95880707|0|0|0.003160815|0.225620047|-0.203104439|-0.295062413|-0.342749125|1|0.85357243|-0.025923166|0.742680335|0.8105478740000001|0|0.853896482|-0.071552706|-0.118293578|0.381651497|0.0336657729999999|-41.7821007|-69.07571287|19.65860939|0.146103518|-40.33569847|11.47934212|55.99586988|0.519427411|89.80283608|0.389723411|498.6196971|1919.535904|6.093505548|5306.2234530000005|-484.0283816000001|32.56759415|0.035495625|-22.68867482|532.0914339999999|1.0|1.0|1.0|1.0|3.14|3.76|-7.57|3.9|4.95|61.84|1.96|2.0|104.74|0.0|1.0|7.0|-5.25|-5.52|366.41|0.0|1.0|1.0|1.53e-05|0.00562|9.86e-06|-0.02723|4.4346|3.36|331.28|538.51|0.0155|-0.18303|0.01719864|-1223.523393|108.0|6.9666|6.9666
galu_a46|0|0|0.0|0.0|1|1.343828866|0.048375705|-0.00642454|5.4161004020000005|2|0.039550827|-0.090581301|0.002865697|10.92740177|1|1|0.003107816|-0.150645957|0.028964355|0.0481706809999999|-0.4671565689999999|2|0.702976795|-0.173285585|0.875868891|0.6848692759999999|1|0.7637964079999999|-0.0910072869999999|-0.089050651|0.5235416979999999|0.01235603|-50.93538037|-49.84028137|6.915480101|0.236203592|-27.89483984|3.870487977|68.43088526|0.7832175929999999|57.65745491|0.468241745|427.4851161|1755.2047|6.445819025|5641.451892|-474.2122773|23.01702105|0.013967104|-317.0250717|542.7276591|0.0|1.0|1.0|1.0|3.27|2.75|-7.13|3.69|3.51|86.69|1.84|1.0|108.18|0.0|1.0|3.0|-3.85|-6.86|369.42|0.0|0.0|1.0|0.000102|0.0375|2.75e-05||||||||||51.0|7.2924|7.2924
18d_a30|0|0|0.0|0.0|2|0.6049874|0.041146136|-0.0072724869999999|5.351858133|2|0.040899471|-0.071608958|0.001139238|10.31163881|1|1|0.002064369|-0.159104532|-0.0541804029999999|-0.120380857|-0.4624430539999999|1|0.669561738|-0.149451598|0.870930234|0.64876559|0|0.803280262|-0.07812727|-0.103191184|0.346980269|0.017843227|-49.44608411|-65.3088221|11.29282624|0.196719738|-41.33339749|7.147133584|0.0|0.783284395|75.80070349|0.443774287|508.389239|2894.162522|7.063141946|6367.958933|-744.0011548|30.62871675|0.016577694|-358.5765637|618.6004214|1.0|0.0|0.0|1.0|4.75|0.0|-6.9|4.25|3.18|81.65|3.2|2.0|127.24|0.0|1.0|5.0|-5.39|-6.02|416.47|0.0|0.0|0.0|9.71e-06|0.00405|5.260000000000001e-05|-0.05506|5.0125|4.07|357.49|508.7|0.3788|-0.19673|0.03258724|-1674.8453470000002|21.0|7.6737|7.6737
5a_a49|0|0|0.0|0.0|2|1.343848751|0.079751437|-0.009147269|5.777652323|2|0.034466231|-0.072902329|0.007647515|10.92976459|1|1|0.008623164|-0.1205081119999999|-0.158356406|-0.26176436|-0.51958118|2|0.66494289|0.127914587|0.855876084|0.632463498|1|0.800090055|-0.072109357|-0.0787216|0.6254267029999999|0.028578361|-42.1802818|-46.04810561|16.71687776|0.199909945|-26.93578408|9.77851757|54.35929907|0.6069287529999999|61.89135559|0.490453006|468.0117167|1887.422375|6.0732145310000005|6294.404170000001|-457.9083293000001|26.32248561|0.0270848489999999|-125.09569170000002|592.5885712|0.0|0.0|1.0|0.0|3.37|2.93|-6.92|3.3|3.68|73.14|2.07|1.0|116.62|0.0|1.0|3.0|-3.84|-6.84|397.43|0.0|1.0|1.0|5.09e-05|0.0202|4.72e-05|-0.05062|5.2443|4.14|316.13|443.78|0.0529|-0.21238|0.03478454|-1311.799168|43.0|7.3665|7.3665
16_a3|0|0|0.0|0.0|0|0.605020428|0.183636734|-0.010031024|4.727387819|2|0.045993266|0.027762972|-0.010377537|10.31163046|1|1|-0.008409607|0.069124437|0.0032314229999999|0.008045619|-0.614173961|2|0.659478546|-0.031683873|0.838125715|0.640070307|1|0.6974791290000001|-0.108919585|-0.100138414|0.252612735|0.012203576|-53.7971544|-49.45999101|6.027544549|0.302520871|-24.42909382|2.977102266|82.16042286|0.8296818009999999|56.56724056|0.484889078|344.4962834|1290.305313|5.780331402000001|4733.033232|-342.00731349999995|24.54661368|0.0143895839999999|-325.670405|328.71459869999995|1.0|1.0|1.0|1.0|3.13|2.59|-7.16|4.74|4.57|92.93|2.26|0.0|90.44|0.0|1.0|2.0|-4.98|-5.89|322.36|0.0|0.0|1.0|3.2200000000000003e-05|0.0104|2.25e-05|-0.07095|3.2208|3.19|384.94|368.22|0.3866|-0.2029|0.02847445|-1371.297964|42.0|7.3768|7.3768
28_a34|0|0|0.0|0.0|1|1.454781307|0.000561166|-0.016942875|5.351858133|1|0.04515873|-0.201047053|-0.012039484|10.9595763|1|1|-0.007544188|-0.33032879|-0.189821204|-0.311884247|-0.5437894289999999|1|0.8318609690000001|-0.078146961|0.8582665429999999|0.7829667309999999|0|0.545935562|-0.1306693569999999|-0.140864841|0.316156689|0.03768308|-66.89539627|-72.11491331|19.29162755|0.4540644379999999|-36.91879876|9.876233397|88.32197602|0.7298701059999999|85.99382787|0.454339954|279.4884473|1689.357471|5.613534285|4803.256974|-479.9443839|33.80175623|0.0271102189999999|-235.3612529|344.69029950000004|0.0|1.0|1.0|1.0|3.02|2.55|-4.78|1.99|2.07|92.26|0.88|0.0|85.92|0.0|2.0|3.0|-3.27|-7.04|322.32|0.0|0.0|1.0|0.000565|182.0|0.00535|-0.03896|4.2857|4.11|289.3|417.28|0.2043|-0.21698|0.03680411|-1100.704833|3.82|5.4179|5.4179
1d_a5|0|0|2.79978458|-4.455320158|0|1.217311475|-0.133500214|-0.006252818|4.59511985|2|0.030074074|-0.118028278|-0.0012491689999999|10.94437658|1|1|-0.000700145|-0.389011185|0.001493879|0.004923698|-0.38633065|2|0.525406088|-0.015804188|0.821309592|0.513260607|0|0.8965037640000001|-0.088396743|-0.086213657|0.6271150670000001|0.007937625|-47.76176205|-46.58221594|4.288788702|0.1034962359999999|-25.16889922|2.317281143|0.0|0.770504115|56.83734591|0.471074204|484.3911442|1172.890724|6.116537519|5717.438103|-427.8712868|25.69414151|0.018980039|-292.3128788|403.396385|1.0|1.0|1.0|1.0|2.92|2.19|-8.88|5.48|6.37|54.46|2.73|2.0|95.49|0.0|1.0|4.0|-4.79|-5.73|366.34|1.0|0.0|1.0|1.0800000000000002e-05|0.00396|4.86e-07|-0.04528|4.8725|3.58|268.88|414.59|0.0982|-0.23519|0.03392008|-1288.253849|9333.0|5.03|5.03
6_a47|0|0|0.0|0.0|0|1.304328257|0.011739916|-0.008723045|0.0|2|0.042276423|-0.14404966|-0.010708889|10.93671042|0|0|-0.0094242819999999|-0.302730533|-0.020576777|-0.04324355|-0.459934519|2|0.701994505|0.062425042|0.84654143|0.672308592|1|0.8419184120000001|-0.080118846|-0.096689626|0.446564415|0.009820713|-43.43026699|-52.41283988|5.323543706000001|0.158081588|-28.411587800000003|2.885749555|0.0|0.7943908059999999|60.76103606|0.4059072379999999|456.3812788|1577.98246|6.480620646|5766.962611999999|-454.5854048000001|25.13472712|0.0154005|-319.1626428|469.7495559|1.0|1.0|1.0|2.0|2.82|2.91|-9.06|5.24|6.27|58.04|3.48|2.0|106.47|0.0|1.0|3.0|-6.02|-5.02|379.81|1.0|0.0|1.0|1.63e-06|0.000619|3.310000000000001e-07|-0.05354|5.5188|4.69|333.32|422.9|0.2119|-0.20794|0.03288085|-1608.554019|13.0|7.9|7.9
10_a3|0|0|0.0|0.0|0|0.605017375|0.190318474|-0.010609861|4.727387819|3|0.034166667|0.017396832|-0.008037672|10.31162304|1|1|-0.005959152|0.033279122|-0.0495219879999999|-0.0947326669999999|-0.616256033|3|0.8947911009999999|0.078405316|0.8136572320000001|0.834020779|1|0.747406318|-0.1007256719999999|-0.0989320009999999|0.518341632|0.014615264|-46.64544572|-45.8148076|6.768239856|0.252593682|-21.21655855|3.134330682|80.37219813|0.7066293240000001|56.68388955|0.41220272|346.1193167|1361.86525|5.031169383|4600.496436|-254.5987025|23.57661855|0.023470578|-191.3775649|311.6695405|0.0|1.0|1.0|1.0|3.02|1.78|-6.51|3.79|3.41|105.82|1.2|0.0|88.28|0.0|1.0|2.0|-4.3|-6.44|305.36|0.0|0.0|1.0|0.000145|0.0443|9.35e-05|-0.06238|5375.0|1.64|362.35|323.26|0.0463|-0.21249|0.04080931|-1288.097561|7943.0|5.1|5.1
12a_a30|0|0|0.0|0.0|2|0.604984824|0.033691224|-0.006711725|5.351858133|2|0.040166667|-0.096804291|0.005050384|10.31162903|1|1|0.005458948|-0.171649606|-0.053309522|-0.094526372|-0.454270252|1|0.8421237309999999|-0.171895425|0.842671963|0.7961424690000001|0|0.836214716|-0.07699057|-0.097138462|0.337975309|0.016292604|-47.73588073|-60.22802588|10.10177981|0.163785284|-37.34272719|6.263330101|0.0|0.805190202|69.45678454|0.469799116|518.4718832|2256.680391|7.362386058999999|5936.682602000001|-709.5118166|29.00398472|0.014884556|-378.4495438|620.9195447000001|1.0|0.0|0.0|1.0|4.65|0.0|-6.64|3.84|2.62|81.65|2.82|2.0|127.28|0.0|1.0|5.0|-5.28|-5.98|398.48|0.0|0.0|0.0|1.4e-05|0.0056|9.21e-05|-0.05184|5045.0|3.82|355.41|507.17|0.1511|-0.19994|0.03289568|-1575.597759|11.0|7.9469|7.9469
12e_a30|0|0|0.0|0.0|2|0.604984231|-0.0026669809999999|-0.0077937519999999|5.351858133|2|0.041767677|-0.010682095|0.0043261129999999|10.31162844|1|1|0.0053380919999999|-0.018475151|-0.089279071|-0.154412059|-0.417089226|1|0.838579475|-0.097868612|0.876441789|0.7933543279999999|0|0.816703705|-0.07914783|-0.098059338|0.407218612|0.024254701|-52.50202674|-65.04681137|16.08914569|0.183296295|-43.14823836|10.6725953|0.0|0.7071208529999999|80.10232244|0.46715936|541.7533217|2392.685958|8.069355055|6421.289402|-819.8165288|32.97692061|0.022696477|-274.7836441|704.0353382000001|1.0|0.0|1.0|1.0|4.72|0.0|-6.74|3.89|2.63|90.88|2.51|2.0|133.77|0.0|1.0|6.0|-5.44|-6.19|428.51|0.0|0.0|0.0|1.19e-05|0.0050799999999999|7.87e-05|-0.05044|5.0412|3.58|356.82|562.76|151.0|-0.19804|0.03344515|-1690.092998|11.0|7.9431|7.9431
12ac_a36|0|0|3.4419617660000004|0.0|2|1.297043188|-0.050997272|-0.007639626|5.351858133|2|0.042560386|0.03586247|0.000584134|10.95345846|1|1|0.0018565629999999|0.060445359|-0.098698552|-0.166354116|-0.433636165|1|0.8058720979999999|-0.020272679|0.863165958|0.770400825|0|0.779673368|-0.080202334|-0.104391657|0.4712820929999999|0.021508835|-55.68500110000001|-72.4798052|14.93372351|0.220326632|-50.32319912|10.36858115|20.70356046|0.7316461470000001|86.51036063|0.44477577|541.3322795|2455.459827|8.126831024|6378.288017|-956.1407834|34.22211444|0.020208014|-321.66684580000003|716.9974499|1.0|0.0|0.0|2.0|4.86|0.0|-6.89|3.16|2.09|86.27|1.59|1.0|133.95|0.0|1.0|6.0|-3.81|-7.21|423.47|0.0|0.0|0.0|0.000112|0.0476|5.4600000000000006e-05|-0.0527399999999999|3.8843|4.84|321.25|554.84|0.0249|-0.20949|0.03998989|-1385.382927|13.0|7.8861|7.8861
8_a4|0|0|0.0|0.0|1|1.304250488|-0.208165266|-0.001277205|5.4161004020000005|2|0.038726287|-0.072752231|0.010647563|10.9295757|1|1|0.009595591|-0.1193184819999999|-0.048133994|-0.078942941|-0.150276481|2|0.619844116|0.097165358|0.879500982|0.576540652|1|0.925132446|-0.05397993|-0.065595042|0.546157592|0.0103751219999999|-27.90231822|-33.90618946|5.362918401|0.074867554|-17.52616744|2.772101712|37.17889653|0.7261541020000001|41.57817329|0.428884426|478.2025467|1737.932042|5.695730546|5162.482272|-262.8925116|17.50981094|0.0148422489999999|-233.7988862|434.9654405|1.0|1.0|1.0|0.0|2.99|3.19|-7.78|4.63|4.76|43.6|2.93|1.0|100.13|0.0|1.0|2.0|-4.35|-5.76|346.81|0.0|1.0|1.0|1.46e-05|0.00506|5.72e-06|-0.05864|5.3544|3.29|311.03|391.01|0.0642|-0.22685|0.0252645|-1450.121028|54.0|7.2676|7.2676
23_a10|0|0|0.0|0.0|1|1.34383709|-0.12979844|-0.00264793|5.4161004020000005|2|0.036666667|-0.031558374|0.010305237|10.92966139|1|1|0.010662507|-0.0502296329999999|-0.130679|-0.207994181|-0.233801237|2|0.7338945809999999|-0.043248272|0.800727358|0.706648116|1|0.915208645|-0.049653973|-0.072395864|0.535680357|0.009615852|-35.17017083|-51.27837225|6.81095873|0.084791355|-36.32074126|4.824237957|53.00900704|0.7611996520000001|60.76548004|0.485561757|648.2471057|1945.384475|8.755988318|7034.375112000001|-835.377049|24.9903188|0.013394095|-370.018179|930.6293092|1.0|1.0|1.0|0.0|3.8|4.13|-9.84|5.11|5.81|56.07|2.99|2.0|139.11|0.0|1.0|6.0|-5.38|-5.93|461.56|0.0|0.0|1.0|2e-06|0.000923|6.66e-08|-53.0|3.8034|3.9|325.98|606.18|0.2089|-0.21158|0.02986448|-1469.902562|0.75|6.1249|6.1249
12ak_a36|0|0|3.501132553|0.0|2|1.270373882|-0.052930979|-0.006465433|5.351858133|2|0.041728395|0.12041792|0.0042553209999999|10.95268014|1|1|0.005035022|0.198260132|-0.099596099|-0.163978382|-0.439326642|1|0.901715152|-0.0265703679999999|0.860939187|0.860667615|0|0.848705143|-0.069176342|-0.091761476|0.537460657|0.019931266|-49.87483724|-66.15829243|14.3700664|0.151294857|-47.69888026|10.36054668|25.9007405|0.737439195|79.17567486|0.423822657|611.9003905000001|2735.7986920000003|7.98672125|6240.396899|-1001.676485|31.93194362|0.018055095|-342.3783571000001|799.5563855|1.0|0.0|1.0|2.0|5.05|0.0|-7.38|3.85|3.01|69.2|2.66|2.0|138.33|0.0|1.0|6.0|-4.95|-6.19|423.51|0.0|1.0|1.0|1.39e-05|0.00589|1.7800000000000002e-05|-0.04929|3.8734|4.21|336.05|584.05|0.0001|-0.20204|0.03471045|-1350.637958|46.0|7.3372|7.3372
3p_a32|1|1|3.456037415|0.0|1|0.609420752|0.007752757|-0.008735261|6.008813185|0|0.036666667|-0.050639647|-0.000971341|10.31100269|3|3|0.000920756|-0.092884784|-0.146606489|-0.26891009|-0.53666614|0|0.737842269|-0.120768771|0.918782026|0.6956696440000001|1|0.8195708759999999|-0.070907174|-0.098773656|0.366898545|0.021264377|-41.73212799|-58.13283248|12.5150622|0.180429124|-34.21384146|7.365688817|57.82331968|0.6199678829999999|73.07639870000001|0.416240891|482.3550967|3037.061498|6.243062200000001|5960.446219|-444.779939|27.70403125|0.025390655|-141.21321609999998|530.5658569|1.0|0.0|1.0|1.0|3.38|2.6|-6.79|6.06|3.71|131.25|1.1|1.0|112.37|0.0|1.0|4.0|-5.11|-6.8|395.5|0.0|0.0|1.0|5.629999999999999e-05|0.0222|6.4e-05|-0.04963|3.6436|4.26|340.28|471.04|0.3083|-0.20018|0.02642856|-1879.406962|26.0|7585.0|7585.0
16d_a32|1|1|3.311658163|0.0|0|0.609420775|0.170838661|-0.017249763|5.733341277|0|0.0421759259999999|0.0115077539999999|-0.00839148|10.31100273|3|3|-0.005427254|0.021406827|-0.128753933|-0.239509216|-0.68301199|0|0.816581223|-0.0847953219999999|0.916850163|0.7689748270000001|1|0.7554930740000001|-0.091212351|-0.11491796|0.41654798|0.032003415|-53.23914436|-67.07571683|18.67986534|0.244506926|-39.15098916|10.90312918|48.61700321|0.615749698|86.50964771|0.4429631189999999|440.9688416|3152.666302|6.221435089|5768.495166|-508.962859|34.53986301|0.0332953229999999|-135.1223777|457.7130665|1.0|0.0|1.0|2.0|3.35|3.01|-6.59|5.26|3.82|149.27|0.65|1.0|102.33|1.0|1.0|6.0|-5.65|-6.62|385.46|1.0|0.0|1.0|6.659999999999999e-05|0.0257|9.84e-05|-0.05068|3.6271|3.78|341.83|489.97|0.2915|-0.20077|0.02818209|-1877.241687|8.0|8.1135|8.1135
