molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|SRW07|n6HRing|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|BIC2|GATS1pe|nFaHRing|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|FNSA4|WNSA5|WPSA3|RPCS|DPSA5|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50
3c_a12|0.0|0|0|0|0|6.555356892000001|1|1|0.610140703|0.0|4.59511985|2|0.0|-0.379362977|-0.008931246|10.3117069|-0.056537396|1|1|-0.001825446|-0.267255164|-0.116098308|-0.211367878|0.826033688|0.859899236|0|-0.099327724|0.013219706|-36.28720467|-50.25579322|73.9854678|-0.033980537|-25.42738988|3.384177297|0.0|61.16334136|-653.3253118|1139.340748|-8.698843907999999|6.231995392999999|10.88288188|4629.005722|-330.5560685|0.02155815|-207.9738085|926.0140155|380.2468615|10.90754815|1.0|1.0|1.0|0.0|1.0|1.0|0.12|17.0|-6.78|4.01|2.25|78.41|1.82|0.0|98.16|-4.22|23.0|4.0|319.38|0.0|0.0|1.0|6.06e-05|0.0194|2.91|0.0|5.3200000000000006e-05|-0.07463|2.56|-1327.498519|-1327.471862|0.4687|311.14|399.38|0.43415|0.68067|-1327.351991|0.1193|-0.14572|1.6035|-0.22035|2.3061|0.02|7699.0
12g_a31|0.0|1|0|0|0|7.765993078999999|1|1|0.6101363000000001|0.0|5.733341277|0|0.0|-0.7501734859999999|-0.0733026079999999|10.31169877|-0.082116813|2|2|-0.0054114869999999|0.074878295|-0.0497478109999999|-0.081426376|0.819234772|0.7983388929999999|0|-0.131126805|0.030961426|-78.87508829|-80.52794936|152.7424573|-0.039059048|-49.45404266|11.67699967|548.1594997999999|95.97385383|-1127.391291|1859.940155|-14.73099143|8.098256552|15.28679013|5398.678971|-692.3565973|0.02515117|-231.70711040000003|1637.106139|524.0230338|15.44590447|1.0|1.0|1.0|1.0|1.0|2.0|0.32|16.0|-6.45|5.19|3.44|131.36|0.86|0.0|103.26|-4.92|27.0|5.0|384.45|0.0|0.0|1.0|1.19e-05|0.00457|2.52|0.0|0.000136|-0.03324|4.17|-1578.846191|-1578.800869|265.0|323.3|542.78|0.70068|0.70068|-1578.605452|265.0|-0.15917|1.6279|-0.19241|2.4038|0.11|6.9586
12be_a36|0.0|1|0|0|0|7.412764017000001|2|2|1.297042758|0.0|5.351858133|2|0.0|-0.580823835|-0.08981965|10.95957887|0.00430921|1|1|0.002872872|0.19405344|-0.176729938|-0.289604649|0.812921349|0.8350231859999999|0|-0.108962668|0.033763464|-54.15309606|-75.59805505|63.31681179|-0.031937334|-52.44976141|16.25222352|0.0|99.62604537|-1285.166936|2552.721046|-15.37320593|8.773114043|16.14074295|6592.168374|-891.645944|0.034632557|-91.68453892|2270.314539|766.4854363|24.02799032|1.0|0.0|0.0|1.0|1.0|2.0|0.21|17.0|-6.79|2.83|1.9|87.66|1.42|0.0|136.74|-4.11|33.0|6.0|441.49|0.0|0.0|0.0|7.75e-05|0.0342|2.62|0.0|7.11e-05|-0.0518799999999999|2.68|-1462.0007349999998|-1461.968283|0.7034|237.59|594.44|0.40844|0.70465|-1461.68274|0.0018|-0.13781|7.7861|-0.18969|10.3044|44.0|7.3565
1_a15|0.0|0|0|0|0|0.0|0|0|1.419940974|0.0|0.0|2|0.0|-0.541427319|-0.068297833|10.95880609|-0.000905902|0|0|0.003816011|0.096086011|-0.1816819589999999|-0.270248221|0.705825714|0.795437721|0|-0.1117462069999999|0.026214985|-44.01415991|-72.24770503|121.3844816|-0.031142386|-46.71058649|10.95802135|63.14412039|90.40184737|-1228.210985|2855.495631|-13.01770443|6.580146251|11.7078005|7284.337537|-794.0799704|0.0280791829999999|-136.9714493|2026.993248|851.7423982|18.15414234|1.0|1.0|1.0|1.0|1.0|1.0|0.19|24.0|-10.02|5.46|6.32|74.73|2.2|0.0|132.94|-6.55|34.0|6.0|457.52|1.0|0.0|0.0|2.830000000000001e-07|0.00013|5.23|0.0|4.36e-08|-0.04142|4.68|-1510.136281|-1510.117336|0.2464|282.85|598.34|0.64662|0.70553|-1509.785098|0.0061|-0.1365|1.2218|-0.17792|2.3261|44.0|7.3565
11b_a5|0.0|1|0|0|0|6.605297921|0|0|1.277648917|0.0|4.59511985|2|0.0|-0.1833048739999999|-0.118167947|10.94877958|-0.0536971829999999|1|1|0.005685558|-0.108457009|-0.0109928619999999|-0.017658026|0.805760343|0.682032125|0|-0.080664777|0.016373566|-45.82509318|-48.42513182|55.25128526|-0.029332646|-29.07084703|5.900883275|1.880682804|62.16286481|-774.8021092|913.0178976|-10.5712171|8.936258446|16.43091298|5107.577902|-465.13355250000006|0.0228838029999999|-202.0032297|1159.458633|504.9898148|13.73773299|1.0|1.0|1.0|1.0|1.0|1.0|0.1|23.0|-9.15|5.38|4.82|63.69|2.01|1.0|106.58|-4.65|27.0|4.0|376.84|0.0|1.0|1.0|2.26e-05|0.00853|3.62|0.0|2.68e-07|-0.0418399999999999|3.31|-1564.761898|-1564.72614|0.5806|275.55|511.28|0.61027|0.6284|-1564.56504|0.2013|-0.17107|1.9569|-0.21291|2.8531|19.0|7.7212
12_a1|0.0|1|0|0|0|7.423568444|1|1|1.430936075|0.0|5.351858133|1|0.0|-0.516204114|-0.0811332759999999|10.94945122|-0.051772288|1|1|-0.001416381|0.127560614|-0.104622651|-0.173618873|0.749817035|0.7534284040000001|0|-0.104724018|0.033770552|-55.99493147|-60.78517756|133.6600817|-0.039894864|-35.28166588|11.37734536|477.1158679|74.99749378|-972.562841|1825.150911|-13.44063462|7.679719277999999|14.34104294|5468.378562|-564.5066541|0.024485753|-260.8074567|1342.083063|473.040639|14.21231622|1.0|1.0|1.0|1.0|1.0|1.0|0.05|23.0|-8.2|4.87|4.41|83.82|1.67|0.0|103.47|-4.98|28.0|5.0|366.37|0.0|0.0|1.0|1.04e-05|0.00379|3.54|0.0|2.3e-06|-0.07042|3.67|-1216.12881|-1216.099134|0.5867|332.04|482.51|0.69114|0.69763|-1215.922313|0.2821|-0.12874|7.7454|-0.19916|10.1801|2.95|5.5302
5b_a49|0.0|0|0|0|1|7.853604813|2|2|1.343848745|2.119588967|5.777652323|2|1.926253727|-0.418576471|-0.0695402359999999|10.9297646|0.059834711|1|1|0.006696215|-0.12209302|-0.13632743|-0.230763367|0.7843021|0.666573331|1|-0.076494119|0.020319986|-41.03213895|-44.96093486|170.0796998|-0.026008|-26.42668087|7.020013952999999|69.07083505|59.85065205|-764.3358925|1956.050085|-8.985071494|6.270195553|11.94760614|6225.302624|-449.2535747|0.025332565|-127.7749783|1255.69656|612.7019937000001|14.88971719|0.0|1.0|1.0|1.0|1.0|1.0|0.22|21.0|-7.24|2.98|2.87|75.94|2.07|0.0|122.26|-3.3|30.0|4.0|396.44|0.0|1.0|1.0|0.000496|0.1969999999999999|2.08|0.0|2.3e-05|-0.04453|3.92|-1292.139616|-1292.100239|0.4653|240.03|451.32|0.39241|0.65269|-1291.873941|0.0747|-0.1624799999999999|4.3767|-0.20701|6.1996|28.0|7.5528
11_a1|0.0|1|0|0|0|7.423568444|1|1|1.430935838|0.0|5.351858133|1|0.0|-0.867849442|-0.05257082|10.94957487|-0.044235537|1|1|-0.009578125|0.126722854|-0.07452948|-0.117419838|0.747358374|0.7846345840000001|0|-0.126108875|0.034974992|-77.81495049|-74.35738693|274.39137789999995|-0.048723884|-43.84323456|12.15946748|84.40380304|89.80732824|-1264.075578|1885.148133|-16.93943154|7.43666407|14.2257294|5798.645137|-745.3349875|0.02620284|-297.0290662|1681.223993|495.0560271000001|15.44994131|1.0|1.0|1.0|1.0|1.0|2.0|0.05|23.0|-7.47|4.28|4.23|97.33|1.95|0.0|105.71|-5.07|29.0|6.0|385.37|0.0|0.0|1.0|8.48e-06|0.00327|3.35|0.0|1.29e-05|-0.06546|5.26|-1312.462371|-1312.4282380000002|0.5573|331.66|471.76|0.68162|0.69914|-1312.241032|0.3201|-0.12916|5.0526|-0.19462|7.1743|0.17|6.7696
4R4l_a46|0.0|0|0|0|1|7.825245291|1|1|1.134637095|2.155247543|5.587248657999999|1|0.0|-0.255755434|-0.060895366|10.94631401|-0.161358058|1|1|0.006162668|-0.1012114369999999|0.0071939419999999|0.010799648|0.726535412|0.7936534740000001|0|-0.084697739|0.007084496|-49.12015477|-45.96797819|177.33836430000002|-0.02989332|-24.94818681|2.086777505|0.0|49.44228224|-827.4236073|1766.0974600000002|-8.805242402000001|5.669819400000001|10.43942503|4923.057044|-449.0673625|0.006401537|-410.6276419|942.0756413|579.2365607|3.474304058|1.0|1.0|1.0|1.0|1.0|1.0|0.36|17.0|-7.0|4.64|5.02|50.94|3.06|0.0|105.77|-5.28|26.0|3.0|347.45|0.0|1.0|1.0|5.25e-06|0.00182|4.49|0.0|3.47e-05|-0.0212699999999999|4.99|-1092.75416|-1092.728268|0.1678|266.65|498.78|0.40548|0.67823|-1092.4898449999998|0.0851|-0.17475|2.1973|-0.19602|2.3035|137.0|6.8633
3d_a32|0.0|1|1|1|0|7.765993078999999|0|0|0.609420786|0.0|5.733341277|0|2.230648962|-0.269655316|-0.113314811|10.31100276|-0.0602430179999999|3|3|0.002004382|-0.1131110759999999|-0.076494363|-0.1395294259999999|0.8444218509999999|0.77923808|1|-0.093187219|0.014419776|-37.19367587|-50.45435743|62.43434632|-0.02867299|-27.31750365|4.22710649|0.0|59.15151032|-605.4522892000001|1855.167124|-8.405385739|6.15119195|10.75032687|4752.534658|-327.8100438|0.0160633|-238.8142619|840.275417|421.3548777|8.697152881000001|1.0|1.0|1.0|1.0|1.0|1.0|0.24|19.0|-7.29|6.97|5.07|110.94|1.94|0.0|97.86|-6.55|23.0|3.0|340.47|0.0|0.0|1.0|2.81e-07|9.58e-05|4.5|0.0|1.75e-05|-0.05482|3.42|-1672.758552|-1672.733979|0.5031|353.18|465.41|0.7035100000000001|0.7035100000000001|-1672.585902|0.5031|-0.14189|3.2094|-0.19671|5.1728|8.0|8.0915
