molecula|n9FaHRing|n9FaRing|SaaNH|SssssC|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|BIC2|MATS8s|SIC2|GATS1pe|RASA|FNSA3|PBF|PNSA5|PPSA3|RPSA|TPSA_x|FNSA4|WPSA3|FNSA1|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
7b_a10|0|0|0.0|0.0|1.186434511|0.0|-0.170920618|-0.001621737|5.4161004020000005|2|0.037804233|0.011041815|-0.01808249|10.93274506|0|0.010068964|-0.0982988509999999|-0.051052176|-0.1874708719999999|0.764865564|-0.108464916|0.8200487120000001|0.586354126|0.92441666|-0.0590666679999999|0.5113525529999999|-37.45675757|5.061217187|0.07558334|39.29815915|-0.027444463|2.6314862480000003|0.781045839|43.9185573|-14.26924098|0.446575367|2290.380138|480.6333417|2150.375871|-7.419027879|0.218954161|4.854451707|8.771658176|0.8069307729999999|-311.5991709|18.26940272|-292.2491701|459.0250226|6.46179973|1.0|0.0|3.9|0.0|16.0|3.03|41.38|1.0|105.44|0.0|1.0|2.0|-5.28|3.0|-5.09|1.0|-5.28|5.29e-06|0.00183|0.00182|4.68|0.0|1.0200000000000001e-07|3.54e-05|-0.05377|6.0231|3.6426|-1450.09312|562.31|205.85|-1450.075119|0.0899|-0.21225|0.02946054|-1450.124551|5.6147|4.7033|4.7033
19f_a38|0|0|3.3320764830000003|0.0|1.297044434|0.0|-0.036714749|-0.007831113|5.351858133|2|0.041808786|-0.002526241|0.035480177|10.96083376|1|-0.000673716|-0.017421394|-0.101303149|-0.4288343429999999|0.819222745|-0.075025988|0.8741648479999999|0.698414933|0.750875987|-0.085318318|0.488059925|-71.10679028|13.4639011|0.249124013|159.14822980000002|-0.037844587|8.601162122|0.734437553|84.35196967|-24.1763087|0.453960261|2776.145209|479.6831205|2846.860803|-15.44458393|0.265562447|6.164440995|11.28936331|0.8313685409999999|-772.2291966|32.91812709|-299.5321167|595.8790650000001|13.24517938|1.0|1.0|4.82|2.48|17.0|2.55|81.23|1.0|125.69|0.0|1.0|5.0|-4.14|4.0|-6.77|1.0|-4.17|7.209999999999999e-05|29.0|0.0272|2.78|0.0|1.4e-07|5.610000000000001e-05|-0.05735|5.3197|3.4422|-1332.190216|653.22|233.07|-1331.945195|0.0019|-0.20104|0.02936908|-1332.004601|7.1655|7.1397|7.1397
19i_a38|0|0|3.169368622|0.0|1.297043925|0.0|-0.125335237|-0.008447598|5.351858133|2|0.043197531|-0.006877664|-0.074033381|10.96052467|1|-0.004358975|0.215263198|-0.098027247|-0.430016467|0.836170906|-0.040954326|0.892249657|0.632625562|0.747158407|-0.08347616|0.4748744179999999|-69.40536597|13.83587388|0.252841593|154.953787|-0.040770109|8.479305267|0.7419238420000001|82.98550237|-24.98593175|0.444551315|2896.470706|457.89548719999993|2335.0953870000003|-15.31261014|0.258076158|6.690507557999999|12.04523072|0.800346329|-765.6305068|33.67721904|-296.5257022|593.6088758|13.5801364|1.0|1.0|4.8|2.88|17.0|3.11|81.23|1.0|125.65|0.0|1.0|5.0|-4.25|5.0|-6.81|1.0|-4.33|5.68e-05|0.0238|0.0196|2.88|0.0|7.599999999999999e-08|3.19e-05|-0.0564799999999999|5.7041|3.6129|-1431.415351|641.31|217.36|-1431.181148|0.1886|-0.2052|0.03110827|-1431.239177|8.6365|7.9031|7.9031
13k_a6|0|0|3.423411754|0.0|1.42421381|0.0|0.031525207|-0.014257799|5.351858133|1|0.04162037|-0.009326562|0.0809333929999999|10.95129637|1|-0.006280295|0.08217847|-0.045794891|-0.5627624379999999|0.7908110340000001|0.1373649019999999|0.84018367|0.827754203|0.641032542|-0.11937574|0.212093198|-88.29427104|20.6185734|0.3589674579999999|249.215618|-0.045420752|14.31458589|0.7971316940000001|100.7779947|-31.53366823|0.426031882|2966.890288|445.0412356000001|3332.974951|-21.89246528|0.202868306|8.370126134|14.58291125|0.7422570490000001|-1225.9780560000002|39.55891914|-412.5714301|741.5222707|12.48372364|1.0|1.0|3.68|2.8|23.0|3.8|115.15|1.0|124.98|0.0|1.0|7.0|-5.49|5.0|-6.59|1.0|-4.77|3.26e-06|0.00144|0.0075599999999999|3.39|0.0|1.29e-09|5.7e-07|-0.04851|5112.0|3.5476|-1465.862962|731.25|242.53|-1465.557346|0.0137|-0.1944|0.0308324|-1465.621288|10.5079|7.3372|7.3372
9r_a24|0|0|2.950959457|0.0|1.353642494|0.0|-0.134192489|-0.004640179|4.59511985|3|0.024179894|0.007861194|0.064425793|10.96129392|1|0.008722018|-0.29065818|-0.179075526|-0.3018627239999999|0.7958149290000001|-0.120617935|0.841805128|0.7526889940000001|0.8417158379999999|-0.0618978309999999|0.32720212|-54.99020696|10.4302588|0.158284162|106.1180928|-0.025821921|6.992734796000001|0.6152148279999999|70.79264457|-17.31173182|0.473403843|2644.462265|564.3096436000001|958.7578093|-11.60626518|0.384785172|9.672636984|18.36822555|0.898988412|-626.7383196000001|28.13932796|-154.486433|670.2247423|15.80243761|1.0|1.0|3.53|3.04|23.0|3.93|79.82|2.0|116.9|0.0|1.0|8.0|-4.02|6.0|-6.83|0.0|-4.06|9.58e-05|0.0383|0.0351|2.69|0.0|2.21e-09|8.84e-07|-0.04313|4.4722|4.2877|-1294.486221|713.25|277.23|-1294.201456|0.0029|-0.21074|0.03426339|-1294.263358|3.0322|7.9586|7.9586
9s_a24|0|0|2.9568988810000003|0.0|1.4275963180000002|0.0|-0.222173285|-0.003599664|4.59511985|4|0.023585859|0.006748865|-0.060407836|10.96129902|1|0.007695726|-0.0897306019999999|-0.204128966|-0.248704391|0.773544454|0.030228027|0.8327425070000001|0.748077475|0.8833498320000001|-0.049825449|0.483170382|-39.48555839|10.42725806|0.116650168|72.43525688|-0.019465646|6.474925237000001|0.445160769|61.19761205|-12.08741583|0.47085169|2747.809842|548.5261887|969.5210193|-7.505819207999999|0.554839231|9.124394347|17.24354813|0.889829339|-367.7851412|27.15292246|68.10609672|604.8829955|21.71205366|0.0|1.0|3.43|2.78|29.0|4.29|77.21|1.0|115.67|0.0|1.0|4.0|-3.36|4.0|-7.2|0.0|-4.06|0.000434|171.0|0.0343|2.11|0.0|7.73e-09|3.04e-06|-0.03597|3.0726|2.6707|-1271.031372|654.28|403.51|-1270.738032|0.0839|-0.14462|0.03640642|-1270.796154|7.0312|7.4949|7.4949
11_a4|0|0|0.0|0.0|0.626711769|2.159635561|-0.20567828|-0.001098364|5.4161004020000005|2|0.03617284|0.011277653|-0.073554945|10.33765061|1|0.010782511|-0.030003079|-0.0278843589999999|-0.145254541|0.820318166|-0.163623353|0.875868891|0.647727179|0.930113409|-0.054262142|0.4523305489999999|-37.74083422|5.395547437|0.069886591|40.38918044|-0.023620625|3.118219598|0.7560913159999999|44.63993001|-13.65094004|0.480360734|2452.527871|537.5354202000001|1640.559148|-7.889214068999999|0.243908684|6.850305797000001|13.18281017|0.924411925|-370.7930613|18.0546182|-296.0029432|575.2252237|6.89909579|1.0|1.0|3.31|3.49|21.0|5.22|68.9|2.0|111.64|0.0|1.0|4.0|-5.14|3.0|-5.74|1.0|-4.97|7.27e-06|0.00271|0.00395|3.99|0.0|8.89e-09|3.31e-06|-0.05582|4907.0|3.78|-1467.463842|630.04|252.67|-1467.20045|0.0403|-0.2146699999999999|0.02336674|-1467.255521|5.3012|6.9586|6.9586
8d_a32|1|1|3.474433107|0.0|0.609420756|0.0|0.143684876|-0.010604502|5.733341277|0|0.0388738739999999|-0.006974711|-0.044765977|10.31100269|3|-0.005162219|0.113030335|0.001558357|-0.629535754|0.825978584|-0.054095278|0.875986707|0.789198712|0.7107041559999999|-0.109612139|0.261692269|-69.11005922|10.01177286|0.2892958439999999|181.8092016|-0.03346862|6.291941176|0.708567136|81.54594837|-21.03349629|0.47012654|2556.198518|446.6450457|2371.595484|-13.21859008|0.2914328639999999|8.106843676|15.29958432|0.887243042|-608.0551435|29.684549600000004|-262.14980440000005|557.1050635|12.43588915|1.0|1.0|3.5|2.84|19.0|4.32|154.03|1.0|110.38|1.0|1.0|7.0|-6.08|4.0|-6.47|1.0|-4.36|8.41e-07|0.000334|0.0173|3.17|0.0|5.51e-08|2.19e-05|-0.0535|3.5588|3.5588|-1880.773727|671.71|348.39|-1880.540067|0.3018|-0.20115|0.04065536|-1880.602038|1873.0|8.0809|8.0809
7c_a10|0|0|0.0|0.0|1.343178184|2.1219657030000003|-0.152261681|-0.00375251|5.4161004020000005|2|0.039433962|0.01006918|-0.033792245|10.92926158|1|0.0107756969999999|-0.176560297|-0.12177839|-0.215874011|0.7928588059999999|-0.087063341|0.84177174|0.6952665379999999|0.906276489|-0.05074318|0.487148112|-51.2378943|16.04055193|0.093723511|54.79389751|-0.0223398779999999|9.377842892|0.52630639|67.01436709|-13.06063972|0.4675549639999999|2616.8970870000003|529.8395322|1881.379304|-7.635686595|0.47369361|6.703148323|12.58937144|0.8781281320000001|-389.4200163|24.81565867|-30.75918962|611.4957509|15.7764728|1.0|1.0|3.48|3.49|21.0|4.43|62.06|1.0|113.07|0.0|1.0|4.0|-4.44|5.0|-6.2|1.0|-4.69|3.59e-05|0.0139|0.00793|3.46|0.0|1.66e-08|6.4e-06|-0.04004|5.4267|3.8357|-1259.011598|635.47|228.47|-1258.744382|0.0921|-0.20059|0.02659395|-1258.801509|5.0714|5.4191|5.4191
20a_a10|0|0|0.0|0.0|1.343837243|2.113798134|-0.0774974029999999|-0.0034618129999999|5.4161004020000005|2|0.036415094|0.008214031|-0.010695558|10.9296614|1|0.008297595|-0.058994157|-0.049146504|-0.281099208|0.755429696|0.036092601|0.817646497|0.63495222|0.913681336|-0.066386563|0.591835899|-47.37850712|8.860330345|0.086318664|56.1599532|-0.028008251|5.764636687|0.733451892|58.1398225|-18.22250274|0.452402751|2998.608651|594.4519837|2021.669282|-11.8557778|0.266548108|8.419180593|15.37476788|0.826159649|-616.5004457|24.84485067|-303.7731758|719.5272609|10.76131538|1.0|1.0|3.48|3.63|27.0|5.77|76.62|2.0|126.35|0.0|1.0|4.0|-5.68|5.0|-5.82|1.0|-5.59|2.07e-06|0.000888|0.0011|4.36|0.0|3.61e-10|1.55e-07|-0.06611|4.7841|3.8312|-1389.164302|696.63|259.16|-1388.897416|107.0|-0.2274199999999999|0.03217287|-1388.957848|3.2116|5.9208|5.9208
