molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|MATS8d|GATS1pe|nFaHRing|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|RPCS|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
16b_a23|0|1|1|0.0|0.0|2|7.423568444|1|1.197960988|0.031073244|-0.005139233|5.351858133|-0.013240238|3|0.037664609|0.054655144|-0.3237716519999999|-0.068280331|10.31321583|2|0.011266252|-0.123524943|-0.224300431|2|0.75524548|0.14319927|-0.09063701|0.711576167|1|-0.07920267|0.018614978|-37.52431601|-58.69232154|7.971529518|0.071420236|-0.031407956|-43.49333918|100.0262487|-27.80700713|-23.2745413|51.31875369|3370.826124|688.1144512|-1349.923395|2256.698672|9.472884487|18.46592377|0.949345397|193.4284005|31.49562341|0.018384316|-354.1828792|1826.746158|13.6235075|1.0|0.0|1.0|1.0|0.0|1.0|0.07|-7.33|4.1|108.26|3.14|2.0|1.0|146.03|0.0|-6.19|36.0|-6.3|489.57|0.0|0.0|-5.67|0.000314|0.00106|0.0|0.0|4.6200000000000003e-08|-0.07352|1.6041|4.24|1.6041|-1877.615701|772.92|0.3456|772.92|607.92|-1877.270284|-0.13741|9.2317|-0.21093|0.03978022|96.0|7.0191|7.0191
5_a18 (BIBF0775)|0|0|0|0.0|0.0|0|7.03438793|2|1.251175715|0.0160123|-0.005220163|4.844187086|-0.015946718|1|0.035478927|-0.0366107389999999|-0.391512249|0.0002403959999999|10.94702058|0|0.0036739159999999|-0.144352593|-0.216531385|0|0.7140745620000001|-0.001626287|-0.040022105|0.7061155790000001|0|-0.078246932|0.008501088|-52.09190866|-59.08151918|10.36586529|0.156764132|-0.029755876|-44.61038661|50.25564119|-39.33277643|-22.46761997|58.5107823|3115.979466|636.6978809999999|-1595.201018|1645.395714|9.798677372|18.98829281|0.937842434|138.97646310000002|27.535837|0.010831199|-477.1120625|1955.044427|8.178259299999999|0.0|1.0|0.0|1.0|1.0|2.0|0.32|-9.21|3.69|76.5|3.52|3.0|1.0|155.95|0.0|-6.07|37.0|-5.96|494.63|0.0|1.0|-5.72|0.000425|0.000946|0.0|0.0|6.18e-10|-0.04938|3.2027|8.45|3.2027|-1572.290174|378.13|0.4825|378.13|691.68|-1571.843719|-0.13154|2.3389|-0.18092|0.02305362|34.0|7.4685|7.4685
13c_a6|1|0|0|3.441255118|0.0|0|7.412764017000001|1|1.424213869|-0.046663393|-0.010619065|5.351858133|-0.0122495089999999|1|0.040821256|0.049627353|-0.605286688|0.054910284|10.95129637|1|-0.000899678|-0.106686991|-0.174259072|1|0.845481322|0.085414885|-0.167542194|0.7995080809999999|0|-0.111231609|0.030547186|-63.73961873|-75.71763296|157.60887419999997|0.213190168|-0.039875482|-51.54254258|567.1031411|-43.38886312|-27.1440571|84.53371376|2880.850692|535.5975578|-1438.635026|3135.546462|8.038175951|15.07660437|0.875625075|155.1821156|35.15921372|0.018354398|-370.3562372|1863.438327|12.49421473|1.0|1.0|1.0|1.0|1.0|2.0|0.16|-9.4|4.57|95.85|1.5|2.0|0.0|121.6|0.0|-5.95|32.0|-5.88|423.47|0.0|0.0|-5.27|0.000471|0.00229|0.0|0.0|3.96e-10|-0.05015|5.992000000000001|4.5|3.6519|-1389.371325|339.5|0.5471|206.92|596.15|-1389.122252|-0.14975|7.7129|-0.1999|0.0276450999999999|73.0|7.1367|7.1367
12ao_a36|1|0|0|3.477902101|0.0|0|7.412764017000001|2|1.297043885|-0.058597382|-0.007081548|5.351858133|-0.065314765|2|0.042739018|0.0895536619999999|-0.410729809|-0.113963585|10.94919858|1|0.003724542|-0.095253274|-0.1619981409999999|1|0.90500247|0.040831815|-0.05785124|0.856135378|0|-0.1019516769999999|0.017784426|-51.52001456|-67.45579866|85.17634667|0.167417241|-0.03775988|-44.63177966|0.0|-34.08795068|-24.98362913|63.28698809|2794.663089|550.8740683|-1349.115973|2298.760179|8.769931502999999|16.33039817|0.8620895909999999|144.1736112|31.9443643|0.016708791|-373.2975961|1724.9956719999998|11.05528527|1.0|0.0|0.0|1.0|0.0|2.0|0.12|-7.01|2.42|69.2|2.38|1.0|0.0|133.84|0.0|-4.58|31.0|-6.34|407.47|0.0|1.0|-4.55|0.0106|0.0115|0.0|0.0|9.66e-08|-0.05455|4.6597|3.83|3.4743|-1310.328652|356.86|0.6249|266.08|548.59|-1310.077853|-0.14207|5.4691|-0.19662|0.03244719|0.03|7.5229|7.5229
12t_a30|0|0|0|0.0|0.0|0|7.412764017000001|2|0.60498454|0.073057637|-0.007755575|5.351858133|-0.097216874|2|0.044197531|-0.0596036729999999|-0.411045472|-0.0682882559999999|10.31162892|1|-0.001131023|-0.0546637159999999|-0.145315868|1|0.609043558|-0.003937967|-0.080971844|0.591758164|0|-0.1011561919999999|0.018862708|-58.89093185|-65.79920855|88.42093081|0.303586418|-0.037159417|-42.80050261|0.0|-38.30686627|-24.17113783|71.1605835|2976.648597|452.99711|-1184.385754|2479.787504|7.957774504|14.358001500000002|0.804273481|165.4110479|32.41376848|0.020029588|-319.6492937|1588.274656|13.02867425|1.0|0.0|1.0|1.0|0.0|1.0|0.14|-7.16|3.74|81.65|3.58|2.0|0.0|127.19|0.0|-5.49|31.0|-6.06|434.46|0.0|0.0|-5.17|0.00141|0.00291|0.0|0.0|6.900000000000002e-08|-0.05542|5.0693|4.32|3.5457|-1774.208418|349.67|0.2094|244.58|527.87|-1774.0165149999998|-0.15029|2.6784|-0.20571|0.0337599|9.0|8.0496|8.0496
14b_a3|0|0|0|0.0|0.0|0|6.823286122000001|0|0.605016869|0.143500839|-0.009130444|4.727387819|-0.1160619169999999|3|0.039799383|-0.1551678719999999|-0.356087317|-0.008040839|10.31162234|1|-0.004161699|-0.050943323|-0.094863591|3|0.882394075|-0.133815639|-0.170297225|0.8255789570000001|1|-0.100993354|0.012828558|-44.49789848|-49.38772279|252.49572540000003|0.2135234869999999|-0.036469822|-24.15156108|82.79166784|-21.76034149|-17.83445545|50.77131401|2160.565755|384.6023764|-642.0403962|1289.104749|4.989782639|9.738358819|0.951659927|113.9829058|23.25478753|0.017348996|-261.0537205|837.1723509999999|8.483998032|0.0|1.0|1.0|1.0|1.0|1.0|0.06|-6.89|3.71|105.82|1.04|0.0|0.0|93.25|0.0|-4.45|23.0|-6.42|319.38|0.0|0.0|-3.99|0.0113|0.0327|0.0|0.0|1.28e-07|-0.06676|3.0724|2.22|3.0724|-1327.4859310000002|403.54|0.2276|403.54|368.39|-1327.349444|-0.12942|2.8743|-0.19618|0.02844675|0.38|6.4202|6.4202
16b_a32|1|1|1|3.2902303|0.0|0|7.765993078999999|0|0.2980105389999999|0.0873104119999999|-0.008469352|5.733341277|-0.3723824429999999|0|0.041958333|-0.012739425|-0.423467596|-0.018753196|10.31100078|3|-0.00180101|-0.1202046419999999|-0.222700615|0|0.745820612|0.056127969|-0.098450203|0.6762731040000001|1|-0.1083060409999999|0.015808858|-56.84546999|-69.39772428|53.96132589|0.253462496|-0.0345657579999999|-44.4669946|9.827907321|-36.42406481|-22.14820988|66.97508778|3037.795494|478.3482386|-1040.965864|3264.235184|6.466656381|11.05406524|0.709394251|161.7035261|29.62431176|0.017136832|-317.3487516|1392.342653|10.98052464|1.0|0.0|1.0|1.0|1.0|2.0|0.28|-7.6|4.88|165.49|0.41|1.0|0.0|114.43|1.0|-6.28|28.0|-6.72|433.57|1.0|0.0|-4.55|0.000225|0.0123|0.0|0.0|2.54e-08|-0.05946|3.6211|6.37|3.6211|-2315.951437|342.39|0.2849|342.39|567.01|-2315.757928|-0.14995|4.4055|-0.2094099999999999|0.03900066|17.0|7.7696|7.7696
11c_a31|1|0|0|3.336985072|0.0|0|7.765993078999999|1|0.6101368770000001|0.069254998|-0.0184155389999999|5.733341277|-0.141329185|0|0.037731481|-0.031640011|-0.847114804|-0.137912959|10.31169916|2|-0.008375297|-0.0992097109999999|-0.16065803|0|0.825336018|0.013528742|-0.139933586|0.787929678|0|-0.14043574|0.034256743|-80.82023592|-82.24513417|264.7428792|0.435856737|-0.042457317|-48.16624372|70.98337779|-47.33176279|-24.864808|100.8824395|2470.585429|330.3862551|-1069.186744|1770.045716|7.259183801|13.95917988|0.922968238|189.6959033|36.77740577|0.029155542|-206.2506659|1581.428448|17.07472346|1.0|0.0|1.0|1.0|1.0|2.0|0.28|-5.84|3.64|125.57|1.03|1.0|0.0|97.32|0.0|-5.11|26.0|-6.56|371.41|0.0|0.0|-3.98|0.00285|39.0|0.0|0.0|1.45e-06|-0.03532|3.8551|4.47|3.8551|-1559.353434|321.61|0.2627|321.61|512.9|-1559.194237|-0.15994|5289.0|-0.19526|0.04465349|0.13|6.8861|6.8861
11b_a31|1|0|0|3.248213341|0.0|0|7.765993078999999|1|0.610137403|0.078614731|-0.01950528|5.733341277|-0.172248605|0|0.043380952|-0.078907688|-0.838727032|-0.1488994619999999|10.31169957|2|-0.010716217|-0.101934423|-0.16780872|0|0.833717183|0.067031897|-0.074254978|0.7943850720000001|0|-0.148709304|0.037758271|-80.0942166|-82.80602396|286.7721447|0.454541246|-0.044612791|-46.10900197|87.78853803|-44.59898223|-24.84180719|101.1192111|2410.572158|303.7286124|-993.6722875|1756.711832|6.83089364|12.96936635|0.8986339170000001|183.9081702|37.09261324|0.0314298879999999|-189.0151528|1483.70453|17.50115151|1.0|0.0|1.0|1.0|1.0|2.0|0.24|-5.45|3.25|125.57|0.79|1.0|0.0|92.51|0.0|-4.74|25.0|-6.73|357.38|0.0|0.0|-3.75|0.00649|0.0637|0.0|0.0|3.59e-06|-0.03574|3.8437|4.07|3.8437|-1520.0430279999998|322.57|0.2634|322.57|479.66|-1519.909742|-0.15936|3.2104|-0.1951|0.04215313|0.53|6.2757|6.2757
9a_a36|1|0|0|3.4090209280000003|0.0|0|7.412764017000001|2|1.297044807|-0.109305298|-0.007853595|5.351858133|-0.046964839|2|0.040166667|0.095192109|-0.41624054|-0.078488872|10.96066876|1|0.00484375|-0.12019672|-0.202876718|1|0.839235677|-0.019008343|-0.1177413269999999|0.79302567|0|-0.10869601|0.0236784079999999|-45.04449811|-66.44342306|49.52042402|0.1734403769999999|-0.039929147|-40.61536816|0.0|-27.53468726|-24.40778806|59.5185754|2682.572663|505.25728260000005|-1195.981615|2167.77208|7.546661564|13.79893984|0.828482664|144.36259840000002|31.95428497|0.019513779|-322.5522826|1565.759963|11.92833382|1.0|0.0|0.0|1.0|0.0|1.0|0.14|-6.28|2.04|66.4|2.02|1.0|0.0|120.94|0.0|-3.71|29.0|-6.74|382.42|0.0|1.0|-3.99|0.0753|0.0391|0.0|0.0|5.26e-07|-0.05044|3.8677|3.38|3.8677|-1252.77514|320.56|0.4811|320.56|495.18|-1252.578886|-0.15925|5.7274|-0.20969|0.02701893|13.0|7.8861|7.8861
