molecula|NaaNH|n9FaHRing|n9FaRing|NaasN|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC1i|MATS1c|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|RASA|FNSA5|PBF|FPSA3|RNCS|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Brenk|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
3i_a32|1|1|1|0|0.6094207970000001|-0.157360524|-0.012358668|5.733341277|-0.363243817|0.05052381|-0.21362765|1.711001131|-0.4449120629999999|-0.0131506889999999|-0.26785886|0.022524712|3|-0.0106761939999999|-0.212967423|-0.537667101|0.565740817|0.833699527|0.030060554|0.902293804|0.54844677|0.893827987|-0.1132851459999999|0.259644227|0.015296821|60.99385995|-31.48976464|4.252042736|0.77072347|-1.472706897|-25.92886531|71.27609889|57.24454122|0.422644726|2471.4299920000003|-776.4518766|2141.3084710000003|-12.4050588|0.22927653|0.732035793|120.8809386|30.52825775|0.021905206|-285.465827|1007.432506|318.0257595|11.54903146|1.0|1.0|3.1|2.49|19.0|-6.96|110.94|0.0|3.0|-6.27|6.0|-5.53|366.38|1.0|4.37|-5.16|5.37e-07|0.000197|0.00251|0.0|1.0900000000000001e-07|-0.06518|3642.0|3.38|3642.0|-1891.833327|-1891.811327|530.5|876.0|340.43|340.43|418.24|0.70322|0.4765|-0.1476|-0.21278|0.02199999|3.8572|6.0|8.2366|8.2366
7c_a8|1|0|0|1|1.400027586|-0.244222944|-0.007509694|4.844187086|-0.025233184|0.043533333|0.0493777859999999|0.0|-0.382994379|0.00325576|-0.0450662909999999|-0.118915929|1|0.004301963|-0.077006275|-0.328286221|0.718994164|0.740795639|-0.196826366|0.795846675|0.6881348629999999|0.848923958|-0.089778346|0.292274414|0.0306012339999999|49.43944876|-35.30467154|12.03370912|0.626902145|-1.6160102369999998|-31.56868845|76.40286308|69.53125754|0.492823119|2716.5013510000003|-1013.384819|2162.326414|-13.23925183|0.373097855|0.971698707|233.9661552|33.67700028|0.032058696|-159.15828340000002|1616.4960130000002|572.8089095|20.10370648|1.0|1.0|3.44|3.1|23.0|-7.76|92.93|0.0|5.0|-5.0|5.0|-6.34|398.41|0.0|3.26|-4.67|1e-05|0.00399|0.00851|0.0|1.73e-08|-0.07472|4.6061|5.01|3.1406|-1331.8206369999998|-1331.793312|662.05|1116.53|394.78|269.17|579.97|0.62361|0.1779|-0.1318599999999999|-0.20658|0.02732536|15.7056|18.59|4.7307|4.7307
5d_a40|0|0|0|1|0.6049133329999999|-0.071479892|-0.005662681|6.167516491000001|0.0418378229999999|0.044526749|-0.1031436519999999|0.716041667|-0.1868684619999999|0.007200253|0.2078052269999999|0.029272031|2|0.006642869|-0.009744685|-0.399968083|0.496945486|0.8092726020000001|0.0451110059999999|0.877722972|0.483934049|0.754010052|-0.094277694|0.049855551|0.022027556|181.4728912|-19.85450535|4.638915105|0.8111805740000001|-1.131332331|-18.15211073|49.97858532|49.66367051|0.479931934|1974.583878|-519.1767771000001|511.3769101|-7.94180214|0.188819426|0.922825231|86.65063178|21.3342049|0.014630084|-285.606135|640.0261471|243.4287716|6.713853887999999|1.0|0.0|3.02|2.56|14.0|-4.32|75.5|1.0|3.0|-4.23|4.0|-5.94|287.31|1.0|3.1|-3.82|5.9e-05|17.0|0.0436|0.0|4.7600000000000005e-05|-0.06796|3.7374|4.61|3.7374|-1276.833831|-1276.817151|473.48|765.69|331.74|331.74|365.74|0.69613|0.4493|-0.14851|-0.2164699999999999|0.01667985|9.2439|19.0|7.7212|7.7212
14n_a23|0|1|1|2|1.197963531|0.009802461|-0.0068536419999999|5.351858133|-0.027380305|0.045165485|0.079559363|0.747533142|-0.376950283|0.010561248|-0.049694913|-0.059870135|2|0.010508236|-0.199540201|-0.404569286|0.756252127|0.802854174|-0.099694124|0.861597051|0.71381683|0.89327435|-0.082430028|0.209387766|0.027028617|97.93357279|-37.64460956|12.34358104|0.6868205409999999|-1.648600566|-26.91195666|72.09248208|58.08878013|0.469606631|3014.591033|-1114.099858|2195.877777|-14.76259199|0.313179459|0.885393105|211.642042|31.80611809|0.0242495529999999|-252.5011125|1622.112023|683.7405759|16.3874892|1.0|1.0|3.53|3.66|26.0|-7.51|114.25|1.0|6.0|-5.63|5.0|-6.47|441.51|0.0|3.48|-5.02|2.32e-06|0.0010199999999999|0.0042299999999999|0.0|3.11e-08|-0.06951|3.4217|3.23|3.4217|-1744.450916|-1744.42791|710.48|1209.95|362.35|362.35|575.71|0.6955|0.4229|-0.1382|-0.2077099999999999|0.02300614|7.2975|1.0|9.2441|9.2441
6_a27|1|0|0|1|1.404458667|0.1718757239999999|-0.007874167|4.727387819|-0.072298665|0.042942943|-0.237047381|1.221528093|-0.330715016|0.00526746|0.075248207|0.081320966|1|0.0058042269999999|-0.179319226|-0.541168953|0.678057835|0.787663648|0.1272522519999999|0.849515128|0.650575651|0.785047616|-0.090025109|0.344065059|0.020552125|125.8234721|-22.06430895|5.03713293|0.774820398|-1.35037664|-19.27068071|52.66373343|49.10012093|0.47262982|2196.1151210000003|-668.5259238|1193.992326|-8.486272674|0.2251796019999999|0.896201262|111.4788253|22.12343713|0.01635203|-272.1086175|862.8140479|373.9912084|8.095338503999999|0.0|1.0|3.0|2.49|21.0|-6.67|76.46|0.0|2.0|-3.62|4.0|-6.55|317.34|1.0|2.71|-3.82|0.000242|0.0768|0.0485|0.0|2.16e-07|-0.04793|5.5447|4.27|4.1391|-1043.831559|-1043.806618|526.9|896.68|299.55|223.61|401.49|0.3366099999999999|163.0|-0.17007|-218.0|0.02494141|4.0597|1.0|9.0|9.0
1d_a5|1|0|0|0|1.217311475|-0.133500214|-0.006252818|4.59511985|-0.308010841|0.030074074|-0.118028278|0.0|-0.2688711589999999|-0.0012491689999999|-0.2261588939999999|-0.010183824|1|-0.000700145|0.004923698|-0.38633065|0.525406088|0.7595197290000001|-0.015804188|0.821309592|0.513260607|0.8965037640000001|-0.086213657|0.6271150670000001|0.007937625|204.4506579|-25.16889922|2.317281143|0.770504115|-1.465632167|-25.80622135|56.83734591|52.05055075|0.471074204|2481.822293|-791.897671|1172.890724|-10.69678217|0.229495885|0.89062437|123.9992274|25.69414151|0.018980039|-292.3128788|1027.76566|403.396385|10.25512997|0.0|1.0|2.92|2.19|23.0|-8.88|54.46|0.0|4.0|-4.79|6.0|-5.73|366.34|1.0|4.15|-4.97|1.6100000000000002e-05|0.00589|0.00396|0.0|1.3300000000000002e-09|-0.04528|4.8725|3.58|4.6112|-1288.340378|-1288.306458|567.04|951.63|268.88|254.46|414.59|0.41781|0.0982|-0.18991|-0.23519|0.03392008|5.3765|9333.0|5.03|5.03
7c_a10|0|0|0|1|1.343178184|-0.152261681|-0.00375251|5.4161004020000005|0.012145872|0.039433962|-0.1122332619999999|1.798334646|-0.206388032|0.01006918|-0.033792245|-0.066271289|1|0.0107756969999999|-0.191576261|-0.215874011|0.725146704|0.7928588059999999|-0.105104647|0.84177174|0.6952665379999999|0.906276489|-0.0876410609999999|0.487148112|0.027436939|87.99694927|-29.95538587|9.377842892|0.52630639|-1.139333798|-17.34382833|67.01436709|45.70671102|0.4675549639999999|2616.8970870000003|-666.0926258|1881.379304|-7.635686595|0.47369361|0.8781281320000001|276.93712|24.81565867|0.0269852389999999|-30.75918962|1265.598592|611.4957509|15.7764728|1.0|0.0|3.48|3.49|21.0|-7.78|62.06|0.0|4.0|-4.44|5.0|-6.2|386.45|1.0|3.59|-4.69|3.59e-05|0.0139|0.00793|0.0|1.66e-08|-0.04004|5.4267|2.76|3.8357|-1259.011598|-1258.985004|635.47|1102.43|323.24|228.47|488.89|0.41348|0.0921|-0.16055|-0.20059|0.02659395|5.0714|3.81|5.4191|5.4191
17_a4|0|0|0|1|1.219995452|-0.188642713|-0.006491052|5.4161004020000005|-0.319716072|0.043084795|-0.01849014|0.0|-0.25315101|0.001892883|-0.3948966229999999|-0.094767116|1|0.002155864|-0.07155304|-0.392770755|0.49887819|0.772721853|-0.12969185|0.8347553529999999|0.484393047|0.888791225|-0.08932566|0.332034943|0.01061251|17.08736223|-23.75316417|2.822041259|0.861696586|-1.5185362180000002|-23.59250328|52.67753395|51.22364842|0.4440629029999999|2351.601697|-783.0649279|1658.726841|-11.21677197|0.138303414|0.798764653|71.31904507|25.24299609|0.012827738|-373.0328031|908.7478594|319.5521911|6.61489113|0.0|0.0|3.31|2.94|17.0|-6.56|30.71|0.0|3.0|-4.36|6.0|-5.56|345.29|1.0|4.29|-4.81|4.39e-05|0.0152|0.00532|0.0|2.74e-07|-0.04186|4.3363|4.44|4.3363|-1255.994721|-1255.968357|527.39|873.5|285.92|285.92|413.28|0.47353|0.2045|-0.17559|-0.21745|0.02636403|6.3221|877.0|6057.0|6057.0
14ae_a23|0|1|1|2|1.1979624290000002|-0.033049777|-0.007539122|5.351858133|-0.029948314|0.042903564|0.026913008|0.7338690390000001|-0.4448081789999999|0.008996289|-0.0174992419999999|0.0289586779999999|2|0.009675528|-0.253318853|-0.363230717|0.7763406840000001|0.7830067820000001|0.0469453379999999|0.8356326820000001|0.7317531540000001|0.872362051|-0.087074783|0.202342743|0.03467374|111.4422142|-44.69687612|17.79858399|0.53040766|-1.480271319|-33.45249142|87.09501229|71.53368511|0.479058976|3212.850883|-1060.556252|2575.36078|-13.81539807|0.46959234|0.919603093|336.444465|36.35475577|0.034488074|-43.57178809|1999.511567|770.8206617000001|24.70935041|1.0|1.0|3.74|3.76|26.0|-7.6|123.48|1.0|7.0|-5.8|6.0|-6.68|471.53|0.0|3.44|-5.08|1.6e-06|0.000753|0.0038799999999999|0.0|2.49e-08|-0.07122|3.6036|2.99|3.6036|-1858.967022|-1858.952529|751.57|1285.52|344.06|344.06|627.57|0.58144|0.3205|-0.14537|-0.21659|0.01449323|9.5944|2.0|8.6038|8.6038
4j_a46|0|0|0|1|1.134637093|-0.175292207|-0.002284836|5.587248657999999|-0.012405467|0.048126615|-0.0529855709999999|0.0|-0.130235627|0.011968098|-0.1051618459999999|-0.176133068|1|0.011684396|-0.087688953|-0.226712003|0.72796254|0.7298040140000001|-0.258222236|0.763724435|0.728293097|0.949893337|-0.074417476|0.295221643|0.01492164|70.56141095|-25.95898597|5.205103062|0.776932317|-1.339514565|-20.66606288|50.26191521|43.80358011|0.402450715|2260.870095|-791.1408955|2563.282153|-8.652995323999999|0.223067683|0.673502127|131.7477027|18.85718615|0.0106831269999999|-327.122208|1018.288052|642.1335502000001|6.30964324|1.0|0.0|4.0|3.9|17.0|-7.69|39.94|0.0|4.0|-5.38|3.0|-5.09|361.48|1.0|4.5|-5.31|4.16e-06|0.0015|0.00176|0.0|2.03e-08|-0.01684|5.3949|4.93|4.4093|-1132.043677|-1132.018764|646.67|1112.13|281.19|229.82|572.31|0.37853|0.1418|-0.18387|-0.20071|0.02491327|3.8105|805.0|6.0942|6.0942
