molecula|SddssS|NaaNH|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|AATSC1c|n6HRing|SaaaC|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA5|PPSA3|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50
3i_a32|0.0|1|2.417426304|-4.547725143|7.78113851|0|0|0.6094207970000001|-0.012358668|0|1.711001131|-0.26785886|10.3110028|3|-0.0106761939999999|-0.8373173840000001|-0.054335108|-0.212967423|0|0.833699527|-0.337053202|0.030060554|0.902293804|0.54844677|1|0.893827987|-0.093279684|-0.1132851459999999|0.259644227|-59.72706743|8.064907632|0.106172013|55.97682661|-31.48976464|4.252042736|0.201037767|0.77072347|-1.472706897|-25.92886531|57.24454122|0.422644726|471.2508776000001|-776.4518766|2141.3084710000003|0.22927653|10.09193014|0.732035793|120.8809386|-409.3669403|30.52825775|0.021905206|1007.432506|11.54903146|1.0|1.0|3.1|2.49|0.13|-6.96|6.76|6.29|110.94|2.09|2.0|88.28|0.0|3.0|-6.27|6.0|1.0|0.0|1.0|5.37e-07|0.000197|6.85e-06|1.0900000000000001e-07|3642.0|3.38|3642.0|-1891.833327|-1891.811327|530.5|0.4765|340.43|418.24|0.70322|-1891.738614|0.4765|-0.1476|2494.0|0.02199999|6.0|8.2366
18_a10|0.0|0|0.0|0.0|7.78113851|2|2|1.243178376|-0.00309846|2|2.026949641|-0.052165302|10.92966688|1|0.010573165|-0.144233311|-0.091730492|-0.143149563|2|0.785539083|0.048377088|-0.0507442929999999|0.832812971|0.6886547670000001|1|0.885552955|-0.0575419659999999|-0.076052353|0.656664457|-48.27152552|12.12013168|0.114447045|72.64119073|-30.63863373|7.692822451|123.3621791|0.641615544|-1.368942347|-23.18149476|48.64284759|0.4670293179999999|562.0732377|-868.8874593|2137.914113|0.358384456|13.51828833|0.876275815|227.471785|-551.4954071000001|24.62214943|0.020666062|1354.218219|13.11704755|0.0|1.0|4.07|3.41|0.32|-7.88|4.65|4.66|62.06|2.14|1.0|119.81|0.0|5.0|-4.48|5.0|0.0|1.0|1.0|3.34e-05|0.0138|1.7100000000000002e-05|1.32e-08|5.7687|2.65|3.7977|-1336.433782|-1336.404041|687.19|0.2962|214.93|504.61|0.6866300000000001|-1336.126835|0.1637|-0.15735|4.7596|0.02974086|0.13|6.8861
8_a15|0.0|0|0.0|0.0|0.0|0|0|1.419941362|-0.009853404|1|0.0|-0.010146469|10.95880707|0|0.003160815|0.225620047|-0.203104439|-0.295062413|1|0.7059441040000001|0.0937475619999999|-0.025923166|0.742680335|0.8105478740000001|0|0.853896482|-0.071552706|-0.118293578|0.381651497|-69.07571287|19.65860939|0.146103518|85.31489861|-40.33569847|11.47934212|55.99586988|0.519427411|-1.419522941|-24.39801408|61.44071008|0.389723411|498.6196971|-828.9085544|1919.535904|0.480572589|9.984825987|0.638601279|280.62296039999995|-484.0283816000001|32.56759415|0.035495625|1595.8121130000002|20.72712321|1.0|1.0|3.14|3.76|0.19|-7.57|3.9|4.95|61.84|1.96|2.0|104.74|0.0|7.0|-5.25|5.0|0.0|1.0|1.0|5.63e-06|0.00206|1.53e-05|2.69e-08|4.4346|3.36|3.7426|-1223.704913|-1223.687714|598.84|251.0|279.58|538.51|0.70524|-1223.463981|0.0155|-0.1558|1.1415|0.01719864|108.0|6.9666
3l_a32|0.0|1|3.672194822|0.0|7.773594467000001|0|1|0.609420748|-0.0054004|0|2.259257465|-0.09393062|10.31100268|3|0.002942329|-0.068876714|-0.04980249|-0.087213805|0|0.751853889|-0.136589369|-0.184582641|0.7973741999999999|0.776480242|1|0.8855584879999999|-0.069304303|-0.088417589|0.270668623|-51.41835077|7.120934925|0.114441512|66.55229892|-29.90181954|4.141107366|0.0|0.788236719|-1.326263838|-23.43792428|47.42414825|0.453630671|514.9875423000001|-771.2752615|2415.340446|0.211763281|11.74082324|0.8302637909999999|123.148785|-448.5272931|21.27134288|0.011493763|978.4817724|6.6840809960000005|1.0|1.0|3.58|3.54|0.35|-7.5|7.34|6.17|110.94|2.64|2.0|110.16|0.0|3.0|-7.6|3.0|1.0|0.0|1.0|2.52e-08|9.59e-06|9.7e-07|3.16e-08|3.5319|4.21|3.5319|-1789.475625|-1789.4501510000002|629.26|0.2876|351.04|468.81|0.70282|-1789.242839|0.2876|-0.14664|3.3955|0.02547484|12.0|7.9208
12ba_a36|0.0|1|3.389685532|0.0|7.412764017000001|2|2|1.297043659|-0.0075620109999999|2|0.0|0.003750685|10.9478512|1|-0.000621302|0.159880159|-0.091676619|-0.168084618|1|0.8256014690000001|0.041478447|-0.0202572689999999|0.890675195|0.796093405|0|0.849738126|-0.083210415|-0.108410153|0.330220757|-73.03464847|16.57882744|0.150261874|101.229662|-49.20258616|11.16896162|16.1479891|0.7068957840000001|-1.951382748|-37.76553687|72.63670824|0.49229954|572.4586103999999|-1314.6236720000002|2492.5731100000003|0.293104216|14.59456478|0.969665341|197.4608731|-885.6465508|35.76372225|0.023797439|1859.713557|16.03205543|1.0|0.0|4.8|0.0|0.12|-6.72|2.79|1.63|116.78|0.74|1.0|133.18|0.0|5.0|-4.77|6.0|0.0|0.0|0.0|1.6800000000000002e-05|0.0072599999999999|5.65e-05|1.91e-07|5.2506|2.79|3.0114|-1417.454721|-1417.426327|687.23|0.7436|236.13|547.82|0.70432|-1417.187763|0.0009|-0.12587|3.1996|0.02839417|21.0|7.6778
41_a47|0.0|0|0.0|0.0|6.842683282|0|0|1.420292383|-0.004083905|3|1.601942802|0.024881402|10.98214139|1|0.0047106|-0.178132441|-0.1430639269999999|-0.317014709|3|0.8417952740000001|0.08640454|0.123676975|0.900915114|0.609110565|1|0.823168463|-0.061101947|-0.0899793719999999|0.245948366|-50.81597048|10.36256127|0.1768315369999999|99.86584673|-28.69838714|5.852270304|0.0|0.653147815|-1.259711209|-19.48810377|44.86996758|0.447046066|464.8854878|-711.4235867000001|1073.170368|0.346852185|12.96444871|0.8084689140000001|195.8852341|-401.77742|25.33076615|0.023067788|1089.222944|13.02756406|1.0|1.0|3.18|3.18|0.16|-7.47|3.34|4.52|68.52|1.75|0.0|99.09|0.0|4.0|-3.57|5.0|0.0|1.0|1.0|0.000267|0.0929|0.000125|3.36e-08|4.0167|2.41|3.7144|-1162.492089|-1162.462261|603.1|0.2849|308.67|471.9|0.68638|-1162.288187|0.2504|-0.15208|4.9162|0.02982752|0.01|8.0
19_a20|0.0|1|3.423603867|0.0|6.842683282|0|0|1.4009239059999998|-0.0096278259999999|3|1.622562232|0.077469518|10.94899558|1|-0.004654742|0.175308615|-0.049177437|-0.083481481|3|0.7619768840000001|-0.143992458|-0.105118869|0.8193003000000001|0.7741509329999999|1|0.754452534|-0.091725453|-0.099685049|0.25624423|-65.49811346|8.964643162|0.245547466|161.33709|-43.03556944|5.890223441|88.19441661|0.796070588|-1.993700989|-39.5992891|69.23289949|0.483310517|495.7134289|-1309.962269|1818.518838|0.203929412|15.38668579|0.935398401|133.9919257|-860.7113887|31.64490997|0.0159602|1645.535318|10.48665779|1.0|1.0|3.49|2.49|0.08|-9.63|4.97|4.08|110.44|1.33|1.0|122.86|0.0|5.0|-4.89|5.0|0.0|0.0|1.0|1.29e-05|0.00541|2.6600000000000003e-05|2.34e-10|3.3616|5.01|3.3616|-1368.413151|-1368.378274|687.79|0.2998|368.83|519.34|0.6987399999999999|-1368.129074|0.2998|-0.13903|4.2507|0.03487615|2.6|5585.0
47d_a18|0.0|0|0.0|0.0|7.03438793|1|1|1.251175994|-0.006087337|0|0.0|-0.07722825|10.94702255|0|0.005144085|0.104380139|-0.272202025|-0.406388629|0|0.7430748709999999|-0.002494715|0.027971797|0.773981237|0.741366815|0|0.836999127|-0.06394156|-0.087315963|0.445704576|-71.20388424|12.45251265|0.163000873|132.9229494|-58.06490563|10.15469843|58.93717545|0.69814381|-2.182899066|-42.52098397|64.59518279|0.481311892|682.5509007|-1780.097106|1947.023498|0.30185619|19.16475647|0.927940864|246.1558296|-1451.622641|33.54943497|0.018506261|2549.757058|15.0913716|1.0|1.0|4.73|0.0|0.32|-8.83|2.81|3.21|88.97|2.6|3.0|159.67|1.0|12.0|-5.74|4.0|0.0|0.0|0.0|1.83e-06|0.000968|5.23e-06|1.4800000000000003e-09|3.1079|8.08|3.1079|-1704.061013|-1704.0327519999998|875.6|0.5820000000000001|398.94|817.06|0.69905|-1703.545539|0.5820000000000001|-0.12844|3.7605|0.02826074|8.0|8.0969
3m_a32|0.0|1|3.575728458|0.0|7.773594467000001|0|1|0.609420748|-0.006290106|0|2.175099216|-0.084132138|10.31100268|3|0.000822186|-0.065422345|-0.04918838|-0.086806406|0|0.817967125|-0.0067207069999999|-0.126422018|0.872498916|0.6672533589999999|1|0.798023273|-0.084626325|-0.09390309|0.317009723|-56.15082133|8.029854976000001|0.201976727|120.7751424|-33.57626169|4.801577352|0.0|0.674468222|-1.220740175|-30.25923462|58.63348955|0.4687361229999999|477.1904954|-729.9606772999999|2363.601309|0.325531778|13.31775015|0.882303773|194.65681730000003|-436.4914018999999|24.05057475|0.018412178|1082.275864|11.00984957|1.0|1.0|3.51|2.93|0.3|-7.38|7.02|5.35|128.01|1.74|2.0|110.36|0.0|3.0|-5.94|4.0|0.0|0.0|1.0|1.14e-06|0.000449|1.39e-05|4.190000000000001e-08|3.5749|5.1|3.5749|-1863.502681|-1863.46877|641.52|0.2952|346.82|484.34|0.7026600000000001|-1863.279862|0.2952|-0.14835|5082.0|0.0339106999999999|23.0|7.6383
7f_a10|0.0|0|0.0|-4.8022906380000006|7.535296702|1|1|1.240141822|-0.011104817|2|0.740070757|-0.000498274|10.92948443|1|0.0030999659999999|-0.309622111|-0.058093287|-0.172751862|2|0.796084921|-0.009545801|-0.137271684|0.8499946070000001|0.5209683970000001|1|0.931773786|-0.064238302|-0.095196098|0.7359022890000001|-53.02456669|4.441786155|0.068226214|38.0022453|-29.53487321|2.474090768|0.3440879|0.8217865520000001|-1.713529756|-19.93012491|40.22275023|0.402568457|519.0013298|-954.4422004|2375.702381|0.178213448|10.23679556|0.6738319429999999|99.26552746|-531.6277179|24.71113795|0.012813716|1161.423484|7.137285626000001|1.0|1.0|3.37|2.97|0.23|-8.13|5.07|6.57|52.83|2.64|2.0|106.77|0.0|4.0|-5.54|7.0|1.0|0.0|0.0|2.9e-06|0.00119|2.52e-06|7.38e-09|5.7757|4.93|3.6256|-1442.216293|-1442.200124|597.28|348.0|214.67|426.07|0.6833600000000001|-1442.001311|0.0191|-0.15627|2.2631|0.01616879|141.0|6.8508
12at_a36|0.0|1|3.4361495580000003|0.0|7.412764017000001|2|2|1.297042863|-0.010886502|2|0.0|-0.076129505|10.95446888|1|0.000906224|0.091520225|-0.136151085|-0.227404687|1|0.8384626709999999|-0.08859337|-0.063825255|0.890810337|0.7767870459999999|0|0.751856692|-0.084721769|-0.110637955|0.301423347|-76.61315774|20.43891035|0.248143308|171.8311073|-53.05210062|14.1532755|80.75773169|0.6744421970000001|-2.102121151|-40.6250081|79.10595873|0.49342323|520.6361161|-1455.649997|2388.600265|0.325557803|17.44496351|0.974034457|225.4381077|-1007.989912|38.54110857|0.027424543|2158.30208|18.99059683|1.0|0.0|4.9|0.0|0.17|-6.62|2.7|1.67|95.5|1.89|1.0|135.03|0.0|7.0|-4.18|6.0|0.0|0.0|0.0|6.579999999999999e-05|0.0289|8.36e-05|2.42e-07|4.7133|4.5|3.8408|-1460.833958|-1460.797444|733.29|0.4765|263.05|589.75|0.6802600000000001|-1460.549244|0.2076|-0.15607|6.4676|0.03651452|78.0|7.1079
8g_a8|0.0|1|3.073183107|0.0|7.535296702|1|1|1.39137364|-0.014340328|0|0.0|-0.025002199|10.94318883|1|-0.007047583|0.001970629|0.0794962979999999|0.162134281|0|0.734188081|0.121495775|-0.0571942009999999|0.790058057|0.656457444|0|0.533935495|-0.136742629|-0.129695841|0.298992226|-79.46906035|19.06725815|0.466064505|285.5736014|-48.6934008|11.68315869|67.54104396|0.8330608209999999|-2.464220973|-51.33906829|102.8541256|0.479218966|327.1604688|-1509.912147|2148.49832|0.166939179|14.28792131|0.920192814|102.2893227|-925.1746152|38.56355928|0.017636126|1812.487286|10.80625499|0.0|0.0|3.31|2.96|0.04|-7.4|4.11|3.89|99.34|3.01|2.0|111.38|0.0|4.0|-5.3|5.0|0.0|0.0|0.0|5.01e-06|0.00209|1.16e-05|4.01e-08|3.7495|7.17|3.7495|-1450.9549470000002|-1450.913472|635.27|0.3904|330.67|489.97|0.69221|-1450.728709|0.3904|-0.15542|6.0697|0.04147516|4.2|5.3768
24_a20|0.0|0|0.0|0.0|6.842683282|0|0|1.40648755|-0.001547029|2|2.041494094|-0.060940703|10.93106245|1|0.008780074|0.1468474119999999|-0.036258691|-0.060582944|2|0.74131936|0.070857143|-0.07179846|0.802353442|0.607038752|1|0.952027295|-0.061437722|-0.067869875|0.531656762|-42.82548904|8.085691548|0.047972705|30.27049276|-27.02262995|5.102023479|406.1522673|0.771032243|-1.357397496|-24.46164548|46.85253003|0.457794721|600.7235847000001|-856.5097809|1961.887639|0.228967757|12.63879297|0.844319927|144.47729840000002|-540.4525990000001|22.21722343|0.013436544|1110.861171|8.478379683|1.0|1.0|3.4|3.21|0.08|-9.32|4.76|4.78|80.28|1.86|2.0|119.42|0.0|4.0|-4.89|5.0|0.0|0.0|1.0|1.29e-05|0.00519|1.17e-05|4.82e-10|5.3396|3.74|3.5876|-1291.896802|-1291.867578|685.66|0.2495|232.2|551.25|0.44916|-1291.647083|0.0108|-0.15687|3.6107|0.02922392|318.0|6.4976
12d_a31|0.0|1|3.441384322|0.0|7.765993078999999|1|1|0.61013528|-0.012448252|0|0.0|-0.085780934|10.31169788|2|0.000127275|-0.067477864|-0.134504227|-0.214049412|0|0.8343242820000001|-0.00658148|-0.057226679|0.873955169|0.771222772|0|0.7054497479999999|-0.0938723509999999|-0.11498416|0.3996192999999999|-81.56033123|21.06095035|0.294550252|208.9297871|-57.85220856|14.93891054|557.514503|0.6383648510000001|-1.724762406|-47.23018217|87.64629597|0.389382761|500.3881827|-1223.404968|2434.226776|0.361635149|15.46841054|0.63768714|256.5143096|-867.7831284|36.15974873|0.02571268|1916.466682|18.23846616|1.0|1.0|3.76|3.9|0.38|-7.63|6.04|4.09|117.37|1.31|2.0|112.97|0.0|9.0|-5.61|5.0|0.0|0.0|1.0|2.48e-06|0.0010199999999999|4.06e-05|2.3500000000000002e-08|3.8477|5.0|3.8477|-1657.471849|-1657.428467|730.86|0.2566|322.23|626.33|0.7006600000000001|-1657.1792779999998|0.2566|-0.15968|2.4186|0.04338158|0.51|6.2924
1g_a5|0.0|1|2.942391606|0.0|6.605297921|0|0|1.4275159730000002|-0.003919036|2|0.0|-0.132678208|10.94875199|1|0.006957291|-0.019057802|-0.010807075|-0.0178558139999999|2|0.7778380309999999|0.030722968|-0.067172264|0.8393686990000001|0.717355058|0|0.8659209659999999|-0.070108797|-0.074361785|0.39389953|-39.8807456|10.9506874|0.134079034|71.90752413|-21.388323|5.8729303|0.589719781|0.61393343|-1.11542677|-20.16505667|48.55052611|0.4713154089999999|464.3994751|-598.211184|832.7655896000001|0.38606657|13.83149499|0.891486942|207.0502037|-320.82484500000004|23.76563316|0.02697793|974.3909596|14.46845291|1.0|1.0|2.79|2.12|0.05|-8.14|4.5|4.21|63.69|1.57|0.0|96.98|0.0|4.0|-4.03|4.0|0.0|1.0|1.0|9.27e-05|0.0304|6.29e-05|7.190000000000001e-09|4.7822|2.61|4.1733|-1065.846194|-1065.818889|572.15|0.1769|259.26|448.93|0.66164|-1065.675316|0.0504|-0.17042|3.4883|0.02730461|115.0|6.9393
16g_a32|0.0|1|3.363965155|0.0|7.765993078999999|0|0|0.609420729|-0.013775701|0|2.084553994|-0.029193403|10.31100263|3|-0.00030659|-0.085591073|-0.117577419|-0.202656848|0|0.83902731|-0.026098259|0.008494733|0.8821580379999999|0.762429418|1|0.8206422409999999|-0.078387439|-0.105500574|0.542303725|-77.75914881|17.659402|0.1793577589999999|132.1955522|-57.31234426|13.01585399|43.37912747|0.6863323440000001|-1.79350976|-42.58335004|75.43482709|0.3972359179999999|604.8539801|-1321.90553|3497.469035|0.313667656|15.58880229|0.65902387|231.1885989|-974.3098525|36.34043182|0.02276861|1926.042887|16.78159325|1.0|1.0|3.87|3.42|0.33|-8.16|6.81|5.38|149.27|1.57|3.0|121.56|1.0|10.0|-7.51|5.0|1.0|0.0|1.0|3.08e-08|1.36e-05|4.83e-06|6.890000000000001e-09|3.6161|5.38|3.6161|-2034.621991|-2034.593036|752.29|0.2879|342.86|639.49|0.70222|-2034.342619|0.2879|-0.14968|3.7346|0.02895494|11.0|7.9586
EW7203_a60|0.0|0|0.0|0.0|7.412764017000001|2|2|0.604984431|-0.00698487|2|0.0|0.03824498|10.31162855|1|0.0036417359999999|-0.1696249719999999|-0.049287858|-0.090115975|1|0.822401103|0.002441966|-0.089945913|0.8839272779999999|0.760234689|0|0.8860751579999999|-0.076068195|-0.096226348|0.345488097|-62.23028092|13.03554647|0.113924842|73.67602619|-40.24477665|8.430183|0.0|0.766837077|-1.828300603|-31.81402579|62.22940284|0.497298165|573.0312689|-1182.375337|1660.077477|0.233162923|16.53092404|0.989250745|150.7881632|-764.6507562999999|30.83771958|0.01793256|1541.885979|11.59711747|1.0|1.0|4.75|3.21|0.13|-6.7|3.87|2.6|117.47|2.17|2.0|133.97|0.0|5.0|-5.74|4.0|0.0|0.0|0.0|1.81e-06|0.000768|1.53e-05|2e-07|5.0166|3.64|3.5192|-1668.025575|-1667.993536|678.83|0.2385|247.15|546.85|0.69857|-1667.78681|0.0448|-0.1446599999999999|1.7676|0.03203878|9.0|8.0334
IN1166_a11|0.0|1|3.433539068|0.0|6.842683282|0|0|1.429020445|-0.006882528|2|1.643912856|0.0266218529999999|10.95053349|1|-0.001446486|0.032420935|-0.126749697|-0.223618825|2|0.765593573|0.102257199|-0.067328767|0.827254552|0.790249345|1|0.863273559|-0.073965061|-0.0896538619999999|0.551933595|-61.90325275|13.82641888|0.136726441|94.40543077|-42.74230509|9.546719887|20.83871871|0.694302821|-1.6137695069999998|-35.26269962|64.89703387|0.463497159|596.0640225999999|-1114.258549|2953.475057|0.305697179|12.63334911|0.8639230290000001|211.0745642|-769.3614916|31.46783535|0.021531291|1604.859603|14.86669859|1.0|1.0|3.51|2.79|0.08|-10.18|5.01|4.53|103.17|0.92|1.0|123.82|0.0|5.0|-5.11|5.0|0.0|0.0|1.0|7.74e-06|0.00323|1.65e-05|6.59e-11|4.9857|3.36|3.2827|-1347.298558|-1347.256659|704.48|0.3425|248.68|554.63|0.6998300000000001|-1347.012407|0.1239|-0.13823|3365.0|0.04189898|12.0|7.9318
12v_a36|0.0|1|3.468871488|0.0|7.412764017000001|2|2|1.297043692|-0.008411281|2|0.0|-0.086194201|10.96020642|1|0.003077071|0.123026459|-0.1430106119999999|-0.239932418|1|0.828393514|0.024751559|-0.041914045|0.8792981679999999|0.84179881|0|0.802291339|-0.078158778|-0.105200486|0.334379501|-69.20675352|17.85767346|0.197708661|130.0637965|-45.52806671|11.74777471|0.462992841|0.6276553979999999|-1.788408258|-33.82511043|69.27488156|0.461799225|527.7920397|-1176.51481|2328.221818|0.372344602|15.71271745|0.8580426609999999|244.9490697|-773.9771341000001|34.71221847|0.02867403|1874.459798|18.86337805|1.0|0.0|4.82|0.0|0.17|-6.69|2.77|1.89|78.43|1.72|1.0|130.24|0.0|6.0|-3.95|5.0|0.0|0.0|0.0|0.000113|0.0464|8.499999999999999e-05|2.03e-07|3.8847|2.65|3.7035|-1347.475543|-1347.442792|671.56|0.4247|319.16|502.83|0.7016100000000001|-1347.2000369999998|0.0223|-0.15185|6.1869|0.03275089|14.0|7.8539
12_a3|0.0|0|0.0|0.0|6.823286122000001|0|0|0.605020506|-0.009093383|2|2.07135708|-0.045382017|10.31163031|1|-0.0045709459999999|-0.218774634|0.017902469|0.032450556|2|0.718481325|-0.039834906|-0.125395523|0.784451598|0.841871246|1|0.829399708|-0.092838926|-0.096133903|0.101891875|-45.63945658|5.258353635|0.170600292|80.99228663|-21.667278|2.496397166|76.23910943|0.830418645|-1.345874639|-20.92463497|49.333524|0.463780604|393.75653|-638.9523922000001|1064.221958|0.169581355|10.50748861|0.864908294|80.50854774|-303.3418921|22.63041363|0.01374218|769.4340634|6.524083564|1.0|1.0|3.2|2.17|0.0|-6.89|4.34|4.01|92.93|1.6|1.0|90.49|0.0|2.0|-5.68|3.0|0.0|0.0|1.0|2.07e-06|0.000629|1.44e-05|1.3e-07|3263.0|2.94|3263.0|-1272.152002|-1272.125792|515.23|0.5056|379.97|361.95|0.69784|-1272.010995|0.5056|-0.13153|2.3762|0.02620998|3548.0|5.45
9h_a40|0.0|0|0.0|0.0|7.515889085|0|0|0.604992856|-0.009041931|0|0.814591837|0.133376308|10.31197223|2|0.003099029|0.270048551|0.048470175|0.08305063|0|0.740778143|-0.160855189|-0.299768519|0.8022014000000001|0.7528137909999999|1|0.864310149|-0.09201708|-0.095803029|0.219852623|-47.93581245|6.199629554|0.135689851|67.89350333|-23.98506758|3.102034287|0.0|0.863884935|-1.437045429|-23.03722449|52.2411122|0.482124665|432.46450360000006|-719.0371868|418.2915223|0.136115065|13.366649|0.930966649|68.10626265|-359.7760137|23.78085181|0.011321157|832.3298135|5.664631335|1.0|1.0|3.3|3.55|0.11|-6.51|4.59|4.44|67.66|3.22|1.0|93.19|0.0|3.0|-5.65|3.0|0.0|1.0|1.0|2.23e-06|0.000716|7.6e-06|3.09e-07|4.2372|3.9|3.3675|-1293.174246|-1293.151333|526.38|0.3851|292.61|410.18|0.69809|-1293.033723|0.2721|-0.14047|2.1413|0.02291279|3.98|5.4001
8g_a12|0.0|1|2.897921027|0.0|6.580639137|1|1|1.28383574|-0.0084227909999999|2|1.714060666|-0.094550033|10.95472263|1|0.005405355|-0.068810076|0.068559367|0.122649613|1|0.7475224290000001|-0.04981165|-0.070405398|0.80546986|0.7714487940000001|1|0.8576253690000001|-0.076856227|-0.1045061519999999|0.274352085|-57.6443411|4.915102972|0.142374631|78.53214058|-31.79592789|2.7111119089999995|0.0|0.90166696|-1.881110729|-23.38345638|47.30807670000001|0.463772637|473.055878|-1037.59814|1356.883205|0.09833304|12.83559677|0.864880588|54.23932676|-572.326702|26.15353224|0.007890315|1150.7554189999998|4.352203029|0.0|1.0|4.07|2.51|0.1|-8.0|3.31|2.07|78.85|2.89|1.0|109.93|0.0|3.0|-4.38|5.0|0.0|0.0|0.0|4.15e-05|0.0146|4.61e-05|9.98e-09|4.2057|3.68|3731.0|-1154.321531|-1154.281986|590.93|0.3786|294.8|418.41|0.55027|-1154.121362|0.1601|-0.1520099999999999|2.9986|0.03954539|3715.0|5.43
18_a47|0.0|1|2.969619451|0.0|6.605297921|0|0|1.414391819|-0.004337918|3|1.5913490630000002|0.018164141|10.93838451|1|0.0015586929999999|-0.056674151|-0.02470455|-0.053119347|3|0.792196273|-0.059779939|-0.027351545|0.851462739|0.630969651|1|0.777824025|-0.078937385|-0.084415066|0.454324931|-52.88049505|9.234746417|0.222175975|139.1786571|-33.12615721|5.784962137000001|3.684585007|0.7327484470000001|-1.5194711930000002|-30.97660579|58.68383399|0.432077184|487.2556678|-951.8489108|2184.962887|0.267251553|12.35791568|0.7608026529999999|167.41554630000002|-596.2708299|25.98023687|0.017318402|1299.011844|10.84884165|1.0|1.0|3.47|2.5|0.08|-10.36|5.53|6.0|79.38|2.63|2.0|119.78|0.0|4.0|-5.5|5.0|1.0|0.0|1.0|3.13e-06|0.00129|4.29e-06|4.34e-11|4.2668|3.32|4.2222|-1354.221126|-1354.180815|652.12|0.4335|290.58|487.81|0.63359|-1353.979194|0.0516|-0.17349|3.4464|0.04031146|3.0|8.6
12ag_a36|0.0|1|3.408828027|0.0|7.412764017000001|2|2|1.297044434|-0.008085448|2|0.0|0.0070889269999999|10.96052849|1|-0.000673716|0.135431487|-0.101303149|-0.217394466|1|0.835013502|0.124298337|-0.0861053359999999|0.8910146309999999|0.698414933|0|0.7468300940000001|-0.082492792|-0.1081585809999999|0.26896187|-68.21579593|12.70005599|0.253169906|159.6746787|-43.02381535|8.009946323|0.0|0.758897371|-1.946854457|-32.81436052|64.72839664|0.481286668|471.0269757|-1227.884327|2305.164626|0.2411026289999999|15.13240062|0.927847116|152.06382680000002|-774.4286762999999|32.35969377|0.019328689|1617.984688|12.1906363|1.0|0.0|4.72|0.0|0.14|-6.86|3.13|2.44|69.2|2.4|1.0|123.71|0.0|5.0|-3.89|5.0|0.0|1.0|0.0|0.000129|0.0515|6.96e-05|1.4e-07|3.8893|3.41|3.7117|-1332.185403|-1332.151245|658.68|0.4286|318.79|507.72|0.7024699999999999|-1331.9454449999998|0.0191|-0.15227|5.4459|0.03415856|17.0|7.7696
4R4l_a46|0.0|0|0.0|0.171853072|7.825245291|1|1|1.134637095|-0.004736212|1|0.0|-0.060895366|10.94631401|1|0.006162668|-0.1012114369999999|0.0071939419999999|0.010799648|1|0.726535412|-0.001318857|-0.229089688|0.762625193|0.7936534740000001|0|0.896653672|-0.090505744|-0.084697739|0.208818132|-45.96797819|3.844966512|0.103346328|56.0891211|-24.94818681|2.086777505|0.0|0.8782984840000001|-1.524559305|-26.65896664|52.96512128|0.4568839389999999|486.6405745|-827.4236073|1766.0974600000002|0.121701516|10.43942503|0.8412270820000001|66.05102684|-449.0673625|18.4720714|0.006401537|942.0756413|3.474304058|1.0|1.0|3.92|3.24|0.36|-7.0|4.64|5.02|50.94|3.06|1.0|105.77|0.0|3.0|-5.28|3.0|0.0|1.0|1.0|5.25e-06|0.00182|7.78e-06|9.980000000000001e-08|4.6497|4.99|4.1152|-1092.75416|-1092.728268|584.44|0.1678|266.65|498.78|0.67823|-1092.4898449999998|0.0851|-0.17475|2.1973|0.02589231|137.0|6.8633
