molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|MATS7i|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|MATS1i|AATSC1i|GATS1are|BIC2|SIC2|GATS1pe|nFaHRing|FNSA3|PBF|FPSA3|PNSA5|RPSA|TPSA_x|FNSA4|WPSA3|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA2|Mor01p|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
14b_a23|0.0|0|1|1|0.0|2|7.423568444|0|0|1.197963628|3.2475997860000003|-0.006248709|5.351858133|-0.071396109|0.0519489729999999|-0.318684138|10.31321824|-0.047410593|2|-0.073945564|-0.17267308|0.616699629|0.793551289|0.857184548|0.5935522360000001|1|-0.063267638|0.228282196|0.020454632|-53.44429544|0.153740341|99.66542762|-0.03508139|8.596171261|0.774359705|-1.64882535|64.97993029|0.450973737|2943.803333|2280.830615|-14.74314679|7.833620016|14.26820636|0.821406493|6622.129837|146.2760938|-692.9278992000001|29.36910744|1380.34805|599.5697147999999|1.0|1.0|3.42|0.05|-7.67|3.78|3.4|-5.58|5.0|-6.31|0.0|0.0|3.78|-5.11|2.66e-06|0.00114|3.68|0.0|2.14e-08|9.18e-06|-0.07803|3706.0|3.72|-1729.139722|1142.37|334.55|0.3603|334.55|525.66|0.58097|0.58097|-1728.9300010000002|0.3603|6.8752|0.02188578|9.7544|4.0|8.3536|8.3536
9i_a24|0.0|1|0|0|0.0|1|7.153833802|0|0|1.4281889280000002|1.865102513|-0.005148312|5.209486153|2.01e-05|-0.076024544|-0.190487553|10.96661275|-0.00532872|2|-0.1818753839999999|-0.336939175|0.783500303|0.822658951|0.898194715|0.73094562|0|-0.064657333|0.379687415|0.025118046|-33.00219474|0.173910636|82.21166337|-0.024639839|5.613069697999999|0.499238289|-0.837754515|51.05832236|0.468272544|2061.729154|761.9885477000001|-5.506205845|5.946747117|11.18382556|0.8806627109999999|4155.922671|236.7218826|-187.2109987|23.33121014|793.2611447|295.8603625|1.0|1.0|2.76|0.0|-6.05|2.42|0.67|-2.6|4.0|-7.01|0.0|0.0|1.73|-3.1|0.00248|716.0|1.48|0.0|8.95e-07|0.000258|-0.0473899999999999|4.6212|1.13|-945.2626532|825.7|299.06|0.2373|268.3|363.15|0.58977|0.6755800000000001|-945.174716|0.0029|7.1135|0.0239838|9.2818|88.0|7.0555|7.0555
4f_a49|0.0|0|0|0|0.0|1|7.535296702|1|1|1.343848013|2.066693174|-0.008903208|5.4161004020000005|-0.087045007|-0.087861524|-0.418450768|10.92775957|0.0705130559999999|1|-0.015845165|-0.025995042|0.69044503|0.7927086309999999|0.8557769120000001|0.670594896|1|-0.102926696|0.480786546|0.016591015|-48.83888562|0.262938196|142.7551002|-0.033471819|4.89045046|0.718306291|-1.439288231|60.18871783|0.437355335|2458.261097|1629.651745|-9.866320682|6.302023735|11.20071713|0.7773206840000001|5422.650822|152.9378926|-424.2517893|25.29924744|1087.86764|467.1194103|0.0|1.0|3.07|0.14|-6.54|3.42|2.03|-3.99|5.0|-6.6|0.0|1.0|2.85|-4.09|0.000102|0.0365|2.64|0.0|2.92e-07|0.000104|-0.06954|4.6249|4.07|-1179.201105|982.46|334.21|0.2368|268.08|411.94|0.39584|0.68474|-1179.029099|0.0579999999999999|1.7833|0.03476467|1.8254|0.04|7.3979|7.3979
11b_a31|0.0|1|0|0|0.0|0|7.765993078999999|1|1|0.610137403|0.0|-0.01950528|5.733341277|-0.172248605|-0.078907688|-0.838727032|10.31169957|-0.046362952|2|-0.101934423|-0.16780872|0.833717183|0.834596039|0.889561759|0.7943850720000001|0|-0.143839236|0.26165445|0.037758271|-82.80602396|0.454541246|253.1028809|-0.044612791|11.70737909|0.669723835|-1.784511651|100.3071755|0.473305522|2410.572158|1756.711832|-13.83270059|6.83089364|12.96936635|0.8986339170000001|5202.545866|183.9081702|-553.3080237|37.09261324|1483.70453|397.3137532|1.0|2.0|3.41|0.24|-5.45|4.67|0.79|-4.74|6.0|-6.73|0.0|1.0|2.69|-3.75|1.82e-05|0.00649|2.46|0.0|3.59e-06|0.00128|-0.03574|3.8437|4.07|-1520.0430279999998|969.71|322.57|0.2634|322.57|479.66|0.70073|0.70073|-1519.909742|0.2634|3.2104|0.04215313|4.7518|0.53|6.2757|6.2757
11b_a50|0.0|0|1|1|0.0|2|7.927685046000001|1|1|1.3979498330000002|4.071188272|-0.002908227|5.82008293|-0.014702942|-0.007722567|-0.13377846|10.94500697|-0.133073229|2|-0.162848233|-0.277408878|0.701976536|0.800774662|0.862408925|0.667956827|1|-0.0445367309999999|0.229754094|0.019455771|-36.43643854|0.068683675|35.832562100000004|-0.02494328|5.295379767|0.642051995|-1.047617742|47.72173991|0.42907551|2286.724895|1650.235214|-6.788943965|5.697537591000001|9.979494111|0.751545111|4884.730303|186.7429782|-285.1356465|20.26785036|851.2497152000001|439.9973344|1.0|0.0|3.44|0.15|-5.87|3.09|2.25|-3.58|3.0|-6.24|0.0|1.0|2.96|-4.16|0.000263|0.0862|2.9|0.0|1.35e-06|0.000441|-0.02817|4.6471|3.05|-1045.961211|955.4|311.03|195.0|266.8|431.63|0.53885|0.64477|-1045.798634|0.0711|2.7805|0.02113855|3.7922|1.7|5.7696|5.7696
20a_a10|0.0|0|0|0|0.0|1|7.535296702|1|1|1.343837243|2.113798134|-0.0034618129999999|5.4161004020000005|0.049376168|-0.035536682|-0.197323337|10.9296614|0.011011878|1|-0.049146504|-0.081587712|0.661219642|0.755429696|0.817646497|0.63495222|1|-0.066386563|0.591835899|0.013618456|-47.37850712|0.086318664|56.1599532|-0.028008251|5.764636687|0.733451892|-1.456429076|58.1398225|0.452402751|2998.608651|2021.669282|-11.8557778|8.419180593|15.37476788|0.826159649|6729.996773999999|173.41938059999998|-616.5004457|24.84485067|1291.932235|719.5272609|1.0|0.0|3.48|0.11|-9.44|5.06|2.53|-5.68|5.0|-5.82|0.0|1.0|4.27|-5.59|2.07e-06|0.000888|4.36|0.0|3.61e-10|1.55e-07|-0.06611|4.7841|3.98|-1389.1321289999998|1200.92|323.62|0.2738|259.16|524.02|0.50193|0.6864600000000001|-1388.897416|107.0|2.9429|0.03217287|3.2116|1.2|5.9208|5.9208
18d_a25|0.0|0|0|0|0.0|1|6.842683282|0|0|1.193723212|1.918453956|-0.0029605|4.727387819|0.024310576|-0.031867489|-0.180590503|10.31285314|0.016982601|1|-0.035684977|-0.061965108|0.722349659|0.780221059|0.838260077|0.696372329|1|-0.061527513|0.278576218|0.011158458|-57.45144813|0.062186295|46.80695276|-0.0281209329999999|6.3217245360000005|0.75793699|-1.602893201|68.15463481|0.476833495|3113.122552|2625.142499|-15.93166285|9.479218984|18.11893325|0.911437354|6876.316137000001|182.1982146|-908.1047824|27.92623037|1591.795131|883.4030667999999|1.0|1.0|3.66|0.11|-10.23|6.33|2.4|-6.26|4.0|-6.21|1.0|1.0|4.5|-5.54|5.47e-07|0.00026|4.21|0.0|5.92e-11|2.81e-08|-0.07287|5.6512|4.56|-1806.812778|1358.25|340.69|0.3986|219.39|664.72|0.41694|0.6823899999999999|-1806.514606|0.0389|3.2353|0.03560672|4.3658|232.0|6.6345|6.6345
12k_a36|0.0|1|0|0|0.0|0|7.412764017000001|2|2|1.297043952|0.0|-0.0071232019999999|5.351858133|-0.063399056|0.096315593|-0.413145744|10.94908765|-0.058284869|1|-0.095253274|-0.1619981409999999|0.90500247|0.811903388|0.8647233590000001|0.856135378|0|-0.075717305|0.367754573|0.018067063|-67.14870046|0.157229536|103.5614526|-0.037758075|7.838185977999999|0.7806817009999999|-2.038936068|78.24529096|0.478908312|2792.202559|2294.707886|-16.38090333|7.241602627000001|13.89698356|0.919048073|6027.033337|144.457092|-884.5687799000001|31.85663123|1720.258086|698.847203|0.0|2.0|4.89|0.12|-7.01|3.62|2.38|-4.58|4.0|-6.34|0.0|0.0|2.37|-4.55|2.6e-05|0.0106|3.45|0.0|9.66e-08|3.94e-05|-0.0497|5053.0|3.83|-1310.312649|1186.08|338.46|0.3116|245.37|530.51|0.5249199999999999|0.70031|-1310.072976|0.0908|5.7818|0.03274587|7.3988|14.0|7.8539|7.8539
9_a4|0.0|0|0|0|0.0|1|7.535296702|1|1|1.300485838|2.130445484|-0.00136737|5.4161004020000005|0.016639331|-0.019160308|-0.064266379|10.92992723|-0.0454860859999999|1|-0.0475186259999999|-0.076824065|0.625717993|0.801082857|0.861113198|0.58669472|1|-0.052625548|0.472497372|0.009037784|-37.85762102|0.062897208|34.22811902|-0.025885299|2.676487872|0.792890434|-1.113067849|43.71760622|0.43745176|2359.945586|2012.840082|-7.665782805|5.744374392999999|10.21134541|0.777625327|5387.230364999999|112.7072422|-329.6286606|17.76608225|763.9415367|489.7528555|1.0|0.0|3.18|0.19|-8.16|5.14|3.15|-4.76|3.0|-5.56|0.0|1.0|4.17|-5.15|1.73e-05|0.0062299999999999|4.14|0.0|6.9e-09|2.49e-06|-0.05256|4.7284|3.87|-1489.533032|999.93|308.91|0.1217|262.21|430.12|0.5182100000000001|0.6464|-1489.36688|0.0584|4.4343|0.02116575|5.4739|48.0|7.3188|7.3188
14_a4|0.0|0|0|0|0.0|1|7.535296702|1|1|1.399909181|1.947126795|-0.001935612|5.4161004020000005|-0.04986736|-0.0135414919999999|-0.069682036|10.94612798|0.117232935|1|-0.016862096|-0.039321879|0.507307223|0.77505994|0.843811017|0.500893739|0|-0.065776751|0.218112446|0.013047382|-32.31961528|0.148961754|67.73740575|-0.03015272|2.697931638|0.768457211|-0.995039765|39.49511556|0.40126838|1911.448021|1378.961008|-6.23496557|5.304461808|8.859498364|0.6701974079999999|3944.638539|105.2894945|-205.7538638|17.84270058|588.8091192|280.2639278|0.0|0.0|3.14|0.06|-5.71|3.59|2.82|-3.4|3.0|-5.8|0.0|1.0|3.2|-3.97|0.000396|0.11|3.09|0.0|1.95e-06|0.000539|-0.03639|4.5233|3.22|-918.9304744|794.51|293.02|0.1864|274.1|353.16|0.53298|0.55975|-918.851356|0.1067|2.3797|0.020300099|3.3312|1.32|5.8794|5.8794
15d_a10|0.0|0|0|0|0.0|1|7.535296702|2|2|1.343850133|2.147544195|-0.002831383|5.4161004020000005|0.0370874879999999|-0.059217023|-0.184039927|10.92970801|0.007032164|1|-0.1786649189999999|-0.280243276|0.74726683|0.745184875|0.7857977740000001|0.71456262|1|-0.057588609|0.565801561|0.02281891|-47.58559595|0.12390229|83.49776405|-0.018829931|10.36301002|0.471900166|-1.129795872|66.95020436|0.473858537|2967.522813|2036.192049|-8.551449923|8.429169102000001|16.02072769|0.900629528|6511.656447|355.8865234|-513.0869954|26.89020509|1613.412305|825.4425942|1.0|0.0|3.71|0.35|-7.82|4.14|1.54|-3.78|6.0|-7.04|0.0|0.0|3.18|-4.38|0.000167|0.0739|2.75|0.0|1.5e-08|6.62e-06|-0.05002|5.6004|2.05|-1431.051425|1266.87|321.28|312.0|221.39|565.91|0.3685|0.6814100000000001|-1430.733658|0.0856|3.3831|-0.23696253|3.8163|69.0|7.1612|7.1612
21b_a23|0.0|0|1|1|0.0|2|7.525639975|0|0|1.197963051|3.351726269|-0.005936474|5.4161004020000005|-0.008526338|0.057405955|-0.326506055|10.31321725|-0.0490623259999999|2|-0.069382957|-0.130528352|0.7038407329999999|0.7717839409999999|0.8339434929999999|0.668547062|1|-0.0596425779999999|0.224930782|0.014481931|-58.25915868|0.0692712809999999|48.56114386|-0.034219814|7.117014296|0.812334718|-1.745210489|67.68046598|0.458461834|3074.083057|2531.041828|-16.81701905|8.773746105|16.20152864|0.846591917|6919.229053|131.5587155|-857.6679716|29.53101081|1506.081551|712.6737861|1.0|1.0|3.59|0.08|-7.84|3.92|2.6|-6.1|5.0|-6.42|0.0|0.0|3.57|-5.22|8.02e-07|0.000361|3.7|0.0|1.43e-08|6.45e-06|-0.08401|4.0023|3.57|-1761.4722969999998|1247.38|342.15|0.2607|309.79|611.6|0.57848|0.70139|-1761.230923|0.2333|9.5312|0.02657688|13.2567|85.0|7.0691|7.0691
1_a3|0.0|0|0|0|0.0|0|6.823286122000001|1|1|0.6195934120000001|0.0|-0.006053652|4.727387819|-0.073036903|-0.004409693|-0.248199745|10.33805862|0.032569462|0|0.05038525|0.08803837|1.005427002|0.7905285390000001|0.8457792829999999|0.943582278|1|-0.098872259|0.521474118|0.008036786|-42.54530997|0.2237487219999999|102.8341051|-0.034105115|1.697600903|0.7920857179999999|-1.295994381|49.05980305|0.4490711529999999|2012.9704|1162.737831|-7.203984013|4.984064981|9.046658216|0.8151164259999999|4510.611026|95.55665364|-273.7513925|19.78900457|751.9821735|373.1494221|1.0|1.0|3.83|0.18|-5.77|2.28|1.52|-3.07|4.0|-6.87|0.0|0.0|1.5|-3.3|0.0008529999999999|261.0|1.83|0.0|1.69e-06|0.000518|-53.0|5.8805|2.08|-1273.290432|845.2|320.83|0.1775|210.84|316.61|0.30619|0.68912|-1273.1763970000002|0.0096|2.2332|0.02599563|3.4319|724.0|6.1403|6.1403
18_a3|0.0|1|0|0|0.0|0|6.605297921|0|0|1.43179288|0.0|-0.003487792|4.59511985|-0.021283637|0.08269134|-0.122072724|10.96965878|-0.025890816|1|-0.035611069|-0.064953613|0.7226687409999999|0.714658751|0.784960175|0.6858831809999999|1|-0.069839069|0.217881538|0.013796397|-37.67445366|0.158042379|70.31739201|-0.031753312|2.73114076|0.682492203|-1.016105994|48.19055867|0.483376636|1938.093995|703.8534116000001|-6.285899403999999|5.293627315|10.24658906|0.935646099|3928.183499|141.2679329|-201.1487809|20.70048575|662.4155441|270.539096|1.0|1.0|2.62|0.0|-6.83|3.42|0.93|-2.82|4.0|-6.7|0.0|1.0|2.21|-3.27|0.0015|411.0|1.79|0.0|1.49e-07|4.07e-05|-0.05769|3.9765|1.85|-889.9402005000001|784.04|311.79|0.3326|311.79|330.54|0.6671699999999999|0.6671699999999999|-889.850598|0.3326|2.6366|0.02173162|3.3664|0.03|7.5229|7.5229
12h_a40|0.0|0|0|0|0.0|1|7.515889085|0|0|0.60499064|1.760542171|-0.008044548|5.4161004020000005|-0.107711573|0.208938531|-0.289603712|10.31197256|-0.21893421|2|0.127299624|0.224167029|0.809398262|0.7769829840000001|0.845904643|0.6948809659999999|1|-0.0954337969999999|0.006997021|0.0117142839999999|-48.34705035|0.160518251|84.86252967|-0.038796498|3.274152035|0.844008584|-1.280284432|54.9311782|0.4958138139999999|2270.834041|603.6697997|-10.84365353|7.989299324|15.84593062|0.983394285|5087.343024|82.46928995|-357.8405665|24.30173133|801.957134|350.9435025|1.0|1.0|3.19|0.0|-6.84|4.59|3.76|-6.25|2.0|-5.13|0.0|1.0|4.22|-5.58|5.58e-07|0.0002009999999999|4.75|0.0|1.44e-07|5.2e-05|-0.07512|4.1508|4.14|-2153.186757|910.77|469.0|0.3985|298.7|435.95|0.6503899999999999|0.7041|-2153.072091|0.3693|2.5573|0.02044063|3.5425|823.0|6.0846|6.0846
9o_a24|0.0|1|0|0|0.0|0|6.605297921|1|1|1.294229152|0.0|-0.007052095|4.59511985|-0.044044637|-0.087807028|-0.387865233|10.94506726|-0.000236595|1|0.00177843|0.00294424|0.738419215|0.785672769|0.846075714|0.7086274779999999|0|-0.088586421|0.6253256110000001|0.018492771|-51.14964436|0.229726192|133.0106596|-0.032911684|6.1994599720000005|0.668046377|-1.678495905|66.24061038|0.4861134689999999|2892.333138|1906.512273|-11.03321234|6.080741586|11.83284872|0.945954873|6697.297449000001|192.1999837|-562.6938294|28.52459128|1454.754155|663.2688909|1.0|2.0|3.96|0.04|-7.91|3.75|1.23|-4.49|5.0|-6.83|0.0|0.0|3.01|-4.4|3.2500000000000004e-05|0.0137|2.88|0.0|1.24e-08|5.23e-06|-0.04527|5.8802|4.41|-1388.094657|1126.94|290.75|0.1409|210.85|432.84|0.41688|0.65292|-1387.887227|0.0288|4.3816|0.0533144|5.9089|446.0|6.3507|6.3507
13_a47|0.0|1|1|1|0.0|0|6.605297921|0|0|1.417757826|0.0|-0.0049262279999999|4.59511985|-0.0777650159999999|-0.047120094|-0.20197533|10.9452934|0.038682232|1|-0.0101047869999999|-0.0233277889999999|0.6427334020000001|0.794037882|0.8582665429999999|0.626280497|1|-0.081148294|0.244975411|0.017736598|-45.39284663|0.2183244369999999|112.453046|-0.032468557|4.705524762|0.688261242|-1.23380515|57.38622954|0.472007922|2190.316257|669.2729199|-8.613918003|7.038683428|13.33103985|0.8939678120000001|4542.479565|160.5682509|-327.3288841|24.29844849|923.3410426|359.12161539999994|1.0|2.0|2.9|0.06|-7.9|4.06|2.34|-4.24|4.0|-6.0|0.0|1.0|3.19|-4.27|5.79e-05|0.0185|3.17|0.0|1.26e-08|4.04e-06|-0.05465|4.0302|2.7|-1067.78457|895.21|307.63|0.3382|307.63|404.73|0.67466|0.67466|-1067.665127|0.3382|3.5455|0.03639189|4.8308|16.0|7.8|7.8
14a_a23|0.0|0|1|1|0.0|2|7.423568444|0|0|1.197964042|3.39397765|-0.0056795759999999|5.351858133|-0.0246126279999999|0.0446402609999999|-0.289658385|10.31321831|-0.071842463|2|-0.073893976|-0.137733142|0.72792508|0.7556436440000001|0.816237166|0.6888154959999999|1|-0.055677662|0.225448915|0.019504497|-50.79675604|0.081322962|51.42774883|-0.0341809229999999|7.800158102999999|0.7807587890000001|-1.606503401|61.36268093|0.462434482|2816.527785|2173.7139190000003|-13.66949407|7.668841725|14.2658736|0.8602383659999999|6269.28943|138.6457355|-642.4662212000001|27.68542751|1301.215093|601.8533922|1.0|1.0|3.41|0.05|-7.41|3.36|3.03|-5.47|4.0|-6.27|0.0|0.0|3.37|-4.96|3.38e-06|0.00139|3.58|0.0|3.92e-08|1.6100000000000002e-05|-0.07379|3.7119|3.47|-1629.90669|1134.02|334.02|0.3764|334.02|516.58|0.6289100000000001|0.6289100000000001|-1629.690316|0.3764|5.8775|0.0216412|8.3962|3.0|8.5498|8.5498
12ad_a36|0.0|1|0|0|0.0|0|7.412764017000001|2|2|1.297042846|0.0|-0.01083262|5.351858133|-0.073048351|0.046496301|-0.649957196|10.95445455|0.010723827|1|-0.136151085|-0.227404687|0.817851296|0.832674224|0.8846605|0.7767870459999999|0|-0.082404548|0.423689705|0.030769062|-76.30379737|0.239732231|169.7321223|-0.0365657189999999|15.4237324|0.656407461|-2.047680239|96.81391944|0.477102332|3041.082692|2474.175727|-18.32944602|8.770308295|16.772513699999998|0.912420081|6569.653402|243.2659577|-1026.448977|39.44011905|2208.646667|735.3783268|0.0|2.0|4.9|0.17|-6.62|2.7|1.89|-4.18|6.0|-7.18|0.0|0.0|1.76|-4.08|6.579999999999999e-05|0.0289|2.53|0.0|2.42e-07|0.000106|-0.05406|5733.0|4.5|-1460.794632|1236.64|321.93|0.6073|216.26|588.2|0.27316|0.67215|-1460.5468529999998|0.2532|5.3349|0.03648828|6.8996|17.0|7.7696|7.7696
14c_a23|0.0|0|1|1|0.0|2|7.423568444|0|0|1.197962449|3.349976042|-0.005822256|5.351858133|-0.024758731|0.04174584|-0.296935034|10.31321813|-0.047410593|2|-0.071484865|-0.13187015|0.722187957|0.793551289|0.857184548|0.659570836|1|-0.0567889659999999|0.2273163289999999|0.018842596|-53.17009158|0.077064961|51.21382308|-0.034046252|8.321492112|0.7834075309999999|-1.600173862|64.05912299|0.459622824|2955.304496|2379.221378|-15.0359121|7.832948614|14.49533577|0.8505592829999999|6755.962581999999|143.9373772|-706.6878684999999|28.88097191|1357.40568|633.3278634|1.0|1.0|3.4|0.05|-7.99|4.0|3.51|-6.13|4.0|-6.03|0.0|0.0|4.0|-5.55|7.49e-07|0.000334|4.21|0.0|1.02e-08|4.55e-06|-0.0795299999999999|3.7031|4.1|-2089.501598|1177.63|334.81|356.0|334.81|549.86|0.56781|0.56781|-2089.293299|356.0|7.2704|0.02236136|10.369000000000002|2.0|8.6253|8.6253
3g_a32|0.0|1|1|1|-0.047725143|0|7.78113851|0|0|0.60942078|0.0|-0.006258272|5.733341277|-0.072619634|-0.058985916|-0.2816222539999999|10.31100273|-0.125170068|3|-0.074808287|-0.133675401|0.833981748|0.755211939|0.802214256|0.786074011|1|-0.070213101|0.273439311|0.0119962889999999|-54.47722347|0.112304055|62.23099889|-0.030429702|3.683575459|0.8007401590000001|-1.278047464|60.55421302|0.447358137|2271.746759|1886.244271|-9.343731735|5.917878616|10.70834299|0.809490137|5058.622432|110.4157723|-392.4367329|21.05801434|884.4366022|475.3634141|1.0|1.0|3.43|0.28|-7.29|7.02|2.18|-7.09|3.0|-4.9|0.0|1.0|4.61|-5.59|8.12e-08|2.88e-05|5.02|0.0|5.08e-08|1.8e-05|-0.0535|3.5456|4.13|-1712.036238|998.86|349.68|0.2859|349.68|495.4|0.70275|0.70275|-1711.865318|0.2859|3.3082|0.02384763|5.5816|14.0|7.8539|7.8539
8a_a50|0.0|1|1|1|0.0|1|7.860570786|1|1|1.39826105|2.03117465|-0.00439531|5.777652323|-0.021959577|-0.0224366579999999|-0.188998337|10.94501357|-0.058014797|2|-0.065546446|-0.11385159|0.75162266|0.804535572|0.8718949979999999|0.7135713840000001|1|-0.069208148|0.278028663|0.018809422|-41.48493288|0.139123262|70.12485884|-0.031655181|4.778811898|0.751415713|-1.234552044|50.06249379|0.46183401|2206.356773|1503.563342|-8.042467074|5.754657432|10.69309012|0.858162757|4638.284496|125.2985144|-313.6562159|21.23424244|828.1354551|388.171611|1.0|1.0|3.34|0.11|-6.32|3.63|2.02|-3.86|3.0|-6.12|0.0|1.0|2.87|-4.13|0.000138|0.0433|2.95|0.0|4.82e-07|0.000151|-0.0280699999999999|5.622000000000001|2.69|-1006.637067|912.7|297.06|0.18|220.53|396.63|0.3462199999999999|0.60625|-1006.508913|0.1217|3.5509|0.03479985|5.5319|47.0|7.3279|7.3279
11b_a5|0.0|1|0|0|0.0|0|6.605297921|0|0|1.277648917|0.0|-0.003900104|4.59511985|0.008093965|-0.067519041|-0.1833048739999999|10.94877958|-0.0536971829999999|1|-0.0109928619999999|-0.017658026|0.735954089|0.805760343|0.8645824520000001|0.682032125|0|-0.07633373|0.378154801|0.016373566|-48.42513182|0.126268949|75.80248447|-0.029332646|5.900883275|0.66824472|-1.290636432|62.16286481|0.456131351|2434.505303|913.0178976|-10.5712171|8.936258446|16.43091298|0.83867925|5107.577902|199.1611925|-465.13355250000006|26.35133256|1159.458633|504.9898148|1.0|1.0|2.99|0.1|-9.15|5.38|2.01|-4.65|4.0|-6.03|0.0|1.0|3.68|-4.69|2.26e-05|0.00853|3.62|0.0|7.109999999999997e-10|2.68e-07|-0.0418399999999999|4.4995|3.31|-1564.72614|1063.35|295.32|0.5806|275.55|511.28|0.61027|0.6284|-1564.56504|0.2013|1.9569|0.03575776|2.8531|19.0|7.7212|7.7212
16_a31|0.0|1|0|0|0.0|0|7.758333467000001|1|1|0.61013894|0.0|-0.020181753|5.733341277|-0.186617888|-0.050076586|-0.726543099|10.31170095|0.06214876|2|-0.053194463|-0.09530799|0.951830892|0.8318419909999999|0.8948140790000001|0.8944757390000001|0|-0.142079397|0.29485045|0.0374314139999999|-70.82239128|0.4535498739999999|213.694252|-0.050105055|8.309441139|0.73080436|-1.653466811|83.86629191|0.427771627|2071.962924|1212.615438|-11.12287666|5.521618837|9.649327262|0.747554032|4387.049328|126.8340354|-367.0549296|32.30339751|1066.012118|280.39844320000003|1.0|2.0|3.2|0.14|-4.94|3.8|0.78|-4.36|4.0|-6.48|0.0|1.0|2.33|-3.6|4.38e-05|0.0131|2.32|0.0|1.16e-05|0.00347|-0.0318899999999999|3.6596|1.7|-1308.202828|818.1|338.79|0.2534|338.79|369.73|0.70108|0.70108|-1308.113026|0.2534|3.7419|0.03948619|5.5943|0.09|7.0458|7.0458
14ab_a23|0.0|0|1|1|0.0|2|7.423568444|0|0|1.197962873|3.4171257980000003|-0.0050415|5.351858133|-0.028841865|0.021287386|-0.287365522|10.313217300000002|-0.03821899|2|-0.074579388|-0.13397874|0.725358161|0.75434493|0.8072028240000001|0.693959193|1|-0.051974369|0.20155691|0.017974612|-52.21744789|0.07577767|51.89838547|-0.031648261|8.431109267|0.797837067|-1.677357849|61.60741239|0.4695727329999999|2941.47118|2332.352369|-14.84482393|7.83369055|14.76864227|0.885272615|6654.62616|138.4567483|-786.7756682999999|27.16741043|1439.872753|733.3886349999999|1.0|1.0|3.63|0.12|-8.16|4.4|3.45|-6.23|4.0|-5.92|0.0|0.0|4.12|-5.55|5.9e-07|0.000259|4.31|0.0|6.9799999999999995e-09|3.07e-06|-0.07146|3.6587|4.1|-1708.543268|1238.27|338.88|0.3893|338.88|595.23|0.66532|0.66532|-1708.277193|0.3893|5.9624|0.02013145|8.4721|4.0|8.4012|8.4012
19_a20|0.0|1|0|0|0.0|0|6.842683282|0|0|1.4009239059999998|0.0|-0.0096278259999999|4.727387819|-0.130949446|0.103271147|-0.539158264|10.94899558|-0.063133522|1|-0.049177437|-0.083481481|0.811128636|0.7619768840000001|0.8193003000000001|0.7741509329999999|1|-0.091725453|0.25624423|0.013643765|-65.49811346|0.245547466|161.33709|-0.038340404|5.890223441|0.796070588|-1.993700989|75.98477124|0.483310517|2849.084477|1818.518838|-16.55214209|7.950138729|15.38668579|0.935398401|6325.747732|133.9919257|-860.7113887|31.64490997|1645.535318|684.5377542|1.0|2.0|3.49|0.08|-9.63|4.97|1.33|-4.89|5.0|-6.8|0.0|1.0|3.16|-4.57|1.29e-05|0.00541|2.91|0.0|2.34e-10|9.86e-08|-0.06767|3.3616|5.01|-1368.378274|1190.68|368.83|0.2998|368.83|519.34|0.6987399999999999|0.6987399999999999|-1368.129074|0.2998|4.2507|0.03487615|6.3327|2.6|5585.0|5585.0
