molecula|SddssS|n9FaHRing|n9FaRing|NaasN|nAHRing|SaasN|AATSC1c|MATS7i|SaaaC|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|n6aHRing|BIC2|GATS1pe|nFaHRing|RASA|FNSA3|FPSA3|PNSA5|WNSA5|RPCS|DPSA5|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12an_a36|0.0|0|0|0|2|0.0|-0.0070293469999999|0.0966393909999999|0.0|0.00285431|10.33556631|-0.031635802|1|1|0.170355752|-0.07550872|-0.133106642|1|0.8344566859999999|0.855081905|0|0.836440154|-0.073519599|0.0173118669999999|-71.0446809|-48.0034364|0.0|81.70091433|2881.978785|565.1654879|-1349.848937|2399.367452|-16.89009799|0.216487385|8.773001855|6162.848939|146.2760938|31.9040205|0.015771136|-383.1273396|10.65623343|0.0|1.0|1.0|1.0|2.0|0.0|17.0|-7.05|3.33|2.61|2.51|0.0|1.0|-4.85|31.0|-6.64|427.52|0.0|0.0|0.0|-4.51|1.4300000000000002e-05|3.09e-05|0.0132|0.0|8.95e-08|3.83e-05|-0.05561|5.1771|3.37|3.7872|718.98|1215.98|0.6702|239.49|571.76|0.44822|0.69094|-1670.182102|-0.15474|4.3963|-1670.244686|6.2182|0.04|7.3979|7.3979
3a_a32|0.0|1|1|0|0|0.0|-0.007588088|-0.014365682|2.211368234|-0.002794182|10.31100283|0.125185185|3|3|-0.028290955|-0.079652285|-0.1568626659999999|0|0.844272053|0.7757299320000001|1|0.817070968|-0.080607266|0.0224684379999999|-44.92473442|-20.78892268|0.0|55.87310101|2028.93875|378.0996237|-449.2473442|812.930125|-6.929640892|0.327690097|5.755284924|4249.04624|151.63860559999998|22.27382254|0.0236593529999999|-159.4728294|10.9483666|1.0|1.0|1.0|1.0|1.0|2.21|19.0|-6.12|5.77|4.12|1.19|0.0|1.0|-5.32|20.0|-5.77|298.39|0.0|0.0|1.0|-4.35|4.83e-06|4.51e-05|0.0134|0.0|7.66e-07|0.0002279999999999|-0.0558|3.6308|2.17|3.6308|492.91|801.12|0.2719|341.48|355.48|0.70229|0.70229|-1554.7020630000002|-0.15058|3.6178|-1554.748543|5.7916|3.0|8.5686|8.5686
8a_a50|0.0|1|1|1|1|2.03117465|-0.00439531|-0.0224366579999999|1.99158738|0.007671336|10.94501357|-0.058014797|2|2|-0.038971589|-0.065546446|-0.11385159|1|0.804535572|0.7135713840000001|1|0.860876738|-0.069208148|0.018809422|-41.48493288|-20.91041439|0.0|50.06249379|2206.356773|433.9235497|-622.2739931|1503.563342|-8.042467074|0.248584287|5.754657432|4638.284496|125.2985144|21.23424244|0.017017336|-253.4513797|8.577560914|1.0|0.0|1.0|1.0|1.0|2.01|20.0|-6.32|3.63|3.71|2.02|0.0|1.0|-3.86|24.0|-6.12|313.36|0.0|1.0|1.0|-4.13|0.000138|7.48e-05|0.0234|0.0|4.82e-07|0.000151|-0.0280699999999999|5.622000000000001|2.69|4.1738|548.47|912.7|0.18|220.53|396.63|0.3462199999999999|0.60625|-1006.508913|-0.17244|3.5509|-1006.557694|5.5319|47.0|7.3279|7.3279
12a_a40|0.0|0|0|1|0|1.784989449|-0.00431394|0.17758258|0.8332127109999999|0.01039129|10.31197265|-0.226763788|2|2|0.298197213|0.018655637|0.031326603|0|0.718281767|0.525051106|1|0.940879765|-0.064340227|0.011766311|-38.17175304|-19.46913691|49.24750281|43.65970865|2185.594734|479.8867095|-534.4045424999999|600.1247016|-8.792513441|0.14863036|7.563170499|4873.458436|75.8074911|20.24838026|0.010759845|-358.4254366|5.487955617999999|0.0|1.0|0.0|0.0|0.0|3.39|20.0|-7.21|5.33|5.43|4.34|0.0|1.0|-6.41|22.0|-4.56|346.23|0.0|1.0|1.0|-5.95|3.86e-07|1.13e-06|0.00039|0.0|6.15e-08|2.13e-05|-0.08015|3.0966|5.01|3.0966|530.55|875.15|0.3701|400.39|429.21|0.6998800000000001|0.6998800000000001|-2097.7296100000003|-0.12895|2491.0|-2097.779499|3.8054|1778.0|5.7501|5.7501
3i_a32|0.0|1|1|0|0|0.0|-0.012358668|-0.21362765|1.711001131|-0.0131506889999999|10.3110028|0.022524712|3|3|-0.8373173840000001|-0.054335108|-0.212967423|0|0.833699527|0.54844677|1|0.893827987|-0.093279684|0.015296821|-59.72706743|-31.48976464|0.201037767|71.27609889|2471.4299920000003|471.2508776000001|-776.4518766|2141.3084710000003|-12.4050588|0.22927653|5.826629089|5656.349227000001|120.8809386|30.52825775|0.021905206|-285.465827|11.54903146|0.0|1.0|1.0|1.0|1.0|2.49|19.0|-6.96|6.76|6.29|2.09|0.0|1.0|-6.27|24.0|-5.53|366.38|1.0|0.0|1.0|-5.16|5.37e-07|6.85e-06|0.00251|0.0|1.0900000000000001e-07|4.01e-05|-0.06518|3642.0|3.38|3642.0|530.5|876.0|0.4765|340.43|418.24|0.70322|0.70322|-1891.738614|-0.1476|2494.0|-1891.790935|3.8572|6.0|8.2366|8.2366
12b_a36 (EW-7197)|0.0|0|0|0|2|0.0|-0.008137593|0.027495626|0.0|-0.002526241|10.96052467|-0.056994595|1|1|0.059005046|-0.101303149|-0.217394466|1|0.819222745|0.698414933|0|0.7635183720000001|-0.081357853|0.021439664|-67.98756422|-42.53627024|5.958751634|80.95733534|2772.832013|477.6935927|-1223.776156|2338.370858|-15.31305729|0.253252648|6.764872303|6096.459089|158.4469629|32.77617664|0.020730147|-308.7538779|12.96977113||||||||||||||||||||||||||||-0.04975|3.8475|3.41|3.7725|659.48|1104.61|0.4491|322.25|486.64|0.6824899999999999|0.69991|-1331.9479310000002|-0.15571|5432.0|-1332.005651|7.3101|7.0|8.1549|8.1549
14_a47|0.0|1|1|0|0|0.0|-0.006070958|0.017068634|1.484493371|-0.008212621|10.95058279|0.0295267039999999|1|1|0.05124606|-0.020596219|-0.061837113|2|0.777675668|0.579833096|1|0.681598464|-0.093553938|0.020106089|-47.47362906|-23.9422834|0.0|61.62381153|2254.664317|343.7492333|-617.1571777|670.2518865000001|-8.892848121|0.335290281|6.909385453|4695.98899|169.0962983|26.52746264|0.028057496|-166.1354667|14.15018248|1.0|0.0|1.0|1.0|2.0|1.53|21.0|-7.79|3.97|4.88|2.49|0.0|1.0|-3.97|24.0|-6.21|323.3|0.0|1.0|1.0|-4.13|0.000108|7.46e-05|0.0241|0.0|1.63e-08|5.27e-06|-0.06057|3.9671|2.64|3.9671|519.55|849.76|0.2452|312.53|375.43|0.68345|0.68345|-1127.610422|-0.16377|2.2485|-1127.6593779999998|3665.0|8.0|8.1|8.1
28_a20|0.0|0|0|1|0|1.837209467|-0.006492092|0.091462964|1.650185059|0.002234763|10.94963925|-0.039965901|1|1|0.155263557|-0.016955137|-0.028782305|3|0.755701837|0.690655217|1|0.7817507370000001|-0.086299346|0.014682607|-60.85602167|-40.6172876|88.39175809|71.98460956|2865.917291|521.7658603|-1217.120433|2449.815677|-15.62203369|0.226358273|7.587188177000001|6348.941881000001|151.0788711|30.25452396|0.016673728|-365.2747728|11.12858789|1.0|1.0|1.0|1.0|1.0|2.86|27.0|-8.8|3.93|4.01|1.73|0.0|1.0|-4.42|32.0|-6.96|420.47|0.0|0.0|1.0|-4.43|3.77e-05|3.72e-05|0.0156|0.0|1.57e-09|6.590000000000001e-07|-0.06242|4.7905|4.64|3.5798|704.42|1198.32|0.2354|258.81|531.85|0.50352|0.4701899999999999|-1368.085242|-0.15572|3.5284|-1368.146882|4.7428|255.0|6.5935|6.5935
13d_a6|0.0|0|0|0|1|0.0|-0.010665225|0.077158715|0.0|-0.003346018|10.95129636|-0.10528143|1|1|0.126028544|-0.106686991|-0.174259072|1|0.786837131|0.7995080809999999|0|0.78862121|-0.092581323|0.030793771|-75.40072983|-51.34295409|564.780402|88.02705449|2882.382522|536.999346|-1432.613867|3075.022992|-18.40596467|0.230567155|9.086171078|6185.117192000001|157.0011174|35.13035671|0.018542644|-366.9322097|12.62632467|1.0|1.0|1.0|1.0|2.0|3.03|23.0|-9.4|5.38|4.57|1.5|0.0|1.0|-5.95|32.0|-5.88|423.47|0.0|0.0|1.0|-5.27|1.11e-06|5.42e-06|0.00229|0.0|3.96e-10|1.68e-07|-0.05252|4.85|4.5|3.6298|723.61|1219.11|0.7905|255.64|598.06|0.58381|0.7007399999999999|-1389.125098|-0.14894|11.0994|-1389.188211|14.0012|0.36|6.4437|6.4437
21_a12|0.0|0|0|0|1|0.0|-0.008833375|-0.213225401|0.0|-0.003879878|10.31140747|-0.0546514309999999|1|1|-0.388196876|-0.116098308|-0.211367878|2|0.835359152|0.859899236|0|0.84827776|-0.068775342|0.012230115|-50.37198585|-25.34833425|0.0|59.10840872|2185.835701|426.8727514|-705.2078018999999|1080.052791|-9.338859985|0.229181643|5.891343219|4652.242111|115.3294396|24.07584081|0.017360942|-272.5639702|8.736422872|1.0|1.0|0.0|1.0|1.0|2.81|17.0|-6.78|4.01|2.25|1.82|0.0|1.0|-3.82|23.0|-6.45|319.38|0.0|0.0|1.0|-3.76|0.00015|0.000173|0.0551|0.0|1.67e-07|5.3200000000000006e-05|-0.0546899999999999|4.6851|2.56|3.9971|539.67|893.17|0.3665|264.64|397.31|0.59386|0.57644|-1327.347724|-0.16784|2327.0|-1327.397348|3.2551|22.0|7.6576|7.6576
