molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|AATSC1i|n6aHRing|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|PNSA5|FNSA4|WNSA5|RPCS|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Approximated area|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
4i_a46|0.0|0|0|0|0.0|0.19654443|1|7.825245291|1|1|2.184105962|-0.167244168|5.587248657999999|-0.018872727|1|0.049498645|-0.088884176|-0.127450387|0.012211602|-0.160741899|10.94638684|-0.125773054|-0.091288438|1|0.749522825|-0.17856753|0.786754478|0.7172344890000001|0|-0.058565229|-0.075208437|0.263514985|-33.08099617|-42.48203383|-0.025069479|-23.99628633|70.55661087|-18.68604171|49.04951810000001|-14.16067794|0.406629719|531.4066842|-722.1945751000001|2253.484644|0.2361682219999999|6.218233741000001|10.47951666|0.685288314|133.40134070000002|-407.9368676|18.53900079|0.011626803|945.4890404|579.2365607|6.567484272000001|1.0|0.0|1.0|1.0|0.0|3.88|17.0|-7.3|4.79|5.07|39.94|3.06|105.43|0.0|3.0|-4.94|3.0|-5.31|-5.04|1.16e-05|0.00403|9.13e-06|4.38|0.0|5.04e-08|1.75e-05|5.3987|4.46|4.4232|-1092.70435|611.74|229.66|546.24|-0.18438|0.02614355|-1092.528145|612.0|6.2132|6.2132
13_a1|0.0|1|0|0|3.409865599|0.0|0|7.423568444|1|1|0.0|-0.046530797|5.351858133|-0.144782061|1|0.036382114|0.1129747169999999|-0.597786194|-0.008672236|-0.0594321759999999|10.94989555|-0.084271845|-0.120034915|1|0.76714213|-0.150485437|0.825117597|0.833702788|0|-0.111667908|-0.10668313|0.207843387|-64.94184903|-62.04288975|-0.040302516|-36.08180773|528.3795274|-37.76773325|77.55889436|-23.43842502|0.477212829|395.1486144|-1054.729126|1786.445642|0.291737016|7.493979856|14.33466671|0.912824292|169.6632599|-613.3907313999999|33.09282789|0.026679865|1489.177255|505.2124255|15.51600461|1.0|1.0|1.0|1.0|2.0|3.35|23.0|-7.94|4.75|3.87|80.26|1.74|104.88|0.0|4.0|-4.29|5.0|-6.48|-4.34|5.16e-05|0.0192|4.58e-05|2.94|0.0|1.14e-08|4.24e-06|4.0783|3.17|3.4483|-1238.367298|613.52|304.01|472.52|-0.13921|0.0284695999999999|-1238.22919|0.26|6585.0|6585.0
11_a27|0.0|1|0|0|2.680511093|0.0|0|7.535296702|1|2|0.0|0.100091619|5.4161004020000005|-0.003527607|2|0.042533875|-0.080272515|-0.344117757|0.004538653|-0.0864111069999999|10.93910312|-0.027287578|-0.067428705|2|0.814843016|-0.043616687|0.8629676709999999|0.7146215429999999|1|-0.079921166|-0.094820973|0.349764196|-42.27430065|-50.15555389|-0.034296948|-26.52978026|72.60399149|-22.36099135|56.8702158|-18.14137056|0.4528656239999999|404.4089873|-852.6444161000001|1646.903525|0.1911041289999999|5.231762955|9.562117063|0.82770457|101.0845293|-451.0062644|22.42732497|0.012694323|1054.084273|504.209846|6.714661907000001|1.0|0.0|0.0|0.0|1.0|3.95|16.0|-6.09|2.72|1.67|61.88|3.06|106.33|0.0|2.0|-3.68|4.0|-6.47|-4.02|0.000207|0.0716|9.45e-05|2.73|0.0|8.2e-07|0.000283|3.3426|4.54|2.4836|-1122.433411|571.4|370.92|415.32|-0.1022|0.0226944|-1122.242519|5.0|8301.0|8301.0
7a_a8|0.0|1|0|0|3.1730222510000003|0.0|1|7.535296702|1|1|1.4494883790000002|-0.11821781|5.4161004020000005|-0.0407248439999999|1|0.041123188|-0.017706371|-0.482688615|0.000736369|0.004607684|10.94671402|-0.019054799|-0.032195997|1|0.764224152|-0.032562221|0.831914523|0.681200974|0|-0.102174163|-0.101880506|0.238462711|-60.00793116|-59.83546383|-0.042647654|-35.14198015|71.85980901|-35.24327197|75.4573633|-25.04740346|0.477611327|421.9297638000001|-1077.038349|1702.719465|0.266115601|7.699041907000001|14.73814865|0.914283468|156.2924154|-632.5556427|34.12990316|0.0265990589999999|1467.585836|488.0169522|15.62189947|0.0|0.0|1.0|1.0|1.0|3.34|23.0|-7.27|3.96|3.49|92.93|2.01|105.83|0.0|3.0|-4.86|5.0|-6.33|-4.64|1.36e-05|0.00522|2.29e-05|3.24|0.0|5.3600000000000004e-08|2.05e-05|4.5808|5.2|3.0704|-1291.287017|605.72|270.66|494.48|-0.12889|0.0269461|-1291.156661|24.73|4.6068|4.6068
15a_a22|0.0|0|0|0|0.0|0.0|1|6.842683282|0|0|1.646649187|-0.136588366|4.727387819|-0.052476637|2|0.038167849|0.021482585|-0.280236463|0.005288335|-0.057308195|10.9464374|-0.015194063|-0.165471815|2|0.7392451729999999|-0.027029438|0.794858486|0.655865336|1|-0.061755825|-0.081705465|0.410151945|-41.92018177|-55.4621036|-0.031425179|-37.6479704|65.53409434|-28.45564196|70.12529157|-21.33157831|0.444668211|588.2800507999999|-1109.242072|2169.226845|0.297264929|8.157552588|14.6895113|0.800725296|201.7850124|-752.9594081|30.3550786|0.0216014629999999|1578.4640869999998|684.5377542|14.66318798|1.0|1.0|1.0|1.0|1.0|3.42|27.0|-9.21|3.87|4.31|85.59|1.73|124.05|0.0|6.0|-4.65|5.0|-6.61|-4.68|2.25e-05|0.00945|2.1e-05|3.18|0.0|6.1e-10|2.56e-07|5.0577|4.98|3.6496|-1368.321775|696.57|245.14|541.27|-0.15281|0.03153544|-1368.1368730000002|143.0|6.8447|6.8447
18a_a25|0.0|0|0|0|0.0|0.0|1|6.842683282|0|0|1.875390684|-0.151473962|4.727387819|-0.019008377|2|0.038167849|0.062229409|-0.170732995|0.007643634|-0.018419483|10.31286118|-0.019985937|-0.06333068|2|0.7385460309999999|-0.035531959|0.792935475|0.7291583840000001|1|-0.055926422|-0.078181889|0.341320954|-37.07961488|-51.83514755|-0.03097773|-34.36707071|0.0|-24.58404782|59.45091020000001|-20.53845469|0.493301255|617.676232|-1088.538099|2331.966135|0.182927961|7.39539242|14.59524518|0.973559258|121.2825364|-721.7084848|25.136651|0.011486699|1332.242503|759.4953883|7.615762647|1.0|1.0|1.0|1.0|1.0|3.5|27.0|-9.78|5.89|5.72|87.72|2.88|133.85|0.0|6.0|-6.33|3.0|-5.58|-5.77|4.65e-07|0.000202|1.71e-06|4.76|0.0|1.67e-10|7.28e-08|5.4965|4.51|3.1711|-1675.2501519999998|694.17|225.57|556.26|-0.15732|0.02456497|-1675.04368|94.0|7.0269|7.0269
3k_a32|0.0|1|1|1|3.644417045|0.0|0|7.97831097|0|1|0.0|-0.001009768|5.973809612|-0.001250803|0|0.0381981979999999|-0.047167919|-0.270019022|0.001221534|-0.0902541999999999|10.31100271|-0.077097565|-0.090775221|0|0.779649252|-0.129124455|0.8306695270000001|0.7681279190000001|1|-0.0711378679999999|-0.090839907|0.31016741|-40.10830541|-51.21653025|-0.029575784|-28.87643819|0.0|-22.61349991|58.16707081|-16.67514938|0.472646737|494.8840288|-717.0314235000001|1970.06814|0.21942773|6.153598893|11.6688363|0.89626209|123.7157466|-404.2701347|21.36272325|0.012327787|918.5970998|506.658189|6.9505405620000005|1.0|1.0|1.0|1.0|1.0|3.47|19.0|-7.23|7.12|5.78|110.94|2.41|105.36|0.0|3.0|-7.04|3.0|-5.01|-5.61|9.16e-08|3.3600000000000004e-05|2.47e-06|4.97|0.0|5.86e-08|2.15e-05|3.5363|3.81|3.5363|-1750.1383649999998|611.65|350.6|452.36|-0.14667|0.02654958|-1750.0122420000002|9.0|8.0605|8.0605
7f_a10|0.0|0|0|0|0.0|-4.8022906380000006|1|7.535296702|1|1|1.924772416|0.103083789|5.4161004020000005|-0.2347037789999999|2|0.037386831|-0.104120245|-0.5663456689999999|0.00189949|-0.000498274|10.92948443|-0.0971900919999999|-0.172751862|2|0.796084921|-0.137271684|0.8499946070000001|0.5209683970000001|1|-0.064238302|-0.095196098|0.7359022890000001|-35.78096407|-53.02456669|-0.03645808|-29.53487321|0.3440879|-19.93012491|60.16185231|-20.30728086|0.402568457|519.0013298|-954.4422004|2375.702381|0.178213448|6.115784565|10.23679556|0.6738319429999999|99.26552746|-531.6277179|24.71113795|0.012813716|1161.423484|527.8079877|7.137285626000001|1.0|0.0|1.0|1.0|0.0|3.37|21.0|-8.13|5.07|6.57|52.83|2.64|106.77|0.0|4.0|-5.54|7.0|-5.47|-5.6|2.9e-06|0.00119|2.52e-06|4.7|0.0|7.38e-09|3.03e-06|5.7757|4.93|3.6256|-1442.200124|597.28|214.67|426.07|-0.15627|0.01616879|-1442.058773|141.0|6.8508|6.8508
15a_a10|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1|2.141907675|-0.214195114|5.4161004020000005|0.022297552|2|0.033912037|-0.125297206|-0.144512841|0.011418154|-0.060539141|10.92966696|-0.062038567|-0.285973309|2|0.77630271|-0.1074837719999999|0.820233357|0.713078124|1|-0.0458501609999999|-0.076864276|0.754451037|-29.50952422|-49.47045259|-0.025155581|-31.83957238|122.7715002|-18.99256188|60.98047923|-16.19032994|0.407638879|588.9895149|-890.4681466|2413.560937|0.323526799|6.71451044|11.33516398|0.68815941|208.2243923|-573.1123029|23.93343877|0.017883602|1316.339132|697.5493042|11.51002664|0.0|1.0|1.0|1.0|0.0|3.5|21.0|-7.79|3.95|4.05|56.07|1.93|118.92|0.0|6.0|-3.97|5.0|-6.52|-4.4|0.000108|0.0432|3.94e-05|3.12|0.0|1.63e-08|6.51e-06|5.7646|2.4|3.7639|-1278.4225210000002|687.57|215.08|563.27|-0.1559299999999999|0.02976259|-1278.200428|24.0|7.6198|7.6198
17c_a50|0.0|0|1|1|0.0|0.0|2|7.934155233999999|2|2|4.349159921|-0.212075666|5.82008293|0.024219848|2|0.031870748|0.021572081|-0.1766179239999999|0.01130519|-0.144763835|10.94500663|-0.120904775|-0.373205592|1|0.774994313|-0.212611846|0.816442883|0.728169863|1|-0.051905615|-0.073693343|0.446454378|-35.70979598|-50.69922125|-0.021745577|-34.87982686|94.15397246|-24.567468100000003|66.7258111|-14.96042594|0.49503436|617.2509739|-912.5859825|2014.72331|0.430249571|8.310163601000001|16.45688922|0.98033276|296.00120400000003|-627.8368834|26.25785813|0.0232952879999999|1601.729346|849.1345426000001|16.02658985|0.0|1.0|1.0|1.0|0.0|4.12|20.0|-6.79|3.59|3.53|61.0|1.91|134.28|0.0|6.0|-3.8|5.0|-6.96|-4.43|0.000158|0.0698|3.75e-05|2.86|0.0|1.6100000000000005e-07|7.08e-05|4.2397|2.74|4.0432|-1411.157813|746.5|292.44|596.23|-0.16697|0.02957871|-1410.902767|69.0|7.1612|7.1612
