molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|nFaHRing|RASA|PBF|PNSA3|PPSA3|RPSA|WPSA3|FNSA2|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|CYP2C19 inhibitor|P-gp substrate|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
12y_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|0.604984019|0.0|-0.005996863|5.351858133|-0.037335306|2|0.044197531|0.0|-0.353814891|0.00604028|0.061944378|-0.058184644|0.006346396|-0.153680104|-0.053700437|-0.4579359229999999|1|0.842068099|0.768409873|-0.095969764|0.8146529229999999|0|0.8489185109999999|0.374181804|-47.598277|10.05775555|0.151081489|6.751850651|-1.91621895|-23.38859815|57.65603256|0.445723724|569.8856940000001|2411.415644|-15.70095045|8.067590558|14.55517927|0.804154433|120.7628216|-863.552275|0.012362508|-429.782246|1.0|1.0|0.0|0.21|-7.38|4.87|3.23|2.0|0.0|137.21|1.0|-6.04|4.0|-5.64|426.54|0.0|0.0|0.0|0.00039|3.48e-06|0.00148|4.6|0.0|0.0|4.12e-08|-0.05065|5.1973|4.45|-1654.382468|728.75|1227.82|0.2173|238.56|585.59|0.6864399999999999|-1654.125015|-0.1475|4.7043|-0.19815|0.0311422|5.1209|7.6576|7.6576
12ab_a36|0.0|1|0|0|3.458948649|0.0|0|7.412764017000001|2|1.297042596|0.0|-0.007034881|5.351858133|0.000258844|2|0.039951691|0.0|-0.408023082|0.000939229|-0.032623802|-0.029080933|0.002112069|0.0618552579999999|-0.096853381|-0.4186639029999999|1|0.86559137|0.831136366|-0.051707317|0.888163057|0|0.8410557559999999|0.452078227|-54.63243106|16.62527454|0.158944244|11.46782191|-1.805481415|-23.06276515|71.2577056|0.484987413|580.1454645|2390.849902|-15.90828969|7.821826146|15.18764075|0.941700118|221.4026852|-859.0476432|0.024384271|-246.9770378|1.0|1.0|0.0|0.17|-7.05|3.14|1.95|1.0|0.0|133.27|1.0|-3.92|5.0|-7.21|420.47|0.0|0.0|0.0|0.0503|0.000122|0.0515|2.33|0.0|0.0|8.95e-08|-0.0523799999999999|3.8845|3.23|-1364.468283|712.73|1201.64|0.4451|319.17|564.58|0.69294|-1364.236757|-0.15699|3.6976|-0.2093699999999999|0.04167456|5.3228|7.9586|7.9586
12d_a31|0.0|1|0|0|3.441384322|0.0|0|7.765993078999999|1|0.61013528|0.0|-0.012448252|5.733341277|-0.043220149|0|0.0359583329999999|0.0|-0.697102094|-0.002456634|-0.085780934|-0.032270224|0.000127275|-0.067477864|-0.134504227|-0.550805937|0|0.8066174070000001|0.8343242820000001|-0.057226679|0.873955169|0|0.7054497479999999|0.3996192999999999|-66.58534562|21.06095035|0.294550252|14.93891054|-1.724762406|-23.08311261|87.64629597|0.389382761|500.3881827|2434.226776|-16.37326657|9.445278138|15.46841054|0.63768714|256.5143096|-867.7831284|0.02571268|-196.2893506|1.0|1.0|3.9|0.38|-7.63|6.04|4.09|2.0|0.0|112.97|1.0|-5.61|5.0|-6.36|412.51|0.0|0.0|1.0|0.0010199999999999|4.06e-05|0.0167|3.46|0.0|0.0|2.3500000000000002e-08|-0.03128|3.8477|5.0|-1657.428467|730.86|1201.63|0.2566|322.23|626.33|0.7006600000000001|-1657.1792779999998|-0.15968|2.4186|-0.19096|0.04338158|3.3585|6.2924|6.2924
11a_a31|0.0|1|0|0|2.856083711|0.0|0|7.773594467000001|1|0.610138462|0.0|-0.02376325|5.733341277|-0.259732443|0|0.044949495|0.0|-0.8792402579999999|-0.022093578|-0.1217573119999999|-0.019865299|-0.017433557|-0.149933348|-0.1068420919999999|-0.563537536|0|0.861302755|0.8433024170000001|-0.030335912|0.910334509|0|0.486754956|0.271818874|-76.64827023|20.91187076|0.513245044|10.55399384|-1.932331673|-28.68314085|97.560141|0.451795285|245.6599349|1769.346573|-14.47606937|5.791411901|10.5643234|0.8241360790000001|133.6139513|-492.1863586|0.031626337|-237.4612264|0.0|0.0|2.16|0.13|-4.65|3.93|2.94|0.0|0.0|83.12|2.0|-4.81|6.0|-6.51|329.33|0.0|0.0|1.0|0.00506|0.000161|0.0531|2.53|0.0|0.0|2.22e-05|-0.05074|3.8042|3.97|-1441.411622|529.63|860.74|0.2797|325.92|407.76|0.69222|-1441.327731|-0.15515|6.4691|-0.20589|0.04099365|8.9667|6.7212|6.7212
7g_a8|0.0|1|0|0|3.095238804|0.0|1|7.535296702|1|1.39137419|1.336155045|-0.01002363|5.4161004020000005|-0.067360394|0|0.0448526079999999|0.0|-0.481134236|-0.00087806|-0.027838247|-0.027717137|0.0002620309999999|-0.065174707|0.021974492|-0.418049442|0|0.627990269|0.7363841520000001|-0.044866536|0.79995525|0|0.699376143|0.306360885|-64.55562181|19.08352484|0.300623857|11.43714084|-2.020168201|-27.51653399|83.63914665|0.470618047|419.1502102|2079.55195|-16.4912131|7.588498875|14.3346384|0.8889952590000001|115.825531|-725.6133762000001|0.018613449|-367.6690814|1.0|1.0|3.32|0.04|-7.91|4.94|4.66|2.0|0.0|108.0|1.0|-5.78|5.0|-5.63|399.37|0.0|0.0|1.0|0.000667|3.59e-06|0.00143|4.38|0.0|0.0|1.23e-08|-0.06621|3.7874|6.26|-1374.4533210000002|620.67|1053.9|0.5165|327.36|507.78|0.62073|-1374.291597|-0.15508|10.1546|-0.22129|0.03974865|12.9547|4.6772|4.6772
12a_a5|0.0|1|0|0|2.981252568|0.0|0|7.139660336|1|1.338814635|0.0|-0.00166971|5.209486153|0.043132749|2|0.023108466|0.0|-0.09350376|0.00873078|-0.114419442|-0.032601907|0.008649556|-0.006024869|-0.057691345|-0.175245466|2|0.762866363|0.779533861|-0.063558439|0.829536345|0|0.894590896|0.337539208|-36.01436435|5.032443973|0.105409104|3.0925714930000003|-1.353602454|-15.99663329|41.04680832|0.457755771|549.7500455|899.5599904|-9.830359239|8.741980056000001|16.12184989|0.844187448|155.6073368|-511.1786804|0.014342828|-303.31208710000004|0.0|1.0|2.96|0.21|-8.83|5.12|4.26|1.0|0.0|119.38|1.0|-4.27|4.0|-6.23|381.47|0.0|1.0|0.0|0.0205|2.56e-05|0.00977|3.38|0.0|0.0|1.4800000000000003e-09|-0.04076|4.6865|2.91|-1201.990542|667.31|1140.24|0.4794|264.55|508.81|0.67169|-1201.750315|-0.17152|2.5642|-0.21228|0.03567816|3.9457|7.7212|7.7212
13c_a5|0.0|1|0|0|2.944180713|0.0|0|6.605297921|1|1.377702625|0.0|-0.005082338|4.59511985|-0.0090268969999999|3|0.024822695|0.0|-0.284610951|0.005288472|-0.098760742|-0.018055556|0.006110714|-0.017427549|-0.092592608|-0.324868153|2|0.705487111|0.770478689|-0.033833834|0.822789227|0|0.80019672|0.4148662979999999|-50.97293525|15.25960958|0.19980328|10.06137448|-1.302049531|-16.50965711|66.23254483|0.46617977|527.6071331999999|1235.709541|-10.8855893|8.492261628|15.90846721|0.873289814|295.8302846|-566.0506435|0.0302745689999999|-67.68621352|0.0|1.0|2.58|0.17|-8.09|4.23|3.29|1.0|0.0|120.88|1.0|-3.55|5.0|-7.28|411.46|0.0|0.0|1.0|0.1169999999999999|0.000109|0.0446|2.15|0.0|0.0|8.170000000000001e-09|-0.05615|4706.0|3.99|-1351.2369640000002|676.53|1153.36|509.0|263.46|513.33|0.51479|-1351.008469|-0.17324|2.3276|-0.22939|0.03747691|2.9732|6.9101|6.9101
8a_a8|0.0|1|0|0|3.150966553|0.0|1|7.535296702|1|1.400027874|1.4114120369999998|-0.014658222|5.4161004020000005|-0.1950388569999999|1|0.040243056|0.0|-0.732911106|-0.0075336219999999|0.010118884|-0.0298924089999999|-0.005306541|0.044579097|0.055198015|-0.5028388229999999|1|0.76592324|0.762577159|-0.048064085|0.8220300859999999|0|0.550829475|0.22299265|-78.93428863|20.58762475|0.449170525|12.33026525|-2.256502762|-29.37948733|99.52191337|0.481294455|329.9007832|1746.6927010000002|-17.59585557|7.533378788999999|14.52342059|0.927876056|141.2206861|-809.4093564|0.025786572|-316.4749864|0.0|1.0|2.64|0.05|-6.76|3.13|2.72|1.0|0.0|109.21|1.0|-4.4|5.0|-7.04|400.39|0.0|0.0|0.0|16.0|7.28e-05|0.0292|2.4|0.0|0.0|1.74e-07|-0.06922|4.6017|6.1|-1367.744724|620.68|1061.5|0.2035|269.43|476.69|0.7036899999999999|-1367.539526|-0.13015|5.4201|-0.19937|0.03213899|6.8427|4.9454|4.9454
A7701_a51|0.0|1|0|0|2.9690728930000003|0.0|0|6.605297921|0|1.390164251|0.0|-0.002377784|4.59511985|-0.0162614089999999|2|0.031405229|2.087643036|-0.0927335619999999|0.008062393|0.058290286|-0.0299823629999999|0.00740235|0.119725261|0.036217274|-0.22798944|2|0.7078647990000001|0.7451039290000001|-0.0533751959999999|0.8092075540000001|1|0.865114773|0.514530959|-32.97926236|3.420720075|0.134885227|1.580362387|-1.09384371|-14.03756956|36.39998243|0.420350923|399.6804233|1108.114062|-6.485314917999999|5.137516673|8.863149921|0.7251817340000001|92.83996262|-233.4713371|0.012504214|-276.3170672|1.0|1.0|2.05|0.06|-7.58|4.46|4.0|0.0|0.0|87.52|1.0|-3.95|3.0|-5.82|286.33|0.0|1.0|1.0|0.0319|6.790000000000001e-05|0.0195|3.14|0.0|0.0|2.62e-08|||||||||||||||||7.6021|7.6021
12i_a36|0.0|1|0|0|3.27619957|-4.787087299|0|7.412764017000001|2|1.2401347459999998|0.0|-0.016027043|5.351858133|-0.29543904|2|0.0438779959999999|0.0|-0.929568494|-0.011700732|0.128325344|-0.009876543|-0.007897954|0.135587069|-0.1187503719999999|-0.608318386|1|0.647732719|0.820041835|-0.01509434|0.87043328|0|0.830964232|0.332782117|-54.81607619|12.71877085|0.169035768|8.195085212|-2.46592234|-29.42347522|67.53484704|0.460246812|535.4151566|2351.232652|-18.95842684|7.549683919|13.98728916|0.8526986440000001|148.7565508|-1023.755049|0.022430221|-346.8168661|1.0|1.0|0.0|0.17|-7.14|3.31|4.04|2.0|0.0|130.43|1.0|-5.2|8.0|-6.4|465.43|0.0|0.0|0.0|0.00291|8.6e-06|4.0|3.86|0.0|0.0|7.24e-08|-0.05065|5.2297|4.86|-1645.171438|666.79|1172.5|0.5402|237.08|504.47|0.70134|-1644.954647|-0.1541|5.1836|-0.20475|0.03165678|6.6124|7.9208|7.9208
47g_a18|0.0|0|0|0|0.0|0.0|0|7.03438793|1|1.251175676|0.0|-0.005817448|4.844187086|-0.034211867|0|0.031179487|0.0|-0.477030713|0.0036509859999999|0.033759227|-0.008224928|0.00531392|-0.071877686|-0.264839041|-0.4138670829999999|0|0.765824398|0.750610215|-0.014370598|0.780474694|0|0.834424154|0.413435809|-55.35188184|11.37505183|0.165575846|9.653129118|-2.307753726|-24.79003275|66.72693367|0.4913566339999999|708.1114197|2268.439188|-21.03738872|10.33698377|20.32265524|0.966014041|227.5405903|-1661.953709|0.016259076|-393.5416883|1.0|1.0|0.0|0.34|-9.22|3.22|3.6|3.0|2.0|164.47|1.0|-6.11|4.0|-6.4|541.68|0.0|0.0|0.0|0.000421|3.01e-06|0.00163|4.52|1.0|1.0|6.04e-10|-0.04413|3.0965|8.13|-1743.346243|905.71|1604.37|0.5955|400.4|874.26|0.69828|-1742.7686640000002|-0.12789|4966.0|-0.17202|0.02960182|5.9864|8.0458|8.0458
13d_a5 (GW788388)|0.0|1|0|0|2.945204608|0.0|0|6.605297921|1|1.236844097|0.0|-0.005668173|4.59511985|-0.009710199|3|0.027375887|0.0|-0.33442223|0.002956745|-0.086484275|0.024793388|0.003668464|-0.14893897|-0.010147323|-0.3706975529999999|2|0.7333482170000001|0.78479342|0.047169811|0.834800344|0|0.774103723|0.54169129|-57.42492153|9.637686167|0.2258962769999999|6.374277851|-1.605106706|-19.30187193|67.0626077|0.488398052|511.985152|1377.863026|-12.76608229|8.077599766|15.788837|0.954644629|218.7999323|-702.1345259999999|0.022041749|-223.7910275|0.0|1.0|2.74|0.2|-8.84|4.56|4.11|1.0|0.0|121.68|1.0|-4.35|5.0|-6.94|425.48|0.0|0.0|1.0|0.0189|4.5e-05|0.0192|2.75|0.0|0.0|1.45e-09|-0.05542|4.6091|3.81|-1390.548362|707.09|1206.73|0.5251|269.0|532.01|0.48848|-1390.294368|-0.17299|2.4867|-0.22841|0.04130059|3355.0|7.7447|7.7447
12e_a36|0.0|1|0|0|3.490984269|0.0|0|7.412764017000001|2|1.29704412|0.0|-0.007100632|5.351858133|-0.043085717|2|0.040899471|0.0|-0.404736007|0.002951176|-0.0586405829999999|-0.084051264|0.003962098|0.244642918|-0.104118159|-0.43688276|1|0.90414347|0.7975411790000001|-0.144846626|0.847602953|0|0.838086387|0.4347714629999999|-44.83739063|12.12502373|0.161913613|7.71202397|-1.918786459|-23.02695694|56.96241436|0.466721981|533.058116|2309.239105|-14.64611103|6.767371321000001|12.69013737|0.875194483|151.9654247|-776.2438847|0.017716522|-332.11111980000004|1.0|1.0|0.0|0.17|-6.97|3.24|2.19|1.0|0.0|128.72|1.0|-4.16|4.0|-6.55|395.46|0.0|1.0|0.0|0.0274|5.05e-05|0.02|3.04|0.0|0.0|1.08e-07|-0.04962|3.8364|3.48|-1272.23645|673.57|1142.19|0.4537|323.18|507.03|0.70007|-1271.999945|-0.15189|6.5974|-0.20151|0.03037051|8735.0|7.8539|7.8539
13b_a50|0.0|0|1|1|0.0|0.0|2|7.934155233999999|2|1.267593379|4.253030728|-0.003876697|5.82008293|0.010464577|2|0.032833333|2.117002752|-0.263615417|0.010435712|-0.042022102|-0.054716607|0.011379776|-0.03182432|-0.173463805|-0.319215353|1|0.749187803|0.788327682|-0.097736369|0.828965118|1|0.906164013|0.435064196|-36.81915624|14.22401427|0.093835987|10.16729727|-1.696498291|-19.24847021|51.04317051|0.4321103879999999|647.7242444|2147.355856|-13.75876844|9.514897025|16.75483549|0.7609056040000001|214.1461224|-866.8024118999999|0.017277404|-286.5057775|1.0|1.0|4.17|0.37|-7.23|4.24|5.12|2.0|0.0|133.36|1.0|-5.02|5.0|-6.3|455.55|0.0|0.0|0.0|0.0044|7.92e-06|0.00361|3.91|0.0|0.0|5.87e-08|-0.02606|4.2315|3.63|-1470.3699789999998|780.4|1339.39|0.1589|293.0|617.26|0.63872|-1470.039226|-0.1701599999999999|5.5271|-0.19622|0.03156473|7.1645|5.7375|5.7375
12bc_a36|0.0|1|0|0|3.43846811|0.0|0|7.412764017000001|2|1.284647662|0.0|-0.007661816|5.351858133|-0.042515909|2|0.04625323|0.0|-0.413738077|-0.001012333|-0.079009683|-0.027636036|-0.00097037|0.115647623|-0.101451485|-0.442519304|1|0.884841888|0.836170906|-0.045186455|0.892249657|0|0.834305498|0.326764696|-51.87437401|12.2593899|0.165694502|8.238431664|-1.927943855|-25.91194805|64.13376391|0.467645467|560.6615736|2623.395239|-17.41308622|8.273766079|15.54183457|0.878447423|153.57572439999998|-870.6543108999999|0.017847333|-364.8584744|1.0|1.0|0.0|0.14|-7.76|3.99|3.19|2.0|0.0|133.77|1.0|-5.08|4.0|-6.26|450.32|0.0|1.0|1.0|0.00372|6.55e-06|0.00295|3.93|0.0|0.0|1.74e-08|-0.05828|5.2189|4.42|-2152.100551|705.12|1188.37|0.7456|237.57|563.76|0.69094|-2151.9100780000003|-0.15671|6.5854|-0.21499|0.03419831|9.2445|8.0969|8.0969
5g_a40|0.0|0|0|0|0.0|0.0|1|8.149890544|0|0.604913142|1.534673091|-0.016033575|6.167516491000001|-0.190406197|0|0.044946237|0.64025463|-0.5611751220000001|-0.012794054|0.122088541|-0.091116241|-0.012008571|-0.104356485|0.07917206|-0.4748772539999999|0|0.795454476|0.818555255|-0.1312278909999999|0.882781953|1|0.67772744|0.245639795|-72.93994279|11.83520323|0.32227256|5.616992201|-1.577227413|-23.39227384|84.77514603|0.488538966|321.64971460000004|593.8133184|-11.10198254|6.193485364|12.10939827|0.955183157|120.8573152|-355.2634413|0.025660198|-232.8857705|0.0|1.0|1.96|0.21|-2.89|2.69|2.5|0.0|1.0|78.2|3.0|-4.24|5.0|-6.6|301.32|0.0|0.0|1.0|0.0174|0.000426|128.0|2.17|0.0|0.0|0.0013|-0.0540299999999999|3.48|4.02|-1328.015099|489.04|800.98|261.0|356.27|367.19|0.6563|-1327.9345529999998|-0.14505|4.9132|-0.19908|0.04070345|6.7957|6.9101|6.9101
12b_a40|0.0|0|0|0|0.0|0.0|1|7.515889085|0|0.604989475|1.713497417|-0.004650218|5.4161004020000005|-0.011794908|0|0.04020202|0.747253086|-0.158107422|0.00779293|0.107454819|-0.1537981269999999|0.004452418|0.279216571|0.023952313|-0.513870527|0|0.58925219|0.7137941109999999|-0.227384615|0.7818091140000001|1|0.955647156|0.2160572999999999|-37.05091872|6.17734692|0.044352844|3.518538455|-1.048903063|-19.27231874|43.22826564|0.494842289|544.3244990000001|860.5059425000001|-10.97726831|8.132984007000001|16.09989085|0.979579799|81.54797734|-340.29531769999994|0.010309671|-406.4913617|0.0|1.0|3.87|0.0|-8.39|6.58|6.74|2.0|0.0|101.78|1.0|-7.71|2.0|-4.09|415.12|1.0|0.0|1.0|8.09e-06|7.82e-08|3.2500000000000004e-05|6.68|0.0|1.0|4.08e-09|-0.08279|3407.0|6.27|-3016.9868100000003|576.38|960.94|306.0|363.91|490.5|0.69476|-3016.927883|-0.14267|4.5528|-0.22546|0.01251873|6.3131|7.3979|7.3979
2_a27|0.0|0|0|0|0.0|0.0|2|6.605297921|0|1.402655014|3.250529415|-0.0065894809999999|4.59511985|-0.0609613559999999|2|0.0427777779999999|1.267636369|-0.276758209|0.009338889|0.11675125|0.017751479|0.00988756|-0.337316432|-0.21066171|-0.475677812|2|0.639024713|0.796022385|0.027777778|0.8585302370000001|1|0.8468699609999999|0.408120957|-29.42169804|9.972342226|0.153130039|5.020172886|-1.141195033|-14.73047548|39.39404027|0.4424192289999999|426.3224749|1270.627585|-7.415462877|5.312170441|9.527176544|0.7934621359999999|166.89932209999998|-289.2030522|0.022639983|-169.6109632|0.0|0.0|3.06|0.11|-5.84|2.43|2.49|0.0|0.0|92.58|2.0|-3.19|4.0|-6.69|317.34|0.0|1.0|1.0|204.0|0.0002009999999999|0.0638|2.18|0.0|0.0|1.45e-06|-0.04933|4.1624|4.32|-1043.7984|538.57|906.48|0.3217|297.87|420.7|0.55857|-1043.665151|-0.16769|4.7049|-0.21702|0.02268519|6.8854|7.8861|7.8861
28_a47|0.0|0|1|1|0.0|0.0|1|6.842683282|0|1.4201653580000002|1.408016295|-0.009689834|4.727387819|-0.23494583|2|0.038387534|1.121067445|-0.436042548|-0.013020816|-0.00496711|0.0467853809999999|-0.010153352|0.06536499|-0.046265509|-0.435485503|2|0.635684951|0.832144916|0.074217097|0.896193695|1|0.605349345|0.310094808|-67.33744077|15.50250691|0.394650655|9.214964819|-1.601689367|-22.66839387|82.83994768|0.472690874|359.8303775|1337.037733|-13.47449501|7.864990866|14.91533234|0.8964208090000001|206.7032519|-565.9287905|0.031626405|-181.0112167|0.0|1.0|2.03|0.05|-6.92|2.49|3.84|1.0|0.0|99.2|1.0|-3.67|6.0|-7.22|380.35|0.0|0.0|1.0|0.0816|0.000217|0.0824|1.97|0.0|0.0|1.2099999999999998e-07|-0.05471|3675.0|3.51|-1335.722248|599.88|995.5|0.2996|337.37|461.73|0.69002|-1335.571655|-0.15049|6.0847|-0.2052|0.03698465|8.17|7.6|7.6
7_a47|0.0|0|0|0|0.0|0.0|0|0.0|0|1.304326965|0.0|-0.008206422|0.0|-0.143650735|2|0.04030303|1.303301032|-0.3939082339999999|-0.0091074509999999|-0.085507035|-0.0781924059999999|-0.00794321|-0.262805289|-0.021071408|-0.46105149|2|0.6995252890000001|0.817389583|-0.124285418|0.8755534909999999|1|0.8473227320000001|0.427432212|-45.82735481|5.027768049|0.152677268|2.8353037860000003|-1.631279045|-20.44278719|50.85512286|0.405265781|477.8297898|1968.695833|-11.52827882|6.485224033|10.90440708|0.681423344|103.2106353|-518.7725468|0.0130514639999999|-357.5076454|1.0|1.0|3.14|0.09|-9.45|5.63|6.52|2.0|0.0|111.28|1.0|-6.47|4.0|-4.8|393.84|1.0|0.0|1.0|0.000134|8.75e-07|0.000345|5.49|0.0|0.0|3.52e-10|-0.05297|3.7203|5.08|-1647.963177|604.84|1043.33|0.2144|333.26|455.81|0.69314|-1647.7863539999998|-0.1544|3406.0|-0.2073699999999999|0.03348545|4.4255|7.6|7.6
20_a31|0.0|1|1|1|3.3852303|0.0|0|7.765993078999999|0|0.609420757|0.0|-0.009722467|5.733341277|-0.057200812|0|0.03995614|2.114008068|-0.476400874|-0.003484915|-0.020082435|-0.078213611|-0.001662219|-0.023477148|-0.0852122769999999|-0.594513619|0|0.788133615|0.8602874540000001|-0.131662689|0.912372776|1|0.7954270659999999|0.246878555|-53.79798102|12.1160662|0.2045729339999999|7.592555532|-1.542737604|-21.01650877|65.91404723|0.464597945|498.4558574|1758.762093|-13.1700345|8.289864307|15.48343758|0.86775525|181.2859728|-605.8215871|0.019624081|-264.0799235|1.0|1.0|2.74|0.26|-7.65|6.49|4.38|1.0|0.0|110.47|1.0|-5.91|4.0|-6.39|397.52|1.0|0.0|1.0|0.000493|3.66e-05|0.0146|3.29|0.0|0.0|2.23e-08|-0.06065|3.5381|4.78|-1880.734655|666.67|1113.19|0.2011|350.43|560.67|0.7036600000000001|-1880.538664|-0.1483|3.7403|-0.20895|0.0336943|4.9218|8.0862|8.0862
15a_a10|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1.34383719|2.141907675|-0.00244937|5.4161004020000005|0.022297552|2|0.033912037|2.038992189|-0.144512841|0.011418154|-0.060539141|-0.062038567|0.01192767|-0.19937094|-0.179723568|-0.188634555|2|0.7408341359999999|0.77630271|-0.1074837719999999|0.820233357|1|0.915137224|0.754451037|-29.50952422|10.10411407|0.084862776|6.503087289|-1.3835569680000002|-16.19032994|39.61363829|0.407638879|588.9895149|2413.560937|-10.42022369|6.71451044|11.33516398|0.68815941|208.2243923|-573.1123029|0.017883602|-227.1590805|0.0|1.0|3.58|0.29|-7.79|3.95|4.05|1.0|0.0|118.92|1.0|-3.97|5.0|-6.52|399.49|0.0|1.0|1.0|0.0432|3.94e-05|0.0157|3.12|0.0|0.0|1.63e-08|-0.04742|5.7646|2.4|-1278.4225210000002|687.57|1179.28|0.3558|215.08|563.27|0.68863|-1278.141052|-0.1559299999999999|4.7512|-0.20335|0.02976259|6.1108|7.6198|7.6198
17g_a50|0.0|0|1|1|0.0|0.0|2|7.934155233999999|2|1.320916184|4.377239517|-0.002050512|5.82008293|0.052557574|2|0.029160757|2.236579664|-0.13328325|0.012079|-0.022378911|-0.1155555559999999|0.01245647|-0.090386911|-0.200725906|-0.213708251|1|0.754575205|0.738521694|-0.2126789369999999|0.7787714459999999|1|0.920663175|0.442201795|-32.14758511|9.710172008|0.079336825|6.48022912|-1.555134042|-17.29736764|41.85775712|0.467997084|614.4183967|1975.996014|-11.54365807|8.130878433|15.28352231|0.879688945|166.8756987|-692.6194843|0.013645282|-333.6136209|0.0|1.0|3.66|0.35|-6.96|3.71|4.37|2.0|0.0|133.03|1.0|-4.46|4.0|-6.28|424.54|0.0|1.0|0.0|0.0148|1.39e-05|0.0059|3.68|0.0|0.0|1.1e-07|-0.0323|4.0458|3.22|-1335.946919|725.92|1259.05|0.1795|306.45|559.45|0.6623600000000001|-1335.631756|-0.16699|7.0584|-0.19929|0.02957267|9.1706|6.6091|6.6091
14p_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|0|1.197963748|3.3252287430000003|-0.005975594|5.351858133|0.006191846|2|0.045165485|0.733042138|-0.310730878|0.009895793|-0.060144819|-0.053921569|0.009266617|0.080581604|-0.0686282459999999|-0.4510651779999999|2|0.708395022|0.799506006|-0.090287278|0.8683808959999999|1|0.923455749|0.223758613|-42.52653933|14.91710363|0.076544251|10.06403753|-1.615689464|-22.70933393|57.44364296|0.464933687|623.0226425|2170.5738260000003|-15.32117727|9.014073839|16.84664803|0.868927227|167.5607773|-735.4165088|0.0190667019999999|-339.5427625|0.0|1.0|3.28|0.04|-7.47|3.4|3.89|1.0|1.0|125.0|1.0|-5.68|5.0|-6.62|436.49|0.0|0.0|0.0|0.0009109999999999|1.27e-05|0.00554|3.3|0.0|0.0|3.39e-08|-0.09046|3.5752|3.29|-1722.152257|699.61|1191.08|0.3802|346.79|573.24|0.6816|-1721.933314|-0.14774|7.4033|-0.2382|0.02935511|9986.0|8.5302|8.5302
9b_a36|0.0|1|0|0|3.513187594|0.0|0|7.412764017000001|2|0.62670079|0.0|-0.0058276019999999|5.351858133|-0.023369916|2|0.040166667|0.0|-0.308862918|0.005050384|-0.077361324|-0.06502499|0.005458948|0.146828453|-0.053309522|-0.4060950789999999|1|0.8421237309999999|0.7885597609999999|-0.1177413269999999|0.842671963|0|0.8453794609999999|0.2602997|-46.58565720000001|10.68084402|0.154620539|6.707514535|-1.769430355|-22.67740953|57.26650122|0.453252346|530.8939077|2464.2160510000003|-14.24129533|7.549264797|13.80758516|0.828997331|136.63774650000002|-697.8234711|0.015872498|-354.7193098|1.0|1.0|0.0|0.14|-6.64|3.6|2.76|1.0|0.0|126.17|1.0|-4.6|4.0|-6.46|398.48|0.0|0.0|0.0|0.00992|3.71e-05|0.0148|3.2|0.0|0.0|2.3100000000000002e-07|-0.05146|3.8535|3.82|-1575.751975|666.01|1127.85|0.5392|321.74|514.45|0.69763|-1575.557248|-0.15833|6.2846|-0.20979|0.02803905|8.4288|7.6778|7.6778
