molecula|NaaNH|SaaNH|SRW09|nAHRing|nARing|MATS2c|AATSC1c|JGI4|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|MATS1i|AATSC1i|MATS1c|MATS8d|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PNSA5|RNCS|RPSA|TPSA_x|WNSA5|RPCS|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|TASA|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|PPSA1|WNSA2|FPSA5|Mor01p|PPSA5|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
14p_a23|0|0.0|7.423568444|0|0|0.044380583|-0.005975594|0.045165485|0.733042138|-0.310730878|0.009895793|10.31321773|-0.053921569|0.009266617|-0.0686282459999999|-0.131709531|-0.4510651779999999|-0.090287278|0.8683808959999999|0.669357479|0.923455749|-0.063033628|-0.080784473|-54.50240143|40.58186569|0.076544251|51.64167457|-36.77082544|84.65359899|-1.615689464|67.36602512|-22.70933393|57.44364296|3010.721939|623.0226425|2170.5738260000003|-15.32117727|9.014073839|16.84664803|167.5607773|-735.4165088|0.0190667019999999|646.2584547|12.86362369|0.0|1.0|1.0|3.28|0.04|-7.47|3.4|128.81|2.39|1.0|1.0|125.0|0.0|5.0|-5.68|32.0|5.0|0.0|0.0|3.25|2.09e-06|0.0009109999999999|1.27e-05|0.0|0.0|1.4800000000000002e-05|-0.09046|3.29|-1722.152257|699.61|1191.08|573.24|0.6816|0.6816|-1721.933314|0.3802|-0.14774|7.4033|0.02935511|-1721.994023|3.0|8.5302|8.5302
19e_a38|1|3.376977671|7.412764017000001|2|2|-0.082311936|-0.007550899|0.04508642|0.0|-0.4379521229999999|-0.001197042|10.94917392|-0.038386106|0.000347207|-0.091460175|-0.191751024|-0.436305701|-0.064035403|0.89459881|0.700181525|0.776562593|-0.083623427|-0.10214405|-68.82539051|118.734325|0.223437407|150.553721|-46.37503972|16.39385667|-2.042881001|82.37885703|-25.49088538|70.62168376|2920.436229|523.2534216|3426.997928|-17.17594064|6.596408983|12.34352977|168.99691289999998|-927.5007945|0.020114756|696.3887025|13.55346651|0.0|1.0|3.0|3.08|0.12|-7.28|4.03|81.23|2.75|2.0|0.0|135.78|0.0|6.0|-4.94|32.0|4.0|0.0|1.0|3.3|1.15e-05|0.0049|1.89e-05|0.0|0.0|2.25e-05|-0.05139|4.08|-1409.547647|685.34|1183.12|532.67|0.41961|0.58509|-1409.315831|0.3738|-0.15584|5.8426|0.03483011|-1409.37733|0.01|8.0083|8.0083
LY580276_a4|0|0.0|7.535296702|1|1|-0.156842923|-0.001543874|0.044357639|0.0|-0.063298854|0.010217376|10.94681614|0.011772853|0.009622161|-0.019747846|-0.042912895|-0.191806286|0.019144144|0.847526918|0.518109998|0.8685269959999999|-0.057317455|-0.071023484|-34.22831819|11.22286434|0.131473004|63.36073061|-16.49563923|82.46094409|-1.065352257|38.23432817|-13.51117823|31.83019528|1948.220005|418.5688558|1511.5340210000002|-6.511436537000001|5.456603642999999|9.693623538|73.32703409|-247.4345884|0.008312438|345.4102548|4.0060099860000005|1.0|1.0|0.0|3.04|0.22|-6.56|4.49|30.71|3.13|0.0|0.0|84.74|0.0|2.0|-3.67|22.0|3.0|1.0|1.0|3.69|0.000213|0.0624|6.18e-05|0.0|0.0|8.08e-05|-0.0225|3.64|-959.4723321|519.23|865.23|402.99|0.36903|0.68002|-959.356125|0.1842|-0.18746|2.5355|0.023546627|-959.404416|175.0|6757.0|6757.0
8a_a8|1|3.150966553|7.535296702|1|1|-0.021925912|-0.014658222|0.040243056|0.0|-0.732911106|-0.0075336219999999|10.94671414|-0.0298924089999999|-0.005306541|0.055198015|0.089375589|-0.5028388229999999|-0.048064085|0.8220300859999999|0.7318727540000001|0.550829475|-0.131795179|-0.118763303|-71.12928513|170.9592896|0.449170525|269.0155755|-42.60049244|84.91322996|-2.256502762|86.57328508|-29.37948733|99.52191337|2802.374154|329.9007832|1746.6927010000002|-17.59585557|7.533378788999999|14.52342059|141.2206861|-809.4093564|0.025786572|529.053307|15.44399996|0.0|0.0|2.0|2.64|0.05|-6.76|3.13|112.23|1.9|1.0|0.0|109.21|0.0|4.0|-4.4|30.0|5.0|0.0|0.0|2.56|3.99e-05|16.0|7.28e-05|0.0|0.0|6.96e-05|-0.06922|6.1|-1367.744724|620.68|1061.5|476.69|0.4927399999999999|0.7036899999999999|-1367.539526|0.1729|-0.13015|5.4201|0.03213899|-1367.595683|11.34|4.9454|4.9454
10_a15|0|0.0|0.0|0|0|-0.137104477|-0.006872984|0.037209302|0.0|-0.384887119|0.001740635|10.95972828|0.010152859|0.0034254209999999|-0.120626133|-0.184255041|-0.391156537|0.018211609|0.7585998270000001|0.7933685340000001|0.933136945|-0.052826735|-0.101494566|-59.05618983|6.497096666|0.066863055|38.90530741|-34.36276159|0.0|-1.928396745|65.80736417|-21.17108692|36.83936823|2605.82709|542.9602292000001|2305.991259|-12.31872585|5.555044294|10.08767698|98.81668286|-652.8924702|0.0116026369999999|673.7288405|6.751174337|1.0|1.0|1.0|3.64|0.12|-9.82|5.32|56.27|2.87|2.0|0.0|119.95|0.0|6.0|-6.22|30.0|4.0|0.0|1.0|4.69|5.99e-07|0.0002379999999999|1.47e-06|0.0|0.0|5.99e-08|-0.03581|5.16|-1281.061184|631.2|1136.48|487.16|0.66799|0.70313|-1280.804272|0.0042|-0.15377|1.6654|0.02738146|-1280.862627|7.0|8.1549|8.1549
12t_a30|0|0.0|7.412764017000001|2|2|0.073057637|-0.007755575|0.044197531|0.0|-0.411045472|-0.002544958|10.31162892|-0.04950715|-0.001131023|-0.0546637159999999|-0.145315868|-0.464720444|-0.080971844|0.889479916|0.591758164|0.696413582|-0.090535776|-0.1011561919999999|-65.79920855|88.42093081|0.303586418|197.4742794|-42.80050261|0.0|-1.82081145|78.8278828|-24.17113783|71.1605835|2976.648597|452.99711|2479.787504|-15.72263361|7.957774504|14.358001500000002|165.4110479|-770.409047|0.020029588|616.2856203|13.02867425|0.0|0.0|1.0|0.0|0.14|-7.16|4.67|81.65|3.58|2.0|0.0|127.19|0.0|5.0|-5.49|31.0|6.0|0.0|0.0|3.21|3.24e-06|0.00141|6.71e-06|0.0|0.0|3e-05|-0.05542|4.32|-1774.208418|677.85|1139.2|527.87|0.33647|0.6842600000000001|-1774.0165149999998|0.1561|-0.15029|2.6784|0.0337599|-1774.077985|9.0|8.0496|8.0496
18d_a30|0|0.0|7.412764017000001|2|2|0.041146136|-0.0072724869999999|0.040899471|0.0|-0.385441836|0.001139238|10.31163881|-0.087019298|0.002064369|-0.0541804029999999|-0.120380857|-0.4624430539999999|-0.149451598|0.870930234|0.64876559|0.803280262|-0.07812727|-0.103191184|-65.3088221|78.23108693|0.196719738|124.5022473|-41.33339749|0.0|-1.85744132|75.80070349|-23.99099587|60.73891035|2848.574353|508.389239|2894.162522|-15.18369704|7.063141946|12.69833771|137.15746130000002|-744.0011548|0.016577694|618.6004214|10.49188139|0.0|0.0|1.0|0.0|0.14|-6.9|4.25|81.65|3.2|2.0|0.0|127.24|0.0|5.0|-5.39|30.0|5.0|0.0|0.0|2.92|4.12e-06|0.00171|9.71e-06|0.0|0.0|5.260000000000001e-05|-0.05506|4.07|-1674.987709|669.66|1129.46|508.7|0.4325|0.69017|-1674.785879|0.3788|-0.14167|5.0115|0.03258724|-1674.8453470000002|21.0|7.6737|7.6737
1c_a5|1|2.955525321|6.605297921|0|0|-0.268536978|-0.001983746|0.0248765429999999|0.0|-0.085301064|0.008031558|10.9433337|-0.058823529|0.007357977|0.034752304|0.0578378779999999|-0.20172074|-0.109439124|0.821309592|0.6977404359999999|0.88631419|-0.068062282|-0.070346332|-35.99212225|160.5407184|0.11368581|58.16640976|-18.41507338|0.0|-1.12554131|43.86175561|-14.3968489|39.09545876|2105.8969850000003|453.4753671|873.709445|-7.366029352999999|6.063350238|11.580409800000002|126.3615674|-294.64117410000006|0.0153811389999999|409.0289917|7.869633359|1.0|1.0|1.0|2.09|0.05|-8.41|4.99|54.46|2.13|0.0|0.0|95.45|0.0|3.0|-4.25|24.0|3.0|1.0|1.0|3.43|5.5700000000000005e-05|0.0174|3.5600000000000005e-05|0.0|0.0|1.21e-06|-0.03965|3.17|-990.5931502|556.84|929.31|410.52|0.4444899999999999|0.53838|-990.467026|0.1076|-0.18719|1.7105|0.029157178|-990.516371|3981.0|5.4|5.4
16g_a32|1|3.363965155|7.765993078999999|0|0|0.1739995319999999|-0.013775701|0.03898374|2.084553994|-0.771439265|-0.002456725|10.31100263|0.004735761|-0.00030659|-0.117577419|-0.202656848|-0.696926204|0.008494733|0.8821580379999999|0.762429418|0.8206422409999999|-0.078387439|-0.105500574|-77.75914881|90.88837862|0.1793577589999999|132.1955522|-57.31234426|43.37912747|-1.79350976|94.54074206|-24.94161377|75.43482709|2833.521937|604.8539801|3497.469035|-18.38320476|9.3963701|15.58880229|231.1885989|-974.3098525|0.02276861|701.9321161|16.78159325|1.0|1.0|2.0|3.42|0.33|-8.16|6.81|149.27|1.57|3.0|0.0|121.56|1.0|10.0|-7.51|30.0|5.0|0.0|1.0|4.37|3.08e-08|1.36e-05|4.83e-06|0.0|0.0|3.04e-06|-0.05|5.38|-2034.593036|752.29|1245.25|639.49|0.70222|0.70222|-2034.342619|0.2879|-0.14968|3.7346|0.02895494|-2034.408165|11.0|7.9586|7.9586
14a_a5|1|2.948727373|6.605297921|1|1|-0.056730193|-0.0053665219999999|0.027375887|0.0|-0.316624785|0.002956745|10.9488747|0.024793388|0.003668464|-0.010147323|-0.016337128|-0.36152442|0.047169811|0.847379958|0.71006207|0.7909255559999999|-0.080875277|-0.078681402|-53.20786056|134.62273080000003|0.209074444|141.38542919999998|-35.98151967|55.04914434|-1.494946644|69.71575554|-18.38089729|66.43577392|2836.468636|534.8590069|1315.573182|-12.42997952|8.424031251|15.89694877|250.3569601|-683.6488737000001|0.024411136|723.0631751|16.50789498|1.0|1.0|2.0|2.41|0.2|-8.84|4.56|92.79|1.37|1.0|0.0|123.0|0.0|6.0|-4.15|32.0|5.0|0.0|1.0|3.05|7.15e-05|0.0304|6.02e-05|0.0|0.0|6.16e-07|-0.0507699999999999|4.3|-1390.546425|692.8|1195.01|508.64|0.65789|0.65789|-1390.29207|0.5853|-0.1676|2.7115|0.04629687|-1390.352729|112.0|6.9508|6.9508
