molecula|SddssS|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|FNSA1|WNSA3|DPSA5|PNSA4|GRAVp|TASA|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Zero Point Energy|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
3_a27|0.0|0|0|0.0|6.605297921|0|0|1.402697639|0.124551908|-0.00648099|4.59511985|2|1.177265999|-0.27868256|0.009082086|0.042659548|10.93782973|0.024154412|1|-0.1984716939999999|-0.341338963|-0.479874452|2|0.640545265|0.810053853|0.8759548629999999|0.610158103|1|-0.06145119|-0.086153958|0.397733752|-31.82136336|-44.61323499|9.960129259|0.137884078|-23.10213938|5.157668895|0.733853752|-16.47810502|54.32114618|-16.72996312|2294.213272|446.4308003|-8.663302268999999|0.266146248|11.64968556|0.803947133|-346.53209080000005|22.79740761|0.018747239|401.7540197|9.707911187|1.0|0.0|0.0|1.0|0.0|3.03|0.05|2.8|2.94|2.18|0.0|0.0|2.0|3.0|25.0|329.36|0.0|1.0|-3.99|0.0658|0.000103|0.0339|2.67|0.0|1.29e-06|0.000423|-0.05512|4.92|-1081.905135|-1081.88481|931.06|312.93|-1081.744053|2.7811|0.02032437|4.0|8.3979|8.3979
5_a4|0.0|0|0|0.0|7.535296702|1|1|1.343864516|-0.196773454|-0.001215982|5.4161004020000005|2|2.189593648|-0.0607990979999999|0.011630756|-0.050389825|10.92992834|-0.134215501|1|-0.0471580309999999|-0.076189222|-0.164263889|2|0.655087104|0.767615203|0.820886786|0.650346601|1|-0.050732198|-0.0681917309999999|0.431132276|-27.26045038|-36.64215945|4.324106888|0.056851498|-19.68930579|2.323516519|0.807351587|-14.64813624|41.76764149|-13.54166762|2282.291204|506.7916175|-7.276482574|0.192648413|9.823391314|0.7058248159999999|-334.71819839999995|16.77294978|0.009538616|518.5792364|5.125482045|1.0|1.0|1.0|1.0|0.0|3.27|0.23|4.89|4.67|2.88|0.0|0.0|1.0|3.0|26.0|340.42|0.0|1.0|-4.84|0.00925|1.4499999999999998e-05|0.0049299999999999|3.95|0.0|1.09e-08|3.71e-06|-0.04892|3.71|-1069.27374|-1069.251223|1013.0|308.12|-1069.051141|2.7859|0.02251645|71.0|7.1487|7.1487
12au_a36|-3.3109381210000004|0|0|0.0|7.412764017000001|2|2|0.2992539489999999|0.074839187|-0.009897048|5.351858133|2|0.0|-0.613616984|-0.006862238|-0.023640632|10.31810353|-0.03802163|1|-0.15024383|-0.261631709|-0.515924985|1|0.8183043390000001|0.825565083|0.877827228|0.750657639|0|-0.090166553|-0.110305773|0.284342092|-64.86748076|-79.35600767|15.51748637|0.301003019|-57.09017539|11.16356587|0.7160586109999999|-46.66686194|95.91776213|-27.36414058|3484.987058|502.8713191000001|-19.68626738|0.283941389|17.67586495|0.97188557|-1141.803508|38.21494522|0.023021031|805.2286932|16.56175445|0.0|0.0|1.0|0.0|3.0|5.0|0.17|1.28|2.15|0.84|0.0|0.0|1.0|7.0|34.0|474.54|0.0|0.0|-3.72|0.0668|0.0001889999999999|0.0897|1.64|0.0|1.36e-07|6.45e-05|-0.0570899999999999|6.24|-1876.207937|-1876.156196|1283.4|334.15|-1875.89525|6.1367|0.05174058|47.0|7.3279|7.3279
7e_a8|0.0|0|0|0.0|7.05012252|0|0|1.394799915|-0.150447714|-0.006027596|4.844187086|0|0.0|-0.289324602|0.0024398329999999|-0.11032771|10.94332434|-0.0446343779999999|1|0.034227147|0.07125309|-0.341022848|0|0.5897105770000001|0.732001738|0.790500031|0.577394732|0|-0.08608941|-0.0886889709999999|0.286669793|-51.4880895|-53.04282692|12.91806855|0.170843962|-31.72369068|7.725998682999999|0.776001552|-30.79383811|64.23177694|-22.39586026|2605.914474|495.8990914|-13.39444718|0.223998448|14.654025199999998|0.902163597|-602.7501229|28.86058693|0.018708212|519.5762494|11.18895001|1.0|0.0|0.0|0.0|1.0|3.2|0.04|5.16|4.94|3.54|0.0|0.0|1.0|4.0|29.0|385.39|0.0|1.0|-5.41|0.000686|3.87e-06|0.00149|4.54|0.0|5.07e-09|1.95e-06|-0.0697|6.32|-1300.495519|-1300.467069|1060.05|383.1|-1300.271093|9.0006|0.02845071|35.1|4.4547|4.4547
8j_a46|0.0|0|0|0.214753401|7.727094485|1|1|1.160371125|-0.13040237|-0.0017688329999999|5.533389489|2|0.0|-0.081366324|0.011852046|-0.174853546|10.96391738|-0.053618988|1|-0.084266433|-0.133413527|-0.229679821|2|0.645146311|0.789844634|0.837678812|0.6109926379999999|0|-0.054707287|-0.068971544|0.308052557|-29.38737046|-37.04976799|4.658562801|0.065351579|-19.90219786|2.5024620580000003|0.822112519|-15.7861518|41.80044861|-13.78596018|2121.846387|502.0694817|-7.405468973|0.177887481|9.817783823|0.747636856|-318.43516580000005|16.76894569|0.008843828|453.1959065|4.750680627|1.0|0.0|1.0|1.0|0.0|3.23|0.32|4.71|4.55|2.62|1.0|0.0|1.0|2.0|24.0|338.83|0.0|1.0|-4.83|0.00878|1.47e-05|0.00497|3.97|0.0|5.46e-08|1.85e-05|-0.04068|3.78|-1414.53151|-1414.50743|978.4|281.1|-1414.349865|5.2361|0.02408052|1228.0|5.9108|5.9108
9i_a24|0.0|0|0|0.0|7.153833802|0|0|1.4281889280000002|-0.113620183|-0.005148312|5.209486153|2|0.0|-0.190487553|0.004814196|-0.087363979|10.96661275|-0.00532872|2|-0.1818753839999999|-0.336939175|-0.32068769|2|0.783500303|0.822658951|0.898194715|0.73094562|0|-0.064657333|-0.069812876|0.379687415|-30.56504777|-33.00219474|11.87389334|0.173910636|-15.60091656|5.613069697999999|0.499238289|-14.44881966|51.05832236|-11.64783344|2061.729154|390.5119445|-5.506205845|0.500761711|11.18382556|0.8806627109999999|-187.2109987|23.33121014|0.038195951|295.8603625|18.05612763|1.0|1.0|1.0|1.0|1.0|2.76|0.0|2.42|2.72|0.67|0.0|0.0|1.0|3.0|22.0|288.31|0.0|0.0|-3.1|716.0|0.000791|228.0|1.48|0.0|8.95e-07|0.000258|-0.0473899999999999|1.13|-945.286637|-945.2626532|825.7|299.06|-945.174716|7.1135|0.0239838|88.0|7.0555|7.0555
13_a12|0.0|0|0|0.0|0.0|0|0|1.508548782|0.202052156|-0.0069874069999999|0.0|2|0.0|-0.272508888|0.000830398|-0.083760082|10.96083169|0.021322992|0|-0.169387652|-0.281096572|-0.595629719|2|0.845823047|0.6809340620000001|0.7300173240000001|0.804066411|0|-0.058167326|-0.092483398|0.122164874|-28.51381164|-45.33566159|4.01385817|0.09993609|-22.2236882|1.96760628|0.8829921740000001|-13.97756285|48.99243638|-17.15403411|1812.788134|441.2142447|-8.408963103|0.117007826|11.36787272|0.874625469|-311.13163480000003|19.42716439|0.0074597119999999|327.9594923|3.656774794|1.0|1.0|0.0|1.0|1.0|2.7|0.12|3.63|3.9|2.42|0.0|0.0|1.0|3.0|21.0|276.34|0.0|1.0|-4.2|0.0152|6.3e-05|0.0174|3.51|0.0|7.26e-08|2.01e-05|-0.04445|3.83|-876.3661620999999|-876.3370809|867.79|315.25|-876.209109|1.3023|0.0290811829999999|93.0|7.0315|7.0315
6a_a31|0.0|0|0|0.0|7.703007682000001|1|1|0.610184884|0.038376178|-0.01694403|5.6869753560000005|0|0.0|-0.779425376|-0.013930701|-0.0225412779999999|10.31170939|-0.026103465|2|0.0006473469999999|0.001117583|-0.568500407|0|0.848282918|0.784022685|0.848080284|0.803505125|0|-0.132158278|-0.126430958|0.259133072|-77.60012959|-74.23718620000001|20.08876284|0.42783832|-43.59027182|11.79563339|0.6927462990000001|-45.56491046|92.52963742|-26.51328079|2713.694431|335.9594356|-15.56795422|0.307253701|14.408653400000002|0.916923952|-653.8540772999999|38.27271371|0.031153284|479.200937|18.29245122|1.0|1.0|1.0|1.0|2.0|3.42|0.05|4.68|3.69|1.13|0.0|0.0|1.0|4.0|28.0|390.42|0.0|1.0|-4.34|0.00238|4.55e-05|0.0178|2.8|0.0|1.11e-07|4.3200000000000007e-05|-0.05563|4.03|-1613.34153|-1613.295461|1028.95|349.96|-1613.1416|7.7514|0.04606915|1.1|5.9586|5.9586
7d_a10|0.0|0|0|0.0|7.535296702|1|1|1.34384996|-0.117302383|-0.00179944|5.4161004020000005|2|1.591760572|-0.0845736919999999|0.00870171|-0.071185424|10.929819300000002|-0.0325418129999999|1|-0.041520889|-0.089622042|-0.2018053139999999|2|0.531023495|0.809056885|0.869684772|0.525816226|1|-0.059327943|-0.070901708|0.421731106|-31.47566249|-37.61597161|5.567989142999999|0.158947933|-19.95666068|2.9540236560000004|0.729585423|-16.69900016|45.08492005|-13.12185056|2348.343588|446.2091497|-6.961625817000001|0.270414577|11.82615475|0.938419104|-299.34991010000005|17.98535187|0.014078094|460.1866123|7.468948447000001|1.0|1.0|1.0|1.0|0.0|3.21|0.19|4.92|4.97|3.04|0.0|0.0|1.0|2.0|26.0|344.38|0.0|1.0|-4.72|0.0206|1.9e-05|0.00654|3.62|0.0|1.46e-08|5.04e-06|-0.05634|3.49|-1129.198363|-1129.175857|970.29|319.09|-1129.003694|3.0178|0.02250617|928.0|6.0325|6.0325
8d_a32|0.0|1|1|0.0|7.765993078999999|0|0|0.609420756|0.143684876|-0.010604502|5.733341277|0|2.146260246|-0.519620595|-0.006974711|-0.044765977|10.31100269|-0.0682721729999999|3|0.001558357|0.002805572|-0.629535754|0|0.825020753|0.825978584|0.875986707|0.789198712|1|-0.109612139|-0.109968322|0.261692269|-68.88621406|-69.11005922|10.01177286|0.2892958439999999|-43.43251025|6.291941176|0.708567136|-43.2918338|81.54594837|-21.03349629|2556.198518|446.6450457|-13.21859008|0.2914328639999999|15.29958432|0.887243042|-608.0551435|29.684549600000004|0.019788058|557.1050635|12.43588915|1.0|0.0|1.0|1.0|2.0|3.5|0.26|6.42|4.32|1.1|0.0|1.0|1.0|7.0|27.0|397.52|1.0|1.0|-4.36|0.000334|4.36e-05|0.0173|3.17|0.0|5.51e-08|2.19e-05|-0.0535|4.26|-1880.773727|-1880.733071|111.16|348.39|-1880.540067|1.0269|0.04065536|8.0|8.0809|8.0809
17e_a50|0.0|1|1|0.0|7.934155233999999|2|2|1.320916122|-0.153175103|-0.0020746479999999|5.82008293|2|2.2384546640000003|-0.141076059|0.012036705|-0.086639125|10.94500663|-0.114420412|2|-0.1949741189999999|-0.310566368|-0.229030473|1|0.7596299459999999|0.7409645029999999|0.7791604190000001|0.736221185|1|-0.046347299|-0.073011385|0.4239465089999999|-32.24487658|-50.7956915|8.950665784|0.069891795|-35.33972521|6.227183052000001|0.803671114|-22.43349867|57.93079973|-18.5444588|2883.936138|647.0975667|-12.90180444|0.196328886|16.70124474|0.960006062|-812.8136797000001|23.07468625|0.010255676|904.3172644|7.135108233|0.0|1.0|1.0|1.0|0.0|4.18|0.37|4.23|4.68|2.91|0.0|0.0|1.0|6.0|33.0|438.57|0.0|0.0|-5.18|0.00589|6.58e-06|0.00288|4.08|0.0|4.63e-08|2.03e-05|-0.03156|3.8|-1375.295877|-1375.268259|1312.91|307.67|-1374.927998|6.7175|0.02761851|155.0|6.8097|6.8097
12ac_a36|0.0|0|0|0.0|7.412764017000001|2|2|1.297043188|-0.050997272|-0.007639626|5.351858133|2|0.0|-0.450737917|0.000584134|-0.046730704|10.95345846|-0.0121300989999999|1|-0.098698552|-0.166354116|-0.433636165|1|0.8058720979999999|0.811459853|0.863165958|0.770400825|0|-0.080202334|-0.104391657|0.4712820929999999|-55.68500110000001|-72.4798052|14.93372351|0.220326632|-50.32319912|10.36858115|0.7316461470000001|-38.66245764|86.51036063|-25.03847816|2902.588755|541.3322795|-17.38437788|0.268353853|14.63702516|0.801074136|-956.1407834|34.22211444|0.020208014|716.9974499|14.03055543|1.0|0.0|1.0|0.0|2.0|4.86|0.17|3.16|2.09|1.59|0.0|0.0|1.0|6.0|32.0|423.47|0.0|0.0|-3.95|0.0653|0.000112|0.0476|2.36|0.0|1.29e-07|5.4600000000000006e-05|-0.0527399999999999|4.84|-1385.606133|-1385.566143|1200.61|321.25|-1385.3211789999998|4.0208|0.03998989|13.0|7.8861|7.8861
20b_a10|0.0|0|0|0.0|7.535296702|1|1|1.343837209|0.048567614|-0.007463406|5.4161004020000005|2|1.854149459|-0.447804373|0.001965496|-0.042013549|10.92966143|-0.013623188|1|0.019531637|0.031942481|-0.450145946|2|0.725009545|0.761071345|0.817426568|0.6980623109999999|1|-0.094975935|-0.088479815|0.6741049840000001|-60.68950774|-56.53849503|8.331370518|0.24740823|-36.12803002|5.323735696|0.7616213270000001|-38.78052212|67.46831286|-21.58742537|3085.433676|480.905232|-13.79433873|0.238378673|13.838742600000002|0.8317951020000001|-758.6886304|28.34404003|0.0171045989999999|769.1246171|10.92981783|1.0|1.0|1.0|1.0|1.0|3.54|0.11|4.23|5.0|2.41|0.0|0.0|1.0|5.0|34.0|447.49|0.0|1.0|-5.09|0.00271|8.13e-06|0.00364|3.52|0.0|1.1699999999999999e-09|5.26e-07|-0.0578399999999999|4.88|-1465.62724|-1465.587932|1218.74|317.8|-1465.333983|5725.0|0.03930765|1.1|5.9586|5.9586
12n_a30|0.0|0|0|0.0|7.412764017000001|2|2|0.604984682|0.0304762079999999|-0.007311044|5.351858133|2|0.0|-0.387485343|0.001139238|-0.037209579|10.31162898|-0.087019298|1|-0.0541804029999999|-0.120380857|-0.464204099|1|0.669561738|0.815003426|0.870930234|0.64876559|0|-0.083120674|-0.10528124|0.390449649|-52.4873066|-66.48079820000001|10.77573511|0.221849786|-41.97990569|6.804436105|0.799403208|-33.14358793|76.16725916|-24.42151771|2848.910641|491.3700419|-15.42118984|0.200596792|13.93957316|0.887350282|-755.6383024|30.54968688|0.0153398069999999|618.6004214|9.686460958|1.0|0.0|1.0|0.0|1.0|4.66|0.14|4.25|3.18|3.2|0.0|0.0|1.0|5.0|30.0|416.47|0.0|0.0|-5.01|0.00171|9.71e-06|0.00405|3.97|0.0|1.26e-07|5.260000000000001e-05|-0.05076|4.07|-1675.011418|-1674.978015|1131.65|355.67|-1674.777231|5.3143|0.0334036|0.01|7983.0|7983.0
2_a33|0.0|1|1|0.0|7.765993078999999|0|0|0.609420748|0.047294725|-0.009168933|5.733341277|0|2.112255684|-0.476784502|-0.002514803|0.070526947|10.31100266|-0.05997501|3|-0.083752249|-0.148024156|-0.593915758|0|0.787714775|0.833090592|0.8799816220000001|0.753434785|1|-0.0804186|-0.104047115|0.411881091|-49.13901703|-63.57699532|11.27469555|0.1804845889999999|-38.84811555|6.889294995|0.702597735|-30.02592687|75.44970552|-19.46234551|2632.195388|500.7570617|-11.89228027|0.297402265|11.60906093|0.8867875909999999|-582.7217333|27.70055258|0.019430318|618.9134881|11.8727102|1.0|0.0|1.0|1.0|2.0|3.57|0.3|6.7|4.63|1.33|0.0|1.0|1.0|7.0|28.0|411.54|1.0|1.0|-4.78|0.000183|1.6800000000000002e-05|0.0069|3.72|0.0|2.13e-08|8.78e-06|-0.04967|5.11|-1920.079174|-1920.049452|1128.98|341.74|-1919.830424|4.2519|0.02972182|6.0|8.2596|8.2596
12z_a36|0.0|0|0|0.0|7.412764017000001|2|2|1.297044126|-0.065211069|-0.007671785|5.351858133|2|0.0|-0.421948174|-0.000143196|-0.010881947|10.95429182|-0.030529442|1|-0.098598933|-0.175397741|-0.433580807|1|0.8707354620000001|0.826316772|0.886776351|0.8212311840000001|0|-0.081592361|-0.102674964|0.492335362|-54.11489962|-68.09761735|15.50078625|0.165209595|-45.16471514|10.28066212|0.712682362|-35.89088901|83.07227002|-24.03445318|2841.692299|553.6621150000001|-15.940487699999998|0.287317638|14.78435842|0.844286292|-812.9648725|33.72393432|0.0225782039999999|642.3830552000001|14.97465267|1.0|0.0|1.0|0.0|2.0|4.76|0.13|2.75|1.76|1.38|0.0|0.0|1.0|5.0|31.0|406.44|0.0|0.0|-3.95|0.0412|0.000113|0.0458|2.4|0.0|2.21e-07|8.97e-05|-0.05642|2.98|-1325.195958|-1325.157504|1153.7|318.16|-1324.951498|4814.0|0.03845474|5.0|8301.0|8301.0
14m_a23|0.0|1|1|-4.405643132|7.423568444|0|0|1.197955072|0.05521348|-0.008929306|5.351858133|2|0.665608656|-0.482182526|0.001027627|-0.034213923|10.3132176|-0.050626415|2|-0.07256543|-0.226146643|-0.527662006|2|0.560094237|0.798384929|0.8581143859999999|0.5415996160000001|1|-0.072795329|-0.089285878|0.268552591|-50.63012925|-62.09952738|12.51396625|0.0741882|-43.19105542|8.703631619|0.7958339090000001|-35.21393496|74.61692699|-27.32379205|3255.247038|643.9145427|-19.00406438|0.204166091|16.42895711|0.911438824|-950.2032192|34.33353583|0.017997351|658.8108151|12.51739962|1.0|0.0|1.0|1.0|1.0|3.51|0.09|4.42|6.19|3.82|1.0|0.0|1.0|6.0|34.0|479.48|1.0|0.0|-5.79|0.000198|1.61e-06|0.000773|4.46|0.0|5.94e-09|2.85e-06|-0.08347|4.2|-1966.968005|-1966.945041|1209.21|337.15|-1966.721362|6.1522|0.02296475|3.0|8.5171|8.5171
12ab_a30|0.0|0|0|0.0|7.412764017000001|2|2|0.604983638|-0.026189286|-0.008528077|5.351858133|2|0.0|-0.520212725|0.003529389|0.038312857|10.31162784|0.01563558|1|-0.12254489|-0.207153446|-0.384942092|1|0.8397577820000001|0.809127478|0.855880335|0.794193541|0|-0.082740301|-0.1008879709999999|0.4605456229999999|-58.23149599999999|-71.0035788|22.23130678|0.200246511|-49.97135112|15.64609074|0.603952976|-40.9825333|92.49334877|-22.42218278|3118.431712|562.8556061|-15.78042667|0.3960470239999999|15.6704374|0.856003642|-899.4843201|37.1257096|0.030534507|792.3440337000001|21.48976996|1.0|0.0|1.0|1.0|1.0|4.87|0.21|3.94|2.63|2.2|0.0|0.0|1.0|7.0|33.0|458.54|0.0|0.0|-5.0|0.00113|9.94e-06|0.00456|3.81|0.0|1.47e-07|6.720000000000001e-05|-49.0|3.34|-1804.824495|-1804.79081|1275.19|355.06|-1804.523449|6.9089|0.03368522|17.0|7.7825|7.7825
14ae_a23|0.0|1|1|0.0|7.423568444|0|0|1.1979624290000002|-0.033049777|-0.007539122|5.351858133|2|0.7338690390000001|-0.4448081789999999|0.008996289|-0.0174992419999999|10.31321689|0.0289586779999999|2|-0.143336826|-0.253318853|-0.363230717|2|0.7763406840000001|0.7830067820000001|0.8356326820000001|0.7317531540000001|1|-0.065169397|-0.087074783|0.202342743|-46.69131269|-62.38566188|24.84237243|0.127637949|-44.69687612|17.79858399|0.53040766|-33.45249142|87.09501229|-19.28284095|3212.850883|625.0131414|-13.81539807|0.46959234|15.59484379|0.919603093|-759.846894|36.35475577|0.034488074|770.8206617000001|24.70935041|0.0|0.0|1.0|1.0|1.0|3.74|0.12|3.48|4.03|2.42|1.0|0.0|1.0|7.0|34.0|471.53|0.0|0.0|-5.08|0.000753|8.22e-06|0.0038799999999999|3.52|0.0|2.49e-08|1.17e-05|-0.07122|2.99|-1858.967022|-1858.952529|1285.52|344.06|-1858.675325|7.0211|0.01449323|2.0|8.6038|8.6038
15a_a22|0.0|0|0|0.0|6.842683282|0|0|1.4229176680000002|-0.136588366|-0.0050042229999999|4.727387819|2|1.614660505|-0.280236463|0.005288335|-0.057308195|10.9464374|-0.015194063|1|-0.097476465|-0.165471815|-0.360663314|2|0.6819423609999999|0.7392451729999999|0.794858486|0.655865336|1|-0.061755825|-0.081705465|0.410151945|-41.92018177|-55.4621036|14.43653926|0.13335968|-37.6479704|9.799599501|0.702735071|-28.45564196|70.12529157|-21.33157831|2884.815511|588.2800507999999|-14.47998862|0.297264929|14.6895113|0.800725296|-752.9594081|30.3550786|0.0216014629999999|684.5377542|14.66318798|1.0|1.0|1.0|1.0|1.0|3.42|0.08|3.87|4.31|1.73|0.0|0.0|1.0|6.0|32.0|420.47|0.0|1.0|-4.68|0.00945|2.1e-05|0.00881|3.18|0.0|6.1e-10|2.56e-07|-0.0600399999999999|4.98|-1368.35331|-1368.321775|1189.31|339.72|-1368.0755869999998|5.2588|0.03153544|143.0|6.8447|6.8447
8e_a46|0.0|0|0|0.252655541|7.727094485|1|1|1.160371308|-0.205882192|-0.001015139|5.533389489|2|0.0|-0.046696417|0.012911107|-0.184317354|10.96411233|-0.016857659|1|-0.08488645|-0.135984209|-0.132524216|2|0.669602597|0.789844634|0.837678812|0.668786636|0|-0.053352779|-0.065982313|0.281227001|-27.16690715|-33.59778824|4.876083942|0.078647648|-17.10778729|2.482871976|0.7492419109999999|-13.83322216|39.62167507|-11.72015869|1982.950764|469.146955|-5.967832774|0.2507580889999999|9.911785304|0.8008066970000001|-256.61680930000006|15.64268965|0.011830243|426.71841|6.023886838999999|0.0|1.0|1.0|1.0|0.0|3.21|0.32|4.09|3.9|2.13|0.0|0.0|1.0|2.0|23.0|304.39|0.0|1.0|-4.04|0.0782|9.15e-05|0.0279|3.01|0.0|2.16e-07|6.57e-05|-0.03175|3.0|-954.9296396|-954.9056294|933.3|274.96|-954.743261|3.2194|0.024010215|406.0|6.3915|6.3915
8e_a12|0.0|1|1|0.0|6.803505258|1|1|1.283834633|0.050021617|-0.006350143|4.727387819|2|2.197856963|-0.330207456|0.005196034|-0.087658302|10.94458094|-0.0309579439999999|1|-0.079913108|-0.136145064|-0.448676455|1|0.83954453|0.761892879|0.815412281|0.797199175|1|-0.05202522|-0.087795345|0.001151979|-29.79080011|-50.273571200000006|8.884082475|0.060372083|-28.78776717|5.0872236|0.7112578709999999|-17.05887601|61.4656313|-17.80522313|2548.979738|538.051884|-10.19566754|0.2887421289999999|11.80358346|0.830990262|-489.392042|25.03342862|0.019545275|561.9859171|11.19206011|1.0|1.0|1.0|1.0|1.0|4.11|0.14|3.34|2.68|3.05|0.0|0.0|1.0|3.0|28.0|366.42|0.0|1.0|-4.69|0.0156|2.03e-05|0.00744|3.53|0.0|1.19e-08|4.34e-06|-0.05739|3.45|-1177.619013|-1177.593205|1048.44|375.21|-1177.380602|1.0295|0.02580783|588.0|6.2306|6.2306
12ah_a36|0.0|0|0|0.0|7.412764017000001|2|2|1.297013411|-0.050415481|-0.007648622|5.351858133|2|0.0|-0.41302559|0.0005016269999999|-0.083956827|10.95983779|-0.050147748|1|-0.103922055|-0.177407665|-0.444563583|1|0.8941919290000001|0.835013502|0.8910146309999999|0.8065052890000001|0|-0.0758457179999999|-0.1059368909999999|0.271553945|-49.0084977|-68.45222166|11.93961081|0.171594725|-44.23111357|7.714903458999999|0.768906425|-31.66734951|80.02464883|-24.6427998|2786.56479|535.2826672|-15.92320089|0.231093575|15.54445187|0.8802726820000001|-796.1600443|32.04915319|0.017909528|629.5017194000001|11.57242717|1.0|0.0|1.0|0.0|2.0|4.73|0.14|3.35|2.54|2.51|0.0|0.0|1.0|5.0|30.0|415.88|0.0|1.0|-4.59|0.0151|2.55e-05|0.0106|3.31|0.0|6.65e-08|2.77e-05|-0.05637|3.79|-1692.545871|-1692.512868|1148.39|328.07|-1692.3109559999998|5.4979|0.03300341|11.0|7.9586|7.9586
8g_a8|0.0|0|0|0.0|7.535296702|1|1|1.39137364|-0.000475415|-0.014340328|5.4161004020000005|0|0.0|-0.731356723|-0.009140059|-0.025002199|10.94318883|-0.03728368|1|0.0794962979999999|0.162134281|-0.508072694|0|0.6784762320000001|0.734188081|0.790058057|0.656457444|0|-0.136742629|-0.129695841|0.298992226|-83.78686741|-79.46906035|19.06725815|0.466064505|-48.6934008|11.68315869|0.8330608209999999|-51.33906829|90.27531534|-32.12579035|2889.141422|327.1604688|-19.68456628|0.166939179|14.28792131|0.920192814|-925.1746152|38.56355928|0.017636126|551.1746801|10.80625499|0.0|0.0|1.0|0.0|2.0|3.31|0.04|4.11|3.89|3.01|0.0|0.0|1.0|4.0|31.0|417.39|0.0|0.0|-4.94|0.00209|1.16e-05|0.00483|3.53|0.0|4.01e-08|1.67e-05|-0.05849|7.17|-1450.9549470000002|-1450.913472|1083.78|330.67|-1450.728709|6.0697|0.04147516|4.2|5.3768|5.3768
4e_a46|-3.742323661|0|0|0.092094405|7.825245291|1|1|0.300205548|0.1369980459999999|-0.005995748|5.587248657999999|2|0.0|-0.4017151029999999|-0.001404912|-0.058626723|10.31928077|-0.05803828|1|-0.030065705|-0.049530834|-0.514537262|2|0.738134189|0.77019676|0.8146060740000001|0.69063113|0|-0.0835371459999999|-0.084780904|0.68427144|-63.39469142|-64.33855433|8.098142567|0.246284959|-48.825259|6.145520557|0.7951078540000001|-48.10898007|73.87174786|-23.48867857|3411.457836|571.9794684|-17.82509456|0.204892146|15.06943449|0.905854609|-1122.980957|29.54149986|0.0125621839999999|942.2127953|9.533193534|1.0|0.0|1.0|1.0|2.0|4.5|0.27|3.05|5.93|2.06|0.0|0.0|1.0|5.0|35.0|488.6|1.0|0.0|-5.41|0.000405|3.92e-06|0.00191|3.78|0.0|1.56e-09|7.64e-07|-0.03893|8.03|-1884.613031|-1884.564974|1343.97|296.81|-1884.255802|1.9941|0.04805633|154.0|6.8125|6.8125
28_a34|0.0|0|0|0.0|7.423568444|1|1|1.454781307|0.000561166|-0.016942875|5.351858133|1|0.0|-0.6946578940000001|-0.012039484|-0.15803127|10.9595763|-0.0500053959999999|1|-0.189821204|-0.311884247|-0.5437894289999999|1|0.8318609690000001|0.798057295|0.8582665429999999|0.7829667309999999|0|-0.1306693569999999|-0.140864841|0.316156689|-66.89539627|-72.11491331|19.29162755|0.4540644379999999|-36.91879876|9.876233397|0.7298701059999999|-34.24669822|85.99382787|-24.6708914|2252.098123|279.4884473|-12.63011537|0.270129894|10.28760365|0.832642882|-479.9443839|33.80175623|0.0271102189999999|344.69029950000004|13.87891455|0.0|1.0|1.0|1.0|1.0|3.02|0.12|1.99|2.07|0.88|0.0|0.0|2.0|3.0|24.0|322.32|0.0|1.0|-3.25|172.0|0.000565|182.0|1.72|0.0|1.66e-05|0.00535|-0.03896|4.11|-1100.797628|-1100.760824|896.02|289.3|-1100.6525880000002|6.4596|0.03680411|3.82|5.4179|5.4179
