molecula|PNSA2|Wavelength (HOMO-LUMO transition) (nm)|Veber filter|Class [Log S (SILICOS-IT)]|Contribuition (max. transition)|Log S (Ali)|heavy_atom_count|GeomRadius|WNSA2|FNSA5|Gibbs Free Energy|AATSC1c|CYP2D6 inhibitor|MATS7i|P-gp substrate|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest_Unoccupied_Molecular_Orbital_Energy|AATSC1pe|pIC50
13_a1|-1054.729126|359.55|0.0|1.0|0.65363|-4.29|28.0|7.493979856|-613.3907313999999|-0.10668313|-1238.22919|-0.012199718|1.0|0.1129747169999999|1.0|4.24e-06|-0.04962|-0.005924486|6.585
14a_a25|-1160.842349|314.05|0.0|1.0|0.42461|-5.39|32.0|7.39139255|-762.0389362000001|-0.084207356|-1352.086073|-0.004483962|1.0|0.051906412|1.0|1.08e-07|-0.05083|0.006158124|6.684
4_a27|-611.8944548999999|300.29|0.0|1.0|0.36899|-3.57|25.0|6.01592535|-316.8125922|-0.078787867|-1083.01571|-0.006181204|0.0|-0.273119343|0.0|0.0002|-0.0449899999999999|0.010329671|8.3979
14b_a3|-642.0403962|403.54|0.0|1.0|0.70123|-4.45|23.0|4.989782639|-313.9702941|-0.100993354|-1327.398177|-0.009130444|1.0|-0.1551678719999999|1.0|4.08e-05|-0.06676|-0.004161699|6.4202
12a_a36|-1158.650972|338.0|0.0|1.0|0.67869|-3.79|29.0|6.600635115|-711.4630111|-0.104828755|-1232.764108|-0.007471648|0.0|0.078063311|1.0|9.78e-05|-0.04946|0.003199301|7.8861
14x_a23|-1060.780249|335.63|0.0|1.0|0.6757|-5.68|32.0|7.777802167999999|-703.0042792|-0.084244058|-1828.228912|-0.0065692219999999|0.0|0.05740118|1.0|5.23e-06|-0.08216|0.003906274|8.4949
1f_a5|-795.1314464|270.96|0.0|1.0|0.47267|-4.79|27.0|7.117418022000001|-443.4913802|-0.083857856|-1288.263745|-0.00645569|1.0|-0.118028278|1.0|4.86e-07|-0.05346|-0.000700145|6.6198
9s_a24|-592.2833757999999|464.24|0.0|1.0|0.69475|-3.36|30.0|9.124394347|-367.7851412|-0.063587778|-1270.796154|-0.003599664|1.0|-0.050919714|1.0|3.04e-06|-0.03597|0.007695726|7.4949
14n_a23|-1114.099858|362.35|0.0|1.0|0.6955|-5.63|32.0|8.662092555|-752.8921912999999|-0.082430028|-1744.244532|-0.0068536419999999|0.0|0.079559363|1.0|1.3699999999999998e-05|-0.06951|0.010508236|9.2441
2_a49|-605.2008985|331.24|0.0|1.0|0.34449|-3.53|25.0|5.667936413|-308.399629|-0.079176085|-1045.8595810000002|-0.004112807|1.0|-0.100166139|1.0|4.94e-05|-0.04372|0.004580676|7.2291
17_a12|-752.0117408|328.67|0.0|1.0|0.39539|-4.51|24.0|5.669161963|-391.8666299|-0.096209886|-1366.689546|-0.00864055|1.0|-0.210594127|0.0|2.32e-05|-0.06322|-0.000651751|7.7959
19_a47|-868.1332196000001|322.68|0.0|1.0|0.68924|-3.67|28.0|7.06969105|-480.9851737|-0.104459947|-1335.634976|-0.00973456|1.0|0.027033021|1.0|4.59e-05|-0.05326|-0.010153352|7.3
5_a27|-672.5307653|302.48|0.0|1.0|0.64548|-3.61|25.0|6.160679036|-354.41560810000004|-0.085078576|-1083.019748|-0.0063562359999999|0.0|-0.149034787|0.0|0.0002|-0.04554|0.010329671|8.5229
6_a47|-838.6054381|333.32|0.0|1.0|0.30468|-6.02|27.0|6.480620646|-454.5854048000001|-0.096689626|-1608.554019|-0.008723045|1.0|-0.14404966|1.0|3.310000000000001e-07|-0.05354|-0.0094242819999999|7.9
12s_a30|-1275.175837|350.75|0.0|1.0|0.43338|-5.49|31.0|8.066744794|-825.7139305|-0.103647048|-1774.072418|-0.007621736|0.0|-0.0601024909999999|1.0|3e-05|-0.0551|-0.001131023|8.129
8f_a12|-955.746511|339.35|0.0|1.0|0.59107|-5.7|27.0|7.016225129|-543.1216218999999|-0.098932601|-1481.008909|-0.008295703|1.0|-0.013400998|1.0|1.4e-06|-0.06179|-0.00094279|6.1898
12o_a30|-1192.099807|356.1|0.0|1.0|0.3493699999999999|-5.93|30.0|7.400912529|-767.0853252|-0.0975052409999999|-2035.199757|-0.0068750669999999|0.0|-0.089996613|1.0|2.61e-05|-0.05085|0.003603419|7.8097
5e_a40|-512.0224486000001|333.85|0.0|2.0|0.69675|-4.78|20.0|6.533857846|-243.4932098|-0.089724264|-1637.162552|-0.004925115|0.0|-0.106497535|0.0|0.00678|-0.07231|0.008306061|7.6021
19_a20|-1309.962269|368.83|0.0|1.0|0.6987399999999999|-4.89|32.0|7.950138729|-860.7113887|-0.099685049|-1368.190746|-0.0096278259999999|1.0|0.103271147|1.0|9.86e-08|-0.06767|-0.004654742|5.585
15a_a22|-1109.242072|339.72|0.0|1.0|0.41078|-4.65|32.0|8.157552588|-752.9594081|-0.081705465|-1368.1368730000002|-0.0050042229999999|1.0|0.021482585|1.0|2.56e-07|-0.0600399999999999|0.005757758|6.8447
4p_a46|-850.1003902999998|310.28|0.0|1.0|0.43709|-5.8|27.0|5.828038618|-482.1236438|-0.083274013|-1129.4459470000002|-0.004413243|0.0|-0.164311513|1.0|3.2e-05|-0.0393|0.004453195|6.4672
12ah_a36|-1232.13999|328.07|0.0|1.0|0.40051|-4.44|30.0|8.26712637|-796.1600443|-0.1059368909999999|-1692.369929|-0.007648622|0.0|0.078459408|1.0|2.77e-05|-0.05637|0.0010871589999999|7.9586
3c_a32|-533.7658031000001|352.54|0.0|1.0|0.7034600000000001|-6.18|22.0|5.605165488|-274.3961469|-0.0943910459999999|-1633.348356|-0.006923974|1.0|-0.0522536959999999|1.0|4.18e-05|-0.05487|0.00124359|8.0458
21a_a23|-1141.537112|335.16|0.0|1.0|0.60824|-5.89|31.0|7.950891003|-753.6064963|-0.082341001|-1669.0502720000002|-0.005708466|0.0|0.071115216|1.0|7.03e-06|-0.07243|0.01180744|6.9914
1j_a5|-600.2970524|300.89|0.0|1.0|0.66182|-4.03|25.0|7.328149934|-322.4414176|-0.074505844|-1065.723417|-0.003981454|1.0|-0.115553003|1.0|2.36e-06|-0.03832|0.006957291|7.6198
8_a27|-615.4582227000001|300.38|0.0|1.0|0.64893|-3.23|23.0|5.016799703|-293.2457951|-0.092265073|-1004.432889|-0.008444078|0.0|-0.14212377|0.0|0.000158|-0.05015|0.004801929|8.2218
5_a15|-1177.78105|341.96|0.0|1.0|0.62664|-6.16|33.0|7.795174584|-875.7848531999999|-0.0989946469999999|-1470.55517|-0.008878343|1.0|0.0729170329999999|1.0|9.970000000000001e-08|-0.03714|0.003194793|7.8861
12g_a30|-1402.261011|348.35|0.0|1.0|0.26238|-6.0|32.0|8.694447089|-950.3862054|-0.10344931|-1743.029147|-0.010447128|0.0|-0.037395048|1.0|0.000165|-0.0576|0.0026474159999999|8.0334
11d_a31|-1148.911798|326.2|0.0|1.0|703.0|-5.48|27.0|7.885647873|-703.3714074|-0.134048091|-1598.546288|-0.017317263|1.0|0.016799834|1.0|0.000225|-0.03404|-0.006496772|7.5229
7_a1|-568.3036318|306.1|0.0|2.0|0.69902|-3.16|23.0|5.07667644|-273.8080361|-0.098295453|-1009.398029|-0.010040172|1.0|-0.048878707|1.0|0.000698|-0.02433|0.004950534|6.3372
9a_a40|-528.6391483|373.53|0.0|1.0|0.47831|-5.49|21.0|6.749223592000001|-255.607578|-0.072887601|-1217.873686|-0.003680068|0.0|0.168990628|0.0|0.000117|-0.06495|0.011966382|6.6696
47j_a18|-1842.467041|399.25|1.0|1.0|0.6983600000000001|-5.83|37.0|9.597380968|-1433.2001369999998|-0.094744194|1625.053346|-0.007807275|1.0|-0.048528478|1.0|8.159999999999999e-07|-0.04423|0.002317206|7.4559
14a_a10|-922.2903058|326.1|0.0|1.0|0.34245|-4.21|35.0|10.0292632|-669.2555601|-0.070610745|-1489.487381|-0.002047597|1.0|0.027446544|1.0|3.07e-06|-46.0|0.012272222|7.1308
12av_a36|-1397.506828|360.39|0.0|1.0|0.43212|-3.54|33.0|8.975655204|-973.4610746|-0.105593135|-1440.738332|-0.009925128|0.0|0.06882889|1.0|5.18e-05|-0.05307|-0.000472698|7.4089
12be_a36|-1285.166936|370.25|0.0|1.0|0.40844|-4.11|33.0|8.773114043|-891.645944|-0.108962668|-1461.747501|-0.009368126|0.0|0.118420241|1.0|7.11e-05|-0.0518799999999999|0.002872872|7.3565
13i_a6|-1649.799665|348.14|0.0|1.0|0.7004600000000001|-5.03|32.0|8.294136887|-1105.989413|-0.129526268|-1426.332492|-0.0149593219999999|1.0|0.035242754|1.0|1.36e-06|-0.0481399999999999|-0.007703306|7.6778
21_a47|-860.2257893999999|316.53|0.0|1.0|0.68296|-4.44|29.0|7.071346534|-485.55711339999993|-0.095249919|-1374.914223|-0.010650348|1.0|-0.034419528|1.0|7.8e-06|-0.06339|-0.004332497|8.3
18d_a25|-1206.480411|340.69|0.0|0.0|0.41694|-6.26|35.0|9.479218984|-908.1047824|-0.076328248|-1806.582751|-0.0029605|1.0|-0.031867489|1.0|2.81e-08|-0.07287|0.0062422|6.6345
8f_a8|-1241.2005|355.5|0.0|1.0|0.55661|-5.21|29.0|7.504290616|-723.7808349999999|-0.1064257719999999|-1361.510739|-0.01032134|0.0|0.0587545909999999|0.0|4.43e-06|-0.0675299999999999|-0.007036544|4.6428
9_a15|-780.8954896|330.74|0.0|1.0|0.6512399999999999|-5.25|27.0|5.485176331|-435.5070329|-0.11668349|-1223.522216|-0.009923019|1.0|0.096418279|0.0|9.86e-06|-0.0258899999999999|0.003160815|6.9706
12_a15|-1082.780166|321.72|0.0|1.0|0.50595|-6.22|30.0|5.448223888999999|-691.376388|-0.094209248|-1280.871722|-0.006620824|1.0|-0.035728911|1.0|5.99e-08|-0.03196|0.0034254209999999|8.3979
19b_a38|-1291.149559|330.55|0.0|1.0|0.38952|-4.25|31.0|7.159317935|-801.3543933999999|-0.11557289|-1431.2418630000002|-0.008652352|0.0|0.013765516|1.0|3.19e-05|-0.05031|-0.004358975|7.9172
5_a4|-622.9167106000001|308.12|0.0|1.0|0.60407|-4.57|26.0|5.758733969|-334.71819839999995|-0.0681917309999999|-1069.102899|-0.001215982|1.0|0.012532807|1.0|3.71e-06|-0.04892|0.0111310589999999|7.1487
9a_a36|-1195.981615|320.56|0.0|1.0|0.68682|-3.71|29.0|7.546661564|-731.0766269999999|-0.10869601|-1252.636005|-0.007853595|0.0|0.095192109|1.0|0.0002009999999999|-0.05044|0.00484375|7.8861
1_a1 (SKF-104365)|-450.6467387|318.72|0.0|1.0|0.70081|-3.8|21.0|5.2735884010000005|-208.4377919|-0.081192283|-1279.017667|-0.006055958|1.0|-0.091086986|1.0|0.000295|-0.03482|0.002250781|5.7959
9b_a31|-1125.659849|322.58|0.0|1.0|0.41622|-4.76|27.0|8.097516252|-690.2394625|-0.131125311|-1578.665571|-0.0141390689999999|1.0|-0.045938305|1.0|5.520000000000001e-05|-0.0422899999999999|-0.001981487|7.2007
7f_a8|-950.3309426|356.17|0.0|1.0|0.7024199999999999|-5.68|28.0|7.704280774|-540.7116315000001|-0.08790841|-1285.071664|-0.005338193|0.0|0.034392285|0.0|1.31e-06|-0.07492|0.00084936|4.4479
12_a4|-753.6248824|325.57|0.0|1.0|0.63967|-4.18|29.0|6.223583758999999|-447.2420348|-0.074699711|-1617.634733|-0.0021497879999999|0.0|-0.0334644329999999|1.0|5.85e-06|-0.06898|0.009024784|5.032
7d_a10|-564.2395741|319.09|0.0|1.0|0.32059|-4.22|26.0|6.100927672|-299.34991010000005|-0.070901708|-1129.0552810000002|-0.00179944|1.0|-0.042667459|1.0|5.04e-06|-0.05634|0.008513576|6.0325
4c_a46|-1050.664428|302.21|0.0|1.0|0.42391|-5.55|29.0|7.172412106|-663.9676426|-0.087503927|-1245.176359|-0.005085922|0.0|-0.111750026|1.0|9.32e-06|-0.04381|0.010040825|5.6972
9b_a36|-1111.193067|321.74|0.0|1.0|0.69763|-4.6|29.0|7.549264797|-697.8234711|-0.098301686|-1575.616432|-0.0058276019999999|0.0|0.082806042|1.0|9.21e-05|-0.05146|0.005458948|7.6778
8_a1 (SB-202620)|-955.6189441|364.11|0.0|1.0|0.7026600000000001|-4.94|27.0|7.432247389|-542.1742393|-0.105271458|-1223.014114|-0.013785521|1.0|-0.0443137679999999|1.0|3.42e-06|-0.0736899999999999|-0.0106277489999999|6.3979
47i_a18|-1497.876758|383.61|0.0|1.0|0.69175|-5.18|33.0|9.573882864|-1043.251367|-0.089609068|-1415.944522|-0.006882626|1.0|-0.037689885|1.0|4.6e-07|-0.05062|0.000427479|7.7212
12b_a5|-735.3231872|857.76|0.0|1.0|0.42949|-2.3|30.0|8.398709622|-463.7323032|-0.068586754|-1276.9984029999998|-0.001991527|1.0|-0.021265946|1.0|8.5e-06|-0.10395|0.00751901|7.3768
12at_a36|-1455.649997|322.81|0.0|1.0|0.42968|-4.18|33.0|8.837213274|-1007.989912|-0.110637955|-1460.61293|-0.010886502|0.0|0.054794728|1.0|0.000106|-0.05703|0.000906224|7.1079
7h_a8|-969.8780597|315.62|0.0|1.0|0.6963199999999999|-5.68|28.0|7.589672923999999|-559.0612661|-0.0934764819999999|-1285.0707960000002|-0.00534208|0.0|-0.016074683|0.0|1.31e-06|-0.06799|0.00084936|4.9788
12aa_a36|-1523.677823|318.73|0.0|1.0|0.6931|-3.52|32.0|8.05947774|-1041.942197|-0.117270578|-1401.45065|-0.011588438|0.0|0.03597264|1.0|0.000305|-0.05111|-0.004569485|8.0458
4b_a46|-612.9404746|272.4|0.0|1.0|0.68682|-4.35|25.0|5.76401157|-334.31474760000003|-0.070236212|-1033.378455|-0.00113356|0.0|-0.082722572|1.0|2.12e-05|-0.02729|0.011806162|6.2612
16f_a32|-1230.764939|341.82|1.0|1.0|0.70204|-6.95|29.0|8.79158776|-851.7509977|-0.111152081|-1995.117771|-0.014558301|1.0|0.008658653|1.0|7.26e-06|-0.04997|-0.001202032|8.041
10_a1|-1052.827816|363.94|0.0|1.0|0.70345|-4.98|27.0|7.376231317999999|-595.4602985|-0.10949971|-1223.022387|-0.014135827|1.0|0.049971022|1.0|3.42e-06|-0.06802|-0.0106277489999999|5.8239
14b_a50|-1005.538915|304.07|0.0|1.0|0.55594|-4.6|33.0|6.3538844910000005|-659.347336|-0.076674952|-1430.7933859999998|-0.003935732|1.0|-0.068176984|1.0|6.12e-05|-0.02486|0.011249462|5.1818
14d_a23|-1083.255003|3688.0|0.0|1.0|8.1555|-5.85|31.0|7.832720777|-713.8033475|-0.078282292|-1669.045136|-0.005343003|0.0|0.03253552|1.0|7.03e-06|-0.0725799999999999|0.01180744|8.4001
8e_a46|-503.9668235|274.96|0.0|1.0|0.6967|-3.59|23.0|5.504080656|-256.61680930000006|-0.065982313|-954.793305|-0.001015139|1.0|-0.126773923|1.0|6.57e-05|-0.03175|0.0123581919999999|6.3915
17c_a50|-912.5859825|306.65|0.0|1.0|0.63122|-3.8|33.0|8.310163601000001|-627.8368834|-0.073693343|-1410.902767|-0.002676029|1.0|0.021572081|1.0|7.08e-05|-0.03121|0.012222674|7.1612
15a_a10|-890.4681466|329.41|0.0|1.0|0.47484|-3.97|30.0|6.71451044|-573.1123029|-0.076864276|-1278.200428|-0.00244937|1.0|-0.125297206|1.0|6.51e-06|-0.04742|0.01192767|7.6198
8d_a8|-1345.390391|376.13|0.0|1.0|0.62361|-4.91|32.0|7.507839835|-877.3916055999999|-0.103150936|-1447.354662|-0.0111144189999999|0.0|0.071729931|1.0|1.03e-05|-0.0600299999999999|-0.001038264|4.7303
3n_a32|-693.1839353999999|349.65|0.0|1.0|0.7028399999999999|-5.96|26.0|6.369579712999999|-398.5311469|-0.092745182|-1825.218291|-0.00615216|0.0|-0.056907012|1.0|4.19e-05|-0.05535|0.002379137|7.6778
12d_a30|-1217.656264|356.06|0.0|1.0|0.68608|-5.66|30.0|7.557073995|-786.6571918999999|-0.094239701|-1614.894406|-0.006335328|0.0|-0.092984185|1.0|4.02e-05|-0.05119|0.005965451|7.9508
15d_a10|-761.3695352999999|321.28|0.0|1.0|0.3685|-3.78|33.0|8.429169102000001|-513.0869954|-0.070612242|-1430.795367|-0.002831383|1.0|-0.059217023|1.0|6.62e-06|-0.05002|0.011249462|7.1612
25b_a34|-1378.143115|293.43|0.0|1.0|0.6925600000000001|-3.82|29.0|6.383564979|-860.6534206|-0.137924163|-1313.194808|-0.015658012|1.0|-0.150946163|1.0|0.00015|-0.03539|-0.000223677|5.6819
19j_a38|-1330.722303|336.13|0.0|1.0|0.30419|-4.35|32.0|7.506210369|-910.8612362|-0.108006563|-1424.24494|-0.007976154|0.0|0.105682345|1.0|5.14e-05|-0.06447|-0.002443797|8.1146
18_a34|-1003.122927|300.68|0.0|2.0|0.56101|-4.32|26.0|6.282442545|-553.8039936|-0.129784908|-1199.158044|-0.014733513|1.0|-0.100548575|0.0|0.000781|-0.03925|0.002183342|5.6144
4d_a49|-900.2167208999999|325.87|0.0|1.0|0.40593|-3.13|30.0|7.998287218|-554.5177292999999|-0.085966608|-1293.107454|-0.006135653|1.0|-0.090862681|1.0|1.05e-05|-0.06309|0.001356445|7.7447
13a_a30|-1532.183327|351.35|0.0|1.0|0.26119|-5.01|32.0|8.066980235|-1034.114779|-0.113507021|-1744.281248|-0.011002918|0.0|-0.036541822|1.0|0.000288|-0.0555|-0.002215642|7.8665
15c_a22|-1153.226049|337.46|0.0|1.0|0.30831|-4.86|34.0|8.626398368|-830.2910335|-0.080088202|-1460.387718|-0.005236206|1.0|-0.026986769|1.0|2.35e-07|-0.07399|0.004362505|6.1325
3d_a49|-984.1537446|318.67|0.0|1.0|0.3523699999999999|-5.19|28.0|6.612715522999999|-570.1024832|-0.094384452|-1594.435881|-0.003398408|0.0|-0.087308534|1.0|0.000278|-0.05766|-0.004253844|5.6308
19h_a38|-1166.336902|350.65|0.0|1.0|0.68472|-4.14|30.0|6.820483788|-687.1237247|-0.109986804|-1331.999352|-0.007781653|1.0|0.14165187|1.0|5.610000000000001e-05|-0.05708|-0.000673716|8.0348
12bh_a36|-1325.625342|341.97|0.0|1.0|0.69377|-4.54|31.0|7.545637217999999|-882.2230117|-0.09959401|-1311.356102|-0.006687484|0.0|0.001012669|1.0|1.86e-05|-0.0525299999999999|0.0045625|7.8539
12ao_a36|-1349.115973|356.86|0.0|1.0|0.4962|-4.58|31.0|8.769931502999999|-892.6355932|-0.1019516769999999|-1310.138396|-0.007081548|0.0|0.0895536619999999|1.0|3.94e-05|-0.05455|0.003724542|7.5229
8a_a50|-622.2739931|297.06|0.0|1.0|0.3462199999999999|-3.86|24.0|5.754657432|-313.6562159|-0.08230347|-1006.557694|-0.00439531|1.0|-0.0224366579999999|1.0|0.000151|-0.0280699999999999|0.007801731|7.3279
20_a4|-486.4496111|306.74|0.0|2.0|0.5152|-3.46|22.0|5.543543957000001|-234.1428169|-0.072188305|-934.150871|-0.003103385|1.0|-0.061689675|1.0|0.000806|-0.03048|0.012025268|6.1898
13b_a50|-1212.6536230000002|301.22|0.0|1.0|0.65332|-5.02|34.0|9.514897025|-866.8024118999999|-0.080785633|1470.104535|-0.003876697|1.0|-0.0204949039999999|1.0|2.68e-05|-0.02606|0.011379776|5.7375
8c_a32|-766.1178102000001|347.56|1.0|1.0|0.70135|-5.82|27.0|7.079719717000001|-463.1595384|-0.097480366|-1880.597039|-0.0093793719999999|1.0|-0.026467635|1.0|8.86e-06|-0.04161|-0.001662219|7.4318
9n_a24|-945.545726|302.2|0.0|1.0|0.44042|-4.14|29.0|8.232847909|-639.0250449|-0.0777274979999999|-1238.917278|-0.003323852|1.0|-0.141205159|1.0|8.909999999999999e-07|-0.03818|0.008809179|7.7212
8m_a46|-767.9706141|289.14|0.0|1.0|0.43001|-4.48|24.0|5.684332261000001|-407.1697745|-0.085204935|-1013.962913|-0.00517896|1.0|-0.134230003|1.0|0.000112|-0.01818|0.005865049|6.6402
1d_a5|-791.897671|268.88|0.0|1.0|0.41781|-4.79|27.0|6.116537519|-427.8712868|-0.086213657|-1288.253849|-0.006252818|1.0|-0.118028278|1.0|4.86e-07|-0.04528|-0.000700145|5.03
8d_a12|-978.6959108|331.53|0.0|1.0|0.6661|-4.58|27.0|6.93584319|-544.129679|-0.103548595|-1138.139635|-0.0076893469999999|1.0|0.0276482139999999|1.0|1.49e-06|-0.05488|0.001575111|7.6021
12p_a36|-1228.123041|323.11|0.0|1.0|0.30159|-3.89|30.0|7.546742977|-773.1468902|-0.108380023|-1332.006106|-0.008017607|0.0|0.114716581|1.0|5.58e-05|-0.0552299999999999|-0.000673716|8.0458
7e_a8|-1007.813711|383.1|0.0|1.0|0.6998300000000001|-5.75|29.0|7.70387217|-602.7501229|-0.0886889709999999|-1300.327213|-0.006027596|0.0|-0.03633378|0.0|1.95e-06|-0.0697|0.002669179|4.4547
8j_a46|-592.7962878|281.1|0.0|1.0|0.50703|-4.59|24.0|5.617748211|-318.43516580000005|-0.068971544|-1414.402087|-0.0017688329999999|0.0|-0.129276363|1.0|1.85e-05|-0.04068|0.0108603019999999|5.9108
3q_a32|-846.5047848999999|342.16|0.0|1.0|0.70216|-5.91|28.0|6.428518903|-522.4852655000001|-0.097961799|-1919.883144|-0.008072705|0.0|0.02785755|1.0|2.01e-05|-0.04968|0.002487149|7.5528
11a_a31|-975.2267888|325.92|0.0|2.0|0.69222|-4.81|23.0|5.791411901|-492.1863586|-0.161027639|-1441.37897|-0.02376325|0.0|-0.087576474|0.0|0.00731|-0.05074|-0.017433557|6.7212
19a_a22|-1468.267194|346.24|0.0|1.0|0.34556|-4.38|35.0|8.648671382|-1095.573288|-0.09370213|-1536.823574|-0.009145283|1.0|-0.020553065|1.0|8e-07|-0.06398|-0.001355145|7.3188
7f_a10|-954.4422004|341.96|0.0|1.0|0.34467|-5.54|30.0|6.115784565|-531.6277179|-0.095196098|-1442.058773|-0.011104817|0.0|-0.104120245|1.0|3.03e-06|-0.0613|0.0030999659999999|6.8508
2_a47|-714.8215685|333.46|0.0|1.0|0.69102|-5.46|24.0|5.308758149|-356.116445|-0.095655954|-1010.412694|-0.008527649|1.0|-0.004557357|1.0|4.73e-06|-0.05285|-0.006079384|6.2
11b_a5|-774.8021092|295.32|0.0|1.0|0.61027|-4.65|27.0|8.936258446|-465.13355250000006|-0.080664777|-1564.621301|-0.003900104|1.0|-0.067519041|1.0|2.68e-07|-0.0418399999999999|0.005685558|7.7212
12bc_a36|-1295.597402|320.4|0.0|1.0|0.35775|-5.08|31.0|8.273766079|-870.6543108999999|-0.107107992|-2151.971485|-0.007661816|0.0|0.068351685|1.0|7.83e-06|-0.05828|-0.00097037|8.0969
47n_a18|-2031.676741|387.11|1.0|1.0|0.6914600000000001|-6.02|40.0|10.43689152|-1676.556573|-0.091185806|-1740.663577|-0.007614955|1.0|0.017491759|1.0|9.44e-08|-0.0525299999999999|0.001705837|7.1938
11_a27|-852.6444161000001|499.21|0.0|1.0|0.6125|-3.68|26.0|5.231762955|-451.0062644|-0.094820973|-1122.242519|-0.0067474069999999|0.0|-0.080272515|1.0|0.000283|-0.05985|0.005111147|8.301
12w_a30|-1251.160641|348.42|0.0|1.0|0.31353|-6.58|31.0|8.063690539|-857.9327732|-0.096032733|-2494.807027|-0.007019432|0.0|-0.0999572419999999|1.0|7.39e-06|-0.05682|0.001805829|7.821
