molecula|SddssS|SaaNH|NaasN|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FPSA3|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|FPSA5|Mor01p|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
8e_a46|0.0|0.0|1|1|1.160371308|-0.205882192|-0.001015139|5.533389489|2|0.043238095|-0.126773923|-0.046696417|0.012911107|-0.184317354|-0.016857659|1|-0.203086023|-0.08488645|-0.135984209|-0.132524216|2|0.789844634|-0.241393458|-0.024620704|0.837678812|0.668786636|0.009576086|-27.16690715|-33.59778824|7.389496216|0.078647648|40.04689925|-0.023017086|-17.10778729|2.482871976|53.05984592|0.7492419109999999|-0.989734694|39.62167507|32.04299109|1982.950764|469.146955|-503.9668235|1415.320228|0.2507580889999999|5.504080656|0.8008066970000001|127.6844779|0.011830243|426.71841|0.0|1.0|1.0|3.21|17.0|-6.67|3.9|43.6|2.13|0.0|0.0|91.93|1.0|2.0|-3.59|-6.02|304.39|0.0|1.0|-4.04|0.0782|9.15e-05|3.01|6.57e-05|-0.03175|3.0|4.5092|-954.9056294|933.3|274.96|0.2162|-954.743261|0.2162|-0.18835|3.2194|0.024010215|3.7755|406.0|6.3915
8k_a46|-3.737070812|0.0|1|1|0.300205953|0.1436554669999999|-0.006208399|5.533389489|2|0.038616352|-0.061030265|-0.397337564|-0.002099764|-0.114070359|-0.038125|1|-0.1017929319999999|-0.030019362|-0.050069565|-0.510222233|2|0.786206898|0.095179795|-0.051289238|0.8341090329999999|0.687020939|0.009441365|-61.98124174|-61.95565276|104.0919365|0.261823161|187.86239430000003|-0.033099828|-44.45419269|4.860695117|19.34993627|0.8265691140000001|-1.985989657|70.036452|68.75557551|3351.548891|529.6539372999999|-1424.980013|2328.360804|0.173430886|8.070811215|0.975803904|124.4394929|0.0112621819999999|865.6610153999999|1.0|1.0|1.0|3.94|23.0|-8.66|5.37|124.17|1.86|1.0|0.0|132.47|1.0|5.0|-5.74|-6.75|474.58|0.0|0.0|-5.13|0.000866|7.47e-06|3.45|1.03e-06|-0.0398699999999999|7.63|4.1034|-1845.257085|1302.56|302.15|0.1354|-1844.970617|0.1166|-0.16967|3.4118|0.04718819|3.8107|147.0|6.8327
19a_a38|0.0|3.3685352889999995|0|2|1.297044508|-0.084389038|-0.007986407|5.351858133|2|0.043848238|0.054257043|-0.431265985|-0.002526241|-0.122385526|-0.077535135|1|0.116434494|-0.101303149|-0.217394466|-0.4342819429999999|1|0.819222745|0.031696119|-0.133130383|0.8741648479999999|0.698414933|0.022142322|-51.36166266|-64.73159672|137.2318698|0.252847102|151.1278869|-0.038988111|-38.69037594|7.910363161|0.0|0.744796537|-1.949405536|77.20795279999999|64.59623135|2774.129458|446.57675660000007|-1165.168741|2304.055966|0.255203463|6.923156054|0.872060139|152.5362948|0.020873781|595.8790650000001|1.0|1.0|1.0|4.83|17.0|-6.86|2.55|81.23|2.4|1.0|0.0|125.69|1.0|5.0|-4.14|-6.77|401.44|0.0|0.0|-4.17|29.0|6.77e-05|2.78|5.610000000000001e-05|-0.05271|3.41|3.6504|-1332.1529369999998|1092.25|339.65|0.2668|-1331.94466|0.0721|-0.15108|4.7986|0.03338983|6.0223|0.01|8.0106
16d_a32|0.0|3.311658163|0|0|0.609420775|0.170838661|-0.017249763|5.733341277|0|0.0421759259999999|0.0115077539999999|-0.7589895790000001|-0.00839148|-0.134892903|-0.0517549079999999|3|0.021406827|-0.128753933|-0.239509216|-0.68301199|0|0.8575664540000001|0.107238939|-0.0847953219999999|0.916850163|0.7689748270000001|0.032003415|-53.23914436|-67.07571683|115.2070109|0.244506926|142.7146582|-0.036437402|-39.15098916|10.90312918|48.61700321|0.615749698|-1.493933474|86.50964771|71.91900971|2588.214866|440.9688416|-871.9843187999999|3152.666302|0.384250302|6.221435089|0.79521327|224.2805611|0.0332953229999999|457.7130665|1.0|1.0|1.0|3.35|19.0|-6.59|3.82|149.27|0.65|1.0|0.0|102.33|1.0|6.0|-5.65|-6.62|385.46|1.0|0.0|-4.18|0.000856|6.659999999999999e-05|2.86|9.84e-05|-0.05068|3.78|3.6271|-1877.332369|1023.44|341.83|0.2915|-1877.185022|0.2915|-0.15009|3.2048|0.02818209|3.8853|8.0|8.1135
3a_a49|0.0|0.0|1|1|1.343850114|-0.05210989|-0.006374689|5.4161004020000005|2|0.0355787039999999|-0.044367345|-0.337858497|-0.000349523|-0.060613765|0.00497674|1|-0.074886415|0.002357097|0.003978478|-0.421478185|2|0.8145214209999999|0.012813604|0.008391259|0.8704151529999999|0.7476073409999999|0.016205613|-55.30832478|-51.82200998|107.4001347|0.27109473|158.77029040000002|-0.030698626|-30.35026007|5.558553447|59.40691577|0.689774813|-1.504232653|64.2037853|64.79936082|2599.121578|426.893216|-880.9741697000001|1793.526571|0.310225187|6.566343333|0.903506738|181.6875706|0.021141449|578.2841135|0.0|1.0|1.0|3.25|21.0|-7.19|2.81|98.72|1.04|1.0|0.0|112.14|1.0|5.0|-3.06|-7.67|384.43|0.0|0.0|-3.3|0.3379999999999999|0.000503|1.38|2.51e-05|-0.05732|3.16|3874.0|-1253.973708|1082.21|320.04|0.3467|-1253.756918|0.0793|-0.15978|3801.0|0.03833529|4.2593|64.0|7.1938
15d_a10|0.0|0.0|1|2|1.343850133|-0.233802395|-0.002831383|5.4161004020000005|3|0.031742919|-0.059217023|-0.184039927|0.010215823|-0.140487312|0.007032164|1|-0.092884337|-0.1786649189999999|-0.280243276|-0.1945202089999999|2|0.745184875|0.02497303|0.0131101969999999|0.7857977740000001|0.71456262|0.02281891|-38.80896881|-47.58559595|67.59624856|0.12390229|83.49776405|-0.018829931|-32.06793721|10.36301002|141.0919598|0.471900166|-1.129795872|66.95020436|54.18663419|2967.522813|590.402322|-761.3695352999999|2036.192049|0.5280998339999999|8.429169102000001|0.900629528|355.8865234|0.028735133|825.4425942|0.0|1.0|1.0|3.71|21.0|-7.82|3.44|65.3|1.54|1.0|0.0|131.43|1.0|6.0|-3.78|-7.04|441.52|0.0|1.0|-4.38|0.0739|4.1200000000000005e-05|2.75|6.62e-06|-0.05002|2.05|3.8591|-1431.051425|1266.87|321.28|312.0|-1430.733658|0.0856|-0.15916|3.3831|-0.23696253|3.8163|69.0|7.1612
12o_a30|0.0|0.0|0|2|0.604984133|0.036331447|-0.0068750669999999|5.351858133|2|0.040899471|-0.089996613|-0.364378536|0.00372838|0.019094532|-0.087019298|1|-0.157974241|-0.051371057|-0.090173435|-0.465857798|1|0.815003426|-0.054392357|-0.149451598|0.870930234|0.7463962120000001|0.015460222|-49.48891079|-62.74209511|75.15128057|0.1556551169999999|100.1600333|-0.037808155|-40.37291185|6.401442327000001|0.0|0.8131344979999999|-1.852599578|71.87393121|59.43716284|2860.371518|543.3140456|-1192.099807|2476.50603|0.186865502|7.400912529|0.885533983|120.2431068|0.0141914589999999|652.8825454|1.0|1.0|0.0|4.63|17.0|-7.22|3.27|81.65|3.31|2.0|0.0|132.29|1.0|5.0|-5.93|-5.75|432.93|0.0|0.0|-5.44|0.0005139999999999|3.61e-06|4.49|2.61e-05|-0.05085|4.45|3.4817|-2035.338699|1162.63|356.1|0.1967|-2035.139147|149.0|-0.1478799999999999|5559.0|0.03392126|6.8632|16.0|7.8097
12ac_a36|0.0|3.4419617660000004|0|2|1.297043188|-0.050997272|-0.007639626|5.351858133|2|0.042560386|0.03586247|-0.450737917|0.000584134|-0.046730704|-0.0121300989999999|1|0.060445359|-0.098698552|-0.166354116|-0.433636165|1|0.811459853|0.135371136|-0.020272679|0.863165958|0.770400825|0.021508835|-55.68500110000001|-72.4798052|118.0445703|0.220326632|152.9742102|-0.036062573|-50.32319912|10.36858115|20.70356046|0.7316461470000001|-1.98344149|86.51036063|70.61872461|2902.588755|541.3322795|-1377.116299|2455.459827|0.268353853|8.126831024|0.801074136|186.3198219|0.020208014|716.9974499|1.0|1.0|0.0|4.86|17.0|-6.89|2.09|86.27|1.59|1.0|0.0|133.95|1.0|6.0|-3.81|-7.21|423.47|0.0|0.0|-3.95|0.0653|0.000112|2.36|5.4600000000000006e-05|-0.0527399999999999|4.84|3.8594|-1385.566143|1200.61|321.25|0.3302|-1385.3211789999998|0.0249|-0.15675|4.0208|0.03998989|5.4387|13.0|7.8861
12_a4|-3.2834578760000004|0.0|1|1|0.295190368|-0.1494133309999999|-0.0021497879999999|5.4161004020000005|2|0.0381179139999999|-0.0334644329999999|-0.113938738|0.005795666|-0.093414896|0.028152112|1|-0.055590089|-0.051501982|-0.085553511|-0.220286906|2|0.8157155359999999|-0.036425699|0.04172421|0.8749408470000001|0.531333552|0.01168879|-41.69390404|-44.33087544|15.80191019|0.194761903|115.5823166|-0.025916226|-26.30835499|4.116653575|7.519189887|0.717772573|-1.269895089|53.59101661|48.6306683|2927.48584|477.8721263000001|-753.6248824|1962.933988|0.282227427|6.223583758999999|0.889574393|167.4891205|0.015603795|608.4548423|1.0|1.0|1.0|3.41|21.0|-7.84|4.98|86.12|2.17|1.0|0.0|113.02|1.0|4.0|-4.18|-6.84|404.48|0.0|0.0|-4.33|0.0266|4.64e-05|2.72|5.85e-06|-0.06898|6.12|3.8083|-1617.826064|1101.33|325.57|0.1194|-1617.57796|0.0464|-0.16224|7.8701|0.03555871|10.1971|9.29|5032.0
19h_a38|0.0|3.2723542610000003|0|2|1.297044177|-0.088176988|-0.007781653|5.351858133|2|0.042622739|0.14165187|-0.420209249|-0.002526241|-0.043452674|-0.070688288|1|0.303981987|-0.101303149|-0.217394466|-0.420225236|1|0.819222745|-0.054149342|-0.121374121|0.8741648479999999|0.698414933|0.021234963|-48.43313101|-64.79649453|136.81322659999998|0.225371198|132.7728693|-0.03959525|-38.17354026|7.370099699|0.0|0.75379331|-1.979762478|76.70128100000001|60.94327866|2774.611523|456.3568442|-1166.336902|1839.424968|0.24620669|6.820483788|0.903301693|145.047677|0.020207411|595.8790650000001|1.0|1.0|1.0|4.8|17.0|-6.86|2.55|81.23|2.4|1.0|0.0|125.69|1.0|5.0|-4.14|-6.77|401.44|0.0|0.0|-4.17|29.0|6.77e-05|2.78|5.610000000000001e-05|-0.05708|3.41|3.5358|-1332.1538779999998|1092.17|350.65|0.2355|-1331.941646|88.0|-0.1467099999999999|6.9749|0.03396934|9.0777|9.0|8.0348
