molecula|molecula|Contribution (HOMO-LUMO transition)|NaasN|hydrogen_bond_acceptors_count (using_Lipinski’s_definition)|nAHRing|Log Kp (cm/s)|FNSA5|Zero Point Energy|PNSA3|Consensus Log P|pIC50|RNCS|TPSA_x|FNSA4|CYP3A4 inhibitor|Synthetic Accessibility|FNSA1|Log Po/w WLOGP|pIC50
12f_a31|12f_a31|0.7006600000000001|0|5.0|1|-6.19|-0.118239376|-1696.466804|-68.14417693|4.01|6.8861|159.84734269999998|208.6022728|-0.0337826789999999|1.0|3.86|0.686882955|4.48|6.8861
12bi_a36|12bi_a36|0.69207|0|6.0|2|-7.13|-0.107613368|-1461.69263|-57.89562053|1.75|7.8539|129.685076|150.12481100000002|-0.027831043|1.0|4.97|0.4996603229999999|1.9|7.8539
47o_a18|47o_a18|0.69248|0|3.0|1|-6.12|-0.088436375|-1455.162559|-56.13142962|2.76|7.3279|77.37089184|140.2610102|-0.034545459|1.0|4.17|0.872753077|3.0|7.3279
12c_a30|12c_a30|0.68457|0|4.0|2|-5.75|-0.096482247|-2035.141497|-50.12643041|3.11|7.9914|82.07537640000001|101.8928318|-0.037411484|0.0|4.62|0.8061287690000001|3.27|7.9914
12z_a30|12z_a30|0.6853199999999999|0|6.0|2|-6.39|-0.107776943|-1804.51674|-49.68145417|2.52|7.3615|54.40462246|116.2094523|-0.034034824|1.0|4.86|0.630839856|2.63|7.3615
15c_a10|15c_a10|0.70511|1|6.0|2|-6.99|-0.072537853|-1450.139335|-32.5870313|3.1|7.0|65.41494073|66.28884934|-0.019267867|1.0|3.85|0.528228415|2.97|7.0
12i_a36|12i_a36|0.70134|0|8.0|2|-6.4|-0.117424873|-1644.954647|-54.81607619|2.65|7.9208|108.3973956|108.9148111|-0.045665229|0.0|4.8|0.7691298590000001|4.04|7.9208
12ag_a36|12ag_a36|0.7024699999999999|0|5.0|2|-6.76|-0.1081585809999999|-1331.9454449999998|-52.02834065|2.15|7.7696|85.84609192|159.6746787|-0.038937089|0.0|4.72|0.758897371|2.44|7.7696
4a_a49|4a_a49|0.68042|1|5.0|1|-7.52|-0.087863033|-1312.924353|-57.79201133|2.42|7.4949|313.22432680000003|149.0098632|-0.0292876779999999|1.0|3.35|0.650301539|2.83|7.4949
14u_a23|14u_a23|0.6703100000000001|2|5.0|0|-6.47|-0.086465795|-1744.1781010000002|-36.90928915|3.48|8.2449|43.06242147|60.27663131|-0.033908155|1.0|3.59|0.702868983|4.03|8.2449
6d_a40|6d_a40|0.6624800000000001|1|6.0|1|-6.36|-0.119563634|-2470.62267|-73.59650182|3.43|8.9208|192.5638526|215.22657540000003|-0.050049893|1.0|3.98|0.86005241|3.63|8.9208
12at_a36|12at_a36|0.6802600000000001|0|6.0|2|-7.18|-0.110637955|-1460.549244|-58.66704838|1.76|7.1079|95.16663336|171.8311073|-0.037537878|0.0|4.9|0.6744421970000001|1.67|7.1079
