molecula|SddssS|n9FaHRing|n9FaRing|nAHRing|BCUTs-1|SaasN|AATSC1c|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|BIC2|MATS8s|SIC2|GATS1pe|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|DPSA5|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|PPSA1|DPSA4|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w WLOGP|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
3i_a32|0.0|1|1|0|0.6094207970000001|0.0|-0.012358668|-0.363243817|0.05052381|1.711001131|-0.4449120629999999|-0.0131506889999999|0.022524712|3|-0.8373173840000001|-0.054335108|-0.212967423|0.833699527|-0.337053202|0.902293804|0.54844677|-0.093279684|-0.1132851459999999|0.259644227|0.015296821|-49.17963359|-59.72706743|8.064907632|60.99385995|0.106172013|-0.044627482|-31.48976464|4.252042736|71.27609889|57.24454122|2471.4299920000003|471.2508776000001|-776.4518766|2141.3084710000003|-12.4050588|0.22927653|5.826629089|120.8809386|30.52825775|318.0257595|11.54903146|1.0|0.0|1.0|1.0|1.0|1.0|2.49|0.13|6.29|110.94|0.0|0.0|1.0|3.0|24.0|-5.53|366.38|0.0|1.0|4.37|5.37e-07|0.0|0.0|1.0900000000000001e-07|4.01e-05|-0.06518|3642.0|3.38|-1891.833327|-1891.811327|530.5|876.0|0.4765|340.43|0.70322|0.4765|-0.1476|2494.0|-0.21278|0.02199999|3.8572|6.0|8.2366|8.2366
13m_a6|0.0|0|0|0|1.429020166|0.0|-0.010840005|-0.135152403|0.0446875|1.617900191|-0.628720289|-0.0093684169999999|-0.018628955|1|0.037052986|-0.068956229|-0.118693789|0.7767360059999999|0.156982046|0.832753533|0.82642394|-0.0989137669999999|-0.107644789|0.429009107|0.01858251|-68.97140339|-75.05944278|12.95736535|91.22689385|0.2843875389999999|-0.0378750189999999|-52.33806464|9.035018118|89.65257305|81.92876874|2951.567781|498.9881336|-1426.129413|2574.030011|-18.41524497|0.263701|8.435961541000001|183.8755989|35.8683143|724.3873672999999|14.59313027|1.0|1.0|1.0|1.0|1.0|3.0|2.18|0.08|3.76|122.47|0.0|0.0|1.0|6.0|33.0|-7.23|435.48|0.0|1.0|2.67|2.27e-05|0.0|0.0|2.1499999999999998e-10|9.35e-08|-0.07137|3.9127|4.27|-1423.762467|-1423.712909|726.28|1231.54|275.0|316.88|0.64753|0.1924|-0.13817|4.2913|-0.20954|0.04955777|6.5243|0.01|8.0|8.0
11f_a5|0.0|0|0|1|1.370797007|0.0|-0.0037371509999999|0.022233547|0.021060606|0.0|-0.227966183|0.00722997|-0.0080939669999999|1|-0.1323098|-0.128153787|-0.203228986|0.756843253|-0.008110526|0.800575032|0.750555185|-0.068361657|-0.074612137|0.368815548|0.0221464629999999|-47.57801621|-51.92819555|15.41338844|70.39517801|0.152643862|-0.022252743|-36.14073513|10.72733576|73.05195434|62.99140465|2853.401015|589.7388387999999|-882.7793242999999|1125.122028|-10.77881574|0.489052404|9.683662007|340.3683339|30.31104695|753.9168511|21.12375879|0.0|1.0|1.0|1.0|1.0|1.0|2.87|0.24|3.53|76.16|0.0|0.0|1.0|7.0|32.0|-6.99|427.5|1.0|0.0|2.95|0.000112|0.0|0.0|2.12e-09|9.06e-07|-0.03862|4.4523|2.25|-1391.7602960000002|-1391.722248|729.96|1239.35|0.5834|278.47|0.64937|0.1834|-0.1691|2.1313|-0.20772|0.03804804|2.9697|12.0|7.9208|7.9208
4h_a46|-3.74433321|0|0|1|0.3002050539999999|2.134072222|-0.005778576|-0.346835467|0.040890805|0.0|-0.404500343|-0.0008161889999999|-0.09922757|1|-0.0932537609999999|-0.030014575|-0.0488847059999999|0.7543177040000001|0.075704004|0.7955809979999999|0.6947264059999999|-0.083155747|-0.083997524|0.659584488|0.010068754|-65.24476749|-65.90523417|7.900037181|105.2773797|0.232755725|-0.0305445539999999|-51.70985599|6.198442205|74.99848132|73.14480467|3472.1185880000003|601.9869510999999|-1581.72562|3180.526173|-18.803584|0.194493895|8.138240742999999|152.6017078|29.75215152|1021.999374|9.093247153|1.0|0.0|0.0|1.0|1.0|2.0|2.99|0.3|6.18|124.17|0.0|0.0|1.0|6.0|36.0|-6.38|502.63|0.0|0.0|3.82|2.97e-07|0.0|1.0|6.38e-10|3.210000000000001e-07|-0.0389199999999999|4.2444|8.5|-1923.926093|-1923.878801|792.61|1397.46|0.5451|292.11|0.54445|291.0|-0.1711599999999999|1.7601|-0.21008|0.04729184|2.9086|229.0|6.6402|6.6402
11a_a31|0.0|0|0|1|0.610138462|0.0|-0.02376325|-0.259732443|0.044949495|0.0|-0.8792402579999999|-0.022093578|-0.019865299|2|-0.149933348|-0.1068420919999999|-0.1829166189999999|0.8433024170000001|0.022073976|0.910334509|0.819138461|-0.151872243|-0.161027639|0.271818874|0.041435152|-76.64827023|-81.26889906|20.91187076|258.8577775|0.513245044|-0.056833284|-41.01552988|10.55399384|97.23036756|97.560141|2288.9694010000003|245.6599349|-975.2267888|1769.346573|-14.47606937|0.264745055|5.791411901|133.6139513|39.01114987|302.14325319999995|15.96146849|0.0|0.0|1.0|0.0|1.0|2.0|2.16|0.13|2.94|125.57|0.0|0.0|2.0|3.0|23.0|-6.51|329.33|0.0|1.0|2.42|1.5399999999999998e-05|0.0|0.0|2.22e-05|0.00731|-0.05074|3.8042|3.97|-1441.452616|-1441.411622|529.63|860.74|0.2797|325.92|0.69222|0.2797|-0.15515|6.4691|-0.20589|0.04099365|8.9667|0.19|6.7212|6.7212
41_a18|0.0|0|0|2|1.251176562|0.0|-0.007587553|-0.059936864|0.038034188|0.0|-0.500778516|-0.0034878|0.0212700929999999|0|-0.137860739|-0.005930813|-0.0091068809999999|0.733589101|-0.032217299|0.774395455|0.745631286|-0.1020290859999999|-0.089139464|0.3888308139999999|0.009550224|-69.94639412|-61.10986894|6.547189171|347.42621339999994|0.2650611539999999|-0.037381065|-41.89408289|4.488448275|65.83786886|76.49358329|2899.29167|503.8398786|-1588.856592|1491.296991|-17.56848637|0.0967605159999999|8.787657952|66.33450764|28.37200951|897.5188662|4.727999916|1.0|1.0|0.0|1.0|1.0|3.0|0.0|0.25|2.7|99.28|1.0|0.0|1.0|6.0|34.0|-6.38|452.55|0.0|1.0|2.53|2.76e-06|0.0|0.0|4.18e-09|1.89e-06|-0.04956|3.2123|7.34|-1454.374793|-1454.3467460000002|736.59|1294.52|482.0|385.97|0.69308|482.0|-0.1319|2.0934|-0.1814599999999999|0.0280471999999999|2721.0|369.0|6433.0|6433.0
14h_a23|0.0|1|1|0|1.197963488|3.309480899|-0.005921293|0.006191846|0.04255787|0.7290938920000001|-0.307907256|0.009895793|-0.034313725|2|0.060820238|-0.0686282459999999|-0.131709531|0.79263722|0.143102066|0.860920386|0.669357479|-0.063825076|-0.081058742|0.223157991|0.021982565|-43.02851162|-54.6468131|14.81983413|41.34207782|0.076569426|-0.033774476|-36.84086528|9.990985411|67.44368679|57.84834575|3010.418229|622.5428245|-1092.936262|2371.16134|-15.35036053|0.246899416|7.833334036|166.45047749999998|30.23434844|646.2584547|12.79687369|0.0|0.0|1.0|1.0|1.0|1.0|3.2|0.04|3.89|128.81|1.0|0.0|1.0|5.0|32.0|-6.62|436.49|0.0|0.0|3.23|2.09e-06|0.0|0.0|3.39e-08|1.4800000000000002e-05|-0.08532|4.0506|3.29|-1722.1762399999998|-1722.148272|699.86|1190.62|0.3424|306.09|0.69933|0.2727|-0.15209|9.7146|-0.2374099999999999|0.02796857|13.4823|5.0|8.3468|8.3468
21a_a23|0.0|1|1|0|1.197963603|3.43622302|-0.005708466|-0.038876045|0.042862319|0.773970837|-0.3082571839999999|0.01269616|-0.083864151|2|0.130024255|-0.074441567|-0.136106024|0.7367638240000001|0.1022509819999999|0.79188323|0.6906097959999999|-0.051521215|-0.082341001|0.224766417|0.011564247|-34.01266735|-54.35891011|7.634348008|39.56172507|0.073461531|-0.03458322|-35.88602363|5.039953753|61.73864319|41.64701536|2880.257677|611.67123|-1141.537112|2272.736256|-15.07212993|0.157878617|7.950891003|104.2264415|27.11098744|666.0036144999999|7.379733085|0.0|0.0|1.0|1.0|1.0|1.0|3.48|0.09|4.33|105.02|1.0|0.0|1.0|5.0|31.0|-6.07|425.51|0.0|0.0|3.78|1.3e-06|0.0|0.0|1.65e-08|7.03e-06|-0.07243|3.6993|3.75|-1669.250866|-1669.23053|701.01|1189.63|0.3692|335.16|0.60824|0.3692|-0.15024|5.3733|-0.2226699999999999|0.0203361|7.9309|102.0|6.9914|6.9914
12p_a30|0.0|0|0|2|0.604984421|0.0|-0.0063403159999999|-0.031328052|0.040899471|0.0|-0.3550576729999999|0.005613018|-0.128484994|1|-0.109773594|-0.053644471|-0.09353607|0.7867133140000001|-0.051402518|0.8371763179999999|0.7991060659999999|-0.074356395|-0.094870978|0.371591982|0.015107947|-47.54197452|-60.65858419|9.659715461|75.21136863|0.156618406|-0.0364888379999999|-38.78387161|6.176226649|68.98315679|57.20168999|2783.628159|539.2411292|-1213.171684|2326.5244390000003|-14.91687369|0.180044528|7.392482526|115.116829|28.4530386|686.039456|8.3245726|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.17|2.93|81.65|0.0|0.0|1.0|5.0|30.0|-5.81|412.51|0.0|1.0|2.91|2.21e-06|0.0|0.0|9.75e-08|4.02e-05|-0.05169|5.1922|4.14|-1615.094336|-1615.0623480000002|685.08|1167.16|0.1768|238.79|0.68561|0.1527|-0.14823|4.0456|-0.19992|0.03198743|4.6103|17.0|7.7721|7.7721
12al_a36|0.0|0|0|2|1.297043737|0.0|-0.008463062|-0.04314418|0.042739018|0.0|-0.4908576189999999|0.00127667|-0.031635802|1|0.172830414|-0.1430106119999999|-0.239932418|0.8344566859999999|0.125005134|0.885733922|0.84179881|-0.077842923|-0.105915949|0.2689491989999999|0.026927826|-51.22331485|-69.69632923|17.71943397|114.2305891|0.198820783|-0.035305316|-45.86257662|11.65999569|86.77628559|68.94274882|2843.740855|527.2034213000001|-1254.533926|2244.88081|-15.28752554|0.328915355|8.774664332|216.4375922|34.61874732|679.7230552999999|17.07995636|1.0|0.0|0.0|1.0|0.0|2.0|0.0|0.17|1.89|78.43|0.0|0.0|1.0|6.0|31.0|-6.93|411.46|0.0|0.0|1.81|0.000113|1.0|0.0|2.03e-07|8.340000000000001e-05|-0.04998|3878.0|2.92|-1347.479819|-1347.445127|702.95|1181.84|0.4466|319.71|0.70417|0.0095|-0.14558|6.4473|-0.1955599999999999|0.03469224|8.1781|48.0|7.3188|7.3188
2_a33|0.0|1|1|0|0.609420748|0.0|-0.009168933|-0.064926835|0.039958333|2.112255684|-0.476784502|-0.002514803|-0.05997501|3|-0.0881938509999999|-0.083752249|-0.148024156|0.833090592|-0.0212158239999999|0.8799816220000001|0.753434785|-0.0804186|-0.104047115|0.411881091|0.018451635|-49.13901703|-63.57699532|11.27469555|103.5201191|0.1804845889999999|-0.031851158|-38.84811555|6.889294995|75.44970552|60.41371259|2632.195388|500.7570617|-953.6549298|3245.244678|-11.89228027|0.297402265|6.152818143999999|181.7248125|27.70055258|618.9134881|11.8727102|1.0|0.0|1.0|1.0|1.0|2.0|3.51|0.3|4.63|140.04|0.0|1.0|1.0|7.0|28.0|-6.17|411.54|0.0|1.0|3.98|4.44e-07|0.0|0.0|2.13e-08|8.78e-06|-0.04967|3.6281|5.11|-1920.079174|-1920.049452|655.74|1128.98|0.2911|341.74|0.70205|0.2911|-0.15012|4.2519|-0.19979|0.02972182|5539.0|6.0|8.2596|8.2596
