molecula|Volume|Wavelength (HOMO-LUMO transition) (nm)|SddssS|Approximated area|Highest Occupied Molecular Orbital Energy|BCUTs-1l|MATS2c|Dipole (water)|SRW07|pIC50|SaaaC|AATSC1are|n5aRing|n5aHRing|MATS1i|FNSA5|PBF|FNSA4|GeomPetitjeanIndex|FPSA1|GeomRadius|WNSA2|Hydrogen bond don0rs count (using Lipinski’s definition)|Log S (SILICOS-IT)|TPSA_y|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|pIC50
15_a47|930.51|305.43|0.0|419.75|-0.2268|1.304329657|-0.164258919|3.7709|4.59511985|7.8|1.56205245|-0.0026314909999999|1|1|-0.007670908|-0.0904066519999999|0.429825305|-0.033307714|0.477646539|0.288369895|6.984778596|-362.1927541|2.0|-8.49|66.49|1.14e-06|3.33|4.0594|7.8
19l_a38|1164.34|369.66|0.0|502.31|-0.2001|1.297043246|-0.086107169|9026.0|5.351858133|7.8633|0.0|-0.001197042|1|1|-0.091460175|-0.100870929|0.51306986|-0.037359603|0.430111845|0.262589769|6.568874137999999|-846.9234048000001|3.0|-7.28|81.23|2.25e-05|4.08|3354.0|7.8633
5b_a49|1093.32|316.21|0.0|451.32|-0.20701|1.343848745|0.1108916119999999|6.1996|5.777652323|7.5528|1.926253727|0.005836378|1|1|-0.13632743|-0.076494119|0.615864196|-0.026008|0.475192312|0.3913052589999999|6.270195553|-449.2535747|1.0|-7.24|75.94|2.3e-05|3.92|3.9209|7.5528
4_a27|946.77|300.29|0.0|445.65|-0.21533|1.4008954130000002|0.082486268|3.9202|4.727387819|8.3979|1.274166982|0.00991794|1|1|-0.2030237389999999|-0.078787867|0.3485918529999999|-0.0281385239999999|0.444169714|0.317514326|6.01592535|-316.8125922|0.0|-6.22|65.6|0.0002|4.63|4.1288|8.3979
14l_a23|1185.79|341.8|0.0|560.51|-0.2183|1.1979636809999998|0.060717916|8.2422|5.351858133|8.1798|0.758109562|0.01269616|2|2|-0.074441567|-0.078204688|0.215920645|-0.0328459689999999|0.492922575|0.210373806|8.006380163|-714.7749208|1.0|-7.78|105.02|7.03e-06|3.79|3.6274|8.1798
13d_a5 (GW788388)|1206.73|297.28|0.0|532.01|-0.22841|1.236844097|-0.0959854909999999|3355.0|4.59511985|7.7447|0.0|0.002956745|1|1|-0.010147323|-0.0844793|0.54169129|-0.0291837579999999|0.488398052|0.330817879|8.077599766|-702.1345259999999|2.0|-8.84|92.79|6.16e-07|3.81|4.1706|7.7447
19_a3|832.23|314.28|0.0|362.92|-0.2206|1.4316666480000002|-0.206312209|2.8758|4.59511985|7.6383|1.744747103|0.006821053|1|1|-0.037291767|-0.087730634|0.225451546|-0.032585664|0.476813896|0.24201815|5.342307798999999|-247.2409002|1.0|-7.21|67.35|1.7800000000000002e-05|2.43|3945.0|7.6383
47o_a18|1352.29|385.04|0.0|706.49|-0.18223|1.251177005|0.052875948|2.8284|4.844187086|7.3279|0.0|-0.00046896|0|0|-0.103458566|-0.088436375|0.261785105|-0.034545459|0.493146875|0.127246923|9.808930716|-1166.161955|3.0|-9.37|85.29|1.93e-07|7.62|3.22|7.3279
1h_a5|934.7|284.03|0.0|430.83|-0.21921|1.427564094|-0.259241577|3.3752|4.59511985|7.5528|0.0|0.008031558|1|1|0.034752304|-0.069496749|0.39793593|-0.027798699|0.489507204|0.2549450239999999|6.711386288|-302.4687931|1.0|-8.41|54.46|1.21e-06|3.17|4.3651|7.5528
14b_a23|1142.37|334.55|0.0|525.66|-0.2286699999999999|1.197963628|0.065240838|9.7544|5.351858133|8.3536|0.716540473|0.007671236|2|2|-0.073945564|-0.082441268|0.228282196|-0.03508139|0.450973737|0.225640295|7.833620016|-692.9278992000001|1.0|-7.67|105.02|9.18e-06|3.72|3706.0|8.3536
14f_a23|1210.19|346.78|0.0|572.35|-0.21743|1.197963246|-0.002304087|9.1089|5.351858133|8.6459|0.745818086|0.010561248|2|2|-0.110069159|-0.084419703|0.2096108239999999|-0.031450478|0.478733036|0.334221706|8.124287407|-733.1331894|1.0|-7.51|114.25|1.3699999999999998e-05|3.23|3.5753|8.6459
12x_a30|1211.79|355.95|0.0|558.65|-0.19876|0.604984021|0.044575215|4.8197|5.351858133|7.6556|0.0|0.00604028|1|1|-0.053700437|-0.091725339|0.398925866|-0.035022402|0.4490846539999999|0.175325029|7.794822643|-839.9917174000001|1.0|-7.38|81.65|1.76e-05|4.45|3.4831|7.6556
18a_a22|1211.84|355.95|0.0|531.16|-0.21148|1.194229718|-0.197348157|5.3946|4.727387819|7.8861|1.6891461019999998|0.007066388|1|1|-0.0835538409999999|-0.076119803|0.573315195|-0.029276847|0.487405342|0.289532802|7.037677899|-700.830423|1.0|-9.4|100.61|1.73e-07|3.69|3.4832|7.8861
