molecula|Fraction Csp3|MATS8s|GeomRadius|SssssC|SRW09|nFaHRing|FNSA3|PBF|Dipole (water)|AATSC1c|CYP2D6 inhibitor|CYP3A4 inhibitor|Lipinski|Synthetic Accessibility|WNSA5|AATSC8d|Absorption Energy (HOMO-LUMO transition) (eV)|DPSA3|pIC50
9_a47|0.05|0.046690958|5.653392499|0.0|0.0|1|-0.084368438|0.492394184|3.4815|-0.008501246|1.0|1.0|0.0|2.87|-26.52703503|0.045804989|3.7183|49.12766732|7.6
13_a1|0.09|-0.051729721|7.493979856|0.0|7.423568444|0|-0.111667908|0.207843387|3.9446|-0.012199718|1.0|1.0|0.0|3.35|-36.08180773|-0.084271845|3.4483|84.56244352|6.585
15_a10|0.23|-0.079744227|6.35937164|0.0|7.535296702|1|-0.059234364|0.710970489|6.1563|-0.0027892409999999|1.0|1.0|0.0|3.29|-26.33385303|-0.05940848|3.7997|46.39507481|7.4815
4g_a49|0.1|-0.027032199|9.28937554|0.0|8.228176896|2|-0.061465364|0.736530693|4.5147|-0.003686314|0.0|0.0|1.0|4.83|-66.20622488|0.08591712|3.6269|80.12633309|6.9747
AKLKII_a46|0.06|-0.0150769919999999|5.83938898|0.0|6.605297921|1|-0.071827497|0.271156366||-0.003417504|1.0|1.0|0.0|2.81|-20.09682339|0.036226415||38.98582025|6.7423
6g_a40|0.21|0.075283207|6.95079805|0.0|8.421342866|1|-0.164941808|0.400587529|8.9454|-0.022381557|0.0|1.0|0.0|4.06|-66.03405036|-0.251161616|2.8135|118.7493383|7.3279
12ba_a36|0.12|0.041478447|7.409667253999999|0.0|7.412764017000001|0|-0.083210415|0.330220757|4.5448|-0.0075620109999999|0.0|0.0|0.0|4.8|-49.20258616|-0.011949092|3.0114|72.63670824|7.6778
20_a4|0.11|0.246357638|5.543543957000001|0.0|7.535296702|0|-0.060595472|0.210083785|5.5779|-0.003103385|1.0|1.0|0.0|3.23|-16.72448692|-0.059498265|4.0419|40.20507689|6.1898
12ab_a30|0.21|0.078325164|8.44310703|0.0|7.412764017000001|0|-0.082740301|0.4605456229999999|7.4968|-0.008528077|0.0|1.0|0.0|4.87|-49.97135112|0.01563558|3.4919|80.46280277|7.7825
8b_a31|0.25|-0.058494079|6.142377144|0.0|7.765993078999999|0|-0.120703408|0.281200674|5.6001|-0.013629145|1.0|1.0|0.0|3.4|-36.1645207|-0.069423138|3.8582|79.93633765|5.6576
12z_a30|0.21|-0.02232319|8.071510779|0.0|7.412764017000001|0|-0.071429418|0.315493739|7.2113|-0.008819424|0.0|1.0|0.0|4.86|-52.13870496|-0.045463448|3.4438|71.1566605|7.3615
11_a27|0.35|-0.0357410779999999|5.231762955|0.0|7.535296702|1|-0.079921166|0.349764196|4.2894|-0.0067474069999999|0.0|0.0|0.0|3.95|-26.52978026|-0.027287578|2.4836|50.82822357|8.301
9_a3|0.0|-0.260349706|5.004834198999999|0.0|6.823286122000001|0|-0.095161413|0.506753484|2.6661|-0.007847313|1.0|1.0|0.0|3.1|-18.47392835|0.023606557|3.7356|48.21513485|4.96
7e_a8|0.04|-0.023521398|7.70387217|0.0|7.05012252|0|-0.08608941|0.286669793|11.4436|-0.006027596|0.0|0.0|0.0|3.2|-31.72369068|-0.0446343779999999|3.2363|64.40615805|4.4547
1a_a5|0.16|0.11504495|6.199179484|0.0|6.605297921|0|-0.071887159|0.3602068089999999|6.7017|-0.001785522|1.0|1.0|0.0|3.54|-19.17495143|-0.004213083|2.8332|40.24669785|6.9706
7_a4|0.15|0.022270259|5.512905888|0.0|7.535296702|1|-0.0650223009999999|0.470973822|4926.0|-0.001729561|1.0|1.0|0.0|3.05|-18.06277106|0.04206117|4.0379|40.13253521|6.821
23_a10|0.21|-0.149057824|8.755988318|0.0|7.535296702|1|-0.049653973|0.535680357|4.8954|-0.00264793|1.0|1.0|0.0|3.8|-36.32074126|-0.0253481679999999|3.8034|41.98112956|6.1249
12ap_a36|0.13|-0.025198947|8.766216204|0.0|7.412764017000001|0|-0.082622504|0.27547717|9.6512|-0.007719624|0.0|0.0|0.0|4.78|-45.7078307|-0.042675894|3.8801|68.48007054|7.4949
12m_a30|0.13|-0.036924662|9.025816604|0.0|7.412764017000001|0|-0.085422479|0.415971907|5.1279|-0.01047558|0.0|0.0|0.0|4.66|-47.58675592|-0.0547272029999999|3.5496|76.52074257|7.5114
2_a20 (SB-505124)|0.3|0.082053195|5.952040367|-0.09011519|7.434257382|0|-0.083565835|0.214264156|3.9392|-0.010175551|1.0|1.0|0.0|3.4|-35.52365346|-0.137383329|3.6404|61.69969596|6.7721
11c_a5|0.09|0.030085871|8.88462927|0.0|6.605297921|0|-0.078909483|0.389427402|3.3827|-0.004590583|1.0|1.0|0.0|2.96|-32.31269264|-0.023856811|4.2087|58.854300300000006|7.6021
3n_a32|0.32|-0.018016496|6.369579712999999|0.0|7.773594467000001|1|-0.074507943|0.287402381|6.2667|-0.00615216|0.0|1.0|0.0|3.51|-30.65624207|-0.0711168609999999|3.5459|53.70155314|7.6778
15a_a50|0.23|-0.051676609|8.095541483|0.0|7.934155233999999|1|-0.0783960279999999|0.4349386739999999|9.0948|-0.004429392|1.0|1.0|0.0|3.7|-30.25705388|-0.125205943|4.0408|57.69065967|7.3872
5a_a49|0.22|0.001251171|6.0732145310000005|0.0|7.853604813|1|-0.072109357|0.6254267029999999|7.0102|-0.009147269|0.0|1.0|0.0|3.37|-26.93578408|0.076610236|3.9219|58.89715956|7.3665
13e_a6|0.08|0.102257199|7.973429837999999|0.0|6.842683282|1|-0.074242826|0.175643236|13.2999|-0.006882528|1.0|1.0|0.0|3.51|-41.68507499|-0.037793156|3.2475|61.91072885|7.9208
12w_a36|0.17|-0.098657593|8.365472166|-4.750262163|7.412764017000001|0|-0.086826396|0.532980165|7.0746|-0.015825416|0.0|0.0|0.0|4.82|-57.35989379|-0.010726574|3.8881|77.49366829|7.6383
47i_a18|0.22|-0.064085904|9.573882864|0.0|7.03438793|0|-0.0780255879999999|0.279553995|3.5235|-0.006882626|1.0|1.0|0.0|4.05|-43.46880696|-0.040514277|3.2321|61.13143233|7.7212
13b_a50|0.37|-0.041506802|9.514897025|0.0|7.934155233999999|1|-0.051509874|0.435064196|7.1645|-0.003876697|1.0|1.0|0.0|4.78|-41.27630533|-0.054716607|4.1161|51.04317051|5.7375
8f_a12|0.1|-0.13747286|7.016225129|0.0|6.580639137|1|-0.072634742|0.285353468|1.4701|-0.008295703|1.0|1.0|0.0|4.09|-31.9483307|-0.024023866|3.6536|48.82707007|6.1898
12f_a40|0.06|-0.160218113|8.404802652999999|0.0|7.515889085|1|-0.067004323|3.43e-05|4.8562|-0.006206277|0.0|0.0|0.0|3.24|-25.09213464|-0.172869148|2.8374|48.92668311|6.4202
12bg_a36|0.14|-0.023460562|7.549463377|0.0|7.412764017000001|0|-0.075439837|0.543472602|9.3601|-0.0076819|0.0|0.0|0.0|4.75|-48.31008346|-0.0206090089999999|3.8944|65.19942617|7.8239
16e_a32|0.26|0.096017785|6.573687662|0.0|7.765993078999999|1|-0.087117996|0.504569498|3.9389|-0.0154404319999999|0.0|1.0|0.0|3.64|-48.41036206|-0.01320745|3.6214|71.46633549|8.1367
A8301_a51|0.04|-0.013846396|6.890532887999999|0.0|6.86171134|1|-0.055295165|0.339244706||-0.00449765|1.0|1.0|0.0|3.49|-32.90818536|-0.1227504419999999||41.20144811|7.9208
3c_a32|0.19|-0.003205869|5.605165488|0.0|7.765993078999999|1|-0.0679200029999999|0.216289509|5.0659|-0.006923974|1.0|1.0|0.0|3.22|-24.94510426|-0.01180891|3.5169|42.68833949|8.0458
4c_a49|0.25|-0.052237757|8.474369008|0.0|7.535296702|1|-0.087753156|0.407675441|4.9358|-0.0057600559999999|1.0|1.0|0.0|3.49|-35.82016427|0.006194124|3.8067|64.32113331|6.5935
16c_a32|0.22|0.0482801729999999|6.313526111|0.0|7.765993078999999|1|-0.088841599|0.367322508|5.3459|-0.01639019|0.0|1.0|0.0|3.5|-42.71426897|-0.036931818|3.6264|68.39521789|8.3468
12m_a36|0.13|-0.075712087|7.312794835|0.0|7.412764017000001|0|-0.10031651|0.4493096629999999|9.1003|-0.011502861|0.0|0.0|0.0|4.83|-54.45666327|-0.038386106|3.8658|82.51872026|7.5229
GW6604_a52|0.0|0.074868979|6.2973559020000005|0.0|6.605297921|0|-0.071850787|0.38374044||-0.002149879|1.0|1.0|0.0|2.68|-17.61190876|-0.028376521||39.97842884|6.9706
47j_a18|0.28|-0.002262399|9.597380968|0.0|7.03438793|0|-0.073041469|0.476575952|5.2118|-0.007807275|1.0|1.0|0.0|4.54|-57.32800549|0.0033281|3.1054|69.23713027|7.4559
4q_a46|0.38|-0.15266708|6.038093227999999|0.09591943|7.832410927000001|0|-0.052170875|0.258420996|3.2968|-0.001250008|1.0|1.0|0.0|3.95|-21.81959712|-0.081623022|4.5296|37.21920695|6.129
12ar_a36|0.17|-0.017348015|8.770514183|0.0|7.412764017000001|0|-0.080760277|0.317338373|8.7322|-0.007046017|0.0|0.0|0.0|4.86|-45.46486105|-0.036002609|3.8489|69.99622854|7.6021
13k_a6|0.16|0.1373649019999999|8.370126134|0.0|7.412764017000001|0|-0.11937574|0.212093198|10.5079|-0.014257799|1.0|1.0|0.0|3.68|-61.29890279999999|-0.072504783|3.5476|103.4959988|7.3372
18d_a30|0.14|-0.001699165|7.063141946|0.0|7.412764017000001|0|-0.07812727|0.346980269|6.2946|-0.0072724869999999|0.0|0.0|0.0|4.75|-41.33339749|-0.087019298|3.4682|60.73891035|7.6737
2_a49|0.15|0.084099874|5.667936413|0.0|7.535296702|1|-0.08647612|0.41397907|6.7117|-0.004112807|1.0|1.0|0.0|3.09|-20.55997527|0.005918367|3.743|49.7010488|7.2291
8c_a32|0.26|-0.024032462|7.079719717000001|0.0|7.765993078999999|1|-0.076876481|0.263222951|10.2656|-0.0093793719999999|1.0|1.0|0.0|3.46|-35.6276568|-0.0682721729999999|3.5673|56.29419869|7.4318
25_a12|0.05|-0.2430098439999999|5.34703037|0.0|0.0|1|-0.054734834|0.120087607|2.2482|-0.004103693|1.0|1.0|0.0|2.81|-21.75703145|-0.11195017|3.4532|31.09844409|7.6576
12v_a30|0.14|-0.029852321|8.114588039|0.0|7.412764017000001|0|-0.077138874|0.404950755|4105.0|-0.006974714|0.0|0.0|0.0|4.62|-44.46327619|-0.04950715|3.5507|62.89402328|7.6596
13_a15|0.07|0.008210506|5.21465994|0.0|0.0|0|-0.068526782|0.708462114|6.0429|-0.006348913|1.0|0.0|0.0|4.13|-39.03420883|0.005149745|2.5721|53.45565817|8.2218
12y_a30|0.21|-0.05346283|8.067590558|0.0|7.412764017000001|0|-0.070903795|0.374181804|5.1209|-0.005996863|0.0|0.0|0.0|4.86|-41.1215369|-0.058184644|3.4718|57.65603256|7.6576
20b_a10|0.11|0.052265135|7.554743755|0.0|7.535296702|1|-0.094975935|0.6741049840000001|7.7954|-0.007463406|1.0|1.0|0.0|3.54|-36.12803002|-0.013623188|3.9013|69.02087825|5.9586
3i_a32|0.13|-0.337053202|5.826629089|-4.547725143|7.78113851|1|-0.093279684|0.259644227|3.8572|-0.012358668|0.0|1.0|0.0|3.1|-31.48976464|0.022524712|3642.0|57.24454122|8.2366
11_a1|0.05|-0.069193862|7.43666407|0.0|7.423568444|0|-0.131972845|0.2027328789999999|7.1743|-0.018080197|1.0|1.0|0.0|3.25|-43.84323456|-0.044235537|3.1924|98.43720241|6.7696
4i_a46|0.36|-0.0656636|6.218233741000001|0.19654443|7.825245291|0|-0.058565229|0.263514985|3.8696|-0.002360192|0.0|1.0|0.0|3.88|-23.99628633|-0.125773054|4.4232|41.92840157|6.2132
2_a47|0.0|0.115527282|5.308758149|0.0|0.0|1|-0.083455669|0.482748996|3.1004|-0.008527649|1.0|1.0|0.0|2.58|-23.74109633|-0.013580367|3.7181|45.81686991|6.2
15_a31|0.19|-0.0869591359999999|6.148947296|0.0|7.765993078999999|0|-0.116196194|0.287991212|7.5831|-0.018913735|1.0|1.0|0.0|3.31|-37.21191643|-0.074455342|4569.0|82.24348203|5.9586
32_a47|0.26|-0.0094137619999999|8.656942728999999|0.0|6.842683282|1|-0.05770007|0.266433793|6.3139|-0.003573735|1.0|1.0|0.0|3.35|-37.74862456|-0.044598914|3.6829|55.48373932|7.0
18_a3|0.0|0.0355413979999999|5.293627315|0.0|6.605297921|1|-0.069839069|0.217881538|3.3664|-0.003487792|1.0|1.0|0.0|2.62|-16.76239841|-0.025890816|3.9765|37.21171433|7.5229
5_a4|0.23|-0.165454845|5.758733969|0.0|7.535296702|1|-0.050732198|0.431132276|3.1619|-0.001215982|1.0|1.0|0.0|3.27|-19.68930579|-0.134215501|4.0239|31.58455727|7.1487
19j_a38|0.13|-0.001131945|7.506210369|0.0|7.412764017000001|0|-0.0844479869999999|0.625966089|14.4895|-0.007976154|0.0|1.0|0.0|4.81|-50.60340201|-0.036248822|3.6886|74.95583121|8.1146
6e_a31|0.1|-0.071378445|7.513687859|0.0|7.773594467000001|0|-0.122985602|0.177030306|8.3583|-0.016012184|1.0|1.0|0.0|3.55|-48.66969791|-0.0462850729999999|3.3083|94.88738762|6.4318
15b_a10|0.32|-0.058258414|6.6940006620000005|0.0|7.535296702|1|-0.046334564|0.697099355|6.1384|-0.002413027|1.0|1.0|0.0|3.61|-34.57687319|-0.058911857|3.7625|42.7113409|7.0706
