molecula|n9FaRing|SRW09|nAHRing|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|AATSC8d|n5aHRing|AATSC7i|AATSC1i|MATS1c|n6aHRing|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|FPSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|FNSA2|WNSA3|DPSA5|DPSA3|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
1_a3|0|6.823286122000001|1|0.0|0.079857077|-0.006053652|-0.073036903|2|-0.004409693|-0.248199745|-0.006610844|0.032569462|0|-0.007705076|0.08803837|-0.486774367|2|0.057919092|0.8457792829999999|0.943582278|1|-0.0925710269999999|0.521474118|0.008036786|-42.54530997|289.8942564|0.2237487219999999|-0.034105115|-19.55367089|-1.295994381|-20.88467272|49.05980305|49.13501083|356.76228530000003|-595.6343396000001|-7.203984013|4.984064981|9.046658216|0.8151164259999999|4510.611026|751.9821735|373.1494221|1.0|0.0|1.0|1.0|1.0|3.83|16.0|-5.77|2.28|1.85|77.1|0.0|91.52|0.0|2.0|2.0|-3.07|4.0|306.38|0.0|0.0|-3.3|261.0|154.0|1.83|0.0|0.0|0.000518|-53.0|2.08|3.8645|-1273.290432|320.83|0.1775|210.84|316.61|0.30619|0.68912|0.0096|-0.1658599999999999|-1273.22339|3.4319|724.0|6.1403|6.1403
4_a4|0|7.535296702|1|2.156628874|-0.183963421|-0.001234337|0.0159331539999999|2|-0.0214610589999999|-0.058013858|0.011760626|-0.037623601|1|-0.035166634|-0.078747188|-0.157959343|2|-0.063012715|0.8306695270000001|0.636572383|1|-0.06873731|0.456474074|0.008570112|-35.41518716|13.70182982|0.0667239759999999|-0.0255766729999999|-18.24679326|-1.099796957|-13.21145879|40.86951119|30.05764711|480.8472306|-566.6429946000001|-6.78950447|5.326452915|8.855289118|0.66251148|4878.070704|713.9097433|462.1867149|1.0|0.0|1.0|1.0|0.0|3.15|21.0|-7.57|4.52|4.41|43.6|1.0|100.08|0.0|1.0|2.0|-4.12|3.0|326.39|0.0|1.0|-4.57|0.0248|0.00877|3.52|0.0|0.0|8.85e-06|-0.04865|3.24|4.0261|-1029.93716|307.95|0.1106|230.37|394.06|0.55032|0.6010800000000001|67.0|-0.1696599999999999|-1029.813844|3.1195|78.0|7.1079|7.1079
12as_a36|0|7.412764017000001|2|0.0|-0.051208473|-0.007672841|-0.073735973|2|0.096454203|-0.452697599|0.000584134|-0.025398105|1|0.162571317|-0.166354116|-0.4358775279999999|1|-0.04244711|0.869455765|0.770400825|0|-0.109492809|0.291030086|0.019229943|-73.78005999|88.17694537|0.22956209|-0.037824788|-49.71556877|-2.080363362|-37.57216725|85.53474971|68.71652969|519.1478419|-1401.82114|-17.17446921|8.768282531|16.08155469|0.834059821|6224.698969|1824.98997|716.9974499|0.0|0.0|1.0|0.0|2.0|4.86|17.0|-6.89|3.16|2.09|86.27|1.0|133.95|0.0|1.0|6.0|-3.81|5.0|423.47|0.0|0.0|-3.95|0.0653|0.0476|2.36|0.0|0.0|5.4600000000000006e-05|-0.05789|4.84|3851.0|-1385.5651710000002|321.96|0.5902|274.29|568.52|0.53815|0.68211|0.2402|-0.1563|-1385.384524|6.8556|59.0|7.2291|7.2291
15_a3|0|6.823286122000001|1|0.0|0.079167398|-0.006742751|-0.092127078|3|-0.182934001|-0.289938297|-0.006419472|0.021805556|0|-0.325227172|-0.039798975|-0.505519936|3|0.036380489|0.866559772|0.911346861|1|-0.107619999|0.451058529|0.007901554|-55.08588323|315.5421792|0.221091166|-0.037667|-28.19600959|-1.50667999|-24.19332693|60.30684851|51.31038923|398.6887321|-771.2023653|-9.868603355|5.371119692000001|9.975434973|0.85723565|4617.470007|906.9474625|402.781061|1.0|0.0|1.0|1.0|1.0|4.12|16.0|-5.78|2.21|1.56|89.99|0.0|94.29|0.0|2.0|2.0|-2.77|5.0|321.4|0.0|0.0|-3.02|547.0|306.0|1.28|0.0|0.0|0.000535|-0.06319|2.33|3.7072|-1328.665275|334.44|0.4107|206.37|398.12|0.2843199999999999|0.67902|0.0173|-0.1576|-1328.581677|2.3271|25.0|7.6021|7.6021
43_a18|0|7.03438793|2|0.0|0.032999679|-0.005099385|-0.01369899|1|-0.05314954|-0.397752066|0.002712865|-0.032429984|0|-0.079184068|-0.2093696189999999|-0.460675034|0|-0.0579590709999999|0.7458234990000001|0.712848727|0|-0.0822489459999999|0.3439906129999999|0.006890688|-63.87648583|0.66443384|0.147655113|-0.0311212229999999|-49.60799696|-2.302970476|-42.32033664|69.46280937|59.84418608|661.9512957999999|-1788.541603|-18.77059344|10.01438533|19.33108376|0.930331529|7428.282915000001|2045.512486|1228.492038|1.0|0.0|1.0|1.0|2.0|4.54|18.0|-9.6|4.5|4.08|76.5|3.0|160.76|0.0|1.0|9.0|-6.45|3.0|508.65|0.0|0.0|-5.96|0.00018|0.000554|5.1|0.0|1.0|1.28e-07|-0.04949|8.79|3.2233|-1611.598032|384.65|0.5429|384.65|702.4|0.6926800000000001|0.6926800000000001|0.5429|-0.13196|-1611.198355|3.6943|625.0|6.2041|6.2041
8b_a32|1|7.765993078999999|0|0.0|0.113639567|-0.009362305|-0.057200812|0|-0.008128765|-0.458752924|-0.003484915|-0.0684566009999999|3|-0.014634534|-0.1534110109999999|-0.577864293|0|-0.1152380009999999|0.8966299409999999|0.7507116140000001|1|-0.108971309|0.253018806|0.016711528|-68.4085006|102.4297669|0.211781902|-0.03079624|-42.94454179|-1.4166270230000002|-33.50038167|81.73293254|63.85535908|494.8166492|-889.3105078|-12.13650094|8.10555784|14.95918599|0.845546757|5619.400983|1329.016762|557.1050635|1.0|1.0|1.0|1.0|2.0|3.46|19.0|-7.65|6.49|4.19|140.04|1.0|110.47|1.0|1.0|7.0|-5.83|4.0|397.52|1.0|1.0|-4.39|0.000583|0.0161|3.22|0.0|0.0|8.86e-06|-0.05404|4.22|3.5442|-1880.735397|349.82|0.2943|349.82|558.16|0.70285|0.70285|0.2943|-0.14717|-1880.602014|1.2797|12.0|7.9208|7.9208
7c_a8|0|7.05012252|0|1.4416758790000002|-0.244222944|-0.007509694|-0.025233184|1|0.0493777859999999|-0.382994379|0.00325576|-0.118915929|1|0.079425146|-0.077006275|-0.328286221|1|-0.196826366|0.795846675|0.6881348629999999|0|-0.089778346|0.292274414|0.0306012339999999|-56.2991566|49.43944876|0.151076042|-0.03366688|-35.30467154|-1.6160102369999998|-31.56868845|76.40286308|69.53125754|532.3522286|-1013.384819|-13.23925183|7.700542366|15.18314943|0.971698707|6013.168519|1616.4960130000002|572.8089095|1.0|1.0|0.0|1.0|1.0|3.44|23.0|-7.76|4.22|3.78|92.93|1.0|112.76|0.0|1.0|5.0|-5.0|5.0|398.41|0.0|0.0|-4.67|0.00399|0.00851|3.37|0.0|0.0|6.91e-06|-0.07472|5.01|3.1406|-1331.793312|394.78|275.0|269.17|579.97|0.62361|0.70321|0.1779|-0.1318599999999999|-1331.625743|15.7056|18.59|4.7307|4.7307
16_a3|0|6.823286122000001|0|0.0|0.183636734|-0.010031024|-0.186717242|2|0.027762972|-0.371147877|-0.010377537|-0.018884246|1|0.069124437|0.008045619|-0.614173961|2|-0.031683873|0.838125715|0.640070307|1|-0.100138414|0.252612735|0.012203576|-49.45999101|248.6415425|0.302520871|-0.041233465|-24.42909382|-1.401937796|-26.57128935|56.56724056|59.82469895|344.4962834|-692.4398741|-10.05903863|5.780331402000001|11.22152755|0.941329444|4733.033232|834.5848652000001|328.71459869999995|1.0|1.0|1.0|1.0|1.0|3.13|21.0|-7.16|4.74|4.57|92.93|0.0|90.44|0.0|1.0|2.0|-4.98|4.0|322.36|0.0|1.0|-4.49|0.0033799999999999|0.0104|3.35|0.0|0.0|2.25e-05|-0.07095|3.19|3.2208|-1371.360243|384.94|0.3866|384.94|368.22|0.6944100000000001|0.6944100000000001|0.3866|-0.13195|-1371.297964|3613.0|42.0|7.3768|7.3768
1h_a5|0|6.605297921|0|0.0|-0.259241577|-0.001978474|-0.009075016|2|-0.02598568|-0.085074391|0.008031558|-0.044117647|1|-0.043247682|0.0578378779999999|-0.20140246|2|-0.082079343|0.8436458929999999|0.6977404359999999|0|-0.069496749|0.39793593|0.008798715|-36.2462047|160.0744187|0.119359774|-0.027798699|-18.90429957|-1.111947978|-18.38824808|44.51475742|39.84574434|459.3001331|-579.9392753|-7.561719827|6.711386288|13.14687756|0.958891501|4334.547353|778.3845404|409.0289917|1.0|0.0|1.0|1.0|1.0|2.8|23.0|-8.41|4.99|4.51|54.46|0.0|95.45|0.0|1.0|3.0|-4.25|3.0|312.37|0.0|1.0|-4.45|0.0174|0.0111|3.43|0.0|0.0|1.21e-06|-0.04124|3.17|4.3651|-990.6032645|284.03|0.3333|266.52|430.83|0.4112699999999999|0.57155|0.1754|-0.17797|-990.523098|3.3752|28.0|7.5528|7.5528
47p_a18|0|7.03438793|1|0.0|-0.001819106|-0.005394244|-0.04760181|0|0.025217016|-0.3775970529999999|0.00235332|-0.049428094|0|0.037961877|-0.261349889|-0.441700685|0|-0.082977829|0.7611910209999999|0.710266593|0|-0.082580968|0.278332428|0.007989903|-61.12351185|10.25627035|0.1670454519999999|-0.030813794|-45.24146169|-2.0645242|-37.85569728|69.19354871|57.05881288|616.5234972999999|-1528.087796|-16.88114242|9.923659881|19.41290064|0.956223901|6726.61969|1867.029344|1011.163774|1.0|0.0|1.0|1.0|2.0|4.29|18.0|-9.03|3.65|3.34|76.5|3.0|144.53|0.0|1.0|9.0|-5.67|3.0|468.59|0.0|0.0|-5.27|0.000998|0.0025|4.35|0.0|0.0|4.38e-07|-0.05628|7.98|3.2036|-1493.731375|387.01|595.0|387.01|732.84|0.6937800000000001|0.6937800000000001|595.0|-0.13118|-1493.407248|4.6652|64.0|7.1938|7.1938
