molecula|Oscillator Force (max. Transition)|Class [Log S (SILICOS-IT)]|FPSA5|PNSA3|pIC50|JGI4|PAINS|WPSA3|MATS8i|CYP3A4 inhibitor|DPSA5|AATSC1pe|Total Energy (gas phase) (Hartree)|pIC50
12v_a30|0.1601|1.0|0.014801518|-52.18846092|7.6596|0.04625323|0.0|7.242869835|0.020607357|0.0|75.73440678|0.001805829|-2494.92869|7.6596
7f_a8|0.3536|1.0|0.010262531|-52.28313554|4.4479|0.044814815|0.0|4.471132824|-0.087673259|0.0|55.85651025|0.00084936|-1285.168078|4.4479
5_a4|0.1106|1.0|0.009538616|-27.26045038|7.1487|0.035994832|0.0|2.323516519|-0.050389825|1.0|41.76764149|0.0111310589999999|-1069.251223|7.1487
6b_a31|0.4967|1.0|0.024142162|-73.70779766|7.2676|0.037803618|0.0|12.28107483|-0.032090772|1.0|93.1058799|-0.008439437|-1652.635711|7.2676
3t_a32|0.2906|1.0|0.017184783|-50.65701113|8.0458|0.03995614|0.0|5.681818647999999|0.012069208|1.0|72.43498782|0.00139283|-1864.678788|8.0458
4q_a46|0.1432|1.0|0.018430997|-29.12008262|6129.0|0.0462962959999999|0.0|4.520667361|-0.155661124|1.0|49.37907349|0.012222698|-1108.729426|6129.0
4k_a46|0.2259|1.0|0.006892404|-49.65634024|7.0969|0.0510113959999999|0.0|2.052909907|-0.1149361969999999|1.0|50.48291318|0.006050983|-1053.396715|7.0969
1a_a5|0.2109|1.0|0.016493595|-36.19957997|6.9706|0.021346801|0.0|2.037971304|-0.132197351|1.0|46.38422909|0.00549829|-951.110826|6.9706
47t_a18|0.5502|1.0|0.016238994|-79.78154029|6.1068|0.03672956|0.0|6.301435212|-0.011641394|0.0|80.00407742|-0.004985656|-1470.836067|6.1068
4d_a49|0.2549|1.0|0.022019681|-55.40321178|7.7447|0.036555556|0.0|5.16986937|-0.053327669|1.0|66.51766234|0.001356445|-1293.29417|7.7447
12x_a36|0.3901|1.0|0.016274369|-49.60929169|8.1549|0.041767677|0.0|7.974776509|-0.054184069|1.0|81.1499815|0.003710345|-1670.419519|8.1549
18_a31|444.0|1.0|0.01673486|-69.19879619|6.8861|0.0427124179999999|0.0|4.984491996|-0.001973566|1.0|85.81723707|-0.007811355|-1465.4803960000002|6.8861
12as_a36|0.5902|1.0|0.017444469|-55.75872553|7.2291|0.041728395|0.0|8.731418812000001|-0.114290948|0.0|85.53474971|0.0018565629999999|-1385.5651710000002|7.2291
3j_a32|0.3005|1.0|0.015301673|-37.33051857|8.0969|0.037373737|0.0|3.885056172|-0.086191775|1.0|58.58770587|0.001173363|-1671.479105|8.0969
8g_a12|0.3786|1.0|0.007890315|-42.39297373|5.43|0.038347953|0.0|2.7111119089999995|-0.094550033|1.0|61.99654413|0.005405355|-1154.281986|5.43
12e_a40|0.4494|1.0|0.021118537|-71.78145688|5.9318|0.04020202|0.0|4.4490161310000005|0.130516751|0.0|78.14505956|-0.014780739|-2248.244231|5.9318
25_a47|287.0|1.0|0.029261935|-44.52300552|7.8|0.043695652|0.0|7.453635586|-0.035030495|1.0|71.17072517|-0.00269275|-1735.385814|7.8
8a_a50|0.18|1.0|0.017017336|-34.88425666|7.3279|0.03904321|0.0|4.778811898|-0.150515325|1.0|50.06249379|0.007801731|-1006.637067|7.3279
14d_a23|0.3807|1.0|0.015037275|-35.40917327|8.4001|0.043538647|0.0|8.074501042|-0.019307114|1.0|61.49227899|0.01180744|-1669.224874|8.4001
4l_a46|0.2504|1.0|0.006130523|-51.45056667|7.0088|0.049498645|0.0|2.10550531|-0.060895366|1.0|51.66342604|0.006162668|-1092.71063|7.0088
17_a15|0.7247|1.0|0.0217385279999999|-40.50376584|7.9208|0.036595745|0.0|7.56573889|-0.032903349|1.0|77.82445248|0.0032452509999999|-1413.857182|7.9208
12c_a30|0.2155|1.0|0.014695647|-50.12643041|7.9914|0.042804233|0.0|6.768942632999999|0.019094532|0.0|72.5855533|0.003603419|-2035.339256|7.9914
12z_a30|0.1855|1.0|0.029109145|-49.68145417|7.3615|0.040566449|0.0|14.93669572|0.018796341|1.0|95.20867045|0.005111479|-1804.785911|7.3615
19i_a38|0.2156|1.0|0.022159015|-51.15830416|7.9031|0.043197531|0.0|8.479305267|-0.074033381|1.0|82.98550237|-0.004358975|-1431.384243|7.9031
40_a47|271.0|1.0|0.029785575|-32.5926343|8.4|0.041396825|0.0|5.959674083|-0.038143308|1.0|60.97203959|0.003634698|-1123.144637|8.4
5_a18 (BIBF0775)|0.4825|1.0|0.010831199|-52.09190866|7.4685|0.035478927|0.0|4.846666751|0.0002403959999999|1.0|67.25977848|0.0036739159999999|-1572.290174|7.4685
13a_a5|0.5953|1.0|0.02811638|-57.31787843|7041.0|0.023989899|0.0|6.938219155|-0.139517787|1.0|72.13276165|0.003196482|-1313.126035|7041.0
12o_a30|0.1967|1.0|0.0141914589999999|-49.48891079|7.8097|0.040899471|0.0|6.401442327000001|0.019094532|0.0|71.87393121|0.003603419|-2035.338699|7.8097
12b_a5|0.2345|1.0|0.025810077|-41.76622313|7.3768|0.0252713179999999|0.0|6.584944956|-0.119503073|1.0|59.53145615|0.00751901|-1276.8943800000002|7.3768
33_a47|0.2566|1.0|0.029580684|-32.1568697|8.4|0.034691358|0.0|6.401714296000001|-0.033554816|1.0|60.65229445|0.003634698|-1123.135036|8.4
9_a1|0.5409|1.0|0.014186995|-46.63553015|5.2218|0.037578348|0.0|3.745117974|-0.079063236|1.0|57.60218193|-0.0018191779999999|-1187.193365|5.2218
12_a1|0.5867|1.0|0.024485753|-55.99493147|5.5302|0.036382114|0.0|11.37734536|-0.0811332759999999|1.0|74.99749378|-0.001416381|-1216.099134|5.5302
12z_a36|0.4423|1.0|0.0225782039999999|-54.11489962|8301.0|0.041767677|0.0|10.28066212|-0.010881947|0.0|83.07227002|0.001194592|-1325.157504|8301.0
19_a3|0.3006|1.0|0.016552404|-31.50932639|7.6383|0.0386379929999999|0.0|2.523394126|0.156485495|1.0|48.55416845|0.006731579|-929.2608626|7.6383
7_a4|0.0697|1.0|0.016800137|-32.72992462|6821.0|0.037694444|0.0|3.726212114|-0.125778587|1.0|44.34066533|0.008242591|-1089.847072|6821.0
9_a47|0.2294|1.0|0.015793737|-44.13640712|7.6|0.037492877|0.0|2.611122094|0.022031244|1.0|58.96976407|-0.007880155|-1149.055456|7.6
18_a34|0.3525|2.0|0.027385869|-49.86847383|5.6144|0.040527066|0.0|12.44948722|-0.141332289|1.0|86.77082535|0.002183342|-1199.259634|5.6144
37_a18|499.0|1.0|0.0142451319999999|-50.09028298|7.4559|0.036746032|0.0|4.865006968|-0.034593342|1.0|65.15554136|0.003512954|-1532.974371|7.4559
9a_a40|0.4746|1.0|0.008714375|-29.02567082|6.6696|0.0397333329999999|0.0|2.579562688|0.157704751|1.0|39.45618424|0.011966382|-1217.9449|6.6696
5a_a50|0.2735|1.0|0.017576522|-20.77548565|5.3872|0.038040936|0.0|2.900288114|-0.256097122|1.0|44.17662122|0.01228899|-1029.905844|5.3872
12m_a30|255.0|1.0|0.019500715|-57.96147772|7.5114|0.040839506|0.0|12.59296644|0.0488832779999999|0.0|83.3641853|0.0026474159999999|-1743.174906|7.5114
3p_a32|0.3083|1.0|0.025390655|-41.73212799|7585.0|0.036666667|0.0|7.365688817|-0.111150118|1.0|73.07639870000001|0.000920756|-1879.527843|7585.0
3a_a12|0.3201|1.0|0.015909241|-34.84701355|6.7122|0.032544803|0.0|2.258466332|-0.062973953|1.0|52.21461165|-0.001011111|-951.3480023|6.7122
8_a4|0.1687|1.0|0.0148422489999999|-27.90231822|7.2676|0.038726287|0.0|2.772101712|-0.011835327|1.0|41.57817329|0.009595591|-1450.21384|7.2676
14a_a3|0.4524|1.0|0.0189212089999999|-45.12132248|7.5229|0.043464052|0.0|3.396421044|-0.039177314|1.0|55.84414456|-0.004161699|-1327.485188|7.5229
