molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nARing|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|SaaaC|ATSC1c|MATS8i|BCUTi-1|n5aRing|AATSC1pe|AATSC1i|GATS1are|BIC2|MATS8s|MATS8d|SIC2|RASA|FNSA3|FNSA5|PNSA3|PPSA3|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
11d_a31|0.0|1|0|0|3.39688681|0.0|7.765993078999999|1|0.0|0.064475882|-0.017317263|-0.116385886|0|0.0|-0.848545873|-0.092360393|10.31169874|2|-0.006496772|-0.153894316|0.819298311|0.822077662|-0.057505249|-0.13169885|0.868115289|0.585212816|-0.134031221|-0.134048091|-82.05480081|21.07078977|-0.040797245|-50.24081482|91.25756269|0.6817705409999999|-1.87667327|-24.97634343|103.1255906|0.4816588089999999|-1148.911798|2039.207676|-15.29068277|0.318229459|15.21323794|0.929231204|-703.3714074|36.63453013|0.027374162|-222.5622569|505.4234462|16.75864338|1.0|1.0|1.0|3.6|0.32|-6.23|5.43|4.03|125.57|102.13|0.0|1.0|7.0|-5.48|27.0|6.0|-6.4|0.0|1.0|3.34|-4.2|3.33e-06|0.00128|6.26e-05|3.17|0.0|0.0|0.000225|-0.03404|3.8009|4.87|3.8009|-1598.7152199999998|-1598.671315|650.64|1077.69|326.2|0.2642|326.2|551.86|703.0|0.2642|-0.15822|-0.19226|0.04390452|4.6622|7.5229
14u_a23|0.0|0|1|1|0.0|0.0|7.423568444|0|3.357982471|-0.066969083|-0.007017844|-0.025360103|2|0.743634137|-0.385981432|-0.026062012|10.31321759|2|0.010508236|-0.199540201|0.756252127|0.787538583|-0.001778422|-0.094773814|0.845160857|0.909754912|-0.055259924|-0.086465795|-36.90928915|16.97420126|-0.033908155|-38.57404134|50.47632596|0.702868983|-1.729315897|-22.64798452|53.88349042|0.47648509|-1155.04721|2430.634114|-15.12707504|0.297131017|14.12094979|0.910165272|-771.4808267999999|32.2221994|0.023582305|-271.0010972|683.7405759|15.75112771|0.0|1.0|1.0|3.59|0.09|-7.51|3.42|4.03|114.25|126.78|0.0|1.0|6.0|-5.63|32.0|5.0|-6.47|0.0|0.0|3.48|-5.02|2.32e-06|0.0010199999999999|9.57e-06|3.55|0.0|0.0|1.3699999999999998e-05|-0.0618299999999999|4.0409|3.23|3.1819|-1744.446261|-1744.422541|712.54|1214.4|389.66|0.2253|306.82|549.0|0.6703100000000001|0.0008|-0.1543|-0.21613|0.0237199999999999|8.1549|8.2449
12aj_a36|0.0|1|0|0|3.482902101|0.0|7.412764017000001|2|0.0|-0.056210607|-0.00706023|-0.045035034|2|0.0|-0.402433117|-0.103202936|10.95354213|1|0.003962098|-0.1763783589999999|0.90414347|0.812278823|0.091113865|-0.072770961|0.8632656809999999|0.8269863129999999|-0.073002742|-0.10279655|-46.79363201|11.73352271|-0.0368515929999999|-42.23511741|0.0|0.77492734|-1.953134451|-23.62130319|58.52715472|0.47532973|-1251.929069|2275.825451|-15.14089115|0.22507266|15.35536375|0.905958957|-802.4672307|30.48195872|0.016684569|-352.4483722|662.0530478999999|10.69455126|1.0|0.0|0.0|4.84|0.17|-6.97|3.24|2.19|69.2|128.72|0.0|1.0|5.0|-4.16|30.0|4.0|-6.55|0.0|0.0|2.14|-4.3|6.929999999999999e-05|0.0274|5.05e-05|3.04|0.0|0.0|4.270000000000001e-05|-0.05275|5.2301|3.48|3.6017|-1272.27339|-1272.241135|682.84|1157.64|344.24|0.5616|237.06|539.55|0.70423|0.0082|-0.14818|-0.20093|0.03225532|7.8393|7.7696
16b_a23|0.0|0|1|1|0.0|0.0|7.423568444|1|3.418247774|0.031073244|-0.005139233|-0.013240238|3|0.754232958|-0.3237716519999999|-0.068280331|10.31321583|2|0.011266252|-0.224300431|0.75524548|0.7740962779999999|0.14319927|-0.09063701|0.830577373|0.928579764|-0.050637391|-0.07920267|-37.52431601|13.79443768|-0.031407956|-43.49333918|100.0262487|0.738977|-1.821661419|-23.2745413|51.31875369|0.4870072789999999|-1349.923395|2256.698672|-17.24735864|0.261023|18.46592377|0.949345397|-1000.346801|31.49562341|0.018384316|-354.1828792|896.9989312000001|13.6235075|1.0|1.0|0.0|4.19|0.07|-7.33|3.02|4.1|108.26|146.03|0.0|1.0|6.0|-6.19|36.0|4.0|-6.3|0.0|0.0|2.9|-5.67|6.41e-07|0.000314|2.16e-06|4.21|0.0|0.0|2.26e-05|-0.07352|1.6041|4.24|1.6041|-1877.655481|-1877.615701|772.84|1340.35|772.92|0.3456|772.92|607.92|0.95419|0.3456|-0.13741|-0.21093|0.03978022|14.8849|7.0191
20_a47|0.0|0|1|1|0.0|0.0|6.86171134|0|1.1934608|0.055662511|-0.011237762|-0.161476442|2|1.010373001|-0.505699304|-0.052370531|10.95058273|1|-0.006342241|-0.297094867|0.61847122|0.7962508290000001|-0.069674604|0.113432542|0.8575369009999999|0.6888286020000001|-0.083811055|-0.092005493|-45.68149289|12.85623208|-0.032859105|-27.33327788|49.00609086|0.595234209|-1.38008239|-17.90996366|58.53772498|0.4642647929999999|-752.2184736|1219.306754|-9.761884958|0.404765791|13.10815891|0.86659377|-409.9991682|30.08893541|0.034758191|-103.815441|428.5826478|18.94506718|0.0|1.0|1.0|3.19|0.05|-7.31|2.56|4.54|84.73|99.68|0.0|1.0|5.0|-4.06|28.0|6.0|-6.75|0.0|1.0|3.09|-4.08|8.72e-05|0.0332|8.32e-05|2.63|0.0|0.0|1.86e-05|-0.06357|3.9808|4.08|3.9808|-1335.742176|-1335.708279|557.84|964.94|311.45|0.2807|311.45|426.08|0.68219|0.2807|-0.16377|-0.22734|0.03389691|4.3277|8.6
10_a1|0.0|1|0|0|3.261363142|0.0|6.86171134|0|0.0|0.0883621719999999|-0.014135827|-0.23385288|1|0.0|-0.621976404|-0.020225596|10.94957578|1|-0.0106277489999999|-0.042643966|0.674381582|0.7227844929999999|-0.0369911079999999|0.017498337|0.783467165|0.669963758|-0.116648443|-0.10949971|-65.97424138|8.34295348|-0.045402319|-35.02707638|64.49041745|0.8340962559999999|-1.861495069|-25.67872721|74.31719486|0.459673515|-1052.827816|1768.2330920000002|-14.52342192|0.165903744|13.65143394|0.850732895|-595.4602985|30.78628757|0.015427326|-377.9175542|433.2550452|8.725415617000001|1.0|0.0|0.0|3.0|0.0|-8.02|4.86|5.06|78.87|99.61|0.0|1.0|4.0|-4.98|27.0|5.0|-5.91|0.0|1.0|3.7|-4.73|1.04e-05|0.00372|1.87e-05|3.64|0.0|0.0|3.42e-06|-0.06802|3.4067|5.81|3.4067|-1223.159954|-1223.125689|585.51|979.35|363.94|0.6754|363.94|464.77|0.70345|0.6754|-0.13576|-0.20378|0.03426532|7807.0|5.8239
4f_a49|0.0|0|0|0|0.0|0.0|7.535296702|1|2.066693174|0.010266272|-0.008903208|-0.087045007|2|1.5830545580000002|-0.418450768|-0.064058097|10.92775957|1|0.001714014|-0.025995042|0.69044503|0.7927086309999999|-0.00953448|0.114367229|0.8557769120000001|0.7370618040000001|-0.102926696|-0.089955514|-55.88123394|9.007637695|-0.033471819|-26.51573683|59.72286429999999|0.718306291|-1.439288231|-18.1726086|64.88887164|0.437355335|-781.4221699|1629.651745|-9.866320682|0.2816937089999999|11.20071713|0.7773206840000001|-424.2517893|25.29924744|0.020905063|-237.0468572|467.1194103|11.34983222|0.0|1.0|0.0|3.07|0.14|-6.54|3.42|3.8|80.9|102.08|0.0|1.0|3.0|-3.99|27.0|5.0|-6.6|0.0|1.0|2.85|-4.09|0.000102|0.0365|8.120000000000001e-05|2.64|0.0|0.0|0.000104|-0.06954|4.6249|4.07|3.7098|-1179.23587|-1179.201105|575.01|982.46|334.21|0.2368|268.08|411.94|0.68474|0.0579999999999999|-0.15517|-0.22471|0.03476467|1.8254|7.3979
12m_a30|0.0|0|0|0|0.0|0.0|7.412764017000001|2|0.0|0.096631895|-0.01047558|0.024086432|2|0.0|-0.57615692|0.0488832779999999|10.31162838|1|0.0026474159999999|-0.152855196|0.817497287|0.832758813|-0.036924662|-0.0974968869999999|0.893689741|0.783260049|-0.085422479|-0.103359773|-57.96147772|18.55926485|-0.0405332439999999|-47.58675592|237.0982213|0.773732767|-2.067195455|-27.50290965|76.52074257|0.44976016|-1402.648392|2370.879718|-18.66147291|0.226267233|16.40342255|0.8173893040000001|-951.7351184|35.54574762|0.019500715|-371.4702679|683.7405759|13.2317657|1.0|1.0|0.0|4.66|0.13|-6.42|3.4|2.48|114.67|133.52|0.0|1.0|6.0|-6.0|32.0|6.0|-6.22|0.0|0.0|2.36|-5.01|1.01e-06|0.000444|9.71e-06|3.89|0.0|0.0|0.000165|-57.0|5.0617|3.88|3.5496|-1743.215323|-1743.174906|714.92|1204.39|349.29|255.0|244.95|578.87|0.68404|0.1615|-0.15042|-0.20742|0.04041755|5.1279|7.5114
13h_a6|0.0|1|0|0|3.464247528|0.0|6.842683282|0|0.0|-0.094781725|-0.006619944|0.004767264|2|1.656132209|-0.3839567379999999|-0.01698365|10.95053423|1|-0.000644109|-0.215607882|0.836982172|0.780222427|-0.0256002129999999|-0.164411111|0.8391892870000001|0.867910741|-0.074151997|-0.091977068|-51.85624128|12.1971464|-0.032362302|-44.98170701|0.0|0.736918588|-1.747564296|-22.63172141|64.05338768|0.461667017|-1222.112956|2829.19698|-15.82689691|0.263081412|16.928040300000003|0.8575863490000001|-854.6524332|30.71129129|0.017825256|-331.36552|744.1359788|12.4656221|1.0|1.0|1.0|3.64|0.12|-10.57|5.41|4.79|103.17|128.63|0.0|0.0|6.0|-5.56|33.0|5.0|-6.31|0.0|1.0|3.61|-5.06|2.77e-06|0.0012|8.8e-06|3.7|0.0|0.0|1.15e-08|-0.07435|4.8701|3.83|3392.0|-1386.613707|-1386.569017|738.61|1253.92|365.52|1.0978|254.58|591.53|0.69001|0.2121|-0.14097|-0.2153199999999999|0.04469058|10.0322|7.3279
8_a10|0.0|0|0|0|0.0|0.0|7.535296702|1|2.071128354|-0.075368755|-0.00560152|-0.012055162|2|1.546251312|-0.296880569|-0.15615298|10.92578782|1|0.009056935|-0.132343104|0.6357042860000001|0.809386132|-0.015871527|-0.167376069|0.864927472|0.874843982|-0.059655303|-0.086233061|-32.63117642|8.619652859|-0.029917593|-25.80127401|9.35593124|0.722649449|-1.465962037|-16.36478554|41.25082928|0.431797417|-801.8744912000001|1899.542278|-8.951462413|0.277350551|10.75705296|0.7599356820000001|-438.6216583|22.64553798|0.017582236|-243.5764486|583.7217118|9.617402178|0.0|1.0|1.0|3.42|0.22|-7.6|4.46|4.2|69.9|111.36|0.0|1.0|4.0|-4.52|29.0|5.0|-6.25|0.0|1.0|3.55|-4.62|3.05e-05|0.0117|2.4100000000000003e-05|3.37|0.0|0.0|9.59e-06|-0.0623299999999999|4.6964|4.58|3684.0|-1257.84172|-1257.819281|594.63|1047.58|336.55|0.1596|264.0|416.69|0.68815|0.0916|-0.15556|-0.21789|0.02243902|1.5482|6279.0
10_a32|0.0|1|1|1|3.294952523|0.0|7.765993078999999|0|0.0|0.153272514|-0.016404762|-0.087497559|0|2.067772926|-0.771023817|-0.028431775|10.31100271|3|-0.00369116|-0.229450999|0.809370315|0.8607827790000001|0.012125768|-0.079818594|0.915639476|0.7622839570000001|-0.088310158|-0.1223816869999999|-54.55170955|15.91131724|-0.038939628|-46.69945835|52.24660367|0.6946347429999999|-1.7133436169999998|-24.0541214|70.46302679|0.449853016|-1058.381342|2980.525719|-14.85891856|0.305365257|12.86809583|0.81769605|-653.7924168|34.62844557|0.025106509|-240.4628923|513.9156315|15.50900878|1.0|1.0|1.0|3.56|0.22|-6.99|5.64|4.21|149.27|107.14|1.0|1.0|7.0|-6.04|27.0|5.0|-6.44|1.0|1.0|3.42|-4.41|9.17e-07|0.000366|3.89e-05|3.23|0.0|0.0|4.13e-05|-0.05434|3.6441|4.12|3.6441|-1916.668776|-1916.631761|654.7|1086.09|340.24|0.2983|340.24|533.89|0.70228|0.2983|-0.15088|-0.2052199999999999|0.03701539|3.2297|8.1427
12d_a40|0.0|0|0|0|0.0|0.0|7.515889085|0|1.753432382|0.1028826769999999|-0.008004393|-0.107711573|0|0.794852923|-0.288158151|0.087954209|10.31197256|2|-0.002126898|0.224167029|0.809398262|0.7769829840000001|-0.0065648919999999|-0.254735308|0.845904643|0.840431415|-0.095675903|-0.091630294|-50.68561427|6.204226377|-0.038873458|-25.71599691|60.80168183|0.844283549|-1.282824111|-20.59374436|56.88984065|0.470893531|-679.5935638999999|643.5166227999999|-10.90981687|0.155716451|14.88744155|0.8899787840000001|-360.0239567|24.39197636|0.01245259|-364.7778083|350.9435025|6.596929268999999|1.0|1.0|1.0|3.23|0.0|-6.84|4.59|5.02|84.45|96.16|0.0|1.0|2.0|-6.25|23.0|2.0|-5.13|0.0|1.0|4.21|-5.58|5.58e-07|0.0002009999999999|2.61e-06|4.75|0.0|0.0|5.2e-05|-0.07765|4.3959|4.14|2.7962|-2153.197255|-2153.180821|552.57|910.58|443.4|0.2584|282.05|435.41|0.70435|115.0|-0.11604|-0.19369|0.0164339|1.9961|7.7212
14x_a23|0.0|0|1|1|0.0|0.0|7.423568444|0|3.101221922|0.0944818319999999|-0.0065692219999999|-0.111315218|2|0.6753138120000001|-0.335030301|-0.075184011|10.31321817|2|0.003906274|-0.206574435|0.5788469970000001|0.802520527|-0.035031888|-0.035965909|0.8668730109999999|0.7768288609999999|-0.0708831479999999|-0.084244058|-46.97594633|14.64350681|-0.034056109|-37.00022522|87.28077098|0.722211323|-1.6006371069999998|-22.56979253|61.61945314|0.468120981|-1060.780249|2382.851643|-14.95753786|0.277788677|14.62325432|0.880126802|-703.0042792|31.25095356|0.0219879679999999|-294.5294492|597.2903597999999|14.57194888|0.0|1.0|0.0|3.42|0.05|-7.93|4.2|5.14|105.02|120.2|0.0|1.0|5.0|-5.68|32.0|6.0|-6.35|0.0|0.0|4.06|-5.27|2.09e-06|0.0009369999999999|5.41e-06|3.78|0.0|0.0|5.23e-06|-0.08216|4.0641|3.97|3.6941|-1828.393372|-1828.371718|675.21|1149.42|335.63|0.3184|305.07|537.48|0.62836|0.3057|-0.15259|-0.23475|0.02165405|8.1916|8.4949
18c_a22|0.0|0|0|0|0.0|0.0|6.842683282|0|1.804590026|-0.191807441|-0.003749104|0.013131848|2|1.642882533|-0.213698903|0.009519672|10.31286086|1|0.005597023|-0.143402172|0.7290394929999999|0.7669483559999999|-0.032031791|0.010828071|0.8287956870000001|0.931073539|-0.057956428|-0.076388478|-40.094865000000006|13.72808419|-0.028825841|-36.55965924|15.22791009|0.682690024|-1.52776956|-19.94201893|53.82294919|0.4777430589999999|-1056.927003|2574.178324|-13.79609783|0.317309976|14.04085897|0.914766316|-731.1931848999999|29.21094233|0.0215181079999999|-252.7737494|779.8043336000001|14.88645273|1.0|1.0|1.0|3.56|0.08|-9.46|5.36|4.98|124.4|136.36|0.0|1.0|6.0|-5.8|34.0|5.0|-6.63|0.0|1.0|3.72|-5.1|1.6e-06|0.000739|7.98e-06|3.5|0.0|0.0|1.58e-07|-0.07207|5655.0|3.5|3.7222|-1783.562578|-1783.5397829999995|707.08|1249.84|333.1|0.2996|219.25|583.88|0.60449|0.0817|-0.15158|-0.22365|0.02279458|1.0733|7585.0
41_a47|0.0|0|1|1|0.0|0.0|6.842683282|0|1.840145925|-0.225923786|-0.004083905|-0.072088843|3|1.601942802|-0.187859623|0.024881402|10.98214139|1|0.0047106|-0.317014709|0.62974551|0.8417952740000001|0.08640454|0.123676975|0.900915114|0.823168463|-0.061101947|-0.0899793719999999|-34.50740631|10.36256127|-0.02929561|-28.69838714|0.0|0.653147815|-1.259711209|-16.54473457|44.86996758|0.447046066|-711.4235867000001|1073.170368|-9.34366093|0.346852185|12.96444871|0.8084689140000001|-401.77742|25.33076615|0.023067788|-172.98086630000003|439.9906467|13.02756406|1.0|1.0|1.0|3.18|0.16|-7.47|3.34|4.52|68.52|99.09|0.0|1.0|4.0|-3.57|26.0|5.0|-6.66|0.0|1.0|3.06|-3.9|0.000267|0.0929|0.000125|2.49|0.0|0.0|1.17e-05|-0.05053|4.0167|2.41|3.7144|-1162.492089|-1162.462261|603.1|995.43|333.8|0.2849|308.67|471.9|0.68638|0.2504|-0.15208|-0.2026099999999999|0.02982752|6.8546|8.0
12g_a40|0.0|0|0|0|0.0|0.0|7.515889085|0|1.687211672|0.037440516|-0.01011728|-0.129331216|0|0.726175674|-0.354104815|0.075327376|10.31197254|2|-0.003205145|0.106286677|0.777835705|0.769016155|0.020185301|-0.326139923|0.8396782220000001|0.8702014570000001|-0.0951493559999999|-0.099521372|-49.94706785|6.670206427999999|-0.0435406|-27.42361099|0.0|0.852031227|-1.393299206|-22.85591194|56.61727428|0.465725912|-731.3891821000001|681.6778419|-11.99782981|0.147968773|14.39849078|0.871698484|-383.9305539|26.82520454|0.013442698|-369.5858437|335.7078145|7.056520179|1.0|1.0|0.0|3.24|0.0|-6.63|4.83|5.14|78.66|93.78|0.0|1.0|2.0|-6.46|23.0|3.0|-4.91|0.0|1.0|4.4|-5.79|3.43e-07|0.000124|1.62e-06|5.07|0.0|0.0|8.57e-05|-0.07424|4.0224|4.84|3.1577|-2173.044757|-2173.0224510000003|540.25|896.63|392.64|0.3539|308.23|429.31|0.6988|0.2682|-0.13191|-0.20615|0.02230594|2.7075|6.1403
25c_a34|0.0|0|0|0|0.0|0.0|7.412764017000001|2|1.958290974|0.024837617|-0.014384932|-0.047513652|2|0.0|-0.834326082|-0.056443595|10.95957635|1|0.001433865|-0.563411433|0.809687672|0.80135608|0.118901861|-0.072907053|0.844690266|0.683231623|-0.088513496|-0.113392997|-59.0359041|29.22363765|-0.031498055|-50.44285726|93.28638171|0.537428437|-1.7008949569999998|-21.008278|88.25954175|0.4356106729999999|-1134.447012|2439.174137|-14.01190479|0.4625715629999999|13.26192888|0.77182656|-756.6428589|39.09037289|0.037538004|-49.9273377|648.0187526000001|25.03674677|0.0|1.0|1.0|3.64|0.32|-5.71|2.18|1.98|90.74|116.0|0.0|2.0|6.0|-2.81|31.0|6.0|-7.95|0.0|0.0|1.93|-3.28|0.00156|659.0|0.000523|1.3|0.0|0.0|0.0008289999999999|-0.03272|4.2095|4.32|4.2095|-1426.704645|-1426.666471|704.43|1180.85|294.54|0.2239999999999999|294.54|561.29|0.69247|0.2239999999999999|-0.17424|-0.2069599999999999|0.03817361|9.8087|5.7496
18c_a30|0.0|0|0|0|0.0|0.0|7.412764017000001|2|0.0|0.12157783|-0.0109670669999999|-0.118776867|2|0.0|-0.625122815|0.0119521719999999|10.31163825|1|-0.002215642|0.006103754|0.841060094|0.8303425640000001|0.034468997|-0.058608635|0.885516463|0.717052026|-0.105618255|-0.1115683|-71.31647561|13.07260474|-0.042101245|-50.86775696|103.215593|0.7859920029999999|-2.2313660090000003|-28.4279687|84.38908035|0.448899917|-1506.682341|3094.729399|-19.19537998|0.214007997|13.8741593|0.81455244|-1017.355139|36.16826708|0.018410634|-386.2200097|713.7769663|12.43138832|1.0|0.0|0.0|4.85|0.13|-6.19|3.04|1.72|124.74|135.37|0.0|1.0|6.0|-5.01|32.0|5.0|-7.05|0.0|0.0|1.91|-4.3|9.68e-06|0.00427|5e-05|2.74|0.0|0.0|0.000288|-0.05575|3.4848|4.54|3.4848|-1744.500825|-1744.455795|711.56|1209.11|355.78|0.3879|355.78|543.46|0.69123|0.3879|-0.14225|-198.0|0.04503016|8.64|7.9208
17_a4|0.0|0|0|0|0.0|-4.533317957|7.535296702|1|1.690442177|-0.188642713|-0.006491052|-0.319716072|1|0.0|-0.25315101|-0.3948966229999999|10.94611837|1|0.002155864|-0.07155304|0.49887819|0.772721853|0.0147116789999999|-0.12969185|0.8347553529999999|0.888791225|-0.0887214819999999|-0.08932566|-45.75108579|5.472562628|-0.042181562|-23.75316417|0.0|0.861696586|-1.5185362180000002|-21.75180355|51.22364842|0.4440629029999999|-783.0649279|1658.726841|-11.21677197|0.138303414|10.65499029|0.798764653|-403.8037909|25.24299609|0.012827738|-373.0328031|319.5521911|6.61489113|1.0|0.0|0.0|3.31|0.11|-6.56|4.59|6.26|30.71|85.09|0.0|1.0|3.0|-4.36|25.0|6.0|-5.56|1.0|1.0|4.29|-4.81|4.39e-05|0.0152|1.5399999999999998e-05|4.01|0.0|0.0|9.44e-05|-0.04186|4.3363|4.44|4.3363|-1255.994721|-1255.968357|527.39|873.5|285.92|0.2045|285.92|413.28|0.47353|0.2045|-0.17559|-0.21745|0.02636403|6.3221|6057.0
20_a4|0.0|0|0|0|0.0|0.0|7.535296702|1|2.017439295|-0.203359312|-0.003103385|-0.00123671|1|0.0|-0.124135414|-0.1473674569999999|10.9459449|1|0.012025268|-0.103098674|0.691307598|0.7797803109999999|0.246357638|-0.105783279|0.8404413829999999|0.918147288|-0.060595472|-0.072188305|-29.16642156|11.03865532|-0.0273144939999999|-16.72448692|68.49419443|0.6435852470000001|-1.010636274|-13.14728679|40.20507689|0.421704107|-486.4496111|1379.418733|-6.32818424|0.356414753|9.58599918|0.729218575|-234.1428169|20.4281979|0.024334176|-138.2237887|338.71903330000004|11.71277006|1.0|1.0|1.0|3.23|0.11|-5.55|3.2|3.54|39.94|86.62|0.0|2.0|3.0|-3.46|22.0|3.0|-5.96|0.0|1.0|2.97|-3.87|0.000346|0.1|0.000134|2.96|0.0|0.0|0.000806|-0.03048|5.1778|2.73|4.0419|-934.2489802|-934.2266312|517.72|861.05|306.74|0.2364|239.45|402.27|0.66028|0.1415|-0.16699|-0.19747|0.022349042|5.5779|6.1898
17_a3|0.0|0|0|0|0.0|0.0|6.823286122000001|0|0.0|0.188373421|-0.009450704|-0.118246266|2|1.709081227|-0.349676046|-0.041723219|10.31163036|1|-0.006696449|0.036673175|0.881253042|0.767641592|0.1789147639999999|-0.085686119|0.838125715|0.803075623|-0.098658557|-0.096067661|-50.20132919|5.251911643|-0.039557272|-24.87357062|76.17242478|0.840062179|-1.344947254|-20.12828595|55.45324083|0.4383349039999999|-684.3617224|1667.279771|-10.24205849|0.159937821|11.12358659|0.780420408|-348.2299886|23.96047156|0.012803096|-346.0738521|353.7528308|6.514715538|1.0|1.0|1.0|3.13|0.0|-7.48|4.96|4.66|92.93|95.5|0.0|1.0|2.0|-5.53|23.0|3.0|-5.61|0.0|1.0|3.71|-4.93|2.96e-06|1.0|1.18e-05|3.88|0.0|0.0|1.11e-05|-0.0720399999999999|3.2102|3.57|3.2102|-1731.75233|-1731.72355|537.32|891.3|386.22|0.4062|386.22|393.58|0.69481|0.4062|-0.13155|-0.20359|0.02878063|4.8815|7.6383
1e_a5|0.0|1|0|0|2.953259375|0.0|6.605297921|0|0.0|-0.260066152|-0.001975193|-0.009075016|2|0.0|-0.084933308|-0.1197834419999999|10.94440038|1|0.007357977|0.0578378779999999|0.71274658|0.771487328|0.045376705|-0.075239398|0.834250802|0.8805795|-0.06795194|-0.069725333|-35.30075748|4.461204261000001|-0.0278901329999999|-18.81719677|0.0|0.7473936259999999|-1.115605324|-14.48881117|39.76196174|0.482579989|-579.5524467|827.4861275000001|-7.526878708|0.2526063739999999|12.39753333|0.932665879|-301.0751483|19.38578369|0.0157106539999999|-257.0399733|409.0289917|8.161620868|1.0|0.0|1.0|2.83|0.05|-8.41|4.99|4.51|54.46|95.45|0.0|1.0|3.0|-4.25|24.0|3.0|-5.77|0.0|1.0|3.44|-4.45|5.5700000000000005e-05|0.0174|3.5600000000000005e-05|3.43|0.0|0.0|1.21e-06|-0.04186|4746.0|3.17|4.4292|-990.6320386|-990.6006645|560.58|935.47|279.92|0.5156|261.24|427.87|0.51802|0.1355|-0.18105|-0.22291|0.0313740589999999|3.0386|6719.0
14w_a23|0.0|0|1|1|0.0|0.0|7.423568444|0|3.132012648|0.013971812|-0.006481882|-0.109136569|2|0.6813799420000001|-0.330575965|-0.042151195|10.31321817|2|0.003906274|-0.206574435|0.5788469970000001|0.802520527|0.059273664|-0.049318182|0.8668730109999999|0.7880718659999999|-0.070714528|-0.088508061|-46.76570273|14.84036772|-0.035779855|-38.70975831|90.15900589|0.743451788|-1.681653166|-23.66232347|61.60607046|0.4972095239999999|-1112.129203|2283.383402|-15.648625699999998|0.256548212|15.58053709|0.988900044|-735.4854078|31.82765022|0.020725002|-322.004381|597.2903597999999|13.70608418|0.0|1.0|0.0|3.42|0.05|-7.93|4.2|5.14|105.02|120.2|0.0|1.0|5.0|-5.68|32.0|6.0|-6.35|0.0|0.0|4.05|-5.27|2.09e-06|0.0009369999999999|5.41e-06|3.78|0.0|0.0|5.23e-06|-0.0798|3.6632|3.97|3.6632|-1828.385903|-1828.363862|676.92|1150.31|338.46|0.3855|338.46|535.54|0.6219399999999999|0.3855|-0.14844|-0.22824|0.02204118|9.8981|8.6737
7f_a8|0.0|1|0|0|2.961566988|0.0|7.05012252|0|1.2793830309999998|-0.139912829|-0.005338193|-0.073219554|0|0.0|-0.234880498|-0.087673259|10.94343485|1|0.00084936|0.141285105|0.515235986|0.7051689170000001|-0.048917705|0.041366689|0.7677336090000001|0.770229267|-0.091890536|-0.08790841|-52.28313554|7.858266077000001|-0.040738044|-28.45850692|55.49953831|0.880922225|-1.670259798|-23.17880348|60.14140162|0.4513917389999999|-950.3309426|1854.738581|-13.18808857|0.119077775|14.04331892|0.822794279|-540.7116315000001|26.31197491|0.010262531|-433.4681077|446.5544107|5.839092213|1.0|1.0|0.0|3.14|0.0|-8.46|5.52|5.49|61.58|101.89|0.0|1.0|3.0|-5.68|28.0|4.0|-5.27|0.0|1.0|4.63|-5.5|2.09e-06|0.00078|3.16e-06|4.66|0.0|1.0|1.31e-06|-0.07492|3.8187|6.81|3.4810000000000003|-1285.196168|-1285.168078|584.99|991.61|356.17|0.3536|324.68|495.55|0.6987399999999999|0.1502|-0.14506|-0.21998|0.02809022|11.6137|4.4479
