molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|AATSC1are|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|MATS8s|MATS8d|GATS1pe|nFaHRing|PBF|FPSA3|PPSA3|RNCS|TPSA_x|FNSA4|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
4g_a46|0.0|0|0|0.0|0.171759574|1|1.134637064|-0.153373738|-0.001702489|5.587248657999999|2|-0.093447672|0.0|0.011488768|10.96333695|-0.138341481|1|0.010608122|-0.078780402|-0.121452903|-0.2455749539999999|2|-0.200628401|-0.193115055|0.635494818|0|0.318162858|0.00801562|4.598866947|7.38470955|30.50581108|-0.024339048|-1.192613373|-18.72788427|-13.96424081|37.24073329|0.448462961|2242.010126|2285.43285|-8.0118178|0.1731389069999999|0.8131148579999999|5176.321714|99.33639766|-392.5790722|16.88825479|4.477396402|1.0|0.0|1.0|1.0|3.61|0.38|-7.8|5.19|43.6|3.06|2.0|1.0|106.55|1.0|26.0|3.0|-5.18|1.0|4.39|0.00155|4.16e-06|0.00153|0.0|0.0|1.57e-08|-0.03985|4.65|4.4163|-1493.154666|615.33|1064.92|0.1294|280.74|530.39|0.6983199999999999|0.6983199999999999|-1492.923098|0.1294|-0.18602|-0.22587|0.02266493|-1492.979142|5.5615
14b_a23|0.0|0|1|0.0|0.0|2|1.197963628|0.065240838|-0.006248709|5.351858133|2|0.0519489729999999|0.716540473|0.007671236|10.31321824|-0.047410593|2|0.0075222369999999|-0.073945564|-0.17267308|-0.4557487779999999|2|-0.00399443|-0.077808321|0.5935522360000001|1|0.228282196|0.020454632|13.26014776|40.76245006|99.66542762|-0.03508139|-1.64882535|-26.58857202|-22.74225338|54.274732400000005|0.450973737|2943.803333|2280.830615|-14.74314679|0.225640295|0.821406493|6622.129837|146.2760938|-692.9278992000001|29.36910744|11.53563485|0.0|0.0|1.0|1.0|3.44|0.05|-7.67|3.78|105.02|3.4|2.0|1.0|120.24|1.0|31.0|5.0|-6.31|0.0|3.78|0.00114|7.73e-06|0.00332|0.0|0.0|2.14e-08|-0.07803|3.72|3706.0|-1729.161608|673.05|1142.37|0.3603|334.55|525.66|0.58097|0.58097|-1728.9300010000002|0.3603|-0.15064|-0.2286699999999999|0.02188578|-1728.9893510000002|8.3536
8b_a32|0.0|1|1|3.419952523|0.0|0|0.609420757|0.113639567|-0.009362305|5.733341277|0|-0.008128765|2.123714284|-0.003484915|10.31100269|-0.0684566009999999|3|-0.001662219|-0.0852122769999999|-0.1534110109999999|-0.577864293|0|0.060636167|-0.1152380009999999|0.7507116140000001|1|0.253018806|0.016711528|10.49093175|102.4297669|132.9495116|-0.03079624|-1.4166270230000002|-33.50038167|-19.33283713|63.85535908|0.458155153|2573.703546|2275.886421|-12.13650094|0.330850796|0.845546757|5619.400983|207.6969342|-558.2790432999999|28.89166873|13.32443194|1.0|1.0|1.0|1.0|3.04|0.26|-7.65|6.49|140.04|1.1|1.0|0.0|110.47|1.0|27.0|4.0|-6.44|0.0|3.61|0.000583|4.06e-05|0.0161|0.0|0.0|2.23e-08|-0.05404|4.22|3.5442|-1880.77142|671.54|1114.24|0.2943|349.82|558.16|0.70285|0.70285|-1880.539698|0.2943|-0.14717|-0.20121|0.03602276|-1880.602014|7.9208
17_a4|0.0|0|0|0.0|-4.533317957|1|1.219995452|-0.188642713|-0.006491052|5.4161004020000005|1|-0.01849014|0.0|0.001892883|10.94611837|-0.094767116|1|0.002155864|-0.0179434139999999|-0.07155304|-0.392770755|1|0.0147116789999999|-0.12969185|0.484393047|0|0.332034943|0.01061251|5.472562628|17.08736223|57.34712812|-0.042181562|-1.5185362180000002|-23.59250328|-21.75180355|51.22364842|0.4440629029999999|2351.601697|1658.726841|-11.21677197|0.138303414|0.798764653|5322.773303|71.31904507|-403.8037909|25.24299609|6.61489113|1.0|0.0|1.0|0.0|2.94|0.11|-6.56|4.59|30.71|3.66|1.0|0.0|85.09|1.0|25.0|6.0|-5.56|0.0|4.29|0.0152|1.5399999999999998e-05|0.00532|0.0|0.0|2.74e-07|-0.04186|4.44|4.3363|-1255.994721|527.39|873.5|0.2045|285.92|413.28|0.47353|0.47353|-1255.881628|0.2045|-0.17559|-0.21745|0.02636403|-1255.932407|6057.0
19c_a38|0.0|1|0|3.332128134|0.0|0|1.297043851|-0.085545751|-0.008177185|5.351858133|2|0.02192428|0.0|-0.004442319|10.95429182|-0.0431896509999999|1|-0.002443797|-0.09493054|-0.20848518|-0.434836855|1|0.073931688|-0.071918235|0.6885713729999999|0|0.396635872|0.024315945|15.30924906|139.1570837|151.612258|-0.038224114|-1.949429829|-36.38913762|-24.06579196|73.10674676|0.477803802|2967.98627|2660.812979|-15.15175311|0.281292809|0.914989047|6618.350708|177.10114030000005|-772.7394084|33.48483537|14.55670345|1.0|0.0|1.0|1.0|3.0|0.13|-6.92|3.17|105.02|1.76|1.0|0.0|130.41|1.0|32.0|5.0|-7.13|0.0|2.57|19.0|7.55e-05|0.0322|0.0|0.0|1.2099999999999998e-07|-0.05691|3.23|3.8322|-1424.42734|652.09|1138.6|0.2961|210.74|517.28|0.2597|0.6279899999999999|-1424.1880119999998|0.1417|-0.15612|-0.21303|0.03740877|-1424.247603|8.0348
14k_a23|0.0|0|1|0.0|0.0|2|1.1979621459999998|0.070940371|-0.005866159|5.351858133|2|0.04479394|0.74561778|0.010682694|10.31321813|-0.055708465|2|0.009263715|-0.071484865|-0.13187015|-0.463402169|2|0.140087361|-0.091426449|0.659570836|1|0.226547411|0.018829201|12.53019305|38.76597615|51.64167457|-0.033999976|-1.597998852|-24.9092952|-22.62582822|49.96154892|0.486654314|2955.4566170000003|2174.886074|-15.05671972|0.216437606|0.948005074|6715.186162999999|144.0318708|-707.6658267999999|28.87559227|10.87921891|0.0|0.0|0.0|1.0|3.56|0.05|-7.99|4.0|105.02|3.51|2.0|1.0|125.29|1.0|31.0|4.0|-6.03|0.0|3.99|0.000334|2.83e-06|0.00126|0.0|0.0|1.02e-08|-0.07933|4.1|3.6421|-2089.524497|691.9|1179.17|0.4694|340.42|552.65|0.63765|0.63765|-2089.293765|0.4694|-0.14784|-0.2271699999999999|0.02271117|-2089.354026|8.4123
5a_a50|0.0|0|1|0.0|0.0|2|1.3972442980000002|-0.203248487|-0.00148647|5.82008293|1|0.017227585|2.475383677|0.012640587|10.93256969|-0.130929632|2|0.01228899|-0.102607753|-0.168135655|-0.161169418|1|-0.132977171|-0.203436041|0.6759066159999999|1|0.2814514|0.010185297|5.435098605|6.819160781|16.06582337|-0.022747617|-0.978147545|-11.08625592|-12.13862875|26.21058426|0.4528093929999999|2246.106104|1605.985157|-6.477439183|0.33472483|0.8275167520000001|4770.917486|178.61652859999998|-278.5298849|18.24602704|9.379218813|1.0|0.0|1.0|1.0|3.28|0.14|-6.24|3.66|35.64|2.62|0.0|0.0|101.86|1.0|25.0|2.0|-5.83|1.0|3.47|42.0|3.14e-05|0.0102|0.0|0.0|5.7e-07|-0.02487|3.39|4.0159|-1029.930364|582.98|976.41|0.2735|220.82|455.34|0.39948|0.6725399999999999|-1029.734933|0.1156|-0.16659|-0.19146|0.02452028|-1029.786489|5.3872
9s_a24|0.0|1|0|2.9568988810000003|0.0|0|1.4275963180000002|-0.222173285|-0.003599664|4.59511985|4|-0.050919714|0.0|0.006748865|10.96129902|0.013901071|1|0.007695726|-0.204128966|-0.359715589|-0.248704391|3|0.030228027|0.0256742079999999|0.748077475|0|0.483170382|0.016792118|10.42725806|33.24649431|72.43525688|-0.019465646|-0.953816666|-19.21235005|-12.08741583|41.36694069|0.47085169|2747.809842|969.5210193|-7.505819207999999|0.554839231|0.889829339|5767.9102490000005|344.5337711|-367.7851412|27.15292246|21.71205366|0.0|1.0|1.0|1.0|2.78|0.04|-8.11|3.15|77.21|0.81|1.0|0.0|115.67|1.0|30.0|4.0|-7.2|0.0|2.63|171.0|8.71e-05|0.0343|0.0|0.0|7.73e-09|-0.03597|1.82|2.6707|-1271.031372|654.28|1121.42|0.5112|403.51|521.4|0.69475|0.6907300000000001|-1270.738032|0.0839|-0.10865|-0.14462|0.03640642|-1270.796154|7.4949
3e_a32|0.0|1|1|3.501917045|0.0|0|0.609420788|0.015619823|-0.006553709|5.733341277|0|-0.057366352|2.220794149|0.000655875|10.31100276|-0.080731823|3|0.002004382|-0.076494363|-0.1395294259999999|-0.551661318|0|-0.061561535|-0.12378337|0.77923808|1|0.290874543|0.0124235339999999|6.69516884|47.09895162|71.04473954|-0.030786645|-1.200679139|-21.32040233|-16.59123638|46.25723848|0.4513338939999999|2212.661182|1732.3689949999998|-8.941186293|0.224744634|0.822602107|4827.877259000001|121.1171726|-348.70626539999995|21.40099522|6.94742943|1.0|1.0|1.0|1.0|3.04|0.24|-6.92|6.8|110.94|1.94|1.0|0.0|97.86|1.0|23.0|3.0|-5.2|0.0|4.3|0.000103|6.6e-06|0.00225|0.0|0.0|1.2099999999999998e-07|-0.0534399999999999|3.52|3.5589|-1672.748189|578.77|956.67|0.2914|348.38|456.76|0.7025399999999999|0.7025399999999999|-1672.576776|0.2914|-0.14754|-0.20098|0.02588637|-1672.62984|8.0862
18a_a25|0.0|0|0|0.0|0.0|1|1.194229606|-0.151473962|-0.0029953159999999|4.727387819|2|0.062229409|2.050257213|0.007643634|10.31286118|-0.019985937|1|0.007325341|-0.037072518|-0.06333068|-0.2936794219999999|2|-0.039007784|-0.035531959|0.7291583840000001|1|0.341320954|0.0095281269999999|6.317215793|75.74077952|45.33086513|-0.03097773|-1.641819678|-24.58404782|-20.53845469|43.39683067|0.493301255|2857.88027|2331.966135|-13.61714122|0.182927961|0.973559258|6523.923911999999|121.2825364|-721.7084848|25.136651|7.615762647|1.0|1.0|1.0|1.0|3.43|0.08|-9.78|5.89|87.72|2.88|2.0|1.0|133.85|1.0|32.0|3.0|-5.58|0.0|4.53|0.000202|1.71e-06|0.000744|0.0|0.0|1.67e-10|-0.05591|4.51|3.1711|-1675.274716|694.17|1229.09|0.3234|225.57|556.26|0.2834|0.5274399999999999|-1674.982248|0.0027|-0.15732|-0.21323|0.02456497|-1675.04368|7.0269
