molecula|SddssS|NaaNH|SaaNH|SssssC|SRW09|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|GATS1pe|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|PNSA2|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
8d_a12|0.0|1|2.976279182|0.0|6.580639137|1.283835213|0.0|0.057525383|4.59511985|-0.048642535|2|0.038347953|0.0276482139999999|2.075171777|-0.376778003|0.000925796|10.94458983|1|0.001575111|0.00930483|0.016135176|-0.484923957|1|0.8857286320000001|-0.080872311|0.8405406040000001|-0.077834742|-0.103548595|0.266886187|0.011348654|-57.57034769|6.309558958999999|90.34024296|-0.039118358|-32.00762818|3.507952014|0.8338637040000001|-1.760326118|-24.05928792|64.53435462|-21.74879802|49.58366734|-978.6959108|6.93584319|0.8695567329999999|92.36749461|-544.129679|26.08195789|0.012525773|1173.6881050000002|1.0|1.0|2.0|4.06|0.1|21.0|-8.37|3.87|2.0|0.0|0.0|3.0|-4.58|352.39|0.0|3.02|2.64e-05|2.43e-05|0.0085799999999999|3.51|0.0|4.23e-09|1.49e-06|4.2383|3.7397|-1138.296407|1007.85|0.2871|292.53|433.32|0.4997399999999999|-1138.086709|0.0853|-0.15306|2.1281|-0.20794|3.0277|25.0|7.6021|7.6021
2_a3|0.0|0|0.0|0.0|6.823286122000001|0.605017347|0.0|0.176032668|4.727387819|-0.09743592|2|0.034166667|-0.103423993|2.058239271|-0.311617665|-0.006049098|10.31162302|1|-0.0045709459999999|0.017902469|0.032450556|-0.568019422|2|0.899733837|0.065162907|0.841871246|-0.104577702|-0.09392632|0.4551292289999999|0.011938463|-44.07280196|5.601853871|228.178656|-0.033150466|-20.68016573|2.628543258|0.727984269|-1.127115845|-23.02532673|53.05538527|-15.55510657|54.67257594|-528.8736235|4.88513521|0.845708123|127.637231|-248.1619888|21.36736636|0.019143348|726.4904564|1.0|1.0|1.0|2.97|0.0|21.0|-6.89|4.34|0.0|0.0|0.0|2.0|-4.75|304.37|0.0|3.06|1.7800000000000002e-05|5.33e-05|0.0162|3.13|0.0|1.3e-07|3.9500000000000005e-05|5.4397|3.3354|-1272.143337|841.85|0.1824|227.92|340.69|0.69543|-1272.001389|0.0962|-0.14605|4.0121|-0.21028|5.4999|3981.0|5.4|5.4
9d_a31|0.0|1|3.456767212|0.0|7.765993078999999|0.61013528|0.0|0.036844743|5.733341277|-0.043220149|0|0.0359583329999999|-0.057650507|0.0|-0.696763933|-0.002456634|10.31169788|2|0.000127275|-0.134504227|-0.214049412|-0.550392027|0|0.8066174070000001|-0.0375445629999999|0.771222772|-0.098210975|-0.11958484|0.3655337879999999|0.029032453|-81.53295088|19.79432796|154.8767865|-0.033844766|-55.58917047|13.49577391|0.6636195229999999|-1.793772606|-45.65350116|97.84665015|-23.07536346|86.75457645|-1222.994263|9.436176796|0.8433415740000001|229.34422830000003|-833.8375571|34.77197803|0.023927395|1842.914835|1.0|1.0|2.0|3.8|0.38|16.0|-7.63|6.04|2.0|0.0|0.0|9.0|-5.61|412.51|0.0|3.65|2.48e-06|4.06e-05|0.0167|3.46|0.0|2.3500000000000002e-08|9.69e-06|3.8478|3.8478|-1657.471475|1202.79|0.2611|322.22|630.49|0.7006899999999999|-1657.1791449999998|0.2611|-0.15969|2.6311|-0.19426|3.5077|0.6|6.2218|6.2218
47a_a18|0.0|0|0.0|0.0|7.03438793|0.403918489|0.0|0.018016478|4.844187086|-0.18843247|0|0.033641026|0.043161338|0.0|-0.464122017|-0.005483379|10.35082811|0|-0.000633273|-0.232940071|-0.358939392|-0.369841706|0|0.842412605|0.089156939|0.792293789|-0.082855697|-0.099310031|0.371382587|0.014124484|-81.42570819|11.58086543|100.7293848|-0.036234741|-66.76209701|9.49531639|0.7936193709999999|-2.681370849|-55.70051708|93.5899242|-29.70938001|79.51543089|-2198.494121|10.20255289|0.934960691|169.2144153|-1802.576619|37.435301|0.014835962|2770.212274|1.0|1.0|3.0|4.97|0.28|18.0|-8.27|0.48|3.0|1.0|1.0|12.0|-6.74|547.67|0.0|2.02|1.8100000000000002e-07|2.62e-06|0.00143|4.44|0.0|5.4e-09|2.95e-06|3.1947|3.1947|-2098.807018|1536.87|0.6094|388.09|813.01|0.69508|2098.280307|0.6094|-131.0|2.6271|-0.18291|3.0133|1.0|9.0|9.0
16b_a32|-3.3094926630000003|1|3.2902303|0.0|7.765993078999999|0.2980105389999999|0.0|0.0873104119999999|5.733341277|-0.3723824429999999|0|0.041958333|-0.012739425|2.033356859|-0.423467596|-0.008277865|10.31100078|3|-0.00180101|-0.1202046419999999|-0.222700615|-0.586122949|0|0.745820612|-0.098450203|0.6762731040000001|-0.088716278|-0.1083060409999999|0.559199331|0.015808858|-69.39772428|10.12961779|53.96132589|-0.0345657579999999|-44.4669946|6.490611388|0.7476362679999999|-1.624590613|-36.42406481|80.37824892|-22.14820988|66.97508778|-1040.965864|6.466656381|0.709394251|161.7035261|-667.0049190000001|29.62431176|0.017136832|1392.342653|0.0|1.0|2.0|3.71|0.28|19.0|-7.6|5.4|1.0|0.0|1.0|7.0|-6.28|433.57|1.0|3.26|5.19e-07|2.84e-05|0.0123|3.14|0.0|2.54e-08|1.1e-05|3.6211|3.6211|-2315.990437|1137.73|0.2849|342.39|567.01|0.70233|-2315.757928|0.2849|-0.14995|4.4055|-0.2094099999999999|7.0093|17.0|7.7696|7.7696
18d_a25|0.0|0|0.0|0.0|6.842683282|1.193723212|1.918453956|-0.0881447869999999|4.727387819|0.024310576|2|0.042843137|-0.031867489|2.029297802|-0.180590503|0.006452854|10.31285314|1|0.0062422|-0.035684977|-0.061965108|-0.292727912|2|0.722349659|0.029728702|0.696372329|-0.061527513|-0.076328248|0.278576218|0.011158458|-57.45144813|8.39885106|70.58850837|-0.0281209329999999|-43.24308488|6.3217245360000005|0.75793699|-1.602893201|-34.85786147|68.15463481|-21.166323|54.70994625|-1206.480411|9.479218984|0.911437354|182.1982146|-908.1047824|27.92623037|0.014219928|1591.795131|1.0|1.0|1.0|3.66|0.11|27.0|-10.23|6.33|2.0|1.0|0.0|7.0|-6.26|474.58|1.0|4.5|5.47e-07|2.86e-06|0.0013599999999999|4.21|0.0|5.92e-11|2.81e-08|5.6512|3.6392|-1806.848384|1358.25|0.3986|219.39|664.72|0.6823899999999999|-1806.514606|0.0389|-0.14723|3.2353|-0.2201|4.3658|232.0|6.6345|6.6345
11f_a5|0.0|1|2.967866825|0.0|6.605297921|1.370797007|0.0|-0.251797205|4.59511985|0.022233547|3|0.021060606|-0.083432989|0.0|-0.227966183|0.00722997|10.94877949|1|0.008309782|-0.128153787|-0.203228986|-0.230681941|2|0.785419245|-0.016518403|0.750555185|-0.068361657|-0.074612137|0.368815548|0.0221464629999999|-51.92819555|15.41338844|70.39517801|-0.022252743|-36.14073513|10.72733576|0.5109475960000001|-1.268406334|-33.11311829|73.05195434|-15.48735657|62.99140465|-882.7793242999999|9.683662007|0.8628345190000001|340.3683339|-614.3924972|30.31104695|0.030351311|1727.7296760000002|1.0|1.0|1.0|3.35|0.24|23.0|-8.67|4.61|1.0|0.0|0.0|7.0|-3.95|427.5|0.0|2.95|0.000112|5.479999999999999e-05|0.0234|2.7|0.0|2.12e-09|9.06e-07|4.4523|4.1356|-1391.7602960000002|1239.35|0.5834|278.47|579.1|0.64937|-1391.444853|0.1834|-0.1691|2.1313|-0.20772|2.9697|12.0|7.9208|7.9208
12as_a36|0.0|1|3.447017327|0.0|7.412764017000001|1.297043209|0.0|-0.051208473|5.351858133|-0.073735973|2|0.041728395|0.096454203|0.0|-0.452697599|0.000584134|10.95347588|1|0.0018565629999999|-0.098698552|-0.166354116|-0.4358775279999999|1|0.8058720979999999|-0.04244711|0.770400825|-0.082748367|-0.109492809|0.291030086|0.019229943|-73.78005999|12.95780416|88.17694537|-0.037824788|-49.71556877|8.731418812000001|0.768125394|-2.080363362|-37.57216725|85.53474971|-25.48765709|68.71652969|-1401.82114|8.768282531|0.834059821|156.2451686|-944.5958066|33.18163581|0.017444469|1824.98997|0.0|0.0|2.0|4.86|0.17|17.0|-6.89|3.16|1.0|0.0|0.0|6.0|-3.81|423.47|0.0|1.84|0.000154|0.000112|0.0476|2.36|0.0|1.29e-07|5.4600000000000006e-05|4.5202|3851.0|-1385.601917|1207.35|0.5902|274.29|568.52|0.68211|-1385.322633|0.2402|-0.1563|4.8580000000000005|-0.21419|6.8556|59.0|7.2291|7.2291
9a_a31|0.0|1|3.348289714|0.0|7.765993078999999|0.6101356720000001|0.0|-0.009086485|5.733341277|-0.093457477|0|0.036891534|-0.05057805|0.0|-0.723734943|-0.006189303|10.31169772|2|-0.0033853629999999|-0.093527289|-0.15653721|-0.542342338|0|0.8058046320000001|-0.001313433|0.76226755|-0.100906991|-0.122626525|0.235442032|0.033245595|-78.6954713|21.33533299|163.6011874|-0.043430228|-50.50275387|13.69193237|0.737758755|-2.0846509230000003|-41.55773748|94.03540892|-27.87131275|86.0923113|-1337.8230119999998|7.812278516|0.939873412|168.29310269999996|-858.5468158|37.77835579999999|0.0239033229999999|1813.361078|1.0|1.0|2.0|3.6|0.14|22.0|-8.13|5.51|1.0|0.0|0.0|6.0|-5.62|418.47|0.0|3.47|2.42e-06|1.7100000000000002e-05|0.00715|3.47|0.0|7.35e-09|3.07e-06|3.7892|3.7892|-1691.9526239999998|1145.99|0.7028|327.21|540.01|0.7028|-1691.716118|0.7028|-0.15757|5.0244|-0.20032|6.2203|0.15|6.8239|6.8239
15b_a50|0.0|0|0.0|0.0|7.934155233999999|1.353059441|4.112770601|-0.144363623|5.82008293|-0.05484142|1|0.032843915|-0.103807905|2.018777006|-0.22696498|0.004641091|10.94501702|2|0.005203263|-0.131737048|-0.2185722769999999|-0.310946931|1|0.79846758|-0.216393362|0.764606364|-0.082576068|-0.080700307|0.447220762|0.020083792|-46.13641893|11.48191704|274.85729960000003|-0.028069672|-26.37622116|6.564219549|0.639017342|-1.291204916|-26.98929785|60.03646705|-16.04745006|58.69070955|-738.1827030000001|6.89125222|0.919348867|206.3740238|-422.0195386|25.11269883|0.024313507|1155.184146|1.0|1.0|1.0|3.56|0.19|20.0|-5.72|2.71|1.0|0.0|0.0|5.0|-3.18|357.41|0.0|2.37|0.000654|0.000249|0.0891|2.11|0.0|1.92e-06|0.000687|4.0561|4.0561|-1160.4989460000002|1035.3|0.1796|305.67|475.99|0.65917|-1160.275856|0.1796|-0.16737|6.9054|-0.20071|9.3788|79.0|7.1024|7.1024
5_a18 (BIBF0775)|0.0|0|0.0|0.0|7.03438793|1.251175715|0.0|0.0160123|4.844187086|-0.015946718|1|0.035478927|-0.0366107389999999|0.0|-0.391512249|0.002526619|10.94702058|0|0.0036739159999999|-0.144352593|-0.216531385|-0.453086741|0|0.7140745620000001|-0.040022105|0.7061155790000001|-0.068989967|-0.078246932|0.420002762|0.008501088|-59.08151918|6.418873637000001|10.36586529|-0.029755876|-44.61038661|4.846666751|0.8159410579999999|-2.112667176|-39.33277643|67.25977848|-22.46761997|58.5107823|-1595.201018|9.798677372|0.937842434|138.97646310000002|-1204.480438|27.535837|0.010831199|1955.044427|1.0|1.0|2.0|4.42|0.32|18.0|-9.21|4.09|3.0|1.0|0.0|8.0|-6.07|494.63|0.0|3.2|8.590000000000001e-07|1.91e-06|0.000946|4.73|0.0|6.18e-10|3.06e-07|3.2027|3.2027|-1572.313227|1446.02|0.4825|378.13|691.68|0.69298|-1571.843719|0.4825|-0.13154|2.3389|-0.18092|2.8009|34.0|7.4685|7.4685
12j_a36|0.0|1|3.502198129|0.0|7.412764017000001|0.6293514410000001|0.0|-0.084183025|5.351858133|-0.0446165029999999|2|0.039061728|0.091496219|0.0|-0.41101009|0.00285431|10.33556498|1|0.003710345|-0.07550872|-0.133106642|-0.436310965|1|0.906423012|-0.089459459|0.855081905|-0.069970795|-0.105480639|0.362692602|0.018160631|-69.66341599|11.99396966|26.39145693|-0.037113558|-46.00836307|7.921272637|0.7758129420000001|-2.004132137|-30.5197407|80.59149538|-24.51120192|58.20533756|-1323.6049039999998|7.483427579|0.8425708820000001|148.06163930000002|-874.1588982999999|31.59421634|0.016546717|1706.0876829999995|0.0|1.0|2.0|4.86|0.17|17.0|-7.05|3.33|1.0|0.0|0.0|6.0|-4.85|427.52|0.0|2.33|1.4300000000000002e-05|3.09e-05|0.0132|3.19|0.0|8.95e-08|3.83e-05|5.2072|3.7807|-1670.448063|1198.96|0.4981|238.1|536.01|0.69967|-1670.184251|98.0|-0.15495|6.4451|-0.20593|8.5953|0.01|8.0|8.0
12e_a36|0.0|1|3.490984269|0.0|7.412764017000001|1.29704412|0.0|-0.064019914|5.351858133|-0.043085717|2|0.040899471|0.144415507|0.0|-0.404736007|0.002951176|10.95346131|1|0.003962098|-0.104118159|-0.1763783589999999|-0.43688276|1|0.90414347|-0.144846626|0.856274847|-0.07049439|-0.100988761|0.4347714629999999|0.019063245|-64.2330904|12.12502373|65.27404529|-0.036203518|-40.85494129999999|7.71202397|0.7610764190000001|-1.918786459|-28.51846223|75.50154216|-23.02695694|56.96241436|-1220.428718|6.767371321000001|0.875194483|151.9654247|-776.2438847|30.25577504|0.017716522|1603.556077|0.0|0.0|2.0|4.85|0.17|17.0|-6.97|3.24|1.0|0.0|0.0|5.0|-4.16|395.46|0.0|2.14|6.929999999999999e-05|5.05e-05|0.02|3.04|0.0|1.08e-07|4.270000000000001e-05|3.8364|3.6699|-1272.2668210000002|1142.19|0.4537|323.18|507.03|0.70007|-1271.999945|0.0006|-0.15189|6.5974|-0.20151|8735.0|14.0|7.8539|7.8539
10_a32|0.0|1|3.294952523|0.0|7.765993078999999|0.6094207629999999|0.0|0.153272514|5.733341277|-0.087497559|0|0.03995614|-0.020186906|2.067772926|-0.771023817|-0.0064007569999999|10.31100271|3|-0.00369116|-0.1260956869999999|-0.229450999|-0.690879647|0|0.809370315|-0.079818594|0.764217655|-0.088310158|-0.1223816869999999|0.266552538|0.02575778|-75.59866726|15.91131724|57.97512956|-0.038939628|-46.69945835|9.828875607|0.6946347429999999|-1.7133436169999998|-33.69815077|91.10767604|-24.0541214|70.46302679|-1058.381342|7.079344111|0.81769605|188.6328503|-653.7924168|34.62844557|0.025106509|1523.651605|0.0|1.0|2.0|3.56|0.22|19.0|-6.99|5.64|1.0|0.0|1.0|7.0|-6.04|399.49|1.0|3.42|9.17e-07|3.89e-05|0.0155|3.23|0.0|1.0300000000000001e-07|4.13e-05|3.6441|3.6441|-1916.668776|1086.09|0.2983|340.24|533.89|0.70228|-1916.460049|0.2983|-0.15088|2.4919|-0.2052199999999999|3.2297|7.0|8.1427|8.1427
5g_a40|0.0|0|0.0|0.0|8.149890544|0.604913142|1.534673091|0.0094595959999999|6.167516491000001|-0.190406197|0|0.044946237|-0.0602779129999999|0.64025463|-0.5611751220000001|-0.012794054|10.31198315|2|-0.012008571|0.07917206|0.137067086|-0.4748772539999999|0|0.795454476|-0.1312278909999999|0.7733200179999999|-0.153687065|-0.14338431|0.245639795|0.024937196|-68.05025116|11.83520323|216.425542|-0.049288357|-32.29667648|5.616992201|0.745349319|-1.577227413|-34.61732609|80.22859145|-23.39227384|84.77514603|-748.5527627|6.193485364|0.955183157|120.8573152|-355.2634413|31.38430965|0.025660198|1004.297909|0.0|0.0|2.0|3.13|0.21|14.0|-2.89|2.69|0.0|1.0|0.0|3.0|-4.24|301.32|0.0|2.01|5.78e-05|0.000426|128.0|2.17|0.0|0.0013|391.0|3.48|3.48|-1328.055803|800.98|261.0|356.27|367.19|0.6563|-1327.9345529999998|261.0|-0.14505|4.9132|-0.19908|6.7957|123.0|6.9101|6.9101
8h_a8|0.0|1|2.975382653|0.0|7.05012252|1.3918396709999998|1.241306689|0.038482973|4.844187086|-0.249095464|0|0.046205674|0.008138299|0.0|-0.485274006|-0.007796225|10.94341368|1|-0.007036544|0.09830823|0.254819201|-0.53822084|0|0.578166105|0.010682683|0.56916135|-0.122706004|-0.11302328|0.273425421|0.0111998669999999|-66.4523265|6.58499063|316.4918269|-0.048805507|-39.07081527|3.871662077|0.918315905|-2.147442322|-42.41801879|70.94463092|-28.69532281|78.73029948|-1262.594204|7.453557203|0.822939833|48.02637252|-742.3454901|31.2477685|0.00764059|1374.901814|0.0|0.0|2.0|3.11|0.0|23.0|-7.95|4.69|2.0|0.0|0.0|4.0|-5.21|391.37|0.0|4.01|6.11e-06|1.01e-05|0.00395|3.82|0.0|1.13e-08|4.43e-06|4801.0|3.7327|-1361.651799|1029.51|0.3011|258.25|480.09|0.69844|-1361.455676|272.0|-0.15475|3.4779|-0.21819|4.4356|11.59|4.9359|4.9359
12_a4|-3.2834578760000004|0|0.0|0.0|7.535296702|0.295190368|2.070952433|-0.1494133309999999|5.4161004020000005|-0.271149771|2|0.0381179139999999|-0.0334644329999999|1.587386096|-0.113938738|0.005795666|10.31168324|1|0.009024784|-0.051501982|-0.085553511|-0.220286906|2|0.5687812560000001|0.04172421|0.531333552|-0.070256284|-0.074699711|0.636722126|0.01168879|-44.33087544|6.936764267999999|15.80191019|-0.025916226|-26.30835499|4.116653575|0.717772573|-1.269895089|-24.74343259|53.59101661|-15.38009964|48.6306683|-753.6248824|6.223583758999999|0.889574393|167.4891205|-447.2420348|21.42753878|0.015603795|1049.9494|0.0|1.0|0.0|3.41|0.23|21.0|-7.84|3.69|1.0|0.0|0.0|4.0|-4.18|404.48|0.0|3.3|6.57e-05|4.64e-05|0.0188|2.72|0.0|1.45e-08|5.85e-06|4.8592|3.8083|-1617.861623|1101.33|0.1194|255.16|503.28|0.68825|-1617.57796|0.0464|-0.16224|7.8701|-0.2312199999999999|10.1971|9.29|5032.0|5032.0
27c_a34|0.0|0|0.0|0.0|7.412764017000001|1.4335249819999998|1.996958431|0.02583752|5.351858133|-0.1450543259999999|1|0.041728395|-0.08157574|0.0|-0.80008116|-0.008017781|10.95447877|1|-0.004694534|-0.128393271|-0.2077985889999999|-0.543350914|1|0.850511415|-0.0239323839999999|0.804740647|-0.114233896|-0.12597014|0.32643486|0.0304948179999999|-84.73908278|20.51361454|176.7076265|-0.042782312|-57.00328784|13.79934071|0.7381974290000001|-2.26746252|-51.69246989|100.1948155|-28.77931113|97.35782216|-1525.30349|8.808655321|0.738272657|176.1124482|-1026.059181|38.98592708|0.022975949|2066.254135|1.0|1.0|2.0|3.55|0.12|23.0|-7.67|3.11|1.0|0.0|0.0|6.0|-4.75|427.46|0.0|2.83|1.7800000000000002e-05|3.52e-05|0.0151|2.9|0.0|2.13e-08|9.1e-06|4277.0|3.9186|-1426.521813|1203.69|0.2385|289.89|558.04|0.70336|-1426.246896|0.0093|-0.1589|7.6204|-0.19682|9.6148|0.8|6.0969|6.0969
7b_a10|0.0|0|0.0|0.0|7.535296702|1.186434511|0.0|-0.170920618|5.4161004020000005|0.037541178|2|0.037804233|-0.060829392|2.079721225|-0.07459988|0.011041815|10.93274506|0|0.010068964|-0.051052176|-0.082499103|-0.1874708719999999|2|0.624866343|0.065705128|0.586354126|-0.0590666679999999|-0.0720417159999999|0.5113525529999999|0.009734392|-37.45675757|5.061217187|13.37827368|-0.027444463|-19.47494818|2.6314862480000003|0.781045839|-1.152667458|-15.96741933|43.9185573|-14.26924098|35.77183831|-599.3081212000001|4.854451707|0.8069307729999999|113.8411654|-311.5991709|18.26940272|0.012428175|767.3149142000001|0.0|0.0|0.0|3.9|0.25|16.0|-6.99|4.34|1.0|1.0|0.0|2.0|-5.28|346.81|0.0|3.02|5.29e-06|5.25e-06|0.00182|4.68|0.0|1.0200000000000001e-07|3.54e-05|6.0231|3.6426|-1450.09312|951.55|0.1488|205.85|400.65|0.66228|-1450.075119|0.0899|-0.1584799999999999|4.2068|-0.21225|5.6147|19.8|4.7033|4.7033
17_a12|0.0|0|0.0|0.0|6.823286122000001|0.610029543|0.0|0.132275232|4.727387819|-0.058347964|3|0.035816993|-0.210594127|0.0|-0.38018419|-0.002523977|10.31157659|1|-0.000651751|-0.113649923|-0.202276514|-0.559137213|2|0.918713011|-0.11976662|0.859088647|-0.069570363|-0.096209886|0.318309599|0.011226177|-50.13411606|5.849860887999999|69.36398419|-0.035198739|-26.12444199|3.048310481|0.786701219|-1.443148294|-18.89085387|57.97616997|-18.34174978|42.10235809|-752.0117408|5.669161963|0.8728564259999999|111.1480977|-391.8666299|23.31475957|0.015049295|955.9051425|1.0|1.0|1.0|4.13|0.17|17.0|-7.16|4.51|0.0|0.0|0.0|3.0|-4.51|333.41|0.0|3.14|3.1e-05|5.7100000000000006e-05|0.0191|3.19|0.0|6.97e-08|2.32e-05|4.4014|3.7723|-1366.804178|933.62|0.2213|281.69|419.49|0.62783|-1366.638303|148.0|-0.15459|2128.0|-0.21781|2.9806|16.0|7.7959|7.7959
6_a47|0.0|0|0.0|0.0|0.0|1.304328257|0.0|0.011739916|0.0|-0.1738997619999999|2|0.042276423|-0.14404966|1.291219116|-0.392537045|-0.010708889|10.93671042|0|-0.0094242819999999|-0.020576777|-0.04324355|-0.459934519|2|0.701994505|0.062425042|0.672308592|-0.080118846|-0.096689626|0.446564415|0.009820713|-52.41283988|5.323543706000001|101.7290544|-0.036834143|-28.411587800000003|2.885749555|0.7943908059999999|-1.547034008|-23.54237714|60.76103606|-19.96679614|48.75381069|-838.6054381|6.480620646|0.6832388209999999|111.4552019|-454.5854048000001|25.13472712|0.0154005|1055.658539|1.0|1.0|2.0|2.82|0.05|22.0|-9.06|5.24|2.0|0.0|0.0|3.0|-6.02|379.81|1.0|4.59|9.53e-07|1.63e-06|0.000619|5.06|0.0|8.71e-10|3.310000000000001e-07|5.5188|3.7196|-1608.684886|990.85|0.2536|224.66|422.9|0.69305|-1608.50108|0.2119|-0.1544|3.2606|-0.20794|4.2153|13.0|7.9|7.9
9_a47|0.0|0|0.0|0.0|0.0|1.3818994059999998|0.0|0.00410268|0.0|-0.1789147139999999|2|0.037492877|-0.043270202|1.323246814|-0.382556052|-0.009607222|10.93671087|0|-0.007880155|-0.021556658|-0.045757939|-0.4477815529999999|2|0.7033922579999999|0.075092937|0.689770023|-0.084368438|-0.0969292319999999|0.492394184|0.009540986|-50.70744657|4.991260197|107.3271659|-0.036925422|-26.52703503|2.611122094|0.790651977|-1.550867715|-23.08946904|58.96976407|-19.3171225|49.12766732|-811.319145|5.653392499|0.93384951|109.5180831|-424.4325604|24.43189048|0.015793737|1026.1394|1.0|1.0|2.0|2.87|0.05|22.0|-8.47|4.61|1.0|0.0|0.0|3.0|-5.37|345.37|0.0|4.09|4.29e-06|6.3e-06|0.00218|4.43|0.0|3.4000000000000003e-09|1.17e-06|5.7429|3.7183|-1149.090086|959.59|0.2294|215.89|406.35|0.69084|-1148.896866|0.2208|-0.1545099999999999|2.2966|-0.20488|3.4815|25.0|7.6|7.6
11_a4|0.0|0|0.0|0.0|7.535296702|0.626711769|2.159635561|-0.20567828|5.4161004020000005|0.032861655|2|0.03617284|-0.017835936|2.216390726|-0.056016567|0.011277653|10.33765061|1|0.010782511|-0.0278843589999999|-0.046906237|-0.145254541|2|0.6575743310000001|-0.007574475|0.647727179|-0.054262142|-0.06530408|0.4523305489999999|0.009336075|-37.74083422|5.395547437|12.88007087|-0.023620625|-21.81135655|3.118219598|0.7560913159999999|-1.110169356|-18.12338426|44.63993001|-13.65094004|36.75497433|-641.5941818|6.850305797000001|0.924411925|140.96082869999998|-370.7930613|18.0546182|0.011937709|848.5670554999999|1.0|1.0|0.0|3.31|0.23|21.0|-8.05|4.97|2.0|0.0|0.0|4.0|-5.14|372.49|0.0|4.16|7.27e-06|1.06e-05|0.00395|3.99|0.0|8.89e-09|3.31e-06|4907.0|3.78|-1467.463842|1071.03|151.0|252.67|479.99|0.65942|-1467.20045|0.0403|-0.15885|4187.0|-0.2146699999999999|5.3012|0.11|6.9586|6.9586
12y_a30|0.0|0|0.0|0.0|7.412764017000001|0.604984019|0.0|0.048343649|5.351858133|-0.037335306|2|0.044197531|-0.089502772|0.0|-0.353814891|0.00604028|10.31162818|1|0.006346396|-0.053700437|-0.0922059569999999|-0.4579359229999999|1|0.842068099|-0.095969764|0.803183654|-0.070903795|-0.091248521|0.374181804|0.0149823289999999|-61.25585229|10.05775555|85.17057711|-0.034840345|-41.1215369|6.751850651|0.820108145|-1.91621895|-31.95309886|69.55490151|-23.38859815|57.65603256|-1286.372898|8.067590558|0.804154433|120.7628216|-863.552275|28.51891948|0.012362508|1568.540572|0.0|0.0|1.0|4.86|0.21|17.0|-7.38|4.87|2.0|0.0|0.0|5.0|-6.04|426.54|0.0|3.19|9.14e-07|3.48e-06|0.00148|4.6|0.0|4.12e-08|1.76e-05|5.1973|3.4718|-1654.41361|1227.82|0.2173|238.56|585.59|0.6864399999999999|-1654.125015|0.1489|-0.1475|4.7043|-0.19815|5.1209|22.0|7.6576|7.6576
13_a4|0.0|0|0.0|0.0|7.535296702|1.399843898|2.050136054|-0.210975191|5.4161004020000005|-0.019846488|1|0.044357639|-0.059300584|0.0|-0.04158572|0.012994083|10.94205723|1|0.012019888|-0.0161529719999999|-0.025714912|-0.143303992|1|0.645708528|-0.157188841|0.6490618429999999|-0.050017793|-0.068249548|0.229685203|0.008746805|-33.41617993|4.282589756|11.85953992|-0.0279998139999999|-16.36114989|2.096831328|0.862539527|-1.091992764|-11.99053523|37.12083496|-13.70920202|28.77218157|-534.6588788|5.663493161|0.751144285|67.30306705|-261.7783983|15.89399858|0.007566425|619.8659446|0.0|0.0|0.0|3.39|0.16|17.0|-6.2|4.18|1.0|0.0|0.0|2.0|-4.09|287.36|0.0|3.57|8.18e-05|3.77e-05|0.0108|3.75|0.0|6.28e-07|0.00018|4.4811|4.1733|-898.3562912999998|893.0|0.2133|276.68|429.36|0.59537|-898.2009630000001|0.1282|-0.17204|2471.0|-0.20372|3.7228|4.0|5.3979|5.3979
