molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|SRW09|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|BIC2|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PNSA5|RPSA|TPSA_x|FNSA4|RPCS|FNSA1|FNSA2|WNSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|WNSA2|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
17_a3|0.0|0|0|0.0|0.0|6.823286122000001|0.605019885|0.188373421|-0.009450704|4.727387819|2|-0.015463451|1.709081227|-0.349676046|-0.007540435|-0.041723219|10.31163036|-0.0510707059999999|1|-0.006696449|-0.027542873|0.020589494|-0.633373061|2|0.767641592|-0.085686119|0.773152968|1|0.803075623|-0.098658557|0.225087454|-48.88298017|0.1969243769999999|100.2028184|-0.039557272|76.17242478|0.840062179|-1.344947254|-25.54439812|0.4383349039999999|2196.728425|408.6362608|1667.279771|-10.24205849|0.159937821|6.2477303310000005|0.780420408|-348.2299886|0.012803096|814.6560331000001|6.514715538|1.0|1.0|1.0|1.0|3.13|2.65|4.96|4.66|92.93|2.37|0.0|95.5|0.0|2.0|-5.53|-5.61|338.81|1.0|-4.93|0.00399|3.88|0.0|3.28e-08|3.2102|3.2102|-1731.75233|-1731.72355|891.3|386.22|393.58|0.69481|0.69481|-1731.6147670000005|0.4062|-0.13155|3.8077|-0.20359|-1731.663157|23.0|7.6383|7.6383
LY364947_a10|0.0|1|0|2.949609552|0.0|6.605297921|1.390175303|-0.278922508|-0.00235945|4.59511985|2|0.0938628109999999|2.084955541|-0.084940213|0.007575|0.010202602|10.9303125|-0.006198347|1|0.006909045|0.1625645369999999|0.04209715|-0.204644982|2|0.711607778|-0.012096774|0.681525895|1|0.8431045490000001|-0.076999385|0.449473391|-33.26705198|0.156895451|69.31194102|-0.029665114|0.0|0.7234846559999999|-0.978948758|-15.02735938|0.486715511|1896.845282|372.4595738|839.5356408|-5.78950507|0.276515344|4.702575386|0.948237326|-191.05366730000003|0.018707677|597.7620559999999|8.264519015|1.0|0.0|1.0|1.0|2.46|1.88|3.97|3.69|54.46|1.74|0.0|82.56|0.0|2.0|-3.54|-6.02|272.3|1.0|-3.86|0.0374|2.74|0.0|6.31e-08||||||||||||||||59.0|7.2291|7.2291
14ab_a23|0.0|0|1|0.0|0.0|7.423568444|1.197962873|0.065530542|-0.0050415|5.351858133|2|0.021287386|0.7586471459999999|-0.287365522|0.013012022|0.010803172|10.313217300000002|-0.03821899|2|0.012103325|0.038241896|-0.074579388|-0.449699921|2|0.75434493|-0.05990912|0.693959193|1|0.92422233|-0.051974369|0.20155691|-52.21744789|0.07577767|51.89838547|-0.031648261|82.79560776|0.797837067|-1.677357849|-24.37891748|0.4695727329999999|2941.47118|632.9786397|2332.352369|-14.84482393|0.202162933|7.83369055|0.885272615|-786.7756682999999|0.013710439|1439.872753|9.389964491|0.0|1.0|1.0|1.0|3.63|3.82|4.4|4.63|105.02|3.45|1.0|130.22|0.0|5.0|-6.23|-5.92|439.54|0.0|-5.55|0.00123|4.31|0.0|6.9799999999999995e-09|3.6587|3.6587|-1708.563399|-1708.543268|1238.27|338.88|595.23|0.66532|0.66532|-1708.277193|0.3893|-0.14778|5.9624|-0.21924|-1708.3414239999995|4.0|8.4012|8.4012
3l_a32|0.0|1|1|3.672194822|0.0|7.773594467000001|0.609420748|-0.003342759|-0.0054004|5.733341277|0|-0.039331295|2.259257465|-0.270019992|0.0016954029999999|-0.09393062|10.31100268|-0.107818594|3|0.002942329|-0.068876714|-0.04980249|-0.524711546|0|0.751853889|-0.184582641|0.776480242|1|0.8855584879999999|-0.069304303|0.270668623|-51.41835077|0.114441512|66.55229892|-0.028831823|0.0|0.788236719|-1.326263838|-23.43792428|0.453630671|2453.759435|514.9875423000001|2415.340446|-9.750593329|0.211763281|6.414825717|0.8302637909999999|-448.5272931|0.011493763|978.4817724|6.6840809960000005|1.0|1.0|1.0|1.0|3.58|3.54|7.34|6.17|110.94|2.64|0.0|110.16|0.0|3.0|-7.6|-4.71|380.53|1.0|-6.01|0.0003689999999999|5.51|0.0|3.16e-08|3.5319|3.5319|-1789.475625|-1789.4501510000002|1062.47|351.04|468.81|0.70282|0.70282|-1789.242839|0.2876|-0.14664|3.3955|-0.19962|-1789.298086|12.0|7.9208|7.9208
8g_a12|0.0|1|1|2.897921027|0.0|6.580639137|1.28383574|0.10205033|-0.0084227909999999|4.59511985|2|-0.038463841|1.714060666|-0.40429396|0.005898773|-0.094550033|10.95472263|-0.040257632|1|0.005405355|-0.068810076|0.068559367|-0.532504083|1|0.7475224290000001|-0.070405398|0.7714487940000001|1|0.8576253690000001|-0.076856227|0.274352085|-57.6443411|0.142374631|78.53214058|-0.042752517|0.0|0.90166696|-1.881110729|-23.38345638|0.463772637|2506.427441|473.055878|1356.883205|-13.00742505|0.09833304|6.882798206|0.864880588|-572.326702|0.007890315|1150.7554189999998|4.352203029|0.0|1.0|1.0|2.0|4.07|2.51|3.31|2.07|78.85|2.89|0.0|109.93|0.0|3.0|-4.38|-6.28|353.38|0.0|-4.34|0.0163|3.06|0.0|9.98e-09|4.2057|3731.0|-1154.321531|-1154.281986|989.66|332.31|418.41|462.0|0.55027|-1154.121362|0.1601|-0.1520099999999999|2.9986|-0.21633|-1154.173831|3715.0|5.43|5.43
13a_a30|0.0|0|0|0.0|0.0|7.412764017000001|0.604984129|0.113424769|-0.011002918|5.351858133|2|-0.036541822|0.0|-0.627166322|-0.003436924|0.0317047379999999|10.31162842|-0.0351777|1|-0.002215642|-0.065043716|0.003429114|-0.5640209589999999|1|0.8303425640000001|-0.058608635|0.802578397|0|0.6963945559999999|-0.109682335|0.478381813|-76.60916637|0.303605444|204.9120824|-0.042832838|102.6479456|0.799862466|-2.27014041|-49.96348386|0.4661332179999999|3002.811441|470.0167988|2520.165025|-19.5115996|0.2001375339999999|8.066980235|0.873126469|-1034.114779|0.017212819|1915.558478|11.6174288|1.0|0.0|0.0|2.0|4.76|0.0|3.04|1.72|124.74|2.06|0.0|135.37|0.0|6.0|-5.01|-7.05|441.51|0.0|-4.3|0.0221|2.74|0.0|6.520000000000001e-07|5.0535|3.5288|-1744.491614|-1744.4457100000002|1211.54|351.35|541.59|0.26119|0.6845600000000001|-1744.217986|0.1603|-0.14953|0.7158|-0.20503|-1744.281248|14.0|7.8665|7.8665
4j_a46|0.0|0|0|0.0|0.19521727|7.825245291|1.134637093|-0.175292207|-0.002284836|5.587248657999999|1|-0.0529855709999999|0.0|-0.130235627|0.011968098|-0.1051618459999999|10.94638774|-0.176133068|1|0.011684396|-0.078783783|-0.0589746909999999|-0.226712003|1|0.7298040140000001|-0.258222236|0.728293097|0|0.949893337|-0.05924408|0.295221643|-43.95227197|0.0501066629999999|29.59387777|-0.024805825|71.98911503|0.776932317|-1.339514565|-20.66606288|0.402450715|2260.870095|561.0237355|2563.282153|-8.652995323999999|0.223067683|6.274010655|0.673502127|-467.2617475|0.0106831269999999|1018.288052|6.30964324|0.0|1.0|1.0|0.0|4.0|3.9|5.18|5.33|39.94|3.28|0.0|110.24|0.0|4.0|-5.38|-5.09|361.48|1.0|-5.31|0.00176|4.81|0.0|2.03e-08|5.3949|4.4093|-1132.043677|-1132.018764|1112.13|281.19|572.31|0.37853|0.69413|-1131.761156|0.1418|-0.18387|2.9043|-0.20071|-1131.817578|805.0|6.0942|6.0942
12ab_a30|0.0|0|0|0.0|0.0|7.412764017000001|0.604983638|-0.026189286|-0.008528077|5.351858133|2|0.018023992|0.0|-0.520212725|0.003529389|0.038312857|10.31162784|0.01563558|1|0.005111479|0.03046828|-0.12254489|-0.384942092|1|0.809127478|0.026596859|0.794193541|0|0.7997534890000001|-0.082740301|0.4605456229999999|-71.0035788|0.200246511|140.93076580000002|-0.031859359|0.0|0.603952976|-1.815983471|-40.9825333|0.461207954|3118.431712|562.8556061|2618.234172|-15.78042667|0.3960470239999999|8.44310703|0.856003642|-899.4843201|0.030534507|2116.165447|21.48976996|1.0|1.0|1.0|1.0|4.87|0.0|3.94|2.63|100.11|2.2|0.0|140.26|0.0|7.0|-5.61|-6.39|458.54|0.0|-5.0|0.00456|3.81|0.0|1.47e-07|4.8018|3.4919|-1804.824495|-1804.79081|1275.19|355.06|613.7|0.46561|0.68324|-1804.523449|0.1511|-0.14772|6.9089|-0.19672|-1804.589076|17.0|7.7825|7.7825
12_a15|0.0|0|0|0.0|0.0|0.0|1.435689014|-0.071096525|-0.006620824|0.0|2|-0.035728911|0.0|-0.370766171|0.001740635|-0.106061273|10.95973444|-0.01062828|0|0.0034254209999999|-0.054575504|-0.120626133|-0.380490701|2|0.723852961|-0.019064393|0.7933685340000001|0|0.89637291|-0.061084417|0.738437971|-60.15445365|0.10362709|66.16793071|-0.031995594|4.192089814|0.746489397|-1.695766456|-24.90456371|0.476419838|2613.57759|572.3516967|2661.728915|-13.04483751|0.253510603|5.448223888999999|0.909927213|-691.376388|0.016453962|1450.496376|10.50617745|1.0|0.0|1.0|1.0|3.56|3.73|5.32|6.3|56.27|2.87|0.0|119.95|0.0|6.0|-6.22|-4.97|397.47|1.0|-5.83|0.000584|5.29|0.0|1.51e-10|4.4819|3.8538|-1281.087109|-1281.060163|1177.81|321.72|585.26|0.50595|0.70444|-1280.810963|0.0093|-0.15858|4.3338|-0.19054|-1280.871722|4.0|8.3979|8.3979
1h_a5|0.0|1|0|2.9516097130000003|0.0|6.605297921|1.427564094|-0.259241577|-0.001978474|4.59511985|2|-0.02598568|0.0|-0.085074391|0.008031558|-0.1197834419999999|10.94466758|-0.044117647|1|0.007357977|-0.043247682|0.034752304|-0.20140246|2|0.780175595|-0.082079343|0.6977404359999999|0|0.8806402259999999|-0.067599619|0.39793593|-36.2462047|0.119359774|62.25239147|-0.027798699|0.484419999|0.7450549759999999|-1.111947978|-18.38824808|0.489507204|2107.271793|459.3001331|819.6979313999999|-7.561719827|0.2549450239999999|6.711386288|0.958891501|-302.4687931|0.01585373|778.3845404|8.268552715|1.0|0.0|1.0|1.0|2.8|2.07|4.99|4.51|54.46|2.13|0.0|95.45|0.0|3.0|-4.25|-5.77|312.37|1.0|-4.45|0.0111|3.43|0.0|3.87e-09|4652.0|4.3651|-990.6346565|-990.6032645|934.7|284.03|430.83|0.4112699999999999|0.57155|-990.472129|0.1754|-0.17797|2.2396|-0.21921|-990.523098|28.0|7.5528|7.5528
22_a47|0.0|0|1|0.0|0.0|6.86171134|1.408617385|0.048272293|-0.010579222|4.727387819|2|-0.029311184|1.016903613|-0.507802654|-0.006808306|-0.075111395|10.95023117|0.002716049|1|-0.004332497|-0.077468004|-0.1049885469999999|-0.538310301|2|0.831122912|0.004104478|0.591185263|1|0.698649132|-0.080744803|0.573087958|-52.67991531|0.301350868|177.81209280000002|-0.031744149|54.21581266|0.6096864479999999|-1.42848671|-28.11203407|0.4614909829999999|2692.510471|412.2379505|1494.441201|-11.05201291|0.390313552|6.9553262170000005|0.8569791179999999|-497.3405809|0.031534452|1382.478891|18.60690504|0.0|1.0|1.0|2.0|3.31|3.16|3.07|4.85|84.73|2.97|0.0|104.64|0.0|5.0|-4.44|-6.58|394.38|1.0|-4.38|0.0164|3.0|0.0|2.06e-08|4.7954|4017.0|-1375.05033|-1375.021925|1027.32|308.65|466.95|0.50316|0.68312|-1374.857521|0.0799|-0.16704|4.2485|-0.22828|-1374.914437|1.0|9.0|9.0
12m_a36|0.0|1|0|3.40403699|0.0|7.412764017000001|1.297043522|0.013543656|-0.011502861|5.351858133|2|0.14264424|0.0|-0.667165917|-0.006653538|-0.025127218|10.95440733|-0.038386106|1|-0.004569485|0.245908938|-0.052743904|-0.52644768|1|0.825587924|-0.064035403|0.849217847|0|0.711961428|-0.10031651|0.4493096629999999|-81.19927925|0.288038572|193.174369|-0.04260035|107.233999|0.7471181240000001|-2.300418875|-45.120107|0.465323422|2925.315028|477.48014630000006|2637.948424|-19.16067782|0.252881876|7.312794835|0.8702895190000001|-1034.676602|0.0222467879999999|2064.983108|14.91990864|0.0|0.0|0.0|3.0|4.83|0.0|1.92|0.98|112.29|1.28|0.0|131.85|0.0|6.0|-4.1|-7.39|424.46|0.0|-3.8|0.0676|2.11|0.0|7.19e-07|3.8658|3.8658|-1401.654499|-1401.6158890000002|1177.15|320.72|505.51|0.69382|0.69382|-1401.385923|0.4718|-0.15879|6.5789|-0.20993|-1401.446557|0.03|7.5229|7.5229
17a_a25|0.0|0|0|0.0|0.0|6.842683282|1.373200859|0.0055894319999999|-0.004137083|4.727387819|2|-0.017081614|2.008884939|-0.248224991|0.0063846319999999|-0.0688716509999999|10.93106298|0.006360768|1|0.006423059|-0.02776212|-0.047099434|-0.362222339|2|0.748718056|0.0114970419999999|0.659740852|1|0.874586929|-0.06234901|0.348821736|-56.61512986|0.125413071|89.44809639|-0.0297670279999999|80.30332825|0.755980502|-1.666953566|-31.71656603|0.468791604|2907.309477|623.7797651000001|2432.071525|-15.142307999999998|0.244019498|8.996672966|0.882500365|-847.969248|0.015373381|1572.683056|10.96472369|1.0|1.0|1.0|1.0|3.48|3.47|4.83|5.31|72.7|2.67|0.0|131.06|0.0|7.0|-5.12|-6.18|433.5|1.0|-5.13|0.00323|3.9|0.0|1.05e-10|5.2683|3.9347|-1391.625102|-1391.588873|1271.9|315.11|598.67|0.35172|0.6722|-1391.321455|0.1735|-0.16304|3.4677|-0.21559|-1391.385492|25.0|7.6021|7.6021
32_a47|0.0|0|1|0.0|0.0|6.842683282|1.216307925|-0.1746026239999999|-0.003573735|4.727387819|3|-0.013510009|1.6507707980000002|-0.2037028839999999|0.001861676|-0.026022099|10.95005715|-0.044598914|1|0.002350172|-0.0274939029999999|-0.077485193|-0.2749014|2|0.810444864|-0.078006445|0.634406338|1|0.851627782|-0.05770007|0.266433793|-52.38450683|0.148372218|106.9180086|-0.026060474|44.50423685|0.64116122|-1.381205148|-29.9621436|0.44289006|2808.210157|613.6886524|2255.632049|-13.53252578|0.35883878|8.656942728999999|0.794977846|-717.2238666000001|0.022735861|1552.348456|16.38361254|1.0|0.0|1.0|2.0|3.35|3.67|4.18|5.07|67.66|3.11|0.0|125.17|0.0|5.0|-4.81|-6.34|436.91|1.0|-5.05|0.0038799999999999|3.7|0.0|1.5e-09|4.9046|3.6829|-1778.127634|-1778.0970140000002|1184.76|336.65|548.86|0.48011|0.68986|-1777.843462|0.2839|-0.1509599999999999|4.8234|-0.20778|-1777.90286|0.1|7.0|7.0
12ak_a36|0.0|1|0|3.501132553|0.0|7.412764017000001|1.270373882|-0.052930979|-0.006465433|5.351858133|2|0.12041792|0.0|-0.407322296|0.0042553209999999|-0.116440196|10.95268014|-0.015708652|1|0.005035022|0.198260132|-0.099596099|-0.439326642|1|0.815627016|-0.0265703679999999|0.860667615|0|0.848705143|-0.069176342|0.537460657|-66.15829243|0.151294857|109.0807368|-0.032660864|25.9007405|0.737439195|-1.926990997|-35.95881638|0.423822657|2830.816014|611.9003905000001|2735.7986920000003|-16.97756755|0.262560805|7.98672125|0.735576751|-1001.676485|0.018055095|1883.984673|13.01738243|1.0|1.0|1.0|2.0|5.05|0.0|3.85|3.01|69.2|2.66|0.0|138.33|0.0|6.0|-4.95|-6.19|423.51|1.0|-4.86|0.00589|3.8|0.0|4.2e-08|3.8734|3.6895|-1350.900117|-1350.865407|1247.89|336.05|584.05|0.69463|0.7034699999999999|-1350.57563|0.0001|-0.15275|6.3682|-0.20204|-1350.637958|46.0|7.3372|7.3372
7_a3|0.0|0|0|0.0|0.0|6.823286122000001|0.60501656|0.198126776|-0.008855374|4.727387819|2|-0.047419994|1.989724777|-0.327648836|-0.007540435|0.054347129|10.3116226|0.030246987|1|-0.006696449|-0.084462575|0.020589494|-0.592753801|2|0.790667152|0.0507482109999999|0.773152968|1|0.782294598|-0.1034274319999999|0.5999725029999999|-47.72824381|0.217705402|107.7330046|-0.036877402|76.07607751|0.7992146109999999|-1.253831681|-25.32764885|0.3987206729999999|2196.07224|387.1238241|1952.029549|-9.030659289|0.2007853889999999|5.198046584|0.663120542|-307.0424158|0.0149999089999999|776.3461295|7.422807617|1.0|1.0|1.0|1.0|3.02|2.61|4.96|4.66|92.93|2.11|0.0|95.5|0.0|2.0|-5.44|-5.68|338.81|1.0|-4.87|0.00455|3.79|0.0|3.28e-08|5.8849|3.4435|-1731.7341420000002|-1731.703107|883.88|360.06|362.61|0.3456|0.69224|-1731.602893|0.1262|-0.14816|3.1299|-0.21219|-1731.651178|1023.0|5.9901|5.9901
12ae_a36|-3.3501500230000003|1|0|3.412870974|0.0|7.412764017000001|0.299253957|0.069118289|-0.009867085|5.351858133|2|0.087069205|0.0|-0.611759277|-0.006862238|-0.083959343|10.31810353|0.006615826|1|-0.001160331|0.151620635|-0.15024383|-0.513686975|1|0.831101086|0.010209009|0.750657639|0|0.7162413209999999|-0.085851235|0.439268891|-78.71102033|0.2837586789999999|211.4077529|-0.036430555|19.97715962|0.6849975640000001|-2.11297219|-47.65297933|0.465246185|3486.122819|533.6188092|2634.745208|-20.22131065|0.315002436|8.676756505|0.870019385|-1172.836017|0.025570256|2298.140152|19.05051961|0.0|0.0|0.0|3.0|5.03|0.0|1.28|2.15|123.75|0.84|0.0|142.02|0.0|7.0|-3.85|-8.03|474.54|0.0|-3.72|0.0897|1.64|0.0|1.36e-07|5235.0|3.8664|-1876.203168|-1876.152311|1281.69|320.67|615.71|0.40141|0.68591|-1875.897072|0.3366|-0.1566|6.7458|-0.21149|-1875.963244|15.0|7.8239|7.8239
3e_a32|0.0|1|1|3.501917045|0.0|7.773594467000001|0.609420788|0.015619823|-0.006553709|5.733341277|0|-0.057366352|2.220794149|-0.275255791|0.000655875|-0.114649277|10.31100276|-0.080731823|3|0.002004382|-0.1046390059999999|-0.076494363|-0.551661318|0|0.8046468659999999|-0.12378337|0.77923808|1|0.8681696109999999|-0.073411249|0.290874543|-53.92151824|0.131830389|71.04473954|-0.030786645|0.0|0.7752553659999999|-1.200679139|-21.32040233|0.4513338939999999|2212.661182|467.865447|1732.3689949999998|-8.941186293|0.224744634|5.863649531|0.822602107|-348.70626539999995|0.012891628|834.6388134|6.94742943|1.0|1.0|1.0|1.0|3.33|3.04|6.8|5.24|110.94|1.94|0.0|97.86|0.0|3.0|-6.52|-5.2|340.47|1.0|-5.18|0.00225|4.47|0.0|1.2099999999999998e-07|3.5589|3.5589|-1672.748189|-1672.722302|956.67|348.38|456.76|0.7025399999999999|0.7025399999999999|-1672.576776|0.2914|-0.14754|3.4537|-0.20098|-1672.62984|8.0|8.0862|8.0862
16_a20|0.0|1|0|3.485659565|0.0|6.842683282|1.401259527|-0.014660441|-0.004705049|4.727387819|2|0.126359252|2.013871268|-0.254072625|8.23e-05|-0.061975089|10.93301779|-0.062750442|1|0.001157852|0.211127741|-0.070208458|-0.458484451|2|0.7478675859999999|-0.10978034|0.724665638|1|0.915005572|-0.066137353|0.382481746|-51.18223058|0.084994428|55.92018945|-0.029561375|3.46788153|0.780108103|-1.47806874|-28.6288015|0.464473378|2722.728332|602.0075202|2161.751186|-12.79619894|0.219891897|8.166385503999999|0.8673208|-639.8099471|0.013439632|1246.573875|8.84230625|0.0|1.0|1.0|1.0|3.5|3.13|6.38|5.46|78.25|2.2|0.0|121.69|0.0|4.0|-6.06|-5.42|401.46|1.0|-5.66|0.0008699999999999|4.69|0.0|3.0500000000000005e-11|5.9837|3.5704|-1275.900951|-1275.8670960000002|1174.61|347.26|554.41|0.32553|0.69524|-1275.636924|0.1958|-0.1481299999999999|4.7315|-0.20722|-1275.6960869999998|26.0|7585.0|7585.0
12h_a30|0.0|0|0|0.0|0.0|7.412764017000001|0.604984682|0.046965756|-0.00737961|5.351858133|2|-0.074988669|0.0|-0.391119352|0.001139238|0.001698966|10.31162898|-0.072247675|1|0.002064369|-0.166613751|-0.0541804029999999|-0.4708582289999999|1|0.831176513|-0.1240820219999999|0.64876559|0|0.763568404|-0.083127678|0.353607682|-63.03519645|0.236431596|150.42542849999998|-0.038417127|0.0|0.7979748729999999|-1.882439244|-33.64938551|0.468446216|2848.98238|485.8069155|2268.811589|-15.55093031|0.202025127|8.066818026|0.881277172|-761.9955851|0.015886049|1500.88527|10.10721793|1.0|1.0|0.0|1.0|4.63|0.0|4.25|3.18|81.65|3.2|0.0|127.24|0.0|5.0|-5.39|-6.02|416.47|0.0|-5.01|0.00405|3.97|0.0|1.26e-07|5.0289|3.5101|-1675.011389|-1674.977665|1132.06|353.22|518.06|-0.26697|0.68543|-1674.777786|155.0|-0.14889|2.9684|-0.2023599999999999|-1674.838376|9.0|8065.0|8065.0
12ag_a36|0.0|1|0|3.408828027|0.0|7.412764017000001|1.297044434|-0.042092217|-0.008085448|5.351858133|2|0.063109409|0.0|-0.436614203|-0.002526241|0.0070889269999999|10.96052849|-0.050147748|1|-0.000673716|0.135431487|-0.101303149|-0.445549431|1|0.835013502|-0.0861053359999999|0.698414933|0|0.7468300940000001|-0.082492792|0.26896187|-68.21579593|0.253169906|159.6746787|-0.038937089|0.0|0.758897371|-1.946854457|-32.81436052|0.481286668|2773.9654530000003|471.0269757|2305.164626|-15.48857353|0.2411026289999999|7.849377942|0.927847116|-774.4286762999999|0.019328689|1617.984688|12.1906363|1.0|0.0|0.0|2.0|4.72|0.0|3.13|2.44|69.2|2.4|0.0|123.71|0.0|5.0|-3.89|-6.76|399.42|0.0|-4.16|0.0278|2.78|0.0|1.4e-07|3.8893|3.7117|-1332.185403|-1332.151245|1112.68|334.04|507.72|0.69204|0.7024699999999999|-1331.9454449999998|0.0191|-0.15227|5.4459|-0.20713|-1332.003616|17.0|7.7696|7.7696
SB431542_a8|0.0|1|0|3.172627551|0.0|7.535296702|1.401734117|-0.007805495|-0.014434378|5.4161004020000005|1|0.096884952|0.0|-0.721718925|-0.0075336219999999|-0.029382296|10.94951956|-0.0453332859999999|1|-0.005306541|0.156874293|0.055198015|-0.494976661|1|0.762577159|-0.072891515|0.7318727540000001|0|0.5653298489999999|-0.128342313|0.274152231|-74.57768059|0.434670151|260.1744351|-0.048754953|89.26670319|0.7608280590000001|-2.242727845|-45.98111161|0.476091179|2801.428659|338.38158389999995|1947.072021|-17.46740332|0.239171941|7.360028263999999|0.908729075|-803.5005528|0.025179219|1764.391093|15.07117296|0.0|1.0|0.0|2.0|3.35|2.75|3.13|2.72|112.23|1.9|0.0|109.21|0.0|4.0|-4.4|-7.04|400.39|0.0|-4.14|0.0292|2.4|0.0|1.74e-07||||||||||||||||79.08|4.1019|4.1019
13_a12|0.0|0|0|0.0|0.0|0.0|1.508548782|0.202052156|-0.0069874069999999|0.0|2|-0.21832579|0.0|-0.272508888|0.000830398|-0.083760082|10.96083169|0.021322992|0|0.002279068|-0.362308767|-0.169387652|-0.595629719|2|0.6809340620000001|0.039235452|0.804066411|0|0.90006391|-0.058167326|0.122164874|-45.33566159|0.09993609|48.98899535|-0.034993718|66.2289548|0.8829921740000001|-1.2947675790000002|-13.97756285|0.466560112|1812.788134|441.2142447|664.9830294|-8.408963103|0.117007826|6.06407675|0.874625469|-311.13163480000003|0.0074597119999999|718.8050825|3.656774794|1.0|0.0|1.0|1.0|2.7|2.64|3.63|3.9|50.7|2.42|0.0|84.74|0.0|3.0|-4.26|-5.49|276.34|1.0|-4.2|0.0174|3.51|0.0|7.26e-08|4.5363|3.9329|-876.3661620999999|-876.3370809|867.79|315.25|437.91|0.6622399999999999|0.64974|-876.209109|0.0155|-0.16458|1.3023|-0.20903|-876.258343|93.0|7.0315|7.0315
3c_a49|0.0|0|0|0.0|0.0|7.535296702|1.343850149|0.034009672|-0.004876919|5.4161004020000005|2|-0.04696024|1.879769411|-0.248722888|0.006218639|-0.05815918|10.92976555|0.0127926339999999|1|0.006470561|-0.0780996759999999|-0.0612829229999999|-0.384874446|2|0.802792677|0.0211518929999999|0.64702083|1|0.7963363840000001|-0.071786669|0.501887054|-42.3959176|0.203663616|116.4686425|-0.0252377479999999|77.29181095|0.637222556|-1.186174159|-23.47658531|0.4791465279999999|2521.794855|455.3990518|1667.1178220000002|-8.253567879|0.362777444|6.567311051|0.919925763|-387.9176903|0.021783913|1064.517686|12.45751629|0.0|1.0|1.0|1.0|3.18|2.67|3.63|3.87|72.7|1.84|0.0|109.43|0.0|4.0|-3.45|-6.93|369.42|1.0|-3.86|0.0505|2.29|0.0|2.89e-08|5.1584|3842.0|-1198.668772|-1198.634822|1046.53|322.71|456.22|0.32539|0.6692100000000001|-1198.430306|0.0729|-0.15853|3.6122|-0.21913|-1198.484646|87.0|7.0605|7.0605
4c_a49|0.0|0|0|0.0|0.0|7.535296702|1.343847672|-0.048954892|-0.0057600559999999|5.4161004020000005|2|-0.099764463|1.78683516|-0.339843311|0.001379959|-0.102999091|10.92777281|0.006194124|1|0.00202792|-0.163476035|-0.001005604|-0.412652341|2|0.7796063109999999|0.010868461|0.752601535|1|0.76159824|-0.087753156|0.407675441|-55.59622798|0.23840176|153.60017230000005|-0.029809452|59.70585149|0.724053828|-1.639519861|-36.42732137|0.473304159|2719.702873|490.6910965|1683.872161|-12.37423857|0.275946172|8.474369008|0.898629005|-680.5831211|0.0173567219999999|1458.908567|11.182784300000002|1.0|1.0|1.0|2.0|3.49|2.97|3.55|3.19|98.72|1.47|0.0|120.43|0.0|7.0|-3.5|-7.53|412.49|1.0|-3.58|109.0|1.81|0.0|1.07e-08|5.74|3.8067|-1332.647233|-1332.607539|1199.04|325.7|533.87|0.4164199999999999|0.67789|-1332.336755|0.0821|-0.15925|3.4931|-0.22158|-1332.398001|255.0|6.5935|6.5935
