molecula|n9FaHRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|MATS8i|BCUTi-1|AATSC1pe|AATSC1i|MATS1c|GATS1are|BIC2|MATS8d|SIC2|FNSA3|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|Dipole (water)|pIC50
17_a3|0|0.0|0.0|0|0|0|0.605019885|0.0|-0.009450704|4.727387819|-0.118246266|2|-0.015463451|-0.041723219|10.31163036|-0.006696449|0.036673175|-0.633373061|0.881253042|0.767641592|-0.085686119|0.838125715|-0.098658557|0.010321361|-48.88298017|5.251911643|234.4907116|100.2028184|76.17242478|0.840062179|-25.54439812|55.39769571|-20.12828595|0.4383349039999999|2196.728425|1667.279771|-10.24205849|0.159937821|11.12358659|0.780420408|81.38261354|23.96047156|-346.0738521|814.6560331000001|353.7528308|1.0|1.0|1.0|1.0|3.13|-7.48|4.96|4.66|92.93|2.37|1.0|1.0|3.0|-5.61|338.81|0.0|0.0|1.0|3.71|-4.93|1.0|1.18e-05|0.00399|3.88|0.0|1.11e-05|-0.0720399999999999|3.2102|3.2102|-1731.75233|537.32|891.3|0.4062|386.22|393.58|0.69481|0.4062|-0.13155|-0.20359|4.8815|7.6383
16_a47|1|2.890539668|0.0|0|0|0|1.417579067|0.0|-0.0056780519999999|4.59511985|-0.1246612469999999|2|-0.08282926|0.001426202|10.95023129|-0.004153659|-0.0574194159999999|-0.3379683979999999|0.591929006|0.812131575|0.081171071|0.87782381|-0.093207587|0.0186711289999999|-48.19609034|9.676588112|63.13219447|159.6978638|0.0|0.697929921|-25.03540372|60.36423869|-17.75645434|0.473257697|2315.178558|833.8646097|-9.202544293|0.302070079|13.01476838|0.898461533|156.55227280000005|25.44160067|-205.1602001|966.7808252999998|357.35851410000004|1.0|1.0|1.0|2.0|2.93|-8.17|4.47|5.19|66.49|2.72|0.0|1.0|5.0|-6.04|337.33|0.0|0.0|1.0|3.52|-4.42|0.0154|3.84e-05|13.0|3.27|0.0|2.3e-06|-0.05717|4.4393|4.0806|-1167.046301|534.69|894.43|0.3182|279.29|395.28|0.59209|0.0909|-0.16851|-0.22568|3.8601|9.0
1g_a5|0|2.942391606|0.0|0|0|0|1.4275159730000002|0.0|-0.003919036|4.59511985|-0.010620031|2|-0.011534568|-0.132678208|10.94875199|0.006957291|-0.0178558139999999|-0.242737126|0.74740095|0.7778380309999999|-0.067172264|0.8393686990000001|-0.070108797|0.020418692|-39.8807456|10.9506874|74.51397212|71.90752413|0.589719781|0.61393343|-20.16505667|54.34919851|-14.59051668|0.4713154089999999|2243.103668|832.7655896000001|-7.824996219|0.38606657|13.83149499|0.891486942|207.0502037|23.76563316|-122.2065919|974.3909596|422.96706330000006|1.0|1.0|1.0|1.0|2.79|-8.14|4.5|4.21|63.69|1.57|0.0|1.0|4.0|-6.15|328.37|0.0|1.0|1.0|3.09|-4.2|0.0304|6.29e-05|0.0206|3.03|0.0|2.36e-06|-0.0393|4.7822|4.1733|-1065.846194|572.15|961.17|0.1769|259.26|448.93|0.4386899999999999|0.0504|-0.17042|-0.20972|5.2707|6.9393
17d_a50|1|0.0|0.0|2|2|2|1.338814635|4.380250483|-0.002166617|6.042632834|0.03538699|1|0.006071856|-0.136180713|10.94500663|0.01245647|-0.323333765|-0.2294807539999999|0.754575205|0.748516466|-0.2177003589999999|0.789310938|-0.044172353|0.0152123589999999|-48.40178147|10.55016861|5.007868064|48.62532158|86.38197811|0.75405703|-21.24595322|57.5414543|-17.74731987|0.445708152|2824.70142|2950.99157|-12.30823045|0.24594297|12.62170017|0.8041037459999999|170.5678813|23.53577933|-352.3903892|1412.14676|829.3813984|0.0|1.0|1.0|0.0|4.07|-7.07|4.0|4.29|51.77|2.71|2.0|1.0|4.0|-6.25|424.54|0.0|1.0|0.0|3.68|-4.88|0.0135|1.31e-05|0.00557|3.72|0.0|3.63e-05|-0.03251|4.0506|4.0506|-1335.989008|727.15|1263.22|0.1819|306.09|579.45|0.66103|0.1819|-0.16716|-0.19967|7.9942|7.1308
3_a3|0|0.0|0.0|0|0|0|0.605000514|0.0|-0.010040064|5.283203728999999|-0.114647585|1|-0.015653979|0.0483259979999999|10.31154314|-0.006362643|0.081380229|-0.599804962|0.913546349|0.8083172479999999|0.123113049|0.885339037|-0.107269779|0.012617742|-45.05306124|5.753894372|228.5396864|112.2682304|75.88125246|0.7000038270000001|-22.30683222|55.67251784|-15.98657012|0.415122657|2092.406045|1349.6286710000002|-7.290134722999999|0.299996173|8.592908408|0.709760196|136.8031103|22.83783244|-182.4099648|707.9728057|302.8386149|1.0|1.0|1.0|1.0|3.11|-6.15|5.0|4.07|121.17|1.41|0.0|1.0|3.0|-5.88|310.4|0.0|0.0|1.0|3.23|-4.39|0.00103|4.06e-05|0.0126|3.26|0.0|0.000218|-0.0637|5.8458|3.3475|-1592.904586|491.26|817.21|0.2383|212.09|316.65|0.29441|0.0851|-0.14599|-0.20969|2.8045|5.93
14q_a23|1|0.0|0.0|2|0|0|1.19796338|3.292130907|-0.0101981219999999|5.351858133|-0.130330047|2|0.064903564|-0.058543701|10.31321757|0.002496501|-0.033435987|-0.573130981|0.77007911|0.808928963|-0.089657283|0.871119857|-0.08960718|0.02158178|-66.16349731|14.81701129|350.836102|155.7136729|97.13675614|0.777340899|-42.23665548|79.42966327|-27.24379301|0.472004985|3097.399651|2213.1193780000003|-18.70427707|0.222659101|16.53853737|0.893957277|152.86702240000002|35.04742005|-380.8178266000001|1787.418422|693.3423458|0.0|0.0|0.0|2.0|3.52|-6.96|2.57|3.12|148.11|2.28|1.0|1.0|5.0|-7.33|454.51|1.0|0.0|0.0|2.62|-4.39|0.00278|4.03e-05|0.0183|2.46|0.0|5.03e-05|-0.08159|3.6431|3.6431|-1798.645459|714.22|1222.17|0.4943|340.33|554.59|0.5949|0.4943|-0.14854|-0.23013|12.0503|7.8069
4j_a46|0|0.0|0.19521727|1|1|1|1.134637093|2.194310043|-0.002284836|5.587248657999999|-0.012405467|1|-0.0529855709999999|-0.1051618459999999|10.94638774|0.011684396|-0.087688953|-0.226712003|0.72796254|0.7298040140000001|-0.258222236|0.763724435|-0.05924408|0.01492164|-43.95227197|8.812983129|70.56141095|29.59387777|71.98911503|0.776932317|-20.66606288|50.26191521|-14.65075732|0.402450715|2260.870095|2563.282153|-8.652995323999999|0.223067683|10.49957018|0.673502127|131.7477027|18.85718615|-327.122208|1018.288052|642.1335502000001|0.0|1.0|1.0|0.0|4.0|-7.69|5.18|5.33|39.94|3.28|2.0|1.0|3.0|-5.09|361.48|0.0|1.0|1.0|4.5|-5.31|0.0015|4.86e-06|0.00176|4.81|0.0|7.33e-06|-0.01684|5.3949|4.4093|-1132.043677|646.67|1112.13|0.2783|229.82|572.31|0.37853|0.1418|-0.18387|-0.20071|3.8105|6.0942
12bb_a36|0|3.3296932480000003|0.0|0|2|2|1.29704416|0.0|-0.008239316|5.351858133|-0.117921811|2|0.096309833|-0.018516159|10.96022185|-0.004358975|-0.250781298|-0.421445726|0.653741315|0.836170906|-0.045186455|0.892249657|-0.090660196|0.022069757|-73.39466247|14.16769093|88.91215764|199.7440352|0.0|0.719294078|-37.36110291|88.14984373|-24.95418524|0.4808928389999999|2902.055617|2458.790147|-16.01935076|0.280705922|15.13083401|0.926384521|180.1992964|34.69260487|-281.5518699|1734.6302440000002|593.6088758|1.0|0.0|0.0|2.0|4.72|-7.12|3.55|3.0|69.2|2.78|1.0|1.0|6.0|-6.8|417.41|0.0|1.0|0.0|2.44|-4.32|0.0424|4.81e-05|0.0201|2.88|0.0|3.17e-05|-0.0566799999999999|5.2382|3.8001|-1431.4091|667.88|1120.72|0.4172|236.69|515.92|0.38838|0.0736|-0.15507|-0.21175|8657.0|8.0
16a_a23|1|0.0|0.0|2|1|1|1.197962324|3.411338761|-0.0054940769999999|5.351858133|-0.013055633|3|0.062601621|-0.088255625|10.31321796|0.01226642|-0.335065967|-0.380779155|0.765869487|0.8323974470000001|-0.116894582|0.890165467|-0.041095401|0.021379172|-47.06687604|13.80568132|9.922436905|42.07919382|91.92609822|0.585920722|-17.13669862|65.21027197|-16.6118386|0.49525751|2924.629647|1801.957216|-10.72715788|0.414079278|15.89802615|0.981208279|267.3932664|28.35168303|-110.9672657|1445.935835|668.3493171|1.0|0.0|0.0|1.0|3.94|-5.27|2.03|2.52|108.26|2.04|1.0|2.0|4.0|-7.02|427.5|0.0|0.0|0.0|1.85|-4.31|0.0111|4.86e-05|0.0208|2.66|0.0|0.0023|-0.0502|1.6239|1.6239|-1685.913359|670.04|1172.0|0.2066|763.49|555.21|0.96307|0.2066|-0.07625|-0.12645|18.4446|7.4037
13d_a5 (GW788388)|0|2.945204608|0.0|0|1|1|1.236844097|0.0|-0.005668173|4.59511985|-0.009710199|3|-0.092509033|-0.086484275|10.94530363|0.003668464|-0.016337128|-0.3706975529999999|0.7333482170000001|0.78479342|0.047169811|0.834800344|-0.086824482|0.014571846|-55.87383979|9.637686167|151.3669372|149.40573999999998|44.69922692|0.669182121|-37.98032007|70.45205183|-19.30187193|0.488398052|2834.036315|1377.863026|-12.76608229|0.330817879|15.788837|0.954644629|218.7999323|28.84397435|-223.7910275|1586.418589|723.0631751|0.0|1.0|1.0|2.0|3.21|-8.84|4.56|4.11|92.79|1.37|1.0|1.0|5.0|-6.94|425.48|0.0|0.0|1.0|3.11|-4.35|0.0189|4.5e-05|0.0192|2.75|0.0|6.16e-07|-0.05542|4.6091|4.1706|-1390.589662|707.09|1206.73|0.5251|269.0|532.01|0.42515|0.1549|-0.17299|-0.22841|3355.0|7.7447
12a_a32|1|3.442930603|0.0|0|0|0|0.609420757|0.0|-0.009460484|5.733341277|-0.057200812|0|-0.0134169989999999|-0.031249617|10.31100269|-0.001662219|-0.1534110109999999|-0.583507277|0.788133615|0.845443342|-0.125149165|0.8966299409999999|-0.085324121|0.016535497|-68.06885478|10.31184223|111.9735444|131.7691491|62.28768050000001|0.667706375|-33.18255791|81.41372467|-19.23685026|0.456641145|2572.916338|3030.946307|-11.99645651|0.332293625|13.03685125|0.840404348|207.2244662|28.81034388|-209.1696096|1325.275819|557.1050635|1.0|1.0|1.0|2.0|3.45|-7.65|6.49|4.19|140.04|1.1|1.0|1.0|4.0|-6.32|397.52|1.0|0.0|1.0|3.6|-4.5|0.000389|3.17e-05|0.0126|3.39|0.0|8.86e-06|-0.05222|3576.0|3576.0|-1880.771042|667.68|1114.3|0.2908|346.71|548.66|0.7025600000000001|0.2908|-0.14827|-0.20049|4.2371|7.6021
6b_a40|0|0.0|0.0|1|1|2|0.604892326|1.710647518|-0.014861289|6.401917197|-0.069975812|0|-0.137534783|0.0986825569999999|10.30179924|-0.004728928|-0.033583055|-0.630957955|0.691778838|0.842573207|-0.307881994|0.90571269|-0.107699967|0.014588568|-79.36130196|9.771129787|176.8246355|165.1465831|34.43877986|0.878140798|-48.31476032|87.29061302|-33.22101012|0.442509019|3214.047452|4049.386572|-22.2507658|0.1218592019999999|12.51342818|0.793750992|81.61884754|37.83107469|-506.5422338|1626.736212|618.8882797|1.0|0.0|1.0|1.0|4.02|-5.21|5.67|4.38|173.43|2.61|2.0|2.0|5.0|-5.85|511.42|1.0|0.0|1.0|4.21|-6.18|1.98e-06|6.55e-07|0.000335|5.03|1.0|0.00318|-0.09533|3.1026|3.1026|-3290.775349|687.2|1183.07|0.4962|399.62|552.01|0.69429|0.4962|-0.1237099999999999|-0.21904|11.3203|7.5229
9d_a31|0|3.456767212|0.0|0|1|1|0.61013528|0.0|-0.012442213|5.733341277|-0.043220149|0|-0.057650507|-0.0938310919999999|10.31169788|0.000127275|-0.214049412|-0.550392027|0.8066174070000001|0.8343242820000001|-0.0375445629999999|0.873955169|-0.098210975|0.029032453|-81.53295088|19.79432796|154.8767865|208.401866|560.5224416|0.6636195229999999|-45.65350116|97.84665015|-23.07536346|0.457506946|2654.377004|1932.363213|-15.732784099999998|0.336380477|17.39409698|0.8433415740000001|229.34422830000003|34.77197803|-223.1115993|1842.914835|647.1500428999999|1.0|1.0|1.0|2.0|3.8|-7.63|6.04|4.09|117.37|1.31|2.0|1.0|5.0|-6.36|412.51|0.0|0.0|1.0|3.65|-4.39|0.0010199999999999|4.06e-05|0.0167|3.46|0.0|9.69e-06|-0.03457|3.8478|3.8478|-1657.471475|727.27|1202.79|0.2611|322.22|630.49|0.7006899999999999|0.2611|-0.15969|-0.19426|3.5077|6.2218
3_a27|0|0.0|0.0|2|0|0|1.402697639|3.127072625|-0.00648099|4.59511985|-0.096132106|2|-0.172132163|0.042659548|10.93782973|0.00955169|-0.341338963|-0.479874452|0.640545265|0.810053853|0.038685745|0.8759548629999999|-0.06145119|0.019234305|-44.61323499|9.960129259|10.71226495|71.40072181|57.97805043|0.733853752|-16.47810502|54.32114618|-16.72996312|0.44566003|2294.213272|1043.697725|-8.663302268999999|0.266146248|11.64968556|0.803947133|137.8189165|22.79740761|-242.1936891|911.8963045|401.7540197|1.0|0.0|1.0|0.0|3.03|-5.89|2.8|2.94|65.6|2.18|0.0|2.0|4.0|-6.41|329.36|0.0|1.0|1.0|2.74|-3.99|0.0658|0.000103|0.0339|2.67|0.0|0.000423|-0.05512|5.5045|3962.0|-1081.905135|547.92|931.06|0.2305|225.24|425.72|0.34864|0.2208|-0.16457|-0.21969|4.1551|8.3979
13h_a6|0|3.464247528|0.0|0|0|0|1.424099498|0.0|-0.006619944|4.727387819|0.004767264|2|0.060987639|-0.01698365|10.95053423|-0.000644109|-0.215607882|-0.468842137|0.836982172|0.780222427|-0.164411111|0.8391892870000001|-0.074151997|0.017441348|-64.32173453|12.1971464|77.20799814|92.37313621|0.0|0.736918588|-36.26429338|76.78735663|-22.63172141|0.461667017|2926.745635|2829.19698|-15.82689691|0.263081412|16.928040300000003|0.8575863490000001|183.9790404|30.71129129|-331.36552|1658.40973|744.1359788|1.0|1.0|1.0|2.0|3.64|-10.57|5.41|4.79|103.17|1.13|2.0|0.0|5.0|-6.31|431.49|0.0|0.0|1.0|3.61|-5.06|0.0012|8.8e-06|0.0038|3.7|0.0|1.15e-08|-0.07435|4.8701|3392.0|-1386.613707|738.61|1253.92|1.0978|254.58|591.53|0.50716|0.2121|-0.14097|-0.2153199999999999|10.0322|7.3279
21_a47|1|0.0|0.0|1|0|0|1.408713027|1.2247108|-0.010650348|4.727387819|-0.13650463|2|-0.034419528|-0.004063946|10.95058272|-0.004332497|-0.277479519|-0.5406500129999999|0.612295986|0.826796636|0.0927058819999999|0.8856299320000001|-0.082614966|0.022739546|-53.76411184|12.83540744|34.75044485|166.049938|47.95893876|0.6448452960000001|-26.32173133|70.10126935|-19.11612865|0.463113582|2691.697803|1402.202743|-10.79015808|0.355154704|13.17102891|0.862591353|200.4681737|29.64451905|-163.5167523|1334.003357|482.9384172|0.0|1.0|1.0|2.0|3.29|-7.7|2.94|4.93|84.73|2.97|1.0|1.0|6.0|-6.58|394.38|0.0|0.0|1.0|3.43|-4.32|0.0142|4.84e-05|0.0191|3.0|0.0|7.8e-06|-0.06339|3917.0|3917.0|-1375.061089|583.37|1014.33|0.2249|316.53|441.93|0.68296|0.2249|-0.16158|-0.2249699999999999|4.9172|8.3
6_a1|0|0.0|0.0|1|1|1|1.3488280769999998|2.325221088|-0.005477033|5.4161004020000005|0.021203156|1|-0.114683042|-0.00983397|10.95180041|0.006851583|-0.3632559589999999|-0.353456514|0.781885145|0.798346291|-0.095907969|0.8524898329999999|-0.057199415|0.021009352|-37.41011914|10.15161645|64.63457366|58.82435931|95.13138767|0.576759436|-13.35477777|49.61122373|-11.51080589|0.4218263379999999|1956.144556|1383.161829|-5.56196523|0.423240564|9.609375529|0.7295841470000001|204.5077752|19.95772445|-74.17956941|778.3512535|359.9965854|1.0|1.0|1.0|0.0|2.94|-6.02|3.61|3.57|39.94|1.75|0.0|1.0|3.0|-6.21|291.35|0.0|1.0|1.0|2.82|-3.68|221.0|0.00021|0.0613|2.63|0.0|0.000277|-0.02214|4.0635|4.0635|-935.5024827|527.41|875.29|0.3399|305.12|405.23|0.69818|0.3399|-0.16784|-0.1899799999999999|8.0033|5.2924
12c_a31|0|3.387641566|0.0|0|1|1|0.6101358029999999|0.0|-0.013026643|5.733341277|-0.055520387|0|-0.030192572|-0.094991098|10.311698300000002|-0.000813398|-0.223856622|-0.54466023|0.8083148840000001|0.842823186|-0.098452311|0.8856644770000001|-0.104643824|0.030543026|-82.33748068|19.38414321|153.400467|212.313715|553.8695417|0.6817087|-42.14855504|97.28775086|-23.05449459|0.448512808|2592.4503010000003|1894.297124|-14.63154376|0.3182913|14.67172662|0.813278739|202.0036947|33.81868912|-230.6429907|1690.934456|583.9691392000001|1.0|1.0|1.0|2.0|3.69|-7.24|5.64|3.7|117.37|1.08|2.0|1.0|5.0|-6.53|398.48|0.0|0.0|1.0|3.32|-4.16|0.00233|6.94e-05|0.0277|3.1|0.0|2.31e-05|-0.0338399999999999|3.8328|3.8328|-1618.1530810000002|679.71|1138.89|0.2625|323.48|578.69|0.7007399999999999|0.2625|-0.15904|-0.19288|2.2908|6.4202
12ag_a36|0|3.408828027|0.0|0|2|2|1.297044434|0.0|-0.008085448|5.351858133|-0.084341564|2|0.063109409|0.0070889269999999|10.96052849|-0.000673716|-0.217394466|-0.445549431|0.724208473|0.835013502|-0.0861053359999999|0.8910146309999999|-0.082492792|0.020136392|-68.21579593|12.70005599|85.84609192|159.6746787|0.0|0.758897371|-32.81436052|80.40643223|-24.55768654|0.481286668|2773.9654530000003|2305.164626|-15.48857353|0.2411026289999999|15.13240062|0.927847116|152.06382680000002|32.35969377|-326.5740008|1617.984688|595.8790650000001|1.0|0.0|0.0|2.0|4.72|-6.86|3.13|2.44|69.2|2.4|1.0|1.0|5.0|-6.76|399.42|0.0|1.0|0.0|2.15|-4.16|0.0515|6.96e-05|0.0278|2.78|0.0|5.58e-05|-0.05486|3.8893|3.7117|-1332.185403|658.68|1112.68|0.4286|318.79|507.72|0.69204|0.0191|-0.15227|-0.20713|7.5405|7.7696
31_a47|1|0.0|0.0|1|0|0|1.304326813|1.441825189|-0.00869363|4.727387819|-0.171198936|2|-0.086842911|0.074881792|10.9497221|-0.006265667|-0.076351692|-0.441642572|0.677766155|0.856640117|0.001622323|0.917597019|-0.10715233|0.021401336|-65.56344002|13.27533898|355.5321928|188.5600536|81.01707367|0.70664003|-41.22978713|80.58054906|-23.31144534|0.4741051329999999|2689.159869|1322.82831|-14.46018796|0.29335997|15.6194341|0.901520747|181.972428|32.98913783|-256.3593656|1484.511202|513.2159236|1.0|1.0|1.0|2.0|3.18|-7.62|3.23|4.24|98.72|2.0|1.0|1.0|5.0|-6.78|410.83|0.0|0.0|1.0|2.94|-4.39|0.0105|4.03e-05|0.0166|2.86|0.0|9.95e-06|-0.0532|3.9744|3.6369|-1735.435432|642.11|1079.4|0.3264|311.96|508.69|0.68276|83.0|-0.15143|-0.20463|8.6244|7.8
12am_a36|0|3.340519946|-4.723487246|0|2|2|1.240140551|0.0|-0.015884751|5.351858133|-0.297354748|2|0.122824831|-0.050505733|10.9602097|-0.007897954|-0.3344729369999999|-0.6080522279999999|0.647732719|0.8344566859999999|-0.05754717|0.885733922|-0.091472759|0.017590648|-81.59051640000001|12.15249658|128.69607109999998|127.81651770000002|1.038361162|0.788334835|-43.65752487|95.53118838|-31.72964526|0.484558903|3230.6292780000003|2603.072527|-21.92042059|0.211665165|17.01968794|0.940085891|146.228847|40.24894481|-398.3921535|2173.44302|672.4630346|1.0|0.0|0.0|2.0|4.81|-7.14|3.31|4.04|78.43|2.04|2.0|1.0|8.0|-6.4|465.43|0.0|0.0|0.0|2.65|-5.07|0.00291|8.6e-06|4.0|3.86|0.0|3.37e-05|-0.0569799999999999|5.2317|3.8606|-1645.205296|714.21|1206.77|0.4894|236.99|562.14|0.40752|0.2987|-0.15658|-0.21356|8.0872|7.2218
1j_a5|0|2.9426852410000004|0.0|0|0|0|1.427567371|0.0|-0.003981454|4.59511985|-0.010620031|2|-0.115553003|-0.07622096|10.9487794|0.006957291|-0.0178558139999999|-0.2470489089999999|0.74740095|0.7862755770000001|-0.0614852279999999|0.848473695|-0.073803258|0.019690225|-40.01980349|10.57633738|73.73338699|82.09385267|1.471030887|0.616489567|-21.29338752|54.3827755|-14.64139152|0.469085779|2242.805131|847.5275797|-7.86442482|0.383510433|13.80288876|0.883543443|205.997426|23.74961767|-125.1415813|973.7343247|422.96706330000006|1.0|1.0|1.0|1.0|2.76|-8.14|4.5|4.21|63.69|1.57|0.0|1.0|4.0|-6.15|328.37|0.0|1.0|1.0|3.19|-4.2|0.0304|6.29e-05|0.0206|3.03|0.0|2.36e-06|-0.03832|4.4331|4.1205|-1065.849941|572.47|959.39|0.5115|279.68|445.81|0.66182|0.1644|-0.16813|-0.20645|3.0364|7.6198
8m_a46|0|0.0|0.2148468989999999|1|1|1|1.160371261|2.126524943|-0.00517896|5.533389489|-0.085284636|1|-0.134230003|-0.120972269|10.94650201|0.005865049|0.015631887|-0.380393836|0.783187801|0.7699708959999999|-0.090247845|0.8142050040000001|-0.0911455|0.007059399|-45.17474201|3.742817678|166.8508795|65.63194084|0.0|0.8854896870000001|-25.62105988|48.72163155|-17.06601365|0.425802465|2045.330306|1913.813025|-9.04821721|0.114510313|9.899611044|0.7415609409999999|60.71213839999999|19.27296714|-408.7649869|867.2835213999999|463.1469765|0.0|1.0|1.0|1.0|3.24|-6.46|4.16|4.21|50.94|2.62|1.0|1.0|3.0|-5.61|319.4|0.0|1.0|1.0|3.53|-4.56|0.0105|2.78e-05|0.0088799999999999|3.72|0.0|0.000112|-0.01818|5.3062|4.2881|-1014.126693|570.72|970.82|0.3905|233.66|489.57|0.43001|0.1441|-0.17897|-0.19715|3.1675|6.6402
14ab_a23|1|0.0|0.0|2|0|0|1.197962873|3.4171257980000003|-0.0050415|5.351858133|-0.028841865|2|0.021287386|0.010803172|10.313217300000002|0.012103325|-0.13397874|-0.449699921|0.725358161|0.75434493|-0.05990912|0.8072028240000001|-0.051974369|0.017974612|-52.21744789|12.31039874|40.23721489|51.89838547|82.79560776|0.797837067|-24.37891748|61.60741239|-21.67516705|0.4695727329999999|2941.47118|2332.352369|-14.84482393|0.202162933|14.76864227|0.885272615|138.4567483|27.16741043|-407.9635285|1439.872753|733.3886349999999|0.0|0.0|1.0|1.0|3.63|-8.16|4.4|4.63|105.02|3.45|2.0|1.0|4.0|-5.92|439.54|0.0|0.0|0.0|4.12|-5.55|0.000259|2.81e-06|0.00123|4.31|0.0|3.07e-06|-0.07146|3.6587|3.6587|-1708.563399|719.66|1238.27|0.3893|338.88|595.23|0.66532|0.3893|-0.14778|-0.21924|8.4721|8.4012
19b_a38|0|3.26554965|0.0|0|2|2|1.297044256|0.0|-0.008652352|5.351858133|-0.115864198|2|0.013765516|-0.1381849369999999|10.96052467|-0.004358975|-0.250781298|-0.443325632|0.653741315|0.8295290000000001|-0.114123934|0.8851623040000001|-0.086013549|0.0224393089999999|-71.73053105|13.92699891|120.3048789|168.00390359999997|0.0|0.7596369590000001|-33.13317155|84.49751102|-25.82299118|0.478948837|2897.652112|2436.66785|-16.02708787|0.240363041|13.74014387|0.91919733|149.181772|33.99385836|-322.28833010000005|1699.692918|593.6088758|1.0|0.0|0.0|3.0|4.82|-7.12|3.55|3.11|81.23|2.78|1.0|1.0|5.0|-6.81|419.43|0.0|0.0|1.0|2.94|-4.33|0.0238|4.67e-05|0.0196|2.88|0.0|3.19e-05|-0.05031|5363.0|3.7509|-1431.414099|646.81|1111.29|0.4634|231.18|485.64|0.38952|0.1945|-0.15414|-0.20445|6.3396|7.9172
4b_a49|0|0.0|0.0|1|1|1|1.343847828|2.075628989|-0.0074627159999999|5.4161004020000005|-0.077626337|2|-0.064060521|-0.033486358|10.92776533|0.002557204|-0.089371493|-0.390006034|0.720824193|0.798826417|0.049923437|0.852400617|-0.091725536|0.0241270029999999|-55.5653235|14.84890147|41.97072627|148.84640819999998|64.87087098|0.645330839|-34.74338731|71.2971749|-18.89220999|0.477868186|2708.998101|1701.832352|-11.62716177|0.354669161|14.53457293|0.915225186|218.2802175|29.27523192|-178.8869784|1463.761596|600.3287567000001|1.0|1.0|1.0|1.0|3.37|-7.05|3.71|3.26|90.13|1.66|1.0|1.0|6.0|-7.12|400.43|0.0|0.0|1.0|2.8|-3.88|62.0|0.000132|0.0527|2.28|0.0|3.570000000000001e-05|-0.06731|4.6422|3.7413|-1333.063439|664.86|1121.45|0.2856|267.08|509.78|0.4151899999999999|0.0615|-0.15635|-0.22366|2.2306|7.1024
17a_a50|1|0.0|0.0|2|1|1|1.349854788|4.319202937|-0.002225436|5.82008293|0.009691515|1|-0.109740063|-0.0979202769999999|10.94500663|0.012893333|-0.3891730779999999|-0.220088198|0.762224122|0.784570118|-0.215448852|0.828062407|-0.045404408|0.013784807|-51.14229199|8.977762705|10.03717565|50.14419437|84.34722313|0.7899109000000001|-19.25896309|58.69900789|-18.26510428|0.486855438|2644.4486420000003|1799.721631|-11.89568886|0.2100891|15.76161018|0.948768582|136.82673369999998|23.12299308|-377.6260803|1294.887612|719.3470265|1.0|1.0|1.0|0.0|3.95|-6.76|3.39|4.14|51.77|2.3|1.0|1.0|4.0|-6.44|398.5|0.0|1.0|0.0|3.27|-4.44|0.0408|3.61e-05|0.0144|3.23|0.0|6.97e-05|-0.03196|4.2478|4.0477|-1258.566007|705.96|1204.79|0.1817|291.88|616.93|0.6244|0.1754|-0.16724|-0.1992|8.2991|7.0706
