molecula|NaaNH|Molar refractivity|WNSA4|n5aRing|NaasN|GRAV|nAHRing|nARing|nFaHRing|Gibbs Free Energy|AATSC1are|Solubility [Log S (SILICOS-IT)] (mg/ml)|Num. of Aromatic heavy atoms|pIC50
8e_a12|0|117.04|-10.19566754|1|1|5490.975165|1|1|1|-1177.436953|0.005196034|4.34e-06|21.0|6.2306
5_a4|0|104.89|-7.276482574|1|1|5059.243919|1|1|1|-1069.102899|0.011630756|3.71e-06|21.0|7.1487
19_a47|0|99.2|-11.45202794|1|1|5846.960345|0|0|1|-1335.634976|-0.013020816|4.59e-05|21.0|7.3
12aj_a36|1|128.72|-15.14089115|1|0|5763.333098|2|2|0|-1272.060325|0.002951176|4.270000000000001e-05|17.0|7.7696
12a_a5|1|119.38|-9.830359239|1|0|5294.775577|1|1|0|-1201.8082029999998|0.00873078|5.660000000000001e-07|23.0|7.7212
20_a47|0|99.68|-9.761884958|1|1|5896.060936|0|0|1|-1335.620783|-0.009220816|1.86e-05|21.0|8.6
4r_a46|0|97.9|-7.304896049|1|1|4775.760774|1|1|0|-1069.284137|0.006236535|0.000188|17.0|5.8499
13n_a6|1|127.2|-18.12946621|1|0|6386.381394|0|0|1|-1423.514154|-0.0093684169999999|9.35e-08|27.0|7.1249
18b_a25|0|138.56|-15.05981357|1|1|6973.180791|0|0|1|-1767.286778|0.006181503|6.690000000000001e-08|27.0|7.2924
21_a10|0|128.59|-16.4322688|1|1|7048.414464|1|1|1|-1485.278495|0.001533145|8.68e-07|27.0|5.3188
LY364947_a10|1|82.56|-5.78950507|1|0|3903.496845|0|0|1||0.007575|1.7199999999999998e-05|21.0|7.2291
14n_a23|0|126.78|-14.76259199|2|2|6740.54932|0|0|1|-1744.244532|0.010561248|1.3699999999999998e-05|26.0|9.2441
16i_a32|1|116.75|-15.6876273|3|0|6355.471589|0|0|1|-1995.11813|-0.003511776|1.7100000000000002e-05|19.0|8.2596
3q_a32|1|115.37|-10.6629646|3|0|6079.482066|0|0|1|-1919.883144|0.000773658|2.01e-05|19.0|7.5528
13b_a30|0|135.37|-19.53516918|1|0|6627.406474|2|2|0|-1744.281763|-0.003436924|0.000288|17.0|7.5901
13b_a6|1|116.79|-17.48058934|1|0|6000.952027|1|1|0|-1349.898848|-0.00460563|4e-07|23.0|6.7595
12a_a36|1|123.75|-14.22926022|1|0|5710.355735|2|2|0|-1232.764108|0.002039107|9.78e-05|17.0|7.8861
4S4l_a46|0|105.77|-8.862913904|1|1|4920.211524|1|1|0|-1092.543641|0.0066560469999999|3.47e-05|17.0|6.5834
14ae_a23|0|133.27|-13.81539807|2|2|7308.981869|0|0|1|-1858.7404850000005|0.008996289|1.17e-05|26.0|8.6038
24_a47|0|104.73|-10.29341441|1|1|6022.202634|0|0|1|-1695.98597|-0.0060410169999999|9.22e-06|21.0|8.5
25_a12|0|99.48|-9.021208163|0|0|4329.321091|0|0|1|-974.508059|0.000864238|5.12e-07|22.0|7.6576
12a_a30|0|127.28|-14.47983299|1|0|5936.682602000001|2|2|0|-1575.597759|0.005050384|9.21e-05|17.0|7.9469
14y_a23|0|130.3|-16.40099384|2|2|7320.809595999999|0|0|1|-2548.953933|0.009174505|1.29e-06|26.0|8.4225
11_a1|1|105.71|-16.93943154|1|0|5798.645137|1|1|0|-1312.2963630000002|-0.0127744789999999|1.29e-05|23.0|6.7696
11f_a5|1|126.79|-10.77881574|1|0|5969.213977|1|1|0|-1391.50739|0.00722997|9.06e-07|23.0|7.9208
3m_a32|1|110.36|-9.699808932|3|0|5724.714257|0|1|1|-1863.337677|-0.000514191|1.65e-05|19.0|7.6383
16a_a32|1|108.86|-14.39564033|3|0|5746.082161|0|0|1|-1896.649286|-0.008098765|2.01e-05|19.0|7.9586
25b_a34|0|108.21|-16.55102732|1|1|5786.015654|1|1|0|-1313.194808|-0.00378755|0.00015|17.0|5.6819
12d_a30|0|132.24|-15.12802292|1|0|6120.329513000001|2|2|0|-1614.894406|0.005613018|4.02e-05|17.0|7.9508
4R4k_a46|0|100.96|-8.617349646000001|1|1|4711.736397|1|1|0|-1053.254911|0.006550513|8.28e-05|17.0|7.0132
16g_a32|1|121.56|-18.38320476|3|0|6372.261243999999|0|0|1|-2034.408165|-0.002456725|3.04e-06|19.0|7.9586
11b_a50|0|99.65|-6.788943965|2|2|4884.730303|1|1|1|-1045.849774|0.011959339|0.000441|20.0|5.7696
14b_a23|0|120.24|-14.74314679|2|2|6622.129837|0|0|1|-1728.9893510000002|0.007671236|9.18e-06|26.0|8.3536
12am_a36|1|130.43|-21.92042059|1|0|7238.033439|2|2|0|-1645.016323|-0.011700732|3.37e-05|17.0|7.2218
19a_a22|0|132.15|-19.56380872|1|1|7095.27723|0|0|1|-1536.823574|-0.002607064|8e-07|27.0|7.3188
5_a27|0|97.55|-8.438466859|1|2|4943.51602|0|0|1|-1083.019748|0.00991794|0.0002|21.0|8.5229
8b_a12|0|110.58|-15.27062922|0|0|5217.318476|1|1|0|-1159.2425119999998|-0.010117477|1.26e-05|18.0|6.58
16e_a32|1|111.95|-15.45011555|3|0|6142.277629|0|0|1|-1955.827194|-0.0048042729999999|1.73e-05|19.0|8.1367
17_a15|0|131.36|-15.88591693|0|0|6352.266784|0|0|0|-1413.624817|0.0016674189999999|8.43e-08|24.0|7.9208
6e_a40|0|125.15|-21.04453212|2|1|7585.605268000001|1|2|1|-2831.048968|-0.0026177839999999|0.0112|14.0|7.7447
9_a15|0|104.74|-8.88789863|0|0|5375.400861|0|0|0|-1223.522216|1.7800000000000002e-05|9.86e-06|18.0|6.9706
10_a32|1|107.14|-14.85891856|3|0|5842.926058|0|0|1|-1916.519894|-0.0064007569999999|4.13e-05|19.0|8.1427
9_a4|0|105.09|-7.665782805|1|1|5387.230364999999|1|1|1|-1489.41872|0.010709527|2.49e-06|21.0|7.3188
5d_a40|0|74.11|-7.94180214|2|1|4051.712713|0|1|1|-1276.797751|0.007200253|0.0137|14.0|7.7212
20_a31|1|110.47|-13.1700345|3|0|5678.167489|0|0|1|-1880.599777|-0.003484915|8.86e-06|19.0|8.0862
12bf_a36|1|123.67|-15.55034592|1|0|6271.550446|2|2|0|-1431.246893|-0.006877664|3.17e-05|17.0|8.2218
1_a3|0|91.52|-7.203984013|0|0|4510.611026|1|1|1|-1273.22339|-0.006610844|0.000518|16.0|6.1403
17_a4|0|85.09|-11.21677197|1|1|5322.773303|1|1|0|-1255.932407|0.001892883|9.44e-05|17.0|6057.0
3b_a32|1|88.24|-8.049905042|3|0|4448.251276|0|0|1|-1594.049677|-0.001282231|9.97e-05|19.0|8.2366
27_a47|0|125.17|-11.67498331|1|1|6433.288104|1|1|1|-1777.891054|0.001861676|6.55e-07|21.0|5.6
11_a27|1|106.33|-9.595877966|0|0|5186.240841|1|2|1|-1122.242519|0.004538653|0.000283|16.0|8301.0
12m_a36|1|131.85|-19.16067782|1|0|6434.374756|2|2|0|-1401.446557|-0.006653538|0.000305|17.0|7.5229
47d_a18|0|159.67|-19.1002979|0|0|7780.945962999999|1|1|0|-1703.622959|0.003376831|7.790000000000001e-07|18.0|8.0969
13g_a6|1|128.63|-15.68456028|1|0|6332.20768|0|0|1|-1386.364067|-0.002407131|1.15e-08|27.0|6.9245
3_a4|0|95.12|-5.815502811|1|1|4677.30755|1|1|1|-990.514888|0.011825591|2.03e-05|21.0|6983.0
9_a47|0|101.46|-10.10553715|0|0|5212.504394|0|0|1|-1148.949486|-0.009607222|1.17e-06|22.0|7.6
30_a47|0|104.25|-13.79658605|1|1|5852.817155|0|0|1|-1695.9887|-0.0098410169999999|2.28e-05|21.0|7.9
7h_a8|1|101.89|-13.63564064|1|1|5657.402114|0|0|0|-1285.0707960000002|0.00112124|1.31e-06|23.0|4.9788
18c_a30|0|135.37|-19.19537998|1|0|6685.737642|2|2|0|-1744.28923|-0.003436924|0.000288|17.0|7.9208
12p_a30|0|132.24|-14.91687369|1|0|6166.812731|2|2|0|-1614.890598|0.005613018|4.02e-05|17.0|7.7721
19_a3|1|85.32|-7.064025721|1|0|4138.413977|0|0|1|-929.193831|0.006821053|1.7800000000000002e-05|21.0|7.6383
2_a33|1|115.28|-11.89228027|3|0|6067.635829|0|0|1|-1919.890628|-0.002514803|8.78e-06|19.0|8.2596
12ap_a36|1|128.47|-16.13217554|1|0|6003.481614|2|2|0|-1325.0127220000002|-0.000143196|8.97e-05|17.0|7.4949
5a_a40|0|74.15|-7.128912782|2|1|3736.248815|0|1|1|-1177.555706|0.011345707|0.0241|14.0|7.0915
11a_a5|1|128.51|-13.38721623|1|0|5756.783268|0|1|0|-1339.555805|0.007993132|5.019999999999999e-08|23.0|7.0915
17_a3|0|95.5|-10.24205849|1|0|4839.543958|0|0|1|-1731.663157|-0.007540435|1.11e-05|21.0|7.6383
1m_a5|1|95.5|-8.041608085|1|0|4584.808374|0|0|0|-1410.833395|0.006422789|7.82e-07|23.0|7.3665
20_a4|0|86.62|-6.32818424|1|1|4085.683488|1|1|0|-934.150871|0.012265062|0.000806|17.0|6.1898
12x_a30|0|137.21|-15.27257668|1|0|6359.545311|2|2|0|-1654.183467|0.00604028|1.76e-05|17.0|7.6556
4f_a46|0|101.54|-6.484875252999999|1|1|4661.569032|1|1|0|-1033.36869|0.012332859|2.04e-05|17.0|6.7375
8e_a46|0|91.93|-5.967832774|1|1|4239.252176|1|1|0|-954.793305|0.012911107|6.57e-05|17.0|6.3915
17b_a6|1|116.79|-17.86570631|1|0|5985.963521|1|1|0|-1349.892156|-0.00460563|4e-07|23.0|6.8153
14a_a10|0|146.76|-9.988888957|1|1|6754.660977|2|2|1|-1489.487381|0.011509975|3.07e-06|21.0|7.1308
6_a4|0|109.7|-7.639600225|1|1|5256.215815|1|1|1|-1108.392115|0.011457667|3.67e-06|21.0|5.8861
21_a4|0|91.59|-7.377915035|1|1|4277.396118|1|1|0|-973.449892|0.012362563|0.000352|17.0|6.9172
2_a4|0|79.59|-6.736463618999999|0|0|3396.86527|1|1|0|-819.8174190000001|-0.001386521|0.00374|12.0|7.5086
4b_a49|0|112.36|-11.62716177|1|1|6025.790417|1|1|1|-1332.8586269999998|0.001769804|3.570000000000001e-05|21.0|7.1024
19l_a38|1|135.78|-15.68376675|1|0|6705.993411|2|2|0|-1409.37001|-0.001197042|2.25e-05|17.0|7.8633
4_a27|0|97.55|-7.543156957000001|1|2|4988.6278600000005|0|0|1|-1083.01571|0.00991794|0.0002|21.0|8.3979
33_a47|0|94.28|-7.79637597|1|1|4889.09585|0|0|1|-1123.04547|0.002212256|2.79e-05|21.0|8.4
3g_a32|1|102.55|-9.343731735|3|0|5058.622432|0|0|1|-1711.919273|0.001276735|1.8e-05|19.0|7.8539
47s_a18|0|149.34|-17.25406952|0|0|6968.705069|1|1|0|-1533.809351|0.002573931|1.84e-07|18.0|6.2104
10_a47|0|106.43|-10.11660331|0|0|5482.319019|0|0|1|-1188.244739|-0.008120645|5.110000000000001e-07|22.0|7.9
12h_a30|0|127.24|-15.55093031|1|0|6252.192213|2|2|0|-1674.838376|0.001139238|5.260000000000001e-05|17.0|8065.0
31_a47|0|109.21|-14.46018796|1|1|6019.5391740000005|0|0|1|-1735.284957|-0.007525849|9.95e-06|21.0|7.8
17a_a10|0|142.16|-11.80945728|1|1|7078.918870999999|2|2|1|-1524.252023|0.009206558|2.22e-05|21.0|7.3098
1l_a5|1|105.07|-8.460199385|1|0|4665.793689|0|0|0|-1069.101032|0.008244856|5.02e-07|23.0|7.4949
19c_a38|1|130.41|-15.15175311|1|0|6618.350708|2|2|0|-1424.247603|-0.004442319|5.14e-05|17.0|8.0348
6_a15|0|109.7|-10.46812265|0|0|5589.043165|0|0|0|-1262.820532|0.001080419|4.3e-06|18.0|7.4559
12n_a30|0|127.24|-15.42118984|1|0|6353.890039|2|2|0|-1674.83759|0.001139238|5.260000000000001e-05|17.0|7983.0
18_a31|1|99.32|-13.87749294|2|0|4856.251645|0|0|0|-1465.359325|-0.009923585|0.000104|16.0|6.8861
1a_a18 (SB-431542)|1|106.85|-16.29019397|1|0|5748.422847|1|1|0|-1292.414518|-0.011639964|7.81e-06|23.0|6.9031
8a_a8|1|109.21|-17.59585557|1|1|6193.891189|1|1|0|-1367.595683|-0.0075336219999999|6.96e-05|23.0|4.9454
9b_a36|1|126.17|-14.24129533|1|0|5838.085413000001|2|2|0|-1575.616432|0.005050384|9.21e-05|17.0|7.6778
18c_a22|0|136.36|-13.79609783|1|1|7101.057047|0|0|1|-1783.340519|0.005449965|1.58e-07|27.0|7585.0
12c_a36|1|128.76|-15.68788659|1|0|6256.172329|2|2|0|-1692.3713309999998|0.0005016269999999|2.77e-05|17.0|8.0458
12g_a40|0|93.78|-11.99782981|2|1|5211.675486|0|0|1|-2172.988604|-0.001011175|8.57e-05|20.0|6.1403
14b_a25|0|130.97|-15.70265555|1|1|6760.594953|0|0|1|-1444.330251|0.004725325|9.93e-08|27.0|7.6576
12au_a36|1|142.02|-19.68626738|1|0|7239.100414|2|2|0|-1875.960827|-0.006862238|6.45e-05|17.0|7.3279
12bd_a36|1|133.68|-15.47699253|1|0|5957.939097|2|2|0|-1311.352257|0.003676818|1.86e-05|17.0|7.7696
7b_a8|1|110.8|-14.82895606|1|1|6185.0105140000005|1|1|0|-1330.448193|0.002074537|8.94e-06|23.0|4.8687
12bg_a36|1|133.77|-17.39163005|1|0|6753.439903|2|2|0|-2151.975577|-0.001012333|7.83e-06|17.0|7.8239
14k_a23|0|125.29|-15.05671972|2|2|6715.186162999999|0|0|1|-2089.354026|0.010682694|4.55e-06|26.0|8.4123
4n_a46|0|102.92|-9.374920341|1|1|4955.374473|1|1|0|-1090.151267|0.004988019|7.340000000000001e-05|17.0|5.2845
13_a12|0|84.74|-8.408963103|0|0|3647.657976|0|0|0|-876.258343|0.000830398|2.01e-05|18.0|7.0315
8_a1 (SB-202620)|1|99.61|-13.22376193|1|0|5170.286136|0|0|0|-1223.014114|-0.012672753|3.42e-06|23.0|6.3979
28_a34|0|85.92|-12.63011537|1|1|4803.256974|1|1|0|-1100.704833|-0.012039484|0.00535|17.0|5.4179
14i_a23|0|128.38|-18.59026006|2|2|7030.347905|0|0|1|-1798.434186|0.002243702|5.03e-05|26.0|8.4622
34_a47|0|99.09|-9.000096143|1|1|5105.274301|0|0|1|-1162.33788|0.003530307|1.17e-05|21.0|8.7
LY580276_a4|0|84.74|-6.511436537000001|1|1|4098.640927|1|1|0|-959.404416|0.010217376|8.08e-05|17.0|6757.0
6_a47|0|106.47|-10.82346202|0|0|5766.962611999999|0|0|1|-1608.554019|-0.010708889|3.310000000000001e-07|22.0|7.9
12ab_a36|1|133.27|-15.90828969|1|0|6314.697413|2|2|0|-1364.300531|0.000939229|3.76e-05|17.0|7.9586
11a_a31|1|83.12|-14.47606937|2|0|4940.657452|1|1|0|-1441.37897|-0.022093578|0.00731|16.0|6.7212
14b_a3|0|93.25|-8.721397057|1|0|4803.535505|0|0|1|-1327.398177|-0.00603969|4.08e-05|21.0|6.4202
14f_a23|0|126.78|-14.37516058|2|2|6768.918745|0|0|1|-1744.2443850000002|0.010561248|1.3699999999999998e-05|26.0|8.6459
19d_a38|1|133.79|-18.15727844|1|0|6934.7619620000005|2|2|0|-1500.683599|-0.011156837|0.000175|17.0|7.9586
10_a3|0|88.28|-7.715112198|1|0|4600.496436|0|0|1|-1288.097561|-0.008037672|9.35e-05|21.0|5.1
4l_a46|0|105.77|-9.6227739|1|1|4865.794981|1|1|0|-1092.53932|0.0066560469999999|3.47e-05|17.0|7.0088
15d_a10|0|131.43|-8.551449923|1|1|6511.656447|2|2|1|-1430.795367|0.010215823|6.62e-06|21.0|7.1612
8c_a31|1|93.45|-12.06117028|2|0|4835.748065|1|1|0|-1426.024361|-0.0080009219999999|0.0002549999999999|16.0|6.0915
12n_a36|1|142.02|-18.30412788|1|0|7657.057548000001|2|2|0|-1875.961945|-0.006862238|6.45e-05|17.0|7.8239
1h_a5|1|95.45|-7.561719827|1|0|4334.547353|0|0|0|-990.523098|0.008031558|1.21e-06|23.0|7.5528
6_a1|0|86.31|-5.56196523|1|1|4061.042516|1|1|0|-935.378591|0.005054086|0.000277|17.0|5.2924
9_a27|1|97.46|-8.952528705|1|1|4962.727436|0|0|1|-1083.017359|0.00611794|2.88e-05|21.0|8699.0
19h_a38|1|125.69|-13.74247449|1|0|6253.901215|2|2|0|-1331.999352|-0.002526241|5.610000000000001e-05|17.0|8.0348
14d_a23|0|125.25|-14.27606695|2|2|6459.554383|0|0|1|-1669.045136|0.01269616|7.03e-06|26.0|8.4001
12x_a36|1|135.47|-16.61514211|1|0|6193.10485|2|2|0|-1670.244307|0.00285431|3.83e-05|17.0|8.1549
3i_a32|1|88.28|-12.4050588|3|0|5656.349227000001|0|0|1|-1891.790935|-0.0131506889999999|4.01e-05|19.0|8.2366
25_a47|0|109.7|-11.52783528|1|1|6236.813862|0|0|1|-1735.279715|-0.003963349|4.02e-06|21.0|7.8
3c_a32|1|93.05|-7.622115192000001|3|0|4598.027604999999|0|0|1|-1633.348356|-0.00017094|4.18e-05|19.0|8.0458
19_a31|1|97.25|-12.37297805|2|0|4917.329034|0|0|0|-1489.382077|-0.005956522|1.46e-05|16.0|5.7447
19b_a38|1|125.65|-16.02708787|1|0|6518.872269|2|2|0|-1431.2418630000002|-0.006877664|3.19e-05|17.0|7.9172
15c_a22|0|128.77|-15.66586856|1|1|6882.442370999999|0|0|1|-1460.387718|0.003784292|2.35e-07|27.0|6.1325
2_a20 (SB-505124)|1|97.55|-11.58380004|1|0|4762.83693|1|1|0|-1089.201587|0.001622309|2.03e-05|17.0|6.7721
14p_a23|0|125.0|-15.32117727|2|2|6696.264498|0|0|1|-1721.994023|0.009895793|1.4800000000000002e-05|26.0|8.5302
35_a18|0|151.05|-18.16338657|0|0|6995.248058|2|2|0|-1532.627182|-7.44e-05|1.35e-07|18.0|7.6198
13a_a6|1|116.79|-17.46461983|1|0|6019.922535|1|1|0|-1349.895534|-0.00460563|4e-07|23.0|7.3372
46_a18|0|151.14|-14.76030741|0|0|7150.333139|2|2|0|-1532.562476|0.002300582|7.27e-07|18.0|6.7305
12aa_a36|1|131.85|-19.29522587|1|0|6438.603019|2|2|0|-1401.45065|-0.006653538|0.000305|17.0|8.0458
12_a15|0|119.95|-13.04483751|0|0|5897.820841|0|0|0|-1280.871722|0.001740635|5.99e-08|24.0|8.3979
12h_a36|1|130.24|-15.32224162|1|0|6159.17335|2|2|0|-1347.260478|0.00127667|8.340000000000001e-05|17.0|7.8539
14a_a23|0|120.28|-13.66949407|2|2|6269.28943|0|0|1|-1629.748476|0.012219066|1.6100000000000002e-05|26.0|8.5498
2_a27|0|92.58|-7.415462877|1|2|4774.521748|0|0|1|-1043.715364|0.009338889|0.0004599999999999|21.0|7.8861
12ar_a36|1|133.27|-15.99689556|1|0|6155.432771|2|2|0|-1364.2977050000002|0.000939229|3.76e-05|17.0|7.6021
12i_a36|1|130.43|-18.95842684|1|0|7707.634338|2|2|0|-1645.017702|-0.011700732|3.37e-05|17.0|7.9208
10_a4|0|111.38|-9.046715915|1|1|5598.949417|1|1|1|-1183.602045|0.01107733|3.15e-06|21.0|7.0555
7_a3|0|95.5|-9.030659289|1|0|5055.700186|0|0|1|-1731.651178|-0.007540435|1.11e-05|21.0|5.9901
12af_a36|1|138.06|-16.95376516|1|0|6499.41155|2|2|0|-1440.740243|-0.00233752|5.18e-05|17.0|7.8239
14c_a23|0|125.29|-15.0359121|2|2|6755.962581999999|0|0|1|-2089.354057|0.010682694|4.55e-06|26.0|8.6253
12bi_a36|1|136.74|-13.56944331|1|0|6572.410403|2|2|0|-1461.75632|0.000482522|7.11e-05|17.0|7.8539
7_a27|0|102.36|-9.469994277|1|2|5082.120742|0|0|1|-1122.304359|0.010291744|8.4e-05|21.0|9.0
20a_a10|0|126.35|-11.8557778|1|1|6729.996773999999|1|1|1|-1388.957848|0.008214031|1.55e-07|27.0|5.9208
3c_a49|0|109.43|-8.253567879|1|1|5544.351498|1|1|1|-1198.484646|0.006218639|1.07e-05|21.0|7.0605
12e_a36|1|128.72|-14.64611103|1|0|5929.071389|2|2|0|-1272.0579810000002|0.002951176|4.270000000000001e-05|17.0|7.8539
8g_a8|1|111.38|-19.68456628|1|1|6581.432140999999|1|1|0|-1450.787398|-0.009140059|1.67e-05|23.0|5.3768
12g_a30|0|133.52|-18.63502363|1|0|6688.137428|2|2|0|-1743.029147|0.001371944|0.000165|17.0|8.0334
6b_a40|0|130.16|-22.2507658|2|1|8482.600495|1|2|1|-3290.648012|-0.003851208|0.00318|14.0|7.5229
3p_a32|1|112.37|-10.10863498|3|0|5960.446219|1|1|1|-1879.406962|-0.000971341|6.4e-05|19.0|7585.0
12l_a36|1|128.47|-16.12160667|1|0|6121.6555530000005|2|2|0|-1325.0137550000002|-0.000143196|8.97e-05|17.0|7699.0
3n_a32|1|106.44|-9.057526067|3|0|5553.014016|1|1|1|-1825.218291|0.000609539|4.19e-05|19.0|7.6778
5a_a50|0|101.86|-6.477439183|2|2|4770.917486|1|1|1|-1029.786489|0.012640587|0.000186|20.0|5.3872
41_a18|0|141.34|-17.56848637|0|0|6605.095612|2|2|0|-1454.045308|-0.0034878|1.89e-06|18.0|6433.0
12c_a31|1|108.16|-14.63154376|2|0|5676.394271|1|1|0|-1617.951882|-0.003618466|2.31e-05|16.0|6.4202
2_a47|0|96.54|-9.131190896|0|0|4559.060763|0|0|1|-1010.412694|-0.007479445|4.73e-06|22.0|6.2
3a_a32|1|83.28|-6.929640892|3|0|4249.04624|0|0|1|-1554.748543|-0.002794182|0.0002279999999999|19.0|8.5686
18_a4|0|86.22|-8.467791078|1|1|4381.693113|1|1|0|-1033.398285|0.000379379|0.0009109999999999|17.0|5.5817
12ax_a36|1|133.77|-17.36585896|1|0|6741.969187999999|2|2|0|-2151.971761|-0.001012333|7.83e-06|17.0|7.9208
34_a20|0|125.0|-14.59875162|1|1|6211.26199|0|0|1|-1352.102407|0.003085806|2.780000000000001e-07|27.0|7.2147
12b_a36 (EW-7197)|1||-15.31305729|1|0|6096.459089|2|2|0|-1332.005651|-0.002526241|||8.1549
7g_a8|1|108.0|-16.4912131|1|1|6293.364606|1|1|0|-1374.3479960000002|-0.00087806|4.92e-06|23.0|4.6772
1b_a5|1|90.44|-7.933533473|1|0|4577.125071|0|0|0|-1050.462425|0.003886035|1.58e-06|23.0|7.2291
7s_a46|0|91.19|-7.988379237|1|1|4245.390306|1|1|0|-974.664103|0.0060802|0.000256|17.0|5.7022
5a_a49|0|116.62|-9.345067946|1|1|6294.404170000001|2|2|1|-1311.799168|0.007647515|4.72e-05|21.0|7.3665
18_a10|0|119.81|-10.02718922|1|1|6213.631543|2|2|1|-1336.185978|0.009941402|5.44e-06|21.0|6.8861
3d_a49|0|111.41|-12.12984007|1|1|6018.145364|1|1|1|-1594.435881|-0.00918253|0.000278|21.0|5.6308
1d_a5|1|95.49|-10.69678217|1|0|5717.438103|0|0|0|-1288.253849|-0.0012491689999999|4.86e-07|23.0|5.03
14_a4|0|80.09|-6.23496557|1|1|3944.638539|1|1|0|-918.896242|0.009588001|0.000539|17.0|5.8794
12ah_a36|1|128.76|-15.92320089|1|0|6015.129321|2|2|0|-1692.369929|0.0005016269999999|2.77e-05|17.0|7.9586
9d_a31|1|112.97|-15.732784099999998|2|0|5748.743284|1|1|0|-1657.245966|-0.002456634|9.69e-06|16.0|6.2218
4_a18 (SD-208)|0|92.87|-9.276994128|0|0|5348.394288|2|2|0|-1542.207472|-0.018723101|2.49e-06|22.0|7.0969
12v_a36|1|130.24|-14.33290989|1|0|6065.593390999999|2|2|0|-1347.260743|0.00127667|8.340000000000001e-05|17.0|7.8539
8d_a32|1|110.38|-13.21859008|3|0|5523.492436|0|0|1|-1880.602038|-0.006974711|2.19e-05|19.0|8.0809
18d_a30|0|127.24|-15.18369704|1|0|6367.958933|2|2|0|-1674.8453470000002|0.001139238|5.260000000000001e-05|17.0|7.6737
8k_a46|0|132.47|-17.04077386|1|1|7352.280688|1|1|0|-1845.037411|-0.002099764|1.03e-06|23.0|6.8327
12_a3|0|90.49|-8.921820355|1|0|4400.493202000001|0|0|1|-1272.058487|-0.006049098|3.9500000000000005e-05|21.0|5.45
4c_a46|0|115.03|-11.85656505|1|1|5571.088357|1|1|0|-1245.176359|0.010177371|9.32e-06|17.0|5.6972
7_a15|0|99.77|-8.163512395|0|0|5097.868552|0|0|0|-1184.224637|-0.0013239329999999|2.26e-05|18.0|6644.0
18b_a30|0|131.99|-15.85509189|1|0|6387.715069|2|2|0|-1667.849173|0.003099827|8.47e-05|17.0|7.6003
14r_a23|0|120.24|-15.15517566|2|2|6744.848704999999|0|0|1|-1728.98403|0.007671236|9.18e-06|26.0|8.2684
12c_a30|0|132.29|-15.946612|1|0|6403.739746|2|2|0|-2035.202565|0.00372838|2.61e-05|17.0|7.9914
12an_a36|1|135.47|-16.89009799|1|0|6162.848939|2|2|0|-1670.244686|0.00285431|3.83e-05|17.0|7.3979
