molecula|TASA|SRW09|nAHRing|PPSA1|nFaHRing|SRW07|AATSC1s|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|log P|Total Energy (water) (Hartree)|pIC50
6a_a31|335.9594356|7.703007682000001|1|180.411907|0|5.6869753560000005|-0.181987023|0.00238|0.0178|4.03|-1613.34153|5.9586
5_a18 (BIBF0775)|636.6978809999999|7.03438793|2|138.97646310000002|0|4.844187086|-0.015946718|0.000425|0.000946|8.45|-1572.313227|7.4685
17c_a50|617.2509739|7.934155233999999|2|296.00120400000003|1|5.82008293|0.024219848|0.0698|0.0165|2.74|-1411.187392|7.1612
16_a3|344.4962834|6.823286122000001|0|84.12292796|1|4.727387819|-0.186717242|0.0033799999999999|0.0104|3.19|-1371.388717|7.3768
13c_a5|527.6071331999999|6.605297921|1|295.8302846|0|4.59511985|-0.0090268969999999|0.1169999999999999|0.0446|3.99|-1351.274441|6.9101
2_a47|422.1277419|0.0|0|107.1215986|1|0.0|-0.13117284|0.00109|0.00243|3.49|-1010.540464|6.2
19k_a38|417.968819|7.412764017000001|2|152.51267140000002|0|5.351858133|-0.17467835|0.0594|107.0|4.13|-1500.8984380000002|7.9666
11_a47|488.1611434|0.0|0|112.34605729999998|1|0.0|-0.156077888|0.000216|0.000394|4.84|-1396.184699|7.4
19e_a38|523.2534216|7.412764017000001|2|168.99691289999998|0|5.351858133|-0.10490608|0.0049|0.00807|4.08|-1409.582478|8.0083
3_a20 (SB-525334)|494.6267525|6.880384082000001|0|121.495147|1|4.727387819|-0.053897691|0.00489|0.00647|3.9|-1086.585811|6.7905
14y_a23|639.7735629|7.423568444|0|149.890474|1|5.351858133|-0.022719307|8.18e-05|0.000354|4.73|-2549.104894|8.4225
12c_a31|422.3366652|7.765993078999999|1|202.0036947|0|5.733341277|-0.055520387|0.00233|0.0277|4.6|-1618.1530810000002|6.4202
7_a3|387.1238241|6.823286122000001|0|99.36002106|1|4.727387819|-0.106234254|0.00124|0.00455|3.09|-1731.7341420000002|5.9901
8b_a32|494.8166492|7.765993078999999|0|207.6969342|1|5.733341277|-0.057200812|0.000583|0.0161|4.22|-1880.77142|7.9208
13m_a6|498.9881336|6.842683282|0|183.8755989|1|4.727387819|-0.135152403|0.00987|0.0228|4.27|-1423.762467|8.0
18a_a25|617.676232|6.842683282|0|121.2825364|1|4.727387819|-0.019008377|0.000202|0.000744|4.51|-1675.274716|7.0269
15a_a50|501.3207109|7.934155233999999|1|176.277812|1|5.82008293|-0.06317118|0.0933|0.0444|2.66|-1199.818129|7.3872
12a_a30|518.4718832|7.412764017000001|2|120.786445|0|5.351858133|-0.02919335|0.00208|0.0056|3.82|-1575.7783980000002|7.9469
6b_a40|504.6333458|8.421342866|1|81.61884754|1|6.401917197|-0.069975812|1.98e-06|0.000335|8.98|-3290.775349|7.5229
15_a47|423.5412927|6.605297921|0|154.260803|1|4.59511985|-0.072588375|0.00455|0.00499|3.33|-1527.4104|7.8
4_a38 (LY-2157299)|431.0669496|7.535296702|1|122.2274724|1|5.4161004020000005|-0.080432741|52.0|0.0375|3.95|-1198.683473|7.1586
14t_a23|600.1979272000001|7.423568444|0|130.3775455|1|5.351858133|-0.024472753|0.000608|0.0023899999999999|3.79|-1669.240512|8.3979
14z_a23|644.4593172|7.423568444|0|149.3235124|1|5.351858133|-0.024897956|8.18e-05|0.000354|4.73|-2549.107748|8.2941
12x_a30|560.5459455|7.412764017000001|2|115.7782842|0|5.351858133|-0.0335688279999999|0.00039|0.00148|4.45|-1654.40976|7.6556
11e_a5|580.8135016|7.139660336|1|184.4042616|0|5.209486153|0.038643235|0.00919|0.00782|2.91|-1316.547103|7.3979
12ak_a36|611.9003905000001|7.412764017000001|2|189.3013851|0|5.351858133|-0.0407717229999999|0.0047799999999999|0.00589|4.21|-1350.900117|7.3372
17_a47|519.8795281|6.605297921|0|155.087622|1|4.59511985|-0.019259259|0.00156|0.0024|3.07|-1254.985125|8.3
14g_a23|645.7104105000001|7.423568444|0|156.3396622|1|5.351858133|-0.301504331|6.38e-05|0.0004969999999999|5.17|-2042.1835260000005|8.0
12b_a30|485.6272203|7.412764017000001|2|127.9443353|0|5.351858133|-0.06631353|0.00171|0.00405|4.07|-1675.0107779999998|8.1543
14n_a23|603.6615822000001|7.423568444|0|211.642042|1|5.351858133|-0.027380305|0.0010199999999999|0.0042299999999999|3.23|-1744.450916|9.2441
21_a4|472.812128|7.535296702|1|140.4174905|0|5.4161004020000005|-0.014982235|0.0403|0.0197|3.31|-973.5683008|6.9172
3q_a32|524.6043311000001|7.765993078999999|0|225.3038157|1|5.733341277|-0.04718311|0.000508|0.00992|5.15|-1920.066488|7.5528
12bb_a36|442.2064275|7.412764017000001|2|180.1992964|0|5.351858133|-0.117921811|0.0424|0.0201|3.66|-1431.4091|8.0
13b_a50|647.7242444|7.934155233999999|2|214.1461224|1|5.82008293|0.010464577|0.0044|0.00361|3.63|-1470.401544|5.7375
12u_a36|586.1833819|7.412764017000001|2|153.5444314|0|5.351858133|-0.0407717229999999|0.0047799999999999|0.00589|4.21|-1350.8981130000002|7.7959
15b_a50|469.3167805|7.934155233999999|1|206.3740238|1|5.82008293|-0.05484142|0.2339999999999999|0.0891|2.08|-1160.4989460000002|7.1024
12y_a36|562.7133986|7.412764017000001|2|164.2102614|0|5.351858133|-0.065314765|0.0106|0.0115|3.83|-1310.350902|7.9208
12d_a30|544.6198897999999|7.412764017000001|2|119.91237920000002|0|5.351858133|-0.033312179|0.0009119999999999|0.00291|4.14|-1615.095823|7.9508
17_a4|458.3237652|7.535296702|1|71.31904507|0|5.4161004020000005|-0.319716072|0.0152|0.00532|4.44|-1255.994721|6057.0
19j_a38|552.5012068|7.412764017000001|2|195.5099392|0|5.351858133|-0.04575843|19.0|0.0322|3.23|-1424.426858|8.1146
11_a1|351.1382199|7.423568444|1|146.29971719999998|0|5.351858133|-0.196819043|0.00327|0.00838|5.26|-1312.462371|6.7696
11b_a5|524.5231302|6.605297921|0|199.1611925|0|4.59511985|0.008093965|0.00853|0.00767|3.31|-1564.761898|7.7212
21_a10|547.3834282|7.535296702|1|209.0477207|1|5.4161004020000005|-0.085463279|0.0007599999999999|0.0014|5.57|-1485.499561|5.3188
13e_a6|575.965487|6.842683282|0|185.4673146|1|4.727387819|-0.008507023|0.00323|0.00688|3.36|-1347.297639|7.9208
19b_a38|452.6479704|7.412764017000001|2|149.181772|0|5.351858133|-0.115864198|0.0238|0.0196|3.66|-1431.414099|7.9172
19_a20|495.7134289|6.842683282|0|133.9919257|1|4.727387819|-0.130949446|0.00541|0.0112|5.01|-1368.413151|5585.0
12b_a5|521.9354031|6.605297921|2|296.16656780000005|0|4.59511985|0.023224044|2.0|143.0|2.24|-1276.928859|7.3768
8d_a32|446.6450457|7.765993078999999|0|183.1522214|1|5.733341277|-0.089662873|0.000334|0.0173|4.26|-1880.773727|8.0809
17e_a50|647.0975667|7.934155233999999|2|136.5904997|1|5.82008293|0.038322942|0.00589|0.00288|3.8|-1375.295877|6.8097
7a_a8|421.9297638000001|7.535296702|1|156.2924154|0|5.4161004020000005|-0.0407248439999999|0.00522|0.00874|5.2|-1291.313963|4.6068
7e_a8|495.8990914|7.05012252|0|133.9683023|0|4.844187086|-0.052939815|0.000686|0.00149|6.32|-1300.495519|4.4547
12g_a40|456.7977427|7.515889085|0|77.67373972|1|5.4161004020000005|-0.129331216|0.000124|0.000586|4.84|-2173.044757|6.1403
6_a15|501.3728188|0.0|0|243.9013805|0|0.0|-0.048804012|0.000823|0.00278|3.94|-1263.0243449999998|7.4559
14l_a23|607.777253|7.423568444|0|138.7874759|1|5.351858133|-0.026530366|0.000608|0.0023899999999999|3.79|-1669.2363289999998|8.1798
3a_a32|378.0996237|7.678326357|0|151.63860559999998|1|5.6869753560000005|-0.045659995|0.00144|0.0134|2.17|-1554.796165|8.5686
10_a1|378.9193385|6.86171134|0|93.83214542|0|4.727387819|-0.23385288|0.00372|0.00673|5.81|-1223.159954|5.8239
6b_a31|383.0600707|7.773594467000001|1|155.0167518|0|5.733341277|-0.178758575|0.000947|0.00883|4.61|-1652.671944|7.2676
12j_a30|544.2686362000001|7.412764017000001|2|120.550211|0|5.351858133|-0.033312179|0.0009119999999999|0.00291|4.14|-1615.096172|8058.0
8_a20 (IN-1130)|481.70475260000006|6.842683282|0|166.8048285|1|4.727387819|-0.124997065|0.00596|0.0119|4.53|-1368.412748|7.4437
16_a31|257.4650715|7.758333467000001|1|126.8340354|0|5.733341277|-0.186617888|0.0131|0.0762|1.7|-1308.242314|7.0458
