molecula|NaaNH|n9FaHRing|SaaNH|NaasN|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA5|PBF|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
2_a49|0|0|0.0|1|1|1.3438506419999998|2.12788659|-0.084499704|-0.004112807|2|1.999073077|-0.189189114|10.92973199|0.005918367|1|-0.170631119|0.032521855|0.055400364|-0.320124905|2|0.79056501|0.084099874|0.00991453|0.7701578720000001|1|0.81348014|-0.079176085|0.41397907|-44.066695|-40.34672657|226.4450566|0.18651986|-0.028277173|-20.55997527|0.7154059890000001|-22.45560511|49.26352575|49.7010488|0.454163307|2244.518609|414.5350312|-605.2008985|-7.34284831|5.667936413|10.38394173|0.8320497920000001|4874.364109|145.02405359999997|20.14177325|0.017498253|845.9544764000001|439.9973344|8.91679918|0.0|1.0|1.0|3.09|21.0|3.7|0.0|2.0|3.0|-6.57|327.38|1.0|2.76|-3.89|0.000292|0.0955|0.000129|0.0421|2.43|0.0|0.0|4.94e-05|5.4614|1.79|-1046.018455|-1045.981819|553.52|941.6|331.24|0.2988|227.02|371.96|0.34449|0.68172|-0.1555099999999999|4.8986|-0.19923|59.0|7.2291|7.2291
12g_a36|1|0|3.5202147110000004|0|2|1.2678464|0.0|-0.063344124|-0.006495469|2|0.0|-0.409214521|10.95259306|-0.0521750109999999|1|0.130052038|-0.099596099|-0.163978382|-0.44093902|1|0.8026482070000001|-0.19532883|-0.088251318|0.860667615|0|0.854238488|-0.097067302|0.374686587|-47.63457647|-66.72829531|24.29006276|0.1457615119999999|-0.034549379|-45.87193951|0.779745318|-32.74608471|77.14470618|59.82898654|0.473274545|2829.45056|587.240781|-1401.294202|-16.3273005|7.285010602000001|13.83075477|0.898522257|6223.658545|151.41267150000002|30.45962398|0.015152386|1797.1178149999998|799.5563855|10.41641087|1.0|1.0|1.0|5.06|17.0|3.01|0.0|6.0|4.0|-6.19|423.51|1.0|2.66|-4.86|1.13e-05|0.0047799999999999|1.39e-05|0.00589|3.8|0.0|0.0|1.7800000000000002e-05|5.2092|4.21|-1350.887005|-1350.861445|724.32|1241.66|333.83|0.4393|238.01|657.02|0.38165|0.70097|-0.15236|5.912000000000001|-0.20288|14.0|7.8539|7.8539
22_a20|0|0|0.0|1|0|1.4170330269999998|1.915285809|-0.238401323|-0.00147607|2|2.041494094|-0.079707783|10.93106272|-0.038668966|1|0.155407313|-0.036258691|-0.060582944|-0.177976478|2|0.7478675859999999|-0.044184455|-0.067650395|0.607038752|1|0.946515026|-0.067797027|0.425968568|-39.00017609|-44.14650378|9.022387025|0.053484974|-0.027118811|-28.7463017|0.77063827|-25.39523478|52.90592556|47.00134116|0.477376285|2738.108259|616.3298149|-882.9300756000001|-11.49852068|7.408914181|14.17638345|0.913422548|5924.626340999999|149.350479|22.91425458|0.01345209|1145.712729|664.4562602999999|8.759421782|1.0|1.0|1.0|3.36|27.0|5.39|0.0|4.0|4.0|-5.58|401.46|1.0|4.24|-5.53|2.48e-06|0.000997|2.98e-06|0.0012|4.47|0.0|0.0|8.199999999999999e-08|5.5591|4.07|-1275.84854|-1275.816275|694.15|1181.95|312.05|0.2636|223.03|563.43|0.38233|0.66063|-0.16176|4.8308|-0.21856|231.0|6.6364|6.6364
4a_a46|0|0|0.0|1|1|1.13463711|2.180332577|-0.214093513|-0.001042349|2|0.0|-0.051075084|10.96352058|-0.0466186959999999|1|-0.216904465|-0.082000707|-0.129430244|-0.143806973|2|0.764741337|-0.215877982|-0.06611606|0.683616517|0|0.923958017|-0.067863141|0.264863483|-28.50561609|-35.24319509|6.579492736000001|0.076041983|-0.022129285|-18.30276019|0.742626378|-14.80375017|41.15334508|33.36433008|0.4289963579999999|2042.529911|479.8368017|-528.6479264|-5.968291366|5.613813876|9.831485239|0.751302315|4481.754309|133.66119809999998|15.47527339|0.011380391|711.8625758999999|480.9500663|5.910149982|1.0|1.0|1.0|3.76|17.0|4.46|0.0|2.0|3.0|-5.87|318.42|1.0|3.43|-4.31|0.000117|0.0372|4.89e-05|0.0156|3.34|0.0|0.0|4.86e-05|4.5454|3.4|-994.237445|-994.2146342|560.87|967.0|272.77|0.1694|272.77|467.4|0.6893600000000001|0.6893600000000001|-0.19067|3.1825|-0.21988|181.0|6.7423|6.7423
25d_a34|0|0|0.0|1|1|1.433689841|1.940324546|0.128783829|-0.015046463|1|0.0|-0.8576484190000001|10.95957635|0.00670464|1|-0.263924686|-0.211368416|-0.342090037|-0.605891389|1|0.7498681140000001|0.14554928|0.011919831|0.778903495|0|0.674282353|-0.124111479|0.631894475|-66.52770588|-82.09024497|174.9700398|0.325717647|-0.044492794|-54.29641443|0.7772035959999999|-44.00298587|95.24066462|85.89233572|0.478308897|2939.671168|445.9861716|-1559.714654|-19.46475234|6.933980884|13.29135354|0.916843118|6513.063805|147.36277019999997|37.86469665|0.019881997|2006.828923|673.8038326000001|13.15041965|1.0|1.0|1.0|3.58|23.0|3.95|0.0|7.0|5.0|-6.74|427.46|1.0|3.21|-4.48|2.44e-05|0.0104|3.3e-05|0.0141|3.05|0.0|0.0|3.53e-06|4.2732|6.05|-1426.496796|-1426.468726|706.21|1198.19|290.15|0.2106|290.15|554.05|0.6764600000000001|0.6764600000000001|-0.1771299999999999|6.1995|-0.21234|0.95|6.0223|6.0223
12k_a30|0|0|0.0|0|2|0.604984231|0.0|-0.001755273|-0.007818038|2|0.0|-0.44562817|10.31162844|-0.038714845|1|-0.240110949|-0.089279071|-0.154412059|-0.4186541|1|0.830875659|0.001281277|-0.067714819|0.7933543279999999|0|0.815083558|-0.098188266|0.340031035|-52.35426525|-65.04897323|106.8195439|0.184916442|-0.035199567|-43.09444587|0.7081361979999999|-34.68429919|80.03127603|68.37178540000001|0.47195436|2920.279667|539.9866061|-1235.930491|-15.44895229|8.416930701|15.93977881|0.893775698|6393.133321|193.3575303|32.93073182|0.0226150579999999|1745.328787|704.0353382000001|14.9823028|1.0|1.0|1.0|4.72|17.0|2.63|0.0|6.0|5.0|-6.19|428.51|0.0|2.57|-4.93|3.59e-06|0.00154|1.19e-05|0.0050799999999999|3.84|0.0|0.0|7.87e-05|5.1958|3.58|-1690.302721|-1690.269144|710.82|1200.31|357.15|0.2257|238.62|564.62|0.39318|0.6864899999999999|-0.14743|4.9516|-0.19798|24.0|7.6144|7.6144
19a_a22|0|0|0.0|1|0|1.422917238|1.572240489|-0.000989685|-0.009145283|2|1.545757986|-0.548716971|10.9464374|0.016501913|1|-0.03516233|-0.035723406|-0.0611158559999999|-0.496053375|2|0.777600172|-0.155892259|0.0271939039999999|0.699744887|1|0.744354735|-0.09370213|0.51561501|-67.26339083|-69.91748544|373.8201781|0.255645265|-0.035138299|-52.17015658|0.684706189|-50.18975739|89.23486638|85.79797858|0.4347718229999999|3167.140147|555.4133255|-1468.267194|-19.56380872|8.648671382|15.30120355|0.76919701|7095.27723|235.2620007|38.29242013|0.025888799|2144.375527|781.8210659|19.31738094|1.0|1.0|1.0|3.61|27.0|3.41|0.0|7.0|6.0|-7.67|463.49|0.0|2.36|-4.11|4.16e-05|0.0193|7.69e-05|0.0356|2.05|0.0|0.0|8e-07|5.0397|5.69|-1537.071348|-1537.0241640000002|740.07|1277.14|346.24|0.2218|246.01|567.03|0.34556|0.66605|-0.1508|4.5288|-0.21478|48.0|7.3188|7.3188
12c_a5|1|0|2.977832018|0|1|1.236775191|0.0|-0.212798523|-0.002685954|3|0.0|-0.16115723|10.9455378|0.0072946769999999|1|-0.1386392109999999|-0.01261147|-0.020144382|-0.223631474|2|0.797601178|0.05430631|0.014673577|0.782051277|0|0.841092921|-0.066083881|0.450827114|-46.62294305|-43.47195613|143.44655559999998|0.158907079|-0.022421317|-28.59715492|0.583585895|-30.6699685|59.40070647|57.39441476|0.4609383929999999|2697.345008|553.2961182|-825.9671665|-9.702606135|7.293547043999999|13.53008071|0.855075538|5877.765289|273.9296719|25.27376659|0.024214085|1415.330929|735.3048881|15.92875034|0.0|1.0|1.0|3.27|23.0|4.32|0.0|6.0|5.0|-6.79|411.5|0.0|3.31|-4.33|8.159999999999999e-05|0.0336|4.64e-05|0.0191|2.84|0.0|0.0|2.03e-07|4.6671|2.06|-1316.542713|-1316.5202869999998|694.24|1200.02|309.06|0.1513|265.66|519.21|0.52074|0.6893600000000001|-0.16563|3.0135|-0.21128|47.0|7.3279|7.3279
20_a47|0|1|0.0|1|0|1.408721455|1.1934608|0.055662511|-0.011237762|2|1.010373001|-0.505699304|10.95058273|0.071506228|1|0.087325054|-0.108236785|-0.297094867|-0.5332051720000001|2|0.7962508290000001|-0.069674604|0.113432542|0.59534794|1|0.6888286020000001|-0.092005493|0.213977589|-45.68149289|-50.14789824|43.63174229999999|0.311171398|-0.032859105|-27.33327788|0.595234209|-24.89884887|69.09296541|58.53772498|0.4642647929999999|2630.63609|375.4483088|-752.2184736|-9.761884958|7.022502229|13.10815891|0.86659377|5896.060936|220.6189341|30.08893541|0.034758191|1263.735287|428.5826478|18.94506718|0.0|1.0|1.0|3.19|21.0|4.54|0.0|5.0|6.0|-6.75|380.35|1.0|3.09|-4.08|8.72e-05|0.0332|8.32e-05|0.0316|2.63|0.0|0.0|1.86e-05|3.9808|4.08|-1335.742176|-1335.708279|557.84|964.94|311.45|0.2807|311.45|426.08|0.68219|0.68219|-0.16377|3.1747|-0.22734|3.0|8.6|8.6
22_a47|0|1|0.0|1|0|1.408617385|1.202720059|0.048272293|-0.010579222|2|1.016903613|-0.507802654|10.95023117|0.002716049|1|-0.077468004|-0.1049885469999999|-0.277479519|-0.538310301|2|0.831122912|-0.077787113|0.004104478|0.591185263|1|0.698649132|-0.089280419|0.573087958|-47.64347429|-52.67991531|12.19999546|0.301350868|-0.031744149|-31.08378631|0.6096864479999999|-28.11203407|71.28682035|60.71546178|0.4614909829999999|2692.510471|412.2379505|-842.8786448999999|-11.05201291|6.9553262170000005|12.91589555|0.8569791179999999|6107.923371|230.3045281|30.72175314|0.031534452|1382.478891|482.9384172|18.60690504|0.0|1.0|1.0|3.31|21.0|4.85|0.0|5.0|6.0|-6.58|394.38|1.0|3.41|-4.38|3.6e-05|0.0142|4.16e-05|0.0164|3.0|0.0|0.0|8.11e-06|4.7954|4.4|-1375.05033|-1375.021925|605.12|1027.32|308.65|0.3367|258.55|466.95|0.50316|0.68312|-0.16704|4.2485|-0.22828|1.0|9.0|9.0
15_a15|0|0|0.0|0|1|1.435688991|0.0|-0.132759299|-0.006378587|3|0.0|-0.395472407|10.95980315|0.0020555079999999|0|-0.098862691|-0.173728081|-0.272482143|-0.3597407929999999|2|0.724319314|0.007958332|0.003774415|0.796300317|0|0.8972060479999999|-0.091075463|0.7028760070000001|-41.11675625|-60.51136736|142.8140301|0.102793952|-0.031405332|-40.20430373|0.702544178|-27.31834743|73.99578515|54.83651811|0.435723718|3027.719888|596.1118717|-1210.227347|-13.86355301|6.673906339|11.8273735|0.772181523|7039.747576999999|197.6323578|29.700607300000005|0.0202953539999999|1722.635223|830.7967967000001|13.48441779|1.0|0.0|0.0|4.04|24.0|6.69|0.0|6.0|4.0|-5.26|448.52|0.0|4.64|-6.1|4.77e-07|0.000214|7.970000000000001e-07|0.000357|5.32|0.0|0.0|5.7e-07|3.6968|5.04|-1450.7538470000002|-1450.725355|700.82|1265.55|480.19|0.4459|335.38|573.46|0.67524|0.70572|-0.10964|1.6365|-0.1475|109.0|6.9626|6.9626
24_a47|0|1|0.0|1|0|1.304328602|1.225600378|0.0453435129999999|-0.010774404|2|1.081401467|-0.484848181|10.95005721|0.071506228|1|0.056234624|-0.111494046|-0.2494728939999999|-0.540463145|2|0.812650394|-0.005097239|0.113432542|0.627160379|1|0.7839491009999999|-0.090995097|0.214985826|-42.71324947|-51.21152885|41.72753688|0.216050899|-0.032498249|-28.82156035|0.611603578|-24.03877652|69.27912772|54.82626523|0.479188295|2642.775318|441.2021442|-768.1729327|-10.29341441|7.024694045|13.48797266|0.920079732|6022.202634|218.5873217|29.90471672|0.032103375|1255.998102|457.1122177|18.06759887|0.0|0.0|1.0|3.14|21.0|4.64|0.0|5.0|5.0|-6.48|396.81|1.0|3.31|-4.52|2.46e-05|0.00975|3.05e-05|0.0121|3.16|0.0|0.0|9.22e-06|3.9675|4.46|-1696.105723|-1696.071577|578.94|1002.04|312.5|0.2618|312.5|450.98|0.6835|0.6835|-0.16333|2.6517|-0.2285|3.0|8.5|8.5
26_a20|0|0|0.0|1|0|1.4165417530000002|1.877209467|-0.000846851|-0.00578453|2|2.01129617|-0.3297182369999999|10.93106273|-0.033102079|1|0.249416844|0.0346782989999999|0.057022334|-0.446730587|2|0.7541508029999999|-0.070815554|-0.055150498|0.690530489|1|0.79337253|-0.082729415|0.423153994|-58.21621279|-55.81998701|299.8332395|0.20662747|-0.0327795789999999|-37.66339899|0.7848887259999999|-39.28020352|65.85953426|66.82118688|0.472355054|2825.254798|535.3119506|-1172.219727|-14.92323356|7.598632688999999|14.40103379|0.8952138340000001|6221.067002000001|145.1419493|28.17896678|0.014879363|1493.485239|712.1606951|10.03954725|1.0|1.0|1.0|3.42|27.0|4.62|0.0|5.0|4.0|-6.28|419.48|1.0|3.66|-5.02|7.27e-06|0.00305|9.51e-06|0.00399|3.63|0.0|0.0|2.780000000000001e-07|4.8421|4.97|-1352.315376|-1352.277633|715.27|1211.34|318.77|0.2081|256.05|543.96|0.50878|0.68167|-0.16129|3.8173|-0.21226|131.0|6.8827|6.8827
17a_a25|0|0|0.0|1|0|1.373200859|1.826085128|0.0055894319999999|-0.004137083|2|2.008884939|-0.248224991|10.93106298|0.006360768|1|-0.02776212|-0.047099434|-0.07654898|-0.362222339|2|0.748718056|0.168247187|0.0114970419999999|0.659740852|1|0.874586929|-0.079378741|0.348821736|-44.46905084|-56.61512986|93.75234138|0.125413071|-0.0297670279999999|-40.379488|0.755980502|-31.71656603|67.57985355|53.50212109|0.468791604|2907.309477|623.7797651000001|-1188.917727|-15.142307999999998|8.996672966|16.93624014|0.882500365|6250.571217000001|174.0415044|28.08362601|0.015373381|1572.683056|781.7487682|10.96472369|1.0|1.0|1.0|3.48|27.0|5.31|0.0|7.0|4.0|-6.18|433.5|1.0|4.04|-5.13|7.5e-06|0.00325|7.44e-06|0.00323|3.9|0.0|0.0|4.54e-08|5.2683|6.04|-1391.625102|-1391.588873|747.06|1271.9|315.11|0.4076|235.34|598.67|0.35172|0.6722|-0.16304|3.4677|-0.21559|25.0|7.6021|7.6021
6e_a31|1|0|3.402951625|0|1|0.61015618|0.0|0.06650322|-0.016012184|0|0.0|-0.784597028|10.31165994|-0.0462850729999999|2|0.225356759|-0.002840672|-0.004825446|-0.579941248|0|0.78240875|-0.071378445|-0.072882794|0.795570315|0|0.623340994|-0.130898441|0.177030306|-74.99224589|-79.81721349|159.9587946|0.376659006|-0.046541668|-48.66969791|0.7604979040000001|-45.72760428|93.68572477|94.88738762|0.4782688439999999|2776.836977|380.0911673|-1277.075416|-17.30478148|7.513687859|14.40145519|0.916695963|6053.812282|146.03985980000002|37.31693873|0.022744048|1679.262243|536.6368656000001|13.86851128|1.0|1.0|1.0|3.55|22.0|4.0|0.0|4.0|5.0|-6.5|404.44|1.0|3.27|-4.66|2.34e-06|0.000947|2.18e-05|0.00883|3.2|0.0|0.0|1.89e-05|3.3083|4.31|-1652.669408|-1652.63264|634.34|1077.48|374.76|0.5103|374.76|490.75|0.70391|0.70391|-0.13418|5.8193|-0.18844|0.37|6.4318|6.4318
A8301_a51|0|0|0.0|1|0|1.197963627|1.700610355|0.0245770529999999|-0.00449765|2|1.987294898|-0.242873103|10.31321735|-0.1227504419999999|1|0.135886548|-0.0357324579999999|-0.0618359079999999|-0.4354420879999999|2|0.6959300979999999|-0.013846396|-0.21474885|0.7234449559999999|1|0.934739895|-0.0780376929999999|0.339244706|-35.90764428|-50.67621589|36.55933899|0.065260105|-0.032775831|-32.90818536|0.854959635|-23.3177516|56.90163721|41.20144811|0.4799553379999999|2799.106729|607.0025787000001|-1064.200534|-13.82143785|6.890532887999999|13.24988678|0.922911768|6401.6494600000005|94.18649643|24.89475504|0.009586697|1244.737752|690.8826121000001|6.225421319|1.0|1.0|1.0|3.49|27.0|5.52|0.0|5.0|3.0|-5.31|421.52|1.0|4.58|-5.93|2.5e-07|0.000105|1.17e-06|0.000495|5.02|0.0|0.0|1.74e-07||||||||||||||||12.0|7.9208|7.9208
7c_a8|1|0|3.17138259|1|0|1.400027586|1.4416758790000002|-0.244222944|-0.007509694|1|0.0|-0.382994379|10.94670214|-0.118915929|1|0.079425146|-0.047874|-0.077006275|-0.328286221|1|0.740795639|0.0092411059999999|-0.196826366|0.6881348629999999|0|0.848923958|-0.089778346|0.292274414|-50.34151168|-56.2991566|49.43944876|0.151076042|-0.03366688|-35.30467154|0.626902145|-31.56868845|76.40286308|69.53125754|0.492823119|2716.5013510000003|532.3522286|-1013.384819|-13.23925183|7.700542366|15.18314943|0.971698707|6013.168519|233.9661552|33.67700028|0.032058696|1616.4960130000002|572.8089095|20.10370648|0.0|0.0|1.0|3.44|23.0|3.78|0.0|5.0|5.0|-6.34|398.41|0.0|3.26|-4.67|1e-05|0.00399|2.14e-05|0.00851|3.37|0.0|0.0|6.91e-06|4.6061|5.01|-1331.8206369999998|-1331.793312|662.05|1116.53|394.78|275.0|269.17|579.97|0.62361|0.70321|-0.1318599999999999|12.0073|-0.20658|18.59|4.7307|4.7307
8h_a8|1|0|2.975382653|1|0|1.3918396709999998|1.241306689|0.038482973|-0.010324979|0|0.0|-0.485274006|10.94341368|0.007079485|1|0.021094825|0.09830823|0.254819201|-0.53822084|0|0.6971223040000001|0.111824921|0.010682683|0.56916135|0|0.602405134|-0.11302328|0.273425421|-72.14530885|-66.4523265|316.4918269|0.397594866|-0.048805507|-39.07081527|0.918315905|-42.41801879|70.94463092|78.73029948|0.451435543|2623.688756|354.18563860000006|-1262.594204|-16.87148841|7.453557203|13.58738632|0.822939833|5956.417906000001|48.02637252|31.2477685|0.00764059|1374.901814|485.8626377000001|4.492304417|0.0|0.0|0.0|3.11|23.0|4.72|0.0|4.0|4.0|-5.98|391.37|0.0|4.01|-5.0|6.11e-06|0.0023899999999999|1.01e-05|0.00395|3.82|0.0|0.0|4.43e-06|4801.0|7.71|-1361.651799|-1361.618499|608.39|1029.51|332.16|0.3011|258.25|480.09|0.56196|0.69844|-0.15475|3.4779|-0.21819|11.59|4.9359|4.9359
12ak_a36|1|0|3.501132553|0|2|1.270373882|0.0|-0.052930979|-0.006465433|2|0.0|-0.407322296|10.95268014|-0.015708652|1|0.198260132|-0.099596099|-0.163978382|-0.439326642|1|0.815627016|0.051506104|-0.0265703679999999|0.860667615|0|0.848705143|-0.091761476|0.537460657|-49.87483724|-66.15829243|113.186508|0.151294857|-0.032660864|-47.69888026|0.737439195|-35.95881638|79.17567486|64.24490364|0.423822657|2830.816014|611.9003905000001|-1389.324141|-16.97756755|7.98672125|13.86156772|0.735576751|6240.396899|189.3013851|31.93194362|0.018055095|1883.984673|799.5563855|13.01738243|1.0|1.0|1.0|5.05|17.0|3.01|0.0|6.0|4.0|-6.19|423.51|1.0|2.66|-4.86|1.13e-05|0.0047799999999999|1.39e-05|0.00589|3.8|0.0|0.0|1.7800000000000002e-05|3.8734|4.21|-1350.900117|-1350.865407|730.3|1247.89|336.05|0.4514|320.09|584.05|0.69463|0.7034699999999999|-0.15275|6.3682|-0.20204|46.0|7.3372|7.3372
13h_a6|1|0|3.464247528|0|0|1.424099498|0.0|-0.094781725|-0.006619944|2|1.656132209|-0.3839567379999999|10.95053423|-0.090944829|1|0.105918119|-0.12414699|-0.215607882|-0.468842137|2|0.780222427|-0.0256002129999999|-0.164411111|0.789769968|1|0.867910741|-0.091977068|0.300800177|-51.85624128|-64.32173453|77.20799814|0.132089259|-0.032362302|-44.98170701|0.736918588|-36.26429338|76.78735663|64.05338768|0.461667017|2926.745635|606.9504647000001|-1222.112956|-15.82689691|9.11292243|16.928040300000003|0.8575863490000001|6302.785260000001|183.9790404|30.71129129|0.017825256|1658.40973|744.1359788|12.4656221|1.0|1.0|1.0|3.64|27.0|4.79|0.0|6.0|5.0|-6.31|431.49|1.0|3.61|-5.06|2.77e-06|0.0012|8.8e-06|0.0038|3.7|0.0|0.0|1.15e-08|4.8701|3.83|-1386.613707|-1386.569017|738.61|1253.92|365.52|1.0978|254.58|591.53|0.50716|0.69001|-0.14097|7.2872|-0.2153199999999999|47.0|7.3279|7.3279
1a_a5|0|0|0.0|0|1|1.189701889|0.0|-0.271170445|-0.001785522|2|0.0|-0.078562954|10.9502215|-0.004213083|0|-0.123867037|0.069867374|0.114184614|-0.179831877|2|0.7427901179999999|0.11504495|-0.008431181|0.808272639|0|0.833638233|-0.075618812|0.3602068089999999|-36.19957997|-38.07869556|83.60943679|0.166361767|-0.027665419|-19.17495143|0.7256546770000001|-18.22870183|46.38422909|40.24669785|0.455258786|1940.139869|419.7878208000001|-571.1804334|-7.015226132|6.199179484|11.38004491|0.835734058|4005.068642|138.1496441|19.19815378|0.016493595|787.1243051|403.543273|8.305533524|0.0|1.0|1.0|3.54|18.0|1.42|0.0|3.0|4.0|-6.58|298.34|0.0|1.75|-3.44|0.00253|755.0|0.000365|109.0|2.17|0.0|0.0|2.13e-05|4.6707|2.85|-951.1394906|-951.110826|531.02|882.1|437.61|0.2109|265.45|386.8|0.44868|0.54123|-0.12226|4.4956|-0.2262699999999999|107.0|6.9706|6.9706
4p_a46|0|0|0.0|1|1|1.134636977|2.102855253|-0.060700883|-0.004413243|0|0.0|-0.233901882|10.93681929|-0.120823841|1|-0.251219946|0.066453878|0.101602982|-0.369670745|0|0.747019097|-0.078703563|-0.1623103719999999|0.751334374|0|0.905966489|-0.083274013|0.3352802039999999|-56.55658053|-47.22779946|175.10295019999998|0.094033511|-0.029978645|-26.78464688|0.87420565|-32.07534663|51.05047787|60.7522985|0.423511708|2257.769185|513.8073925|-850.1003902999998|-9.642472876|5.828038618|10.10955243|0.734640605|5167.091582|71.34266847|19.44852199|0.006740305|972.4260993|585.8536976|3.822678404|1.0|1.0|0.0|3.89|17.0|5.25|0.0|2.0|3.0|-5.09|357.45|1.0|4.25|-5.4|1.59e-06|0.000567|4.03e-06|0.00144|4.77|0.0|0.0|3.2e-05|5.4796|4.89|-1129.65844|-1129.618646|598.19|1058.54|310.28|0.2363|226.26|537.47|0.43709|0.70138|-0.16819|3.6961|-0.20749|341.0|6.4672|6.4672
12ar_a36|1|0|3.46014932|0|2|1.297042582|0.0|-0.064363806|-0.007046017|2|0.0|-0.40866901|10.95407427|-0.036002609|1|0.145909555|-0.096853381|-0.169341326|-0.4194638229999999|1|0.8371588959999999|-0.017348015|-0.064014394|0.8196353679999999|0|0.8365428659999999|-0.098732471|0.317338373|-54.80317647|-66.9989409|86.85924228|0.163457134|-0.0347392029999999|-45.46486105|0.705591187|-37.18892821|82.17472548|69.99622854|0.4743067589999999|2902.67985|567.6702443|-1272.979877|-15.99689556|8.770514183|16.68371115|0.902250063|6155.432771|199.7830951|33.4098581|0.0223636779999999|1804.132337|708.5476357999999|15.17578458|1.0|1.0|0.0|4.86|17.0|1.95|0.0|6.0|5.0|-7.21|420.47|0.0|1.8|-3.91|0.0001199999999999|0.0503|0.000122|0.0515|2.33|0.0|0.0|3.76e-05|5225.0|3.23|-1364.511244|-1364.467971|717.19|1211.1|322.13|0.5586|237.29|580.53|0.41433|0.67174|-0.15631|6.4688|-0.21291|25.0|7.6021|7.6021
12m_a36|1|0|3.40403699|0|2|1.297043522|0.0|0.013543656|-0.011502861|2|0.0|-0.667165917|10.95440733|-0.038386106|1|0.245908938|-0.052743904|-0.090926893|-0.52644768|1|0.825587924|-0.075712087|-0.064035403|0.849217847|0|0.711961428|-0.121074678|0.4493096629999999|-67.27772044|-81.19927925|42.78660249|0.288038572|-0.04260035|-54.45666327|0.7471181240000001|-45.120107|96.11918789|82.51872026|0.465323422|2925.315028|477.48014630000006|-1542.786306|-19.16067782|7.312794835|13.67704354|0.8702895190000001|6434.374756|169.596372|38.24042793|0.0222467879999999|2064.983108|689.2886595|14.91990864|0.0|1.0|0.0|4.83|17.0|0.98|0.0|6.0|5.0|-7.39|424.46|0.0|1.26|-3.8|7.96e-05|0.0338|0.000159|0.0676|2.11|0.0|0.0|0.000305|3.8658|3.88|-1401.654499|-1401.6158890000002|692.4|1177.15|320.72|0.4718|320.72|505.51|0.69382|0.69382|-0.15879|6.5789|-0.20993|0.03|7.5229|7.5229
47d_a18|0|0|0.0|0|1|1.251175994|0.0|-0.017398129|-0.006087337|0|0.0|-0.480899596|10.94702255|0.016324953|0|0.104380139|-0.272202025|-0.406388629|-0.417659275|0|0.7430748709999999|-0.002494715|0.027971797|0.741366815|0|0.836999127|-0.087315963|0.445704576|-52.14267013|-71.20388424|64.92967228|0.163000873|-0.028722356|-58.06490563|0.69814381|-42.52098397|86.29525584|64.59518279|0.481311892|3304.705347|682.5509007|-1780.097106|-19.1002979|9.940531282|19.16475647|0.927940864|7780.945962999999|246.1558296|33.54943497|0.018506261|2549.757058|1255.618298|15.0913716|1.0|1.0|1.0|4.73|18.0|3.21|1.0|12.0|4.0|-6.57|527.66|0.0|2.56|-5.28|1.83e-06|0.000968|5.23e-06|0.00276|4.16|1.0|1.0|7.790000000000001e-07|3.1079|8.08|-1704.061013|-1704.0327519999998|875.6|1544.09|398.94|0.5820000000000001|398.94|817.06|0.69905|0.69905|-0.12844|3.7605|-0.17405|8.0|8.0969|8.0969
